VESSEL_NAME,VESSEL_CATEGORY,VESSEL_TYPE,OWNER,DATA_SOURCE,DATA_SOURCE_URL,DIMENSION_CONFIDENCE,IMO_NUMBER,MMSI,FLAG_STATE,LOA_M,BEAM_M,GROSS_TONNAGE,DEADWEIGHT_TONNES,YEAR_BUILT
Blue Sea,intervention_vessel,mpsv,Oceaneering International,myshiptracking,https://www.myshiptracking.com/vessels/blue-sea-mmsi-338798000-imo-9743057,registry,9743057,338798000,USA,100.0,22.0,,,
Normand Superior,intervention_vessel,mpsv,Oceaneering International (chartered),myshiptracking,https://www.myshiptracking.com/vessels/normand-superior-mmsi-257911000-imo-9766877,registry,9766877,257911000,Norway,98.0,22.0,,,
Juanita Candies,intervention_vessel,mpsv,Oceaneering International (chartered),myshiptracking,https://www.myshiptracking.com/vessels/juanita-candies-mmsi-338064000-imo-9581291,registry,9581291,338064000,USA,103.0,20.0,4950.0,4390.0,2013.0
Intervention,intervention_vessel,mpsv,Oceaneering International,myshiptracking,https://www.myshiptracking.com/vessels/intervention-mmsi-338413000-imo-9581277,registry,9581277,338413000,USA,90.0,19.0,3764.0,5450.0,2012.0
Brandon Bordelon,intervention_vessel,mpsv,Oceaneering International (chartered),myshiptracking,https://www.myshiptracking.com/vessels/brandon-bordelon-mmsi-367697440-imo-9670640,registry,9670640,367697440,USA,87.0,16.0,,,
Ocean Intervention II,intervention_vessel,mpsv,Oceaneering International,myshiptracking,https://www.myshiptracking.com/vessels/ocean-intervention-ii-mmsi-338759000-imo-9232125,registry,9232125,338759000,USA,77.0,16.0,2255.0,2376.0,2000.0
Ocean Intervention,intervention_vessel,mpsv,Oceaneering International,myshiptracking,https://www.myshiptracking.com/vessels/ocean-intervention-mmsi-366614000-imo-9203227,registry,9203227,366614000,USA,67.0,16.0,2262.0,2320.0,1998.0
AKOFS Seafarer,intervention_vessel,mpsv,AKOFS Offshore,myshiptracking,https://www.myshiptracking.com/vessels/akofs-seafarer-mmsi-257089550-imo-9387229,registry,9387229,257089550,Norway,157.0,32.0,16942.0,11000.0,2010.0
AKOFS Santos,intervention_vessel,mpsv,AKOFS Offshore,myshiptracking,https://www.myshiptracking.com/vessels/akofs-santos-mmsi-710005865-imo-9423437,registry,9423437,710005865,Brazil,120.0,22.0,9074.0,5109.0,2009.0
Aker Wayfarer,intervention_vessel,construction,AKOFS Offshore,myshiptracking,https://www.myshiptracking.com/vessels/aker-wayfarer-mmsi-710006322-imo-9435478,registry,9435478,710006322,Brazil,157.0,27.0,16697.0,10900.0,2010.0
Skandi Africa,intervention_vessel,construction,DOF Group,myshiptracking,https://www.myshiptracking.com/vessels/skandi-africa-mmsi-311000369-imo-9687459,registry,9687459,311000369,Bahamas,161.0,32.0,,,
Skandi Acergy,intervention_vessel,construction,DOF Group,myshiptracking,https://www.myshiptracking.com/vessels/skandi-acergy-mmsi-257691000-imo-9387217,registry,9387217,257691000,Norway,157.0,28.0,16500.0,11500.0,2008.0
Skandi Constructor,intervention_vessel,mpsv,DOF Group,myshiptracking,https://www.myshiptracking.com/vessels/skandi-constructor-mmsi-257220000-imo-9431642,registry,9431642,257220000,Norway,120.0,24.0,11572.0,8588.0,2009.0
Skandi Vinland,intervention_vessel,mpsv,DOF Group,myshiptracking,https://www.myshiptracking.com/vessels/skandi-vinland-mmsi-316033737-imo-9817121,registry,9817121,316033737,Canada,93.0,20.0,,,
