API_WELL_NUMBER,WELL_NAME,WATER_DEPTH,SURF_LATITUDE,WELL_NAME_SUFFIX,COMPANY_NAME,BOTM_FLD_NAME_CD,WELL_SPUD_DATE,TOTAL_DEPTH_DATE,BH_TOTAL_MD,WELL_BORE_TVD,WELL_BP_ST_KICKOFF_MD,BOREHOLE_STAT_DT,BOREHOLE_STAT_CD,CASING_CUT_CODE,UNDWTR_COMP_STUB,SURF_LONGITUDE,BOTM_LATITUDE,BOTM_LONGITUDE
608174133200.0,001,5869.0,28.73340694,ST00BP00,"Magnum Hunter Production, Inc.",ST264,6/22/1990,7/1/1990,8471.0,5864,,8/25/1990,ST,N,N,-93.19469611,29.11399471,-93.20786001
177104140404.0,A014,272.0,28.20225758,ST01BP00,"Magnum Hunter Production, Inc.",ST264,8/30/2003,9/17/2003,8282.0,9816,,9/1/1990,ST,N,N,-93.19469611,29.11797761,-93.19395101
608114066800.0,SS001,4226.0,27.40226611,ST00BP00,Eni US Operating Co. Inc.,ST267,7/4/1990,8/5/1990,12745.0,9944,,9/13/1990,ST,N,N,-93.19469611,29.11090871,-93.20629861
608114066200.0,PS010,4294.0,27.31625139,ST00BP00,"Manta Ray Gathering Company, L.L.C.",ST292,8/19/1990,9/8/1990,11200.0,9863,,6/19/2014,PA,E,N,-93.19469611,29.11272771,-93.20815481
608174134500.0,002,3230.0,28.12675278,ST00BP01,Hess Corporation,ST235,9/24/1990,9/29/1990,7355.0,13399,,1/8/1991,PA,Y,N,-93.55032969,29.37230271,-93.55068499
608114065600.0,SB002,3577.0,27.46529083,ST00BP00,Hess Corporation,ST235,8/19/1990,9/20/1990,6821.0,9850,,2/7/1992,CNL,N,N,-93.19468934,,
608084005703.0,001,5519.0,26.84838647,ST00BP01,Hess Corporation,ST224,9/12/1990,9/13/1990,7000.0,14600,,5/22/1996,PA,Y,N,-93.03050481,29.61153226,-93.03069291
608114067100.0,WI003,3603.0,27.45681194,ST00BP00,Hess Corporation,ST224,8/16/1990,9/5/1990,6562.0,14394,10322,2/14/1991,PA,Y,N,-93.13174814,29.28656628,-93.13129014
177114055401.0,I012,100.0,28.58363683,ST00BP00,Atlantic Richfield Company,WILD,9/8/1990,12/19/1990,14906.0,12754,,1/16/1991,ST,N,N,-93.13174814,29.28650998,-93.13196474
608174105701.0,001,5782.0,28.54901654,ST01BP00,Atlantic Richfield Company,WILD,12/29/1990,1/3/1991,12319.0,17806,,3/14/1991,PA,Y,N,-93.08869842,29.21176865,-93.08939332
608114067000.0,001,4200.0,27.40609222,ST02BP00,Atlantic Richfield Company,WILD,1/11/1991,1/18/1991,13086.0,11293,8426,7/31/2009,TA,N,N,-93.27797301,29.51428861,-93.27821171
177104149401.0,A017,272.0,28.20231823,ST00BP00,"Manta Ray Gathering Company, L.L.C.",ST292,9/13/1990,10/1/1990,11370.0,7568,,2/26/1991,ST,N,N,-93.27797301,29.51425901,-93.27807671
608174132900.0,011,6267.0,28.16301667,ST00BP00,Hess Corporation,WILD,10/4/1990,11/12/1990,11279.0,11466,4640,4/30/1991,ST,N,N,-93.27797301,29.51386471,-93.27810881
608054005900.0,GA022,7812.0,26.12861111,ST00BP00,"Manta Ray Gathering Company, L.L.C.",ST292,10/7/1990,11/4/1990,12000.0,11001,,2/17/1991,ST,N,N,-93.38358062,29.65798425,-93.38620932
608114066901.0,005,5336.0,27.11543831,ST00BP00,Eni US Operating Co. Inc.,ST267,10/25/1990,11/16/1990,12748.0,11067,5714,11/12/1994,PA,Y,N,-93.38358062,29.65877375,-93.38403812
608174121404.0,006,4570.0,28.26017808,ST00BP00,Marathon Oil Company,EW873,11/17/1990,12/7/1990,8500.0,9035,11415,6/14/1995,PA,Y,N,-93.26141136,29.10070723,-93.27725056
608164045700.0,SS006,3862.0,29.07356111,ST00BP00,Eni US Operating Co. Inc.,ST267,2/16/1991,3/16/1991,12900.0,8806,,4/2/1991,ST,N,N,-93.26141136,29.10224763,-93.27832416
608174128800.0,001,4927.0,28.746915,ST00BP00,"Fairways Offshore Exploration, Inc.",ST245,3/1/1991,4/27/1991,15287.0,9870,,4/16/1991,ST,N,N,-93.26141136,29.10421183,-93.27359026
608114061500.0,MD018,4428.0,27.18830972,ST00BP00,GOM Shelf LLC,ST295,5/1/1991,6/6/1991,13600.0,8652,5819,5/6/1991,ST,N,N,-93.26141136,29.10150453,-93.27638186
608114036904.0,A004,4968.0,27.29194607,ST01BP00,GOM Shelf LLC,ST295,2/6/1995,2/20/1995,12228.0,13000,,6/11/1993,PA,Y,N,-93.46457414,29.33720153,-93.46480174
608114040900.0,DC134,6816.0,27.22454801,ST01BP01,GOM Shelf LLC,ST295,3/7/1995,3/19/1995,12986.0,12101,,7/3/1991,PA,N,N,-93.13878152,29.23692328,-93.14705202
177190085602.0,B020,180.0,28.94171008,ST02BP00,GOM Shelf LLC,ST295,4/1/2000,4/10/2000,12200.0,9879,,7/21/1995,PA,Y,N,-93.26144033,29.12504199,-93.25414483
177150100201.0,P008,137.0,28.61811087,ST01BP02,GOM Shelf LLC,ST295,4/20/1995,4/20/1995,11825.0,10461,,7/14/1995,PA,Y,N,-93.51627946,29.51709431,-93.51633276
177254087401.0,CC051,46.0,29.39212305,ST00BP00,Hess Corporation,ST293,5/13/1991,6/15/1991,13678.0,10054,,7/10/1991,PA,Y,N,-93.16351217,29.11087597,-93.16369327
608234002800.0,001,7590.0,28.58515278,ST01BP00,Hess Corporation,ST293,6/28/1991,7/6/1991,11820.0,10850,,12/10/2013,PA,O,N,-93.28657765,29.30549374,-93.28645785
608174128900.0,006,2047.0,28.402795,ST00BP00,Atlantic Richfield Company,ST245,5/17/1991,8/2/1991,18899.0,15708,12450,8/13/2019,PA,M,N,-93.38259041,29.60913073,-93.38066441
177244035201.0,DA008,217.0,29.26044468,ST01BP00,"Fairways Offshore Exploration, Inc.",ST245,8/15/1991,8/29/1991,17000.0,13069,,10/1/1991,ST,N,N,-93.38259041,29.61105303,-93.38354481
608234002800.0,001,7590.0,28.58515278,ST00BP00,GOM Shelf LLC,ST295,6/14/1991,7/12/1991,14360.0,12114,,9/28/1991,PA,Y,N,-93.42809322,29.70212094,-93.42850972
608174129500.0,002,6131.0,28.68330861,ST00BP02,GOM Shelf LLC,ST295,12/19/1991,1/2/1992,13025.0,12671,,10/16/1991,ST,N,N,-93.20353265,29.52327733,-93.22298765
608174127701.0,B011,668.0,28.93731556,ST00BP00,Newfield Exploration Company,ST219,8/10/1991,8/25/1991,12000.0,12479,8000,8/29/1994,PA,Y,N,-93.20353265,29.52594933,-93.21435555
608174128900.0,006,2047.0,28.402795,ST00BP02,GOM Shelf LLC,ST295,12/11/1991,12/19/1991,12650.0,11188,,10/13/1991,ST,N,N,-93.04230814,29.6780151,-93.04253514
608114062201.0,005,4017.0,27.40712663,ST00BP00,GOM Shelf LLC,ST295,9/9/1991,10/10/1991,11902.0,8844,3485,10/22/1991,PA,Y,N,-93.04230814,29.6746285,-93.04603624
608114062700.0,001,4416.0,27.33000639,ST00BP01,GOM Shelf LLC,ST295,10/11/1991,10/13/1991,11271.0,5000,,11/26/1991,PA,Y,N,-93.7260225,29.61355648,-93.7260276
177104167700.0,C020,235.0,28.27002083,ST00BP01,GOM Shelf LLC,ST295,11/25/1991,12/1/1991,13535.0,5241,,12/2/2010,PA,E,N,-93.12033374,29.06218098,-93.11567224
177144001503.0,078,43.0,29.05868749,ST00BP00,GOM Shelf LLC,ST295,10/19/1991,11/22/1991,16197.0,14018,,1/31/1992,PA,Y,N,-93.53542587,29.67705236,-93.53486347
608084004701.0,002,6823.0,26.21496887,ST00BP00,GOM Shelf LLC,ST295,2/10/1992,3/9/1992,13170.0,14762,10039,8/14/2019,PA,M,N,-93.38261238,29.61668994,-93.39124318
608114062900.0,002,2240.0,27.72113639,ST00BP00,MOBIL OIL EXPLORATION & PRODUCING SOUTHEAST INC.,ST228,4/28/1992,5/17/1992,9400.0,10254,,2/11/1992,ST,N,N,-93.38261238,29.61847474,-93.38674328
608174112305.0,PI001,3853.0,28.15824905,ST00BP00,Apache Corporation,ST277,10/10/1992,10/30/1992,7250.0,11528,8192,3/12/1992,ST,N,N,-93.38261238,29.61743864,-93.38849448
608174128200.0,002,6565.0,28.22703806,ST00BP00,"Maritech Resources, Inc.",ST277,11/16/1992,12/3/1992,7100.0,11377,11738,4/2/1992,ST,N,N,-93.38261238,29.61713094,-93.38808928
608104014600.0,A008,557.0,28.05348944,ST00BP00,"Vastar Resources, Inc.",ST264,11/26/1992,1/3/1993,11602.0,9842,,3/28/1996,PA,Y,N,-93.26057563,29.13369805,-93.25391863
427094117200.0,C002,253.0,28.01489333,ST00BP00,EP Operating Limited Partnership,ST250,3/26/1993,4/10/1993,7510.0,14416,,8/8/1992,PA,Y,N,-93.19727069,29.49846718,-93.19759179
608114065500.0,SA002,3531.0,27.47643417,ST00BP00,Anadarko E&P Company LP,ST245,6/13/1993,7/28/1993,16010.0,9645,,3/28/1996,PA,Y,N,-93.26060068,29.15047868,-93.25979808
608174120701.0,MB008,3037.0,28.16001332,ST00BP00,"Magnum Hunter Production, Inc.",ST265,8/24/1993,9/27/1993,12408.0,11500,,8/2/2019,PA,M,N,-93.17845545,29.24820924,-93.16408025
608084005400.0,002,4838.0,26.85815056,ST00BP00,Walter Oil & Gas Corporation,ST219,8/23/1993,9/15/1993,11051.0,7969,,8/22/1992,PA,Y,N,-93.30704936,29.53428374,-93.30240836
608114066800.0,SS001,4226.0,27.40226611,ST01BP00,Walter Oil & Gas Corporation,ST219,9/23/1993,9/24/1993,10625.0,9611,,3/28/1996,PA,Y,N,-93.2606226,29.12831196,-93.2613103
608174134300.0,002,1381.0,28.15481861,ST00BP00,"Magnum Hunter Production, Inc.",ST265,10/21/1993,11/20/1993,12931.0,11948,,10/10/1992,PA,Y,N,-93.39800992,29.43636144,-93.39802772
177154127500.0,K002,152.0,28.683715,ST00BP00,"Maritech Resources, Inc.",ST277,10/23/1993,11/12/1993,8830.0,5001,,10/26/1992,PA,Y,N,-93.26392853,29.08535119,-93.26281283
608114066700.0,007,5255.0,27.08404111,ST00BP01,Walter Oil & Gas Corporation,ST260,2/20/1994,3/6/1994,16611.0,10125,,2/4/1993,PA,Y,N,-93.4593827,29.5662951,-93.4496925
608114066800.0,SS001,4226.0,27.40226611,ST00BP00,Walter Oil & Gas Corporation,ST260,10/4/1993,1/7/1994,16331.0,11465,,12/17/1999,PA,N,N,-93.65388795,29.63508596,-93.65373215
608114067200.0,006,3922.0,27.41008194,ST00BP00,"Energy Resource Technology, Inc.",ST264,4/20/1994,5/14/1994,8960.0,11081,,11/5/2006,ST,N,N,-93.29128611,29.51170311,-93.28674361
177104140403.0,A014,275.0,28.20225758,ST00BP00,"Maritech Resources, Inc.",ST228,5/19/1994,5/30/1994,5855.0,10535,8123,11/28/2006,ST,N,N,-93.29128611,29.51309991,-93.29036311
608174133200.0,001,5869.0,28.73340694,ST00BP00,"Maritech Resources, Inc.",ST228,6/5/1994,6/18/1994,6673.0,10700,4602,9/27/2023,PA,M,N,-93.29128611,29.50990441,-93.28354591
608114066903.0,005,5355.0,27.11543831,ST00BP00,"Dominion Exploration & Production, Inc.",WILD,7/10/1994,10/6/1994,18034.0,10504,,5/2/2016,PA,M,N,-93.08403445,29.42526768,-93.08389065
608124011101.0,JU105,7147.0,26.38388854,ST00BP01,"Magnum Hunter Production, Inc.",ST265,10/28/1994,11/11/1994,16781.0,7190,,1/25/1993,PA,Y,N,-93.24576876,29.23753348,-93.24589346
608174135002.0,001,7293.0,28.41858453,ST00BP00,"Magnum Hunter Production, Inc.",ST265,8/22/1994,10/22/1994,17016.0,14030,,9/8/2022,PA,E,P,-93.75061491,29.62440803,-93.75092121
608174135200.0,001,4014.0,28.84861806,ST00BP00,"W & T Offshore, Inc.",ST228,10/7/1994,11/13/1994,9100.0,9500,,2/22/1993,PA,Y,N,-93.0701566,28.96410606,-93.0700676
608174134000.0,AW001,7166.0,28.61891389,ST01BP00,"W & T Offshore, Inc.",ST228,9/29/1999,10/3/1999,8929.0,10222,,5/2/2016,PA,M,N,-93.08405643,29.42027049,-93.07830183
608114066600.0,PC002,4239.0,27.32163083,ST02BP00,"W & T Offshore, Inc.",ST228,10/5/1999,10/6/1999,7904.0,14210,,8/22/2022,PA,M,P,-93.75061491,29.62862213,-93.74199201
608094000200.0,002,8710.0,25.94701194,ST03BP00,"W & T Offshore, Inc.",ST228,10/7/1999,10/9/1999,8616.0,14648,,10/28/2013,PA,M,N,-93.31547435,29.30893783,-93.30999675
608114067500.0,003,4585.0,27.23053389,ST04BP00,"W & T Offshore, Inc.",ST228,4/22/2004,4/29/2004,8591.0,6200,,8/18/1993,PA,Y,N,-93.11922251,29.09899233,-93.11922711
608114063600.0,002,4950.0,27.15375861,ST00BP00,"British-Borneo USA, Inc.",WILD,12/11/1994,12/23/1994,7107.0,8667,,5/5/1999,ST,Y,N,-93.10144978,29.2860372,-93.09888768
608174128500.0,001,7032.0,28.30090361,ST00BP01,"W & T Offshore, Inc.",ST228,1/5/1995,1/8/1995,10861.0,9771,550,11/15/2010,PA,M,N,-93.10144978,29.2806618,-93.09251428
608114063500.0,002,5183.0,27.14683361,ST00BP00,"W & T Offshore, Inc.",ST228,12/5/1994,1/4/1995,10064.0,5103,,5/3/2002,ST,N,N,-93.1203684,29.07175913,-93.1205036
608174112305.0,PI001,3853.0,28.15824905,ST00BP00,"Energy Resource Technology, Inc.",ST264,2/5/1995,3/5/1995,9791.0,4599,2333,10/9/2010,PA,E,N,-93.1203684,29.07423483,-93.1040831
177124068900.0,A017,372.0,28.06142361,ST00BP00,ConocoPhillips Company,ST267,5/4/1995,5/29/1995,9745.0,6600,,7/12/1993,PA,Y,N,-93.1799335,29.09485614,-93.1799427
608174129100.0,001,6008.0,28.793585,ST00BP00,Burlington Resources Offshore Inc.,ST241,7/23/1995,8/18/1995,11750.0,10450,,7/11/2023,TA,N,N,-93.14210494,29.65238381,-93.14514354
608084004800.0,001,4248.0,26.83623167,ST00BP00,GOM Shelf LLC,ST296,9/3/1995,9/21/1995,6600.0,8666,,5/15/1998,ST,N,N,-93.08507657,29.09516395,-93.08094687
608114059300.0,DC321,5411.0,27.25014361,ST00BP00,"Magnum Hunter Production, Inc.",ST264,11/21/1995,12/15/1995,6957.0,7207,3740,5/9/2004,ST,N,N,-93.08507657,29.09695945,-93.09660127
608174128900.0,006,2047.0,28.402795,ST00BP00,"Magnum Hunter Production, Inc.",ST265,10/8/1995,11/30/1995,16875.0,5761,3574,5/20/2004,ST,N,N,-93.08507657,29.09099195,-93.07526567
427084064500.0,001,53.0,29.27425389,ST01BP01,"Magnum Hunter Production, Inc.",ST265,12/28/1995,1/16/1996,16600.0,5656,6430,5/26/2004,PA,M,N,-93.08507657,29.09280505,-93.08009767
608174046602.0,A003,2945.0,28.16942963,ST02BP00,"Magnum Hunter Production, Inc.",ST265,9/28/2000,10/22/2000,16541.0,14998,,10/29/2013,PA,M,N,-93.3154743,29.29792291,-93.3050975
608174129300.0,004,2570.0,28.42592083,ST01BP00,"Magnum Hunter Production, Inc.",ST265,12/3/1995,12/14/1995,16782.0,8712,,6/23/2023,TA,N,N,-93.15094994,29.6213317,-93.12400254
608174128900.0,006,2047.0,28.402795,ST00BP00,"Energy Resource Technology, Inc.",ST264,11/18/1995,11/27/1995,6256.0,14323,,8/14/2019,PA,M,N,-93.38262817,29.61636184,-93.38197517
608174129100.0,001,6008.0,28.793585,ST00BP00,"Cairn Energy USA, LLC",ST265,12/19/1995,2/11/1996,17237.0,10652,,9/30/2003,PA,M,N,-93.17380438,29.25512218,-93.16877878
608174128700.0,001,4213.0,28.01167417,ST01BP00,"Cairn Energy USA, LLC",ST265,2/18/1996,2/26/1996,16048.0,16543,,6/9/2017,PA,M,N,-93.24133137,29.3265035,-93.23383897
177104167800.0,K017,269.0,28.19612,ST00BP00,Newfield Exploration Gulf Coast LLC,ST254,2/17/1996,6/7/1996,15284.0,9537,,12/3/1993,PA,Y,N,-93.58643472,29.54815277,-93.58881002
,,,,,,,,,,6201,,12/12/1993,PA,Y,N,-93.18150015,29.17923203,-93.18177245
,,,,,,,,,,11747,,1/12/1994,PA,Y,N,-93.07058052,29.3302369,-93.07071462
,,,,,,,,,,10700,,11/9/2013,PA,M,N,-93.31550612,29.31744925,-93.32723102
,,,,,,,,,,9388,,8/11/2004,PA,M,N,-93.24816154,29.42930038,-93.24808574
,,,,,,,,,,10090,,1/27/1994,PA,Y,N,-93.1119311,29.24657477,-93.111887
,,,,,,,,,,14032,,6/5/2019,PA,M,P,-93.75061805,29.63271668,-93.73470535
,,,,,,,,,,13000,,4/26/2006,PA,M,N,-93.15872945,29.63612725,-93.15865035
,,,,,,,,,,10230,9682,1/15/2001,ST,N,N,-93.60755691,29.66304389,-93.59866871
,,,,,,,,,,9037,3800,4/29/2013,PA,M,N,-93.60755691,29.66216879,-93.60167641
,,,,,,,,,,8566,,5/17/1994,ST,N,N,-93.60755691,29.66592689,-93.60159281
,,,,,,,,,,9102,8705,6/5/1994,ST,N,N,-93.60755691,29.66513309,-93.60079301
,,,,,,,,,,8901,,7/9/2013,PA,M,N,-93.59349525,29.6438563,-93.59644865
,,,,,,,,,,15962,,8/30/1994,PA,Y,N,-93.3410041,29.31133308,-93.3528102
,,,,,,,,,,9710,,10/9/2014,PA,E,N,-93.01306848,29.29296516,-93.01603358
,,,,,,,,,,12509,,6/29/1994,PA,Y,N,-93.0444529,28.67377304,-93.0444463
,,,,,,,,,,13595,,8/20/2009,PA,E,N,-93.30547678,29.54393763,-93.30486428
,,,,,,,,,,10450,,10/22/1998,PA,Y,N,-93.02802001,29.41526306,-93.02790071
,,,,,,,,,,13491,,10/27/1991,PA,Y,N,-93.27744502,29.27495745,-93.27777189
,,,,,,,,,,17987,,3/30/1981,PA,Y,N,-93.43024192,29.541818,-93.42963479
,,,,,,,,,,15967,,10/15/1982,PA,Y,N,-93.6652503,29.62745179,-93.6654031
,,,,,,,,,,11803,,1/17/1981,PA,Y,N,-93.09765008,29.22509489,-93.09765008
,,,,,,,,,,7549,,10/26/1984,PA,Y,N,-93.19512275,29.32610517,-93.19118735
,,,,,,,,,,15838,,8/25/1981,PA,Y,N,-93.16174882,29.3098685,-93.16274362
,,,,,,,,,,16550,,6/9/1981,PA,Y,N,-93.08581476,29.2648916,-93.08788266
,,,,,,,,,,16691,,1/18/2006,PA,E,N,-93.29740415,29.25913453,-93.30255345
,,,,,,,,,,16461,,5/23/1981,PA,Y,N,-93.2239483,29.68781508,-93.2243623
,,,,,,,,,,15600,,10/12/1981,PA,Y,N,-93.19668007,29.56794897,-93.19668007
,,,,,,,,,,8985,,4/24/2013,PA,M,N,-93.59894771,29.64651191,-93.60476561
,,,,,,,,,,14334,,7/23/1995,PA,Y,N,-93.19916169,29.61176586,-93.19520969
,,,,,,,,,,15996,,6/28/1981,PA,Y,N,-93.21632358,29.70216673,-93.21642108
,,,,,,,,,,10741,,11/8/1987,PA,Y,N,-93.60940545,29.57408881,-93.60940545
,,,,,,,,,,14005,,7/14/1981,PA,Y,N,-93.17081314,29.10559889,-93.17082784
,,,,,,,,,,11119,,6/21/2023,TA,N,N,-93.15095715,29.62708528,-93.14145275
,,,,,,,,,,14412,14706,1/18/2006,PA,E,N,-93.29735105,29.27851311,-93.29091025
,,,,,,,,,,14421,,9/2/1981,ST,N,N,-93.29735105,29.27850281,-93.29090965
,,,,,,,,,,10399,,7/19/1981,PA,Y,N,-93.29575091,29.44371514,-93.29408821
,,,,,,,,,,1020,,5/14/1981,PA,Y,N,-93.60280161,29.53675169,-93.60280161
,,,,,,,,,,13944,,7/31/1989,PA,Y,N,-93.34514761,29.23763366,-93.34506991
,,,,,,,,,,12593,,8/6/1989,PA,Y,N,-93.63552818,29.52979105,-93.65253328
,,,,,,,,,,15161,,9/21/1990,PA,Y,N,-93.19916169,29.60129776,-93.19886909
,,,,,,,,,,12998,,10/13/1981,PA,Y,N,-93.60276934,29.53668139,-93.60284944
,,,,,,,,,,8514,,8/29/1981,PA,Y,N,-93.10085824,29.03731658,-93.10085352
,,,,,,,,,,6000,,7/26/2003,PA,M,N,-93.11086146,29.09000386,-93.11087306
,,,,,,,,,,14601,4500,10/10/1981,PA,Y,N,-93.19916155,29.60546833,-93.19250195
,,,,,,,,,,7645,,8/12/1981,ST,N,N,-93.19916155,29.60689173,-93.19327525
,,,,,,,,,,14500,,11/2/1981,PA,Y,N,-93.07739957,29.28326664,-93.07739957
,,,,,,,,,,6950,,11/17/1988,PA,Y,N,-93.11258935,29.11015218,-93.11258935
,,,,,,,,,,14221,,12/7/1981,PA,Y,N,-93.3848144,29.19984836,-93.3848144
,,,,,,,,,,15530,,6/1/1982,PA,Y,N,-93.37783084,29.53834589,-93.37783084
,,,,,,,,,,19585,,4/25/2005,PA,M,N,-93.14230744,29.53783055,-93.14247114
,,,,,,,,,,6313,,11/17/1988,PA,Y,N,-93.11258896,29.09805109,-93.11032026
,,,,,,,,,,10800,,12/2/1981,PA,Y,N,-93.19629667,29.11424388,-93.20668547
,,,,,,,,,,18730,,7/27/2004,PA,M,N,-93.13060154,29.55715009,-93.12728324
,,,,,,,,,,14242,,1/18/2006,PA,E,N,-93.29733846,29.25837487,-93.29347246
,,,,,,,,,,9210,,12/9/1981,PA,Y,N,-93.24322086,29.42620085,-93.23402446
,,,,,,,,,,12998,,7/4/1990,PA,Y,N,-93.24358843,29.64938715,-93.24384933
,,,,,,,,,,12625,,1/14/1982,PA,Y,N,-93.36932994,29.24603251,-93.36967214
,,,,,,,,,,16000,,3/12/1988,PA,Y,N,-93.08637672,29.62728505,-93.08642406
,,,,,,,,,,5250,,10/26/1984,PA,M,N,-93.19514442,29.33251085,-93.19463132
,,,,,,,,,,13259,,1/14/1982,PA,Y,N,-93.08309006,29.55464609,-93.08322646
,,,,,,,,,,13020,,5/22/1982,PA,Y,N,-93.27361945,29.46632114,-93.27361945
,,,,,,,,,,16980,,6/13/1982,PA,Y,N,-93.48176336,29.39279216,-93.48230807
,,,,,,,,,,11363,,8/11/2019,PA,M,N,-93.17835822,29.24321426,-93.17146202
,,,,,,,,,,13008,,4/20/1982,PA,Y,N,-93.29874062,29.47271049,-93.29774852
,,,,,,,,,,11105,,6/23/2023,TA,N,N,-93.15098502,29.62441304,-93.14219942
