VESSEL_NAME,VESSEL_CATEGORY,OWNER,DATA_SOURCE,RIG_DESIGN,WATER_DEPTH_RATING_FT,RIG_TYPE,DATA_SOURCE_URL,HULL_FORM_TYPE,HULL_LIBRARY_REF,LOA_M,BEAM_M,DRAFT_M,DIMENSION_CONFIDENCE
West Eclipse,drilling_rig,Seadrill Limited,contractor_fleet_page,,,semi_submersible,https://www.seadrill.com/wp-content/uploads/2024/01/West_Eclipse.v1.pdf,semi_sub,semi_sub_100m,104.0,78.0,21.0,generic
West Elara,drilling_rig,Seadrill Limited,contractor_fleet_page,,,jack_up,https://www.seadrill.com/wp-content/uploads/2024/01/West_Elara.pdf,jackup,jackup_70m,70.0,76.0,5.5,generic
West Gemini,drilling_rig,Seadrill Limited,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2024/01/West_Gemini.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
West Jupiter,drilling_rig,Seadrill Limited,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2024/01/2024-01_West_Jupiter.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
West Neptune,drilling_rig,Seadrill Limited,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2025/07/2025-05-West_Neptune.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
West Phoenix,drilling_rig,Seadrill Limited,contractor_fleet_page,,,semi_submersible,https://www.seadrill.com/wp-content/uploads/2024/01/West_Phoenix-1.pdf,semi_sub,semi_sub_100m,104.0,78.0,21.0,generic
West Polaris,drilling_rig,Seadrill Limited,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2025/07/2025-05-West_Polaris.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
West Saturn,drilling_rig,Seadrill Limited,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2024/01/West_Saturn.1.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
West Tellus,drilling_rig,Seadrill Limited,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2024/01/2024-01_West_Tellus.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
West Vela,drilling_rig,Seadrill Limited,contractor_fleet_page,,,drillship,https://www.seadrill.com/wp-content/uploads/2024/11/2024-10-West_Vela.pdf,drillship,drillship_230m,228.0,42.0,12.0,generic
