VESSEL_NAME,VESSEL_CATEGORY,VESSEL_TYPE,VESSEL_SUBTYPE,OWNER,OPERATOR,IMO_NUMBER,FLAG_STATE,STATUS,DATA_SOURCE,DATA_SOURCE_URL,LOA_M,BEAM_M,DRAFT_M,DISPLACEMENT_TONNES,GROSS_TONNAGE,DP_CLASS,YEAR_BUILT,QUARTERS_CAPACITY,HELIDECK,MAIN_CRANE_CAPACITY_T,MAIN_CRANE_REACH_M,AUX_CRANE_CAPACITY_T,AUX_CRANE_REACH_M,PIPELAY_TENSION_T,PIPELAY_METHOD,DECK_AREA_M2,DECK_LOAD_CAPACITY_T,WATER_DEPTH_RATING_M,HEAVY_LIFT_CAPACITY_T,ROV_SYSTEMS,MOONPOOL,TURBINE_CAPACITY_MW,FOUNDATION_TYPE,TRANSIT_SPEED_KNOTS,MMSI,CLASSIFICATION_SOCIETY,CLASS_NOTATION,COLLECTION_DATE,DEPTH_M,DEADWEIGHT_TONNES,PIPELAY_CAPACITY_IN,BOLLARD_PULL_T
SEVEN BOREALIS,construction,crane_vessel,monohull,Subsea 7 S.A.,Subsea 7 S.A.,9558081,Luxembourg,active,subsea7_fleet,https://www.subsea7.com/fleet/seven-borealis,182.2,46.2,9.5,,,3.0,2012.0,200.0,True,5000.0,30.0,100.0,,550.0,S-lay,3000.0,,2500.0,5000.0,2.0,False,,,12.0,,,,,,,,
SEVEN VEGA,construction,pipelay_vessel,monohull,Subsea 7 S.A.,Subsea 7 S.A.,9749137,Luxembourg,active,subsea7_fleet,https://www.subsea7.com/fleet/seven-vega,149.9,30.0,8.0,,,3.0,2020.0,130.0,True,,,,,900.0,reel_lay,2600.0,,3000.0,,2.0,False,,,12.0,,,,,,,,
SEVEN ARCTIC,construction,pipelay_vessel,monohull,Subsea 7 S.A.,Subsea 7 S.A.,9763990,Luxembourg,active,subsea7_fleet,https://www.subsea7.com/fleet/seven-arctic,149.9,30.0,8.0,,,3.0,2017.0,130.0,True,,,,,900.0,reel_lay,2600.0,,3000.0,,2.0,False,,,12.0,,,,,,,,
AMAZON,construction,crane_vessel,monohull,McDermott International,McDermott International,9275234,Marshall Islands,active,mcdermott_fleet,https://www.mcdermott.com/fleet/amazon,174.0,52.0,8.5,,,2.0,2005.0,180.0,False,2200.0,40.0,800.0,35.0,,,,3000.0,1500.0,2200.0,2.0,False,,,10.0,,,,,,,,
DLV 2000,construction,pipelay_vessel,semi_submersible,McDermott International,McDermott International,9220940,Marshall Islands,active,mcdermott_fleet,https://www.mcdermott.com/fleet/dlv-2000,170.0,54.0,18.0,,,3.0,2001.0,220.0,True,2500.0,35.0,,,550.0,J-lay,4000.0,,2000.0,,4.0,True,,,7.0,,,,,,,,
NORTH OCEAN 105,construction,pipelay_vessel,monohull,TechnipFMC,TechnipFMC,9476748,Bahamas,active,technipfmc_fleet,https://www.technipfmc.com/fleet/north-ocean-105,156.0,27.0,7.5,,,2.0,2011.0,140.0,True,400.0,25.0,,,225.0,reel_lay,1200.0,,3000.0,,2.0,False,,,12.0,,,,,,,,
DEEP ENERGY,construction,pipelay_vessel,monohull,TechnipFMC,TechnipFMC,9376951,Bahamas,active,technipfmc_fleet,https://www.technipfmc.com/fleet/deep-energy,183.0,32.0,9.0,,,3.0,2010.0,199.0,True,400.0,25.0,,,450.0,reel_lay,2200.0,,3000.0,,2.0,False,,,12.0,,,,,,,18.0,
HAPPY BUCCANEER,construction,heavy_lift,Heavylift,BigLift Shipping,BIGLIFT SHIPPING,8300389,,scrapped,frontier_heavy_lift_csv,https://www.bigliftshipping.com/fleet/happy-buccaneer,146.0,28.3,,,,,,,,675.0,,2755.0,,,,,,,,,,,,,,,,,,,,
OSA GOLIATH,construction,heavy_lift,Offshore Support/Heavy Lift,Coastline Maritime / CarVal Investors,COASTLINE MARITIME,9396933,,stacked,frontier_heavy_lift_csv,https://www.maritimeprofessional.com/news/offshore-construction-vessel-goliath-sold-228324,179.8,32.0,12.2,,,3.0,,,,1600.0,35.0,200.0,84.0,,,,,,,,,,,,,ABS A1,,,,,,
OSA SAMPSON,construction,heavy_lift,DP Construction,unknown,COASTLINE MARITIME,9429455,,unknown,frontier_heavy_lift_csv,https://www.shipspotting.com/photos/1754340,179.8,32.0,12.2,,,3.0,,,,1600.0,35.0,200.0,84.0,,,,,,,,,,,,,ABS A1,,,,,,
HERCULES,construction,heavy_lift,A-frame type cranebarge,SMIT (Boskalis subsidiary),SMIT HEAVY LIFT EUROPE BV,8768763,,unknown,frontier_heavy_lift_csv,https://www.smit.com/,70.1,42.1,7.3,,,,,,,1760.0,32.6,1760.0,30.5,,,,,,,,,,,,,ABS / A1 Barge,,,,,,
COMANCHE,construction,pipelay_vessel,Derrick/Lay Barge,EMAS AMC,EMAS AMC,8757647,,unknown,frontier_pipelay_csv,https://www.offshore-energy.biz/new-player-emerges-as-sea-trucks-sheds-four-vessels/,122.2,30.5,8.8,,,,,243.0,,800.0,29.0,675.0,22.9,,,,,,,,,,,,,ABS A-1,,,,,60.0,
DLB 264,construction,pipelay_vessel,Derrick/Lay Barge,EMAS AMC,EMAS AMC,8757192,,unknown,frontier_pipelay_csv,https://www.offshore-energy.biz/new-player-emerges-as-sea-trucks-sheds-four-vessels/,121.9,30.5,9.1,,,2.0,,275.0,,800.0,24.4,300.0,51.8,,,,,2438.4,,,,,,,,ABS A-1,,,,,60.0,
GLOBAL 1200,construction,heavy_lift,Derrick Pipelay,Marine Platforms Limited (51%) / DS Global Offshore (49%),"GLOBAL INDUSTRIES, LTD.",9463815,,active,frontier_heavy_lift_csv,https://ulstein.com/references/african-huan-qui-1200,162.2,37.8,,,,2.0,,,,1322.0,31.7,992.0,31.7,,,,,,,,,,,,,ABS A-1,,,,,,
HERMOD,construction,heavy_lift,Semi Submersible Crane Vessel,Heerema Marine Contractors,"HEEREMA MARINE CONTRACTORS U.S., INC.",7710214,,scrapped,frontier_heavy_lift_csv,https://heerema.com/news/well-deserved-retirement-of-hermod,153.9,86.0,42.1,,,,,,,1500.0,,,,,,,,,,,,,,,,Lloyd's,,,,,,
Q-4000,construction,heavy_lift,DP MSV,Helix Energy Solutions Group,HELIX ENERGY SOLUTIONS GROUP,8767123,,active,frontier_heavy_lift_csv,https://helixesg.com/our-assets/q4000/,95.1,58.2,14.9,,,3.0,,,,661.0,,661.0,,,,,,,,,,,,,,ABS / USCG,,,,,,
INTREPID,construction,pipelay_vessel,DP MSV,Ocean Sub Sea Services,"HELIX ENERGY SOLUTIONS GROUP, INC.",8641939,,sold,frontier_pipelay_csv,https://www.offshore-energy.biz/usa-helix-sells-its-three-pipelay-vessels/,1609.3,32.0,7.6,,,2.0,,,,440.0,,440.0,18.0,,,,,,,,,,,,,ABS / USCG,,,,,,
EXPRESS,construction,pipelay_vessel,DP MSV,unknown,"HELIX ENERGY SOLUTIONS GROUP, INC.",9185891,,scrapped,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/9185891,1609.3,34.7,9.8,,,,,,,,,,,,,,,,,,,,,,,Lloyd's Register,,,,,,
JUMBO JAVELIN,construction,heavy_lift,Heavy Lift Vessel,Jumbo Maritime,JUMBO OFFSHORE,9243837,,active,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels/details/9243837,143.3,26.5,16.2,,,2.0,,,,1100.0,,991.0,,,,,,,,,,,,,,Lloyd's,,,,,,
FAIRPLAYER,construction,heavy_lift,Heavy Lift vessel,Jumbo Maritime,JUMBO OFFSHORE,9371579,,active,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels/details/9371579,143.3,26.5,16.2,,,2.0,,,,220.0,,991.0,,,,,,,,,,,,,,Lloyd's,,,,,,
MARIDIVE CONSTRUCTOR,construction,heavy_lift,Construction Pipelay Crane Barge,Maridive Offshore Projects SAE,MARIDIVE OFFSHORE PROJECTS SAE,8769573,,active,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels/details/8769573,0.6,6.1,,,,,,,,336.0,11.0,336.0,11.0,,,,,,,,,,,,,ABS + A1,,,,,,
DB 50,construction,pipelay_vessel,DP Derrick Barge,McDermott International,INTERNATIONAL CONSTRUCTION GROUP,8503539,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/8503539,2.7,12.5,,,,,,,,551.0,,4400.0,36.9,,,,,,,,,,,,,ABS,,,,,,
DB 16,construction,pipelay_vessel,DP Derrick/Lay Barge,McDermott International,INTERNATIONAL CONSTRUCTION GROUP,8757609,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/8757609,121.9,30.5,,,,,,,,537.0,,860.0,21.3,,,,,,,,,,,,,ABS/USCG,,,,,,
DB 101,construction,heavy_lift,Semi Sub Derrick Barge,McDermott International,MCDERMOTT,7709069,,active,frontier_heavy_lift_csv,https://www.fotoflite.com/store/crane-or-derrick-barge/mcdermott-db-101-detail,146.3,51.8,36.6,,,,,,,3500.0,23.8,2700.0,23.8,,,,,,,,,,,,,Bureau Veritas,,,,,,
DB27,construction,pipelay_vessel,Derrick/Lay Barge,McDermott International,INTERNATIONAL CONSTRUCTION GROUP,8757685,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/8757685,128.0,39.0,,,,,,,,2400.0,30.5,1600.0,35.1,,,,,,,,,,,,,ABS,,,,,,
DB30,construction,pipelay_vessel,Derrick/Lay Barge,McDermott International / Berlian JV,INTERNATIONAL CONSTRUCTION GROUP,8757788,,active,frontier_pipelay_csv,https://www.mcdermott.com/What-We-Do/Marine-Construction-Vessel/Derrick-Barge-30,128.0,48.2,8.5,,,,,,,600.0,,3080.0,33.5,,,,,,,,,,,,,ABS,,,,,,
KP1,construction,pipelay_vessel,Derrick/Lay Barge,McDermott International,INTERNATIONAL CONSTRUCTION GROUP,8757300,,unknown,frontier_pipelay_csv,https://www.mcdermott.com/What-We-Do/Marine-Construction-Vessel,139.0,30.2,9.1,,,,,,,660.0,24.4,600.0,19.8,,,,,,,,,,,,,ABS,,,,,,
HLS 2000,construction,heavy_lift,Heavy Lift,NPCC,NATIONAL PETROLEUM CONSTRUCTION COMPANY,5401596,,active,frontier_heavy_lift_csv,https://www.marinevesseltraffic.com/vessels/HLS-2000/CURRENT-POSITION/5401596/470283000,,,,,,,,,,2640.0,41.1,1775.0,32.0,,,,,,,,,,,,,174.4 x 35.3 x 15.2 m,,,,,,
SEP 250,construction,heavy_lift,Self Elevating Platform with flat bottom,NPCC,NATIONAL PETROLEUM CONSTRUCTION COMPANY,8759035,,active,frontier_heavy_lift_csv,https://www.vesseltracker.com/en/Ships/Npcc-Barge-Sep-350-8759035.html,,,,,,,,,,272.0,16.8,80.0,,,,,,,,,,,,,,64.0 x 27.4 x 4.27 m,,,,,,
DLB-750,construction,heavy_lift,DLB,NPCC,NATIONAL PETROLEUM CONSTRUCTION COMPANY,8758108,,active,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels/NPCC-DLB-750-IMO-8758108-MMSI-470339000,,,,,,,,,,750.0,22.9,700.0,19.8,,,,,,,,,,,,,123.0 x 33.5 x 8.8 m,,,,,,
DLB-1000,construction,heavy_lift,DLB,NPCC,NATIONAL PETROLEUM CONSTRUCTION COMPANY,8756954,,active,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels/NPCC-BARGE-DLB-1000-IMO-8756954-MMSI-470284000,,,,,,,,,,1270.0,24.4,825.0,23.2,,,,,,,,,,,,,121.9 x 36.58 x 8.23 m,,,,,,
JASCON 8,construction,heavy_lift,"Construction, Hook up Barge",Sea Trucks Group / Walvis International,OFFSHORE CONTRACTORS (C.I.) LIMITED,8992209,,active,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels/details/8992209,104.2,24.4,5.5,,,,,,,176.0,,176.0,,,,,,,,,,,,,,ABS,,,,,,
JASCON 30,construction,pipelay_vessel,DP Lay Crane Accom,Telford Offshore,SAIPEM AMERICA INC.,9420655,,active,frontier_pipelay_csv,https://telfordoffshore.com/fleet/,111.3,30.5,6.1,,,3.0,,298.0,,176.0,,300.0,,,,,,,,,,,,,,ABS,,,,,60.0,
JASCON 25,construction,pipelay_vessel,DP Lay Crane Accom,Telford Offshore,SAIPEM AMERICA INC.,8770106,,active,frontier_pipelay_csv,https://telfordoffshore.com/fleet/,118.9,30.5,8.2,,,3.0,,355.0,,55.0,,880.0,,,,,,,,,,,,,,ABS,,,,,60.0,
JASCON 34,construction,pipelay_vessel,DP Lay Crane Accom,Telford Offshore,SAIPEM AMERICA INC.,8770273,,active,frontier_pipelay_csv,https://telfordoffshore.com/fleet/telford-34/,118.9,30.5,8.2,,,3.0,,355.0,,55.0,,880.0,,,,,,,,,,,,,,ABS,,,,,60.0,
JASCON 2,construction,pipelay_vessel,DP Lay Accom,Sea Trucks Group,SAIPEM AMERICA INC.,8755259,,active,frontier_pipelay_csv,https://www.marinetraffic.com/en/ais/details/ships/shipid:762662/mmsi:657512000/imo:8755259/vessel:JASCON_2,79.2,35.4,4.3,,,,,220.0,,176.0,,300.0,,,,,,,,,,,,,,ABS,,,,,32.0,
JASCON 31,construction,heavy_lift,"DP Construction, Hook up Barge",Telford Offshore,OFFSHORE CONTRACTORS (C.I.) LIMITED,8770285,,active,frontier_heavy_lift_csv,https://telfordoffshore.com/fleet/telford-31/,110.9,30.5,6.7,,,3.0,,,,200.0,,400.0,,,,,,,,,,,,,,ABS,,,,,,
OSFI DB KALLOP (Note 2),construction,heavy_lift,Derrick Barge,unknown,"OFFSHORE SPECIALTY FABRICATORS, INC.",8639455,,unknown,frontier_heavy_lift_csv,https://www.offshore-mag.com/vessels/article/16760467/us-gulf-pipeline-contractor-survey,121.9,42.7,7.9,,,,,,,1763.0,39.9,1760.0,39.9,,,,,,,,,,,,,NK,,,,,,
OSFI SWING THOMPSON,construction,heavy_lift,Derrick Barge,unknown,"OFFSHORE SPECIALTY FABRICATORS, INC.",7706005,,unknown,frontier_heavy_lift_csv,https://www.offshore-mag.com/vessels/article/16760467/us-gulf-pipeline-contractor-survey,121.9,36.6,7.6,,,,,,,1322.0,32.0,1323.0,29.9,,,,,,,,,,,,,Lloyds,,,,,,
MSV REGALIA,construction,heavy_lift,DP MSV,scrapped,PROSAFE OFFSHORE PTE LTD,8308549,,scrapped,frontier_heavy_lift_csv,https://www.rivieramm.com/news-content-hub/news-content-hub/prosafe-scaps-35-year-old-accommodation-semi-sub-62926,95.4,96.0,21.3,,,,,,,400.0,,400.0,20.0,,,,,,,,,,,,,Lloyds,,,,,,
CASTORO OTTO,construction,pipelay_vessel,Derrick/Lay Barge,Saipem,SAIPEM AMERICA INC.,7422001,,active,frontier_pipelay_csv,https://www.balticshipping.com/vessel/imo/7422001,191.7,34.7,14.9,,,,,339.0,,2400.0,39.6,2000.0,33.5,,,,,365.8,,,,,,,,ABS,,,,,60.0,
SAIPEM 3000,construction,pipelay_vessel,Heavy Lift DP Vessel,Saipem,SAIPEM AMERICA INC.,8309165,,active,frontier_pipelay_csv,https://www.saipem.com/en/solutions-energy-transition/fleet-and-yards/saipem-3000,161.8,38.4,8.8,,,3.0,,195.0,,376.0,,2400.0,39.6,,,,,3048.0,,,,,,,,DNV & ABS,,,,,,
CASTORO II,construction,pipelay_vessel,Derrick/Lay Barge,Saipem,SAIPEM AMERICA INC.,8758885,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/CASTORO-II-IMO-8758885-MMSI-309085000,134.7,32.3,8.8,,,,,248.0,,1100.0,21.3,910.0,21.3,,,,,243.8,,,,,,,,ABS/R.I.Na  100A 1.1,,,,,72.0,
CRAWLER,construction,pipelay_vessel,Derrick/Lay Barge,Saipem,SAIPEM AMERICA INC.,8758706,,active,frontier_pipelay_csv,https://www.saipem.com/en/solutions-energy-transition/fleet-and-yards,150.3,34.1,14.0,,,,,230.0,,660.0,23.2,660.0,23.2,,,,,121.9,,,,,,,,R.I.Na.,,,,,48.0,
BOS 355 (Note 3),construction,heavy_lift,Derrick/Lay Barge,Saipem,SAIPEM INC. / SAIPEM GROUP,8758483,,unknown,frontier_heavy_lift_csv,https://www.saipem.com/en/solutions-energy-transition/fleet-and-yards,108.2,29.9,7.6,,,,,,,650.0,18.3,550.0,18.3,,,,,,,,,,,,,Class BV I 3/3 E,,,,,,
STANISLAV YUDIN,construction,heavy_lift,Heavy Lift Vessel,Micoperi (new owner 2024),SEAWAY HEAVY LIFTING ENGINEERING B.V.,8219463,,sold,frontier_heavy_lift_csv,https://www.heavyliftnews.com/seaway-yudin-enters-new-waters-with-new-owner/,,,,,,,,,,880.0,,2750.0,,,,,,,,,,,,,,600 x 118 x 43 ft,,,,,,
OLEG STRASHNOV,construction,heavy_lift,Heavy Lift Vessel,Seaway7,SEAWAY HEAVY LIFTING ENGINEERING B.V.,9452701,,active,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels/details/9452701,,,,,,,,,,4400.0,,5500.0,,,,,,,,,,,,,,600 x 154 x 59 ft,,,,,,
CYCLONE,construction,heavy_lift,A-frame type cranebarge,SMIT (Boskalis subsidiary),SMIT HEAVY LIFT EUROPE BV,7603588,,active,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels/details/7603588,76.2,24.1,4.6,,,,,,,1102.0,,1102.0,,,,,,,,,,,,,,GL /100 A4,,,,,,
HERCULES II,construction,heavy_lift,A-frame type cranebarge,Asian Lift (Smit/Keppel JV),SMIT HEAVY LIFT EUROPE BV,8639297,,active,frontier_heavy_lift_csv,https://en.wikipedia.org/wiki/Asian_Hercules_II,90.8,43.0,8.2,,,,,,,3527.0,,3527.0,,,,,,,,,,,,,,ABS / A1 Barge + PAS,,,,,,
TAKLIFT 1,construction,heavy_lift,A-frame type cranebarge,SMIT (Boskalis subsidiary),SMIT HEAVY LIFT EUROPE BV,7943392,,unknown,frontier_heavy_lift_csv,https://www.smit.com/,60.4,27.7,5.5,,,,,,,880.0,,880.0,,,,,,,,,,,,,,BV/coastal,,,,,,
TAKLIFT 4,construction,heavy_lift,A-frame type cranebarge,SMIT (Boskalis subsidiary),SMIT HEAVY LIFT EUROPE BV,8010506,,active,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels/TAKLFT-4-IMO-8010506-MMSI-563101500,83.2,36.9,4.0,,,,,,,2640.0,,2425.0,,,,,,,,,,,,,,LR/Worldwide,,,,,,
TAKLIFT 6,construction,heavy_lift,A-frame type cranebarge,SMIT (Boskalis subsidiary),SMIT HEAVY LIFT EUROPE BV,7734806,,unknown,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels/TAKLIFT-6-IMO-7734806-MMSI-0,72.5,30.5,5.5,,,,,,,2200.0,,1320.0,,,,,,,,,,,,,,GL/Coastal,,,,,,
TAKLIFT 7,construction,heavy_lift,A-frame type cranebarge,SMIT (Boskalis subsidiary),SMIT HEAVY LIFT EUROPE BV,7829273,,active,frontier_heavy_lift_csv,https://www.vesselfinder.com/vessels/details/7829273,72.5,30.5,5.5,,,,,,,2200.0,,1320.0,,,,,,,,,,,,,,GL/Coastal,,,,,,
SUPERIOR PERFORMANCE,construction,heavy_lift,Heavy Lift Vessel,unknown,SUPERIOR ENERGY MARINE SERVICES,8769602,,unknown,frontier_heavy_lift_csv,https://www.offshore-mag.com/rigs-vessels/article/16763603/worldwide-heavy-lift-vessel-fleet-size-stable,120.1,31.7,,,,,,,,881.0,,881.0,,,,,,,,,,,,,,ABS,,,,,,
TETRA ARAPAHO,construction,heavy_lift,Derrick Barge,unknown,TETRA TECHNOLOGIES,8757958,,unknown,frontier_heavy_lift_csv,https://www.offshore-mag.com/vessels/article/16760467/us-gulf-pipeline-contractor-survey,106.7,30.5,7.6,,,,,,,800.0,29.0,650.0,21.3,,,,,,,,,,,,,ABS A-1; USCG (2),,,,,,
HLV UGLEN,construction,heavy_lift,Cranevessel,Ugland Construction AS,UGLAND CONSTRUCTION AS,7721079,,active,frontier_heavy_lift_csv,https://www.uglandconstruction.no/news/ugraded-lifting-capacity-for-hlv-uglen,78.3,25.9,4.0,,,,,,,330.0,,650.0,,,,,,,,,,,,,,,,,,,,
LORELAY,construction,pipelay_vessel,DP pipelay vessel,Allseas Group,"ALLSEAS GROUP, S.A.",7349807,,active,frontier_pipelay_csv,https://www.allseas.com/en/who-we-are/our-fleet/lorelay,182.6,25.9,15.5,,,2.0,,216.0,,,,,,,,,,3048.0,,,,,,,,,,,,,36.0,
TOG MOR,construction,pipelay_vessel,Anchored pipelay barge,Allseas Group (sold for repurpose),"ALLSEAS GROUP, S.A.",8759152,,stacked,frontier_pipelay_csv,https://www.allseas.com/en/who-we-are/news-and-media/allseas-bids-farewell-tog-mor,111.6,27.4,6.1,,,,,144.0,,,,,,,,,,243.8,,,,,,,,,,,,,60.0,
CALAMITY JANE,construction,pipelay_vessel,Bury vessel,Allseas Group,"ALLSEAS GROUP, S.A.",7616779,,active,frontier_pipelay_csv,https://www.allseas.com/en/who-we-are/our-fleet/calamity-jane,130.1,10.1,4.6,,,2.0,,85.0,,,,,,,,,,762.0,,,,,,,,,,,,,48.0,
ASCOT FORCADOS 1,construction,pipelay_vessel,Derrick/pipelay barge,unknown,ASCOT CONSTRUCTORS OFFSHORE LTD.,8758275,,unknown,frontier_pipelay_csv,https://www.offshore-mag.com/vessels/article/16757932/pipelay-vessels-survey-expands-to-include-worldwide-fleet,91.4,27.4,6.1,,,,,152.0,,,,,,,,,,61.0,,,,,,,,,,,,,24.0,
LONE STAR,construction,pipelay_vessel,Pipelay/Bury,unknown,CAL DIVE,8757403,,unknown,frontier_pipelay_csv,https://www.marinetraffic.com/en/ais/details/ships/shipid:738232/mmsi:576540000/imo:8757403/vessel:LONE_STAR,95.4,27.4,5.5,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,
SEA HORIZON,construction,pipelay_vessel,Derrick/Pipelay,unknown,CAL DIVE,8759114,,unknown,frontier_pipelay_csv,https://marinelike.com/en/vessels/8759114-sea_horizon.html,110.0,29.9,7.6,,,,,255.0,,,,,,,,,,,,,,,,,,,,,,,,
HAI YANG SHI YOU 201,construction,pipelay_vessel,,CNOOC,CNOOC,9555371,,active,frontier_pipelay_csv,https://www.vesselfinder.com/vessels/details/9555371,203.9,39.0,14.0,,,,,380.0,,,,,,,,,,,,,,,,,,,,,,,60.0,
LANJIANG,construction,pipelay_vessel,Heavy derrick/lay barge,CNOOC,CNOOC,9245641,,active,frontier_pipelay_csv,https://www.marinetraffic.com/en/ais/details/ships,157.6,47.9,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEWEK CHAMPION,construction,pipelay_vessel,DP2 Pipe Lay Barge,Subsea 7,CNOOC,9377377,,active,frontier_pipelay_csv,https://www.balticshipping.com/vessel/imo/9377377,142.0,39.9,10.1,,,,,358.0,,,,,,,,,,,,,,,,,,,,,,,,
LEWEK CRUSADER,construction,pipelay_vessel,Construction/Lay (Optional),EMAS AMC,CNOOC,9468384,,unknown,frontier_pipelay_csv,https://www.offshore-energy.biz/new-player-emerges-as-sea-trucks-sheds-four-vessels/,133.8,32.0,9.1,,,3.0,,500.0,,,,,,,,,,,,,,,,,,,,,,,24.0,
AMC CONNECTOR,construction,pipelay_vessel,OSV/Lay,EMAS AMC,CNOOC,9435480,,unknown,frontier_pipelay_csv,https://www.offshore-energy.biz/new-player-emerges-as-sea-trucks-sheds-four-vessels/,157.0,32.0,12.2,,,3.0,,140.0,,,,,,,,,,,,,,,,,,,,,,,24.0,
