API Well Number,Permit Type,APD Received Date,APD Approved Date,Company Number,Company Name,Bottom Area Code,Bottom Block Number,Bottom Lease Number,Surface Area Code,Surface Block Number,Surface Lease Number,Surface NS Dist,Surface NS Code,Surface EW Dist,Surface EW Code,Well Type,Well Name,Well Name Suffix,Water Depth (feet),Rig ID Number,Rig Name,Surf X Coord Loc,Surf Y Coord Loc,Surface Latitude,Surface Longitude
608114022800,,4/8/1998,4/17/1998,02139,Shell Deepwater Development Inc.,GC,155,G16698,GC,155,G16698,7589,N,4087,E,, A001,ST00BP00,1890,,,2356072.543407,10098331.114646,27.81023273,-90.78568427
608174081000,,4/8/1998,4/24/1998,01578,"British-Borneo USA, Inc.",MC,546,G14642,MC,546,G14642,2809,N,5944,E,,  001,,2505,,,976136.156227,10324871.482365,28.4356295,-89.06736278
,,4/8/1998,,01689,Murphy Exploration & Production Company,SS,224,G01023,SS,224,,5484,S,6168,W,, D011,,156,,,,,,
177084080301,,4/9/1998,4/15/1998,00689,Shell Offshore Inc.,SM,71,G11911,SM,71,G11911,293,N,6317,E,,JC004,,139,,,1736992.4920,-19787.9130,28.60966976,-92.15280477
177094121200,,4/9/1998,4/10/1998,01194,Pel-Tex Oil Company,EI,30,G09574,EI,30,G09574,4242,S,3785,W,,  004,,13,,,1898629.88,230638.84,29.30051158,-91.65134961
177094121400,,4/9/1998,5/6/1998,01904,Burlington Resources Offshore Inc.,EI,206, 00806,EI,205, 00805,3965,S,3134,E,, F011,,105,,,1906733.04,-1615.44,28.66189929,-91.62407992
177114127000,,4/9/1998,4/21/1998,01364,Newfield Exploration Company,SS,111,G06739,SS,111,G06739,6070,S,1001,E,, A003,,41,,,2123799,63854.3020,28.8416779,-90.94671947
177194066100,,4/9/1998,4/14/1998,00078,Chevron U.S.A. Inc.,WD,27,G04473,WD,27,G04473,4328,S,89,W,, A011,,35,,,2570311,169846.40,29.12149752,-89.54727823
177244061301,,4/9/1998,4/10/1998,01082,"Freeport-McMoRan Resource Partners, Limited Partnership",MP,299,G09372,MP,299,G09372,6132,N,5552,E,,SW137,,210,,,2819438,227698,29.26753874,-88.76324035
177244081800,,4/9/1998,4/10/1998,00491,"EP Energy Management, L.L.C.",MP,223,G12096,MP,223,G12096,1653,S,2496,E,, A007,,269,,,3075354,279733,29.39232683,-87.95618364
,,4/9/1998,,01046,The Houston Exploration Company,EC,83,G08641,EC,83,,2048,N,2830,W,,  003,,60,,,,,,
177024120400,,4/10/1998,4/17/1998,00491,"EP Energy Management, L.L.C.",WC,498,G03520,WC,498,G03520,879,N,5618,E,,  006,,156,,,1312043.4720,-64588.2480,28.47140139,-93.47402845
608174081200,,4/10/1998,,00148,Anadarko E&P Company LP,MC,849,G09880,MC,849,G09880,2846,N,5223,W,,  002,ST00BP00,3600,,,892263,10213954,28.12647615,-89.32159913
427114059401,,4/12/1998,,00003,Union Oil Company of California,HI,A 382,G02757,HI,A 382,G02757,6819,N,1395,W,, F001,ST00BP00,347,,,3635590.81,64461,27.91319133,-93.93510049
177164023900,,4/13/1998,4/21/1998,00185,Samedan Oil Corporation,ST,220,G14539,ST,220,G14539,6059,N,5702,E,, A002,,154,,,2258744.339940,-101851.503382,28.38411679,-90.5289394
427114040901,,4/13/1998,,00491,"EP Energy Management, L.L.C.",HI,A 317,G02412,HI,A 317,G02412,5823,N,6978,E,, A010,ST00BP00,210,,,3674737.81,176337,28.21585367,-93.79863438
427114057003,,4/13/1998,,00565,Mobil Producing Texas & New Mexico Inc.,HI,A 389,G02759,HI,A 389,,6229,N,6225,W,, A007,,410,,,,,,
177064041802,,4/14/1998,,02108,"Transworld Exploration and Production, Inc.",VR,370,G02275,VR,370,G02275,6505,S,2017,E,, C005,ST00BP00,313,,,1630607.1240,-207201.9110,28.09189402,-92.4784232
608115012700,,4/14/1998,5/4/1998,02139,Shell Deepwater Development Inc.,GC,113,G15546,GC,113,G15546,6215,S,1300,W,,  002,,2045,,,2377300,10112135,27.8471182,-90.71925242
608115012800,,4/14/1998,4/28/1998,00114,BP America Production Company,GC,826,G09982,GC,826,G09982,8820,N,5500,E,,  001,,6560,,,2528900,9859500,27.14415615,-90.26764199
,,4/14/1998,,01680,BP Exploration & Oil Inc.,GC,461,G11064,GC,461,,3019,S,7876,W,,  001,,4229,,,,,,
177124058700,,4/15/1998,4/15/1998,00730,Walter Oil & Gas Corporation,SS,326,G18028,SS,326,G18028,1439,S,4307,W,,  001,,360,,,2097907,-192084.40,28.13817295,-91.02969549
608174081100,,4/15/1998,4/24/1998,01855,"Vastar Resources, Inc.",MC,148,G02640,MC,148,G02640,1807,S,7068,E,, A019,,651,,,943332,10456207,28.79513428,-89.17683286
177092012603,,4/16/1998,,02481,BP Exploration & Production Inc.,EI,175, 00438,EI,175, 00438,3009,N,2940,E,, D021,ST00BP00,83,,,1876882.72,49404.88,28.80195106,-91.71766692
177094084402,,4/16/1998,4/28/1998,01855,"Vastar Resources, Inc.",EI,174,G03782,EI,173,G13622,3780,N,500,W,, G003,,80,,,1895344.88,48633.88,28.79998847,-91.66002731
177154094301,,4/16/1998,,00059,Hess Corporation,ST,164,G01250,ST,164,G01250,8505,N,4225,W,, C017,ST00BP00,99,,,2253071.02,-34489.9260,28.56943672,-90.54513582
177194043701,,4/16/1998,4/27/1998,00276,Exxon Mobil Corporation,WD,73,G01083,WD,73,G01083,2806,S,1530,E,, D041,,168,,,2520347.93,105798.10,28.94743483,-89.70657381
177244066902,,4/16/1998,4/17/1998,01082,"Freeport-McMoRan Resource Partners, Limited Partnership",MP,299,G09372,MP,299,G09372,6774,N,3964,E,,SW252,,210,,,2821026,227056,29.26567579,-88.75830685
,,4/16/1998,,00030,"Trunkline Gas Company, LLC",EC,62,G13574,EC,62,,4900,N,3750,W,,  003,,55,,,,,,
177004099400,,4/17/1998,4/20/1998,01354,Equitable Production Company,WC,197,G03264,WC,197,G03264,549,S,5002,E,,  005,,55,,,1386449.7120,232000.7120,29.29047298,-93.25804648
177094003601,,4/17/1998,5/6/1998,01855,"Vastar Resources, Inc.",EI,175, 00438,EI,175, 00438,3006,N,2935,E,, D007,,83,,,1876887.72,49407.88,28.80195935,-91.71765134
177110028002,,4/17/1998,4/29/1998,01750,Pennzoil Exploration and Production Company,SS,154, 00420,SS,154, 00420,4684,N,1728,E,, E007,,56,,,2045072,11215.6880,28.69743086,-91.19277844
177224019905,,4/17/1998,,00185,Samedan Oil Corporation,SP,74,G06801,SP,83,G05052,4051,N,5031,E,, A012,ST00BP00,492,,,2669929,48583,28.78345012,-89.24229596
427114080700,,4/17/1998,,01364,Newfield Exploration Company,HI,A 303,G02733,HI,A 304,G17209,5218,S,4401,W,, A002,ST00BP00,211,,,3670276.81,187378,28.24673473,-93.8109506
,,4/17/1998,,00003,Union Oil Company of California,EC,69,G17838,EC,69,,693,N,6332,E,,  001,,52,,,,,,
,,4/17/1998,,00491,"EP Energy Management, L.L.C.",VR,274,G15200,VR,274,,1488,S,6813,E,, B004,,185,,,,,,
,,4/17/1998,,01904,Burlington Resources Offshore Inc.,VR,119, 00487,VR,124,,438,N,7794,W,, E010,,75,,,,,,
177054089702,,4/18/1998,,00003,Union Oil Company of California,VR,38, 00204,VR,38, 00204,4016,S,7627,E,, M003,ST00BP00,38,,,1624997.1240,277324.6730,29.42398431,-92.51125186
427114028403,,4/18/1998,,00003,Union Oil Company of California,HI,A 335,G02738,HI,A 334,G02423,2615,N,2194,W,, A014,ST00BP00,231,,,3715589.81,147865,28.13257282,-93.67595315
177074065002,,4/20/1998,4/23/1998,01750,Pennzoil Exploration and Production Company,SM,23, 00778,SM,23, 00778,6692,N,3960,W,, H006,,80,,,1813680.7120,77119.4370,28.87742799,-91.91540044
177094121001,,4/20/1998,,01777,Devon Louisiana Corporation,EI,106,G17966,EI,106,G17966,4780,N,5068,W,,  002,ST00BP00,40,,,1944979.36,134625.36,29.03675074,-91.50549074
177154094701,,4/20/1998,,00078,Chevron U.S.A. Inc.,ST,37,G02625,ST,37,G02625,2767,N,588,E,, C008,ST00BP00,59,,,2319266.14,102046.92,28.94345322,-90.33527459
608074064600,,4/20/1998,5/14/1998,00078,Chevron U.S.A. Inc.,GB,191,G06359,GB,191,G06359,6294,N,4335,E,, A007,,721,,,1579665,10083786,27.78784027,-93.18796005
,,4/20/1998,,01586,Petsec Energy Inc.,SS,193,G13917,SS,193,,636,N,8635,E,, A006,,77,,,,,,
177104149001,,4/21/1998,,00730,Walter Oil & Gas Corporation,EI,390,G14487,EI,390,G14487,2051,N,7259,E,,  002,ST00BP00,380,,,1887585.88,-239608.72,28.0074077,-91.68151384
177114123004,,4/21/1998,,00105,Apache Corporation,SS,193,G13917,SS,193,G13917,636,N,8635,E,, A006,ST04BP00,77,,,2100565,-26620.9260,28.59308908,-91.02004937
427034051601,,4/21/1998,,02451,GOM Shelf LLC,MI,634,G07202,MI,633,G06042,5278,S,576,E,, C002,ST01BP00,82,,,2809939.81,92398,28.06352528,-96.48883423
608184001000,,4/21/1998,8/10/1998,02139,Shell Deepwater Development Inc.,AT,118,G10005,AT,119,G10006,2995,S,613,W,,  001,,7716,,,1172773,10108915,27.84952083,-88.4475781
177034085101,,4/22/1998,,00003,Union Oil Company of California,EC,62,G13574,EC,62,G13574,4900,N,3750,W,, B001,ST00BP00,53,,,1498508.0480,266551.7120,29.39018275,-92.90805696
177174040201,,4/22/1998,,00145,J. M. Huber Corporation,GI,55,G09676,GI,55,G09676,659,S,1944,E,, A003,ST00BP00,148,,,2470473.93,82888.11,28.88629419,-89.86339532
427084047400,,4/22/1998,5/1/1998,00415,Energy Development Corporation,HI,105,G04076,HI,105,G04076,4726,N,5824,E,, A005,,45,,,3438291.81,573434,29.33410737,-94.4846091
608074018300,,4/22/1998,4/30/1998,00689,Shell Offshore Inc.,GB,128,G11455,GB,128,G11455,4850,N,3593,W,, A006,,633,,,1967753,10116910,27.87539038,-91.98646755
,,4/22/1998,,01089,"Norcen Explorer, Inc.",SS,216,G01524,SS,216,,4512,N,8132,E,, C022,,102,,,,,,
,,4/22/1998,,01777,Devon Louisiana Corporation,EI,106,G17966,EI,106,,4784,N,9950,E,,  002,,30,,,,,,
177024078501,,4/23/1998,5/18/1998,01855,"Vastar Resources, Inc.",WC,645,G03973,WC,645,G03973,1963,N,6499,W,, A005,,432,,,1442224.8560,-257526.8720,27.94706668,-93.05996986
177024120500,,4/23/1998,4/24/1998,01888,McMoRan Oil & Gas Co.,WC,617,G13852,WC,617,G13852,187,N,2002,E,,  002,,297,,,1374691.6640,-211476.7280,28.07067795,-93.27139724
177134021001,,4/23/1998,4/24/1998,01834,Talos Petroleum LLC,PL,23,G01238,PL,23,G01238,5733,S,6395,W,,  028,,60,,,2224041.02,63517.3020,28.83944469,-90.63368453
177134021200,,4/23/1998,4/24/1998,01832,Forcenergy Inc,PL,16,G13933,PL,16,G13933,6426,S,600,E,,  001,,55,,,2263846.02,78171.84,28.87901368,-90.50905385
608115012402,,4/23/1998,,02481,BP Exploration & Production Inc.,GC,699,G15604,GC,700,G15605,3609,S,1385,W,,  001,ST00BP00,6133,,,2614985,9903609,27.25997419,-89.99993842
177014030400,,4/24/1998,5/22/1998,01926,"King Ranch Oil and Gas, Inc.",WC,306,G10572,WC,306,G10572,2112,N,6956,E,, A004,,52,,,1266431.3280,214581.6640,29.23649489,-93.63335575
177104089002,,4/24/1998,,00114,BP America Production Company,EI,273,G00987,EI,273,G00987,7029,N,1806,E,, C001,ST00BP00,180,,,1923083.20,-85102.34,28.43244524,-91.57256741
177114018102,,4/24/1998,5/5/1998,00003,Union Oil Company of California,SS,209, 00827,SS,209, 00827,6515,S,1988,W,, J010,,95,,,2142388,-47393.0020,28.53559375,-90.8900122
177204014400,,4/24/1998,4/29/1998,01855,"Vastar Resources, Inc.",WD,134,G13950,WD,134,G13950,7052,S,3220,E,,  001,,292,,,2513709.93,24085.90,28.72301973,-89.73089566
427094104203,,4/24/1998,,02607,Offshore Energy I LLC,HI,A 571,G02391,HI,A 571,G02391,7371,S,2711,W,, A019,ST00BP00,283,,,3605226.81,78651,27.95576209,-94.02714641
427114030900,,4/24/1998,10/7/1977,00491,"EP Energy Management, L.L.C.",HI,A 317,G02412,HI,A 317,G02412,5820,N,6987,E,, A001,,210,,,3674728.81,176340,28.21586297,-93.79866148
427124011500,,4/24/1998,,01777,Devon Louisiana Corporation,MU,A  51,G18880,MU,A  51,G18880,3595,N,5956,E,,  001,ST00BP00,208,,,2817139.30,787392.40,27.81037434,-95.97215036
608104010001,,4/24/1998,,00818,"Mariner Energy, Inc.",EW,966,G18184,EW,966,G18184,833,N,1064,W,,  001,ST00BP00,1853,,,2614664,10184287,28.03128878,-89.97979672
608174007202,,4/24/1998,4/30/1998,00689,Shell Offshore Inc.,MC,195,G02639,MC,194,G02638,363,N,125,E,, A013,,1024,,,981955,10454037,28.79105825,-89.056171
,,4/24/1998,,00771,"Texaco Exploration and Production, Inc.",EI,338,G02118,EI,339,,4118,N,1055,W,, B002,,270,,,,,,
608044004101,,4/25/1998,,00003,Union Oil Company of California,EB,158,G02645,EB,159,G02646,4325,N,6203,W,, A003,ST00BP00,924,,,1115003,10101595,27.82739478,-94.6260478
177094121101,,4/27/1998,,00236,El Paso Production Company,EI,53, 00479,EI,53, 00479,791,S,6610,W,, C001,ST00BP00,20,,,1916477.04,198190.68,29.21140388,-91.59512751
177094121300,,4/27/1998,5/4/1998,01911,"Prime Natural Resources, Inc.",EI,196, 00802,EI,196, 00802,5774,N,5710,E,, H005,,93,,,1904157.04,17642.72,28.71483586,-91.63226681
177164024000,,4/27/1998,4/30/1998,01364,Newfield Exploration Company,ST,250,G15336,ST,250,G15336,4713,N,4108,E,,  002,,190,,,2286230.06,-121269.68,28.33016999,-90.44396258
,,4/27/1998,,01904,Burlington Resources Offshore Inc.,VR,119, 00487,VR,124,,438,N,7793,W,, E010,,75,,,,,,
,,4/27/1998,,01946,Bois d'Arc Operating Corporation,PL,5,G12027,PL,5,,2452,N,6772,E,,  003,,32,,,,,,
177024121200,,4/28/1998,7/20/1998,01103,"EOG Resources, Inc.",WC,491,G09425,WC,491,G09425,7805,N,552,W,,  003,,146,,,1347729.5680,-56756.20,28.49471834,-93.3634406
177052003501,,4/28/1998,,01904,Burlington Resources Offshore Inc.,VR,119, 00487,VR,124, 00495,438,N,7794,W,, E010,ST00BP00,70,,,1625660.0760,154806.2890,29.08709672,-92.50523397
177114127100,,4/28/1998,4/29/1998,01750,Pennzoil Exploration and Production Company,SS,173,G15286,SS,173,G15286,2326,N,6803,E,,  001,,65,,,2039997,-387.85,28.66554035,-91.20864395
608164032501,,4/28/1998,,02219,Anadarko US Offshore LLC,VK,826,G06888,VK,826,G06888,3906,S,5325,E,, A009,ST00BP00,1932,,,1325235,10585026,29.16345652,-87.98783348
727044030400,,4/28/1998,,01819,ATP Oil & Gas Corporation,BA,544,G10226,BA,544,,3734,S,10112,W,, B001,,116,,,,,,
,,4/28/1998,,00114,BP America Production Company,WD,90,G01089,WD,90,,450,N,7400,E,,  004,,180,,,,,,
177004099600,,4/29/1998,5/11/1998,00236,El Paso Production Company,WC,149, 00253,WC,149, 00253,6311,S,4981,E,,  005,,37,,,1342196.5680,282036.8560,29.42593269,-93.39967014
608164032801,,4/29/1998,,00730,Walter Oil & Gas Corporation,VK,737,G16546,VK,737,G16546,6443,N,5485,E,,  001,ST00BP00,656,,,1309235,10622197,29.26532292,-88.03900467
,,4/29/1998,,00048,Sabine Oil & Gas Corporation,SS,276,G10785,SS,276,,4735,S,6710,E,,  002,,220,,,,,,
,,4/29/1998,,00282,"Dominion Exploration & Production, Inc.",WC,556,G05346,EC,299,,2086,N,3346,E,, B003,,180,,,,,,
177014023501,,4/30/1998,5/4/1998,01102,Century Offshore Management Corporation,WC,368,G05315,WC,368,G05315,3176,N,4433,W,,  006,,75,,,1366368.6160,95453.28,28.91408861,-93.31362677
177034085001,,4/30/1998,,02108,"Transworld Exploration and Production, Inc.",EC,160, 00541,EC,160, 00541,2988,N,5291,E,,  007,ST00BP00,84,,,1548499.24,106125.1840,28.95084417,-92.74489242
177104148801,,4/30/1998,,00078,Chevron U.S.A. Inc.,EI,339,G02318,EI,339,G02318,5815,S,7483,W,, C017,ST00BP00,268,,,1902327.88,-173748.40,28.18858515,-91.63639314
177114126601,,4/30/1998,,01855,"Vastar Resources, Inc.",SS,139,G13915,SS,139,G13915,8295,S,8826,W,,  001,ST00BP00,62,,,2180426,38156.2260,28.77036827,-90.77027485
177194066400,,4/30/1998,5/7/1998,02018,"Stone Energy, L.L.C.",WD,61,G03186,WD,61,G03186,6044,S,2275,E,,b 001,,105,,,2550952.93,129878.20,29.01241553,-89.60977556
177194066600,,4/30/1998,5/12/1998,01364,Newfield Exploration Company,WD,17,G05668,WD,17,G05668,627,S,792,W,,  003,,56,,,2497864,186987.50,29.17153853,-89.77340126
177244061602,,4/30/1998,5/1/1998,01082,"Freeport-McMoRan Resource Partners, Limited Partnership",MP,299,G09372,MP,299,G09372,6127,N,5573,E,,SW149,,210,,,2819417,227703,29.26755378,-88.76330584
427034051800,,4/30/1998,5/1/1998,00114,BP America Production Company,MI,623,G03088,MI,623,G03088,2650,N,7450,W,,  005,,89,,,2833805.81,116150,28.12740285,-96.41323445
,,4/30/1998,,01689,Murphy Exploration & Production Company,SS,167, 00818,SS,167,,5624,N,1143,W,, D002,,55,,,,,,
177054018801,,5/1/1998,5/1/1998,00003,Union Oil Company of California,VR,67, 00559,VR,67, 00559,1814,N,3998,W,,  001,,31,,,1666138.22,241978.5770,29.32788549,-92.38101647
177114126901,,5/1/1998,,01689,Murphy Exploration & Production Company,SS,167, 00818,SS,167, 00818,5624,N,1143,W,, D002,ST00BP00,51,,,2125943,-3685.85,28.65593836,-90.94074661
177254005901,,5/1/1998,6/15/1998,00078,Chevron U.S.A. Inc.,MP,122,G13964,MP,133,G01633,1893,N,4822,W,, A007,,185,,,2861422,276187,29.39819092,-88.6280192
,,5/1/1998,,00560,Seneca Resources Corporation,VR,309,G16310,VR,309,,1898,S,2718,W,, A005,,203,,,,,,
608044004102,,5/2/1998,,00003,Union Oil Company of California,EB,158,G02645,EB,159,G02646,4325,N,6203,W,, A003,ST00BP00,924,,,1115003,10101595,27.82739478,-94.6260478
177084085601,,5/3/1998,,01364,Newfield Exploration Company,SM,141,G02885,SM,141,G02885,5900,S,3860,E,, B001,ST00BP00,230,,,1820618.7620,-146417.3630,28.26288394,-91.89033163
177124057801,,5/3/1998,,01963,"Apex Oil & Gas, Inc.",SS,261,G14506,SS,261,G14506,2741,S,1893,E,,  002,ST00BP00,156,,,2169707,-120974.70,28.33296144,-90.80601061
177154095100,,5/4/1998,6/15/1998,00078,Chevron U.S.A. Inc.,ST,148,G01960,ST,148,G01960,1575,S,3932,E,, A009,,110,,,2301164.10,-26433.44,28.59059258,-90.39514916
177154095101,,5/4/1998,6/23/1998,00078,Chevron U.S.A. Inc.,ST,148,G01960,ST,148,G01960,1575,S,3932,E,, A009,ST01BP00,110,,,2301164.10,-26433.44,28.59059258,-90.39514916
177194066200,,5/4/1998,5/5/1998,01284,"W & T Offshore, Inc.",WD,27,G04473,WD,27,G04473,2501,N,689,E,,  009,,29,,,2579983.000238,183859.499041,29.15961011,-89.51629743
177244081501,,5/4/1998,5/4/1998,00282,"Dominion Exploration & Production, Inc.",MP,280,G16515,MP,280,G16515,5981,S,5663,W,,  004,,300,,,,,,
427094057001,,5/4/1998,,00185,Samedan Oil Corporation,HI,A 550,G04081,HI,A 550,G04081,6966,N,6497,E,, A001,ST00BP00,274,,,3580178.81,95994,28.00632166,-94.10240294
177054107601,,5/5/1998,,00687,CNOOC Petroleum U.S.A. Inc.,VR,66,G04787,VR,66,G04787,6646,N,3176,W,,  007,ST00BP00,34,,,1650558.1720,237146.5770,29.31419722,-92.42975982
427114030901,,5/5/1998,,00491,"EP Energy Management, L.L.C.",HI,A 317,G02412,HI,A 317,G02412,5820,N,6987,E,, A001,ST00BP00,210,,,3674728.81,176340,28.21586301,-93.79866188
,,5/5/1998,,01777,Devon Louisiana Corporation,VR,215,G01140,VR,215,,7302,S,6571,E,, B003,,127,,,,,,
177004099501,,5/6/1998,,00114,BP America Production Company,WC,65,G02825,WC,66,G02826,3465,N,4493,W,, B019,ST00BP00,36,,,1425460.8080,360809.1440,29.64639822,-93.14206684
177052002001,,5/6/1998,,01364,Newfield Exploration Company,VR,215,G01140,VR,215,G01140,7302,S,6571,E,, B003,ST00BP00,125,,,1685085.3160,14965.8090,28.70410783,-92.31545651
177064078201,,5/6/1998,,00491,"EP Energy Management, L.L.C.",VR,274,G15200,VR,274,G15200,1488,S,6813,E,, B004,ST00BP00,185,,,1699601.3640,-79396.4790,28.44498673,-92.26778761
177174040400,,5/6/1998,5/29/1998,00105,Apache Corporation,GI,82,G05659,GI,82,G05659,1103,S,2224,E,, A006,,203,,,2440677.85,9541.91,28.68563888,-89.95922815
177214022501,,5/6/1998,5/7/1998,00078,Chevron U.S.A. Inc.,SP,58,G02941,SP,58,G02941,449,S,925,E,, D005,,181,,,2615003,67841,28.83904175,-89.41269457
177242008101,,5/6/1998,6/9/1998,00185,Samedan Oil Corporation,MP,305,G01673,MP,305,G01676,1201,N,2073,E,, A013,,275,,,2879499,213771,29.22541099,-88.57598583
608074064700,,5/6/1998,5/14/1998,00078,Chevron U.S.A. Inc.,GB,191,G06359,GB,191,G06359,6286,N,4320,E,, A010,,721,,,1579680,10083794,27.78786235,-93.18791367
,,5/6/1998,,01089,"Norcen Explorer, Inc.",SS,176,G18012,SS,176,,4100,N,7000,W,,  001,,92,,,,,,
,,5/6/1998,,02139,Shell Deepwater Development Inc.,GC,544,G09940,GC,544,,4131,S,7392,E,,  001,,4190,,,,,,
177194066800,,5/7/1998,7/8/1998,01855,"Vastar Resources, Inc.",WD,42,G16470,WD,42,G16470,5404,N,2352,W,,  001,,85,,,2509874,160114.40,29.09719074,-89.7369487
177214017101,,5/7/1998,,00078,Chevron U.S.A. Inc.,SP,57,G02940,SP,57,G02940,2212,S,4215,W,, B002,ST00BP00,193,,,2620143,69604,28.84365113,-89.39655247
