SN_APD_CSG_INTV,SN_APD_FK,CSNG_INTV_NUM,CSNG_INTV_TYPE_CD,CSNG_INTV_NAME,CSNG_HOLESIZE,CSNG_MUD_WGT_PPG,CSNG_MUD_TYPE_CD,CSNG_FRAC_GRAD_PPG,CSNG_TOP_MD,CSNG_CEMENT_VOL,CSNG_PREVENTER_CD,CSNG_BOP_STACK_SIZE,CSNG_WELLHEAD_RATING,CSNG_ANNULAR_RATING,CSNG_BOP_RATING,CSNG_ANNULAR_TEST_PRSS,CSNG_BOP_DIV_TEST_PRSS,CSNG_MUD_TEST_PRSS,CSNG_LINER_TEST,CSNG_FORMATION_TEST_PRSS
-352824,-16074,8,O,O,10.625,14.8,SBM,16.7,0.0,0.0,BOP,18.75,15000.0,10000.0,15000.0,6700,8300,14.8,0.0,0.0
-353002,-16076,1,L,C,28.0,10.0,WBM,13.5,911.0,3743.0,DIV,30.0,1000.0,0.0,1000.0,0,250,10.0,250.0,12.7
-353003,-16076,2,C,S,24.0,11.8,WBM,15.1,,5287.0,BOP,21.25,5000.0,5000.0,10000.0,1500,5000,11.8,2785.0,15.7
-353004,-16076,3,C,I,17.5,15.0,WBM,17.5,,5515.0,BOP,21.25,10000.0,5000.0,10000.0,3500,8000,15.0,7000.0,17.2
-353005,-16076,4,L,I,14.75,14.7,SBM,18.1,9979.0,1117.0,BOP,21.25,1000.0,5000.0,10000.0,3500,8000,14.7,2700.0,16.8
-353006,-16076,5,L,P,12.25,16.2,SBM,18.5,12225.0,2686.0,BOP,21.25,15000.0,5000.0,10000.0,3500,8000,16.2,2500.0,0.0
-353032,-16078,1,C,C,35.5,9.5,WBM,9.9,0.0,1559.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-353033,-16078,2,C,S,32.0,10.2,WBM,10.5,0.0,1522.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-353034,-16078,3,C,S,28.0,10.8,WBM,11.6,0.0,3761.0,BOP,18.75,15000.0,10000.0,15000.0,2300,2300,8.6,4600.0,11.5
-353035,-16078,4,L,I,22.0,11.0,SBM,12.9,5294.0,1382.0,BOP,18.75,15000.0,10000.0,15000.0,3000,3000,11.0,800.0,12.7
-353036,-16078,5,L,I,20.0,12.2,SBM,15.8,4796.0,1218.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5600,12.2,1900.0,15.3
-353037,-16078,6,C,I,16.5,14.8,SBM,17.0,0.0,2823.0,BOP,18.75,15000.0,10000.0,15000.0,5000,6500,14.8,4750.0,16.2
-353038,-16078,7,L,P,11.5,15.7,SBM,16.6,24223.0,500.0,BOP,18.75,15000.0,10000.0,15000.0,5000,6300,15.7,1900.0,0.0
-353039,-16078,8,C,P,11.5,15.7,SBM,0.0,0.0,2700.0,BOP,18.75,15000.0,10000.0,15000.0,5000,6300,15.7,1900.0,0.0
-353041,-16077,2,C,S,26.0,13.0,WBM,11.3,0.0,9348.0,BOP,18.75,15000.0,10000.0,15000.0,5300,5300,8.6,4500.0,11.3
-353064,-16077,6,O,O,10.625,15.0,SBM,18.0,0.0,0.0,BOP,18.75,15000.0,10000.0,15000.0,4000,7200,15.0,0.0,0.0
-353044,-16077,4,C,I,16.5,12.1,SBM,14.8,0.0,755.0,BOP,18.75,15000.0,10000.0,15000.0,5100,8200,12.1,5900.0,14.8
-353153,-16079,5,L,I,16.5,14.8,SBM,16.7,13250.0,700.0,BOP,18.75,15000.0,10000.0,15000.0,6700,10000,14.8,2400.0,15.5
-354733,-16140,1,C,C,32.0,8.6,WBM,9.3,4226.0,1760.0,,,,,,0,0,0.0,0.0,0.0
-351482,-16030,1,C,C,32.5,8.6,GSW,10.6,0.0,4667.0,,,,0.0,0.0,0,0,0.0,0.0,0.0
-351483,-16030,2,C,S,26.0,11.5,WBM,12.4,0.0,6455.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,8.6,4300.0,12.1
-351484,-16030,3,L,I,22.0,11.2,SBM,14.8,8828.0,3530.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,11.2,1500.0,13.4
-351485,-16030,4,C,I,17.5,12.5,SBM,13.9,0.0,1411.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,12.5,3400.0,12.3
-351486,-16030,5,L,I,14.5,11.4,SBM,13.9,15360.0,519.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,11.4,2600.0,12.3
-351487,-16030,6,C,P,12.25,11.2,SBM,13.9,15360.0,950.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,8.6,6600.0,
-353427,-16086,1,C,C,17.5,9.0,WBM,11.5,0.0,3574.0,DIV,37.5,3000.0,0.0,2000.0,0,2000,9.0,250.0,11.5
-353428,-16086,2,C,S,14.75,9.5,WBM,14.0,0.0,2447.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,9.5,2500.0,14.0
-353429,-16086,3,C,P,9.675,12.8,WBM,16.5,0.0,860.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,12.8,4600.0,16.5
-353430,-16086,4,L,P,6.75,15.5,WBM,17.0,6473.0,288.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,15.5,4600.0,0.0
-353452,-16089,1,C,I,17.5,15.2,SBM,16.6,,387.0,BOP,18.75,15000.0,10000.0,15000.0,5300,9650,15.4,6700.0,16.5
-353453,-16089,2,L,I,14.5,15.4,SBM,16.6,20115.0,745.0,BOP,18.75,15000.0,10000.0,15000.0,5300,9650,15.4,2100.0,16.5
-353454,-16089,3,L,I,13.0,15.7,SBM,16.6,26422.0,205.0,BOP,18.75,15000.0,10000.0,15000.0,5300,9650,15.7,1700.0,16.6
-353455,-16089,4,L,I,12.25,15.9,SBM,16.7,26372.0,641.0,BOP,18.75,15000.0,10000.0,15000.0,5300,9650,15.9,1400.0,16.7
-353456,-16089,5,O,O,10.25,16.2,SBM,16.7,,,BOP,18.75,15000.0,10000.0,15000.0,0,0,0.0,,
-353798,-16094,1,C,I,8.535,14.0,WBM,16.5,0.0,171.0,BOP,13.625,10000.0,5000.0,10000.0,3500,5000,14.1,4800.0,16.0
-353728,-15933,1,C,I,16.0,14.0,SBM,15.2,,989.0,BOP,18.75,15000.0,10000.0,15000.0,5165,5450,14.3,1400.0,0.0
-353859,-16097,3,C,I,12.25,15.2,WBM,17.1,0.0,2136.0,BOP,13.625,5000.0,5000.0,10000.0,3500,7000,15.2,5000.0,17.1
-354181,-16115,1,C,S,28.0,9.6,WBM,10.4,0.0,12494.0,BOP,18.75,15000.0,10000.0,15000.0,4600,4600,8.6,4500.0,10.4
-354182,-16115,2,L,I,22.0,9.8,SBM,12.6,12200.0,2430.0,BOP,18.75,15000.0,10000.0,15000.0,4000,4000,9.8,2700.0,12.6
-354183,-16115,3,L,I,20.0,11.0,SBM,13.7,11700.0,2812.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,11.0,3600.0,13.7
-354184,-16115,4,C,I,17.5,13.2,SBM,14.8,0.0,858.0,BOP,18.75,15000.0,10000.0,15000.0,6200,6200,13.2,4300.0,14.8
-354185,-16115,5,L,P,14.0,14.1,SBM,15.7,25321.0,1379.0,BOP,18.75,15000.0,10000.0,15000.0,5700,5700,14.1,1400.0,0.0
-354941,-16146,1,C,C,22.0,8.9,WBM,11.5,0.0,713.0,DIV,21.25,2000.0,0.0,2000.0,0,250,8.9,250.0,0.0
-354942,-16146,2,C,S,15.0,9.3,WBM,13.4,0.0,2595.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,9.3,2100.0,11.5
-354943,-16146,3,C,P,9.5,10.0,WBM,16.3,0.0,1505.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,10.0,3950.0,0.0
-355166,-16156,1,C,C,32.0,8.6,WBM,9.3,4226.0,1760.0,,,,,,0,0,0.0,0.0,0.0
-355167,-16156,2,C,S,26.0,9.5,WBM,12.3,4226.0,6270.0,BOP,18.75,15000.0,10000.0,15000.0,6150,6500,8.6,3000.0,12.2
-355168,-16156,3,L,I,21.0,12.0,SBM,16.2,7826.0,2420.0,BOP,18.75,15000.0,10000.0,15000.0,6150,6500,12.0,3000.0,16.0
-355169,-16156,4,C,I,16.5,15.1,SBM,16.3,4226.0,1810.0,BOP,18.75,15000.0,10000.0,15000.0,5900,6500,15.1,4275.0,15.5
-355170,-16156,5,L,I,12.25,13.5,SBM,16.5,25550.0,570.0,BOP,18.75,15000.0,10000.0,15000.0,6100,6500,13.5,4700.0,15.5
-355171,-16156,6,L,P,9.875,13.0,SBM,16.6,27257.0,310.0,BOP,18.75,15000.0,10000.0,15000.0,6100,6500,13.0,5650.0,0.0
-355172,-16157,1,C,C,26.0,9.8,WBM,12.5,0.0,3374.0,DIV,30.0,3000.0,0.0,1000.0,0,250,9.8,250.0,0.0
-355173,-16157,2,C,S,20.0,11.7,WBM,15.5,0.0,4405.0,BOP,16.75,5000.0,5000.0,5000.0,3500,5000,11.7,3300.0,15.5
-355174,-16157,3,L,I,17.5,13.4,SBM,15.5,4880.0,156.0,BOP,16.75,5000.0,5000.0,5000.0,3500,5000,13.4,1100.0,15.5
-355175,-16157,4,C,I,17.5,14.6,SBM,17.3,0.0,1439.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,14.6,6600.0,17.3
-355176,-16157,5,C,P,12.25,16.5,WBM,18.5,0.0,1646.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,16.5,6600.0,18.5
-355177,-16157,6,L,P,8.5,16.5,WBM,18.7,12850.0,425.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,16.5,1800.0,0.0
-355202,-16158,3,L,I,22.0,12.7,SBM,15.5,4154.0,2498.0,BOP,18.75,15000.0,10000.0,15000.0,4700,4700,12.7,1100.0,15.5
-355206,-16158,4,L,I,20.0,14.7,SBM,16.5,3654.0,3686.0,BOP,18.75,15000.0,10000.0,15000.0,5200,5200,14.7,1100.0,16.5
-355320,-16163,1,C,C,26.0,9.8,WBM,12.5,0.0,3374.0,DIV,30.0,3000.0,0.0,1000.0,0,250,9.8,250.0,0.0
-355321,-16163,2,C,S,20.0,11.7,WBM,15.5,0.0,4405.0,BOP,16.75,5000.0,5000.0,5000.0,3500,5000,11.7,3300.0,15.5
-355322,-16163,3,L,I,17.5,13.4,SBM,15.5,4880.0,156.0,BOP,16.75,5000.0,5000.0,5000.0,3500,5000,13.4,1100.0,15.5
-355323,-16163,4,C,I,17.5,14.6,SBM,17.3,0.0,1439.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,14.6,6600.0,17.3
-355324,-16163,5,C,P,12.25,16.5,WBM,18.3,0.0,1646.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,16.5,6600.0,18.3
-355325,-16163,6,L,P,8.5,16.8,WBM,18.7,12850.0,425.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,16.8,1850.0,0.0
-355337,-16160,1,C,C,26.0,10.1,WBM,13.0,,4360.0,BOP,18.75,15000.0,10000.0,15000.0,6500,11500,8.6,2900.0,13.0
-355338,-16160,2,L,S,21.0,11.8,SBM,14.3,7345.0,9592.0,BOP,18.75,15000.0,10000.0,15000.0,4500,8300,11.8,3700.0,13.8
-355482,-16168,1,C,C,32.0,12.5,WBM,9.4,0.0,2601.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-355483,-16168,2,C,S,26.0,12.5,WBM,11.4,0.0,6521.0,BOP,18.75,20000.0,10000.0,15000.0,4000,4000,9.0,3000.0,11.2
-355484,-16168,3,C,I,22.0,10.7,SBM,12.8,10700.0,1639.0,BOP,18.75,20000.0,10000.0,15000.0,5000,5000,10.7,3450.0,12.8
-355485,-16168,4,L,I,19.0,12.0,SBM,14.7,10200.0,2325.0,BOP,18.75,20000.0,10000.0,15000.0,5800,6000,12.0,3000.0,14.1
-355486,-16168,5,C,I,17.5,13.7,SBM,15.3,0.0,1349.0,BOP,18.75,20000.0,10000.0,15000.0,5250,7500,13.7,4000.0,14.9
-355487,-16168,6,L,I,14.5,14.3,SBM,15.8,24080.0,604.0,BOP,18.75,20000.0,10000.0,15000.0,5000,8000,14.3,2000.0,15.6
-355488,-16168,7,L,I,12.25,14.9,SBM,16.0,23930.0,372.0,BOP,18.75,20000.0,10000.0,15000.0,4800,9800,14.9,2400.0,15.8
-355489,-16168,8,O,O,8.5,15.0,SBM,16.8,0.0,0.0,BOP,18.75,20000.0,10000.0,15000.0,4800,9800,0.0,0.0,0.0
-355980,-16191,2,C,P,12.25,13.0,OBM,17.0,0.0,1477.0,BOP,13.625,10000.0,5000.0,10000.0,3500,6000,13.0,5500.0,17.0
-356197,-16196,6,L,P,6.0,17.8,WBM,18.7,13741.0,148.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,17.8,1100.0,0.0
-356178,-16195,1,C,C,32.0,8.6,WBM,0.0,0.0,2166.0,,,0.0,0.0,,0,0,0.0,0.0,0.0
-356179,-16195,2,C,S,26.0,10.5,WBM,13.8,0.0,4186.0,BOP,18.75,15000.0,10000.0,15000.0,4300,11100,8.6,3680.0,13.8
-356180,-16195,3,L,I,21.0,13.2,SBM,15.5,8250.0,1776.0,BOP,18.75,15000.0,10000.0,15000.0,3600,11100,13.2,2260.0,15.5
-356181,-16195,4,L,I,19.0,14.1,SBM,16.1,7750.0,1260.0,BOP,18.75,15000.0,10000.0,15000.0,3500,11100,14.1,2440.0,16.1
-356182,-16195,5,C,I,16.5,15.3,SBM,16.6,0.0,3170.0,BOP,18.75,15000.0,10000.0,15000.0,3500,11100,15.3,7040.0,16.6
-356183,-16195,6,L,I,14.0,15.6,SBM,16.2,26130.0,515.0,BOP,18.75,15000.0,10000.0,15000.0,3500,11100,15.6,1400.0,16.2
-356184,-16195,7,L,I,12.25,15.6,SBM,16.6,28280.0,482.0,BOP,18.75,15000.0,10000.0,15000.0,3500,11100,15.6,2120.0,16.6
-356185,-16195,8,O,O,8.5,15.5,SBM,0.0,0.0,0.0,BOP,18.75,15000.0,10000.0,15000.0,3500,11100,0.0,0.0,0.0
-356196,-16196,5,L,I,8.5,17.5,WBM,18.5,10700.0,441.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7500,17.5,900.0,18.5
-356249,-16198,1,C,C,20.0,9.1,WBM,10.0,,692.0,DIV,21.25,3000.0,0.0,2000.0,0,250,9.1,250.0,0.0
-356250,-16198,2,C,S,13.5,9.5,WBM,13.0,,2024.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,9.5,2600.0,12.0
-356251,-16198,3,C,P,9.875,11.0,WBM,16.7,,560.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,11.0,5000.0,0.0
-356315,-16203,1,C,C,32.0,8.6,WBM,9.5,,1849.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-356316,-16203,2,C,S,26.0,10.5,WBM,9.5,,3813.0,BOP,18.75,15000.0,10000.0,15000.0,7000,10000,8.6,2629.0,12.0
-356317,-16203,3,L,S,21.0,11.4,SBM,12.0,7600.0,1445.0,BOP,18.75,15000.0,10000.0,15000.0,7000,10000,11.4,2700.0,15.5
-356318,-16203,4,L,I,19.0,14.8,SBM,16.0,4720.0,3193.0,BOP,18.75,15000.0,10000.0,15000.0,6700,10000,14.8,6700.0,16.1
-330823,-15174,1,C,C,32.5,8.9,GSW,9.3,0.0,4511.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-330824,-15174,2,C,S,28.0,9.7,WBM,10.3,0.0,8602.0,BOP,18.75,15000.0,10000.0,15000.0,4200,4200,8.6,4200.0,10.3
-330825,-15174,3,L,I,22.0,9.5,SBM,12.4,12365.0,4086.0,BOP,18.75,15000.0,10000.0,15000.0,3700,3700,9.5,3200.0,12.4
-330826,-15174,4,L,I,20.0,10.0,SBM,13.6,11470.0,1724.0,BOP,18.75,15000.0,10000.0,15000.0,5250,6200,10.0,4600.0,13.6
-330827,-15174,5,C,I,17.5,13.1,SBM,15.0,0.0,540.0,BOP,18.75,15000.0,10000.0,15000.0,5250,6600,13.1,4800.0,15.0
-330828,-15174,6,L,P,14.0,14.3,SBM,0.0,27086.0,1328.0,BOP,18.75,15000.0,10000.0,15000.0,5250,6000,14.3,1400.0,0.0
-347654,-15783,2,C,S,14.75,10.2,WBM,14.4,0.0,3022.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,10.2,2500.0,14.4
-347655,-15783,3,C,P,9.875,12.5,WBM,17.0,0.0,494.0,BOP,13.625,5000.0,5000.0,10000.0,3500,5000,12.5,4000.0,0.0
