SN_EOR,EOR_OPERATION_CD,API_WELL_NUMBER,WELL_NAME,WELL_NM_ST_SFIX,WELL_NM_BP_SFIX,MMS_COMPANY_NUM,BUS_ASC_NAME,BOTM_LEASE_NUMBER,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,SURF_LEASE_NUMBER,SURF_AREA_CODE,SURF_BLOCK_NUMBER,BOREHOLE_STAT_CD,BOREHOLE_STAT_DT,OPERATIONAL_NARRATIVE,SUBSEA_COMPLETION_FLAG,SUBSEA_PROTECTION_FLAG,SUBSEA_COMPLETION_BUOY_FLAG,SUBSEA_TREE_HEIGHT_AML,OBSTRUCTION_PROTECTION_FLAG,OBSTRUCTION_TYPE_CD,OBSTRUCTION_BUOY_FLAG,OBSTRUCTION_HEIGHT_AML
-193934,O,177114030500,B008,0,0,2899,Talos ERT LLC,G01526,SS,223,G01526,SS,223,COM,10/26/1977,Incomplete - CT will be needed to complete the abandonment of this well. Postponed - a new APM will be submitted to fully abandon well in 2022. Well will be left in COM status. ,NO,NO,NO,,NO,,NO,
-194673,W,608114015200,A037,0,0,3672,Talos QN Exploration LLC,G05900,GC,109,G05889,GC,65,COM,9/16/1991,SCP Remediation. Set DX plug @ 9540' MD/8365' TVD,NO,NO,NO,,NO,,NO,
-198443,W,177094111902,I009,2,0,2628,"Arena Offshore, LP",G00983,EI,252,G00983,EI,252,COM,8/9/2006,Pulled H-Valve and Installed DXX Plug,NO,NO,NO,,NO,,NO,
-198675,A,177114078500,C003,0,0,3295,Fieldwood Energy LLC, 00820,SS,169, 00820,SS,169,TA,12/16/2013,Temporary Abandonment,NO,NO,NO,,NO,,NO,
-198676,A,177114077400,C004,0,0,3295,Fieldwood Energy LLC, 00820,SS,169, 00820,SS,169,TA,6/17/2010,Temporary Abandonment,NO,NO,NO,,NO,,NO,
-198677,A,177114080201,C006,1,0,3295,Fieldwood Energy LLC, 00820,SS,169, 00820,SS,169,TA,3/16/2023,Temporary Abandonment,NO,NO,NO,,NO,,NO,
-198678,A,608115010701,A015,1,0,78,Chevron U.S.A. Inc.,G05909,GC,161,G05911,GC,205,PA,4/23/2023,,NO,NO,YES,,NO,,NO,
-198679,W,608174093700,A004,0,0,981,Anadarko Petroleum Corporation,G18194,MC,126,G19925,MC,127,COM,1/25/2003,"Annual replacement of 2.5"" Weatherford PB Valve set in the QN profile located at 6,835'.",NO,NO,NO,,NO,,NO,
-198997,A,177094003301,D006,1,0,105,Apache Corporation, 00438,EI,175, 00438,EI,175,TA,3/24/2023,,NO,NO,NO,,NO,,NO,
-198998,A,177094005401,D009,1,0,105,Apache Corporation, 00438,EI,175, 00438,EI,175,TA,3/26/2023,,NO,NO,NO,,NO,,NO,
-198999,A,177094010601,D012,1,1,105,Apache Corporation, 00438,EI,175, 00438,EI,175,TA,3/27/2023,,NO,NO,NO,,NO,,NO,
-199000,A,177092012603,D021,3,0,105,Apache Corporation, 00438,EI,175, 00438,EI,175,TA,3/23/2023,,NO,NO,NO,,NO,,NO,
-199001,A,177094143102,J010,0,2,3059,ANKOR Energy LLC, 00577,EI,208, 00577,EI,208,TA,8/17/2023,Well J010  was TA'd on 8-17-2023,NO,NO,NO,,,,,
-199002,A,177094120501,J008,1,0,3059,ANKOR Energy LLC, 00577,EI,208, 00577,EI,208,TA,8/4/2023,Well J008  was temporarily abandoned as of 8-4-2023.,NO,NO,NO,,NO,,NO,
-199003,O,608174099500,B001,0,0,3695,KNOC Eagle Ford Corporation,G28351,MC,21,G28351,MC,21,COM,12/26/2005,"Diagnose and eliminate the possibility of pressure communication between the tubing and production casing with the purpose of sealing any leak path between the 7 5/8"" production casing and the 10 ¾"" surface casing. The product used was P-Seal around the 7 5/8"" casing and between the tubing hanger, then injecting a proprietary rubberized compound ""ULTRA SEAL® WELL BOND"" into the void between the upper P-Seal and the 7 5/8"" production casing hanger thus assuring any wellhead leak path back to the 10 ¾"" casing surface casing has been sealed.",NO,NO,NO,,,,,
-199005,A,608174112901,SS002,0,1,2782,Eni US Operating Co. Inc.,G24084,MC,502,G24084,MC,502,ST,4/1/2023,,YES,NO,NO,23.0,NO,,NO,
-199007,A,177094108001,J007,1,0,3059,ANKOR Energy LLC, 00577,EI,208, 00577,EI,208,TA,7/24/2023,"Temporary Abandonment Operations Completed on 7-24-2023

Remaining pipe and conduction will be cut and lifted at platform removal. ",NO,,YES,,,,,
-199008,A,177094080101,J002,1,0,3059,ANKOR Energy LLC, 00577,EI,208, 00577,EI,208,TA,8/17/2023,Well J002 is TA'd as of 8-17-2023,NO,NO,NO,,NO,,NO,
-199009,A,177094077601,J001,1,0,3059,ANKOR Energy LLC, 00577,EI,208, 00577,EI,208,TA,8/5/2023,Well J001 was TA'd on 8-5-2023,NO,NO,NO,,NO,,NO,
-199010,A,177192007300,B007,0,0,3670,"White Fleet Operating, LLC",G01874,WD,80,G01874,WD,79,PA,3/26/2023,Operations to permanently abandon the well were completed on 03/26/2023.,NO,NO,NO,,NO,,NO,
-199041,A,177044078103,A017,3,0,2237,"Noble Energy, Inc.",G09478,EC,332,G09478,EC,332,TA,6/6/2023,,NO,NO,NO,,NO,,NO,
-199042,A,177194031300,A008,0,1,3670,"White Fleet Operating, LLC",G04243,WD,86,G02934,WD,86,PA,7/19/2023,Operations to permanently abandon the well were completed on 07/19/2023.,NO,NO,NO,,NO,,NO,
-199043,A,177194031700,A010,0,0,3670,"White Fleet Operating, LLC",G04895,WD,85,G02934,WD,86,PA,7/22/2023,Operations to permanently abandon the well were completed on 07/22/2023.,NO,NO,NO,,NO,,NO,
-199044,A,177194032300,A012,0,0,3670,"White Fleet Operating, LLC",G04895,WD,85,G02934,WD,86,PA,7/8/2023,Operations to permanently abandon the well were completed on 07/08/2023.,NO,NO,NO,,NO,,NO,
-199045,A,177194033400,A015,0,1,3670,"White Fleet Operating, LLC",G04895,WD,85,G02934,WD,86,PA,7/17/2023,Operations to permanently abandon the well were completed on 07/17/2023.,NO,NO,NO,,NO,,NO,
-199046,C,177254057101,AA037,1,0,3481,"Cantium, LLC", 00378,MP,58, 00378,MP,58,COM,6/17/2021,Completed to 7400' Sand,NO,NO,NO,,,,,
-199048,A,177244033301,A022,1,0,3481,"Cantium, LLC",G04127,MP,313,G04127,MP,313,TA,3/7/2023,"Set, tagged surf plug in 7 5/8"" csg at 443'",NO,NO,NO,,NO,,NO,
-199049,O,177154127901,CE035,1,0,2628,"Arena Offshore, LP",G01240,ST,51,G01240,ST,51,COM,10/15/2018,DX Plug set @ 513' MD.,NO,NO,NO,,,,,
-176489,O,177094110600,K005,0,1,2628,"Arena Offshore, LP",G10741,EI,253,G00981,EI,237,COM,10/12/1996,GLV Redesign,NO,NO,NO,,NO,,NO,
-176528,A,177224012800,A004,0,1,2451,GOM Shelf LLC,G05051,SP,75,G05051,SP,75,TA,4/15/2018,Operations to complete the temporary abandonment & extend the surface plug were completed on 06/21/2019.  [eWell recognizes the zonal isolation date of 04/15/2018 as the temporary abandonment date].,NO,NO,NO,,NO,,NO,
-176629,A,177094136403,011,1,2,3035,Fieldwood Energy Offshore LLC, 00466,EI,77, 00466,EI,77,PA,5/3/2019,Permanent well abandonment was completed on 05/03/2019; all remaining casings were recovered @ 20' BML.,NO,NO,NO,,NO,,NO,
-176678,A,608054008601,001,1,0,2058,"LLOG Exploration Offshore, L.L.C.",G32954,AC,380,G32954,AC,380,PA,6/20/2019,,NO,NO,NO,16.0,NO,CS,NO,16.0
-176832,C,177114156700,041,0,0,1284,"W & T Offshore, Inc.", 00346,SS,28, 00346,SS,28,COM,9/29/2019,Initial Completion in Y-1/2/2A/3/4/5/6/7/8/9,NO,NO,NO,,,,,
-176875,C,177104166300,C014,0,0,2628,"Arena Offshore, LP",G33636,EI,314,G02111,EI,314,COM,2/26/2014,Modify perforations,NO,NO,NO,,NO,,NO,
-177068,C,177254001103,B016,3,0,3481,"Cantium, LLC",G01634,MP,144,G01634,MP,144,COM,10/9/2011,,NO,NO,NO,,,,,
-177127,A,177074080401,F001,1,0,2451,GOM Shelf LLC,G02311,SM,269,G02311,SM,269,TA,10/6/2018,"Operations to remediation SCP through complete temporary abandonment (through the surface plug) were completed as proposed on 06/27/2019.

[note that because all zones were isolated as of 10/06/2018, eWell recognizes that date as the temporary abandonment date].",NO,NO,NO,,NO,,NO,
-177167,W,177164028900,B001,0,0,2451,GOM Shelf LLC,G05646,ST,295,G05646,ST,295,TA,6/12/2019,Zonal Isolation to Remediate SCP,,,YES,,NO,,NO,
-177172,O,177104148901,A016,1,0,2628,"Arena Offshore, LP",G02914,EI,341,G02914,EI,341,COM,1/26/2017,Lower master valve repair.  No changes to WBS.,NO,NO,NO,,,,,
-177174,A,177254016400,CA002,0,0,2628,"Arena Offshore, LP",G03197,MP,120,G03197,MP,120,TA,5/4/2014,Temporary abandonment.,NO,NO,NO,,NO,,NO,
-177271,O,177114117802,B005,1,1,1284,"W & T Offshore, Inc.",G01022,SS,218,G01022,SS,218,COM,7/26/2012,Turn valve on to initiate GL,NO,,NO,,,,,
-177280,A,608174030500,A037,0,0,276,Exxon Mobil Corporation,G03205,MC,281,G03818,MC,280,TA,5/23/2017,,NO,NO,NO,,YES,,NO,
-177509,A,177174098202,A013,0,2,3295,Fieldwood Energy LLC,G04002,GI,33,G04002,GI,33,PA,8/22/2019,Permanent Abandonment,NO,NO,NO,,NO,,NO,
-178423,A,427114073800,D001,0,0,1284,"W & T Offshore, Inc.",G10311,HI,A385,G10311,HI,A385,PA,8/27/2018,,NO,NO,NO,,NO,CS,NO,47.0
-178479,C,177154127201,K007,1,0,2628,"Arena Offshore, LP", 00456,ST,130, 00457,ST,131,COM,4/13/2016,Zone Change to the D-8 Sand,NO,NO,NO,0.0,,,,
-178480,A,608174047903,A008,1,0,689,Shell Offshore Inc.,G07963,MC,807,G07963,MC,807,BP,11/6/2019,,NO,NO,NO,0.0,,,,
-178510,A,427094028101,B020,1,0,2312,McMoRan Oil & Gas LLC,G02372,HI,A489,G02372,HI,A489,TA,11/16/2019,TA date should reflect 11/16/2019.,NO,NO,NO,,NO,,NO,
-178511,A,177170053500,U005,0,0,3151,"Cox Operating, L.L.C.", 00031,GI,22, 00031,GI,22,PA,8/13/1990,,NO,NO,NO,,NO,,NO,
-178571,A,608074083101,001,0,1,3362,"Kosmos Energy Gulf of Mexico Operations, LLC",G35919,GB,492,G35918,GB,491,PA,11/27/2019,,,,YES,,NO,CS,NO,16.0
-179088,W,608054005105,GA013,1,0,689,Shell Offshore Inc.,G17561,AC,813,G17565,AC,857,COM,8/16/2016,Acid Stimulation ,YES,NO,NO,35.0,,,,
-179193,C,608114051401,SS002,0,1,2058,"LLOG Exploration Offshore, L.L.C.",G21785,GC,141,G31694,GC,97,COM,12/30/2009,,YES,NO,NO,25.0,NO,,NO,
-179194,A,177250102400,002,0,0,3481,"Cantium, LLC",G01373,BS,56,G01367,MP,42,TA,5/26/2010,,NO,NO,NO,,NO,,NO,
-179195,A,177244057402,B006,2,2,2313,Freeport-McMoRan Energy LLC,G12362,MP,299,G12362,MP,299,TA,12/14/2019,Operations suspended.,NO,NO,NO,,NO,,NO,
-179968,W,608174121501,TB004,1,0,59,Hess Corporation,G24101,MC,726,G24101,MC,726,COM,4/14/2014,Workover,YES,NO,NO,30.0,NO,,NO,0.0
-179333,C,608054005500,GA017,0,0,689,Shell Offshore Inc.,G17565,AC,857,G17565,AC,857,DSI,10/13/2007,"The GA-017 ST00 BP00 well was drilled to TD in the Wilcox ""WM50"" Sands.Perforate and fracture with proppant the ""WM50"" A sand, install upper completion for production. Install Subsea Production Tree and turn well over to Production.",NO,NO,NO,,NO,CS,NO,20.0
-179431,A,177194087400,A007,0,0,730,Walter Oil & Gas Corporation,G08736,WD,107,G08735,WD,106,BP,1/20/2020,Wellbore bypassed as of 01/20/2020,NO,NO,NO,,,,,
-180412,C,608104015200,A004,0,0,730,Walter Oil & Gas Corporation,G33177,MC,793,G27982,EW,834,COM,3/29/2017,"Recompletion into the 19,700' Sand",NO,NO,NO,,,,,
-180531,A,177154117901,B003,0,1,3035,Fieldwood Energy Offshore LLC,G03593,ST,195,G03593,ST,195,TA,3/24/2020,Temporary Abandonment,NO,NO,NO,,NO,,NO,
-181229,A,608174142700,001,0,0,2481,BP Exploration & Production Inc.,G35828,MC,518,G35828,MC,518,PA,6/14/2020,,NO,NO,NO,,YES,CS,NO,12.0
-181309,O,177114067300,C007,0,0,1284,"W & T Offshore, Inc.", 00830,SS,229, 00830,SS,229,COM,1/4/1983,Remove the PB vale and install a DX plug while the platform is shut in,NO,NO,NO,,NO,,NO,
-181371,A,608174015102,A059,1,1,3026,"Talos Energy Ventures, LLC",G02643,MC,151,G02638,MC,194,TA,5/17/2003,,,,YES,,NO,,NO,
-181828,A,177244088000,BA011,0,0,3481,"Cantium, LLC",G01316,MP,299,G01316,MP,299,TA,6/17/2020,,NO,NO,NO,,NO,,NO,
-182129,A,608074032401,001,0,1,1500,"TotalEnergies E&P USA, Inc.",G36155,GB,1003,G36155,GB,1003,PA,11/23/2020,,,,YES,,NO,CS,NO,15.0
-187054,O,608115009801,A002,0,1,78,Chevron U.S.A. Inc.,G05911,GC,205,G05911,GC,205,COM,3/29/2004,Slickline prep for upcoming zonal abandonment.,NO,NO,YES,,,,,
-187253,O,608114031300,A002,0,0,981,Anadarko Petroleum Corporation,G11080,GC,644,G11081,GC,645,TA,8/15/2019,Removed production tree and replaced with dry hole tree offline from the upcoming rig activity.  No changes to wellbore.,NO,NO,NO,,,,,
-177507,A,177174021000,A005,0,0,3295,Fieldwood Energy LLC,G04002,GI,33,G04002,GI,33,PA,8/22/2019,Permanent Abandonment,NO,NO,NO,,NO,,NO,
-179109,O,177114155100,E002,0,0,1834,Talos Petroleum LLC, 00063,SS,93, 00063,SS,93,COM,7/29/2012,"Operation to replace the tree and any corroded nuts and bolts on the wellhead, tree, and casing valves.  Operations took place 11/19/2019 - 11/22/2019.",NO,,YES,,,,,
-177510,A,608174118600,SS002,0,0,2782,Eni US Operating Co. Inc.,G16644,MC,728,G16644,MC,728,ST,7/27/2019,,YES,NO,NO,,NO,,NO,
-177607,A,608114038602,003,1,0,730,Walter Oil & Gas Corporation,G20051,GC,243,G20051,GC,243,PA,6/20/2019,,,,YES,,NO,CS,NO,13.0
-177613,A,177150086600,CA007,0,0,2899,Talos ERT LLC, 00599,ST,63, 00599,ST,63,TA,7/13/2018,"This well will remain in TA status.  Due to delays on other projects for the derrick barge and the weather forecast for the next 7 days, decision was made to postpone the removal of the CA structure and remaining wells until May 2020. A new APM will be submitted to complete the final PA of this well. ",NO,NO,NO,,NO,,NO,
-197317,O,608114042400,SS009,0,0,2647,Murphy Exploration & Production Company - USA,G21790,GC,338,G21790,GC,338,COM,1/11/2007,Replaced tree cap ,YES,NO,NO,19.0,NO,,NO,15.0
-197319,A,177084095500,F002,0,0,105,Apache Corporation,G01208,SM,76,G01208,SM,76,TA,8/9/2022,,NO,,YES,,NO,,NO,
-197322,A,177130010801,019,1,0,3247,Talos Energy Offshore LLC,G01238,PL,23,G01238,PL,23,PA,10/7/2022,Permanently abandoned.  All remaining casings/conductor cut & removed at least 15'BML.,NO,NO,NO,,NO,,NO,
-197395,W,608114074300,WA001,0,0,3572,BOE Exploration & Production LLC,G36061,GC,944,G36060,GC,943,TA,1/23/2021,Installed wellhead adapter spool.,,,YES,,NO,CS,NO,13.0
-197396,W,177004093100,JA002,0,0,3520,"Sanare Energy Partners, LLC",G13563,WC,269,G13563,WC,269,COM,6/20/1996,Set DX Plug,NO,NO,NO,,NO,,NO,
-197482,A,177074029000,D003,0,0,105,Apache Corporation,G01198,SM,66,G01198,SM,66,TA,9/19/2022,,NO,NO,NO,,NO,,NO,
-197483,W,608074019503,A001,2,0,1284,"W & T Offshore, Inc.",G11573,GB,783,G11573,GB,783,COM,6/26/2006,Re-install replacement PB Valve,NO,NO,NO,,,,,
-197484,A,177210078601,131,1,0,3368,"Whitney Oil & Gas, LLC", 00353,SP,28, 00353,SP,28,TA,8/29/2022,Well TA'd,NO,NO,NO,,NO,CS,NO,60.0
-197485,A,608115011601,A017,1,0,78,Chevron U.S.A. Inc.,G05911,GC,205,G05911,GC,205,PA,3/22/2023,,NO,NO,NO,,NO,,NO,
-197516,A,177154037202,SB022,2,0,3481,"Cantium, LLC", 00166,ST,23, 00166,ST,23,TA,6/19/2022,,NO,NO,NO,,NO,,NO,
-197561,A,608174123700,MB014,0,0,689,Shell Offshore Inc.,G07963,MC,807,G07963,MC,807,BP,9/10/2022,,NO,NO,NO,,NO,CS,NO,16.0
-197603,A,177244070800,A003,0,0,2312,McMoRan Oil & Gas LLC,G07827,MP,259,G07827,MP,259,TA,9/3/2022,zonal isolation,NO,NO,NO,,NO,,NO,
-197606,A,177244072401,A008,1,0,2312,McMoRan Oil & Gas LLC,G07827,MP,259,G07827,MP,259,TA,8/27/2022,Zonal isolation,,,YES,,NO,,NO,
-197605,A,177244071800,A007,0,0,2312,McMoRan Oil & Gas LLC,G07827,MP,259,G07827,MP,259,TA,9/3/2022,zonal isolation,NO,NO,NO,,NO,,NO,
-197607,A,177244076801,A012,1,0,2312,McMoRan Oil & Gas LLC,G07827,MP,259,G07827,MP,259,TA,9/5/2022,zonal isolation,,,YES,,NO,,NO,
-197571,W,177154102704,F027,3,1,3151,"Cox Operating, L.L.C.",G01870,ST,26,G01870,ST,26,COM,12/10/2000,"SCP Repair, submit successful diagnostics via TW.",NO,NO,NO,,NO,,NO,
-197573,A,177090026700,F001,0,0,105,Apache Corporation, 00049,EI,119, 00049,EI,119,TA,9/23/2022,,NO,NO,NO,,NO,,NO,
-197609,W,177194058000,A002,0,0,730,Walter Oil & Gas Corporation,G08736,WD,107,G08735,WD,106,COM,2/18/1995,Change Tubing,NO,NO,NO,,NO,,NO,
-197647,A,177244054501,A002,1,0,2313,Freeport-McMoRan Energy LLC,G12362,MP,299,G12362,MP,299,TA,12/14/2019,"Well was TA'd on 10/16/2022. eWell will not allow me to change the ""Well Status Date"".",NO,,YES,,NO,,NO,
-197649,A,177244074901,A011,1,0,2312,McMoRan Oil & Gas LLC,G07827,MP,259,G07827,MP,259,TA,9/6/2022,zonal isolation,NO,NO,NO,,NO,,NO,
-197651,A,177004091000,004,0,0,2375,"Energy XXI GOM, LLC", 00253,WC,149, 00253,WC,149,PA,9/7/2022,Well PA'd 15' BML.,NO,NO,NO,,NO,,NO,
-197652,W,177174044604,L012,1,2,2451,GOM Shelf LLC, 00177,GI,52, 00133,GI,47,COM,3/7/2004,Replace SSV,,,YES,,,,,
-197675,W,177154105901,F029,0,1,3151,"Cox Operating, L.L.C.",G01870,ST,26,G01870,ST,26,COM,8/11/2001,SCP Repair - Diagnostics submitted in TW.,NO,NO,NO,,NO,,NO,
-197687,W,177234006501,D006,1,1,105,Apache Corporation,G01614,SP,70,G01614,SP,70,COM,1/12/1994,SCP remediation. Set PTP @ 8264' MD.,NO,NO,NO,,NO,,NO,
-197688,A,177254030700,004,0,0,3650,Greyhound Energy LLC,G04909,MP,64,G04909,MP,64,ST,9/17/2022,,NO,NO,NO,,NO,,NO,
-197689,W,177120001700,A003,0,1,2451,GOM Shelf LLC,G01039,SS,274,G01039,SS,274,COM,7/24/1993,SCP Remediation. Set DS plug in S-1 nipple @ 7689' MD,NO,NO,NO,,NO,,NO,
-197690,W,177104149603,A002,2,0,3295,Fieldwood Energy LLC,G14482,EI,346,G14482,EI,346,TA,8/31/2004,"Attempted to perform bleed down and build up diagnostic on 20"" casing. No success. Will file new APM for additional scope of work.",NO,NO,NO,,NO,,NO,
-197691,W,608105000100,A001,0,0,3295,Fieldwood Energy LLC,G05800,EW,826,G05800,EW,826,COM,3/24/1989,Casing Pressure Repair,NO,NO,NO,,NO,,NO,
-197694,A,177114103000,G002,0,0,1284,"W & T Offshore, Inc.", 00434,SS,149, 00434,SS,149,PA,10/31/2022,,NO,NO,NO,,NO,,NO,
-198243,A,608074007503,A004,3,0,689,Shell Offshore Inc.,G07498,GB,471,G08241,GB,426,PA,12/8/2022,,NO,NO,NO,,NO,CS,NO,14.0
-197994,A,177004102400,F001,0,0,105,Apache Corporation, 00244,WC,71, 00244,WC,71,TA,10/30/2022,,NO,NO,NO,,NO,,NO,
-198015,A,608044027700,001,0,0,2277,Woodside Energy (Deepwater) Inc.,G36191,EB,699,G36191,EB,699,PA,12/28/2022,,,,YES,,NO,CS,NO,19.0
-198076,A,608174113700,SS002,0,0,3151,"Cox Operating, L.L.C.",G08483,MC,72,G08483,MC,72,PA,11/19/2022,Well PA'd with Tree in-place. Site clearance completed and survey attached with APM approval.,YES,NO,NO,13.0,NO,ST,NO,13.0
-196257,W,608174101101,TA007,1,0,2481,BP Exploration & Production Inc.,G14658,MC,822,G09868,MC,778,COM,2/24/2014,"Tubing change out, specs as follows:
5-1/2"", 26#, 25Cr, Vam Top HT EOT - 23174'
4-1/2"", 15.1#, 25Cr, Vam Top EOT - 24475' ",YES,NO,NO,30.0,NO,,NO,
-198359,A,177244061902,SW139,2,0,2313,Freeport-McMoRan Energy LLC,G09372,MP,299,G09372,MP,299,TA,5/18/2019,Well was TA'd per regulations on 12/08/2022.,NO,NO,NO,,NO,,NO,
-198360,A,177122001500,C004,0,0,3035,Fieldwood Energy Offshore LLC,G01529,SS,252,G01031,SS,253,TA,3/13/2023,Temporary Abandonment ,NO,NO,NO,,NO,,NO,
-198461,A,177224016203,B020,3,2,105,Apache Corporation,G01618,SP,89,G01618,SP,89,TA,4/22/2023,,NO,NO,NO,,NO,,NO,
-198462,A,177224017800,B022,0,0,105,Apache Corporation,G01618,SP,89,G01618,SP,89,TA,3/23/2023,,NO,NO,NO,,NO,,NO,
-198805,A,608174147400,003,0,0,689,Shell Offshore Inc.,G35985,MC,802,G35985,MC,802,PA,1/29/2023,"The MC802-003 location was drilled by the Noble Globetrotter II to 607' BML and then the wellbore was lost due to 38"" jetpipe and wellhead subsidence. The 280' long jetpipe remains in the wellbore with expected top of jetpipe at approximately 60' BML.",,,YES,,NO,,NO,
-198806,A,608105005800,A014,0,1,3026,"Talos Energy Ventures, LLC",G12136,EW,873,G12136,EW,873,ST,2/21/2023,Plugged back for sidetrack,NO,NO,NO,,NO,,NO,
-198807,A,177244060001,B008,1,0,2313,Freeport-McMoRan Energy LLC,G12362,MP,299,G12362,MP,299,PA,2/19/2023,,NO,NO,NO,,NO,,NO,
-198808,A,177244058100,B010,0,0,2313,Freeport-McMoRan Energy LLC,G12362,MP,299,G12362,MP,299,PA,1/16/1994,PA date should reflect 02/15/2023. eWell will not allow me to change the Well Status Date.,NO,NO,NO,,NO,,NO,
-198809,W,608174120403,VA002,2,0,689,Shell Offshore Inc.,G22919,MC,984,G31534,MC,940,COM,6/7/2019,EOR Submitted to Capture F2S Millout ,YES,YES,NO,14.0,,,,
-198834,A,177004090002,014,2,0,105,Apache Corporation, 00081,WC,110, 00081,WC,110,TA,3/3/2023,,NO,NO,NO,,NO,,NO,
-198945,W,608174092902,A005,2,0,2782,Eni US Operating Co. Inc.,G19996,MC,773,G19996,MC,773,COM,1/21/2022,,NO,NO,NO,,,,,
-182049,W,177090027200,F006,0,2,105,Apache Corporation, 00049,EI,119, 00049,EI,119,COM,10/9/1962,Operations to change out the PB Valve with a PTP were completed on 07/08/2020.,NO,NO,NO,,NO,,NO,
-182335,W,177190010203,D003,2,1,3151,"Cox Operating, L.L.C.", 00385,WD,29, 00385,WD,29,COM,5/1/2006,Was unable to remove fish and isolate the zone. Casing pressure has not been repaired.,NO,NO,NO,,,,,
-182336,A,608174139701,IE003,0,1,689,Shell Offshore Inc.,G26253,MC,392,G26253,MC,392,PA,9/19/2020,"Permanently Abandon 9&#8208;7/8"" x 11"" Open Hole on IE003 Well",,,YES,,NO,,NO,
-182383,A,177114145100,G009,0,0,1284,"W & T Offshore, Inc.", 00434,SS,149, 00434,SS,149,TA,8/10/2020,,NO,NO,YES,,,,,
-182474,A,608074029001,SS002,1,0,3165,Apache Deepwater LLC,G19127,GB,462,G19127,GB,462,PA,8/12/2020,,YES,NO,NO,12.0,NO,CS,NO,15.0
-182478,C,608074030604,DC001,2,0,689,Shell Offshore Inc.,G07493,GB,427,G07493,GB,427,COM,11/20/2020,,YES,NO,NO,26.0,,,,
-193753,A,177004119400,002,0,0,3035,Fieldwood Energy Offshore LLC,G23735,WC,72,G23735,WC,72,PA,9/21/2021,Well PA was completed on 09/21/2021.,NO,NO,NO,,NO,,NO,
-193773,A,608174144200,001,0,0,730,Walter Oil & Gas Corporation,G36398,MC,617,G36398,MC,617,ST,12/31/2021,,,,YES,,,,,
