SN_APD_CSNG_INTV_FK,CASING_SECTION_NUM,CASING_SIZE,CASING_WEIGHT,CASING_GRADE,CASING_BURST_PSI,CASING_COLLPSE_PSI,CASING_SECTION_MD,CASING_SECTION_TVD,CASING_PORE_PRSS_PPG
-456019,1,20.0,169.0,X-56,3978.0,2510.0,8024,8024,9.0
-456019,2,20.0,133.0,X-56GB,3060.0,1460.0,8024,8024,9.0
-456020,1,13.625,88.2,Q-125 HC,10320.0,6370.0,7765,7765,9.3
-456020,2,13.375,72.0,P-110,7400.0,2880.0,10167,10035,9.3
-456021,1,9.625,53.5,T-95HC,9410.0,8850.0,13511,12271,10.0
-456022,1,7.0,29.0,P-110,11220.0,8530.0,18843,15917,11.9
-456072,1,13.375,68.0,HCL-80,5020.0,2910.0,3779,3400,8.7
-456073,1,9.625,53.5,Q125-IC,12390.0,9390.0,12005,10670,11.1
-456074,1,13.375,68.0,N-80,5020.0,2260.0,4570,4526,10.1
-456075,1,9.875,62.8,Q125 HP,14960.0,12910.0,4570,4526,10.1
-456076,1,,,,,,7169,6604,10.5
-456112,1,9.625,53.5,P=110,10900.0,7950.0,13500,12005,11.7
-456143,1,18.625,87.5,J-55,2250.0,630.0,1149,1149,9.0
-456144,1,13.375,68.0,K55-HC,3450.0,2550.0,4184,4180,9.0
-456145,1,9.875,62.8,Q125 XHP PE,14960.0,13690.0,10298,10294,10.0
-456146,1,7.625,39.0,Q-125 HC,14340.0,13310.0,11800,11681,13.3
-456368,1,9.625,47.0,N-80,6870.0,4760.0,6775,6222,10.6
-456148,1,5.0,18.0,P-110-HC,13950.0,14360.0,13254,13110,13.0
-456316,1,9.625,53.5,SM-125TT,12740.0,10020.0,13677,12800,13.3
-456369,1,7.0,29.0,HCP-110,11220.0,9200.0,8031,7418,14.5
-456426,1,28.0,218.2,X-60,2812.0,953.0,8366,8366,8.7
-456427,1,23.0,453.0,X 80Q,13890.0,5000.0,7292,7292,8.6
-456427,2,22.0,224.2,X.80,6403.0,3559.0,12525,12525,10.0
-456428,1,18.0,117.0,Q125-HP,8450.0,2860.0,12600,12600,10.0
-456428,2,17.875,107.0,P110-1C,6370.0,2220.0,17000,17000,11.4
-456428,3,17.875,106.3,Q 125 HP,7820.0,2310.0,17550,17550,11.5
-456429,1,16.25,136.0,Q125 HP,12350.0,7680.0,7650,7650,8.6
-456429,2,16.15,126.9,Q-125 XHP,11620.0,7250.0,18000,18000,11.6
-456429,3,16.2,131.7,Q-125 XHP,12000.0,7860.0,22270,22266,12.8
-456430,1,14.0,116.0,VM125SS,13180.0,9220.0,9200,9200,8.7
-456430,2,14.0,116.0,VM125HCSS,13180.0,11350.0,14600,14600,10.9
-456430,3,14.0,116.0,VM125 HYHC,14760.0,12500.0,17000,17000,11.6
-456430,4,14.15,126.8,Q-125 XHP,15380.0,13460.0,23130,23094,13.0
-456430,5,14.0,115.5,Q-125XHP,14230.0,11580.0,24944,24830,13.6
-456431,1,9.375,39.0,Q-125 HP,10080.0,5180.0,25948,25790,14.2
-456432,1,,,,,,28413,28149,13.4
-456470,1,28.0,218.2,X-60,2812.0,953.0,8366,8366,8.7
-456471,1,23.0,453.0,X 80Q,13890.0,5000.0,7292,7292,8.6
-456471,2,22.0,224.2,X.80,6403.0,3559.0,12525,12525,10.0
-456472,1,18.0,117.0,Q125-HP,8450.0,2860.0,12600,12600,10.0
-403753,1,28.0,218.2,X65,3050.0,950.0,7683,7683,8.6
-403754,1,22.0,328.3,X-80,9545.0,9457.0,6374,6374,8.6
-403754,2,22.0,277.3,X-80,7950.0,6670.0,6626,6626,8.6
-403754,3,22.0,224.5,X-80,6360.0,3870.0,10935,10935,10.2
-403755,1,18.0,117.0,P-110,6680.0,2110.0,13798,13651,11.1
-403756,1,16.0,109.0,Q-125IC,8970.0,4150.0,12214,12200,10.7
-403756,2,16.1,110.5,Q125-ICY,10070.0,4960.0,14412,14200,11.5
-403756,3,16.15,127.5,Q125-ICY TSH WEDG,11620.0,6700.0,16345,15926,12.0
-403757,1,13.625,88.2,Q-125 HC,10320.0,6370.0,16395,15791,12.0
-403757,2,14.0,112.9,Q-125-HC,12860.0,11350.0,20564,19695,12.9
-403758,1,9.875,67.5,C-110,13220.0,12160.0,22844,21705,13.1
-403759,1,7.75,46.1,SM25CRW-125 TSH WEDG,17270.0,16590.0,24580,23272,13.8
-403759,2,7.75,46.1,C-110,14780.0,15000.0,24740,23410,13.8
-403760,1,5.0,18.0,25CRW-125,15840.0,14820.0,26476,24860,14.2
-403781,1,11.75,99.9,C-110,14470.0,13710.0,10000,10000,9.7
-403781,2,10.125,79.8,SM 125S,17780.0,17500.0,20314,19472,12.9
-404407,1,16.0,65.0,H-40,1640.0,670.0,900,900,8.7
-404408,1,10.75,45.5,N-80,5210.0,2480.0,4500,4500,9.0
-404449,1,22.0,277.0,X 80,7950.0,6670.0,6198,6198,8.6
-404449,2,20.0,166.4,X-56,3981.0,2518.0,6278,6278,8.6
-404449,3,20.0,166.0,X-56,3980.0,2510.0,9390,9388,8.6
-404450,1,16.0,109.0,P110-IC,7890.0,4150.0,14323,14275,11.4
-404450,2,16.1,110.5,Q125-ICY,10070.0,4960.0,15048,14947,11.7
-404451,1,13.625,88.2,Q-125 HC,10320.0,6370.0,20487,19651,12.8
-404452,1,9.875,67.5,C-110,13220.0,12160.0,22498,21320,8.8
-404452,2,9.875,62.8,SD25CR-125,14240.0,11140.0,22698,21483,12.9
-404452,3,9.875,67.5,C-110,13220.0,12160.0,22831,21595,12.9
-404453,1,7.75,46.1,C-110,14780.0,15000.0,24400,22872,12.7
-404454,1,11.75,99.9,C-110,14470.0,13710.0,10366,10364,13.2
-404454,2,10.125,79.8,C-125,17280.0,16280.0,19517,18707,13.2
-404454,3,9.875,62.8,SD25CR-125,14240.0,11140.0,20217,19407,13.2
-404454,4,9.875,62.8,C110,12180.0,10280.0,20297,19487,13.2
-455452,1,9.625,53.5,HC-110,10900.0,8850.0,9640,9200,11.3
-455463,1,7.0,29.0,P110-IC,11220.0,9580.0,10166,9694,11.3
-455564,1,22.0,328.7,X-80,10420.0,9500.0,4114,4114,9.8
-442097,2,11.75,65.0,P110 HC,8740.0,5390.0,20705,18147,13.7
-455564,2,22.0,224.5,X-80,6360.0,3870.0,6543,6543,9.8
-455565,1,16.15,127.5,Q125 ICY,11620.0,7200.0,19375,19375,12.9
-455566,1,13.875,106.0,TN 140HC W513 DPLS,13710.0,10710.0,24295,24237,13.2
-455567,1,11.875,71.8,TN 125 HC,11030.0,7800.0,28553,28344,12.4
-455568,1,11.875,111.0,SM125S,17130.0,17220.0,12100,12100,9.4
-455568,2,10.0,69.2,SM125S,15750.0,14493.0,23005,22993,9.4
-455568,3,10.0,69.2,SM125S,15750.0,14493.0,28357,28128,9.4
-455568,4,9.875,65.3,VM125HYHC,16590.0,14560.0,31565,31206,9.4
-455569,1,7.75,46.1,Q-125,16790.0,16580.0,32610,32209,12.0
-455557,2,22.0,224.2,X 80,6364.0,3873.0,7600,7600,8.6
-455558,4,16.04,109.6,Q125HP,10100.0,4670.0,23046,22104,9.6
-455558,5,16.0,97.0,Q125HP,8740.0,3150.0,24696,23731,10.2
-455559,1,14.0,115.5,Q-125XHP,14230.0,11580.0,27244,26244,13.8
-455560,1,10.75,85.3,C-110,14260.0,14070.0,7798,7798,8.6
-455601,1,32.0,291.5,X-60,2880.0,1020.0,4477,4477,9.1
-455602,1,28.0,220.0,X-56,2630.0,950.0,5331,5331,9.7
-455603,1,22.0,328.3,X-80,9545.0,9457.0,3771,3771,9.8
-455603,2,22.0,224.3,X-80,6360.0,3870.0,6120,6120,9.8
-455604,1,18.0,117.0,P-110,6680.0,2110.0,8490,8468,11.0
-455605,1,14.0,115.0,TN-125HC,13050.0,11000.0,11192,11088,12.5
-455605,2,14.5,79.1,Q-125,8000.0,2470.0,11620,11505,12.5
-455606,1,11.75,71.0,VM60 EXPANDABLE,4370.0,2570.0,14530,14317,12.8
-455607,1,11.75,82.6,TN 125HC TSH,13230.0,12100.0,16352,15822,13.4
-455607,2,11.75,65.0,Q-125,9940.0,4690.0,16752,16058,13.4
-455608,1,8.625,44.0,Q-125,13040.0,8980.0,3470,3470,14.3
-455608,2,8.625,44.0,Q125,12680.0,8980.0,10791,10700,14.3
-455608,3,7.625,47.1,VM95HCSS-D,13630.0,14970.0,14000,13805,14.3
-455608,4,7.625,47.1,VST Q125HC,17930.0,19900.0,16282,15780,14.3
-455608,5,7.625,47.1,TN125HC,18440.0,18950.0,20724,18218,14.3
-455595,1,18.0,117.0,P-110,6680.0,2110.0,8550,8409,10.9
-455596,1,14.0,115.0,TN-125HC,13050.0,11000.0,12764,11500,12.6
-455597,1,28.0,218.0,X60,2810.0,950.0,10267,10267,8.6
-455598,1,22.0,224.0,X  80,6364.0,3873.0,13234,13176,8.6
-455599,1,14.0,115.0,SM125CYT HC,13050.0,11640.0,18501,17764,9.9
-455600,1,,,,,,22980,21667,9.9
-455731,1,20.0,166.4,X-80,5680.0,3020.0,3076,3076,10.1
-455662,2,10.0,69.2,SM13CRS-125,15750.0,14493.0,21255,18990,13.0
-455731,2,17.456,86.7,EX-80,5200.0,940.0,3146,3146,10.1
-455731,3,20.0,166.4,X-80,5680.0,3020.0,5410,5410,10.1
-455732,1,16.0,97.0,Q-125 HP,8730.0,3150.0,7103,7030,11.7
-455733,1,13.625,88.2,Q--125--HP,11160.0,6010.0,10478,9761,12.9
-455734,1,11.875,71.8,Q125-CC,11910.0,7190.0,12680,11557,13.5
-455735,1,9.875,62.8,Q125-IC,13840.0,11660.0,9570,9028,13.7
-455749,1,,,,,,8616,7655,8.6
-455769,1,28.0,218.0,X60,2810.0,950.0,10267,10267,8.6
-455770,1,22.0,224.0,X  80,6364.0,3873.0,13234,13176,8.6
-455771,1,14.0,115.0,SM125CYT HC,13050.0,11640.0,18501,17764,9.9
-455772,1,,,,,,22980,21667,9.9
-455806,1,22.0,277.3,X- 80,8640.0,6690.0,11680,11680,9.6
-455805,1,28.0,218.5,X 65,3210.0,950.0,9190,9190,8.7
-455807,1,16.0,109.0,Q-125IC,8970.0,4150.0,16545,16237,9.6
-455809,1,14.0,115.0,VM 125HC,13050.0,11640.0,19780,19181,11.0
-455895,1,11.75,65.0,P-110,8750.0,4480.0,6454,6421,11.2
-455895,2,11.75,65.0,P-110,8750.0,4480.0,8000,7416,11.2
-455896,1,9.375,39.0,Q-125,9330.0,3960.0,13494,11700,11.6
-455897,1,7.625,39.0,P-110,12620.0,11080.0,19023,16281,12.1
-455898,1,7.625,33.7,P-110,10860.0,7850.0,3137,3137,12.1
-455898,2,7.625,39.0,P-110,12620.0,11080.0,7700,7295,12.1
-455898,3,7.625,39.0,P-110,12620.0,11080.0,13200,11456,12.1
-455898,4,7.625,39.0,P-110,12620.0,11080.0,19023,16281,12.1
-455939,1,18.0,94.0,P110,5350.0,1060.0,13868,13734,8.6
-455962,1,,,,,,22980,21667,9.9
-456314,1,9.625,43.5,VM  50,4561.0,1860.0,18515,16975,13.9
-456217,1,22.0,225.0,X-80,6364.0,3873.0,2000,2000,8.7
-456218,1,18.0,117.0,P110 HP,7820.0,2830.0,4166,4000,11.3
-456219,1,16.0,97.0,JFE-125T HDL,7860.0,3400.0,8728,7000,14.1
-456220,1,13.625,88.2,JFE-125T SLSF,11150.0,6280.0,10875,8400,15.0
-456261,1,11.875,71.8,Q125-CC,11910.0,7190.0,11732,8959,16.0
-456261,2,11.875,71.8,TN 125 HC,11030.0,7800.0,13650,10210,16.0
-456261,3,11.875,71.8,Q125-CC,11910.0,7190.0,14374,10600,16.0
-456262,1,9.875,62.8,Q125 XHP PE,14960.0,13690.0,10437,8110,14.3
-456262,2,9.875,62.8,Q125 XHP PE,14960.0,13690.0,14002,10557,14.3
-456262,3,9.875,62.8,Q125 XHP PE,14960.0,13690.0,23234,16135,14.3
-456317,1,7.75,46.1,Q125-IC,16790.0,17780.0,19199,17100,15.2
-456400,1,13.375,68.0,J-55,3450.0,1950.0,1000,1000,8.7
-456415,1,9.625,53.5,USS P110 HC,10900.0,9190.0,6000,6000,9.0
-456416,1,7.0,38.0,Q-125,16880.0,16750.0,500,500,9.1
-456424,1,10.75,46.0,K-55,3580.0,2090.0,2400,2400,8.7
-456425,1,7.0,26.0,P-110,9950.0,6230.0,11359,7800,10.0
-456493,1,7.625,47.1,Q125HC,17930.0,19900.0,28729,27959,14.3
-456504,2,14.0,115.0,TN 125 HC,13050.0,11400.0,21025,19190,13.0
-456745,1,11.75,65.0,P-110,8750.0,4480.0,6454,6421,11.2
-456745,2,11.75,65.0,P-110,8750.0,4480.0,8000,7416,11.2
-456746,1,9.375,39.0,Q-125,9330.0,3960.0,13494,11700,11.6
-456747,1,7.625,39.0,P-110,12620.0,11080.0,19023,16281,12.1
-456748,1,7.625,33.7,P-110,10860.0,7850.0,3137,3137,12.1
-456748,2,7.625,39.0,P-110,12620.0,11080.0,7700,7295,12.1
-456748,3,7.625,39.0,P-110,12620.0,11080.0,13200,11456,12.1
-456748,4,7.625,39.0,P-110,12620.0,11080.0,19023,16281,12.1
-403378,1,22.0,224.0,X  80,6364.0,3873.0,12300,12300,10.3
-403379,1,16.0,84.0,P-110,5960.0,1480.0,14200,14193,11.1
-403380,1,14.0,115.0,TN95HS,9920.0,8810.0,13400,13396,11.8
-403380,2,14.0,115.0,TN110SS,11480.0,8430.0,16200,16193,11.8
-403380,3,14.0,115.0,Q125CY,12690.0,9000.0,20230,20223,11.8
-403401,1,11.75,65.0,P-110,8750.0,4480.0,23557,23550,13.2
-403401,2,9.375,39.0,Q-125,9330.0,3960.0,25052,24993,13.2
-403402,1,7.625,29.7,P110EC,10760.0,7360.0,24984,24932,13.3
-403402,2,7.625,33.7,P110,10860.0,7850.0,25529,25435,13.3
-403402,3,7.625,29.7,P110EC,10760.0,7360.0,26843,26668,13.3
-403403,1,,,,,,30393,30082,14.2
-403574,1,22.0,225.0,X-80,6364.0,3873.0,2000,2000,8.6
-403575,1,18.0,117.0,P-110 HP TSH W 511,7820.0,2240.0,4000,4000,11.0
-403576,1,16.0,94.8,Q-125 HC (96#) W511,7570.0,2960.0,8100,8100,13.8
-403577,1,13.625,88.2,JFE125T SLSF,10321.0,6280.0,10000,10000,15.2
-403578,1,11.875,71.8,Q-125IC,11030.0,7190.0,12900,12900,16.5
-403579,1,10.125,81.0,JFE125T VAM SLIJ-II,18370.0,17650.0,16500,16500,15.8
-403580,1,7.75,46.1,TN 125HCY,18140.0,17480.0,21000,21000,15.8
-403626,1,22.0,328.3,"X-80,H-90DM-QT",9545.0,2190.0,8231,8231,8.6
-403626,2,22.0,224.5,X80,6850.0,3880.0,8231,8231,8.6
-403627,1,17.937,93.8,X-80,3900.0,1080.0,10821,10821,10.5
-403628,1,16.0,109.0,HCQ-125,8970.0,4230.0,15296,15296,12.2
-403629,1,14.0,112.6,C-110,11000.0,8130.0,6400,6400,15.7
-403629,2,14.0,112.6,HC Q125,12450.0,11350.0,19522,19522,15.7
-403630,1,11.875,71.8,TN125-HC,10720.0,7800.0,29050,28463,15.3
-403631,1,,,,,,32969,31925,13.7
-403613,2,22.0,224.0,X  80,6364.0,3873.0,10000,10000,8.7
-403637,1,28.0,218.2,X-60,2812.0,953.0,6290,6290,8.6
-403638,1,22.0,277.0,X-80,7955.0,6665.0,8100,8100,8.7
-403638,2,22.0,224.0,X  80,6364.0,3873.0,9150,9150,8.7
-403639,1,16.0,97.0,Q-125 HP,8730.0,3150.0,18140,18140,11.6
-403640,1,14.0,115.5,Q-125 HP,14230.0,10530.0,10640,10640,12.2
-403640,2,14.0,112.9,Q-125 HP,13890.0,10000.0,17640,17640,12.2
-403640,3,14.0,115.0,Q125 HP,14230.0,10530.0,22000,22000,12.2
-403641,1,11.875,71.8,Q125-CC,11910.0,7190.0,32610,30831,15.6
-403642,1,,,,,,38398,35600,15.3
-403783,1,9.625,53.5,HCP/110,10900.0,8850.0,6601,4500,9.0
-445167,1,9.875,62.8,TN 125HC,13840.0,13420.0,21069,20717,14.3
-445169,1,,,,,,21631,21278,14.2
-445171,1,9.625,53.5,Q-125,12390.0,8440.0,8561,6450,12.5
-448645,1,22.0,277.3,X- 80,8640.0,6690.0,7650,7650,8.8
-448646,1,14.0,115.0,TN125HS TSH,13050.0,10500.0,18176,16172,10.8
-448647,1,9.875,62.8,C-110,12180.0,10290.0,23291,20922,12.1
-448647,2,9.875,62.8,SM13CRS-110,12180.0,10280.0,24821,21709,12.3
-448647,3,9.875,62.8,C-110,12180.0,10290.0,25728,22502,12.4
-458200,5,7.625,47.1,TN125HC,18440.0,18950.0,20724,18218,14.3
-458202,1,10.875,72.0,C-110,11612.0,9246.0,16858,16733,11.5
-458202,2,9.875,65.3,C-110,12670.0,11170.0,19877,19699,11.5
-458202,3,9.875,65.1,HCQ 125,14410.0,12900.0,20900,20705,11.3
-458203,1,7.0,35.0,C110,14080.0,13020.0,22475,22236,11.7
-458204,1,28.0,218.5,X 56,2630.0,950.0,4900,4900,8.6
-458205,1,22.0,277.0,X-80,7955.0,6665.0,3097,3097,8.6
-458205,2,22.0,224.0,X  80,6364.0,3873.0,7000,7000,9.6
-458206,1,18.0,117.0,Q125-HP,8450.0,2860.0,10578,10578,11.4
-458207,1,13.625,88.2,HC Q125,10030.0,6370.0,5103,5103,8.6
-458207,2,13.625,88.2,Q125,10030.0,4800.0,14078,14078,13.0
-458208,1,9.875,62.8,Q-125,13840.0,11140.0,16436,16120,14.3
-458209,1,,,,,,17460,16881,14.4
-458354,1,20.0,166.6,X56,4240.0,2520.0,5740,5740,9.0
-458355,1,16.0,109.0,USS Q125HP,9960.0,3970.0,8518,8237,10.6
-458212,1,11.75,65.0,P-110,8750.0,4480.0,6454,6421,11.2
-458212,2,11.75,65.0,P-110,8750.0,4480.0,8000,7416,11.2
-458213,1,9.375,39.0,Q-125,9330.0,3960.0,13494,11700,11.6
-458214,1,7.625,33.7,P-110,10860.0,7850.0,3137,3137,0.0
-458606,1,22.0,328.7,X-80,10420.0,9500.0,6834,6834,8.5
-454174,2,10.0,73.2,VM125HC,16930.0,16090.0,27000,24897,14.2
-458605,1,28.0,218.5,X-65,3050.0,950.0,8550,8550,8.7
-458229,1,7.625,39.0,Q-125HP,15510.0,13790.0,6450,6400,10.7
-458216,1,5.5,23.0,13CR-110,14530.0,14540.0,19023,16281,12.3
-458228,1,9.625,53.5,P=110,10900.0,7950.0,4900,4900,10.1
-458230,1,,,,,,9233,8000,11.8
-458341,1,28.0,218.5,X 56,2630.0,950.0,4900,4900,8.6
-458342,1,22.0,277.0,X-80,7955.0,6665.0,3097,3097,8.6
-458342,2,22.0,224.0,X  80,6364.0,3873.0,7000,7000,9.6
-458343,1,18.0,117.0,Q125-HP,8450.0,2860.0,10578,10578,11.4
-458344,1,13.625,88.2,HC Q125,10030.0,6370.0,5103,5103,8.6
-458344,2,13.625,88.2,Q125,10030.0,4800.0,14078,14078,13.0
-458345,1,9.875,62.8,Q-125,13840.0,11140.0,16436,16120,14.3
-458346,1,,,,,,17460,16881,14.4
-458353,1,28.0,218.5,X 65,3210.0,950.0,4360,4360,8.7
-458356,1,13.75,98.6,HPQ-125,12490.0,7910.0,8418,8160,12.6
-458356,2,13.625,88.2,JFE-125T,10730.0,6280.0,11584,10576,12.6
-458357,1,11.875,71.8,Q125-CC,11910.0,7190.0,15385,13476,13.9
-458358,1,9.625,53.5,HCQ-125A,12390.0,9700.0,15010,13190,14.5
-458358,2,9.625,53.5,HCQ-125A,12390.0,9700.0,18300,15701,14.5
-458369,1,22.0,142.0,X-56,2780.0,1130.0,5470,5470,9.3
-458368,1,26.0,288.0,X-56,3500.0,1950.0,4550,4550,8.9
-458370,1,18.0,94.0,X 80,3890.0,1060.0,6959,6959,9.8
-458371,1,13.625,88.2,Q-125,10030.0,4800.0,9673,9488,10.5
-458374,1,10.75,85.3,Q-125,16220.0,15520.0,8000,7000,12.2
-458412,1,7.625,29.7,S-95,8180.0,7150.0,4700,4679,9.0
-458413,1,5.0,18.0,P110,13940.0,13470.0,10777,10500,9.8
-458414,1,26.0,0.8,X-56,2826.0,1182.0,1490,1490,8.7
-458415,1,20.0,133.0,P-110,6120.0,1600.0,1867,1867,9.4
-458416,1,16.0,109.0,Q-125 HP,9960.0,4500.0,2638,2638,10.3
-458417,1,13.625,88.2,Q125 HP SLSF,11160.0,6010.0,2945,2945,10.5
-458418,1,11.75,65.0,125,9940.0,4690.0,4733,4733,12.0
-458419,1,9.875,62.8,Q125 XHP PE,14960.0,13690.0,11496,11414,16.2
-458420,1,7.75,46.1,Q-125,16790.0,16580.0,14514,14300,17.0
-458421,1,,,,,,18082,18000,16.3
-458422,1,9.625,53.5,N-80,7930.0,6620.0,5400,4908,9.8
-458423,1,7.0,29.0,HCP-110,11220.0,9200.0,6888,6312,11.8
-458424,1,5.0,18.0,P-110,13950.0,13470.0,8206,7578,14.5
-458545,1,22.0,328.7,X-80,10420.0,9500.0,4114,4114,9.8
-458545,2,22.0,224.5,X-80,6360.0,3870.0,6543,6543,9.8
-458546,1,16.15,127.5,Q125 ICY,11620.0,7200.0,19375,19375,12.9
-458547,1,13.875,106.0,TN 140HC W513 DPLS,13710.0,10710.0,24295,24237,13.2
-458548,1,11.875,71.8,TN 125 HC,11030.0,7800.0,28553,28344,12.4
-458560,1,16.0,84.0,K-55,2980.0,1410.0,3553,3550,10.0
-458559,1,20.0,94.0,J-55,2110.0,520.0,2102,2100,9.0
-458561,1,11.875,71.8,Q-125,10720.0,5630.0,3000,3000,9.5
-458561,2,11.875,71.8,P-110,9430.0,5290.0,12039,8114,9.9
-458562,1,7.625,33.7,P-110.,10860.0,7870.0,17073,11525,12.5
-458563,1,,,,,,32610,32343,11.0
-458214,2,7.625,39.0,P-110,12620.0,11080.0,7700,7925,0.0
-458214,3,7.625,39.0,P110,12620.0,11080.0,13200,11456,0.0
-458214,4,7.625,39.0,P110,12620.0,11080.0,17846,15305,13.5
-458606,2,22.0,224.5,X80,6850.0,3880.0,10580,10578,9.8
-458607,1,16.0,109.0,Q125-IC,9230.0,4150.0,13429,13293,11.3
-458608,1,14.0,115.0,VM 125HC,13050.0,11640.0,16039,15776,11.7
-458609,1,10.875,72.0,C- 110,11940.0,9250.0,10784,10779,9.9
-458609,2,9.875,62.8,C-110,12180.0,10290.0,15659,15407,8.0
-458609,3,9.875,62.8,C110,12180.0,10280.0,17500,17233,12.6
-458609,4,9.875,62.8,110CR13S,12180.0,10280.0,18000,17733,12.7
-458609,5,9.875,62.8,C110,12180.0,10280.0,18864,18616,13.4
-454174,3,10.0,73.2,VM125HC,16930.0,16090.0,28500,26000,14.2
-454174,4,10.0,73.2,UHP 15CR125,16470.0,16160.0,33300,30559,14.2
-401896,1,9.625,53.5,HCP/110,10900.0,8850.0,6877,6650,9.0
-395065,7,22.0,170.2,X-60,3580.0,1816.0,10544,10544,9.2
-401897,1,23.0,448.4,X 80,13890.0,4000.0,4616,4616,8.6
-401897,2,22.0,224.2,X--80,6364.0,2400.0,7600,7600,8.9
-401897,3,22.0,170.2,X  60,3580.0,1816.0,8050,8050,9.0
-401898,1,18.0,117.0,Q125-HP,8450.0,2860.0,8110,8110,9.0
-401898,2,17.875,106.3,Q 125 HP,7820.0,2310.0,11861,11861,11.5
-401895,1,13.375,72.0,N-80,5380.0,2670.0,2950,2949,8.8
-401899,1,16.15,119.2,Q-125 XHP,10880.0,6120.0,10500,10500,10.1
-401899,2,16.2,131.7,Q-125 XHP,12000.0,7860.0,17700,17500,13.9
-401899,3,16.25,136.0,Q-125 XHP,12350.0,8410.0,19288,18912,14.1
-401900,1,14.0,116.0,Q125XHP,14230.0,11580.0,20241,19818,13.5
-401900,2,13.375,72.0,Q-125,8410.0,2880.0,20341,19916,13.5
-402161,1,10.75,85.3,C-110,14260.0,14070.0,4831,4831,8.6
-402161,2,10.75,85.3,Q125HP,18010.0,16300.0,10000,10000,9.8
-402161,3,9.875,62.8,Q125 EXTREME PLUS,14950.0,13050.0,20041,19623,13.4
-402161,4,9.875,62.8,Q125 EXTREME PLUS,14950.0,13050.0,24566,24066,14.2
-443484,1,11.75,77.6,L-80IC,7690.0,7200.0,16483,13134,9.4
-443485,1,9.625,53.5,L_80,7930.0,6620.0,18270,13719,9.4
-443486,1,7.625,47.1,N-80/L-80,11480.0,12040.0,19701,14421,6.2
-443487,1,5.5,23.0,13CR-110,14530.0,14540.0,19992,14636,8.6
-454149,1,18.0,117.0,P-110,6680.0,2110.0,13785,13670,11.4
-454150,1,16.0,109.0,Q125-IC,9230.0,4150.0,11545,11545,10.3
-454150,2,16.15,127.5,Q125 ICY WEDGE 623,11620.0,7200.0,16535,15860,12.1
