SN_APD_QA,QA_RESPONSE_CD,QA_RESPONSE_TXT
-916,,
-917,,
-918,Y,GMG290070
-919,Y,
-920,Y,
-921,Y,
-922,,
-923,Y,Conductor waiver requested.  Logs for offset well B2 are on file in the regional office.  
-924,Y,GMG2900073
-925,Y,
-944,Y,625 sxs barite and 200 sxs gel
-945,Y,
-946,,
-947,,
-948,Y,GMG 290213
-949,,
-1002,Y,
-1003,Y,
-1004,,
-1005,,
-1006,Y,
-1007,Y,
-1020,Y,
-1021,Y,
-1022,,
-1023,,
-1024,Y,GMG290070
-1025,Y,
-1026,Y,
-1027,Y,
-1028,,
-1029,,
-1030,Y,EPA Region 6 NPDES General Permit GMG 290000 for the Gulf of Mexico Main Pass Block 41 Outfall No. 253A
-1031,Y,
-1266,,
-1267,Y,Previously approved
-1268,Y,GMG290073
-1269,Y,
-1276,Y,
-1772,Y,GMG290126
-1773,Y,
-1828,Y,
-1829,,
-1830,Y,GMG290070  
-1831,Y,
-1838,Y,A MINIMUM OF 1100 SXS BARITE & 200 SXS GEL WILL BE ON LOCATION AT ALL TIMES.
-1306,Y,
-1307,,
-1308,Y,
-1309,,
-1310,Y,NPDES Permit No. GMG290110; Outfall No.: 574
-1311,,
-1338,Y,504 sxs of barite & 200 sxs gel
-1339,,
-1340,,
-1341,,
-1342,Y,GMG 290213
-1343,,
-1370,Y,
-1371,,
-1372,,
-1373,,
-1374,Y,GMG290073
-1375,Y,
-1504,Y,
-1505,Y,
-1506,,
-1507,,
-1508,Y,Submitted NOI to EPA on 11/11/04.
-1509,,
-1516,Y,
-1517,,
-1518,,
-1519,,
-1520,Y,GMG 290126
-1521,Y,
-1564,Y,
-1565,,
-1566,Y,
-1567,,
-1568,Y,GMG 290103
-1569,,
-1584,Y,504 sxs of barite & 200 sxs gel
-1585,,
-1394,Y,
-1395,,
-1396,,
-1397,,
-1398,Y,GMG 290126
-1399,Y,
-1450,Y,
-1451,Y,
-1452,,
-1453,,
-1454,Y,EPA Region 6 NPDES General Permit GMG 290000 for the Gulf of Mexico Main Pass Block 41 Outfall No. 253A.
-1455,Y,
-1586,,
-1587,,
-1588,Y,GMG 290213
-1589,,
-1480,Y,
-1481,Y,
-1482,Y,
-1483,,
-1484,Y,
-1485,Y,
-1610,Y,
-1611,,
-1612,,
-1613,Y,Conductor Waiver Request APPROVED by Mr. Frank Miller
-1614,Y,GMG 290123
-1615,Y,
-6388,Y,
-6389,Y,
-6390,,
-6391,,
-1456,Y,625 sxs barite and 200 sxs gel
-1457,Y,
-1458,,
-1459,,
-1460,Y,GMG 290213
-1461,,
-1474,Y,
-1475,Y,
-1476,Y,
-1477,,
-1478,Y,GMG290271
-1479,,
-1522,Y,
-1523,,
-1524,,
-1525,,
-1526,Y,"GMG #290073
Outfall #183A"
-1527,,
-1622,Y,
-1623,Y,
-1624,,
-1625,,
-1626,Y,GMG 290132 073A/073T
-1627,Y,
-1628,Y,
-1629,,NAF (Hydrocarbon Based) will be used and cuttings with associated mud will be discharged per the DEPI Individual Permit noted below. Zero discharge will only be implemented in the event the fluids fail the RPE/GCMS or ROC is outside the limitations.
-1630,,
-1631,,
-1632,Y,"GENERAL PERMIT #GMG290014
OUTFALL # 255A/255S"
-1412,Y,SBM = Yes; while drilling the synthetic section will have sufficient barite.  WBM = No; sufficient chemical (calcium cabonete) & brine will be on hand to maintain density since pore pressure will not increase in reservoir section.
-1413,,NAF (Hydrocarbon Based) will be used and cuttings with associated mud will be discharged per the DEPI Individual Permit noted below. Zero discharge will only be implemented in the event the fluids fail the RPE/GCMS or ROC is outside the limitations.  A BMP will be in place
-1414,,
-1415,,
-1416,Y,Permit #GMG290014 - Outfall Nos. 262A & 262S
-1417,,
-1556,Y,
-1557,Y,
-1558,,
-1559,,
-1560,Y,GMG290070
-1561,Y,
-1633,,
-1644,Y,
-1645,,
-1646,,
-1647,,
-1648,Y,GMG290129
-1649,Y,
-1687,,
-1710,Y,SBM = Yes; while drilling the synthetic section will have sufficient barite.  WBM = No; sufficient chemical (calcium cabonete) & brine will be on hand to maintain density since pore pressure will not increase in reservoir section.
-1711,,NAF (Hydrocarbon Based) will be used and cuttings with associated mud will be discharged per the DEPI Individual Permit noted below. Zero discharge will only be implemented in the event the fluids fail the RPE/GCMS or ROC is outside the limitations.  A BMP will be in place
-1712,,
-1713,,
-1714,Y,Permit #GMG290014 - Outfall Nos. 262A & 262S
-1682,Y,
-1683,,
-1684,,
-1685,,
-1686,Y,GMG290210
-1850,Y,Will maintain 1000 sacks of barite and 200 sacks of gel.
-1851,,
-1852,,
-1853,,
-1854,Y,"GMG 290132
073A  073T"
-1855,Y,
-1876,Y,
-1877,,
-1878,,
-1879,,
-1880,Y,"GMG #290235
Outfall #025A"
-1881,Y,
-1888,Y,200 sacks of gel and a 1000 sacks of barite
-1889,,
-1890,,
-1891,,
-1892,Y,GMG290344B & Y
-1893,Y,
-2154,Y,
-2155,Y,
-2156,,
-2157,,
-2158,Y,GMG290070
-2159,,
-2234,Y,
-2235,Y,
-2236,Y,
-2237,,
-2238,Y,EPA's NPDES general permit GMG290000
-2239,Y,
-1835,Y,Conductor waiver requested.  Logs for offset well B2 are on file in the regional office.  
-1836,Y,GMG2900073
-1837,Y,
-1802,Y,
-1820,Y,A MINIMUM OF 1100 SXS BARITE & 200 SXS GEL WILL BE ON LOCATION AT ALL TIMES.  
-1803,,
-1804,,
-1805,,
-1806,Y,EPA REGION 4 PERMIT NO. AL0076902
-1807,,
-1821,Y,
-1822,,
-1823,,
-1824,Y,"GMG 290014
OUTFALL # 171A"
-1825,,
-1832,Y,
-1318,Y,
-1319,Y,
-1320,,
-1321,,
-1322,Y,GMG 290132 073A/073T
-1323,Y,
-1358,Y,
-1359,,
-1360,,
-1361,,
-1362,Y,GMG290132
-1363,Y,
-1364,Y,
-1365,Y,
-1366,,
-1367,,
-1368,Y,
-1369,,
-1757,,
-1758,,
-1759,Y,"Attached are the Request for Waiver on Conductor Letter, Log Sections, Well Proximity Data, Directional Data, Well Layout Data.  Please see attachments."
-1760,Y,290128
-1761,Y,
-1796,Y,
-1756,Y,
-1797,,
-1798,Y,
-1799,,
-1800,Y,GMG290184
-1801,,
-1839,Y,
-1840,,
-1312,Y,
-1313,,
-1314,,
-1315,,
-1316,Y,EPA REGION 4 PERMIT NO. AL0076902
-1317,,
-1376,Y,Will maintain 1000 sacks of barite and 200 sacks of gel.
-1377,,
-1378,,
-1379,,
-1380,Y,"GMG 290132
073A  073T"
-1381,Y,
-1651,Y,
-1652,Y,
-1653,,
-1654,Y,BP's NPDES Permit - GMG290110
-1655,Y,
-1676,Y,
-1444,Y,
-1445,Y,
-1446,Y,
-1447,,
-1448,Y,GMG290132
-1449,,
-1544,Y,
-1545,,
-1546,,
-1547,,
-1548,Y,GMG290132
-1549,Y,
-1650,Y,
-1677,Y,
-1678,,
-1679,,
-1680,Y,GMG290073
-1681,Y,
-1826,Y,
-1827,Y,
-1297,,
-1298,Y,
-1299,,
-1382,Y,
-1383,,
-1384,,
-1385,,
-1386,Y,GMG290129
-1387,,
-1694,Y,
-1695,,
-1696,,
-1697,,
-1698,Y,"GMG290073
Outfall # 250A"
-1699,Y,
-1750,Y,
-1751,Y,
-1752,Y,
-1753,,
-1754,Y,EPA's NPDES general permit GMG290000
-1755,Y,
-1768,Y,
-1769,,
-1770,,
-1771,,
-3755,,
-3756,,
-3757,,
-3758,Y,EPA's NPDES general permit GMG290000
-3759,Y,
-3772,Y,
-3754,Y,1000 sacks of barite and 200 sacks of gel
-1856,Y,
-1857,,
-1858,,
-1859,,
-1860,Y,EPA REGION 4 PERMIT NO. AL0076619
-1861,,
-1910,Y,516 sxs barite & 200 sxs gel
-1911,,
-1912,,
-1913,,
-1914,Y,GMG 290213
-1915,,
-2066,Y,A MINIMUM OF 1100 SXS BARITE & 200 SXS GEL WILL BE ON LOCATION AT ALL TIMES.  
-2067,Y,
-2068,,
-2069,,
-2070,Y,"GMG 290014
OUTFALL # 171A"
-1996,Y,
-1954,Y,
-1955,Y,
-1956,,
-1957,,
-1958,Y,GMG290073
-1959,Y,
-2071,,
-1997,,
-1998,,
-1999,,
-2000,Y,GMG290132
-2001,,
-2134,Y,680 sxs barite & 200 sxs gel
-2135,,
-2136,,
-2137,,
-2138,Y,GMG 290213
-2139,,
-1841,,
-1842,Y,EPA COVERAGE TRANSFERRED FROM MARATHON 05/18/04
-1843,,
-1916,Y,Will maintain 1000 sacks of barite and 200 sacks of gel.
-1917,Y,
-1918,,
-1919,,
-1920,Y,GMG 290480B and 480Y
-1921,,
-2014,Y,
-2015,,
-2016,,
-2017,,
-2018,Y,"GMG #290235
Outfall #025A"
-2019,Y,
-2020,Y,A MINIMUM OF 1100 SXS BARITE & 200 SXS GEL WILL BE ON LOCATION AT ALL TIMES.  
-2021,Y,
-2022,,
-2023,,
-2024,Y,"GMG 290014
OUTFALL # 171A"
-2025,,
-2094,Y,
-2095,,
-2096,,
-2097,,
-2098,Y,EPA's NPDES general permit GMG290000
-2099,Y,
-2100,Y,1000 sacks of barite and 200 sacks of gel
-2101,,
-2110,Y,Permit #GMG290014 - Outfall Nos. 262A & 262S
-2111,,
-2115,,
-2116,,
-2117,Y,
-2118,Y,GMG 290132
-2119,Y,
-2174,Y,1000 sacks of barite and 200 sacks of gel
-2114,Y,Will maintain 1000 sacks of barite and 200 sacks of gel.
-2175,,
-2176,,
-2177,,
-2178,Y,EPA's NPDES general permit GMG290000
-2179,Y,
-2819,Y,
-2820,,
-2821,,
-2822,Y,"NPDES # GMG 290091
OUTFALL # 267-A"
-2823,,
-2798,Y,
-2799,Y,
-2800,Y,
-2801,,
-2802,Y,GMG290132
-2346,Y,
-2803,,
-2818,Y,
-2424,Y,
-2425,Y,
-2426,,
-2427,,
-2428,Y,GMG290132 073A/073T
-2429,Y,
-2466,Y,1000 sx Barite / 200 sx gel
-2467,,
-2468,,
-2469,,
-2470,Y,GMG190110
-2471,,
-2472,Y,
-2473,Y,
-2474,,
-2475,,
-2476,Y,GMG290292
-2477,,
-2586,Y,1000 sacks of barite and 200 sacks of gel
-2587,,
-2588,,
-2589,,
-2590,Y,EPA's NPDES general permit GMG290000
-2591,Y,
-2598,Y,
-2599,,
-2600,,
-2601,,
-2602,Y,GMG #290096
-2603,,
-2686,,
-2687,,
-2688,Y,GMG290000
-2689,N,"This is a single development well location in open water, which will be drilled, completed and single self-supporting well protector installed."
-2750,Y,785 sxs barite & 200 sxs gel
-2684,Y,
-2685,,
-2751,Y,
-2752,,
-2753,,
-2754,Y,GMG 290213
-2755,Y,
-2812,Y,
-2506,Y,1000 sacks of barite and 200 sacks of gel
-2507,Y,
-2508,,
-2509,,
-2102,,
-2103,,
-1844,Y,
-1845,Y,
-1846,,
-1847,,
-1848,Y,GMG 290132 073A/073T
-1849,Y,
-2041,Y,
-2042,Y,
-2043,,
-2044,Y,GMG290132
-2045,,
-2060,Y,
-1882,Y,
-1883,Y,
-1884,,
-1885,,
-1886,Y,GMG 290251
-1887,Y,
-2008,Y,
-2009,N,
-2010,Y,
-2011,,
-2012,Y,
-2013,,
-2040,Y,
-2061,Y,
-2062,,
-2063,,
-2064,Y,Submitted NOI to EPA on 11/11/04.
-2065,,
-2104,Y,EPA's NPDES general permit GMG290000
-2105,Y,
-2180,Y,
-2181,Y,
-1966,Y,
-1967,,
-1968,,
-1969,Y,Conductor Waiver Request APPROVED by Mr. Frank Miller
-1970,Y,GMG 290123
-1971,Y,
-2195,,
-2196,,
-2197,,
-2198,Y,"GMG 290132
073A  073T"
-2199,Y,
-2182,Y,
-2034,Y,
-2035,Y,
-2036,,
-2037,,
-2038,Y,GMG290073
-2039,Y,
-2200,Y,
-2183,,
-2184,Y,BP's NPDES Permit - GMG290110
-2185,Y,
-2194,Y,Will maintain 1000 sacks of barite and 200 sacks of gel.
-2201,Y,
-2202,,
-2203,,
-2204,Y,GMG290070  
-2205,Y,
-2254,Y,
-2255,,Using SBM
-2256,,Sidetrack from intermediate casing
-2257,,
-2258,Y,GMG 290128
-2259,Y,Platform does not produce
-2302,Y,
-2303,Y,
-2304,,
-2305,,
-2314,Y,
-2306,Y,GMG 290132 073A/073T
-2307,Y,
-2347,,
-2315,,
-2316,,
-2317,,
-2318,Y,GMG290000
-2319,,
-2348,,
-2349,,
-2350,Y,GMG290000
-2351,,
-2352,Y,
-2353,,
-2354,,
-2106,Y,SBM = Yes; while drilling the synthetic section will have sufficient barite.  WBM = No; sufficient chemical (calcium cabonete) & brine will be on hand to maintain density since pore pressure will not increase in reservoir section.
-2107,,NAF (Hydrocarbon Based) will be used and cuttings with associated mud will be discharged per the DEPI Individual Permit noted below. Zero discharge will only be implemented in the event the fluids fail the RPE/GCMS or ROC is outside the limitations.  A BMP will be in place
-2108,,
-2109,,
-2651,,
-2732,Y,1000 sxs baraite and 200 sxs bentonite
-2733,Y,All discharges will be in accordance with the EPA's NPDES general permit.
-2734,,
-2735,,
-2736,Y,GMG290124-126A/126T
-2737,,
-2738,Y,
-2739,Y,
-2740,,
-2741,,
-2742,Y,EPA Region 6 NPDES General Permit GMG 290000 for Gulf of Mexico South Timbalier 23 Outfall No. 421A
-2743,Y,
-62122,Y,
-62123,,
-62124,,
-62092,Y,GMG 290185
-2780,Y,
-2781,,
-2400,Y,
-2401,,
-2402,,
-2403,,
-2404,Y,GMG290210
-2405,,
-2412,Y,Will maintain 1000 sacks of barite and 200 sacks of gel.
-2413,Y,
-2414,,
-2415,,
-2416,Y,GMG 290480B and 480Y
-2417,,
-2430,Y,563 sxs barite & 200 sxs gel
-2431,,
-2432,,
-2433,,
-2434,Y,GMG 290213
-2435,,
-2448,Y,
-2449,,
-2450,,
-2451,,
-2452,Y,GMG 290126
-2453,Y,
-7415,,
-7416,,
-7417,,
-7418,Y,EPA's NPDES general permit GMG290000
-7419,Y,
-7422,Y,
-7423,,
-7414,Y,
-2442,Y,625 sxs barite and 200 sxs gel
-2443,Y,
-2444,,
-2445,,
-2446,Y,GMG 290213
-2447,,
-2418,Y,Will maintain 1000 sacks of barite and 200 sacks of gel.
-2419,,
-2420,,
-2421,Y,
-2422,Y,GMG 290132
-2423,Y,
-2652,Y,1000 sacks of barite and 200 sacks of gel will be maintained.
-2653,Y,
-2654,,
-2622,Y,
-2623,,
-2478,Y,
-2624,,
-2479,Y,
-2480,,
-2481,,
-2482,Y,
-2483,Y,
-2526,Y,
-2527,Y,
-2528,,
-2529,,
-2530,Y,BP's NPDES Permit - GMG290110
-2531,Y,
-2655,,
-2625,,
-2626,Y,GMG290129
-2627,,
-2656,Y,NPDES permit 290050 outfall number 122P
-2657,,
-2672,Y,
-2673,,
-2406,Y,
-2407,,
-2408,,
-2409,,
-2410,Y,"GMG28A676
"
-2411,,
-2512,Y,785 sxs barite & 200 sxs gel
-2513,Y,
-2514,,
-2515,,
-2516,Y,GMG 290213
-2517,Y,
-2604,Y,
-2605,,
-2606,,
-2607,,
-2608,Y,GMG 290132 073A/073T
-2609,Y,
-2674,,
-2675,,
-2676,Y,GMG290132
-2677,Y,
-2690,Y,
-2691,Y,
-2692,Y,
-2693,,
-2694,Y,
-2695,Y,
-2782,,
-2783,Y,
-2784,Y,GMG 290132 329A/329T
-2785,Y,
-2912,Y,
-2913,Y,
-2914,,
-2915,,
-2916,Y,GMG 28A579
-2917,Y,
-2942,Y,
-2943,Y,
-2944,,
-2945,,
-2946,Y,GM290000
-2947,Y,
-2984,Y,
-2985,Y,
-2986,Y,
-2987,,
-2988,Y,
-2989,Y,
-2996,Y,1000 sacks of barite and 200 sacks of gel
-2997,,
-2998,,
-2999,,
-3000,Y,EPA's NPDES general permit GMG290000
-3001,Y,
-3046,Y,
-3047,Y,
-3048,Y,
-3049,,
-3050,Y,Outfall number applied for.
-3051,,
-3401,,
-3402,,
-3403,,
-3404,Y,GMG290070
-3405,Y,
-3400,Y,
-3216,,
-3406,Y,
-3154,Y,
-3155,Y,
-3156,Y,
-3157,,
-3158,Y,EPA's NPDES general permit GMG290000
-3159,Y,
-3332,Y,
-3333,,
-3334,Y,
-3335,,
-3336,Y,NPDES OUTFALL NO. 409
-3493,Y,
-3232,Y,Will maintain 1000 sacks of barite and 200 sacks of gel.
-3233,,
-3234,,
-3235,,
-3236,Y,"GMG 290132
073A  073T"
-3237,Y,
-3337,,
-3494,,
-3495,,
-3496,Y,Permit #290050 outfall #175
-2510,Y,NPDES permit 290050 outfall #044A
-2511,,
-2813,Y,
-2814,,
-2815,,
-2816,Y,
-2817,Y,
-2792,Y,"1000 sacks of Barite, 200 sacks of gel will be maintained on board while drilling."
-2793,Y,
-2794,,
-2795,,
-2796,Y,outfall 245A on NPDES permit 290050
-2797,,
-2824,Y,1000 sxs barite and 200 sxs bentonite
-2825,Y,All doscharges will be in accordance with the EPA's NPDES general permit.
-2826,,
-2827,,
-2828,Y,GMG290124-126A/126T
-2829,,
-2830,Y,476 sxs Barite & 200 sxs gel
-2831,,
-2832,,
-2833,,
-2834,Y,GMG 290213
-2835,,
-2852,Y,
-2853,Y,
-2854,,
-2566,Y,
-2567,Y,
-2568,,
-2569,,
-2570,Y,GMG 290070
-2571,Y,
-2883,Y,
-2884,,
-2885,,
-2886,Y,
-2887,Y,
-2876,Y,"Unocal will maintain at least 1,000 sacks of barite and 200 sacks of gel on the rig at all times.  This will be sufficient to weight up the entire system 1/2 ppg (actual volume needed is less than 900 sacks)."
-2855,,
-2856,Y,
-2857,,
-2864,Y,868 sxs Barite & 200 sxs gel
-2865,Y,
-2866,,
-2867,,
-2868,Y,GMG 290213
-2869,Y,
-2877,Y,"Plan is to inject cuttings down 16"" x 11-3/4"" annulus.  Will have cuttings boxes on location to catch and haul off cuttings if needed."
-2878,,
-2879,,
-2880,Y,GMG290128
-2881,,
-2882,Y,
-2894,Y,
-2895,,
-2896,,
-2897,Y,Conductor Waiver Request APPROVED by Mr. Frank Miller
-2898,Y,GMG 290123
-2899,Y,
-2355,,
-2356,Y,GMG290129
-2357,Y,
-2374,Y,
-2375,,
-2376,,
-2377,,
-2378,Y,GMG290129
-2379,Y,
-2546,Y,
-2547,Y,Brandt cuttings dryers will be used. Pro-Line bags and cuttings boxes for back-up.
-2548,,
-2549,,
-2550,Y,GMG290128
-2551,,
-2552,Y,1000 sacks of barite and 200 sacks of gel.  
-2553,,
-2554,,
-2555,,
-2556,Y,EPA's NPDES general permit GMG290000
-2557,Y,
-2558,Y,
-2559,Y,
-2560,,
-2561,,
-2562,Y,
-2563,,
-2712,Y,
-2713,,
-2714,,
-2715,,
-2716,Y,GMG290110-472           
-2717,,
-62093,,
-62125,,
-62126,Y,GMG 290077
-62127,Y,
-2646,Y,
-2647,Y,
-2648,,
-2649,,
-2650,Y,GMG 290070
-3497,Y,
-3344,Y,"Minimum Quantities:  200 sxs Gel, 1000 sxs Barite"
-3910,Y,
-3345,,
-3346,,
-3347,,
-3348,Y,GMG 290111
-3349,Y,
-3911,Y,
-3912,,
-3913,,
-3914,Y,EPA general permit no. GMG290000
-3915,,
-3407,,
-3492,Y,Will maintain 1000 sacks barite and 200 sacks gel.
-2960,Y,476 sxs Barite & 200 sxs gel
-2961,,
-2962,,
-2963,,
-2964,Y,GMG 290213
-2965,,
-3167,,Compliant SBM
-3168,,
-3169,,
-3170,Y,290128
-3171,Y,"As per SIMOPS plan, wells will be shut-in for heavy lifts over well bay and skidding operations"
-3194,Y,
-3022,Y,1000 sacks of barite and 200 sacks of gel
-3023,,
-3024,,
-3025,,
-3026,Y,EPA's NPDES general permit GMG290000
-3027,Y,
-3379,,
-3414,,
-3415,,
-3416,Y,GMG290126
-3417,Y,
-2918,Y,Minmum 1000 sxs barite and 200 sxs gel on location.
-2919,,
-2920,,
-2921,,
-2922,Y,GMG290132
-2923,Y,
-2936,Y,
-2937,,
-2938,,
-2939,,
-2940,Y,GMG 290126
-2941,Y,
-3008,Y,
-3009,Y,
-3010,Y,
-3011,,
-3012,Y,GMG290132
-3013,,
-3059,,
-3060,,
-3061,,
-3062,Y,gmg290129
-3063,,
-3090,,
-3058,Y,
-3091,,
-3092,Y,GMG290015-061A/061T
-3093,Y,
-3214,Y,733 sxs Barite & 200 sxs gel
-3215,,
-3088,Y,1000 sxs barite and 200 sxs bentonite
-3089,,
-3470,Y,
-3447,Y,
-3448,,
-3449,,
-3450,Y,GMG290132 073A/073T
-3451,Y,
-3458,Y,
-3459,,
-3460,,
-3461,,
-3462,Y,GMG290126
-3463,Y,
-4441,,
-3752,Y,"GMG28A676
"
-3753,,
-3748,Y,
-3686,Y,
-3687,Y,
-3688,Y,
-3689,,
-3690,Y,GMG290006
-3691,,
-3712,Y,
-3713,Y,
-3714,,
-3715,,
-3716,Y,GMG290132 073A/073T
-3717,Y,
-3766,Y,
-3767,Y,
-3768,Y,
-3769,,
-3770,Y,GMG290295
-3771,,
-3786,Y,
-3787,,
-3788,,
-3789,,
-3790,Y,GMG290057
-3471,,
-3472,,
-3473,,
-3474,Y,"GMG #290073
Outfall #191A"
-3475,Y,
-3546,Y,968 sxs of barite & 200 sxs gel
-3547,Y,
-3548,,
-3549,,
-3550,Y,GMG 290213
-3551,,
-3552,Y,
-3553,Y,
-3554,,
-3555,,
-3556,Y,GMG290292
-3557,,
-3566,Y,
-3567,Y,
-3568,,
-3569,,
-3570,Y,GMG290070
-3571,Y,
-3635,,
-3636,Y,29147
-3637,,
-11464,Y,945 sxs of barite and 200 sxs of gel will be onboard the rig during all drilling operations.
-11465,,
-3632,Y,
-3633,Y,
-3634,,
-4438,Y,
-4439,,
-4440,,
-3749,,
-3750,,
-3751,,
-3446,Y,
-3166,Y,
-3195,Y,
-3196,,
-3197,,
-3198,Y,GMG290070
-3199,Y,
-3217,,
-3052,Y,
-3083,,
-3084,,
-3085,,
-3086,Y,GMG290129
-3087,Y,
-3254,Y,
-3053,,
-3054,,
-3055,,
-3056,Y,290128
-3057,Y,
-3082,Y,
-3255,Y,
-3256,,
-3257,,
-3258,Y,"GMG 290061  
Outfall 055"
-3259,,
-3218,Y,GMG 290213
-3219,Y,
-3320,Y,
-3321,,
-3322,,
-3323,,
-3324,Y,"General Permit No. GMG290123
NOI filed with EPA for this block on 12/10/2004"
-3325,,
-3368,Y,
-3369,Y,
-3370,,
-3371,,
-3372,Y,GMG290201
-3373,,
-3394,Y,
-3395,Y,
-3396,,
-3397,,
-3398,Y,GMG 290070
-3399,Y,
-2900,Y,
-2901,,
-2902,,
-2903,,
-2904,Y,GMG290073
-2905,Y,
-3002,Y,
-3003,,
-3004,,
-3005,,
-3006,Y,GMG290000
-3007,,
-2948,Y,
-2949,,
-2950,,
-2951,,
-2952,Y,GMG290251 - 008A/008S
-2953,,
-3070,Y,563 sxs barite & 200 sxs gel
-3071,,
-3072,,
-3073,,
-3074,Y,GMG 290213
-3075,,
-3114,Y,
-3115,,
-3116,,
-3117,,
-3118,Y,"Per current regulations, APD must be approved prior to issuance."
-3119,Y,
-3274,Y,
-3275,Y,
-3276,,
-3277,,
-3278,Y,"EPA Region 6 NPDES General Permit GMG 290000 for the Gulf of Mexico Main Pass Block 40 Field, Outfall No. 252A"
-3279,Y,
-3314,Y,
-3315,,
-3316,Y,
-3317,,
-3318,Y,GMG 290103
-3319,,
-3408,,
-3178,Y,434 sxs Barite & 200 sxs gel
-3179,,
-3180,,
-3181,,
-3182,Y,GMG 290213
-3183,,
-3220,Y,1000 sacks of barite and 200 sacks of gel
-3221,,
-3222,,
-3223,,
-3224,Y,EPA's NPDES general permit GMG290000
-3225,Y,
-3409,,
-3410,Y,"GMG #290073
Outfall #269A"
-3411,Y,
-3412,Y,
-3413,,
-3374,Y,269 sxs Barite & 200 sxs gel.
-3375,,
-3376,,
-3377,,
-3378,Y,GMG 290213
-4072,Y,Minmum 1000 sxs barite and 200 sxs gel on location.
-4073,,
-4074,,
-4026,Y,
-4027,Y,
-4028,,
-4029,,
-4030,Y,GMG290132 073A/073T
-4031,Y,
-4075,,
