SN_EOR,BOTM_LONGITUDE,BOTM_LATITUDE,BH_TOTAL_MD,WELL_BORE_TVD,WELL_BP_ST_KICKOFF_MD
-142177,-93.16294133,29.42888719,11667,10203,
-172874,-93.16294133,29.42888719,11667,10203,
-171170,-93.16294133,29.42888719,11667,10203,
-74841,-89.58053926,29.14027197,10355,10227,
-70665,-89.58053926,29.14027197,10355,10227,
-111272,-89.58053926,29.14027197,10355,10227,
-107400,-89.58053926,29.14027197,10355,10227,
-159896,-89.58053926,29.14027197,10355,10227,6548.0
-1750,-93.78920309,29.50187934,15250,14557,
-5901,-93.78920309,29.50187934,15250,14557,
-27062,-93.78920309,29.50187934,15250,14557,
-178489,-93.78920309,29.50187934,15250,14622,14001.0
-195556,-90.73329209,27.87154873,15509,13288,8694.0
-57220,-92.07343217,28.61361081,6852,6101,
-132117,-92.07343217,28.61361081,6852,6101,
-172888,-92.07343217,28.61361081,6852,6101,
-104452,-92.340663,29.12894276,13495,12085,
-105962,-92.340663,29.12894276,13495,12085,
-118774,-92.80495898,29.47522183,10176,8907,
-136251,-92.80495898,29.47522183,10176,8907,
-61152,-93.55739608,28.2224413,11759,8500,
-110445,-93.55739608,28.2224413,11759,8500,
-168819,-93.55739608,28.2224413,11759,8500,9736.0
-117399,-92.14973388,28.60662614,8000,6644,
-115149,-92.14973388,28.60662614,8000,6644,
-120685,-91.06029291,28.50316638,9108,7691,
-132826,-92.49626255,29.43976426,10872,10872,
-149601,-92.49626255,29.43976426,10872,10872,
-20424,-90.02474261,28.96882649,10774,10550,
-4482,-93.01954144,28.81177074,15200,13911,
-12805,-93.01954144,28.81177074,15200,13911,
-54068,-93.01954144,28.81177074,15200,13911,
-101960,-93.01954144,28.81177074,15200,13911,
-117529,-91.19648096,28.25745518,15500,11474,
-120917,-91.19648096,28.25745518,15500,11474,
-123820,-91.19648096,28.25745518,15500,11474,
-143865,-91.19648096,28.25745518,15500,11474,
-165588,-91.19648096,28.25745518,15500,11474,
-141546,-90.42450861,28.83994073,7521,4904,
-140754,-90.42450861,28.83994073,7521,4904,
-118822,-93.15628921,28.13747971,9502,9157,
-117746,-93.15628921,28.13747971,9502,9157,
-45788,-89.67149482,29.14912905,9169,9005,
-169090,-89.67149482,29.14912905,9169,9005,
-111178,-91.93742091,28.84666956,14528,13649,
-112417,-91.93742091,28.84666956,14528,13649,
-129446,-91.28846469,28.57630435,10956,9500,
-125145,-91.28846469,28.57630435,10956,9500,
-196844,-91.28846469,28.57630435,10956,9499,940.0
-79404,-90.07009884,28.30919566,21600,21600,
-50435,-90.07009884,28.30919566,21600,21600,
-30533,-90.35126749,28.93278146,13800,13444,
-69845,-90.35126749,28.93278146,13800,13444,
-110516,-90.35126749,28.93278146,13800,13444,
-110081,-90.35126749,28.93278146,13800,13444,
-199823,-88.64580358,29.40933152,7900,6572,
-101296,-93.32500865,28.25318145,7885,7226,
-197012,-92.6656885,28.06726827,9937,9541,
-199832,-92.6656885,28.06726827,9937,9541,
-143767,-88.99719661,29.37603921,7610,7309,
-112026,-92.26502518,28.04948462,7735,5721,
-200518,-92.26502518,28.04948462,7735,5721,3891.0
-26444,-89.81868513,29.10347414,10845,10602,
-119578,-89.81868513,29.10347414,10845,10602,
-113922,-89.81868513,29.10347414,10845,10602,
-138616,-88.87139161,29.61390753,8100,8100,
-129135,-88.87139161,29.61390753,8100,8100,
-72796,-90.03186915,29.1012979,11220,9767,
-139281,-90.03186915,29.1012979,11220,9767,
-77758,-89.94021977,28.64941583,17199,11566,400.0
-161529,-90.45984466,28.43658574,14000,13159,
-162437,-90.45984466,28.43658574,14000,13159,
-163674,-90.45984466,28.43658574,14000,13159,
-61014,-91.24062328,28.74752923,10920,9250,
-15295,-88.5941092,28.97455898,16370,11113,
-128981,-88.5941092,28.97455898,16370,11113,13236.0
-197276,-94.12494434,27.99207256,13300,8609,10500.0
-114343,-89.31740278,28.62000228,13630,13408,
-108485,-93.2788909,29.50844417,10973,10897,
-106347,-93.2788909,29.50844417,10973,10897,
-117089,-93.2788909,29.50844417,10973,10897,
-198765,-93.2788909,29.50844417,10973,10897,
-200744,-93.2788909,29.50844417,10973,10897,2842.0
-2726,-89.02761338,29.41754494,9834,9046,
-161827,-89.02761338,29.41754494,9834,9046,5520.0
-163728,-89.02761338,29.41754494,9834,9046,5520.0
-193393,-89.02761338,29.41754494,9834,9046,5520.0
-83111,-94.45598642,27.38496941,15973,12538,
-109880,-94.45598642,27.38496941,15973,12585,
-130056,-94.45598642,27.38496941,15973,12585,
-132803,-94.45598642,27.38496941,15973,12585,
-130546,-94.45598642,27.38496941,15973,12585,
-157923,-94.45598642,27.38496941,15973,12585,
-147339,-94.45598642,27.38496941,15973,12585,
-172149,-94.45598642,27.38496941,15973,12585,8752.0
-178192,-94.45598642,27.38496941,15973,12585,8752.0
-202022,-94.45598642,27.38496941,15973,12585,8752.0
-202267,-94.45598642,27.38496941,15973,12585,8752.0
-117146,-89.40187309,28.84319086,8518,6951,
-123276,-89.40187309,28.84319086,8518,6951,
-47447,-91.23421296,28.73356146,6680,5004,
-96732,-91.23421296,28.73356146,6680,5004,
-197703,-91.23421296,28.73356146,6680,5004,3556.0
-4639,-91.52312404,28.56843916,10480,10333,
-121162,-91.52312404,28.56843916,10480,10333,
-168340,-91.52312404,28.56843916,10480,10333,
-164909,-91.88676292,28.29135959,8050,7597,
-203321,-91.88676292,28.29135959,8050,7598,
-160759,-93.46637099,28.48816539,8846,7527,
-164246,-93.46637099,28.48816539,8846,7527,
-153634,-88.65727373,28.9550465,15437,6463,
-161143,-88.65727373,28.9550465,15437,6463,
-154735,-91.91639403,28.04823995,4656,4656,
-61557,-91.69557205,28.35523997,10187,7418,
-110292,-91.69557205,28.35523997,10187,7418,
-115936,-91.69557205,28.35523997,10187,7418,
-128432,-91.28655855,28.41779026,12444,9900,7390.0
-200092,-91.28655855,28.41779026,12444,9900,7390.0
-202634,-91.28655855,28.41779026,12444,9900,7390.0
-75404,-89.68023237,28.95176837,10110,8138,
-88032,-89.68023237,28.95176837,10110,8138,
-78945,-89.68023237,28.95176837,10110,8138,
-113306,-94.07731649,28.14048622,7888,3600,
-118810,-94.07731649,28.14048622,7888,3600,
-111235,-93.28829663,28.00186105,9336,8886,7154.0
-102197,-89.82501843,28.83220578,13354,11800,
-123069,-89.82501843,28.83220578,13354,11800,
-115651,-92.00815418,28.29672905,5410,4436,
-174467,-92.00815418,28.29672905,5410,4436,2531.0
-163908,-92.00815418,28.29672905,5410,4436,2531.0
-196688,-92.00815418,28.29672905,5410,4436,2531.0
-183633,-92.00815418,28.29672905,5410,4436,2531.0
-109951,-91.51907053,28.68183918,14268,11910,
-118659,-91.51907053,28.68183918,14268,11910,
-169248,-91.51907053,28.68183918,14268,11909,4709.0
-173498,-91.51907053,28.68183918,14268,11909,4709.0
-178889,-91.51907053,28.68183918,14268,11909,4709.0
-199002,-91.51907053,28.68183918,14268,11909,4709.0
-202349,-91.51907053,28.68183918,14268,11909,4709.0
-174410,-91.91682641,29.11565188,14904,12100,
-172880,-91.91682641,29.11565188,14904,12100,
-163364,-91.91682641,29.11565188,14904,12100,
-177127,-91.91682641,29.11565188,14904,12100,
-110877,-91.73283546,27.95084482,10160,8056,
-107025,-91.73283546,27.95084482,10160,8056,
-111645,-91.73283546,27.95084482,10160,8056,
-129396,-91.73283546,27.95084482,10160,8056,
-179634,-91.02842835,27.94809031,10854,9775,7308.0
-184094,-91.02842835,27.94809031,10854,9775,7308.0
-131477,-90.41751407,28.81304758,17811,15959,
-54428,-93.01826112,29.38785967,11246,10892,
-40624,-90.15477103,29.00614427,11300,10623,
-181269,-88.97679466,29.05727224,8495,6982,1660.0
-201118,-88.97679466,29.05727224,8495,6982,1660.0
-160555,-93.41582285,28.92086059,9458,7500,
-156467,-93.41582285,28.92086059,9458,7500,
-164894,-93.41582285,28.92086059,9458,7500,
-60892,-94.08893739,28.12437895,13164,8093,
-69430,-94.08893739,28.12437895,13164,8093,
-111486,-94.08893739,28.12437895,13164,8093,
-62905,-93.52405578,28.00188124,4720,4300,
-63266,-93.52405578,28.00188124,4720,4300,
-111372,-93.52405578,28.00188124,4720,4300,
-111609,-93.52405578,28.00188124,4720,4300,
-3030,-91.45971101,28.62233731,9604,8579,
-18479,-91.45971101,28.62233731,9604,8579,
-77278,-91.45971101,28.62233731,9604,8579,
-179909,-91.45971101,28.62233731,9604,8579,
-28807,-94.51195425,27.98200948,8547,8094,
-116824,-94.51195425,27.98200948,8547,8094,
-123789,-94.51195425,27.98200948,8547,8094,
-147238,-94.88635712,27.85045979,7742,6480,
-167791,-94.88635712,27.85045979,7742,6481,6398.0
-116825,-94.5175274,27.98111144,7942,6600,
-127509,-94.5175274,27.98111144,7942,6600,
-89616,-93.61785574,29.30586932,13978,13978,
-119875,-93.61785574,29.30586932,13978,13978,
-135753,-93.61785574,29.30586932,13978,13978,
-22150,-89.62129214,28.25092223,13146,13140,
-116932,-89.62129214,28.25092223,13146,13140,
-161243,-89.62129214,28.25092223,13146,13140,
-156264,-92.35410807,28.24693686,5975,5454,
-113635,-91.69179712,28.7600289,12308,12052,
-168432,-91.69179712,28.7600289,12308,12052,
-144547,-91.6838865,28.75182779,13668,12451,
-68683,-94.46367298,27.3543508,15516,13870,
-96049,-94.46367298,27.3543508,15516,13870,
-84004,-94.46367298,27.3543508,15516,13870,
-156324,-94.46367298,27.3543508,15516,13870,
-174387,-94.46367298,27.3543508,15516,13870,8990.0
-172152,-94.46367298,27.3543508,15516,13870,8990.0
-176833,-94.46367298,27.3543508,15516,13870,8990.0
-18579,-95.71857164,28.1325316,13187,12800,
-77741,-95.71857164,28.1325316,13187,12800,
-155765,-95.71857164,28.1325316,13187,12765,
-66274,-93.98290536,27.95078098,13834,12833,
-48247,-93.98290536,27.95078098,13834,12833,
-97414,-93.98290536,27.95078098,13834,12835,
-153776,-90.85804544,28.5455102,14446,14076,
-162850,-90.85804544,28.5455102,14446,14076,
-105613,-88.6195301,29.65447563,10500,10494,
-101930,-88.6195301,29.65447563,10500,10494,
-166063,-92.8583321,29.19173591,10539,8587,
-89541,-92.61771241,28.79203749,9436,8625,
-48467,-92.61771241,28.79203749,9436,8625,
-141178,-91.27828517,28.42758885,7086,5050,
-197451,-91.27828517,28.42758885,7086,5050,
-197156,-91.27828517,28.42758885,7086,5050,
-153443,-92.53887022,28.0928569,5432,4376,
-106284,-94.38050743,27.90976378,15147,12541,
-112395,-94.38050743,27.90976378,15147,12541,
-73220,-93.44416086,28.05604707,13632,12570,
-2607,-91.46682804,28.6124592,12035,11488,
-77659,-91.46682804,28.6124592,12035,11488,
-46207,-91.46682804,28.6124592,12035,11488,
-41238,-91.46682804,28.6124592,12035,11488,
-61140,-89.03307643,28.91615197,10224,7630,
-117442,-89.03307643,28.91615197,10224,7630,
-128722,-89.03307643,28.91615197,10224,7630,
-125725,-90.90261403,28.51713025,12145,11934,
-134849,-90.90261403,28.51713025,12145,11344,
-137264,-90.90261403,28.51713025,12145,11344,
-126402,-90.90261403,28.51713025,12145,11934,
-156687,-90.90261403,28.51713025,12145,11344,
-197247,-91.22139707,28.74753207,11080,9739,3589.0
-61013,-91.25308712,28.73674704,9555,9422,
-1726,-92.01093179,28.29588334,5642,5358,
-117771,-92.01093179,28.29588334,5642,5351,
-175912,-92.01093179,28.29588334,5642,5351,
-183854,-92.01093179,28.29588334,5642,5351,
-171967,-89.95364488,28.99792504,13125,12295,4451.0
-195816,-89.95364488,28.99792504,13125,12295,4451.0
-173189,-92.91498785,28.48019213,10072,9351,0.0
-1440,-90.03118935,29.12880317,14920,11862,11863.0
-106754,-91.91937602,28.25407448,10396,6377,9000.0
-146615,-91.91937602,28.25407448,10396,6377,9000.0
-148748,-91.91937602,28.25407448,10396,6377,9000.0
-80924,-89.92093861,28.23802479,13657,12830,9390.0
-103708,-92.64139116,29.37369509,12299,11002,10670.0
-118887,-92.64139116,29.37369509,12299,11002,10670.0
-194,-87.76513696,27.54415605,27775,27721,20373.0
-144449,-87.76513696,27.54415605,27775,27721,20373.0
-126100,-93.47299663,28.01079923,10137,7983,3280.0
-144920,-93.47299663,28.01079923,10137,7983,3280.0
-950,-88.20243463,29.27389361,5929,5892,
-161,-88.20243463,29.27389361,5929,5892,
-13984,-88.20243463,29.27389361,5929,5892,
-5888,-96.0826925,27.83229869,8250,7624,
-52778,-96.0826925,27.83229869,8250,7624,
-64328,-96.0826925,27.83229869,8250,7624,
-79209,-96.0826925,27.83229869,8250,7624,
-94057,-96.0826925,27.83229869,8250,7624,
-113103,-96.0826925,27.83229869,8250,7624,
-120264,-96.0826925,27.83229869,8250,7624,
-117391,-96.0826925,27.83229869,8250,7624,
-38400,-90.17775085,28.93412828,18014,17300,
-112632,-90.17775085,28.93412828,18014,17300,
-115981,-93.29147784,28.16561115,8383,7884,
-121306,-93.29147784,28.16561115,8383,7884,
-112580,-93.29147784,28.16561115,8383,7884,
-288,-90.16714656,29.0254712,8132,8065,5061.0
-139216,-90.16714656,29.0254712,8179,8065,5069.0
-1095,-88.48589382,28.18763221,9342,9341,
-168589,-88.48589382,28.18763221,23694,22694,
-176349,-88.48589382,28.18763221,23694,22694,
-196798,-88.48589382,28.18763221,23694,22694,
-1015,-88.50422219,28.17994775,9337,9333,
-145538,-88.50422219,28.17994775,23000,21774,
-162600,-88.50422219,28.17994775,23000,21774,
-164322,-88.50422219,28.17994775,23000,21774,
-160430,-90.7404117,28.17590385,3352,2715,
-158259,-90.7404117,28.17590385,3352,2711,
-72635,-91.6733016,29.25108501,14883,14772,12570.0
-111054,-91.6733016,29.25108501,14883,14772,12570.0
-91057,-91.6733016,29.25108501,14883,14772,12570.0
-88694,-91.6733016,29.25108501,14883,14772,12570.0
-153894,-93.98402737,27.88665799,8860,8854,8638.0
-166771,-93.98402737,27.88665799,8860,8854,8638.0
-170075,-93.07797516,28.46183773,13820,11600,6722.0
-203105,-93.07797516,28.46183773,13820,11600,6741.0
-200839,-93.07797516,28.46183773,13820,11600,6741.0
-279,-91.04391283,28.42976713,6855,6761,
-26544,-91.04391283,28.42976713,6855,6761,
-57119,-92.72515663,28.96552426,9972,8238,5263.0
-108964,-92.72515663,28.96552426,9972,8238,5263.0
-110275,-92.72515663,28.96552426,9972,8238,5263.0
-95392,-92.72515663,28.96552426,9972,8238,5263.0
-81250,-92.72515663,28.96552426,9972,8238,5263.0
-113930,-92.72515663,28.96552426,9972,8238,5263.0
-134729,-92.72515663,28.96552426,9972,8238,5263.0
-147380,-92.72515663,28.96552426,9972,8238,5263.0
-109328,-92.34044254,28.77542433,14600,14595,
-156868,-92.34044254,28.77542433,14600,14595,
-161504,-92.34044254,28.77542433,14600,14595,
-114113,-90.38004964,28.50457096,13683,13327,10768.0
-110710,-94.03932052,29.18943137,13585,13092,
-203201,-94.03932052,29.18943137,13585,13092,
-1530,-90.77576332,26.45325062,28639,28638,
-169803,-90.77576332,26.45325062,28639,28638,
-102198,-95.41435955,27.21733687,10502,8971,5992.0
-106692,-94.25717175,28.00532434,12350,11410,
-101981,-94.25717175,28.00532434,12350,11410,
-113928,-92.57634222,28.32571662,9429,8503,3525.0
-118161,-92.57634222,28.32571662,9429,8503,3525.0
-13905,-93.79160608,29.28191692,11982,11981,
-75060,-93.79160608,29.28191692,11982,11981,
-57762,-93.79160608,29.28191692,11982,11981,
-152155,-93.79160608,29.28191692,11982,11981,
-163994,-93.79160608,29.28191692,11982,11981,
-12083,-96.53301995,27.95274233,11383,10634,9700.0
-68944,-96.53301995,27.95274233,11383,10634,9700.0
-126767,-96.53301995,27.95274233,11383,10634,9700.0
-124216,-96.53301995,27.95274233,11383,10634,9700.0
-71147,-90.32222352,28.95586456,17592,16547,
-105974,-90.32222352,28.95586456,17592,16547,
-160574,-90.32222352,28.95586456,17592,16547,
-2609,-89.39753726,28.67188822,9467,7873,5995.0
-4214,-89.39753726,28.67188822,8129,7822,5995.0
-67577,-89.39753726,28.67188822,8129,7822,5995.0
-118346,-89.39753726,28.67188822,8129,7822,5995.0
-664,-90.39913512,28.48852127,16763,15012,
-7406,-90.39913512,28.48852127,16763,15012,
-122469,-90.39913512,28.48852127,16763,15012,
-7884,-90.97139678,27.22056654,12660,12431,11030.0
-58407,-90.97139678,27.22056654,12660,12431,11030.0
-53109,-90.97139678,27.22056654,12660,12431,11030.0
-41620,-90.97139678,27.22056654,12660,12431,11030.0
-248,-94.38871268,27.91351967,12318,11695,
-5983,-94.38871268,27.91351967,12275,11663,
-114528,-94.38871268,27.91351967,12275,11663,
-145739,-90.35378133,28.93825969,12668,10967,9503.0
-170136,-90.35378133,28.93825969,12668,10967,9503.0
-6473,-90.35744798,28.92707751,11908,8630,8680.0
-115669,-90.35744798,28.92707751,11909,8695,8680.0
-130356,-90.35744798,28.92707751,11909,8695,8680.0
-23414,-90.96574448,27.29223617,14678,14507,12616.0
-40685,-90.96574448,27.29223617,14678,14507,12616.0
-55479,-90.96574448,27.29223617,14678,14507,12616.0
-148750,-90.96574448,27.29223617,14678,14507,12616.0
-151256,-90.96574448,27.29223617,14678,14507,12616.0
-125213,-94.38989603,29.08287483,13540,12209,
-126161,-94.38989603,29.08287483,13540,12209,
-128280,-94.38989603,29.08287483,13540,12210,
-142438,-94.38989603,29.08287483,13540,12210,
-182272,-94.38989603,29.08287483,13540,12210,9030.0
-200513,-94.38989603,29.08287483,13540,12210,9030.0
-157532,-91.64631153,29.29548165,12722,12200,9882.0
-159387,-91.64631153,29.29548165,12722,12200,9882.0
-136055,-92.37509993,28.42090483,13492,11450,
-122952,-92.37509993,28.42090483,13492,11450,
-549,-89.61486914,29.15127925,11388,10885,
-115476,-91.38226352,28.63571223,20432,20349,19230.0
-125209,-91.38226352,28.63571223,20432,20349,19230.0
-5762,-96.19467679,27.6187778,19537,19529,18413.0
-75686,-90.98556668,26.24128324,27810,27806,26300.0
-203237,-94.04839052,29.18417233,14045,14041,
-156547,-92.11925209,28.89837737,10161,8293,6810.0
-168029,-92.11925209,28.89837737,10161,8285,6810.0
-165421,-92.11925209,28.89837737,10161,8285,6810.0
-59447,-93.05104377,28.02617345,7513,7501,6302.0
-107756,-93.05104377,28.02617345,7513,7501,6302.0
-175096,-92.37756359,29.30862151,10400,7569,8047.0
-183237,-92.37756359,29.30862151,10400,7569,8047.0
-181317,-92.37756359,29.30862151,10400,7569,8047.0
-62944,-96.20168289,28.05620431,12473,8609,4225.0
-107564,-89.82639517,28.90708523,13160,11243,
-119662,-88.64465827,29.56063024,12966,12494,
-113677,-93.29357204,28.15028029,8071,6650,4530.0
-120794,-93.29357204,28.15028029,8071,6650,4530.0
-128614,-93.29357204,28.15028029,8071,6650,4530.0
-92799,-91.30682265,28.48809783,11425,9910,7955.0
-181211,-91.30682265,28.48809783,11425,9910,7955.0
-196939,-91.30682265,28.48809783,11425,9910,7955.0
-194553,-91.30682265,28.48809783,11425,9910,7955.0
-413,-93.98229494,27.88268439,5979,5636,
-70947,-91.44758243,28.47191848,11748,11257,11015.0
-196352,-91.44758243,28.47191848,11748,11257,11015.0
-562,-92.3773546,28.82096132,13670,13661,
-534,-93.74486603,28.12993449,9852,9852,
-118499,-93.74486603,28.12993449,9852,9851,
-120117,-93.74486603,28.12993449,9852,9851,
-112455,-93.74486603,28.12993449,9852,9851,
-548,-93.96811985,29.15659575,16849,14747,
-4380,-93.96811985,29.15659575,16849,14747,
-107044,-93.96811985,29.15659575,16849,14747,
-109317,-93.96811985,29.15659575,16849,14747,
-115364,-93.96811985,29.15659575,16849,14747,
-560,-92.68885708,28.07627875,16627,15971,10442.0
-76383,-91.95997757,28.42436194,8139,7999,1270.0
-144065,-91.63136639,28.61411378,6100,4948,
-112895,-88.93362511,29.46874664,9489,7214,8550.0
-1543,-89.77288717,27.67897401,32627,32613,
-43079,-94.32916305,29.12522033,15054,13060,4175.0
-82451,-91.89413712,27.98695445,16258,13364,8444.0
-113671,-91.89413712,27.98695445,16258,13364,8444.0
-114039,-91.89413712,27.98695445,16258,13364,8444.0
-196948,-91.89413712,27.98695445,16258,13364,8444.0
-182404,-91.89413712,27.98695445,16258,13364,8444.0
-199903,-91.89413712,27.98695445,16258,13364,8444.0
-72073,-93.81938521,29.37021793,10585,10066,
-117887,-93.81938521,29.37021793,10585,10066,
-147259,-93.81938521,29.37021793,10585,10066,
-766,-89.2437445,28.15099538,17237,10859,16095.0
-76656,-89.2437445,28.15099538,17237,10857,16095.0
-154414,-89.2437445,28.15099538,17237,10857,16095.0
-185333,-89.2437445,28.15099538,17237,10857,16075.0
-7161,-96.9002926,27.07158683,8084,8082,
-85463,-96.9002926,27.07158683,8084,8082,
-115134,-94.42197976,28.06972102,12600,8002,
-194842,-94.42425965,28.07059481,13296,7854,9948.0
-193874,-94.41470026,28.04847611,11480,7622,9572.0
-22352,-89.6538063,28.97990108,15190,14299,
-147319,-93.00462486,29.30536743,10453,8521,
-143642,-93.00462486,29.30536743,10453,8521,
-56738,-92.41471612,29.34961495,11815,10338,
-96333,-92.41471612,29.34961495,11815,10338,
-14532,-92.42846,28.70270501,14148,13501,
-116483,-88.98699519,29.04977393,12635,9155,
