SN_EOR_WELL_COMP_FK,PERF_TOP_MD,PERF_BOTM_TVD,PERF_TOP_TVD,PERF_BASE_MD
-20822,13404,12884,12862,13430
-24559,13490,12950,12936,13510
-24247,12152,11812,11784,12185
-27394,13276,12758,12751,13284
-20526,9808,9710,9693,9830
-24701,9228,9237,9195,9274
-6216,4000,3543,3539,4006
-6109,4120,3812,3803,4130
-11423,10456,10536,10456,10536
-2972,9294,9202,9185,9310
-3521,7984,7645,7630,8004
-17957,7868,7551,7547,7873
-8186,6640,6650,6640,6650
-6651,12674,12673,12662,12685
-5586,6320,6349,6296,6376
-6312,4656,4667,4655,4668
-5406,6470,6321,6280,6514
-29257,12531,11075,11002,12616
-7282,10756,9909,9897,10770
-7249,10496,9581,9550,10534
-13583,10496,9581,9550,10534
-887,6350,6362,6350,6362
-19379,9330,9344,9330,9344
-15341,9860,9595,9547,9908
-4598,10973,10983,10973,10983
-1441,8152,6865,6853,8170
-1441,8194,6890,6882,8206
-21,8374,7016,7005,8390
-21,8454,7065,7060,8462
-4397,7560,7018,7007,7576
-9791,7358,6877,6869,7370
-6263,6548,6425,6418,6556
-25226,9836,8170,8154,9856
-5540,5714,5386,5358,5745
-8263,6791,5304,5300,6797
-9829,6412,5059,5054,6420
-1409,7658,6584,6575,7668
-9411,7586,7359,7304,7647
-9412,5300,5299,5206,5400
-3515,6530,6537,6529,6538
-25684,11339,11308,11297,11350
-26547,11282,11258,11240,11300
-15143,9466,8982,8972,9476
-12737,9672,9236,9206,9702
-2262,5788,5803,5787,5804
-21883,5402,5228,5201,5440
-10338,8017,6768,6760,8026
-10338,8036,6779,6776,8040
-10340,7581,6419,6411,7592
-10340,7603,6433,6428,7609
-10340,7661,6485,6474,7674
-10340,7533,6377,6373,7539
-17011,9293,9299,9293,9299
-17011,9306,9316,9306,9316
-1844,15223,14645,14637,15234
-2173,14874,14422,14376,14935
-2619,15223,14645,14637,15234
-7861,14874,14422,14376,14935
-1643,2282,2150,2138,2296
-16087,6792,6454,6426,6834
-8188,6894,6904,6894,6904
-6801,10760,10483,10465,10778
-15723,7792,7348,7333,7808
-14301,9004,8667,8655,9016
-14301,9110,8786,8760,9135
-19219,8388,8049,8045,8392
-7730,22350,22693,22350,22693
-13353,22392,22319,22309,22402
-13353,22419,22352,22336,22435
-13353,22452,22396,22369,22479
-13353,22482,22416,22399,22499
-13353,22568,22553,22485,22636
-13353,22640,22610,22557,22693
-13353,22712,22639,22629,22722
-13353,22350,22303,22267,22386
-30376,22350,22303,22267,22386
-30376,22392,22319,22309,22492
-30376,22419,22352,22336,22435
-30376,22452,22396,22369,22479
-30376,22482,22416,22399,22499
-6526,8742,6222,6216,8752
-8886,7234,5361,5349,7254
-4830,2502,2506,2498,2510
-4741,2690,2689,2685,2694
-1038,14352,13361,13239,14474
-729,14450,10537,10510,14496
-2679,26832,27146,26832,27146
-2679,27258,27385,27258,27385
-835,13558,12433,12369,13654
-1345,12416,11806,11795,12432
-1346,12000,11537,11510,12040
-4850,11812,11388,11380,11824
-3587,12148,11618,11610,12156
-4860,12000,11537,11510,12040
-5126,13242,12073,12056,13262
-12778,13146,11985,11971,13162
-2843,14692,12979,12964,14712
-2843,14618,12937,12911,14654
-5153,14476,12979,12813,14712
-16016,14476,12843,12813,14520
-14918,14476,12843,12813,14520
-14918,14618,12937,12911,14654
-14918,14692,12979,12964,14712
-9259,12950,13063,12914,13097
-9268,13178,13218,13140,13260
-3161,13050,13060,13032,13078
-12351,12964,12955,12945,12974
-12351,12984,12969,12965,12988
-12351,12992,12979,12973,12998
-7968,16642,14874,14815,16724
-7968,17245,15275,15246,17286
-3436,9179,9002,8935,9246
-22956,9179,8954,8935,9198
-25269,8846,8662,8602,8906
-5813,18232,15132,15077,18323
-3722,12766,12712,12694,12784
-3268,13290,12780,12738,13350
-2988,11464,9725,9696,11506
-9731,13158,12734,12724,13170
-9731,13035,12651,12619,13072
-9731,13138,12720,12706,13154
-9732,11882,11632,11556,11962
-8810,14850,14497,14443,14904
-11445,14676,14302,14273,14706
-12934,14062,13695,13655,14092
-13142,13758,13389,13361,13786
-8971,24940,11507,10848,26540
-23683,23398,10378,10272,23905
-8786,8530,6282,6222,8624
-22553,7648,5670,5659,7666
-8377,11518,9941,9934,11530
-8417,1292,1298,1292,1298
-11555,11890,9976,9915,12064
-11555,12080,10016,9988,12118
-11555,12136,10082,10029,12210
-8716,15610,13701,13582,15752
-8508,20052,13534,13531,20056
-8508,20072,13553,13546,20082
-10365,19876,13424,13407,19900
-10365,19936,13460,13449,19952
-21230,19410,13085,13078,19420
-21230,19398,13072,13069,19402
-8516,16310,11006,10989,16328
-13181,16167,10866,10855,16175
-9053,12494,12540,12488,12546
-16977,11491,10672,10637,11547
-17187,14310,6948,6924,14370
-18119,11590,8912,8878,11626
-17967,11777,9067,9054,11791
-18120,28358,28315,28271,28402
-18120,28519,28504,28432,28591
-17500,17546,16549,16492,17610
-18726,14674,13976,13965,14688
-18369,10022,8318,8260,10080
-18103,15492,15256,15237,15514
-23623,8836,6573,6563,8860
-23502,10448,8335,8332,11239
-25050,27712,27216,27204,27725
-25050,27629,27137,27125,27642
-25050,27562,27074,27061,27575
-25050,27487,27002,26990,27500
-25050,27420,26938,26926,27433
-25050,27153,26684,26672,27166
-25050,27115,26648,26635,27128
-25050,27037,26574,26562,27050
-25050,27346,26894,26855,27386
-25050,27333,26855,26843,27346
-25050,27268,26794,26781,27281
-25050,27227,26755,26743,27241
-25050,26999,26538,26525,27012
-25050,26955,26496,26483,26968
-25050,26912,26455,26443,26925
-23880,12805,11705,11588,13010
-23534,7121,5663,5644,7143
-23534,7150,5680,5669,7163
-23534,7173,5722,5689,7211
-26601,6790,5410,5354,6854
-6169,5846,5292,5278,5860
-12937,11258,10422,10400,11288
-6237,12084,11733,11728,12090
-553,8408,8135,8108,8444
-11985,9126,8118,8102,9144
-615,13378,13390,13371,13397
-4180,12820,12825,12818,12830
-7117,12656,12661,12651,12666
-14621,12056,12073,12053,12076
-25293,12150,11757,11743,12164
-6167,14016,13595,13215,14450
-21308,13812,13059,13031,13840
-26046,12520,11858,11835,12545
-26046,12650,11987,11957,12682
-4984,8440,7463,7435,8475
-4984,8490,7482,7475,8498
-4984,8512,7507,7493,8530
-2082,7656,7051,7035,7673
-2088,7764,7151,7134,7783
-7189,7157,6597,6583,7172
-256,10667,9964,9956,10677
-6812,9102,8792,8719,9192
-6763,9188,9078,8887,9390
-4135,9602,9017,8859,9782
-4137,10413,9613,9574,10459
-336,2857,2864,2857,2864
-3742,6266,6176,6158,6285
-750,9876,9525,9507,9903
-749,10010,9645,9622,10035
-16269,8490,7869,7835,8530
-21214,6016,6001,5971,6046
-17502,6907,6924,6907,6924
-133,14440,14404,14394,14450
-133,14388,14384,14342,14430
-19269,10184,10189,10184,10189
-22679,13260,13227,13213,13274
-6,8026,7784,7779,8032
-9751,8276,7991,7981,8286
-26224,8083,7797,7793,8087
-9886,10142,10141,10060,10223
-9158,10260,10143,10068,10340
-28093,10488,10252,10212,10528
-17417,10526,10438,10404,10560
-6759,8222,7524,7513,8234
-745,10150,10118,10008,10160
-16302,7910,6174,5976,8110
-13740,16296,15261,15207,16378
-26534,15795,14906,14888,15825
-26690,15495,14716,14702,15516
-26690,15612,14786,14777,15627
-3708,7162,7176,7162,7176
-5675,8238,7213,7203,8250
-12793,3407,3309,3297,3420
-3124,10972,10979,10969,10982
-3186,1640,1750,1640,1750
-2028,12994,11807,11799,13010
-2028,12950,11747,11734,12966
-24869,6827,6474,6463,6847
-22614,8658,8498,8456,8702
-7211,6370,6184,6134,6426
-1779,12505,11176,11164,12519
-13444,12307,11005,10990,12324
-2170,6791,6612,6596,6808
-18552,13658,13400,13365,13694
-1552,5510,4988,4974,5530
-1553,5402,4935,4895,5465
-25301,9820,9491,9427,9893
-9068,8352,6441,6414,8380
-9068,8388,6456,6449,8395
-1998,12943,12462,12446,12959
-1998,13004,12553,12507,13050
-1998,13058,12587,12561,13084
-1998,13118,12639,12621,13136
-16249,8190,8004,7982,8212
-16249,8230,8045,8021,8254
-56,7484,7249,7219,7514
-19322,7430,7171,7165,7436
-8184,5088,5098,5088,5098
-14786,11612,10612,10399,11724
-883,8358,7652,7639,8372
-21676,8145,7498,7474,8175
-8654,10116,9802,9791,10128
-19769,9206,8989,8977,9220
-1448,6190,6167,6123,6244
-5308,8658,8331,8328,8662
-19287,11488,11391,11367,11512
-2471,2955,2776,2766,2970
-6117,2800,2662,2656,2808
-3538,6290,6073,6045,6330
-6753,15066,14071,14051,15086
-17879,15052,14048,14038,15060
-11347,9808,9012,9000,9820
-7921,10390,9886,9858,10420
-954,7496,4395,4382,7520
-2119,7369,6478,6426,7448
-7787,8065,6931,6900,8110
-7979,6728,4028,4014,6756
-13551,6161,6051,6040,6172
-25936,8014,7636,7624,8028
-30454,7749,6689,6642,7815
-5199,11950,10799,10741,12022
-17997,9693,9323,9304,9703
-897,7632,6478,6428,7688
-12864,7124,6142,6091,7185
-7327,10322,8482,8477,10330
-4056,12096,11409,11402,12104
-4056,12254,11557,11540,12274
-4056,12052,11376,11364,12066
-6362,7660,6763,6747,7680
-460,12234,11971,11937,12270
-10967,12155,11879,11861,12174
-4206,6916,5822,5773,6980
-6020,6938,6512,6483,6972
-6138,15678,15447,15391,15734
-11843,12620,10150,10076,12820
-7803,12166,10536,10494,12214
-10066,12814,10370,10366,12824
-25856,10889,9447,9428,10924
-28091,10392,9174,9168,10404
-2600,11578,10993,10987,11588
-1097,11895,9310,9302,11905
-360,12160,9444,9438,12170
-8320,11562,9095,9045,11628
-18217,11100,8711,8701,11114
-18217,11148,8743,8737,11156
-7452,8622,8599,8574,8647
-24983,8452,8440,8404,8488
-11182,9156,9160,9148,9168
-22465,9382,7787,7772,9402
-8001,15924,15464,15447,15944
-8907,15654,15221,15216,15660
-12153,13958,13789,13757,13995
-10061,14320,14089,14079,14342
-15691,13925,13737,13729,13934
-2992,6533,6166,6158,6543
-4879,7809,7846,7809,7846
-3568,7934,7942,7934,7942
-16981,5840,5644,5576,5934
-1532,12586,12425,12390,12621
-7208,9800,9047,9027,9820
-7684,9800,9047,9027,9820
-19026,10029,10048,10027,10050
-21426,9678,9702,9676,9704
-18571,3260,3378,3260,3378
-20789,9051,8884,8862,9074
-2722,6054,5427,5417,6072
-6547,5472,5112,5086,5498
-8510,4742,4753,4741,4754
-9047,8388,7697,7669,8416
-3001,8534,8510,8492,8552
-18154,5892,5517,5481,5930
-112,5694,4858,4712,5900
-1374,8250,7697,7654,8300
-9326,5354,4488,4475,5368
-19492,9880,8768,8579,10116
-12622,14291,13583,13577,14301
-12622,14305,13591,13585,14315
-17070,13318,12680,12650,13348
-21119,13318,12680,12650,13348
-20232,13414,12766,12746,13434
-8072,9982,8703,8700,9987
-11187,9852,8661,8619,9919
-16153,8972,8093,8072,9005
-7476,9248,8990,8984,9254
-24688,11750,11799,11749,11800
-12666,8454,8189,8120,8528
-8558,1894,1769,1758,1910
-22378,10660,10690,10660,10690
-12923,3312,3326,3312,3326
-3963,11314,11237,11200,11360
-12286,10918,10878,10862,10936
-16381,9061,7385,7378,9071
-3490,12304,11705,11697,12316
-14237,13310,12394,12386,13322
-12620,10554,9619,9604,10574
-11225,11330,10112,10092,11350
-6705,11490,11421,11401,11510
-3238,4670,3472,3468,4676
-7112,4856,3609,3604,4863
-2168,31020,11860,11782,31172
-5840,11313,10799,10777,11343
-22994,11042,10569,10561,11051
-9508,7752,7036,7029,7759
-1903,4717,4086,4082,4722
-11541,4544,3960,3957,4548
-11541,4556,3970,3966,4562
-7089,7507,6549,6544,7512
-25670,14855,14788,14734,14917
-25670,15718,15457,15432,15752
-9614,7755,5490,5427,7848
-13606,23450,11354,11326,23539
-6717,12254,10911,10905,12260
-6717,12290,10947,10941,12296
-13672,12254,10911,10905,12260
-8551,6230,5675,5671,6234
-5169,17719,17501,17485,17735
-8535,10458,10485,10457,10486
-1465,5446,5406,5382,5474
-24138,11294,10351,10255,11390
-26960,5764,5255,5245,5776
-2506,5390,4812,4785,5424
-11397,2727,2731,2727,2731
-19696,7986,7368,7355,8000
-21908,7898,7285,7274,7910
-25504,14682,14296,14279,14702
-15629,26646,18680,18620,26728
-27964,23580,18502,18368,23742
-21320,8712,8407,8330,8830
-1154,11747,11469,11443,11776
-342,13758,13287,13271,13775
-5805,6595,5894,5883,6608
-16824,8620,7353,7323,8660
-17677,12838,9933,9921,12858
-15812,12838,9933,9921,12858
-18970,10484,9030,9024,10490
-2440,12992,12714,12692,13022
-13069,9770,9606,9594,9776
-11731,11480,9923,9880,11560
-25770,11392,9845,9827,11418
-26088,11133,9688,9682,11143
-28164,10714,9465,9460,10724
-28164,10790,9503,9498,10800
-37,5285,4544,4529,5305
-9512,11238,9928,9925,11246
-10123,10425,9576,9530,10505
-10123,10522,9591,9585,10532
-10123,10538,9603,9594,10553
-24420,12590,6038,5976,12758
-26892,10504,5326,5261,10624
-776,12712,9127,9058,12784
-2068,12611,8985,8960,12636
-776,12610,8985,8960,12636
-7252,11108,10931,10921,11120
-1195,13128,12652,12640,13144
-3165,12810,12430,12420,12820
-7247,11418,11423,11413,11428
-15887,10856,10859,10851,10864
-18300,10856,10859,10851,10864
-20539,10364,10368,10359,10373
-879,8962,8553,8539,8976
-7599,7989,7623,7589,8025
-7005,8060,7645,7641,8064
-15659,7695,7329,7321,7704
-27157,9600,9520,9494,9630
-1453,3236,3172,3162,3246
-11278,2528,2487,2478,2538
-1284,7544,6982,6950,7584
-747,8114,7454,7445,8124
-15890,9388,8153,8099,9450
-19892,6862,6187,6163,6910
-126,9910,9151,9139,9930
-21748,9725,8988,8965,9762
-23501,9450,8799,8792,9460
-3867,7449,6011,5997,7470
-395,7884,6905,6887,7906
-395,8084,7053,7045,8094
-3729,7307,6450,6427,7337
-3323,7592,6659,6651,7602
-2514,7592,6659,6651,7602
-12347,6718,5981,5953,6752
-7390,8004,7386,7334,8056
-4523,6904,6914,6903,6915
-15403,9850,8956,8885,9938
-1841,22444,17638,17580,22507
-12120,10598,8242,8226,10620
-24279,8420,7963,7888,8514
-24416,7250,6934,6918,7270
-19203,13267,13206,13176,13277
-15948,9520,8062,8044,9540
-15176,10780,9230,9225,10786
-19104,9108,7699,7689,9120
-19636,9432,7976,7967,9442
-7540,16234,15825,15787,16274
-13737,9924,9789,9769,9944
-13861,7952,7949,7829,7972
-944,6148,6105,6059,6194
-19119,5846,5784,5757,5873
-19200,14060,13509,13487,14082
-20249,7737,7054,7048,7743
-22601,6778,6174,6140,6816
-2181,12211,12195,12038,12374
-13859,7784,7448,7426,7806
-15690,12482,11220,11148,12554
-3895,7154,6698,6688,7164
-5529,6925,6211,6151,6985
-1239,7403,7062,7013,7457
-1240,5048,4887,4869,5068
-5792,2165,1789,1777,2195
-3872,4280,4167,4124,4327
-9652,8436,8374,8360,8450
-9652,8183,8228,8135,8267
-16375,8183,8228,8135,8287
-16375,8436,8375,8360,8453
-21193,7855,7850,7828,7871
-294,13215,12597,12582,13230
-18762,9838,9330,9324,9844
-19159,9822,9330,9309,9844
-9742,8452,8197,8188,8461
-4375,7504,6157,6148,7514
-2466,7584,6222,6211,7598
-5310,7278,7288,7278,7288
-8514,7109,6662,6657,7115
-8523,6958,6542,6530,6972
-9267,6724,6267,6244,6750
-19072,6724,6249,6244,6750
-20953,6102,5996,5960,6138
-3557,2976,2647,2618,3038
-20741,6178,5866,5770,6288
-30129,6705,6552,6522,6715
-12927,3516,3300,3286,3530
-9386,2364,1967,1953,2382
-9387,2945,2419,2405,2962
-15597,4494,4508,4494,4508
-17328,4294,4328,4294,4328
-28821,4222,4052,4035,4240
-30261,4054,3884,3868,4070
-8252,9854,9376,9353,9880
-19103,14385,8836,8824,14410
-404,9496,9258,9206,9548
-405,8795,8890,8528,9022
-27993,10136,9536,9528,10151
-4039,9700,9733,9697,9736
-5521,10281,9912,9903,10291
-25459,5320,4392,4370,5350
-22034,9602,8783,8775,9610
-27547,8898,8155,8134,8921
-25058,9480,8688,8658,9510
-6108,5312,5267,5246,5334
-5996,10866,9759,9739,10888
-2781,9301,9326,9301,9326
-14420,10916,8212,8204,10927
-3411,10704,10507,10476,10736
-1543,9029,8754,8736,9049
-10237,10538,9528,9496,10573
-20449,7000,6588,6580,7008
-21125,8160,7684,7676,8172
-19014,4256,3996,3970,4283
-20073,9074,9034,8965,9144
-20970,11574,10936,10800,11710
-21465,7280,6746,6723,7330
-7079,12380,10402,10306,12798
-7664,11646,9804,9796,11657
-12167,10592,9097,9090,10600
-11398,11472,9728,9677,11548
-13421,10262,8838,8835,10266
-12696,4294,4021,4018,4297
-18329,7140,6491,6480,7151
-25457,6516,6087,6078,6526
-9987,12158,10166,10160,12168
-9336,11331,11345,11328,11348
-8631,12866,10206,10181,12898
-22996,9356,7627,7590,9406
-26183,9974,8293,8262,10016
-103,6396,6300,6272,6424
-2733,6396,6300,6272,6424
-2565,6498,6406,6374,6530
-18780,8730,8036,8030,8736
-1356,7024,6339,6315,7048
-16237,7274,6686,6649,7312
-2835,10236,8929,8918,10250
-17646,8904,8972,8892,8984
-17489,8265,7650,7610,8319
-2953,6432,5650,5633,6460
-2648,10366,9595,9584,10380
-2648,10396,9615,9608,10404
-2648,10410,9630,9620,10422
-5478,12354,12449,12353,12450
-13713,8505,6779,6714,8570
-13712,8607,6825,6816,8616
-13073,10012,7078,7075,11412
-21436,9498,9517,9477,9538
-20890,12230,12275,12230,12275
-12850,12440,11460,11423,12478
-8699,6442,5833,5800,6478
-23959,7152,5834,5805,7188
-22659,5868,5768,5716,5938
-24945,5868,5767,5715,5938
-24065,5760,5675,5633,5814
-5001,12630,12536,12432,12750
-19292,12630,12536,12492,12750
-19150,9430,9508,9428,9510
-22435,6372,6311,6292,6392
-26836,6155,6098,6075,6178
-23028,11138,11074,11064,11148
-23028,11164,11094,11089,11170
-17906,9222,8719,8677,9264
-452,6292,5144,5097,6340
-5082,9984,10005,9934,10065
-4188,10208,10169,10163,10214
-6997,10134,10121,10091,10164
-11458,9352,9344,9328,9368
-2842,5736,4654,4638,5757
-7575,5585,4564,4523,5638
-17911,5427,4437,4403,5472
-16999,13236,12796,12773,13260
-825,10428,10068,10050,10446
-2977,9757,9272,9235,9798
-5333,7730,7525,7504,7760
-26023,16332,15969,15859,16442
-10148,2120,2018,1973,2180
-5068,8372,7542,7536,8380
-5068,8511,7656,7643,8527
-16369,6246,5014,5007,6256
-20737,4978,4239,4225,4992
-10203,4601,4213,4175,4655
-10203,4687,4270,4236,4734
-14744,4601,4213,4175,4655
-14744,4687,4270,4236,4734
-3377,7288,6683,6675,7300
-3601,11555,7833,7818,11575
-5854,17450,16273,16226,17518
-9269,11766,11072,11022,11834
-24683,11942,11160,11150,11955
-6967,8320,8222,8199,8350
-13037,8124,8059,8040,8148
-9486,9102,8875,8875,9150
-23090,10817,10453,10446,10827
-22896,10896,10525,10501,10930
-5922,15030,12242,12036,15434
-25859,14224,11750,11634,14464
-17729,6762,6439,6418,6784
-17357,6631,6314,6294,6651
-3192,11877,9122,9057,11950
-135,10236,10236,10232,10240
-346,9709,9713,9708,9714
-135,10132,10130,10128,10134
-135,9772,9778,9771,9780
-135,9791,9808,9789,9810
-135,10142,10147,10138,10150
-346,9681,9691,9680,9692
-346,9695,9703,9694,9704
-9066,15600,12696,12623,15670
-16617,7842,7768,7746,7864
-28420,5870,4901,4875,5920
-2390,7895,5150,5128,7935
-11068,8205,7629,7592,8244
-14817,7836,7257,7238,7856
-16608,14863,12760,12756,14868
-1349,10956,10656,10601,11026
-1368,9518,7835,7802,9562
-3171,9210,7582,7566,9230
-3198,8930,7371,7356,8950
-3171,8930,7371,7356,8950
-10789,9999,8902,8897,10004
-8721,11774,10565,10552,12507
-9300,10950,10349,10324,10996
-27143,9298,8879,8849,9328
-1277,17762,16371,16362,17774
-5524,17290,16044,16021,17320
-5731,17290,16039,16021,17314
-7683,17096,15886,15872,17114
-15891,17096,15886,15872,17114
-24602,16932,15753,15743,16944
-11384,17224,9671,9649,17267
-11384,17280,9685,9678,17293
-14263,16638,9361,9356,16648
-8902,13038,11520,11460,13158
-2154,16478,14721,14684,16660
-2154,16239,14663,14619,16388
-27966,10462,9492,9452,10502
-12354,8234,7927,7905,8258
-7869,6868,5685,5656,6915
-5353,11920,10345,10334,11938
-8918,11872,10316,10304,11890
-8918,11813,10289,10269,11846
-17298,11813,10278,10269,11828
-21578,11813,10276,10269,11824
-4051,11542,11306,11302,11547
-4071,12212,11789,11776,12232
-828,6656,6660,6648,6668
-5258,6474,6517,6465,6526
-19946,14151,11549,11505,14220
-14353,10882,9931,9909,10912
-14905,10410,9931,9521,10912
-16012,10882,9931,9906,10912
-19728,10370,10390,10370,10390
-14488,8011,6449,6275,8272
-11990,13010,10381,10323,13090
-11990,13140,10519,10417,13280
-17746,8954,7468,7457,8970
-21072,9949,9414,8943,10052
-895,12846,12807,12805,12848
-895,12704,12677,12663,12718
-895,12790,12753,12749,12794
-895,12817,12781,12776,12822
-10955,8093,7846,7842,8097
-20111,7760,7547,7529,7780
-24318,7664,7448,7438,7674
-11,15146,14334,14258,15238
-1574,14246,13609,13532,14344
-6959,13438,12895,12879,13458
-6959,13336,12844,12796,13395
-2818,11810,10954,10897,11876
-12412,13450,10524,10516,13465
-9767,9698,9684,9649,9734
-22306,8039,8031,8027,8044
-14668,12076,10906,10876,12108
-3843,11010,11024,11008,11025
-3845,11084,11101,11082,11102
-16902,14474,14481,14471,14484
-14733,9668,5165,5155,9698
-14733,9668,5165,5155,9698
-5137,8735,7936,7891,8808
-15870,8550,7804,7784,8585
-16933,10174,10232,10174,10232
-10632,12418,11831,11791,12458
-4264,17808,17940,17808,17940
-14936,11956,7844,7815,12020
-11035,7220,6571,6562,7232
-5686,5988,5916,5902,6002
-27849,13670,13220,13175,13716
-5526,7520,6891,6845,7604
-16695,7405,6794,6782,7427
-21467,7310,6765,6730,7373
-3657,11005,10633,10616,11022
-6553,10782,9159,9111,10840
-14546,10938,9260,9240,10958
-20806,8290,7148,7121,8324
-4411,13066,12823,12820,13071
-4411,13040,12816,12804,13060
-4411,13082,12838,12830,13096
-6104,12778,12644,12630,12798
-25763,13240,11923,11911,13260
-28749,11960,11232,11169,12072
-24985,13548,12153,12100,13634
-25763,13190,11894,11880,13210
-2207,5961,4228,4224,5968
-3358,12982,12985,12942,13030
-275,12303,12316,12296,12323
-1951,12312,12352,12305,12362
-7504,14389,12501,12493,14398
-3459,3718,3724,3718,3724
-16745,3278,2812,2807,3288
-23132,7074,5612,5604,7090
-9318,11768,10749,10739,11786
-9415,10682,10149,10129,10717
-16049,12038,10738,10710,12070
-12265,13946,11796,11786,13960
-12695,13762,11680,11657,13795
-344,15942,15638,15623,15970
-14333,7506,6885,6880,7514
