Occurrence_Id;Local_Date_Main_Event;Date_Main_Event_Unconfirmed;Year_Reported;Occurrence_Severity;Main_Event_L1;Main_Event_L2;Main_Event_L3;Not_Vessel_Operations;Short_Description;Description;State_Reporting;National_Location_L1;National_Location_L2;Latitude;Longitude;Lat_Long_Unknown;Port_Of_Accident_L1;Port_Of_Accident_L2;Vessel_Profile_Id;Vessel_Severity;Flag_State;Vessel_Category_L1;Vessel_Category_L2;Ship_Craft_Type_L1;Ship_Craft_Type_L2;Ship_Craft_Type_L3;Ship_Craft_Type_L4;Ship_Craft_Type_L5;Is_Commercial_Vessel;Ship_Boat;Registered_Length_In_Metres;LOA_Length_Overall_in_Metres;GT_Gross_Tonnage;Hull_Material;Year_Built;Deaths_Crew;Deaths_Passenger;Deaths_Other;Deaths_Total;Injuries_Crew;Injuries_Passenger;Injuries_Other;Injuries_Total;Loss_Of_Vessel_Damage;Did_The_Vessel_Sink;Vessel_Abandoned;Damage_Description;Pollution_Result;Crew_Voyage;Voyage_Segment;Pilot_On_Board;Place_On_Board_L1;Place_On_Board_L2;Place_On_Board_L3;Place_On_Board_L4;Place_On_Board_L5;Port_Of_Departure_L1;Port_Of_Departure_L2;Publication_Date;Publication_No;Publication_Type;Published_Report_Website_Link;Vessel_Record_Modified_On
"88a86f90-dae6-ee11-904d-002248c87217";"2024-03-01";"No";2024;"Less Serious";"Grounding / Stranding";"Power";;False;"Fishing support vessel grounded";"Fishing support vessel grounded, damage unknown";"UK";"United Kingdom";"Scotland";60.605600;-0.996300;"NA";;;"9340762d-dbe6-ee11-904d-002248c87217";"Less Serious";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"200gt to 499.99gt";"Service ship";"Other";;;;True;;23.00;27.00;200.00;"Steel";"2020";0;0;0;0;0;0;0;0;"Minor damage (less than material damage)";"No";"No";"Unknown";"NA";;"Unknown";"No";;;;;;"Unknown";;;;;;"2025-01-20"
"33a2a183-3411-ef11-9f89-002248c5c79a";"2024-05-01";"No";2024;"Marine Incident";"Flooding / Foundering";"Flooding";"Progressive";False;"Fishing vessel started to take on water resulted in grounding";"Fishing vessel started to take on water resulted in grounding. No damage to the vessel, coolant pipe had come off and engine pumped water into the boat.";"UK";"United Kingdom";"Scotland";59.852167;-1.255500;"n/a";;;"d9a9dde1-3511-ef11-9f89-002248c5c79a";"Marine Incident";"UNITED KINGDOM";"Fishing Vessel";"Under 15m loa";"Fishing vessel";"Other";;;;True;;6.90;6.90;2.80;"Composite materials";"2011";0;0;0;0;0;0;0;0;"No damage";"No";"No";"NO DAMAGE TO THE BOAT, COOLANT PIPE HAD COME OFF AND THE ENGINE WAS PUMPING WATER INTO THEBOAT";"No Pollution";"2";"Mid-water";"No";"Engine department";"Engine room";;;;"Unknown";;;;;;"2024-11-21"
"4b0a3c77-d611-ef11-9f89-0022481b9ab5";"2024-05-01";"No";2024;"Very Serious";"Flooding / Foundering";"Foundering";;False;"Pleasure vessel sunk with 3 persons onboard.";"Pleasure vessel sunk with 3 persons onboard, all abandoned to dinghy and rescued by ALB.";"UK";"United Kingdom";"England";51.187500;-4.509333;;;;"efbd018e-d711-ef11-9f89-0022481b9ab5";"Very Serious";"UNITED KINGDOM";"Recreational (non Commercial)";;"Recreational craft";"Motorboat";;;;False;;0.00;0.00;0.00;"Unknown";"Unknown";0;0;0;0;0;0;0;0;"Loss of ship -> Actual loss";"Yes";"Yes";"Unknown";"No Pollution";"3";"Unknown";"No";"Ship";"Unknown";;;;"Unknown";;;;;;"2024-05-14"
"e1995836-d369-ef11-a671-6045bd0e2db0";"2024-08-01";"No";2024;"Serious";"Fire / Explosion";"Fire";;False;"Sailing vessel engine overheated resulting in smoke filling confined space.";"Sailing vessel engine overheated resulting in smoke filling confined space. No smoke inhalation.";"UK";"United Kingdom";"Scotland";55.957000;-3.081000;"n/a";;;"44e2b609-d569-ef11-a671-6045bd0e2db0";"Serious";"UNITED KINGDOM";"Recreational (non Commercial)";;"Recreational craft";"Sailboat (aux. motor)";;;;False;;8.90;8.90;9.90;"GRP";"2024";0;0;0;0;0;0;0;0;"Minor damage (less than material damage)";"No";"No";"Unknown fire";"No Pollution";;"Mid-water";"No";"Ship";"Unknown";;;;"Unknown";;;;;;"2024-09-09"
"31e4369c-f47f-ef11-ac21-000d3a870c32";"2024-09-01";"No";2024;"Marine Incident";"Capsizing / Listing";"Capsizing";;False;"Sailing vessel capsized and beached resulting injuries to a crew members leg.";"Sailing vessel capsized and beached resulting injuries to a crew members leg. Lifeboat ambulance service tasked to assist ocean rowing vessel with 4 POB. Vessel had capsized and beached with one crew member sustaining minor leg injury.";"UK";"United Kingdom";"England";50.718333;-1.815833;"n/a";;;"c632d92e-f57f-ef11-ac21-000d3a870c32";"Marine Incident";"UNITED KINGDOM";"Recreational (non Commercial)";;"Recreational craft";"Rowboat";;;;False;;9.90;9.90;0.99;"GRP";"2024";0;0;0;0;0;0;0;0;"Minor damage (less than material damage)";"No";"No";"Unknown";"No Pollution";"4";"Unknown";"No";"Ship";"Unknown";;;;"Unknown";;;;;;"2024-10-01"
"00ee3254-1fa6-ed11-aad1-0022481b5108";"2023-02-01";"No";2023;"Marine Incident";"Damage / Loss Of Equipment";;;False;"Container ship's pilot ladder not rigged per SOLAS regulations.";"Container ship's pilot ladder not rigged per SOLAS regulations. Weight of the ladder was resting on a step. The side ropes of the ladder were very frayed in places. The stanchions did not go all the way down to the deck and were too far apart.";"UK";"United Kingdom";"England";51.450300;0.359100;;"UNITED KINGDOM";"London";"3aab4f92-20a6-ed11-aad1-0022481b5108";"Marine Incident";"NETHERLANDS";"Merchant Vessel >= 100gt";"500gt or more";"Cargo ship";"Solid Cargo";"Container Ship";;;True;;120.00;130.00;7600.00;"Steel";"2004";0;0;0;0;0;0;0;0;"No damage";"No";"No";;"No Pollution";;"Unknown";"Yes";"Ship";"Stairs/ladders";;;;"UNITED KINGDOM";"London";;;;;"2024-08-09"
"44d04291-9bb6-ed11-b597-6045bd0b12c1";"2023-02-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"Passenger ship's guest tripped on a step which resulted in a fracture to their arm.";"Passenger ship guest  was walking when they failed to notice a step ahead which resulted in them tripping and losing their balance. This resulted in a fractured upper arm. Location was inspected and no issues of contributory nature were noted.";"UK";;;-54.886667;-68.193333;;;;"dba1ef3b-9cb6-ed11-b597-6045bd0b12c1";"Less Serious";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"500gt or more";"Passenger ship";"Only passenger";"International";;;True;;0.00;290.00;110000.00;"Steel";"2004";0;0;0;0;0;1;0;1;"No damage";"No";"No";;"No Pollution";"1086";"Mid-water";"Yes";"Accommodation";"Restaurant/Bar";;;;"CHILE";;;;;;"2024-08-29"
"6652cc87-68e3-ed11-8846-002248c878ca";"2023-04-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"Sailing vessel's passenger fell onto another passenger, breaking their foot.";"Sailing vessel's passenger sustained a foot injury whilst the vessel was rolling. The vessel anchored and a lifeboat transferred the injured individual to the nearest port for further medical assistance. There were two passengers sitting on the bottom step of the companion way inside the boat, eating lunch, when the boat lurched slightly causing one of the passengers to slide across the step and land on the foot of the injured passenger. The passenger's foot was swollen and x-rays showed a fracture on the top of their foot. ";"UK";"United Kingdom";"Wales";51.618050;-4.897783;;;;"8b8af9e9-68e3-ed11-8846-002248c878ca";"Less Serious";"UNITED KINGDOM";"Small Commercial (under 100gt, excl. FVs)";;"Recreational craft";"Sailboat (aux. motor)";;;;True;;0.00;20.00;41.00;"Wood";"2020";0;0;0;0;0;1;0;1;"No damage";"No";"No";;"No Pollution";"3";"Mid-water";"n/a";"Ship";"Deck";;;;"UNITED KINGDOM";"Falmouth";;;;;"2024-08-09"
"300d09e5-f7ef-ed11-8848-002248c8714f";"2023-05-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"A single handed sailing vessel crew member suffered a serious head injury during a race.";"A single handed sailing vessel crewmember was taking part in a race in the area of a port when they sustained a serious injury to the back of their head. It is unclear what the cause was but there was a lot of blood. The local life boat service attended and extracted the casualty ashore, who was still conscious at the time. They were taken to the local hospital by ambulance once they were landed ashore. The sailing vessel was brought back undamaged by two other people associated with the race. ";"UK";"United Kingdom";"Wales";53.313600;-4.621500;;"UNITED KINGDOM";"Holyhead";"d09f392f-f8ef-ed11-8848-002248c8714f";"Less Serious";"UNITED KINGDOM";"Recreational (non Commercial)";;"Recreational craft";"Sailboat (sail only)";;;;False;;0.00;0.00;0.00;"GRP";"Unknown";0;0;0;0;1;0;0;1;"No damage";"No";"No";"None";"No Pollution";"1";"Mid-water";"n/a";"Ship";"Deck";"Open deck";;;"UNITED KINGDOM";"Holyhead";;;;;"2024-08-13"
"99f64514-03f0-ed11-8848-002248c8796d";"2023-05-01";"No";2023;"Less Serious";"Grounding / Stranding";"Drift";;False;"A sailing vessel ran aground on a submerged wreck and refloated without damage.";"A sailing vessel with three crew on board ran aground on a submerged wreck. As the tide began to fall, the vessel became hard aground. The local lifeboat service attended to assist one crew member to shore, whilst two crew remained on board to monitor the situation and wait for the tide to rise. The vessel refloated on the rising tide and was undamaged by the incident, it continued on passage. There were no injures or pollution. ";"UK";"United Kingdom";"England";51.403000;1.204233;;;;"d21b7535-04f0-ed11-8848-002248c8796d";"Less Serious";"UNITED KINGDOM";"Recreational (non Commercial)";;"Recreational craft";"Sailboat (aux. motor)";;;;False;;0.00;13.00;0.00;"GRP";"Unknown";0;0;0;0;0;0;0;0;"No damage";"No";"No";"None";"No Pollution";"3";"Mid-water";"n/a";;;;;;"UNITED KINGDOM";"Ramsgate";;;;;"2023-05-12"
"197f2610-9cf0-ed11-8848-002248c8796d";"2023-05-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"Cruise ship's passenger tripped and sustained a shoulder injury";"Cruise ship's passenger stepped up onto the threshold however, the passenger did not lift their foot high enough and missed a step. This resulted in them falling forwards and striking their shoulder. The scene was inspected and no issues were found. ";"UK";;;49.290000;-123.106667;;"CANADA";;"8d1a0876-9cf0-ed11-8848-002248c8796d";"Less Serious";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"500gt or more";"Passenger ship";"Only passenger";"International";;;True;;0.00;290.00;110000.00;"Steel";"2004";0;0;0;0;0;1;0;1;"No damage";"No";"No";;"No Pollution";"1056";"Anchored or alongside";"No";"Accommodation";"Other";;;;"CANADA";;;;;;"2024-08-09"
"d2844545-e1f3-ed11-8848-002248c8796d";"2023-05-01";"No";2023;"Marine Incident";"Loss Of Control";"Loss Of Propulsion Power";;False;"Oil tanker's main engine failed which resulted in a full blackout.";"Crude oil tanker had a pilot on board as it was about to berth. The vessels alarm started to sound on the bridge followed by a black smoke emitting from the funnel. Pilot was informed that the vessel suffered a failure in the main engine which was shortly followed by a full blackout. 4 tugs assisted in order to position the vessel. The vessel was monitored throughout and power to the winches was restored after a couple of hours.  ";"UK";"United Kingdom";"England";51.431500;0.716800;;;;"bfd50095-e1f3-ed11-8848-002248c8796d";"Marine Incident";"MARSHALL ISLANDS";"Merchant Vessel >= 100gt";"500gt or more";"Cargo ship";"Liquid Cargo";"Oil tanker";"Crude oil";;True;;0.00;220.00;42000.00;"Steel";"2006";0;0;0;0;0;0;0;0;"No damage";"No";"No";;"No Pollution";"24";"Arrival";"Yes";;;;;;"SPAIN";;;;;;"2024-08-14"
"6ebbf86d-c2fb-ed11-8f6d-002248c8796d";"2023-05-01";"No";2023;"Marine Incident";"Damage / Loss Of Equipment";;;False;"Bulk carrier's pilot ladder not rigged per SOLAS regulations.";"Bulk carrier's pilot ladder not rigged per SOLAS regulations. The ladder was shackled to the deck and not backed up. Accommodation ladder had no inboard station and all the gear was in poor condition.";"UK";"United Kingdom";"England";53.453700;-3.024800;;"UNITED KINGDOM";"Liverpool";"4df69dd8-c3fb-ed11-8f6d-002248c8796d";"Marine Incident";"MALTA";"Merchant Vessel >= 100gt";"500gt or more";"Cargo ship";"Solid Cargo";"Bulk Carrier";;;True;;180.00;180.00;31000.00;"Steel";"2010";0;0;0;0;0;0;0;0;"No damage";"No";"No";;"No Pollution";;"Unknown";"Yes";"Ship";"Stairs/ladders";;;;"UNITED KINGDOM";"Liverpool";;;;;"2024-08-09"
"a530b8ff-c6fe-ed11-8f6c-002248c8714f";"2023-05-01";"No";2023;"Very Serious";"Accident to person(s)";;;False;"Sailing yacht crewmember presumed deceased after falling overboard during a race.";"Sailing yacht crewmember presumed deceased after falling overboard during a race.";"UK";"France";;49.662000;-0.158300;;;;"1cb88b41-c7fe-ed11-8f6c-002248c8714f";"Very Serious";"UNITED KINGDOM";"Recreational (non Commercial)";;"Recreational craft";"Sailboat (aux. motor)";;;;False;;0.00;8.80;9.90;"Unknown";"Unknown";1;0;0;1;0;0;0;0;"No damage";"No";"No";"None";"No Pollution";;"Mid-water";"n/a";"Ship";"Unknown";;;;"Unknown";;;;;;"2024-08-15"
"77890c44-ff1b-ee11-8f6d-002248c87a4c";"2023-07-01";"No";2023;"Very Serious";"Grounding / Stranding";"Drift";;False;"A sailing yacht ran aground on rocks and capsized.";"A sailing vessel with two crewmembers on board was sailing close to the coast when they lost control and began to get dangerously close to the shore. They attempted to halt the vessel's approach towards the rocks by lowering the sail and deploying the vessel's anchors but this was ineffective. The vessel ran aground on the rocks. The crew were rescued and were not injured. The vessel was abandoned and the waves caused the vessel to become severely damaged, separating the keel from the hull and the hull eventually broke into two parts. The debris was recovered by shore side services at low tide using shore side vehicles. ";"UK";"United Kingdom";"England";50.573500;-4.924700;;;;"357fdf2c-001c-ee11-8f6d-002248c87a4c";"Very Serious";"UNITED KINGDOM";"Recreational (non Commercial)";;"Recreational craft";"Sailboat (aux. motor)";;;;False;;0.00;7.60;0.00;"GRP";"Unknown";0;0;0;0;0;0;0;0;"Loss of ship -> Constructive loss";"No";"Yes";"The boat sustained significant damage, the keel was detatched, there were holes in the aft part of the hull and the boat broke into two parts. ";"Debris";"2";"Mid-water";"No";;;;;;"UNITED KINGDOM";"Padstow";;;;;"2023-07-06"
"1743de17-eb3c-ee11-bdf4-002248c87a3c";"2023-08-01";"No";2023;"Less Serious";"Accident to person(s)";;;False;"A cruise ship crewmember twisted their foot resulting in a fracture.";"A cruise ship crew member was walking through the restaurant area when they took a miss-step and twisted their right foot resulting in a fracture. The crew member was carrying a light tray of empty sugar bowls and they twisted their foot at an 'abnormal' angle. The crew member had been working for approximately 5 hours before the incident and was only 10 minutes from the end of their shift. They had not ha d a full day off 'for some time', but had been given lunch times off.  This was the crew member's first contract with the company and was 2 weeks away from the end of their contract. The area was inspected and there were no defects or damages that contributed to the incident and the IP reported that the movement of the vessel and fatigue were not factors in the incident. ";"UK";;;37.385000;-0.693333;;;;"376b1560-eb3c-ee11-bdf4-002248c87a3c";"Less Serious";"UNITED KINGDOM";"Merchant Vessel >= 100gt";"500gt or more";"Passenger ship";"Only passenger";"International";;;True;;320.00;340.00;180000.00;"Steel";"2022";0;0;0;0;1;0;0;1;"No damage";"No";"No";"None";"No Pollution";"1682";"Mid-water";"No";"Accommodation";"Restaurant/Bar";;;;"SPAIN";;;;;;"2024-08-09"
"a607e36d-d5c1-ee11-9079-002248c87217";"2024-01-01";"No";2024;"Marine Incident";"Damage / Loss Of Equipment";;;False;"General cargo's pilot ladder did not conform to SOLAS regulations";"General cargo ship's pilot ladder did not conform to SOLAS regulations. On advice of previous port shackles to eyebolts removed but secured by rope with insufficient breaking strain. ";"UK";"United Kingdom";"England";50.334800;-4.634300;"NA";"UNITED KINGDOM";"Fowey";"f387f3d3-d5c1-ee11-9079-002248c87217";"Marine Incident";"SAINT VINCENT AND THE GRENADINES";"Merchant Vessel >= 100gt";"500gt or more";"Cargo ship";"Solid Cargo";"General Cargo";;;True;;0.00;88.00;1900.00;"Steel";"1996";0;0;0;0;0;0;0;0;"No damage";"No";"No";"NA";"No Pollution";;"Arrival";"Yes";"Ship";"Unknown";;;;"Unknown";;;;;;"2024-06-07"
"ef704aa7-6a2d-ef11-840a-6045bd0b033c";"2024-06-01";"No";2024;"Marine Incident";"Damage / Loss Of Equipment";;;False;"Cargo vessel's pilot ladder did not conform to SOLAS regulations";"A cargo vessel's pilot ladder was not rigged to SOLAS regulations. Pilot ladder in poor condition and secured with shackles. The correct arrangement has been explained and leaflet handed over to the crew. Master confirmed that the ladder will be replaced and ladder securing changed before disembarkation from the vessel.";"UK";"United Kingdom";"England";51.490500;0.799700;"NA";;;"eb3d5b98-6b2d-ef11-840a-6045bd0b033c";"Marine Incident";"MALTA";"Merchant Vessel >= 100gt";"500gt or more";"Cargo ship";"Solid Cargo";"Ro-Ro Cargo";;;True;;190.00;210.00;56000.00;"Steel";"1999";0;0;0;0;0;0;0;0;"No damage";"No";"No";"NA";"NA";;"Arrival";"Yes";"Ship";"Unknown";;;;"Unknown";;;;;;"2024-06-18"
"27428e27-e532-ef11-8e4e-6045bd0b05c8";"2024-06-01";"No";2024;"Less Serious";"Grounding / Stranding";"Power";;False;"See MAIB investigation report, when available";"See MAIB investigation report, when available";"UK";"United Kingdom";"England";52.694700;0.155283;"NA";;;"43db5fec-e532-ef11-8e4e-6045bd0b05c8";"Less Serious";"SAINT KITTS AND NEVIS";"Merchant Vessel >= 100gt";"500gt or more";"Cargo ship";"Solid Cargo";"General Cargo";;;True;;0.00;79.00;1900.00;"Steel";"2002";0;0;0;0;0;0;0;0;"No damage";"No";"No";"See MAIB investigation report, when available";"NA";"6";"Arrival";"Yes";"Ship";"Unknown";;;;"LATVIA";;;;;;"2024-08-20"
