SN_WAR,TEXT_REMARK
-12163,"10/16/05-POOH RIH to test BOP and csg, begintesting BOP
10/17/05-Finished testing BOP A-250/3500 R-250/8500, tested csg to 4981.  RIH with 10.625"" X 12.25"" BHA
10/18/05-Drlg float and shoe and shoe track to 24,017', circ hole
10/19/05-POOH, RIH and set storm packer, set at 8,710'
10/20/05-Unhlatch LMRP and recovered riser
10/21/05-Finished pulling riser, waiting on Hurricane Wilma
10/22/05-Waiting on Hurricane Wilma
"
-12509,"10/23/05-Waiting on hurricane Wilma
10/24/05-Waiting on hurricane Wilma
10/25/05-Rig up and run LMRP and riser
10/26/05-Finished runnign riser,landed BOP
10/27/05-RIH displaced well to SBM, recovered storm packer, POOH
10/28/05-RIH with BHA, functioned tested BOP, washed and reamed rat hole, pipe stuck at 24,123'
10/29/05-Jarred pipe free, washed and reamed to 24,123' drill 10' new formation to 24,133' LOT mw=14.6 ppg @ 1040 psi, EMW=15.4 ppg.  Circ bottoms up, POOH"
-13896,"11/20/05-Cored from 27,066' to 27,217' POOH
11/21/05-Finished POOH made up 10.625"" BHA
11/22/05-RIH drilled to 27,450'
11/23/05-Drlg to 28,203'
11/24/05-Drlg to 28,565' MD 26,575' TVD
11/25/05-Backreamed to shoe, CCM
11/26/05-POOH RIH with test plug"
-14242,"11/27/05-Begin BOP test, Tested A 250/3500 R-250/8500 held for 1 minute, pressure fell off, test string parted, RIH with overshot, POOH with fish
11/28/05-RIH with 11.875"" and 13.625"" caliper
11/29/05-Finished running casing caliper, POOH RIH tested BOPs A-250/3500 R 250/8500, POOH
11/30/05-RIH wire wireline log CMR-HGNS-Density logged from 24,555'to 23,988'  POOH.  RIH with OBMI 25,985' to 23,988', POOH
12/01/05-RIH to TD, circulated bottoms up, backreamed out of hole.
12/02/05-Circulate at 11.875"" casing shoe, POOH
12/03/05-RIH with triple combo and CMR logged 28,560' to 24,000', logged with high resolution triple combo and CMR from 25,565' to 26,300', logged with normal resolution triple combo and no CMR from 26,300' to 24,000', POOH.  RIH with MDTs"
-15407,"Ongoing MWD/LWD and/or Mudlog Operations 12/18/05-RIH with AIT-LDS-CNL-CMR-NGT logged from 23,988' to 28,587', POOH
12/19/05-RIH with sidewall coring string to 28,300' attempted to cut 4 cores, first went as planned further attempts were unsuccessful, POOH
12/20/05-RIH for wiper trip to TD, circ and conditioned mud, POOH
12/21/05-RIH with MRCT cut 8 cores from 26,301' to 26,544', POOH
12/22/05-RIH with MRCT started coring at 26,986' had problem with coring motor, POOH  RIH with MRCT attempted to cut cores at 26,944' unable to operate tool, POOH
12/23/05-RIH set 562 cu ft cmt plug from 27,660' to 28,560'
12/24/05- Set 573 cu ft cmt plug from 26,760' to 27,660', Pull drill pipe out of the balanced cement plug to 26,760¿ (above top of cement) Pump cement plug #3 from 25,860¿ to 26,760¿ with 629 cu ft of 16.8 ppg Cement, POOH to 25,200'"
-15702,"12/25/05-POOH, RIH with 11.875"" EZSV
12/26/05-Set EZSV at 23,674' tested to 2000 psi.  Mixed and pmp 352 cu ft H, sqz 337 cu ft below EZSV, sqz shoe, casing test failed.
12/27/05-POOH
12/28/05-RIH with 13.626"" EZSV
12/29/05-Set EZSV at 20,770'
12/30/05-Sqz 281 cu ft H below EZSV, placed 140 cu ft on top of EZSV.  Mix and pmp 561 cu ft H, set cmt plug from 9,150' to 8,488
12/31/05-Displacing riser begin preparing to pull riser
"
-16042,"01/01/06-Pulled riser, landed and secured BOP, cleaning pits and preparing rig move"
-11910,"Last operation for WR206 #2 ST00 BP00
10/09/05-RIH tagged window at 21,217' tagged bottom at 21,415', underreamed to 21,262'
First operation for WR250 #2 ST01 BP00
10/09/05-Drlg 12 1/4"" X 14 1/2"" hole to 21,962'
10/10/05-Drlg 12 1/4"" X 14 1/2"" hole to 22,548'
10/11/05-Drlg 12 1/4"" X 14 1/2"" hole to 22,794'
10/12/05-Drlg 12 1/4"" X 14 1/2"" hole to 23,576'
10/13/05-Drlg 12 1/4"" X 14 1/2"" hole to 24,123' MD/23,671'TVD, cond mud, POOH
10/14/05-Begin running 11.875"" 71.8 # Q125 liner
10/15/05-Ran 11.875"" liner to 23,988' MD/23,588' TVD (TOL @ 21,015'), cmt with 769 cu ft H, set ZXP liner top packer."
-12960,"10/30/05-Tested BOP A-250/3500 R-250/8500
10/31/05-POOH with test assembly, RIH with 10.625"" X 12.25"" BHA drlg to 24,225'
11/01/05-Drlg to 24,709'
11/02/05-Drlg to 25,064'
11/03/05-Drlg to 25,672'
11/04/05-Drlg to 26,009'
11/05/05-Drlg to 26,105'"
-13222,"11/06/05-Wiper trip to shoe.  RIH, circ hole clean, POOH
11/07/05-Change BHA RIH
11/08/05-Drlg 10.625"" hole to 26,411'
11/09/05-POOH, RIH drill to 26,450'
11/10/05-Drill to 27,017'
11/11/05-POOH RIH tested BOP's A250/3500 R-250/8500
11/12/05-POOH, RIH with Schlumberger wireline triple combo."
-15004,"12/11/05-Circ bottoms up, POOH
12/12/05-RIH with MDT, took pressures from 28,298' to 28,476', took sample at 28,232'
12/13/05-took sample at 27,534', 27,618', 27,760'
12/14/05-took sample at 27,055', 26,478', POOH RIH with DOBMI-DSI, logged behind pipe from 23,988' to 20,900', POOH
12/15/05-RIH with DOBMI-DSI, logged from 23,988' to 21,015', POOH.  RIH with RTTS pkr
12/16/05-Tested BSR's, function tested BOPs, RIH for wiper trip
12/17/05-Circ MDT samples, increased mud weight to 14.7 ppg, POOH"
-375986,"12/19/2021  POOH.  TIH to 8592'.  Washed down through top & bottom perfs.  CBU.  POOH to 8651'.  

12/20/2021  Continued washing pers. from 8684' to 8927'.  TIH to 8930'.  CBU.  Pumped 148 bbls 16.4 ppg cement slurry down drill string, followed by 20 bbls 10.5 ppg chemical spacer.  Opened upper annular & displaced cement with 96.7 bbls of 10.5 ppg SBM.  Began pumping cement while pulling out of hole to 8592'.  Stopped pumping & POOH.  Cement in place.  Cement volume:  36.56 ton = 778 sks, Class H, 94.0 lb/sk, density: 16.4 ppg. Slurry volume: 830 ft3 = 148.00 bbls, yield 1.067 ft2/sk. ETOC at 8671' MD/TVD. Circulated hole.  Flow checked, static.  Function tested BOP.  POOH to 2324'.  Function tested upper & lower BSR.

12/21/2021  POOH.  RIH with cleanout assembly to 7805'.  Function tested UBSR/LBSR. Monitored well, static.  Continued in hole & washed from 8445' to 8651'.  Rotated & reciprocated from 8560' to 8590'.  CBU.  POOH to 7933'.  Pressure tested cement plug to 1000 psi for 15 min.  POOH.  TIH with CIBP to 2476'.  

12/22/2021  Set CIBP at 8641'.  Pressure tested CIBP to 1000 psi for 15 min., verified with Aquila software.  TIH with 13.375"" RTTS to 8591' bit depth, 8442' RTTS depth.  Tested RTTS to 1000 psi for 5 min., bled pressure to 275 psi.  Applied 500 psi above closed IBOP.  Achieved 1080 psi.  Closed test rams.  Bled off drill string pressure to 100 psi.  Monitored pressure for 30 min, with no pressure change observed.  Confirmed good test.  Applied 1080 psi to drill string.  Equalized pressure across closed IBOP.  Opened test ram & upper annular observed free travel.  Displaced from 10.5 ppg SBM to SW.

12/23/2021  Continued circulating SW.  POOH to 8252'.  Circulated.  Washed BOP.  POOH.  Proper displacement observed.  POOH with BOP on marine riser.  Trip in open hole with mule shoe assembly.  

12/24/2021  Continued in open hole to 8641'.  Set cement plug from 8641' to 8322'.  47.5 bbls of 16.4 ppg Class H cement at 1.08 ft3/sk (247 sks, 266 ft3).  Spot 230 bbls of SW.  POOH.  Continued to POOH with marine riser to 3545'.

12/25/2021  Continued to POOH with marine riser.  Final report."
-3914,"02/27: POOH, L/D RT, P/U NEW BHA, P/U 5"" DP, RIH w/ 5-1/2"" DP, TEST BOPs ON 5"" DP
02/28: TEST BOPs, DRILL FLOAT & CMT, TOOK SPRs
03/01: DRL CMT, DRL t/ 26165' MD, CIRC & COND, PERFORM FIT, DRL t/ 26454' MD
03/02: DRL t/ 26733' MD, RAISE MUD WT t/ 14.3 PPG, CIRC, DRL t/ 26758' MD, TROUBLESHOOT MWD & RE-LOG, DRL t/ 26800' MD, CBU, POOH, P/U CORE BARRELS OFFLINE
03/03: POOH, PUMPED SLUG, POOH, INSTALLED SOFTWARE FOR DRAWWORKS, POOH, L/D BHA
03/04: RIH w/ 8.5"" CORING BHA, FILL DP EVERY 30 STNADS, WASH TO BOTTOM, DROP BALL, CORE
03/05: CORING, POOH, WORKED THROUGH TIGHT SPOTS, BACKREAMED t/ 9-5/8"" CSG SHOE"
-3919,"03/06: POOH, CBU, FLOWCHECK, PUMP SLUG, POOH, SAFETY DRILLS, POOH, FUNCTION TEST STACK & DIVERTER, POOH
03/07: POOH w/ CORES, SLIP & CUT DRILL LINE, P/U 8.5"" BHA, RIH w/ SAME
03/08: RIH, WASH & REAM, RE-LOG w/ MWD, DRL t/ 27495' MD
03/09: DRL & CIRC t/ 28305' MD
03/10: DRL t/ 28639' MD
03/11: POOH, P/U BLIND SHEAR TEST ASSY, TEST BOPs
03/12: TESTING BOPs, TIH, CIRC, POOH, R/U t/ LOG"
-3930,"03/13: WASHED & REAMED, POOH
03/14: POH, L/D BHA, RIH w/ LOGGING TOOLS
03/15: POOH, P/U TRIPLE COMBO, RIH & LOG, POOH, L/D TRIPLE COMBO, P/U MDT TOOLS, RIH
03/16: RIH w/ MDT, REPAIR W/L UNIT, POOH DUE TO WEATHER, RIH t/ 26719' MD WHILE TAKING PRESSURES, LOG, POOH t/ TROUBLESHOOT W/L EQUIP, RIH t/ 27074' WLM, LOG
NOTE: VERBAL APPROVAL FROM JOHN McCARROL (MMS), PROPOSED TA
03/17: LOG w/ MDT, TROUBLESHOOT PROBLEM w/ TOOLS MALFUNCTIONING, POOH, L/D ROTARY CORING ASSY
03/18: L/D W/L TOOLS, R/D & REMOVE QUAD CABLE, INSTALL US-48 CABLE, RIH w/ MDT, LOG, TAKE PRESSURES, TAKE SAMPLES w/ MDT
03/19: TAKE SAMPLES w/ MDT, CHANGE DRILL LINE SPOOL, POOH w/ MDT, L/D MDT TOOLS, RE-DRESS MDT, P/U MDT STRING"
