Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0000124","1","DEVAL","DEVAL: ","Türkiye","","1989-04-10 00:00","","Marine incident","","","","0",""
"C0000125","1","KOBA","KOBA: ","Mexico","","1989-04-10 00:00","","Marine incident","","","","0",""
"C0000123","1","SUNDAY BAY","SUNDAY BAY: ","Bahamas","","1989-04-08 00:00","","Marine incident","","","","0",""
"C0000122","1","SECIL JAPAN","SECIL JAPAN: ","Panama","","1989-03-12 00:00","","Marine incident","","","","0",""
"C0000121","1","DIAMOND BEAR","DIAMOND BEAR: ","Philippines","","1989-03-10 00:00","","Marine incident","","","","0",""
"C0000120","1","LORENZO CONTAINER V","LORENZO CONTAINER V: ","Philippines","","1989-03-09 00:00","","Marine incident","","","","0",""
"C0000119","1","SHORYU MARU","SHORYU MARU: ","Japan","","1989-03-08 00:00","","Marine incident","","","","0",""
"C0000118","1","SWALLOW","SWALLOW: ","Japan","","1989-02-27 00:00","","Marine incident","","","","0",""
"C0000117","1","RIVER GURARA","RIVER GURARA: ","Nigeria","","1989-02-26 00:00","","Marine incident","","","","0",""
"C0000116","1","SECIL ANGOLA","SECIL ANGOLA: ","Panama","","1989-02-22 00:00","","Marine incident","","","","0",""
"C0000562","1","YARDARM KNOT","YARDARM KNOT: ","United States","","1989-02-19 00:00","","Marine incident","","","","0",""
"C0000115","1","JAG DOOT","JAG DOOT: ","India","","1989-02-16 00:00","","Marine incident","","","","0",""
"C0007242","1","MAASSLUIS","MAASSLUIS: ","Unknown","","1989-02-14 00:00","","Marine incident","",".","","1","Unknown"
"C0000114","1","MAR DORADA","MAR DORADA: ","Venezuela (Bolivarian Republic of)","","1989-02-10 00:00","","Marine incident","","","","0",""
"C0000113","1","CATHERINE ROSE","CATHERINE ROSE: ","Panama","","1989-01-26 00:00","","Marine incident","","","","0",""
"C0000112","1","RAINFROST","RAINFROST: ","Panama","","1989-01-11 00:00","","Marine incident","","","","0",""
"C0000111","1","LAVIA","LAVIA: ","Panama","","1989-01-07 00:00","","Marine incident","","","","0",""
"C0000110","1","KUMANOVO","KUMANOVO: ","Yugoslavia [historical]","","1989-01-05 00:00","","Marine incident","","","","0",""
"C0000109","1","ROCKY","ROCKY: ","Netherlands Antilles (Netherlands) [historical]","","1988-12-26 00:00","","Marine incident","","","","0",""
"C0000511","1","BONI","BONI: ","Cyprus","","1988-12-26 00:00","","Marine incident","","","","0",""
"C0000108","1","DONA CONCHITA","DONA CONCHITA: ","Philippines","","1988-12-23 00:00","","Marine incident","","","","0",""
"C0000106","1","SEA WOLF 1","SEA WOLF 1: ","Honduras","","1988-12-16 00:00","","Marine incident","","","","0",""
"C0000107","1","MEGA TAURUS","MEGA TAURUS: ","Panama","","1988-12-16 00:00","","Marine incident","","","","0",""
"C0000533","1","SELINA","SELINA: ","Panama","","1988-12-11 00:00","","Marine incident","","","","0",""
"C0000104","1","AOYAGI MARU","AOYAGI MARU: ","Japan","","1988-12-10 00:00","","Marine incident","","","","0",""
"C0000105","1","CAMFAIR","CAMFAIR: ","Philippines","","1988-12-10 00:00","","Marine incident","","","","0",""
"C0000103","1","FOUR STAR I","FOUR STAR I: ","Sri Lanka","","1988-12-09 00:00","","Marine incident","","","","0",""
"C0000102","1","KAPTAN SAIT OZEGE","KAPTAN SAIT OZEGE: ","Türkiye","","1988-12-02 00:00","","Marine incident","","","","0",""
"C0000574","1","SADU","SADU: ","Romania","","1988-12-02 00:00","","Marine incident","","","","0",""
"C0000549","1","ABIDIN DAVER","ABIDIN DAVER: ","Türkiye","","1988-11-29 00:00","","Marine incident","","","","0",""
"C0000101","1","FRIO ATLANTIC","FRIO ATLANTIC: ","Panama","","1988-11-27 00:00","","Marine incident","","","","0",""
"C0000100","1","DINOK","DINOK: ","Panama","","1988-11-25 00:00","","Marine incident","","","","0",""
"C0000099","1","ATLANTIC REEFER","ATLANTIC REEFER: ","Honduras","","1988-11-22 00:00","","Marine incident","","","","0",""
"C0000097","1","BILKUR","BILKUR: ","Malta","","1988-11-19 00:00","","Marine incident","","","","0",""
"C0000098","1","LA VIE EN ROSE","LA VIE EN ROSE: ","Panama","","1988-11-19 00:00","","Marine incident","","","","0",""
"C0000096","1","ELPINA III","ELPINA III: ","Indonesia","","1988-11-14 00:00","","Marine incident","","","","0",""
"C0000095","1","GLORY DUCK","GLORY DUCK: ","Republic of Korea","","1988-11-09 00:00","","Marine incident","","","","0",""
"C0000094","1","MARIA PILAR","MARIA PILAR: ","Panama","","1988-10-30 00:00","","Marine incident","","","","0",""
"C0000092","1","DONA MARILYN","DONA MARILYN: ","Philippines","","1988-10-24 00:00","","Marine incident","","","","0",""
"C0000091","1","EVPO AGSPYR","EVPO AGSPYR: ","Panama","","1988-10-21 00:00","","Marine incident","","","","0",""
"C0007638","1","FUNCHAL","FUNCHAL: ","Unknown","","1988-10-16 00:00","","Marine casualty","","Macau  outer Harbour Access Channel","","0",""
"C0000090","1","DAE YANG","DAE YANG: ","Republic of Korea","","1988-09-29 00:00","","Marine incident","","","","0",""
"C0000089","1","EVPO AGFREM","EVPO AGFREM: ","Panama","","1988-09-24 00:00","","Marine incident","","","","0",""
"C0000088","1","CARONI","CARONI: ","Venezuela (Bolivarian Republic of)","","1988-09-11 00:00","","Marine incident","","","","0",""
"C0000534","1","LETA","LETA: ","Panama","","1988-09-04 00:00","","Marine incident","","","","0",""
"C0000573","1","FATIMA","FATIMA: ","United Arab Emirates","","1988-08-03 00:00","","Marine incident","","","","0",""
"C0000087","1","PACIFIC ROSE","PACIFIC ROSE: ","Panama","","1988-07-21 00:00","","Marine incident","","","","0",""
"C0000086","1","SULONG","SULONG: ","Malaysia","","1988-07-10 00:00","","Marine incident","","","","0",""
"C0000084","1","JANG YUNG","JANG YUNG: ","Republic of Korea","","1988-07-03 00:00","","Marine incident","","","","0",""
"C0000085","1","SINGA SEA","SINGA SEA: ","Philippines","","1988-07-03 00:00","","Marine incident","","","","0",""
"C0000572","1","MIRENE","MIRENE: ","Panama","","1988-06-29 00:00","","Marine incident","","","","0",""
"C0000083","1","WALIAN","WALIAN: ","Indonesia","","1988-06-25 00:00","","Marine incident","","","","0",""
"C0007656","1","ALGOWEST (IMO 8016641)","ALGOWEST (IMO 8016641): ","Canada","","1988-06-15 06:05","","Very serious marine casualty","","below the Les Escoumins Pilotage Station","","1","Canada"
"C0000082","1","EASTERN ORCHID","EASTERN ORCHID: ","Panama","","1988-06-08 00:00","","Marine incident","","","","0",""
"C0000514","1","MATTANCHERY","MATTANCHERY: ","India","","1988-05-25 00:00","","Marine incident","","","","0",""
"C0000081","1","KOREAN STAR","KOREAN STAR: ","Panama","","1988-05-20 00:00","","Marine incident","","","","0",""
"C0000080","1","SWIFTCO ANGEL","SWIFTCO ANGEL: ","Honduras","","1988-05-12 00:00","","Marine incident","","","","0",""
"C0000079","1","REIJIN","REIJIN: ","Panama","","1988-04-26 00:00","","Marine incident","","","","0",""
"C0000078","1","SANDAKAN","SANDAKAN: ","Panama","","1988-04-18 00:00","","Marine incident","","","","0",""
"C0000073","1","QUEEN","QUEEN: ","Panama","","1988-04-07 00:00","","Marine incident","","","","0",""
"C0000071","1","MYS BOBROVA","MYS BOBROVA: ","Trust Territory of the Pacific Islands [historical]","","1988-04-03 00:00","","Marine incident","","","","0",""
"C0000072","1","WESTERN HOPE","WESTERN HOPE: ","Republic of Korea","","1988-04-03 00:00","","Marine incident","","","","0",""
"C0000070","1","CAPTAIN TRADER","CAPTAIN TRADER: ","Philippines","","1988-03-22 00:00","","Marine incident","","","","0",""
"C0000542","1","AMIRA","AMIRA: ","Sri Lanka","","1988-03-08 00:00","","Marine incident","","","","0",""
"C0000069","1","EASTERN LOTUS","EASTERN LOTUS: ","Republic of Korea","","1988-03-07 00:00","","Marine incident","","","","0",""
"C0000546","1","GEMLIK","GEMLIK: ","Türkiye","","1988-02-22 00:00","","Marine incident","","","","0",""
"C0000077","1","STAR KIM","STAR KIM: ","Panama","","1988-02-19 00:00","","Marine incident","","","","0",""
"C0007647","1","PROSPER WORLD","PROSPER WORLD: ","Liberia","","1988-02-17 13:22","","Marine casualty","25° 15.00' N 55° 03.00' E","Off Dubai, U.A.E","","1","Liberia"
"C0000076","1","AGIA PARASKEVI","AGIA PARASKEVI: ","Panama","","1988-02-16 00:00","","Marine incident","","","","0",""
"C0000075","1","PHILIPPINE ROXAS","PHILIPPINE ROXAS: ","Philippines","","1988-02-12 00:00","","Marine incident","","","","0",""
"C0000074","1","CLINKER TRADER","CLINKER TRADER: ","Malaysia","","1988-02-03 00:00","","Marine incident","","","","0",""
"C0000068","1","THOMAS WILSON","THOMAS WILSON: ","United States","","1987-12-30 00:00","","Marine incident","","","","0",""
"C0000571","1","ISLAND QUEEN","ISLAND QUEEN: ","Panama","","1987-12-26 00:00","","Marine incident","","","","0",""
"C0000066","1","ALISHAN","ALISHAN: ","Panama","","1987-12-22 00:00","","Marine incident","","","","0",""
"C0000067","1","GOLDEN PARK","GOLDEN PARK: ","Panama","","1987-12-22 00:00","","Marine incident","","","","0",""
"C0000065","1","UNISON WEALTH","UNISON WEALTH: ","Panama","","1987-12-21 00:00","","Marine incident","","","","0",""
"C0000063","1","DONA PAZ","DONA PAZ: ","Philippines","","1987-12-20 00:00","","Marine incident","","","","0",""
"C0000064","1","VECTOR","VECTOR: ","Philippines","","1987-12-20 00:00","","Marine incident","","","","0",""
"C0000545","1","ELAZIG","ELAZIG: ","Türkiye","","1987-12-20 00:00","","Marine incident","","","","0",""
"C0000062","1","QAROUH","QAROUH: ","Kuwait","","1987-12-15 00:00","","Marine incident","","","","0",""
"C0000530","1","BALDER CHUANCHON","BALDER CHUANCHON: ","Panama","","1987-12-06 00:00","","Marine incident","","","","0",""
"C0000061","1","CASON","CASON: ","Panama","","1987-12-05 00:00","","Marine incident","","","","0",""
"C0000570","1","MINA","MINA: ","Malta","","1987-12-03 00:00","","Marine incident","","","","0",""
"C0000060","1","KAKAS","KAKAS: ","Indonesia","","1987-11-28 00:00","","Marine incident","","","","0",""
"C0008280","1","GENERAL BONIFACIO","GENERAL BONIFACIO: ","Unknown","","1987-11-20 19:20","","Very serious marine casualty","45° 42.18' N 61° 29.30' W","Baie Saint-Georges","","1","Canada"
"C0000532","1","ANDHIKA WANBHAKTI","ANDHIKA WANBHAKTI: ","Panama","","1987-11-04 00:00","","Marine incident","","","","0",""
"C0000059","1","SANTA MARGARITA DOS","SANTA MARGARITA DOS: ","Venezuela (Bolivarian Republic of)","","1987-11-03 00:00","","Marine incident","","","","0",""
"C0000531","1","QUEEN JANE","QUEEN JANE: ","Panama","","1987-10-23 00:00","","Marine incident","","","","0",""
"C0008275","1","GEORGE A. SLOAN","GEORGE A. SLOAN: ","United States","","1987-10-19 08:10","","Marine casualty","","In the Amherstburg Channel, Detroit River","","1","Canada"
"C0000058","1","KARIN","KARIN: ","Panama","","1987-10-13 00:00","","Marine incident","","","","0",""
"C0000537","1","SEMENIC","SEMENIC: ","Romania","","1987-10-07 00:00","","Marine incident","","","","0",""
"C0000057","1","RIGEL","RIGEL: ","Malta","","1987-09-21 00:00","","Marine incident","","","","0",""
"C0000056","1","SONGHUONG","SONGHUONG: ","Viet Nam","","1987-08-30 00:00","","Marine incident","","","","0",""
"C0000541","1","TINA","TINA: ","Sri Lanka","","1987-08-26 00:00","","Marine incident","","","","0",""
"C0000557","1","VENCEMOS IV","VENCEMOS IV: ","Venezuela (Bolivarian Republic of)","","1987-08-23 00:00","","Marine incident","","","","0",""
"C0000054","1","DONA","DONA: ","Panama","","1987-07-15 00:00","","Marine incident","","","","0",""
"C0000055","1","WARSAK","WARSAK: ","Pakistan","","1987-07-15 00:00","","Marine incident","","","","0",""
"C0000053","1","AVA MINTI","AVA MINTI: ","India","","1987-07-08 00:00","","Marine incident","","","","0",""
"C0000052","1","ELITOR","ELITOR: ","Panama","","1987-07-06 00:00","","Marine incident","","","","0",""
"C0000051","1","DAYSPRING","DAYSPRING: ","Panama","","1987-06-23 00:00","","Marine incident","","","","0",""
"C0000566","1","VELI VAROS","VELI VAROS: ","Yugoslavia [historical]","","1987-06-23 00:00","","Marine incident","","","","0",""
"C0000050","1","MORSKAYA II","MORSKAYA II: ","Trust Territory of the Pacific Islands [historical]","","1987-06-17 00:00","","Marine incident","","","","0",""
"C0000049","1","HARUNA MARU","HARUNA MARU: ","Japan","","1987-06-13 00:00","","Marine incident","","","","0",""
"C0000048","1","BORNION TIGA","BORNION TIGA: ","Panama","","1987-06-12 00:00","","Marine incident","","","","0",""
"C0000047","1","PACIFIC JAYA","PACIFIC JAYA: ","Malaysia","","1987-06-08 00:00","","Marine incident","","","","0",""
"C0007657","1","OLAJUMOKE","OLAJUMOKE: ","Nigeria","","1987-05-31 00:00","","Very serious marine casualty","","Esravos Bar, Bendel State","","1","Nigeria"
"C0000046","1","HEL","HEL: ","Poland","","1987-05-30 00:00","","Marine incident","","","","0",""
"C0000045","1","LAGO FORTUNE","LAGO FORTUNE: ","Honduras","","1987-05-24 00:00","","Marine incident","","","","0",""
"C0000044","1","LUCKY VIRGIN","LUCKY VIRGIN: ","Panama","","1987-05-16 00:00","","Marine incident","","","","0",""
"C0000043","1","HER LOONG","HER LOONG: ","Panama","","1987-05-12 00:00","","Marine incident","","","","0",""
"C0000041","1","STEFAN E","STEFAN E: ","Panama","","1987-03-23 00:00","","Marine incident","","","","0",""
"C0000040","1","ALL ALASKAN","ALL ALASKAN: ","United States","","1987-03-20 00:00","","Marine incident","","","","0",""
"C0008155","1","ENTERPRISE","ENTERPRISE: ","Unknown","","1987-03-11 04:11","","Very serious marine casualty","22° 24.00' N 117° 45.00' E","West of Kaohsiung, china","","1","Liberia"
"C0000518","1","SANDYMARI","SANDYMARI: ","Lebanon","","1987-03-11 00:00","","Marine incident","","","","0",""
"C0007203","1","HERALD OF FREE ENTERPRISE","HERALD OF FREE ENTERPRISE: ","Unknown","","1987-03-06 18:30","","Very serious marine casualty","51° 22.28' N 3° 11.26' E","12 berth in the inner harbour at  Zeebruge ","","1","Unknown"
"C0000039","1","FELICITY NO.2","FELICITY NO.2: ","Panama","","1987-02-26 00:00","","Marine incident","","","","0",""
"C0000038","1","BALSA 24","BALSA 24: ","Philippines","","1987-02-24 00:00","","Marine incident","","","","0",""
"C0007648","2","EVER LINKING, QUATSINO SOUND","EVER LINKING: , QUATSINO SOUND: ","Unknown, Unknown",", ","1987-02-14 08:31","","Marine casualty","21° 10.30' N 121° 43.80' E","In Keelung Roads, ROC","","1","Liberia"
"C0000037","1","CAMMING","CAMMING: ","Panama","","1987-02-06 00:00","","Marine incident","","","","0",""
"C0008075","1","FISH-N-FOOL","FISH-N-FOOL: ","United States","","1987-02-05 13:00","","Very serious marine casualty","","Roca Ben, Baja California Norte, Mexico","","1","United States"
"C0000513","1","JHANSI KI RANI","JHANSI KI RANI: ","India","","1987-02-05 00:00","","Marine incident","","","","0",""
"C0000036","1","OLDEN","OLDEN: ","Panama","","1987-02-02 00:00","","Marine incident","","","","0",""
"C0000035","1","HADAR","HADAR: ","Israel","","1987-01-28 00:00","","Marine incident","","","","0",""
"C0008171","1","AUGUST THYSSEN","AUGUST THYSSEN: ","Liberia","","1987-01-25 02:45","","Marine casualty","","Off Flushing, The Netherlands","","1","Liberia"
"C0000034","1","KYTHERA STAR","KYTHERA STAR: ","Malta","","1987-01-17 00:00","","Marine incident","","","","0",""
"C0000032","1","KALIMANTAN","KALIMANTAN: ","Malaysia","","1987-01-13 00:00","","Marine incident","","","","0",""
"C0000033","1","TESTAROSSA","TESTAROSSA: ","Philippines","","1987-01-13 00:00","","Marine incident","","","","0",""
"C0000528","1","TULA","TULA: ","Panama","","1987-01-03 00:00","","Marine incident","","","","0",""
"C0000601","1","YAVUZ SELIM","YAVUZ SELIM: ","Türkiye","","1986-12-31 00:00","","Marine incident","","","","0",""
"C0000031","1","SYNETA","SYNETA: ","Gibraltar (United Kingdom)","","1986-12-25 00:00","","Marine incident","","","","1","United Kingdom"
"C0000030","1","PETROSTAR V","PETROSTAR V: ","Saudi Arabia","","1986-12-17 00:00","","Marine incident","","","","0",""
"C0000560","1","VOYAGER","VOYAGER: ","United States","","1986-12-02 00:00","","Marine incident","","","","0",""
"C0000029","1","EVELYN","EVELYN: ","Panama","","1986-11-24 00:00","","Marine incident","","","","0",""
"C0000028","1","HYMETUS","HYMETUS: ","Lebanon","","1986-11-16 00:00","","Marine incident","","","","0",""
"C0000027","1","TURKMENIYA","TURKMENIYA: ","Trust Territory of the Pacific Islands [historical]","","1986-11-11 00:00","","Marine incident","","","","0",""
"C0000540","1","AMAL","AMAL: ","Saudi Arabia","","1986-11-10 00:00","","Marine incident","","","","0",""
"C0000527","1","SEAHORSE","SEAHORSE: ","Panama","","1986-11-08 00:00","","Marine incident","","","","0",""
"C0000026","1","EMIR MAN","EMIR MAN: ","Panama","","1986-11-05 00:00","","Marine incident","","","","0",""
"C0000556","1","ATAVAMARU","ATAVAMARU: ","Venezuela (Bolivarian Republic of)","","1986-11-04 00:00","","Marine incident","","","","0",""
"C0000515","1","MICHIGAN","MICHIGAN: ","Iran (Islamic Republic of)","","1986-10-30 00:00","","Marine incident","","","","0",""
"C0008079","1","OMI YUKON","OMI YUKON: ","United States","","1986-10-28 10:30","","Very serious marine casualty","","Pacific Ocean, about 1000 miles West of Honolulu, Hawaii","","1","United States"
"C0000561","1","CARIBE ENTERPRISE","CARIBE ENTERPRISE: ","United States","","1986-10-20 00:00","","Marine incident","","","","0",""
"C0000025","1","T.J.T.1","T.J.T.1: ","Thailand","","1986-10-14 00:00","","Marine incident","","","","0",""
"C0000024","1","NICOL","NICOL: ","Cyprus","","1986-09-20 00:00","","Marine incident","","","","0",""
"C0000512","1","MUNKDOK","MUNKDOK: ","Democratic People's Republic of Korea","","1986-09-19 00:00","","Marine incident","","","","0",""
"C0008147","1","ORE.","ORE.: ","Unknown","","1986-09-07 08:08","","Very serious marine casualty","","Off the coast of Morocco","","1","Panama"
"C0000569","1","NIAGA 40","NIAGA 40: ","Indonesia","","1986-09-07 00:00","","Marine incident","","","","0",""
"C0000023","1","ADMIRAL NAKHIMOV","ADMIRAL NAKHIMOV: ","Trust Territory of the Pacific Islands [historical]","","1986-08-31 00:00","","Marine incident","","","","0",""
"C0000538","1","TRITON","TRITON: ","Saint Vincent and the Grenadines","","1986-08-22 00:00","","Marine incident","","","","0",""
"C0000022","1","EAMACO","EAMACO: ","Panama","","1986-08-12 00:00","","Marine incident","","","","0",""
"C0000021","1","TOLGA","TOLGA: ","Algeria","","1986-07-20 00:00","","Marine incident","","","","0",""
"C0000020","1","GERMANIA","GERMANIA: ","Honduras","","1986-07-11 00:00","","Marine incident","","","","0",""
"C0000516","1","SIGAL","SIGAL: ","Israel","","1986-07-03 00:00","","Marine incident","","","","0",""
"C0000568","1","ARNICA","ARNICA: ","Philippines","","1986-06-30 00:00","","Marine incident","","","","0",""
"C0000559","1","WEST 1","WEST 1: ","United States","","1986-06-21 00:00","","Marine incident","","","","0",""
"C0000019","1","DE BAO","DE BAO: ","China","","1986-06-15 00:00","","Marine incident","","","","0",""
"C0000018","1","MONIMBO","MONIMBO: ","Nicaragua","","1986-05-27 00:00","","Marine incident","","","","0",""
"C0000017","1","RAMA","RAMA: ","Lebanon","","1986-05-18 00:00","","Marine incident","","","","0",""
"C0000526","1","MUNA","MUNA: ","Panama","","1986-05-13 00:00","","Marine incident","","","","0",""
"C0008076","1","PRINCE WILLIAM SOUND (IMO 7395349)","PRINCE WILLIAM SOUND (IMO 7395349): ","United States","","1986-05-09 01:15","","Marine casualty","","Near Puerta Vallarta, Mexico","","1","United States"
"C0000016","1","ALEXANDROS F.","ALEXANDROS F.: ","Greece","","1986-05-07 00:00","","Marine incident","","","","0",""
"C0000015","1","RIO CANIMAR","RIO CANIMAR: ","Cuba","","1986-05-05 00:00","","Marine incident","","","","0",""
"C0000548","1","KIMYA","KIMYA: ","Türkiye","","1986-04-30 00:00","","Marine incident","","","","0",""
"C0000014","1","DONA JOSEPHINA","DONA JOSEPHINA: ","Philippines","","1986-04-24 00:00","","Marine incident","","","","0",""
"C0000013","1","ELFWAIHAT","ELFWAIHAT: ","Libya","","1986-04-22 00:00","","Marine incident","","","","0",""
"C0000012","1","ROSAOMAIRA","ROSAOMAIRA: ","Venezuela (Bolivarian Republic of)","","1986-04-16 00:00","","Marine incident","","","","0",""
"C0000011","1","ISLA DE CUBAGUA","ISLA DE CUBAGUA: ","Venezuela (Bolivarian Republic of)","","1986-04-13 00:00","","Marine incident","","","","0",""
"C0000010","1","TASSEER","TASSEER: ","Lebanon","","1986-04-05 00:00","","Marine incident","","","","0",""
"C0000009","1","PUPNAT","PUPNAT: ","Yugoslavia [historical]","","1986-03-23 00:00","","Marine incident","","","","0",""
"C0000008","1","MIKHAIL LERMONTOV","MIKHAIL LERMONTOV: ","Trust Territory of the Pacific Islands [historical]","","1986-02-16 00:00","","Marine incident","","","","0",""
"C0000547","1","KAPTAN YUSUF KALKAVAN","KAPTAN YUSUF KALKAVAN: ","Türkiye","","1986-02-15 00:00","","Marine incident","","","","0",""
"C0000007","1","PARINAS","PARINAS: ","Peru","","1986-02-04 00:00","","Marine incident","","","","0",""
"C0000006","1","EBN MAGID","EBN MAGID: ","Libya","","1986-01-28 00:00","","Marine incident","","","","0",""
"C0000005","1","FROTAKOBE","FROTAKOBE: ","Brazil","","1986-01-16 00:00","","Marine incident","","","","0",""
"C0000004","1","RIVIERA SKY","RIVIERA SKY: ","Panama","","1986-01-12 00:00","","Marine incident","","","","0",""
"C0000003","1","ANIAH","ANIAH: ","Malaysia","","1986-01-09 00:00","","Marine incident","","","","0",""
"C0000002","1","THIDA NAVEE","THIDA NAVEE: ","Thailand","","1986-01-06 00:00","","Marine incident","","","","0",""
"C0000555","1","GENERAL PAEZ","GENERAL PAEZ: ","Venezuela (Bolivarian Republic of)","","1986-01-06 00:00","","Marine incident","","","","0",""
"C0008159","1","SEAL ISLAND","SEAL ISLAND: ","Unknown","","1986-01-03 23:00","","Very serious marine casualty","","Prince William Sound, Gulf of Alaska","","1","Liberia"
"C0000001","1","GENERAL MARINO","GENERAL MARINO: ","Venezuela (Bolivarian Republic of)","","1986-01-02 00:00","","Marine incident","","","","0",""
"C0000510","1","CHUN UNG","CHUN UNG: ","Republic of Korea","","1985-12-31 00:00","","Marine incident","","","","0",""
"C0000509","1","GUAICAMACUTO","GUAICAMACUTO: ","Venezuela (Bolivarian Republic of)","","1985-12-20 00:00","","Marine incident","","","","0",""
"C0000508","1","GLENDA","GLENDA: ","Panama","","1985-12-19 00:00","","Marine incident","","","","0",""
