Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C1000624","2","DANUM 172 (IMO 9151424), PETUNIA (IMO 8402606)","DANUM 172 (IMO 9151424): , PETUNIA (IMO 8402606): ","Malaysia, Malaysia","Container, Other Activities","2024-12-01 10:00","Collision - with other ship","Very serious marine casualty","2° 49.29' N 101° 16.20' E","","Open sea","0",""
"C1000610","1","CELESTYAL JOURNEY (IMO 8919269)","CELESTYAL JOURNEY (IMO 8919269): ","Bermuda (United Kingdom)","Passenger","2024-11-22 00:00","Unknown - Unknown","Very serious marine casualty","4° 12.89' N 57° 17.88' E","","Open sea","0",""
"C1000594","1","DANA (IMO 8104553)","DANA (IMO 8104553): ","Zanzibar (United Republic of Tanzania)","General Cargo","2024-11-01 23:00","Flooding/foundering - foundering","Very serious marine casualty","32° 42.00' N 23° 00.00' E","20 nautical miles northeast of the city of Derna","Port approach","0",""
"C1000791","1","TONG JIU JIN HAI YANG (IMO 1072311)","TONG JIU JIN HAI YANG (IMO 1072311): Y","Panama","Other Dry Cargo","2024-11-01 15:40","Occupational accident - Others","Marine casualty","31° 21.20' N 122° 25.10' E","","Anchorage","1","Panama"
"C1000713","2","LOUISA BOLTEN (IMO 9406049), SOUTHERN PUMA (IMO 9792008)","LOUISA BOLTEN (IMO 9406049): Y, SOUTHERN PUMA (IMO 9792008): Y","Marshall Islands, Liberia","Bulk Dry, Chemical Tanker","2024-11-01 04:10","Collision - with other ship","Very serious marine casualty","36° 02.00' N 4° 57.00' W","Alboran Sea","Open sea","0",""
"C1000608","1","MINOAS (IMO 9519315)","MINOAS (IMO 9519315): ","Marshall Islands","Bulk Dry","2024-10-27 08:31","Occupational accident - body movement without any physical
stress (generally leading to an external
injury)","Marine casualty","45° 33.56' N 13° 44.42' E","Mediterranean Region - Mediterranean Region, Mediterranean Region - Adriatic Sea","Port","1","Slovenia"
"C1000590","1","CEMISLE (IMO 9213911)","CEMISLE (IMO 9213911): Y","Antigua and Barbuda","Other Activities","2024-10-23 18:25","Fire/explosion - fire","Very serious marine casualty","51° 26.51' N 0° 44.54' E","Sheerness, United Kingdom","At berth","0",""
"C1000601","1","MED ATLANTIC (IMO 9410533)","MED ATLANTIC (IMO 9410533): ","Malta","Tanker","2024-10-21 10:30","Fire/explosion - fire","Marine incident","1° 21.85' N 104° 04.30' E","","Coastal waters","0",""
"C1000589","2","UMYD (IMO 9557616), VERDE GEE (IMO 9951587)","UMYD (IMO 9557616): , VERDE GEE (IMO 9951587): N","Kazakhstan, Jordan","Other Activities, Towing / Pushing","2024-10-20 12:20","Collision - with other ship","Very serious marine casualty","16° 57.00' N 54° 01.00' E","Oman","Port","0",""
"C1000587","1","GRIGORY LOVTSOV (IMO 8974922)","GRIGORY LOVTSOV (IMO 8974922): ","Russian Federation","General Cargo","2024-10-18 13:30","Capsize/listing - capsize","Very serious marine casualty","46° 39.02' N 142° 42.38' E","Sea of Okhotsk","Port approach","1","Russian Federation"
"C1000633","1","PARIS EXPRESS (IMO 9447902)","PARIS EXPRESS (IMO 9447902): ","Hong Kong, China","Container","2024-10-14 10:35","Occupational accident - slipping, stumbling, falling of person to a
lower level","Very serious marine casualty","16° 45.90' N 75° 47.59' W","","Open sea","0",""
"C1000586","1","ARMANA (IMO 5024611)","ARMANA (IMO 5024611): ","South Africa","Fish Catching","2024-10-14 00:00","Fire/explosion - fire","Very serious marine casualty","34° 34.40' S 19° 14.43' E","","Open sea","0",""
"C1000788","1","B-LPG SOPHIA (IMO 9175846)","B-LPG SOPHIA (IMO 9175846): Y","Panama","Liquefied Gas","2024-10-13 00:40","Fire/explosion - fire","Marine casualty","21° 46.20' N 91° 42.79' E","","Anchorage","1","Panama"
"C1000794","1","MARGARITAVILLE AT SEA ISLANDER (IMO 9187796)","MARGARITAVILLE AT SEA ISLANDER (IMO 9187796): ","Bahamas","Passenger","2024-10-10 11:03","Occupational accident - slipping, stumbling, falling of person to a
lower level","Very serious marine casualty","22° 28.00' N 86° 58.00' W","Cozumel, Mexico","At berth","1","Bahamas"
"C1000632","1","BANGLAR SHOURABH (IMO 8508955)","BANGLAR SHOURABH (IMO 8508955): ","Bangladesh","Oil Tanker","2024-10-05 00:50","Fire/explosion - fire","Very serious marine casualty","22° 11.25' N 91° 46.54' E","","Anchorage","0",""
"C1000579","1","BLUE LAGOON (IMO 9481427)","BLUE LAGOON (IMO 9481427): Y","Barbados","Bulk Dry","2024-10-01 03:03","Capsize/listing - listing","Very serious marine casualty","21° 57.95' N 121° 32.95' E","Orchid Island(Lanyu) /Taiwan.","Open sea","1","Barbados"
"C1000652","1","PEYUCSA 12","PEYUCSA 12: N","Mexico","Fish Catching","2024-09-27 10:07","Flooding/foundering - foundering","Very serious marine casualty","22° 24.00' N 87° 55.00' W","A 116 MILLAS NÁUTICAS AL NOROESTE DE PROGRESO,YUCATÁN","Open sea","1","Mexico"
"C1000640","1","LIBERTY I (IMO 9394715)","LIBERTY I (IMO 9394715): Y","Israel","Offshore Supply","2024-09-22 14:10","Occupational accident - Others","Very serious marine casualty","33° 11.68' N 34° 18.20' E","Mediterranean Sea approximately 40 nautical miles from the coast of Israel","Open sea","1","Israel"
"C1000744","2","Oshio, Yakushi Maru No 3","Oshio: N, Yakushi Maru No 3: N","Singapore, Singapore","Other Non-Seagoing, Other Non-Seagoing","2024-09-04 13:49","Flooding/foundering - flooding","Very serious marine casualty","1° 17.50' N 103° 59.04' E","","Port","1","Singapore"
"C1000743","1","Sophia Z (IMO 9445708)","Sophia Z (IMO 9445708): Y","Bahamas","Bulk Dry","2024-08-30 15:30","Occupational accident - electrical problems, explosion, fire","Very serious marine casualty","3° 03.00' S 84° 22.00' E","","Open sea","1","Bahamas"
"C1000737","1","SHANGHAI BULKER (IMO 9599913)","SHANGHAI BULKER (IMO 9599913): Y","Panama","Bulk Dry","2024-08-28 16:45","Occupational accident - Others","Very serious marine casualty","6° 40.59' S 39° 18.60' E","","Anchorage","1","Panama"
"C1000611","1","CASPIAN POWER (IMO 9534236)","CASPIAN POWER (IMO 9534236): Y","Azerbaijan","Offshore Supply","2024-08-27 04:00","Fire/explosion - fire","Very serious marine casualty","40° 07.42' N 51° 09.39' E","near the "Azeri-Chirag" oil platforms","Coastal waters","1","Azerbaijan"
"C1000664","1","C. GENUINE (IMO 9929663)","C. GENUINE (IMO 9929663): Y","Liberia","Oil Tanker","2024-08-26 08:00","Others - Others","Very serious marine casualty","28° 26.29' N 49° 51.61' E","Arabian Gulf","Open sea","1","Kuwait"
"C1000628","1","ITT PUMA (IMO 8116128)","ITT PUMA (IMO 8116128): ","India","General Cargo","2024-08-25 00:00","Capsize/listing - capsize","Very serious marine casualty","20° 26.21' N 88° 36.34' E","","Open sea","0",""
"C1000826","1","SEREN (IMO 9458391)","SEREN (IMO 9458391): Y","Hong Kong, China","General Cargo","2024-08-19 02:38","Occupational accident - Others","Very serious marine casualty","29° 30.00' N 32° 18.00' E","Suez Southern W-8 Anchorage","Anchorage","1","Hong Kong, China"
"C1000533","1","BAYESIAN (IMO 9503392)","BAYESIAN (IMO 9503392): ","United Kingdom","Yacht","2024-08-19 00:00","Capsize/listing - capsize","Very serious marine casualty","38° 09.10' N 13° 27.64' E","","Coastal waters","0",""
"C1000787","1","SHUN LONG (IMO 9159646)","SHUN LONG (IMO 9159646): Y","Panama","Container","2024-08-18 23:40","Others - Others","Marine casualty","5° 28.79' N 96° 06.94' E","","Open sea","1","Panama"
"C1000734","1","FRIENDSHIP (IMO 7904827)","FRIENDSHIP (IMO 7904827): N","Panama","Other Offshore","2024-08-14 11:21","Occupational accident - Others","Marine casualty","53° 33.93' N 5° 53.22' E","","Anchorage","1","Panama"
"C1000735","1","ESTEEM ASTRO (IMO 9838008)","ESTEEM ASTRO (IMO 9838008): Y","Panama","Oil Tanker","2024-08-13 08:56","Occupational accident - Others","Marine casualty","1° 11.18' N 103° 47.08' E","","Anchorage","1","Panama"
"C1000682","1","Lastovo (IMO 7010717)","Lastovo (IMO 7010717): ","Croatia","Passenger","2024-08-11 15:07","Occupational accident - loss of control of machine, means of
transport or handling equipment,
hand-held tool, object, animal","Very serious marine casualty","44° 32.28' N 14° 27.83' E","Mediterranean Region - Adriatic Sea, Mediterranean Region - Mediterranean Region","Port","1","Croatia"
"C1000629","1","AMAR GLYFADA (IMO 9250567)","AMAR GLYFADA (IMO 9250567): ","Belize","Bulk Dry","2024-08-08 00:00","Fire/explosion - fire","Very serious marine casualty","44° 20.06' N 28° 40.36' E","","At berth","0",""
"C1000630","1","ELISABET SATU (IMO 9805128)","ELISABET SATU (IMO 9805128): ","Indonesia","Tanker","2024-08-07 03:00","Fire/explosion - explosion","Very serious marine casualty","8° 32.04' S 115° 36.54' E","","Open sea","0",""
"C1000530","1","PRIDE IV","PRIDE IV: U","Honduras","Fish Catching","2024-08-06 22:30","Fire/explosion - fire","Very serious marine casualty","16° 32.47' N 80° 45.52' W","ROSA LINDA FISHING BANK","Inland waters","0",""
"C1000733","1","YUN SHENG (IMO 9219458)","YUN SHENG (IMO 9219458): Y","Panama","Bulk Dry","2024-08-06 21:24","Collision - with other ship","Marine casualty","1° 15.38' N 104° 06.19' E","","Strait/channel","1","Panama"
"C1000631","1","ICON AMARA (IMO 9653109)","ICON AMARA (IMO 9653109): ","Malaysia","Offshore Supply","2024-08-02 22:40","Fire/explosion - explosion","Very serious marine casualty","3° 35.11' N 112° 56.47' E","","Open sea","0",""
"C1000768","1","RUONA (IMO 8975627)","RUONA (IMO 8975627): U","Nigeria","Towing / Pushing","2024-08-01 15:25","Grounding - while under power","Very serious marine casualty","4° 17.51' N 6° 26.44' E","Brass breakwater, Bayelsa State, Nigeria.","Coastal waters","1","Nigeria"
"C1000609","3","BARGE ISSADA, MV QI FU (IMO 9288502), SSL BARGE 18","BARGE ISSADA: Y, MV QI FU (IMO 9288502): Y, SSL BARGE 18: Y","Philippines, Hong Kong, China, Philippines","Barge, General Cargo, Barge","2024-07-31 08:55","Collision - with multiple ships","Marine casualty","14° 28.70' N 120° 36.13' E","MARIVELES, BATAAN","Port approach","1","Philippines"
"C1000596","1","ALEXANDER J (IMO 9173094)","ALEXANDER J (IMO 9173094): Y","Nigeria","Oil Tanker","2024-07-29 23:45","Grounding - while drifting","Marine casualty","6° 25.00' N 3° 29.95' E","MAYEGUN BEACH, LEKKI LAGOS NIGERIA","Anchorage","1","Nigeria"
"C1000786","1","LIMRA (IMO 9158240)","LIMRA (IMO 9158240): Y","Panama","Tanker","2024-07-28 14:43","Fire/explosion - fire","Marine casualty","18° 13.50' N 108° 26.36' E","","Coastal waters","1","Panama"
"C1000535","1","TERRANOVA (IMO 9092666)","TERRANOVA (IMO 9092666): ","Philippines","Tanker","2024-07-25 00:00","Capsize/listing - capsize","Very serious marine casualty","14° 37.36' N 120° 50.68' E","","Unknown","1","Philippines"
"C1000805","1","OCEAN CHALLENGER (IMO 9517264)","OCEAN CHALLENGER (IMO 9517264): N","Nauru","Fish Catching","2024-07-20 00:38","Occupational accident - breakage, bursting, splitting, fall or
collapse of material agent","Very serious marine casualty","1° 40.00' S 159° 31.00' E","Papua New Guinea EEZ waters","Coastal waters","1","Nauru"
"C1000797","2","CERES I (IMO 9229439), HAFNIA NILE (IMO 9766217)","CERES I (IMO 9229439): Y, HAFNIA NILE (IMO 9766217): Y","Sao Tome and Principe, Singapore","Oil Tanker, Tanker","2024-07-19 06:06","Collision - with other ship","Very serious marine casualty","1° 45.52' N 104° 39.40' E","25nm off Tanjung Balau","Coastal waters","0",""
"C1000801","1","TRF KASHIMA (IMO 9733349)","TRF KASHIMA (IMO 9733349): Y","Marshall Islands","Chemical Tanker","2024-07-14 16:46","Occupational accident - Others","Very serious marine casualty","6° 13.89' N 107° 47.00' E","South China Sea","Open sea","0",""
"C1000731","1","VOLGO-BALT 213 (IMO 8841632)","VOLGO-BALT 213 (IMO 8841632): Y","Panama","General Cargo","2024-07-14 03:08","Grounding - while drifting","Marine casualty","40° 23.27' N 28° 45.24' E","","Coastal waters","1","Panama"
"C1000701","1","PRAIA DE MONTEGORDO","PRAIA DE MONTEGORDO: ","Portugal","Fish Catching","2024-07-11 23:49","Flooding/foundering - flooding","Very serious marine casualty","36° 51.84' N 7° 47.54' W","North Atlantic Ocean - North Atlantic Ocean","Coastal waters","1","Portugal"
"C1000595","1","MASTER RU (IMO 7350521)","MASTER RU (IMO 7350521): ","Zanzibar (United Republic of Tanzania)","Passenger/Ro-Ro Cargo","2024-07-11 02:00","Flooding/foundering - foundering","Very serious marine casualty","25° 19.00' N 78° 00.00' W","Bahamas territorial waters","Coastal waters","1","Bahamas"
"C1000605","1","STRAITS DIGNITY (IMO 9306859)","STRAITS DIGNITY (IMO 9306859): Y","Mongolia","Tanker","2024-07-04 23:30","Collision - with other ship","Marine incident","1° 46.79' N 104° 43.47' E","SOUTH CHINA SEA","Anchorage","0",""
"C1000730","1","CARNIVAL PRIDE (IMO 9223954)","CARNIVAL PRIDE (IMO 9223954): Y","Panama","Passenger","2024-07-03 22:32","Fire/explosion - fire","Marine casualty","25° 34.90' N 76° 58.29' W","","Open sea","1","Panama"
"C1000663","1","VIRGEM DOLOROSA (IMO 8799308)","VIRGEM DOLOROSA (IMO 8799308): ","Portugal","Fish Catching","2024-07-03 04:07","Capsize/listing - capsize","Very serious marine casualty","39° 49.38' N 9° 01.30' W","North Atlantic Ocean - North Atlantic Ocean","Coastal waters","1","Portugal"
"C1000638","1","GINGA SAKER (IMO 9258155)","GINGA SAKER (IMO 9258155): Y","Panama","Chemical Tanker","2024-07-01 08:30","Others - Others","Marine casualty","20° 50.70' N 72° 36.90' E","","Anchorage","1","Panama"
"C1000700","1","JOLLY BLUE (IMO 9180205)","JOLLY BLUE (IMO 9180205): ","Portugal","Ro-Ro Cargo","2024-06-25 14:34","Loss of control - loss of containment","Very serious marine casualty","36° 48.29' N 10° 16.09' E","Mediterranean Region - Mediterranean Region","Port","1","Portugal"
"C1000623","1","NOAH SATU (IMO 9313620)","NOAH SATU (IMO 9313620): ","Indonesia","General Cargo","2024-06-24 13:04","Fire/explosion - fire","Very serious marine casualty","6° 31.13' S 111° 39.52' E","","Open sea","0",""
"C1000625","1","LAVANT (IMO 9110444)","LAVANT (IMO 9110444): ","Unknown","Tanker","2024-06-23 11:41","Flooding/foundering - flooding","Very serious marine casualty","14° 31.00' N 53° 08.00' E","","Open sea","0",""
"C1000803","1","AVALON (IMO 8537700)","AVALON (IMO 8537700): ","Germany","Fish Catching","2024-06-16 07:00","Occupational accident - slipping, stumbling, falling of person
overboard","Very serious marine casualty","53° 30.00' N 6° 57.35' E","North Atlantic Ocean - North Sea","Coastal waters","1","Germany"
"C1000824","2","MARINE HONOUR (IMO 9422811), VOX MAXIMA (IMO 9454096)","MARINE HONOUR (IMO 9422811): Y, VOX MAXIMA (IMO 9454096): Y","Singapore, Netherlands (Kingdom of)","Oil Tanker, Dredging","2024-06-14 14:16","Collision - with other ship","Very serious marine casualty","1° 15.60' N 103° 47.50' E","West Keppel Fairway","Port","1","Singapore"
"C1000614","1","CEG COSMOS (IMO 8303173)","CEG COSMOS (IMO 8303173): ","Latvia","General Cargo","2024-06-13 19:48","Hull failure - hull failure","Marine casualty","55° 45.99' N 6° 03.99' W","North Atlantic Ocean - North Atlantic Ocean, North Atlantic Ocean - Scotland Sea","Coastal waters","1","Latvia"
"C1000758","1","CHINA ACE (IMO 9957634)","CHINA ACE (IMO 9957634): Y","Singapore","Bulk Dry","2024-06-13 10:45","Occupational accident - body movement under or with physical
stress (generally leading to an internal
injury)","Very serious marine casualty","17° 34.00' S 4° 16.00' E","South Atlantic Ocean","Open sea","1","Singapore"
"C1000708","2","Pungseong No. 307, SITC YANTAI (IMO 9639622)","Pungseong No. 307: N, SITC YANTAI (IMO 9639622): Y","Republic of Korea, Hong Kong, China","Other Fishing, Container","2024-06-13 00:34","Collision - with other ship","Very serious marine casualty","34° 14.00' N 125° 17.00' E","9.27NM west of Manjaedo","Coastal waters","1","Republic of Korea"
"C1000626","1","CHIANG LAAN (IMO 9092616)","CHIANG LAAN (IMO 9092616): ","Thailand","General Cargo","2024-06-09 12:55","Capsize/listing - capsize","Very serious marine casualty","10° 47.31' N 103° 12.46' E","","Open sea","0",""
"C1000627","1","ULTRA GALAXY (IMO 9449352)","ULTRA GALAXY (IMO 9449352): ","Panama","General Cargo","2024-06-07 14:30","Loss of control - loss of propulsion power","Very serious marine casualty","31° 38.00' S 16° 48.20' E","","Open sea","0",""
"C1000499","1","BAIKAL (IMO 8027121)","BAIKAL (IMO 8027121): U","Russian Federation","Towing / Pushing","2024-06-04 23:00","Flooding/foundering - flooding","Very serious marine casualty","73° 10.00' N 80° 18.00' E","Yenisei Gulf of the Kara Sea","Coastal waters","1","Russian Federation"
"C1000728","1","KIRKEHOLMEN (IMO 9553402)","KIRKEHOLMEN (IMO 9553402): Y","Panama","Oil Tanker","2024-06-01 08:00","Others - Others","Marine casualty","52° 26.20' N 3° 59.29' E","","Anchorage","1","Panama"
"C1000689","1","Svetac","Svetac: Y","Croatia","Fish Catching","2024-05-30 13:15","Occupational accident - slipping, stumbling, falling of person
overboard","Very serious marine casualty","43° 01.00' N 16° 13.21' E","","Coastal waters","0",""
"C1000622","1","TORO ROSSO (IMO 9159177)","TORO ROSSO (IMO 9159177): ","Panama","Bulk Dry","2024-05-30 10:00","Fire/explosion - explosion","Very serious marine casualty","33° 05.55' N 8° 43.47' W","","Anchorage","0",""
"C1000500","1","GRINGA XXII","GRINGA XXII: N","Argentina","Other Activities","2024-05-27 21:30","Flooding/foundering - foundering","Very serious marine casualty","38° 46.90' S 62° 17.95' W","Sitio 2/3 Puerto Galván","Port","0",""
"C1000503","1","SUNNY FREESIA (IMO 9856048)","SUNNY FREESIA (IMO 9856048): Y","Hong Kong, China","Container","2024-05-26 08:45","Occupational accident - slipping, stumbling, falling of person to a
lower level","Very serious marine casualty","33° 51.90' N 131° 12.68' E","","Open sea","1","Hong Kong, China"
"C1000654","1","PROTEUS HARVONNE (IMO 9923401)","PROTEUS HARVONNE (IMO 9923401): ","Singapore","Oil Tanker","2024-05-24 09:00","Occupational accident - slipping, stumbling, falling of person
overboard","Very serious marine casualty","35° 24.79' N 129° 28.01' E","Ulsan, South Korea Anchorage","Anchorage","1","Singapore"
"C1000729","1","SEATTLE HARMONY (IMO 9836919)","SEATTLE HARMONY (IMO 9836919): Y","Panama","Bulk Dry","2024-05-22 17:00","Occupational accident - Others","Very serious marine casualty","23° 05.57' S 70° 26.95' W","","Anchorage","1","Panama"
"C1000790","1","Yuka D (IMO 9586710)","Yuka D (IMO 9586710): ","Malta","Bulk Dry","2024-05-22 08:30","Ship/equipment damage - ship/equipment damage","Very serious marine casualty","20° 13.19' N 86° 50.59' E","Indian Ocean","Coastal waters","1","Malta"
"C1000709","1","DE GALLANT (IMO 5190252)","DE GALLANT (IMO 5190252): ","Vanuatu","General Cargo","2024-05-21 04:00","Capsize/listing - listing","Very serious marine casualty","21° 30.06' N 73° 30.28' W","North Atlantic Ocean - North Atlantic Ocean","Open sea","1","France"
"C1000492","1","EVER FELICITY (IMO 9379856)","EVER FELICITY (IMO 9379856): Y","Panama","General Cargo","2024-05-20 07:35","Others - Others","Very serious marine casualty","38° 24.38' N 141° 16.88' E","North Wharf of Hibarino, Ishinomaki Port, Ishinomaki","At berth","1","Japan"
"C0013958","1","G TAISHAN (IMO 9440992)","G TAISHAN (IMO 9440992): ","Panama","Bulk Dry","2024-05-18 07:37","Occupational accident - breakage, bursting, splitting, fall or
collapse of material agent","Marine casualty","45° 33.55' N 13° 44.48' E","Mediterranean Region - Adriatic Sea, Mediterranean Region - Mediterranean Region","Port","2","Slovenia; Slovenia"
"C1000620","2","MICHEL, MOHAMMED-Z (IMO 8805078)","MICHEL: , MOHAMMED-Z (IMO 8805078): ","Unknown, Zanzibar (United Republic of Tanzania)","Other Activities, General Cargo","2024-05-18 04:00","Collision - with other ship","Very serious marine casualty","44° 48.25' N 30° 10.39' W","","Open sea","0",""
"C1000767","1","NAUTICAL TRAINER (IMO 7728467)","NAUTICAL TRAINER (IMO 7728467): ","Nigeria","Research","2024-05-16 21:11","Capsize/listing - capsize","Very serious marine casualty","4° 27.12' N 8° 26.29' E","","Coastal waters","1","Nigeria"
"C1000772","1","Anna (IMO 9435844)","Anna (IMO 9435844): ","Malta","Oil Tanker","2024-05-15 21:15","Occupational accident - overflow, overturn, leak, flow,
vaporization, emission of material agent","Marine casualty","35° 53.39' N 14° 46.09' E","Mediterranean Region - Mediterranean Region","Coastal waters","1","Malta"
"C1000716","1","RIA DE ALDAN (IMO 9476238)","RIA DE ALDAN (IMO 9476238): N","Ecuador","Other Fishing","2024-05-15 05:14","Collision - with other ship","Very serious marine casualty","1° 12.00' N 85° 56.00' W","","Open sea","1","Panama"
"C1000717","1","SEA CAOFEIDIAN (IMO 9844071)","SEA CAOFEIDIAN (IMO 9844071): Y","Panama","Bulk Dry","2024-05-14 14:00","Occupational accident - Others","Marine casualty","37° 59.90' S 22° 28.70' E","","Open sea","1","Panama"
"C1000783","1","AR MILINO","AR MILINO: ","France","Fish Catching","2024-05-14 01:04","Occupational accident - slipping, stumbling, falling of person
overboard","Very serious marine casualty","48° 54.09' N 3° 43.18' W","North Atlantic Ocean - English Channel, North Atlantic Ocean - North Atlantic Ocean","Open sea","1","France"
"C1000531","2","HPC UNITY (IMO 9613226), SINAR BAJO (IMO 9942287)","HPC UNITY (IMO 9613226): Y, SINAR BAJO (IMO 9942287): Y","Panama, Singapore","Other Bulk Dry, Container","2024-05-12 22:38","Collision - with other ship","Marine casualty","16° 39.29' N 96° 14.80' E","New Explosive Anchorage","Anchorage","1","Myanmar"
"C1000639","1","ULTRA VIRTUE (IMO 9933028)","ULTRA VIRTUE (IMO 9933028): Y","Panama","Bulk Dry","2024-05-12 18:00","Fire/explosion - fire","Very serious marine casualty","55° 52.29' N 4° 21.20' W","","At berth","1","Panama"
"C1000732","1","LE DUMONT D'URVILLE (IMO 9814052)","LE DUMONT D'URVILLE (IMO 9814052): ","Wallis and Futuna (France)","Passenger","2024-05-11 22:07","Occupational accident - body movement without any physical
stress (generally leading to an external
injury)","Very serious marine casualty","38° 30.99' N 8° 54.04' W","North Atlantic Ocean - North Atlantic Ocean","Port","1","France"
"C1000592","1","GURBAN ABASOV (IMO 8410172)","GURBAN ABASOV (IMO 8410172): Y","Azerbaijan","Other Activities","2024-05-09 10:50","Contact - with fixed object","Marine casualty","40° 20.78' N 49° 56.79' E","Baku bay","Coastal waters","1","Azerbaijan"
"C1000727","1","GLORY PROSPERITY (IMO 9392420)","GLORY PROSPERITY (IMO 9392420): Y","Panama","Bulk Dry","2024-05-05 20:14","Others - Others","Very serious marine casualty","1° 32.29' N 104° 48.90' E","","Open sea","1","Panama"
"C1000621","1","MITRA BAHARI IX (IMO 7207138)","MITRA BAHARI IX (IMO 7207138): ","Indonesia","General Cargo","2024-05-05 02:00","Unknown - Unknown","Very serious marine casualty","3° 56.40' S 111° 49.25' E","","Open sea","0",""
