PLAN_CTRL_CD,PLAN_CTRL_NUM,PLAN_SITE_TYPE,PLAN_SITE_NAME,PLAN_FNL_ACTN_CD,PLAN_FNL_ACTN_DT,SURF_E_W_DIST,SURF_E_W_CODE,SURF_N_S_DIST,SURF_N_S_CODE,SURF_AREA_CODE,SURF_BLOCK_NUM,SURF_PROT_NUM,SURF_LEASE_NUM,SURF_PROJ_ZONE,SURF_X_COORD_LOC,SURF_Y_COORD_LOC,SURF_LATITUDE,SURF_LONGITUDE,BOTM_LEASE_NUM,BOTM_AREA_CODE,BOTM_BLOCK_NUM,WATER_DEPTH,SITE_CANCEL_DT
N,3400,WELL,C,A,9/29/1989,1050,E,3800,N,MP,  130,LA10,G08750,72,2826050.0,274280.0,29.39519732,-88.73920272,G08750,MP,  130,112,6/30/1992
N,3400,WELL,D,A,9/29/1989,4900,E,2000,N,MP,  130,LA10,G08750,72,2822200.0,276080.0,29.40038519,-88.75116181,G08750,MP,  130,132,6/30/1992
R,2439,WELL,NO. 7,A,8/29/1989,6075,E,4950,N,SS,  176,LA5, 00589,72,2009525.0,-16973.388,28.61999137,-91.30365283, 00589,SS,  176,100,4/7/1996
N,3401,STRUCTURE,#1,A,11/28/1989,2896,E,5715,S,MI,  567,TX4,G04700,71,2918499.81,156195.0,28.23209201,-96.14755301,,,,80,
N,3402,WELL,NO. 1,A,9/29/1989,3930,E,2600,S,SS,  331,LA5A,G07761,72,2184159.103064,-190923.4,28.14045967,-90.76218829,G07761,SS,  331,385,11/30/1991
R,2404,STRUCTURE,#11,A,8/18/1989,6293,W,2201,S,SM,    7,LA3A,G01178,72,1801255.662,115528.537,28.98286754,-91.95486676,,,,63,
R,2404,STRUCTURE,#9,A,8/18/1989,6250,W,3650,S,SM,    7,LA3A,G01178,72,1801212.662,116977.537,28.98685145,-91.95502582,,,,63,
R,2404,WELL,#11,A,8/18/1989,6293,W,2201,S,SM,    7,LA3A,G01178,72,1801255.662,115528.537,28.98286754,-91.95486676,G01178,SM,    7,63,4/30/1991
R,2404,WELL,#9,A,8/18/1989,6250,W,3650,S,SM,    7,LA3A,G01178,72,1801212.662,116977.537,28.98685145,-91.95502582,G01178,SM,    7,63,4/30/1991
N,3403,WELL,A,A,10/5/1989,2150,W,2300,N,HI,A 373,TX7C,G07367,71,3763065.81,84820.0,27.95335199,-93.53796182,G07367,HI,A 373,360,7/30/1996
N,3403,WELL,B,A,10/5/1989,2150,W,2300,N,HI,A 373,TX7C,G07367,71,3763065.81,84820.0,27.95335199,-93.53796182,G07367,HI,A 373,360,7/30/1996
N,3403,WELL,C,A,10/5/1989,2150,W,2300,N,HI,A 373,TX7C,G07367,71,3763065.81,84820.0,27.95335199,-93.53796182,G07367,HI,A 373,360,7/30/1996
N,3403,WELL,D,A,10/5/1989,2150,W,2300,N,HI,A 373,TX7C,G07367,71,3763065.81,84820.0,27.95335199,-93.53796182,G07367,HI,A 373,360,7/30/1996
N,3403,WELL,E,A,10/5/1989,2150,W,2300,N,HI,A 373,TX7C,G07367,71,3763065.81,84820.0,27.95335199,-93.53796182,G07367,HI,A 373,360,7/30/1996
N,3403,WELL,F,A,10/5/1989,2150,W,2300,N,HI,A 373,TX7C,G07367,71,3763065.81,84820.0,27.95335199,-93.53796182,G07367,HI,A 373,360,7/30/1996
N,3404,STRUCTURE,A,A,10/20/1989,1060,W,3875,N,HI,A 519,TX7B,G08184,71,3603575.81,146605.0,28.14267337,-94.02330208,,,,220,
N,3405,WELL,A,A,9/18/1989,600,W,3200,N,HI,A 510,TX7B,G07340,71,3460555.81,147280.0,28.1605166,-94.46661731,G07340,HI,A 510,192,9/30/1989
N,3405,WELL,B,A,9/18/1989,5750,W,8450,N,HI,A 510,TX7B,G07340,71,3465705.81,142030.0,28.14553875,-94.45128192,G07340,HI,A 510,192,9/30/1989
N,3405,WELL,C,A,9/18/1989,600,W,3200,N,HI,A 510,TX7B,G07340,71,3460555.81,147280.0,28.1605166,-94.46661731,G07340,HI,A 510,192,9/30/1989
S,2317,WELL,CC,A,9/15/1989,7100,E,4000,N,SM,  252,LA3D,G02598,72,1817378.762,212633.887,29.25013004,-91.90596339,G02598,SM,  252,23,8/6/2006
S,2317,WELL,DD,A,9/15/1989,7100,E,4000,N,SM,  252,LA3D,G02598,72,1817378.762,212633.887,29.25013004,-91.90596339,G02598,SM,  252,23,8/6/2006
S,2317,WELL,EE,A,9/15/1989,7100,E,4000,N,SM,  252,LA3D,G02598,72,1817378.762,212633.887,29.25013004,-91.90596339,G02598,SM,  252,23,8/6/2006
S,2317,WELL,F,A,9/15/1989,7100,E,4000,N,SM,  252,LA3D,G02598,72,1817378.762,212633.887,29.25013004,-91.90596339,G02598,SM,  252,23,8/6/2006
S,2317,WELL,G,A,9/15/1989,7100,E,4000,N,SM,  252,LA3D,G02598,72,1817378.762,212633.887,29.25013004,-91.90596339,G02598,SM,  252,23,8/6/2006
S,2320,WELL,F,A,9/29/1989,3500,E,3000,N,PN,A  59,TX2A,G07155,70,2550315.32,473109.75,26.9581684,-96.81047173,G07155,PN,A  59,211,
S,2320,WELL,G,A,9/29/1989,3500,E,3000,N,PN,A  59,TX2A,G07155,70,2550315.32,473109.75,26.9581684,-96.81047173,G07155,PN,A  59,211,
S,2320,WELL,H,A,9/29/1989,3500,E,3000,N,PN,A  59,TX2A,G07155,70,2550315.32,473109.75,26.9581684,-96.81047173,G07155,PN,A  59,211,
S,2320,WELL,I,A,9/29/1989,3500,E,3000,N,PN,A  59,TX2A,G07155,70,2550315.32,473109.75,26.9581684,-96.81047173,G07155,PN,A  59,211,
S,2320,WELL,J,A,9/29/1989,3500,E,3000,N,PN,A  59,TX2A,G07155,70,2550315.32,473109.75,26.9581684,-96.81047173,G07155,PN,A  59,211,
S,2320,WELL,K,A,9/29/1989,3500,E,3000,N,PN,A  59,TX2A,G07155,70,2550315.32,473109.75,26.9581684,-96.81047173,G07155,PN,A  59,211,
S,2320,WELL,L,A,9/29/1989,3500,E,3000,N,PN,A  59,TX2A,G07155,70,2550315.32,473109.75,26.9581684,-96.81047173,G07155,PN,A  59,211,
S,2321,STRUCTURE,NO.2,A,9/28/1989,700,E,3500,N,WC,  369,LA1A,G04767,72,1361235.616,95129.28,28.91295287,-93.3296481,,,,73,
S,2321,WELL,NO.2,A,9/28/1989,700,E,3500,N,WC,  369,LA1A,G04767,72,1361235.616,95129.28,28.91295287,-93.3296481,G04767,WC,  369,73,12/25/1998
S,2322,STRUCTURE,B,A,10/3/1989,8041,W,5369,N,WC,  368,LA1A,G05315,72,1369976.616,93260.28,28.90822999,-93.30223513,,,,75,
S,2322,WELL,NO. 3,A,10/3/1989,5039,E,4584,N,WC,  368,LA1A,G05315,72,1371654.664,94045.28,28.9104675,-93.29703408,G05315,WC,  368,75,3/12/2011
S,2322,WELL,NO. 4,A,10/3/1989,1325,E,4267,N,WC,  368,LA1A,G05315,72,1375368.664,94362.28,28.91151358,-93.28544624,G05315,WC,  368,75,3/12/2011
S,1914,WELL,D,A,3/20/1987,1420,E,2750,N,WC,   45,LA1, 00300,72,1286725.376,376282.192,29.68219223,-93.57968012, 00300,WC,   45,0,4/9/2012
N,1948,WELL,C,A,4/3/1985,6500,W,1200,S,MO,  863,NH16-04,G05748,16,1210340.0,10930800.0,30.11126066,-88.36058672,G05748,MO,  863,0,11/14/2013
R,1383,WELL,C,A,4/9/1985,7200,W,1100,S,MO,  863,NH16-04,G05748,16,1211040.0,10930700.0,30.11100858,-88.35836897,G05748,MO,  863,0,11/14/2013
S,1637,WELL,A,A,7/31/1985,2300,W,1500,S,MO,  863,NH16-04,G05748,16,1206140.0,10931100.0,30.11194735,-88.37388204,G05748,MO,  863,0,11/14/2013
S,1637,WELL,B,A,7/31/1985,2300,W,1500,S,MO,  863,NH16-04,G05748,16,1206140.0,10931100.0,30.11194735,-88.37388204,G05748,MO,  863,0,11/14/2013
N,1023,WELL,A,A,8/6/1982,2000,W,1000,N,MO,  908,NH16-04,G05071,16,1221680.0,10928600.0,30.1055773,-88.32463902,G05071,MO,  908,0,11/1/2003
N,1023,WELL,A',A,8/6/1982,2000,W,1800,N,MO,  908,NH16-04,G05071,16,1221680.0,10927800.0,30.10337728,-88.32460967,G05071,MO,  908,0,11/1/2003
N,1023,WELL,AA,A,8/6/1982,2000,W,1800,N,MO,  908,NH16-04,G05071,16,1221680.0,10927800.0,30.10337728,-88.32460967,G05071,MO,  908,0,11/1/2003
N,1023,WELL,B,A,8/6/1982,6200,W,1200,N,MO,  908,NH16-04,G05071,16,1225880.0,10928400.0,30.10516058,-88.31134833,G05071,MO,  908,0,11/1/2003
N,1023,WELL,B',A,8/6/1982,5500,W,2400,N,MO,  908,NH16-04,G05071,16,1225180.0,10927200.0,30.10183842,-88.31351858,G05071,MO,  908,0,11/1/2003
N,1023,WELL,BB,A,8/6/1982,5500,W,2400,N,MO,  908,NH16-04,G05071,16,1225180.0,10927200.0,30.10183842,-88.31351858,G05071,MO,  908,0,11/1/2003
N,1023,WELL,C,A,8/6/1982,6200,W,1500,N,MO,  908,NH16-04,G05071,16,1225880.0,10928100.0,30.10433557,-88.31133743,G05071,MO,  908,0,11/1/2003
N,1023,WELL,C',A,8/6/1982,5650,E,3250,N,MO,  908,NH16-04,G05071,16,1229870.0,10926350.0,30.09964836,-88.29865534,G05071,MO,  908,0,11/1/2003
N,1023,WELL,CC,A,8/6/1982,5650,E,3250,N,MO,  908,NH16-04,G05071,16,1229870.0,10926350.0,30.09964836,-88.29865534,G05071,MO,  908,0,11/1/2003
N,1023,WELL,D,A,8/6/1982,5800,W,3800,N,MO,  908,NH16-04,G05071,16,1225480.0,10925800.0,30.09799785,-88.31251892,G05071,MO,  908,0,11/1/2003
N,1023,WELL,E,A,8/6/1982,5000,E,5000,N,MO,  908,NH16-04,G05071,16,1230520.0,10924600.0,30.09485606,-88.29653686,G05071,MO,  908,0,11/1/2003
N,1023,WELL,F,A,8/6/1982,900,W,2550,N,MO,  908,NH16-04,G05071,16,1220580.0,10927050.0,30.10127963,-88.32806099,G05071,MO,  908,0,11/1/2003
N,1023,WELL,G,A,8/6/1982,2800,W,550,N,MO,  908,NH16-04,G05071,16,1222480.0,10929050.0,30.1068403,-88.32212532,G05071,MO,  908,0,11/1/2003
R,2272,WELL,B,A,1/6/1989,4270,W,6075,S,WC,  592,LA1B,G06601,72,1321931.472,-190456.68,28.12589994,-93.43608089,G06601,WC,  592,0,6/30/1989
R,2272,WELL,C,A,1/6/1989,2700,W,5260,S,WC,  592,LA1B,G06601,72,1320361.472,-191271.68,28.12358041,-93.44090201,G06601,WC,  592,0,6/30/1989
R,2271,WELL,A,A,1/13/1989,2350,W,4800,N,GC,   61,NG15-03,G07004,15,2251630.0,10132800.0,27.90983182,-91.10703824,G07004,GC,   61,0,5/26/1989
R,2268,WELL,NO. 1,A,1/11/1989,1100,W,700,S,MI,  649,TX4,G04544,71,2890815.81,71980.0,28.00237367,-96.23966625,G04544,MI,  649,0,5/15/1989
S,2214,STRUCTURE,# 1,A,1/26/1989,2100,E,2350,S,ST,  131,LA6, 00457,72,2383127.73,3857.64,28.6717832,-90.13884956,,,,0,
S,2214,WELL,# 1,A,1/26/1989,2100,E,2350,S,ST,  131,LA6, 00457,72,2383127.73,3857.64,28.6717832,-90.13884956, 00457,ST,  131,0,
R,2256,STRUCTURE,# 10,A,1/5/1989,1225,E,6000,N,WC,  144,LA1,G01953,72,1419742.808,284483.904,29.43627998,-93.15624274,,,,0,
R,2256,WELL,# 10,A,1/5/1989,1225,E,6000,N,WC,  144,LA1,G01953,72,1419742.808,284483.904,29.43627998,-93.15624274,G01953,WC,  144,0,
N,2185,WELL,NO. 1,A,7/26/1985,4200,E,1600,N,HI,   34,TX7,G06137,71,3582475.81,639920.0,29.50072734,-94.02360028,G06137,HI,   34,0,6/27/1997
S,2213,WELL,NO. 2,A,1/11/1989,1200,E,4800,N,HI,   34,TX7,G06137,71,3585475.81,636720.0,29.49158312,-94.01460633,G06137,HI,   34,0,6/27/1997
N,2540,STRUCTURE,A,A,8/15/1986,4218,E,1602,N,HI,   34,TX7,G06137,71,3582457.81,639918.0,29.50072395,-94.02365709,,,,0,
S,2170,STRUCTURE,# 4,A,10/7/1988,3000,E,4700,S,EI,  384,LA4A,G03159,72,1936911.36,-232857.72,28.02628848,-91.528774,,,,0,
S,2170,WELL,# 4,A,10/7/1988,3000,E,4700,S,EI,  384,LA4A,G03159,72,1936911.36,-232857.72,28.02628848,-91.528774,G03159,EI,  384,0,10/1/2001
S,1760,WELL,A,A,12/20/1985,8015,E,2042,N,SS,  274,LA5A,G01039,72,2038785.0,-125757.7,28.3208284,-91.21283332,G01039,SS,  274,0,
S,1760,WELL,B,A,12/20/1985,8015,E,2042,N,SS,  274,LA5A,G01039,72,2038785.0,-125757.7,28.3208284,-91.21283332,G01039,SS,  274,0,
S,1760,WELL,C,A,12/20/1985,8015,E,2042,N,SS,  274,LA5A,G01039,72,2038785.0,-125757.7,28.3208284,-91.21283332,G01039,SS,  274,0,
S,1760,WELL,D,A,12/20/1985,8015,E,2042,N,SS,  274,LA5A,G01039,72,2038785.0,-125757.7,28.3208284,-91.21283332,G01039,SS,  274,0,
S,1760,WELL,E,A,12/20/1985,8015,E,2042,N,SS,  274,LA5A,G01039,72,2038785.0,-125757.7,28.3208284,-91.21283332,G01039,SS,  274,0,
S,1945,WELL,NO. 6,A,5/4/1987,4675,E,6050,N,SS,  274,LA5A,G01039,72,2042125.0,-129765.7,28.30979861,-91.20247059,G01039,SS,  274,0,
S,2212,STRUCTURE,C,A,1/19/1989,6750,E,5600,N,SS,  274,LA5A,G01039,72,2040050.0,-129315.7,28.31104221,-91.20891513,,,,0,
S,2091,WELL,B,A,4/1/1988,4200,W,2600,S,VR,  117,LA3,G05415,72,1651582.172,157844.289,29.09615446,-92.42417842,G05415,VR,  117,0,11/21/1995
S,2091,WELL,C,A,4/1/1988,4200,W,2600,S,VR,  117,LA3,G05415,72,1651582.172,157844.289,29.09615446,-92.42417842,G05415,VR,  117,0,11/21/1995
