DOC_ID,DOC_TYPE,API,LEASE,WELL_NAME,WELL_NAME_SUFFIX,BLOCK,AREA,BLI,TLI,RUN_DATE,FILE_SIZE,LOG_PKG_VOLUME,LOG_SOURCE,BARCODE_ID,QC_CHECK_FLAG,COMMENTS,RELEASABLE_DATE,FILE_EXT,SOURCE,REGION,WATER_DEPTH,LEASE_STATUS_CHANGE_DATE,CREATED_DATE
0000000010{B-1323}0000021004-0001,high definition induction log digital acoustilog gamma ray log ttrm sub,177054106500,G16296,  001,ST00BP00,  130,VR,4727,1011,12/25/1997,5517021,QCCD0025,QC_DATA,,N,,3/13/2000,.tif,1,G,60,3/20/2002 7:52:43 AM,
0000000010{B-1323}0000021008-0001,1in high definition induction log gamma ray log 1in presentation,177054106500,G16296,  001,ST00BP00,  130,VR,4727,1011,12/25/1997,2396038,QCCD0025,QC_DATA,,N,,3/13/2000,.tif,1,G,60,3/20/2002 7:52:43 AM,
0000000010{B-1331}0000023252-0001,5in md cdr final print measured depth,177104146600,G02115, C022,ST00BP01,  330,EI,7729,6551,8/28/1997,1442458,QCCD0042,QC_DATA,log13203,N,,10/28/1999,.tif,1,G,243,7/21/2021 11:40:03 AM,
0000000010{B-1331}0000023253-0001,5in md qc log final print measured depth,177104146600,G02115, C022,ST00BP01,  330,EI,7680,6551,8/28/1997,1345375,QCCD0042,QC_DATA,log13204,N,,10/28/1999,.tif,1,G,243,7/21/2021 11:40:03 AM,
0000000010{B-1331}0000023254-0001,5in tvd cdr final print true vertical depth,177104146600,G02115, C022,ST00BP01,  330,EI,7276,6349,8/28/1997,1295487,QCCD0042,QC_DATA,,N,,10/28/1999,.tif,1,G,243,7/21/2021 11:40:03 AM,
0000000010{B-1331}0000023255-0001,1in MD cdr final print measured depth,177104146600,G02115, C022,ST00BP01,  330,EI,7729,6551,8/28/1997,497367,QCCD0042,QC_DATA,log13205,N,,10/28/1999,.tif,1,G,243,7/21/2021 11:40:03 AM,
0000000010{B-1331}0000023256-0001,1in tvd cdr final print true vertical depth,177104146600,G02115, C022,ST00BP01,  330,EI,7276,6380,8/28/1997,586390,QCCD0042,QC_DATA,log13206,N,,10/28/1999,.tif,1,G,243,7/21/2021 11:40:03 AM,
0000000010{B-1331}0000023257-0001,5in platform express array induction density - neutron microlog final composite,177104146600,G02115, C022,ST00BP01,  330,EI,8124,6543,9/11/1997,6170125,QCCD0042,QC_DATA,log13207,N,,10/28/1999,.tif,1,G,243,7/21/2021 11:40:03 AM,
0000000010{B-1331}0000023258-0001,5in tvd platform express array induction density - neutron field tvd final composite,177104146600,G02115, C022,ST00BP01,  330,EI,7572,6373,9/11/1997,2100639,QCCD0042,QC_DATA,log13208,N,,10/28/1999,.tif,1,G,243,7/21/2021 11:40:03 AM,
0000000010{B-1331}0000023259-0001,1in platform express array induction final composite,177104146600,G02115, C022,ST00BP01,  330,EI,8124,6543,9/11/1997,697260,QCCD0042,QC_DATA,log13209,N,,10/28/1999,.tif,1,G,243,7/21/2021 11:40:03 AM,
0000000010{B-1331}0000023260-0001,1in tvd platform express array induction field tvd final composite,177104146600,G02115, C022,ST00BP01,  330,EI,7572,6373,9/11/1997,657375,QCCD0042,QC_DATA,log13210,N,,10/28/1999,.tif,1,G,243,7/21/2021 11:40:03 AM,
0000000010{B-1331}0000023261-0001,5in repeat formation tester final composite,177104146600,G02115, C022,ST00BP01,  330,EI,8124,6543,9/16/1997,7862334,QCCD0042,QC_DATA,log13211,N,,10/28/1999,.tif,1,G,243,7/21/2021 11:40:03 AM,
0000000010{B-1364}0000024353-0001,"5in litho bulk density compensated neutron ngt gamma ray, final composite",608074018001,G09240,  001,ST01BP00,  785,GB,17508,12188,2/24/1998,6078663,QCCD0022,QC_DATA,gb002320,N,,12/21/1998,.tif,1,G,4640,9/22/1998,
0000000010{B-1364}0000024354-0001,"5in array induction density-neutron high resolution, final composite",608074018001,G09240,  001,ST01BP00,  785,GB,17508,12188,2/24/1998,18109193,QCCD0022,QC_DATA,gb002323,N,,12/21/1998,.tif,1,G,4640,9/22/1998,
0000000010{B-1364}0000024355-0001,"5in array induction dipole sonic gamma ray, final composite",608074018001,G09240,  001,ST01BP00,  785,GB,17508,12188,2/24/1998,10260822,QCCD0022,QC_DATA,gb002324,N,,12/21/1998,.tif,1,G,4640,9/22/1998,
0000000010{B-1364}0000024356-0001,"5 ngt gamma ray, final composite",608074018001,G09240,  001,ST01BP00,  785,GB,17508,12188,2/24/1998,15343931,QCCD0022,QC_DATA,gb002325,N,,12/21/1998,.tif,1,G,4640,9/22/1998,
0000000010{B-1364}0000024357-0001,"5in tvd array induction high resolution bulk density field tvd, final composite",608074018001,G09240,  001,ST01BP00,  785,GB,17508,12188,2/24/1998,8501493,QCCD0022,QC_DATA,gb002319,N,,12/21/1998,.tif,1,G,4640,9/22/1998,
0000000010{B-1364}0000024358-0001,"1in array induction gamma ray, final composite",608074018001,G09240,  001,ST01BP00,  785,GB,17508,12188,2/24/1998,1958559,QCCD0022,QC_DATA,gb002322,N,,12/21/1998,.tif,1,G,4640,9/22/1998,
0000000010{B-1364}0000024359-0001,"1in tvd array induction field tvd, final composite",608074018001,G09240,  001,ST01BP00,  785,GB,17508,12188,2/24/1998,1895161,QCCD0022,QC_DATA,gb002321,N,,12/21/1998,.tif,1,G,4640,9/22/1998,
0000000010{B-1364}0000024360-0001,modular dynamics formation tester gamma ray,608074018000,G09240,  001,ST00BP00,  785,GB,12140,11532,1/18/1998,4457539,QCCD0022,QC_DATA,gb002318,N,,12/21/1998,.tif,1,G,4640,9/22/1998,
0000000010{B-1364}0000024360-0002,modular dynamics formation tester gamma ray,608074018000,G09240,  001,ST00BP00,  785,GB,12140,11532,1/18/1998,6848741,QCCD0022,QC_DATA,,N,,12/21/1998,.tif,1,G,4640,9/22/1998,
0000000010{B-1364}0000024360-0003,modular dynamics formation tester gamma ray,608074018000,G09240,  001,ST00BP00,  785,GB,12140,11532,1/18/1998,10710033,QCCD0022,QC_DATA,,N,,12/21/1998,.tif,1,G,4640,9/22/1998,
0000000010{B-317}0000024845-0001,5in MD PHASOR INDUCTION / SFL / ARRAY IND / FINAL,177044077370,G09478, A006,ST01BP00,  332,EC,11765,10700,3/27/1997,4383586,QCCD0063,QC_DATA,log04823,N,,5/26/1999,.tif,1,G,250,12/17/2020 10:11:22 AM,
0000000010{B-317}0000024850-0001,5in MD ENHANCED PHASOR IND / SFL / GR / FINAL,177044077301,G09478, A006,ST01BP01,  332,EC,11530,10700,4/16/1997,1838728,QCCD0063,QC_DATA,log04827,N,,6/15/1999,.tif,1,G,250,12/17/2020 10:11:22 AM,
0000000010{B-317}0000024851-0001,5in TVD PHASOR INDUCTION / SFL / ARRAY IND / FIELD TVD / FINAL / DIRECTIONAL SURVEY INCLUDED,177044077370,G09478, A006,ST01BP00,  332,EC,11344,10345,3/27/1997,2924812,QCCD0063,QC_DATA,log04824,N,,5/26/1999,.tif,1,G,250,12/17/2020 10:11:22 AM,
0000000010{B-317}0000024852-0001,5in TVD ENHANCED PHASOR IND / SFL / FIELD TVD / FINAL / DIRECTIONAL SURVEY INCLUDED,177044077301,G09478, A006,ST01BP01,  332,EC,11151,10272,4/16/1997,1159324,QCCD0063,QC_DATA,log04828,N,,6/15/1999,.tif,1,G,250,12/17/2020 10:11:22 AM,
0000000010{B-317}0000024853-0001,1in MD PHASOR INDUCTION / SFL / ARRAY IND / FINAL,177044077370,G09478, A006,ST01BP00,  332,EC,11765,10700,3/27/1997,572511,QCCD0063,QC_DATA,log04825,N,,5/26/1999,.tif,1,G,250,12/17/2020 10:11:22 AM,
0000000010{B-317}0000024854-0001,1in MD ENHANCED PHASOR IND / SFL / FINAL,177044077301,G09478, A006,ST01BP01,  332,EC,11530,10700,4/16/1997,476219,QCCD0063,QC_DATA,log04829,N,,6/15/1999,.tif,1,G,250,12/17/2020 10:11:22 AM,
0000000010{B-317}0000024855-0001,1in TVD PHASOR INDUCTION / SFL / ARRAY IND / FIELD TVD / FINAL / DIRECTIONAL SURVEY INCLUDED,177044077370,G09478, A006,ST01BP00,  332,EC,11344,10355,3/27/1997,524497,QCCD0063,QC_DATA,log04826,N,,5/26/1999,.tif,1,G,250,12/17/2020 10:11:22 AM,
0000000010{B-317}0000024856-0001,1in TVD ENHANCED PHASOR IND / SFL / FIELD TVD / FINAL / DIRECTIONAL SURVEY INCLUDED,177044077301,G09478, A006,ST01BP01,  332,EC,11151,10272,4/16/1997,512567,QCCD0063,QC_DATA,log04830,N,,6/15/1999,.tif,1,G,250,12/17/2020 10:11:22 AM,
0000000010{B-517}0000022172-0001,5in  Array Induction / Long Spaced Sonic,608105007300,G13079,  004,ST00BP00,  910,EW,14550,10484,7/4/1997,6466823,QCCD0049,MMS,ew002682,N,,9/1/1999,.tif,1,G,630,12/21/2010 7:23:53 AM,
0000000010{B-517}0000022173-0001,5in  Litho Density/Compensated Neutron/Final,608105007300,G13079,  004,ST00BP00,  910,EW,14550,10484,7/4/1997,3829589,QCCD0049,MMS,ew002680,N,,9/1/1999,.tif,1,G,630,12/21/2010 7:23:53 AM,
0000000010{B-517}0000022174-0001,5in  Borehole Profile,608105007300,G13079,  004,ST00BP00,  910,EW,14550,10484,7/4/1997,6817798,QCCD0049,MMS,ew002683,N,,9/1/1999,.tif,1,G,630,12/21/2010 7:23:53 AM,
0000000010{B-517}0000022176-0001,1in  Array Induction / Correlation / GR,608105007300,G13079,  004,ST00BP00,  910,EW,14550,10484,7/4/1997,1186082,QCCD0049,MMS,ew002684,N,,9/1/1999,.tif,1,G,630,12/21/2010 7:23:53 AM,
0000000010{B-710}0000022164-0001,5in platform express,177254063900,G16500, A005,ST00BP02,  138,MP,14304,1009,8/20/1997,22221486,QCCD0043,QC_DATA,mp011114,N,,10/16/1999,.tif,1,G,158,2/21/2014 9:58:39 AM,
0000000010{B-710}0000022165-0001,compensated neutron log gamma ray ccl,177254063900,G16500, A005,ST00BP02,  138,MP,14397,6930,9/9/1997,5113341,QCCD0043,QC_DATA,mp011111,N,,10/16/1999,.tif,1,G,158,2/21/2014 9:58:39 AM,
0000000010{B-710}0000022166-0001,5in density neutron-gr (pex),177254063900,G16500, A005,ST00BP02,  138,MP,14304,1009,8/17/1997,16637185,QCCD0043,QC_DATA,mp011116,N,,10/16/1999,.tif,1,G,158,2/21/2014 9:58:39 AM,
0000000010{B-710}0000022167-0001,5in density neutron-gr (pex),177254063900,G16500, A005,ST00BP02,  138,MP,9238,1009,8/22/1997,8845019,QCCD0043,QC_DATA,mp011115,N,,10/16/1999,.tif,1,G,158,2/21/2014 9:58:39 AM,
0000000010{B-710}0000022168-0001,5in tvd platform express true vertical depth,177254063900,G16500, A005,ST00BP02,  138,MP,14304,1009,8/17/1997,11316056,QCCD0043,QC_DATA,mp011113,N,,10/16/1999,.tif,1,G,158,2/21/2014 9:58:39 AM,
0000000010{B-710}0000022169-0001,1in tvd array induction correlation log,177254063900,G16500, A005,ST00BP02,  138,MP,14304,1009,8/17/1997,3138991,QCCD0043,QC_DATA,mp011117,N,,10/16/1999,.tif,1,G,158,2/21/2014 9:58:39 AM,
0000000010{B-710}0000022170-0001,1in tvd array induction correlation log,177254063900,G16500, A005,ST00BP02,  138,MP,14304,1009,8/17/1997,2448377,QCCD0043,QC_DATA,mp011112,N,,10/16/1999,.tif,1,G,158,2/21/2014 9:58:39 AM,
0000000010{B-852}0000023270-0001,5in  Array Induction / Density / Neutron / Final,177044096900,G13593,  003,ST00BP00,  364,EC,13169,10806,9/28/1997,4571824,QCCD0040,QC_DATA,ec010494,N,,8/24/1998,.tif,1,G,367,5/26/1998,
0000000010{B-852}0000023271-0001,5in  Dipole Shear Sonic Imaging / Final,177044096900,G13593,  003,ST00BP00,  364,EC,13130,8644,9/30/1997,3793336,QCCD0040,QC_DATA,ec010496,N,,8/24/1998,.tif,1,G,367,5/26/1998,
0000000010{B-852}0000023272-0001,1in  Array Induction / GR / Final,177044096900,G13593,  003,ST00BP00,  364,EC,13169,10806,9/28/1997,769776,QCCD0040,QC_DATA,ec010495,N,,8/24/1998,.tif,1,G,367,5/26/1998,
0000000010{B-862}0000022189-0001,"5in phasor induction-sfl density-neutron gamma ray, final composite",177094020701, 00808, E008,ST01BP00,  219,EI,9933,3995,10/16/1997,6819877,QCCD0038,QC_DATA,log13053,N,,12/21/1999,.tif,1,G,117,3/25/2019 11:14:15 AM,
0000000010{B-862}0000022190-0001,"5in phasor induction-sfl dipole shear sonic gamma ray, final composite",177094020701, 00808, E008,ST01BP00,  219,EI,9933,3995,10/16/1997,6321303,QCCD0038,QC_DATA,log13054,N,,12/21/1999,.tif,1,G,117,3/25/2019 11:14:15 AM,
0000000010{B-862}0000022191-0001,"1in phasor induction-sfl gamma ray, final composite",177094020701, 00808, E008,ST01BP00,  219,EI,9933,3995,10/16/1997,1169580,QCCD0038,QC_DATA,log13055,N,,12/21/1999,.tif,1,G,117,3/25/2019 11:14:15 AM,
0000000010{B-862}0000022192-0001,"1in tvd phasor induction-sfl field tvd, final composite",177094020701, 00808, E008,ST01BP00,  219,EI,9933,3995,10/16/1997,1288102,QCCD0038,QC_DATA,log13056,N,,12/21/1999,.tif,1,G,117,3/25/2019 11:14:15 AM,
0000000010{B-862}0000022193-0001,"10in density-neutron high resolution, final composite",177094020701, 00808, E008,ST01BP00,  219,EI,9933,3995,10/16/1997,1107082,QCCD0038,QC_DATA,log13057,N,,12/21/1999,.tif,1,G,117,3/25/2019 11:14:15 AM,
0000000010{B-884}0000022154-0001,5in  Corrected/Platform Express/Array Induction/Final,177004097500,G03496,  002,ST00BP00,  206,WC,12280,4498,10/28/1997,10933118,QCCD0038,QC_DATA,log10007,N,,12/25/1999,.tif,1,G,60,6/15/2009 3:39:49 PM,
0000000010{B-884}0000022155-0001,5in  Corrected/Platform Express/Micro Log/Final,177004097500,G03496,  002,ST00BP00,  206,WC,12280,4498,10/28/1997,8298945,QCCD0038,QC_DATA,log10008,N,,12/25/1999,.tif,1,G,60,6/15/2009 3:39:49 PM,
0000000010{B-884}0000022156-0001,5in  Dipole Sonic Shear Imager / Final,177004097500,G03496,  002,ST00BP00,  206,WC,12246,4406,11/5/1997,7789327,QCCD0038,QC_DATA,,N,,12/25/1999,.tif,1,G,60,6/15/2009 3:39:49 PM,
0000000010{B-884}0000022157-0001,1in  Corrected / Correlation / Array Induction / Final,177004097500,G03496,  002,ST00BP00,  206,WC,12280,4498,10/28/1997,2152459,QCCD0038,QC_DATA,,N,,12/25/1999,.tif,1,G,60,6/15/2009 3:39:49 PM,
0000000010{B-898}0000023262-0001,5in md cdr adn log measured depth,177194065000,G01072,  009,ST00BP00,   40,WD,3815,1622,9/20/1997,2636051,QCCD0040,QC_DATA,,N,,11/19/1999,.tif,1,G,95,6/23/2008 6:58:59 AM,
0000000010{B-898}0000023263-0001,5in md adn quadrant log measured depth,177194065000,G01072,  009,ST00BP00,   40,WD,3815,1622,9/20/1997,3024104,QCCD0040,QC_DATA,,N,,11/19/1999,.tif,1,G,95,6/23/2008 6:58:59 AM,
0000000010{B-898}0000023264-0001,1in MD cdr log measured depth,177194065000,G01072,  009,ST00BP00,   40,WD,3815,1622,9/20/1997,669165,QCCD0040,QC_DATA,,N,,11/19/1999,.tif,1,G,95,6/23/2008 6:58:59 AM,
0000000010{B-898}0000023265-0001,1in tvd cdr log true vertical depth,177194065000,G01072,  009,ST00BP00,   40,WD,3815,1622,9/20/1997,649717,QCCD0040,QC_DATA,,N,,11/19/1999,.tif,1,G,95,6/23/2008 6:58:59 AM,
0000000010{C-1051}0000027844-0001,5in  Array Induction / Long Spaced Sonic / Final,608104010500,G13079, A006,ST00BP00,  910,EW,12896,9994,6/20/1999,5556839,QCCD0120,PETRIS,ew002274,N,,8/18/2001,.tif,1,G,560,12/21/2010 7:23:53 AM,
0000000010{C-1051}0000027845-0001,5in TVD  Array Induction/Long Spaced Sonic/Final/Directional Survey,608104010500,G13079, A006,ST00BP00,  910,EW,12691,9859,6/20/1999,3585951,QCCD0120,PETRIS,ew002275,N,,8/18/2001,.tif,1,G,560,12/21/2010 7:23:53 AM,
0000000010{C-1051}0000027846-0001,1in & 5in  Platform Exp/Array Ind/Density/Neutron/Final,608104010500,G13079, A006,ST00BP00,  910,EW,12896,10192,6/20/1999,6064946,QCCD0120,PETRIS,ew002276,N,,8/18/2001,.tif,1,G,560,12/21/2010 7:23:53 AM,
0000000010{C-1051}0000027847-0001,1in & 5in TVD  Platform Exp/Array Ind/Density/Neutron/Final/Directional Survey included,608104010500,G13079, A006,ST00BP00,  910,EW,12691,9859,6/20/1999,4582853,QCCD0120,PETRIS,ew002277,N,,8/18/2001,.tif,1,G,560,12/21/2010 7:23:53 AM,
0000000010{C-1051}0000027848-0001,10in  Hi-Res/Platform Exp/Array Ind/Density/Neutron/Final,608104010500,G13079, A006,ST00BP00,  910,EW,12609,10790,6/20/1999,3047001,QCCD0120,PETRIS,ew002278,N,,8/18/2001,.tif,1,G,560,12/21/2010 7:23:53 AM,
0000000010{C-1051}0000027849-0001,1in & 5in  Structural Dipmeter Computation / Final,608104010500,G13079, A006,ST00BP00,  910,EW,12741,10200,6/20/1999,3282655,QCCD0120,PETRIS,ew002279,N,,8/18/2001,.tif,1,G,560,12/21/2010 7:23:53 AM,
0000000010{C-1051}0000027850-0001,5in  Formation Micro Imager / GR / Final,608104010500,G13079, A006,ST00BP00,  910,EW,12756,10192,6/20/1999,2823340,QCCD0120,PETRIS,ew002280,N,,8/18/2001,.tif,1,G,560,12/21/2010 7:23:53 AM,
0000000010{C-129}0000020859-0001,1in & 5in MD mwd dgr dual gamma ray ewr--phase 4 electromagnetic wave resistivity cn compensated neutron porosity sld stabilized litho density,608164032300,G07923, A025,ST00BP00,   27,MC,7955,3782,1/30/1998,7104358,QCCD0021,QC_DATA,,N,,3/30/2000,.tif,1,G,1295,,
0000000010{C-129}0000020860-0001,1in & 5in TVD mwd dgr dual gamma ray ewr--phase 4 electromagnetic wave resistivity cn compensated neutron porosity sld stabilized litho density,608164032300,G07923, A025,ST00BP00,   27,MC,6221,3413,1/30/1998,5591362,QCCD0021,QC_DATA,,N,,3/30/2000,.tif,1,G,1295,,
0000000010{C-131}0000020867-0001,1in & 5in MD gamma-ray resistivity conductivity,608044017400,G09191,  004,ST00BP00,  688,EB,9414,7525,2/3/1998,6699287,QCCD0019,QC_DATA,eb002787,N,,4/2/2000,.tif,1,G,3751,5/21/2010 8:48:54 AM,
0000000010{C-133}0000020868-0001,5in  Propagation Resistivity / GR / RWD / Final,177024119900,G16202, A003,ST00BP00,  528,WC,10046,6448,3/5/1998,3058908,QCCD0014,QC_DATA,wc017066,N,,6/3/2000,.tif,1,G,176,4/24/2006 7:10:12 AM,
0000000010{C-133}0000020869-0001,5in TVD  Propagation Resistivity/GR/RWD/Final/Directional Survey included,177024119900,G16202, A003,ST00BP00,  528,WC,7145,4953,3/5/1998,2270951,QCCD0014,QC_DATA,wc017065,N,,6/3/2000,.tif,1,G,176,4/24/2006 7:10:12 AM,
0000000010{C-133}0000020870-0001,1in  Propagation Resistivity / GR / RWD / Final,177024119900,G16202, A003,ST00BP00,  528,WC,10046,6448,3/5/1998,994801,QCCD0014,QC_DATA,wc017064,N,,6/3/2000,.tif,1,G,176,4/24/2006 7:10:12 AM,
0000000010{C-133}0000020871-0001,1in TVD  Propagation Resistivity/GR/RWD/Final/Directional Survey included,177024119900,G16202, A003,ST00BP00,  528,WC,7145,4953,3/5/1998,1046331,QCCD0014,QC_DATA,wc017067,N,,6/3/2000,.tif,1,G,176,4/24/2006 7:10:12 AM,
0000000010{C-134}0000020872-0001,"5in md multiple propagation resistivity, gamma ray rwd",427114080101,G08187, B005,ST01BP00,A 272,HI,5700,5079,2/23/1998,841170,QCCD0021,QC_DATA,hi032372,N,,4/25/2000,.tif,1,G,156,2/19/2009 3:06:47 PM,
0000000010{C-134}0000020873-0001,"5in tvd multiple propagation resistivity, gamma ray rwd",427114080101,G08187, B005,ST01BP00,A 272,HI,5700,5079,2/23/1998,799551,QCCD0021,QC_DATA,hi032374,N,,4/25/2000,.tif,1,G,156,2/19/2009 3:06:47 PM,
0000000010{C-134}0000020874-0001,"1in MD multiple propagation resistivity, gamma ray rwd",427114080101,G08187, B005,ST01BP00,A 272,HI,5700,5079,2/23/1998,416390,QCCD0021,QC_DATA,hi032393,N,,4/25/2000,.tif,1,G,156,2/19/2009 3:06:47 PM,
0000000010{C-134}0000020875-0001,"1in tvd multiple propagation resistivity, gamma ray rwd",427114080101,G08187, B005,ST01BP00,A 272,HI,5700,5079,2/23/1998,440176,QCCD0021,QC_DATA,hi032373,N,,4/25/2000,.tif,1,G,156,2/19/2009 3:06:47 PM,
0000000010{C-136}0000020876-0001,1in & 5in MD mwd ewr electromagnetic wave resistivity dgr dual gamma ray pwd pressure while drilling,177154094570,G18045,  001,ST00BP00,  160,ST,13393,1013,3/7/1998,13502439,QCCD0017,QC_DATA,st010225,N,,5/6/2000,.tif,1,G,130,6/30/2002,
0000000010{C-136}0000020877-0001,1in & 5in TVD mwd ewr electromagnetic wave resistivity dgr dual gamma ray pwd pressure while drilling,177154094570,G18045,  001,ST00BP00,  160,ST,13000,1013,3/7/1998,14178015,QCCD0017,QC_DATA,st010224,N,,5/6/2000,.tif,1,G,130,6/30/2002,
0000000010{C-136}0000020878-0001,5in  Hi Def Ind/Multi Array Acoust/Comp Z-Den/Comp Neu/GR/Final,177154094500,G18045,  001,ST00BP01,  160,ST,16020,5220,3/15/1998,12991352,QCCD0017,QC_DATA,st010227,N,,5/13/2000,.tif,1,G,130,6/30/2002,
0000000010{C-136}0000020879-0001,5in  Multipole Array Acoustilog,177154094500,G18045,  001,ST00BP01,  160,ST,15983,6370,3/18/1998,17859934,QCCD0017,QC_DATA,st010231,N,,5/13/2000,.tif,1,G,130,6/30/2002,
0000000010{C-136}0000020880-0001,1in  High Definition Induction / GR / Final,177154094500,G18045,  001,ST00BP01,  160,ST,16002,5220,3/15/1998,3825958,QCCD0017,QC_DATA,st010230,N,,5/13/2000,.tif,1,G,130,6/30/2002,
0000000010{C-136}0000020881-0001,1in TVD  High Definition Induction / GR / Final,177154094500,G18045,  001,ST00BP01,  160,ST,15304,5250,3/15/1998,2645008,QCCD0017,QC_DATA,st010229,N,,5/13/2000,.tif,1,G,130,6/30/2002,
0000000010{C-138}0000022038-0001,5in md rwd navigator propaqation resistivity gamma ray rwd,177054106801,G06678, A003,ST01BP00,  249,VR,3844,2632,1/24/1998,1358394,QCCD0023,QC_DATA,vr013868,N,,3/26/2000,.tif,1,G,144,5/21/2004 7:30:46 AM,
0000000010{C-138}0000022039-0001,"5in tvd rwd navigator propagation resistivity, gamma ray rwd",177054106801,G06678, A003,ST01BP00,  249,VR,1816,1630,1/24/1998,491606,QCCD0023,QC_DATA,vr013866,N,,3/26/2000,.tif,1,G,144,5/21/2004 7:30:46 AM,
