UNIT_AGT_NAME,UNIT_AGT_NUMBER,SORT_NAME,MMS_COMPANY_NUM
BM002,754310009,CANTIUM LLC,3481
BM002,754319006,CANTIUM LLC,3481
WR051,754314003,BOE EXPLORATION & PRODUCTION LLC,3572
WR271,754323005,BOE EXPLORATION & PRODUCTION LLC,3572
GC944,754324003,BOE EXPLORATION & PRODUCTION LLC,3572
MP064/065,754390004,GREYHOUND ENERGY LLC,3650
VR371,754393006,TALOS QN EXPLORATION LLC,3672
GC244,754393016,TALOS QN EXPLORATION LLC,3672
GI116,754398019,TALOS QN EXPLORATION LLC,3672
GC065,754399006,TALOS QN EXPLORATION LLC,3672
MC948,754313005,TALOS QN EXPLORATION LLC,3672
MC698,754316002,TALOS QN EXPLORATION LLC,3672
GC040,754318002,TALOS QN EXPLORATION LLC,3672
VK959,754315009,BEACON GROWTHCO OPERATING COMPANY LLC,3567
WC096,754307017,TALOS THIRD COAST LLC,3619
GA142A,754388029,ELF AQUITAINE INC,128
EI023,754393009,ANADARKO E&P COMPANY LP,148
