PARAMETER,UNIT,REGION,RP_10YR,RP_25YR,RP_50YR,RP_100YR,RP_200YR,RP_1000YR,RP_2000YR
10 min mean wind speed (m/s),m/s,Late season (October 21 through November 30) Eastern Gulf of Mexico,22.5,26.3,28.5,30.8,32.8,38.9,40.5
1 min mean wind speed (m/s),m/s,Early season (June 1 to August 1) central and western Gulf of Mexico,22.1,27.7,32.4,36.3,39.4,46.6,48.7
1 min mean wind speed (m/s),m/s,Late season (October 21 through November 30) central and western Gulf of Mexico,19.8,24.3,27.1,29.5,31.8,37.7,39.4
1 min mean wind speed (m/s),m/s,Early season (June 1 to August 1) Eastern Gulf of Mexico,27.6,32.5,35.5,38.4,41.1,49.3,51.6
1 min mean wind speed (m/s),m/s,Late season (October 21 through November 30) Eastern Gulf of Mexico,24.7,29,31.6,34.3,36.6,43.9,45.82
3 sec gust (m/s),m/s,Early season (June 1 to August 1) central and western Gulf of Mexico,24.5,31.1,36.6,41.2,45,53.6,56.2
3 sec gust (m/s),m/s,Late season (October 21 through November 30) central and western Gulf of Mexico,21.9,27.2,30.4,33.2,35.9,43,45
3 sec gust (m/s),m/s,Early season (June 1 to August 1) Eastern Gulf of Mexico,31,36.8,40.2,43.8,47,57,59.7
3 sec gust (m/s),m/s,Late season (October 21 through November 30) Eastern Gulf of Mexico,27.6,32.6,35.7,38.8,41.6,50.4,52.7
Significant wave height (m),m,Early season (June 1 to August 1) central and western Gulf of Mexico,5.1,6.4,7.2,8.4,8.8,10.5,10.9
Significant wave height (m),m,Late season (October 21 through November 30) central and western Gulf of Mexico,4.4,5.9,6.5,7,7.3,8.7,9
Significant wave height (m),m,Early season (June 1 to August 1) Eastern Gulf of Mexico,5.9,7.3,8,8.8,9.3,11,11.4
Significant wave height (m),m,Late season (October 21 through November 30) Eastern Gulf of Mexico,5.6,6.9,7.5,8.3,8.8,10.4,10.8
Maximum wave height (m),m,Early season (June 1 to August 1) central and western Gulf of Mexico,9,11.3,12.8,14.8,15.5,18.5,19.3
Maximum wave height (m),m,Late season (October 21 through November 30) central and western Gulf of Mexico,7.8,10.3,11.5,12.3,12.8,15.4,16
Maximum wave height (m),m,Early season (June 1 to August 1) Eastern Gulf of Mexico,10.4,12.9,14.1,15.6,16.4,19.4,20.2
Maximum wave height (m),m,Late season (October 21 through November 30) Eastern Gulf of Mexico,9.9,12.2,13.3,14.7,15.5,18.3,19
Maximum crest elevation (m),m,Early season (June 1 to August 1) central and western Gulf of Mexico,6,7.6,8.5,9.7,10.2,12.1,12.5
Maximum crest elevation (m),m,Late season (October 21 through November 30) central and western Gulf of Mexico,5.2,6.9,7.7,8.2,8.5,10.1,10.5
Maximum crest elevation (m),m,Early season (June 1 to August 1) Eastern Gulf of Mexico,7.1,8.6,9.4,10.4,10.9,12.8,13.2
Maximum crest elevation (m),m,Late season (October 21 through November 30) Eastern Gulf of Mexico,6.7,8.2,8.9,9.9,10.3,12.1,12.5
Peak spectral period (s),s,Early season (June 1 to August 1) central and western Gulf of Mexico,10.5,11.4,11.9,13,13.2,14.1,14.3
Peak spectral period (s),s,Late season (October 21 through November 30) central and western Gulf of Mexico,9,10.2,10.6,11,11.2,12.1,12.2
Peak spectral period (s),s,Early season (June 1 to August 1) Eastern Gulf of Mexico,9.9,11,11.5,12,12.3,13.3,13.5
Peak spectral period (s),s,Late season (October 21 through November 30) Eastern Gulf of Mexico,9.7,10.7,11.1,11.7,12,13,13.2
Period of maximum wave (s),s,Early season (June 1 to August 1) central and western Gulf of Mexico,9.4,10.3,10.7,11.7,11.9,12.7,12.9
Period of maximum wave (s),s,Late season (October 21 through November 30) central and western Gulf of Mexico,8.1,9.2,9.6,9.9,10.1,10.9,11
Period of maximum wave (s),s,Early season (June 1 to August 1) Eastern Gulf of Mexico,8.9,9.9,10.3,10.8,11.1,12,12.2
Period of maximum wave (s),s,Late season (October 21 through November 30) Eastern Gulf of Mexico,8.7,9.6,10,10.5,10.8,11.7,11.9
Surface speed (m/s),m/s,Early season (June 1 to August 1) central and western Gulf of Mexico,0.94,1.15,1.33,1.48,1.59,1.84,1.92
Surface speed (m/s),m/s,Late season (October 21 through November 30) central and western Gulf of Mexico,0.84,1.02,1.13,1.22,1.31,1.53,1.59
Surface speed (m/s),m/s,Early season (June 1 to August 1) Eastern Gulf of Mexico,1.15,1.34,1.45,1.56,1.65,1.94,2.03
Surface speed (m/s),m/s,Late season (October 21 through November 30) Eastern Gulf of Mexico,1.04,1.2,1.31,1.4,1.49,1.75,1.83
Speed at mid-profile (m/s),m/s,Early season (June 1 to August 1) central and western Gulf of Mexico,0.7,0.87,1,1.11,1.19,1.38,1.44
Speed at mid-profile (m/s),m/s,Late season (October 21 through November 30) central and western Gulf of Mexico,0.63,0.77,0.85,0.92,0.98,1.15,1.19
Speed at mid-profile (m/s),m/s,Early season (June 1 to August 1) Eastern Gulf of Mexico,0.87,1,1.09,1.17,1.24,1.46,1.51
Speed at mid-profile (m/s),m/s,Late season (October 21 through November 30) Eastern Gulf of Mexico,0.78,0.91,0.98,1.05,1.12,1.31,1.37
Bottom of profile (m),m,Early season (June 1 to August 1) central and western Gulf of Mexico,39.2,48.5,55.9,61.3,66.8,77.5,80.6
Bottom of profile (m),m,Late season (October 21 through November 30) central and western Gulf of Mexico,35.3,42.9,47.5,51.4,55.1,64.3,66.8
Bottom of profile (m),m,Early season (June 1 to August 1) Eastern Gulf of Mexico,48.3,56.1,60.8,65.3,69.4,81.6,84.9
Bottom of profile (m),m,Late season (October 21 through November 30) Eastern Gulf of Mexico,43.5,50.6,54.8,58.8,62.6,73.6,76.5
Associated storm surge (m),m,Early season (June 1 to August 1) central and western Gulf of Mexico,0.16,0.26,0.33,0.4,0.47,0.56,0.6
Associated storm surge (m),m,Late season (October 21 through November 30) central and western Gulf of Mexico,0.14,0.22,0.27,0.34,0.39,0.47,0.5
Associated storm surge (m),m,Early season (June 1 to August 1) Eastern Gulf of Mexico,0.19,0.28,0.35,0.43,0.49,0.61,0.69
Associated storm surge (m),m,Late season (October 21 through November 30) Eastern Gulf of Mexico,0.17,0.26,0.31,0.39,0.45,0.55,0.62
Tidal amplitude (m),m,Early season (June 1 to August 1) central and western Gulf of Mexico,0.42,0.42,0.42,0.42,0.42,0.42,0.42
Tidal amplitude (m),m,Late season (October 21 through November 30) central and western Gulf of Mexico,0.42,0.42,0.42,0.42,0.42,0.42,0.42
Tidal amplitude (m),m,Early season (June 1 to August 1) Eastern Gulf of Mexico,0.42,0.42,0.42,0.42,0.42,0.42,0.42
Tidal amplitude (m),m,Late season (October 21 through November 30) Eastern Gulf of Mexico,0.42,0.42,0.42,0.42,0.42,0.42,0.42
