field,surf_lease_num,water_depth_ft,api_well_number,well_name,spud_date,total_depth_date,drilling_days,completion_days,max_bh_total_md_ft,max_well_bore_tvd_ft,max_drill_fluid_wgt_ppg
Big Foot,G16942,5190.0,608124006602.0,A006,2020-01-19,2020-01-30,11.0,17.0,21236.0,19752.0,17.0
Big Foot,G16942,5190.0,608124006603.0,A006,2020-02-12,2020-03-01,18.0,224.0,23006.0,21395.0,16.4
Big Foot,G16942,5190.0,608124006700.0,A007,2012-05-17,2022-10-24,98.0,102.0,29120.0,25448.0,17.0
Big Foot,G16942,5190.0,608124006800.0,A008,2013-01-22,2021-12-02,118.0,164.0,24322.0,21801.0,17.0
Big Foot,G16942,5190.0,608124006900.0,A009,,,,,,,
Big Foot,G16942,5190.0,608124007000.0,A010,,,,,,,
Big Foot,G16942,5190.0,608124007100.0,A011,2012-04-13,2021-01-16,66.0,22.0,24379.0,22592.0,17.0
Big Foot,G16942,5190.0,608124007101.0,A011,2021-02-05,2021-02-12,7.0,16.0,24017.0,22548.0,15.0
Big Foot,G16942,5190.0,608124007102.0,A011,2021-02-21,2021-05-22,90.0,129.0,23919.0,22424.0,14.0
Big Foot,G16942,5190.0,608124007103.0,A011,2023-09-18,2023-10-02,14.0,69.0,24540.0,22969.0,13.6
Big Foot,G16942,5190.0,608124005900.0,A012,,,,,,,
Big Foot,G16942,5190.0,608124007200.0,A013,,,,,,,
Big Foot,G16942,5190.0,608124007300.0,A014,,,,,,,
Big Foot,G16942,5190.0,608124007400.0,A015,,,,,,,
Cascade,G16965,8200.0,608124000800.0,001,2002-01-31,2002-04-14,73.0,9.0,26710.0,26685.0,
Cascade,G16965,8200.0,608124000801.0,001,2002-04-23,2002-05-16,23.0,22.0,27929.0,27908.0,
Cascade,G16965,8200.0,608124001600.0,002,2005-03-19,2005-05-29,71.0,140.0,30213.0,28000.0,14.5
Cascade,G16965,8200.0,608124001601.0,002,2005-10-09,2005-11-24,46.0,60.0,28565.0,26575.0,16.8
Cascade,G16965,8200.0,608124004700.0,004,2009-11-25,2012-03-28,176.0,18.0,19400.0,19348.0,16.4
Cascade,G16965,8200.0,608124008200.0,005,2012-12-18,2012-12-21,3.0,9.0,11967.0,11967.0,16.4
Cascade,G16965,8200.0,608124003800.0,CA003,2008-11-06,2009-06-03,209.0,245.0,27019.0,26804.0,15.6
Cascade,G16965,8200.0,608124004701.0,CA004,2012-04-13,2012-06-17,65.0,175.0,27243.0,26493.0,19.2
Cascade,G16965,8200.0,608124008300.0,CA006,2013-01-01,2013-08-11,222.0,128.0,27460.0,26969.0,17.0
Chinook,G16997,8900.0,608124001000.0,001,2003-01-13,2003-06-19,157.0,27.0,27652.0,27626.0,16.15
Chinook,G16997,8900.0,608124004600.0,002,2009-11-27,2009-12-22,25.0,19.0,21695.0,21671.0,16.5
Chinook,G16997,8900.0,608124004601.0,002,2010-01-08,2010-02-05,28.0,9.0,25077.0,25022.0,16.0
Chinook,G16997,8900.0,608124004602.0,CH002,2010-02-11,2010-02-24,13.0,90.0,26378.0,26222.0,14.9
Chinook,G16997,8900.0,608124009700.0,CH004,2014-12-07,2015-03-11,94.0,311.0,26480.0,26263.0,18.3
Jack,G21245,7240.0,608124000400.0,001,2000-09-21,2000-11-20,60.0,39.0,20300.0,20266.0,
Jack,G21245,7240.0,608124000401.0,001,2000-11-27,2001-01-06,40.0,21.0,26850.0,26795.0,
Jack,G21245,7240.0,608124000402.0,001,2004-05-21,2004-06-09,19.0,25.0,28905.0,28845.0,16.8
Jack,G21245,7240.0,608124001100.0,002,2003-07-06,2003-10-13,99.0,37.0,29066.0,29012.0,18.5
Jack,G21245,7240.0,608124003100.0,003,2007-12-21,2008-08-03,226.0,21.0,28240.0,28238.0,16.8
Jack,G21245,7240.0,608124003101.0,003,2008-08-23,2008-10-18,56.0,34.0,28360.0,28265.0,16.4
Jack,G21245,7240.0,608124013500.0,IS001,2020-12-26,2021-02-09,45.0,144.0,28475.0,28300.0,18.0
Jack,G21245,7240.0,608124013300.0,IS003,2020-08-14,2020-11-29,107.0,144.0,28350.0,28291.0,18.5
Julia,G20351,7335.0,608124009400.0,DC101,2014-07-10,2014-11-03,116.0,143.0,30944.0,30685.0,45.0
Julia,G20351,7335.0,608124003300.0,JU102,2008-02-17,2008-05-23,96.0,80.0,30955.0,30951.0,16.9
Julia,G20351,7335.0,608124003301.0,JU102,2015-01-20,2015-02-26,37.0,173.0,30483.0,30453.0,16.2
Julia,G20351,7335.0,608124010200.0,JU103,2015-10-21,2016-01-12,83.0,29.0,31400.0,30815.0,16.6
Julia,G20351,7335.0,608124010800.0,JU104,2016-02-13,2016-06-30,138.0,130.0,31315.0,30310.0,20.0
Julia,G20351,7335.0,608124011100.0,JU105,2016-09-03,2016-10-25,52.0,96.0,22195.0,21096.0,17.0
Julia,G20351,7335.0,608124011101.0,JU105,2017-01-24,2017-05-26,122.0,100.0,31472.0,28961.0,16.5
Julia,G20351,7335.0,608124012700.0,JU106,2019-05-10,2019-09-26,139.0,38.0,33077.0,30334.0,16.8
Julia,G20351,7335.0,608124012701.0,JU106,2019-10-29,2019-11-17,19.0,96.0,31910.0,29185.0,16.4
Kaskida,G25792,5860.0,608084001100.0,001,2006-01-24,2006-02-18,25.0,8.0,17952.0,17950.0,
Kaskida,G25792,5860.0,608084001101.0,001,2006-02-22,2006-03-31,37.0,16.0,30450.0,30444.0,15.0
Kaskida,G25792,5860.0,608084001102.0,001,2006-04-14,2006-05-22,38.0,46.0,32499.0,32475.0,15.2
Kaskida,G25792,5860.0,608084001103.0,001,2006-12-10,2006-12-24,14.0,50.0,29866.0,29771.0,15.4
Kaskida,G25792,5860.0,608084001104.0,001,2008-04-16,2008-06-02,47.0,26.0,32455.0,32432.0,
Kaskida,G25792,5860.0,608084002700.0,002,2011-11-02,2012-12-31,364.0,55.0,32970.0,31375.0,40.0
Kaskida,G25792,5860.0,608084002701.0,002,2013-02-28,2013-03-31,31.0,84.0,34381.0,32629.0,17.5
North Platte,G30876,5840.0,608074030500.0,001,2012-07-03,2012-08-17,45.0,37.0,23320.0,23320.0,17.0
North Platte,G30876,5840.0,608074030501.0,001,2012-09-20,2012-11-26,67.0,27.0,34500.0,34499.0,16.93
North Platte,G30876,5840.0,608074030502.0,001,2012-12-21,2013-01-13,23.0,15.0,33500.0,33498.0,15.7
North Platte,G32460,4230.0,608074031400.0,002,2015-02-03,2015-03-22,47.0,15.0,20701.0,20701.0,17.0
North Platte,G32460,4230.0,608074031500.0,003,2015-04-22,2015-10-20,181.0,26.0,34433.0,33913.0,18.0
North Platte,G32460,4230.0,608074031501.0,003,2015-11-13,2015-12-10,27.0,17.0,33939.0,33464.0,17.9
North Platte,G32460,4230.0,608074031502.0,003,2015-12-25,2016-02-09,46.0,31.0,33192.0,31960.0,18.2
North Platte,G30876,5840.0,608074032000.0,004,2016-09-05,2016-12-17,103.0,29.0,34775.0,34193.0,19.0
North Platte,G30876,5840.0,608074032001.0,004,2017-01-14,2017-03-05,50.0,28.0,37743.0,35115.0,18.2
North Platte,G30876,5840.0,608074032002.0,004,2017-04-10,2017-04-15,5.0,22.0,34464.0,32145.0,18.6
North Platte,G30876,5840.0,608074032003.0,004,2017-05-06,2017-06-02,27.0,16.0,34210.0,32041.0,18.6
North Platte,G30876,5840.0,608074032800.0,005,2023-02-03,2023-03-29,54.0,33.0,34995.0,33456.0,16.6
North Platte,G30876,5840.0,608074033000.0,SP201,,,,,,,
North Platte,G30876,5840.0,608074033100.0,SP202,,,,,,,
Shenandoah,G25232,5840.0,608124003400.0,001,2008-06-04,2008-06-23,19.0,13.0,16685.0,16684.0,12.7
Shenandoah,G25232,5840.0,608124003401.0,001,2008-07-03,2008-10-20,109.0,27.0,25413.0,25367.0,15.6
Shenandoah,G25232,5840.0,608124003402.0,001,2008-11-11,2009-01-22,72.0,74.0,30039.0,29948.0,17.0
Shenandoah,G31938,5800.0,608124007500.0,001,2012-06-29,2012-09-06,69.0,8.0,13075.0,13075.0,16.3
Shenandoah,G31938,5800.0,608124007900.0,002,2012-09-17,2013-01-29,134.0,49.0,31405.0,31405.0,17.0
Shenandoah,G25232,5840.0,608124009300.0,002,2014-05-29,2014-11-08,163.0,36.0,33225.0,32807.0,17.0
Shenandoah,G25232,5840.0,608124009301.0,002,2014-12-07,2014-12-19,12.0,14.0,31726.0,31373.0,14.5
Shenandoah,G31938,5800.0,608124010100.0,003,2015-05-26,2015-08-28,94.0,16.0,31296.0,31025.0,17.0
Shenandoah,G31938,5800.0,608124010101.0,003,2015-09-08,2015-10-16,38.0,16.0,32105.0,31803.0,16.8
Shenandoah,G31938,5800.0,608124010102.0,003,2015-10-26,2015-12-14,49.0,13.0,31765.0,31591.0,16.8
Shenandoah,G31938,5800.0,608124010103.0,003,2015-12-21,2016-01-02,12.0,15.0,29651.0,29189.0,17.8
Shenandoah,G25232,5840.0,608124011300.0,003,2016-12-16,2017-02-07,53.0,19.0,32047.0,31768.0,17.1
Shenandoah,G25232,5840.0,608124011301.0,003,2017-02-19,2017-02-26,7.0,14.0,30671.0,29933.0,17.0
Shenandoah,G31938,5800.0,608124010900.0,SA005,2016-03-14,2016-07-05,113.0,44.0,31100.0,31100.0,18.0
Shenandoah,G25232,5840.0,608124011302.0,SA006,2017-03-08,2017-03-20,12.0,32.0,30891.0,30141.0,80.0
Shenandoah,G31938,5800.0,608124014000.0,SA007,,,,,,,
Shenandoah,G31938,5800.0,608124014001.0,SA007,,,,,,,
Shenandoah,G31938,5800.0,608124014002.0,SA007,,,,,,,
Shenandoah,G31938,5800.0,608124014003.0,SA007,,,,,,,
Shenandoah,G31938,5800.0,608124014100.0,SA008,2022-11-22,2023-03-19,117.0,175.0,30965.0,30780.0,18.7
Shenandoah,G31938,5800.0,608124014400.0,SA009,2022-11-28,2023-05-12,165.0,186.0,31870.0,31085.0,19.2
Shenandoah,G31938,5800.0,608124013900.0,SA010,,,,,,,
Shenandoah,G31938,5800.0,608124015200.0,SA011,,,,,,,
St Malo,G17016,6820.0,608124001300.0,001,2004-03-09,2004-05-18,70.0,5.0,19653.0,19643.0,14.1
St Malo,G17016,6820.0,608124001301.0,001,2004-05-18,2004-07-09,52.0,24.0,29000.0,28986.0,14.4
St Malo,G18753,6820.0,608124002900.0,001,2007-08-17,2008-02-05,172.0,26.0,28459.0,28458.0,17.0
St Malo,G18745,6820.0,608124004400.0,001,2009-07-19,2009-07-21,2.0,2.0,9652.0,9652.0,13.3
St Malo,G20394,6820.0,608124012800.0,001,2019-08-17,2019-09-01,15.0,14.0,23305.0,21876.0,17.0
St Malo,G20394,6820.0,608124012801.0,001,2019-09-09,2019-09-14,5.0,22.0,23697.0,22552.0,16.7
St Malo,G20394,6820.0,608124012802.0,001,2019-09-29,2019-11-09,41.0,8.0,29817.0,28265.0,17.0
St Malo,G20394,6820.0,608124012803.0,001,2019-11-16,2019-11-21,5.0,10.0,30340.0,28840.0,17.0
St Malo,G17015,6820.0,608124002700.0,002,2007-08-06,2008-04-20,19.0,14.0,20203.0,19988.0,11.3
St Malo,G17015,6820.0,608124002701.0,002,2008-04-30,2008-05-28,28.0,11.0,23435.0,23045.0,12.6
St Malo,G17015,6820.0,608124002702.0,002,2008-06-04,2008-06-06,2.0,9.0,22565.0,22397.0,12.76
St Malo,G17015,6820.0,608124002703.0,002,2008-06-12,2008-10-10,120.0,47.0,29743.0,28328.0,15.09
St Malo,G18745,6820.0,608124005300.0,PN001,2011-11-21,2012-10-16,72.0,116.0,29009.0,28093.0,17.0
St Malo,G18745,6820.0,608124005400.0,PN002,2011-11-22,2015-07-07,61.0,80.0,28721.0,28076.0,16.4
St Malo,G18745,6820.0,608124005500.0,PN003,2011-11-23,2015-03-17,65.0,25.0,29255.0,28304.0,17.0
St Malo,G18745,6820.0,608124013200.0,PN005,2020-05-17,2020-06-12,26.0,9.0,21490.0,20171.0,17.0
St Malo,G18745,6820.0,608124013201.0,PN005,2020-06-19,2020-07-02,13.0,10.0,21665.0,20324.0,17.0
St Malo,G18745,6820.0,608124013202.0,PN005,2020-07-11,2020-09-30,81.0,125.0,30846.0,28656.0,18.0
St Malo,G18745,6820.0,608124010700.0,PN007,2015-10-29,2015-11-22,24.0,7.0,20452.0,20194.0,17.0
St Malo,G18745,6820.0,608124010701.0,PN007,2015-11-27,2015-12-26,29.0,94.0,28883.0,28318.0,17.0
St Malo,G17015,6820.0,608124005200.0,PS001,2011-11-06,2015-08-02,24.0,14.0,19621.0,19551.0,17.0
St Malo,G18753,6820.0,608124005700.0,PS001,2011-12-03,2013-05-04,82.0,122.0,29325.0,28367.0,17.0
St Malo,G17015,6820.0,608124005201.0,PS001,2015-08-10,2015-09-29,50.0,114.0,29478.0,28333.0,17.0
St Malo,G17015,6820.0,608124005202.0,PS001,2016-09-12,2016-09-20,8.0,47.0,29400.0,28252.0,16.6
St Malo,G17015,6820.0,608124005203.0,PS001,2016-10-30,2016-11-29,30.0,66.0,29506.0,28344.0,16.6
St Malo,G17015,6820.0,608124001700.0,PS002,2005-04-22,2005-11-08,200.0,187.0,28500.0,28498.0,17.0
St Malo,G17015,6820.0,608124001701.0,PS002,2012-10-05,2012-10-27,22.0,89.0,27945.0,27940.0,16.4
St Malo,G18753,6820.0,608124011400.0,PS002,2016-12-17,2017-02-12,57.0,87.0,29401.0,28265.0,18.0
St Malo,G18753,6820.0,608124005600.0,PS003,2011-11-26,2012-03-16,111.0,248.0,28276.0,28049.0,16.0
St Malo,G17015,6820.0,608124012600.0,PS003,2019-03-26,2019-04-14,19.0,7.0,18397.0,17601.0,17.0
St Malo,G17015,6820.0,608124012601.0,PS003,2019-04-19,2019-05-25,36.0,174.0,29661.0,28525.0,17.0
St Malo,G17015,6820.0,608124012602.0,PS003,,,,,,,
St Malo,G18753,6820.0,608124005800.0,PS004,2011-12-05,2015-09-21,44.0,105.0,28692.0,28195.0,16.6
St Malo,G17015,6820.0,608124005100.0,PS004,2012-04-03,2012-05-12,39.0,8.0,24994.0,24472.0,16.0
St Malo,G17015,6820.0,608124005101.0,PS004,2012-05-17,2012-05-18,1.0,9.0,24386.0,23924.0,13.6
St Malo,G17015,6820.0,608124005102.0,PS004,2012-05-24,2012-05-27,3.0,7.0,26105.0,25540.0,13.5
St Malo,G17015,6820.0,608124005103.0,PS004,2012-06-02,2012-07-04,32.0,102.0,29010.0,28201.0,16.4
St Malo,G17015,6820.0,608124005000.0,PS005,2011-11-13,2012-02-16,95.0,245.0,28712.0,28264.0,16.7
St Malo,G18753,6820.0,608124011800.0,PS005,2017-05-16,2017-06-11,26.0,7.0,12847.0,12846.0,17.0
St Malo,G18753,6820.0,608124011801.0,PS005,2017-06-15,2017-09-04,81.0,113.0,31071.0,28536.0,17.0
St Malo,G17015,6820.0,608124012500.0,PS006,2018-12-23,2019-02-10,49.0,171.0,30360.0,28547.0,17.0
St Malo,G18753,6820.0,608124013600.0,PS006,2021-04-11,2021-05-27,46.0,71.0,31295.0,28590.0,18.0
St Malo,G17015,6820.0,608124011500.0,PS007,2017-01-18,2017-03-20,61.0,13.0,24653.0,21724.0,25.0
St Malo,G17015,6820.0,608124011501.0,PS007,2017-03-27,2017-03-30,3.0,10.0,25065.0,22119.0,25.0
St Malo,G17015,6820.0,608124011502.0,PS007,2017-04-05,2017-04-07,2.0,16.0,25467.0,22396.0,17.0
St Malo,G17015,6820.0,608124011503.0,PS007,2017-04-17,2017-04-19,2.0,11.0,22465.0,19877.0,17.0
St Malo,G17015,6820.0,608124011504.0,PS007,2017-04-23,2017-05-31,38.0,140.0,31258.0,28371.0,16.5
St Malo,G18753,6820.0,608124012200.0,PS007,2018-01-05,2018-02-21,47.0,105.0,30612.0,28533.0,17.0
St Malo,G17015,6820.0,608124011600.0,PS008,2017-01-26,2018-04-15,15.0,7.0,22692.0,22545.0,16.8
St Malo,G17015,6820.0,608124011601.0,PS008,2018-04-21,2018-04-23,2.0,6.0,22793.0,22648.0,17.0
St Malo,G17015,6820.0,608124011602.0,PS008,2018-04-27,2018-05-02,5.0,11.0,22815.0,22690.0,17.1
St Malo,G17015,6820.0,608124011603.0,PS008,2018-05-07,2018-05-14,7.0,13.0,23193.0,23066.0,17.1
St Malo,G17015,6820.0,608124011604.0,PS008,2018-05-20,2018-05-26,6.0,8.0,23168.0,22727.0,16.8
St Malo,G17015,6820.0,608124011605.0,PS008,2018-05-30,2018-07-17,48.0,47.0,28856.0,28258.0,18.0
St Malo,G17015,6820.0,608124011606.0,PS008,2018-08-31,2018-09-07,7.0,103.0,28671.0,27998.0,17.7
St Malo,G18753,6820.0,608124015100.0,PS008,2023-10-14,2023-11-21,38.0,56.0,28695.0,28015.0,18.0
St Malo,G20394,6820.0,608124012804.0,PS009,2019-11-28,2019-12-02,4.0,132.0,30499.0,28973.0,16.4
St Malo,G17015,6820.0,608124014600.0,PS011,2023-04-21,2023-06-15,55.0,70.0,30350.0,28589.0,17.0
St Malo,G17015,6820.0,608124015500.0,PS012,,,,,,,
St Malo,G17015,6820.0,608124015501.0,PS012,,,,,,,
St Malo,G17015,6820.0,608124015502.0,PS012,,,,,,,
St Malo,G17015,6820.0,608124015503.0,PS012,,,,,,,
St Malo,G17015,6820.0,608124015504.0,PS012,,,,,,,
St Malo,G17016,6820.0,608124015300.0,PS013,,,,,,,
St Malo,G17016,6820.0,608124015400.0,PS014,,,,,,,
Stones,G17001,9525.0,608124001500.0,001,2004-12-31,2005-03-10,69.0,52.0,28639.0,28638.0,15.8
Stones,G17001,9525.0,608124007700.0,001,2012-06-20,2012-10-21,123.0,49.0,29571.0,28076.0,15.8
Stones,G17001,9525.0,608124002200.0,002,2006-08-02,2006-08-02,,13.0,12600.0,12600.0,15.8
Stones,G17001,9525.0,608124008700.0,004,2013-11-10,2014-01-20,71.0,24.0,17434.0,16633.0,16.0
Stones,G17001,9525.0,608124009200.0,005,2014-02-15,2014-03-26,39.0,4.0,20525.0,18865.0,15.6
Stones,G17001,9525.0,608124009201.0,005,2014-04-01,2014-06-21,81.0,12.0,25585.0,22868.0,16.4
Stones,G17001,9525.0,608124010500.0,008,2015-08-12,2015-08-13,1.0,15.0,11226.0,11226.0,9.5
Stones,G17001,9525.0,608124010300.0,009,2015-08-01,2015-08-02,1.0,10.0,11231.0,11230.0,15.6
Stones,G17001,9525.0,608124011000.0,011,2016-05-12,2016-07-28,77.0,24.0,29050.0,28126.0,16.6
Stones,G17001,9525.0,608124009500.0,SN105,2014-07-24,2014-12-26,155.0,152.0,31225.0,28307.0,16.4
Stones,G17001,9525.0,608124009900.0,SN109,2015-03-18,2015-06-05,79.0,101.0,30853.0,28333.0,16.6
Stones,G17001,9525.0,608124011001.0,SN110,2016-08-16,2016-09-08,23.0,112.0,28075.0,27228.0,17.0
Stones,G17001,9525.0,608124013700.0,SN114,2021-08-17,2022-01-20,156.0,17.0,29795.0,26635.0,16.8
Stones,G17001,9525.0,608124013701.0,SN114,2022-02-04,2022-02-08,4.0,78.0,29878.0,27023.0,16.8
Stones,G17001,9525.0,608124012900.0,SN115,2019-10-22,2020-04-23,184.0,51.0,28681.0,27488.0,16.4
Stones,G17001,9525.0,608124011200.0,SN206,2016-12-08,2017-08-21,78.0,67.0,30717.0,27172.0,16.2
Stones,G17001,9525.0,608124011700.0,SN207,2017-04-02,2017-06-03,62.0,40.0,31080.0,28179.0,16.3
Stones,G17001,9525.0,608124010400.0,SN208,2015-08-07,2017-02-20,88.0,117.0,27840.0,27326.0,16.2
Stones,G17001,9525.0,608124012300.0,SN213,2018-04-06,2018-05-15,39.0,92.0,30131.0,28272.0,16.2
Stones,G17001,9525.0,608124013400.0,SN216,2020-12-09,2021-02-27,80.0,48.0,28283.0,27595.0,16.2
Stones,G17001,9525.0,608124014300.0,SN219,2022-12-19,2023-02-02,45.0,17.0,28917.0,27933.0,17.2
Stones,G17001,9525.0,608124014301.0,SN219,2023-02-14,2023-02-16,2.0,50.0,28630.0,27522.0,16.4
Tiber,G25782,4130.0,608084001500.0,001,2009-03-12,2009-08-15,156.0,13.0,35055.0,35051.0,16.75
Tiber,G25782,4130.0,608084005500.0,002,2016-01-24,2016-03-22,58.0,23.0,31360.0,30836.0,16.8
