accounting_view,direction,row_kind,additive,project_id,requirement_id,award_id,total_event_id,scenario_id,lane,effective_date,date_precision,value_low_mm,value_high_mm,total_mm,eligible_mm,excluded_mm,overlap_mm,currency,price_basis,basis_year,ownership_basis,scope_basis,capex_basis,value_basis,evidence_derivation,source_provenance,confidence,counting_disposition,mapping_status,residual_mm,unallocated_mm,unreconciled_variance_mm,value_coverage,eligible_requirement_coverage,linked_requirement_coverage,source_identity,source_locator,scenario_status,reuse_allowed,rounding_policy,assumption_vintage,comparison_eligibility
scenario:evt-000003:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000005,,evt-000003,reference,,,,240.00,240.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000006,,evt-000003,reference,,,,280.00,280.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000007,,evt-000003,reference,,,,480.00,480.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000008,,evt-000003,reference,,,,240.00,240.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000001,,evt-000003,host_heavy,,,,1520.00,1520.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000002,,evt-000003,host_heavy,,,,200.00,200.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000003,,evt-000003,host_heavy,,,,400.00,400.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000004,,evt-000003,host_heavy,,,,680.00,680.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000005,,evt-000003,host_heavy,,,,200.00,200.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000006,,evt-000003,host_heavy,,,,240.00,240.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000007,,evt-000003,host_heavy,,,,520.00,520.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000008,,evt-000003,host_heavy,,,,240.00,240.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000001,,evt-000003,well_heavy,,,,800.00,800.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000002,,evt-000003,well_heavy,,,,320.00,320.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000003,,evt-000003,well_heavy,,,,600.00,600.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000004,,evt-000003,well_heavy,,,,1120.00,1120.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000005,,evt-000003,well_heavy,,,,280.00,280.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000006,,evt-000003,well_heavy,,,,320.00,320.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000007,,evt-000003,well_heavy,,,,360.00,360.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000003:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000008,,evt-000003,well_heavy,,,,200.00,200.00,,,,,USD,nominal,2010,gross,project,project_capex,point,allocated,assumed,low,included,mapped,3955,0,0,,,,evt-000003,https://www.offshore-technology.com/projects/bigfootoilfield/,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000001,,evt-000004,reference,,,,1479.00,1479.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000002,,evt-000004,reference,,,,306.00,306.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000003,,evt-000004,reference,,,,612.00,612.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000004,,evt-000004,reference,,,,1122.00,1122.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000005,,evt-000004,reference,,,,306.00,306.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000006,,evt-000004,reference,,,,357.00,357.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000007,,evt-000004,reference,,,,612.00,612.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:reference,project_to_asset,scenario_allocation,true,prj-000001,req-000008,,evt-000004,reference,,,,306.00,306.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000001,,evt-000004,host_heavy,,,,1938.00,1938.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000002,,evt-000004,host_heavy,,,,255.00,255.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000003,,evt-000004,host_heavy,,,,510.00,510.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000004,,evt-000004,host_heavy,,,,867.00,867.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000005,,evt-000004,host_heavy,,,,255.00,255.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000006,,evt-000004,host_heavy,,,,306.00,306.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000007,,evt-000004,host_heavy,,,,663.00,663.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:host_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000008,,evt-000004,host_heavy,,,,306.00,306.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000001,,evt-000004,well_heavy,,,,1020.00,1020.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000002,,evt-000004,well_heavy,,,,408.00,408.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000003,,evt-000004,well_heavy,,,,765.00,765.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000004,,evt-000004,well_heavy,,,,1428.00,1428.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000005,,evt-000004,well_heavy,,,,357.00,357.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000006,,evt-000004,well_heavy,,,,408.00,408.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000007,,evt-000004,well_heavy,,,,459.00,459.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
scenario:evt-000004:well_heavy,project_to_asset,scenario_allocation,true,prj-000001,req-000008,,evt-000004,well_heavy,,,,255.00,255.00,,,,,USD,nominal,2018,gross,project,project_capex,point,allocated,assumed,low,included,mapped,5055,0,0,,,,evt-000004,https://drillingcontractor.org/lonestar-energy-fabrication-completes-work-on-big-foot-extended-tension-leg-platform-35084,proposed,false,largest_remainder_0.01_USD_MM,,
inverse:reference,asset_to_project,implied_project_total,false,prj-000001,req-000005,awd-000001,,reference,,,,750.00,750.00,,,,,USD,nominal,2011,gross,project,project_capex,range,allocated,assumed,low,overlap,mapped,,,,,,,awd-000001,contract_awards.csv:PROJECT=Big Foot|AWARD_YEAR=2011|CONTRACTOR=GE Oil & Gas,proposed,false,outward_0.01_USD_MM,,
inverse:host_heavy,asset_to_project,implied_project_total,false,prj-000001,req-000005,awd-000001,,host_heavy,,,,900.00,900.00,,,,,USD,nominal,2011,gross,project,project_capex,range,allocated,assumed,low,overlap,mapped,,,,,,,awd-000001,contract_awards.csv:PROJECT=Big Foot|AWARD_YEAR=2011|CONTRACTOR=GE Oil & Gas,proposed,false,outward_0.01_USD_MM,,
inverse:well_heavy,asset_to_project,implied_project_total,false,prj-000001,req-000005,awd-000001,,well_heavy,,,,642.85,642.86,,,,,USD,nominal,2011,gross,project,project_capex,range,allocated,assumed,low,overlap,mapped,,,,,,,awd-000001,contract_awards.csv:PROJECT=Big Foot|AWARD_YEAR=2011|CONTRACTOR=GE Oil & Gas,proposed,false,outward_0.01_USD_MM,,
fdas_development_capex,project_to_asset,fdas_assumption,true,prj-000001,req-000001|req-000002|req-000003|req-000005|req-000008,,,,,,,2730,2730,,,,,USD,nominal,,gross,project,project_capex,point,assumed,workbook_assumption,,included,mapped,,,,,,,FDAS_V30:facilities total,Project_Summary!J3,,,native_USD_divided_by_1000000,FDAS_V30,ineligible
fdas_development_capex,project_to_asset,fdas_assumption,true,prj-000001,req-000004,,,,,,,965.6,965.6,,,,,USD,nominal,,gross,project,project_capex,point,assumed,workbook_assumption,,included,mapped,,,,,,,FDAS_V30:drilling,Project_Summary!K3,,,native_USD_divided_by_1000000,FDAS_V30,ineligible
fdas_development_capex,project_to_asset,fdas_assumption,true,prj-000001,req-000004,,,,,,,821.7,821.7,,,,,USD,nominal,,gross,project,project_capex,point,assumed,workbook_assumption,,included,mapped,,,,,,,FDAS_V30:completion,Project_Summary!L3,,,native_USD_divided_by_1000000,FDAS_V30,ineligible
fdas_opex,project_to_asset,fdas_opex,false,prj-000001,,,,,,,,267.482624,267.482624,,,,,USD,nominal,,gross,project,opex,point,assumed,workbook_assumption,,excluded,excluded,,,,,,,FDAS_V30:OPEX,Project_Summary!P3,,,native_USD_divided_by_1000000,FDAS_V30,ineligible
fdas_opex,project_to_asset,fdas_opex,false,prj-000001,,,,,,,,790,790,,,,,USD,nominal,,gross,project,opex,point,assumed,workbook_assumption,,excluded,excluded,,,,,,,FDAS_V30:OPEX,Project_Summary!Q3,,,native_USD_divided_by_1000000,FDAS_V30,ineligible
fdas_development_capex,project_to_asset,fdas_total,false,prj-000001,,,,,,,,,,4517.3,,,,USD,,,,,project_capex,,assumed,workbook_assumption,,aggregate,,,,,,,,FDAS_V30,,,,native_USD_divided_by_1000000,FDAS_V30,ineligible
trace,project_to_asset,trace_event,false,prj-000001,req-000006,awd-000002,evt-000002,,component,2009,year,200,200,,,,,USD,nominal,2009,third_party,midstream,non_capex,midstream,disclosed,operator,high,trace_only,mapped,,,,,,,evt-000002,contract_awards.csv:PROJECT=Big Foot|AWARD_YEAR=2009|CONTRACTOR=Enbridge,,,,,
trace,project_to_asset,trace_event,false,prj-000001,,,evt-000003,,total,2010,year,4000,4000,,,,,USD,nominal,2010,gross,project,project_capex,point,disclosed,operator,medium,trace_only,mapped,,,,,,,evt-000003,cost_revision_trails.csv:PROJECT=Big Foot|STATEMENT_DATE=2010|KIND=sanction_estimate,,,,,
trace,project_to_asset,trace_event,false,prj-000001,req-000005,awd-000001,evt-000001,,component,2011,year,45,45,,,,,USD,nominal,2011,gross,component,component_capex,point,disclosed,operator,high,trace_only,mapped,,,,,,,evt-000001,contract_awards.csv:PROJECT=Big Foot|AWARD_YEAR=2011|CONTRACTOR=GE Oil & Gas,,,,,
trace,project_to_asset,trace_event,false,prj-000001,,,evt-000005,,total,2015-05,month,,,,,,,,,,,,,not_public,todo,secondary_operator_confirmed,medium,trace_only,unmapped,,,,,,,evt-000005,sanctioned_projects.csv:PROJECT=Big Foot,,,,,
trace,project_to_asset,trace_event,false,prj-000001,,,evt-000004,,total,2018,year,5100,5100,,,,,USD,nominal,2018,gross,project,project_capex,point,disclosed,trade_press,low,trace_only,mapped,,,,,,,evt-000004,cost_revision_trails.csv:PROJECT=Big Foot|STATEMENT_DATE=2018|KIND=final_outturn,,,,,
