fclNpdidFacility,fclNpdidCurrentOperator,fclNpdidCurrentRespCompany,fclFixedOrMoveable,fclName,fclKind,fclPhase,fclFunctions,fclGeodeticDatum,fclNsDeg,fclNsMin,fclNsSec,fclNsCode,fclEwDeg,fclEwMin,fclEwSec,fclEwCode,fclUtmHemisphere,fclUtmZone,fclNsUtm,fclEwUtm,fclRkb,fclWaterDepth,fclStartupDate,fclDesignLifetime,fclStatus,fclSurface,fclBelongsToName,fclBelongsToS,fclBelongsToKind,fclCurrentOperatorName,fclCurrentRespCompanyName,fclNationCode2,fclNationName,fclBelongsToFactPageUrl,fclFactPageUrl,fclFactMapUrl,fclSlotCapacityGross,fclSlotCapacityNet,fclDateUpdated,fclFormalName1Quadrant,fclFormalName2Block,fclPointGeometryWKT
271525,2410696,,FIXED,TOR,JACKET 8 LEGS,PARTLY REMOVED,DRILLING - PROCESSING - QUARTER,ED50,56,38,31.46,N,3,19,37.05,E,1,31,6277731.92,520053.26,45,70,1978-08-01 00:00:00,20,,Y,TOR,43520,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43520,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271525,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271525,18,18,2024-07-05 00:00:00,2,4,POINT (3.3269583 56.6420722)
271553,2410696,,FIXED,ALBUSKJELL F,JACKET 12 LEGS,REMOVED,,ED50,56,37,13.93,N,3,3,14.21,E,1,31,6275288.17,503310.62,41,71,1979-05-01 00:00:00,20,,Y,ALBUSKJELL,43437,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43437,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271553,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271553,,,2024-01-02 00:00:00,2,4,POINT (3.0539472 56.6205361)
271581,2410696,,FIXED,ELDFISK A,JACKET 12 LEGS,IN SERVICE,DRILLING - OIL PRODUCER - PROCESSING - QUARTER,ED50,56,22,36.77,N,3,15,56.89,E,1,31,6248197.08,516416.64,43,71,1979-08-01 00:00:00,20,,Y,ELDFISK,43527,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43527,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271581,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271581,30,30,2024-01-02 00:00:00,2,7,POINT (3.2658028 56.3768806)
271609,2410696,,FIXED,ELDFISK B,JACKET 12 LEGS,IN SERVICE,DRILLING - OIL PRODUCER - PROCESSING - QUARTER,ED50,56,25,9.59,N,3,13,6.22,E,1,31,6252911.83,513473.59,44,71,1979-08-01 00:00:00,20,,Y,ELDFISK,43527,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43527,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271609,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271609,22,22,2024-01-02 00:00:00,2,7,POINT (3.2183944 56.4193306)
271637,2410696,,FIXED,EDDA,JACKET 12 LEGS,REMOVED,,ED50,56,27,53.42,N,3,6,16.07,E,1,31,6257960.85,506437.08,42,71,1979-12-01 00:00:00,20,,Y,EDDA,43541,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43541,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271637,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271637,10,10,2024-01-02 00:00:00,2,7,POINT (3.1044639 56.4648389)
271665,28544099,,FIXED,ULA QP,JACKET 4 LEGS,IN SERVICE,QUARTER,ED50,57,6,39.89,N,2,50,45.54,E,1,31,6329903.56,490671.25,0,71,1986-10-01 00:00:00,20,,Y,ULA,43800,FIELD,Aker BP ASA,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43800,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271665,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271665,,,2024-01-02 00:00:00,7,12,POINT (2.8459833 57.1110806)
271693,,,FIXED,COD,JACKET 8 LEGS,REMOVED,,ED50,57,4,10.39,N,2,26,5,E,1,31,6325412.02,465723.2,41.8,72.5,1977-11-01 00:00:00,20,,Y,COD,43785,FIELD,,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43785,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271693,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271693,0,0,2024-01-02 00:00:00,7,11,POINT (2.4347222 57.0695528)
271721,,,FIXED,NORDØST FRIGG,MULTI WELL TEMPLATE,REMOVED,GAS PRODUCER,ED50,59,59,11.44,N,2,14,57.54,E,1,31,6650302.04,458110.08,0,102,1984-01-01 00:00:00,0,,N,NORDØST FRIGG,43568,FIELD,,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43568,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271721,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271721,0,0,2024-01-24 00:00:00,25,1,POINT (2.2493167 59.9865111)
271749,28544099,,FIXED,VALHALL DP,JACKET 8 LEGS,PARTLY REMOVED,DRILLING,ED50,56,16,41.39,N,3,23,43.19,E,1,31,6237247.69,524479.65,43.5,74,1981-12-17 00:00:00,20,,Y,VALHALL,43548,FIELD,Aker BP ASA,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43548,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271749,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271749,30,30,2024-01-02 00:00:00,2,8,POINT (3.3953306 56.2781639)
271777,32011216,,FIXED,HEIMDAL,JACKET 8 LEGS,SHUT DOWN,DISTRIBUTION - DRILLING - OIL PRODUCER - PROCESSING - QUARTER - WELLHEAD,ED50,59,34,26.98,N,2,13,43.7,E,1,31,6604394.36,456431.43,57.5,120,1985-10-15 00:00:00,30,,Y,HEIMDAL,43590,FIELD,Equinor Energy AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43590,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271777,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271777,0,0,2024-01-02 00:00:00,25,4,POINT (2.2288056 59.5741611)
271805,,,FIXED,ODIN,JACKET 4 LEGS,REMOVED,,ED50,60,4,36.96,N,2,9,56.7,E,1,31,6660427.96,453574.05,55,103,1984-04-01 00:00:00,0,,Y,ODIN,43610,FIELD,,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43610,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271805,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271805,0,0,2024-01-24 00:00:00,30,10,POINT (2.16575 60.0769333)
271833,32011216,,FIXED,GULLFAKS A,CONDEEP 4 SHAFTS,IN SERVICE,DRILLING - OIL PRODUCER - PROCESSING - QUARTER - STORAGE,ED50,61,10,33.98,N,2,11,20.94,E,1,31,6782834.61,456386.09,82.2,133,1986-12-21 00:00:00,30,,Y,GULLFAKS,43686,FIELD,Equinor Energy AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43686,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271833,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271833,48,48,2024-01-02 00:00:00,34,10,POINT (2.18915 61.1761056)
271861,,,FIXED,10/1-CDP1,CONCRETE STRUCTURE,PARTLY REMOVED,DRILLING,ED50,59,52,31.04,N,2,3,42.44,E,1,31,6638049.46,447470.47,48.8,100,1979-09-01 00:00:00,0,,Y,,,INGEN REGISTERING,,,GB,United Kingdom,,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271861,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271861,,,2024-01-02 00:00:00,10,1,POINT (2.0617889 59.8752889)
271889,28544099,,FIXED,ULA DP,JACKET 4 LEGS,IN SERVICE,DRILLING,ED50,57,6,41.15,N,2,50,50.39,E,1,31,6329942.34,490752.94,57,71,1986-07-01 00:00:00,20,,Y,ULA,43800,FIELD,Aker BP ASA,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43800,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271889,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271889,18,18,2024-01-02 00:00:00,7,12,POINT (2.8473306 57.1114306)
271917,32011216,,FIXED,GULLFAKS B,CONDEEP 4 SHAFTS,IN SERVICE,DRILLING - OIL PRODUCER - PROCESSING - QUARTER - STORAGE,ED50,61,12,10.5,N,2,12,4.68,E,1,31,6785812.97,457076.07,82,141,1988-02-29 00:00:00,30,,Y,GULLFAKS,43686,FIELD,Equinor Energy AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43686,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271917,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271917,42,42,2024-01-02 00:00:00,34,10,POINT (2.2013 61.2029167)
271945,1944954,,FIXED,DRAUPNER S,JACKET 4 LEGS,IN SERVICE,QUARTER - RISER,ED50,58,11,19.93,N,2,28,22.05,E,1,31,6450006.09,469000.04,0,70,1985-07-01 00:00:00,30,,Y,GASSLED,2252643,TUF,Gassco AS,,NO,Norway,,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271945,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271945,0,0,2024-01-02 00:00:00,16,11,POINT (2.4727917 58.1888694)
271973,1944954,,FIXED,EKOFISK S,JACKET 4 LEGS,REMOVED,RISER,ED50,56,33,6.83,N,3,12,49.74,E,1,31,6267666.98,513145.25,0,76.8,1986-01-01 00:00:00,30,,Y,STATPIPE,123940,TUF,Gassco AS,,NO,Norway,,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271973,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=271973,0,0,2024-01-02 00:00:00,2,4,POINT (3.2138167 56.5518972)
272001,2410696,,FIXED,EKOFISK R,JACKET 8 LEGS,REMOVED,,ED50,56,33,2.37,N,3,12,42.19,E,1,31,6267528.68,513016.74,0,76.8,1977-09-01 00:00:00,20,,Y,EKOFISK,43506,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272001,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272001,,,2024-01-02 00:00:00,2,4,POINT (3.2117194 56.5506583)
272029,28544099,,FIXED,ULA PP,JACKET 4 LEGS,IN SERVICE,PROCESSING,ED50,57,6,42.32,N,2,50,54.85,E,1,31,6329978.36,490828.06,0,71,1986-10-01 00:00:00,20,,Y,ULA,43800,FIELD,Aker BP ASA,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43800,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272029,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272029,,,2024-01-02 00:00:00,7,12,POINT (2.8485694 57.1117556)
272057,2410696,,FIXED,ELDFISK FTP,JACKET 8 LEGS,IN SERVICE,PROCESSING,ED50,56,22,32.59,N,3,15,57.36,E,1,31,6248067.87,516425.2,0,76.8,1979-08-01 00:00:00,20,,Y,ELDFISK,43527,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43527,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272057,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272057,,,2024-01-02 00:00:00,2,7,POINT (3.2659333 56.3757194)
272085,32011216,,FIXED,SNORRE A,TLP STEEL,IN SERVICE,DRILLING - PROCESSING - QUARTER,ED50,61,26,57.61,N,2,8,39.64,E,1,31,6813299.89,454374.94,59.4,335,1992-08-03 00:00:00,30,,Y,SNORRE,43718,FIELD,Equinor Energy AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43718,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272085,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272085,,,2024-01-02 00:00:00,34,7,POINT (2.1443444 61.4493361)
272113,28544099,,FIXED,EKOFISK G,JACKET 4 LEGS,PARTLY REMOVED,RISER,ED50,56,32,57.11,N,3,12,35.95,E,1,31,6267365.71,512910.67,0,76.8,1982-10-01 00:00:00,20,,Y,VALHALL,43548,FIELD,Aker BP ASA,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43548,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272113,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272113,,,2024-01-02 00:00:00,2,4,POINT (3.2099861 56.5491972)
272141,2410696,,FIXED,EKOFISK T,DORIS,PARTLY REMOVED,,ED50,56,32,58.35,N,3,12,45.29,E,1,31,6267404.54,513070.07,0,76.8,1974-12-01 00:00:00,20,,Y,EKOFISK,43506,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272141,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272141,,,2024-01-02 00:00:00,2,4,POINT (3.2125806 56.5495417)
272169,2410696,,FIXED,EKOFISK P,JACKET 4 LEGS,REMOVED,,ED50,56,32,55.29,N,3,12,49.15,E,1,31,6267310.13,513136.29,0,76.8,1975-10-14 00:00:00,20,,Y,EKOFISK,43506,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272169,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272169,,,2024-01-02 00:00:00,2,4,POINT (3.2136528 56.5486917)
272197,2410696,,FIXED,EKOFISK H,JACKET 4 LEGS,REMOVED,ACCOMMODATION,ED50,56,32,49.96,N,3,12,47.28,E,1,31,6267145.23,513104.86,0,76.8,1979-01-01 00:00:00,20,,Y,EKOFISK,43506,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272197,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272197,,,2024-01-02 00:00:00,2,4,POINT (3.2131333 56.5472111)
272225,32011216,,FIXED,OSEBERG C,JACKET 8 LEGS,IN SERVICE,DRILLING - PROCESSING - QUARTER,ED50,60,36,30.02,N,2,46,32.15,E,1,31,6719343.03,487713.24,62.3,108,1991-09-02 00:00:00,25,,Y,OSEBERG,43625,FIELD,Equinor Energy AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43625,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272225,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272225,28,28,2024-01-02 00:00:00,30,6,POINT (2.7755972 60.6083389)
272253,2410696,,FIXED,EKOFISK Q,JACKET 4 LEGS,REMOVED,ACCOMMODATION,ED50,56,32,49.13,N,3,12,57.71,E,1,31,6267120.12,513283.08,0,76.8,1973-01-01 00:00:00,20,,Y,EKOFISK,43506,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272253,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272253,,,2024-01-02 00:00:00,2,4,POINT (3.2160306 56.5469806)
272281,2410696,,FIXED,EKOFISK FTP,JACKET 8 LEGS,REMOVED,PROCESSING - RISER,ED50,56,32,46.25,N,3,13,0.26,E,1,31,6267031.21,513326.92,0,76.8,1974-04-01 00:00:00,20,,Y,EKOFISK,43506,FIELD,ConocoPhillips Skandinavia AS,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43506,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272281,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272281,,,2024-01-02 00:00:00,2,4,POINT (3.2167389 56.5461806)
272309,28544099,,FIXED,HOD,JACKET 4 LEGS,SHUT DOWN,OIL PRODUCER - WELLHEAD,ED50,56,10,35.52,N,3,27,36.22,E,1,31,6225960.63,528563.36,0,72,1990-08-01 00:00:00,15,,Y,HOD,43485,FIELD,Aker BP ASA,,NO,Norway,https://factpages.sodir.no/factpages/default.aspx?nav1=field&nav2=PageView|All&nav3=43485,https://factpages.sodir.no/factpages/default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=272309,https://factmaps.sodir.no/factmaps/3_0/?run=FacilityByNPDID&scale=100000&NPDID=272309,8,8,2024-01-02 00:00:00,2,11,POINT (3.4600611 56.1765333)
