activity_nr,reporting_id,state_flag,estab_name,site_address,site_city,site_state,site_zip,owner_type,owner_code,adv_notice,safety_hlth,sic_code,naics_code,insp_type,insp_scope,why_no_insp,union_status,safety_manuf,safety_const,safety_marit,health_manuf,health_const,health_marit,migrant,mail_street,mail_city,mail_state,mail_zip,host_est_key,nr_in_estab,open_date,case_mod_date,close_conf_date,close_case_date,ld_dt
268821,0522500,,PLATCAU DRILLING INC,WALTER J HOWDYSHELL WELL 1,New Lexington,OH,43764,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,4,1984-02-08,,1984-02-08,1984-02-28,2011-10-14 16:38:47 EDT
304840,0625400,,BIG THREE LEASE & WELL SERV IN,MAC 1 WASHINGTON COUNTY 10 MIL,Burton,TX,78942,,0000,,S,1389,000000,A,B,,B,,,,,,,,,,,00000,,44,1984-03-05,2016-06-03,1984-03-06,1985-10-01,2016-06-30 01:10:52 EDT
305334,0625400,,SERV RIGS INC,OFF HWY 97,Cost,TX,78614,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,4,1984-02-09,2016-06-03,1984-02-09,1985-09-30,2016-06-30 01:10:52 EDT
305359,0625400,,BAN DERA DRILLING CO INC,10 MILES WESTERLY OFF FARM RD,Winters,TX,79567,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,13,1984-02-22,2016-06-03,1984-02-22,1985-10-01,2016-06-30 01:10:52 EDT
305375,0625400,,ROCO DRILLING & SERVICE INC,2 MI NW COFF HWY 171,Mexia,TX,76667,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,10,1984-03-14,2016-06-03,1984-03-14,1985-10-01,2016-06-30 01:10:52 EDT
305417,0625400,,AMERICAN WELL SERVICING CO,3 MILES SW OFF HWY,Winters,TX,79567,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,6,1984-02-24,,1984-02-24,1984-03-20,2011-10-14 16:38:47 EDT
305615,0625400,,HACK DRILLING CO INC,7 MI NW OFF HWY 158,Ballinger,TX,76821,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,13,1984-02-23,2016-06-03,1984-02-23,1985-10-01,2016-06-30 01:10:52 EDT
306068,0625400,,BROWN OIL & GAS CO,APPX 5 MI SW COFF FARM RD,Mexia,TX,76667,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,5,1984-03-15,2016-06-03,1984-03-15,1985-10-01,2016-06-30 01:10:52 EDT
307199,0625400,,WELL TECH INC,6 MILES NORTHEASTERLY,Caldwell,TX,77836,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,5,1984-02-03,,1984-02-03,1984-02-09,2011-10-14 16:38:47 EDT
307231,0625400,,LACY WELL SERVICE INC,3 MI SW OFF FM RD 2776,Kurten,TX,77862,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,5,1984-02-02,,1984-02-02,1984-08-27,2011-10-14 16:38:47 EDT
307272,0625400,,MCCURDY WELL SERVICE INC,2 1/2 MILES WESTERLY,Kurten,TX,77862,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,4,1984-02-02,2016-06-03,1984-02-02,1985-09-30,2016-06-30 01:10:52 EDT
307314,0625400,,RELIANT DRILLING LTD,1 1/2 MILES WESTERLY,Kurten,TX,77862,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,17,1984-02-01,,1984-02-01,1984-03-21,2011-10-14 16:38:47 EDT
310334,0625700,,OWENS WELL SERVICE,HERNDON RD TEXACO MABRY B WELL,Oil City,LA,71061,,0000,Y,S,1381,000000,A,B,,B,,,,,,,,,,,00000,,3,1984-03-20,,1984-03-20,1984-04-24,2011-10-14 16:38:47 EDT
313569,0626000,,INDEPENDENT MUD LOGGING INC,FOREST A A MCALLEN WELL NO 26,Linn,TX,78563,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,2,1984-02-08,,1984-02-08,1984-03-13,2011-10-14 16:38:47 EDT
313601,0626000,,HALLIBURTON SERVICES,FOREST A A MALLEN WELL NO 26 A,Linn,TX,78563,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,2,1984-02-08,,1984-02-08,1984-03-13,2011-10-14 16:38:47 EDT
313627,0626000,,CLIFFS DRILLING CO RIG #40,CUMMINS & WALKER GOLSTON,Linn,TX,78563,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,22,1984-03-05,,1984-03-05,1984-06-07,2011-10-14 16:38:47 EDT
313684,0626000,,DIXILYN FIELD DRILLING CO,FOREST A A MCALLEN WELL NO 26,Linn,TX,78563,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,26,1984-02-08,,1984-02-08,1984-03-29,2011-10-14 16:38:47 EDT
313726,0626000,,PRECISION INSPECTION,SUPERIOR F 1 JOHNSON WELL NO39,Edinburg,TX,78539,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,1,1984-02-07,,1984-02-07,1984-03-15,2011-10-14 16:38:47 EDT
313767,0626000,,OGDEN WELL LOGGING SERVS INC,SUPERIOR F 1 JOHNSON WELL NO39,Edinburg,TX,78539,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,2,1984-02-07,,1984-02-07,1984-07-27,2011-10-14 16:38:47 EDT
313791,0626000,,ARCO OIL & GAS CO,16 7 MI N W OF GEORGE WEST,George West,TX,78022,,0000,,S,1311,000000,A,A,,A,,,,,,,,,,,00000,,2,1984-03-30,,1984-03-30,1985-06-28,2011-10-14 16:38:47 EDT
314047,0626000,,MAGEE POOLE DRILLING CO,SUPERIOR F I JOHNSON WELL NO39,Edinburg,TX,78539,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,18,1984-02-07,,1984-02-07,1984-04-14,2011-10-14 16:38:47 EDT
314088,0626000,,HARKINS & CO RIG 1,BRIGHT HAMMAN A NO 8 WELL A,Edinburg,TX,78539,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,22,1984-02-06,,1984-02-06,1984-03-29,2011-10-14 16:38:47 EDT
314377,0626000,,MAGEE POOLE DRILLING CO RIG 6,TEXAS CRUDE WILDER WELL NO 1 A,George West,TX,78022,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,22,1984-02-23,,1984-02-23,1984-05-17,2011-10-14 16:38:47 EDT
315499,0626000,,SHELL WESTERN E & P INC,SHELL L LONGORIA WELL NO 4,Encino,TX,78353,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,5,1984-02-28,,1984-02-29,1984-07-27,2011-10-14 16:38:47 EDT
315531,0626000,,HELMERICK & PAYNE INTERNATIONA,SHELL L LONGORIA WELL NO 4,Encino,TX,78353,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,26,1984-02-28,,1984-02-29,1984-08-08,2011-10-14 16:38:47 EDT
315572,0626000,,HYDRA TEST INC,SHELL L LONGORIA WELL NO 4,Encino,TX,78353,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,3,1984-02-28,,1984-03-01,1984-08-07,2011-10-14 16:38:47 EDT
315614,0626000,,HALLIBURTON SERVICES,SHELL L LONGORIA WELL NO 4,Encino,TX,78353,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,3,1984-02-28,,1984-03-09,1984-03-14,2011-10-14 16:38:47 EDT
315655,0626000,,GULF STATES INSPECTION SERVICE,ONE HALF MILE OFF HWY 77,Robstown,TX,78380,,0000,,H,1389,000000,B,B,,B,,,,,,,,,,,00000,,7,1984-03-02,,1984-03-15,1984-07-18,2011-10-14 16:38:47 EDT
315697,0626000,,COUHER SERVICES CO,HALF MILE OFF HWY 77 ON COUNTY,Robstown,TX,78380,,0000,,H,1389,000000,G,B,,B,,,,,,,,,,,00000,,7,1984-03-02,,1984-03-16,1984-05-15,2011-10-14 16:38:47 EDT
315739,0626000,,MATERIALS CONSULTANTS INC,ONE HALF MILE OFF HWY 77,Robstown,TX,78380,,0000,,H,1389,000000,G,B,,B,,,,,,,,,,,00000,,5,1984-03-02,,1984-03-15,1984-07-26,2011-10-14 16:38:47 EDT
315770,0626000,,NUECES INSPECTION CO INC,1/2 MILE OFF HWY 77 ON COUNTY,Robstown,TX,78380,,0000,,H,1389,000000,G,B,,B,,,,,,,,,,,00000,,80,1984-03-02,,1984-03-15,1984-07-10,2011-10-14 16:38:47 EDT
315929,0626000,,SHELL WESTERN E & P INC,SHELL HAMMAN RANCH WELL NO 22,Edinburg,TX,78539,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,2,1984-01-19,,1984-01-20,1984-03-16,2011-10-14 16:38:47 EDT
317503,0626300,,ROTARY DRILLING CO INC,GARDON OAKS WHEELER WELL NO 1,Marshall,TX,75670,,0000,,S,1381,000000,A,A,,B,,,,,,,,,,,00000,,10,1984-02-10,,1984-02-21,1984-03-07,2011-10-14 16:38:47 EDT
322586,0626300,,POOL PRODUCTION SERVICES CO,U S HWY 259 AT F M 1845,Longview,TX,75608,,0000,,H,1381,000000,B,B,,B,,,,,,,,,,,00000,,20,1984-03-26,2016-06-03,1984-03-26,1986-10-01,2016-06-30 01:10:52 EDT
326835,0626600,,IMPERIAL RESOURCES INC,HIGH ISLAND LARGE BLOCK 27,High Island,TX,77623,,0000,,S,1311,000000,G,B,,B,,,,,,,,,,,00000,,3,1984-02-22,,1984-03-06,1984-06-01,2011-10-14 16:38:47 EDT
328344,0626600,,PALESTINE CONTRACTORS INC,3 MILES SOUTH OAKWOOD,Oakwood,TX,75855,,0000,,S,1381,000000,A,B,,B,,,,,,,,,,,00000,,125,1984-03-20,,1984-04-02,1984-04-04,2011-10-14 16:38:47 EDT
335851,0627400,,HOFFMAN WELL SERVICE CO RIG 11,5MI NW OF SEMINOLE,Seminole,TX,79360,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,3,1984-02-02,,1984-02-07,1984-03-27,2011-10-14 16:38:47 EDT
335935,0627400,,HONDO DRILLING CO RIG 9,5 MI N OF SEMINOLE,Seminole,TX,79360,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,4,1984-02-07,,1984-02-07,1984-03-28,2011-10-14 16:38:47 EDT
335976,0627400,,N L WELL SERVICES RIG 230,5 MI NW OF SEMINOLE TX,Seminole,TX,79360,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,4,1984-02-07,,1984-02-07,1985-04-11,2011-10-14 16:38:47 EDT
336248,0627400,,N L WELL SERVICE RIG 148,11 MI E OF MIDLAND TX,Midland,TX,79708,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,4,1984-02-09,,1984-02-09,1984-03-28,2011-10-14 16:38:47 EDT
336511,0627400,,NOATON DRILLING CO,BROCK NO 1,Anton,TX,79313,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,153,1984-03-05,,1984-03-05,1984-05-22,2011-10-14 16:38:47 EDT
336537,0627400,,WELL CO RIG 31,3 MI NE OF SMYER ELWOOD NO 4,Smyer,TX,79367,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,4,1984-03-14,,1984-03-14,1985-08-01,2011-10-14 16:38:47 EDT
336933,0627400,,G & O WELL SERVICE RIG 101,LEVELLAND UNIT 453,Levelland,TX,79336,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,16,1984-03-14,,1984-03-14,1985-01-02,2011-10-14 16:38:47 EDT
336974,0627400,,SITTON DRILLING CO RIG 4,MCGILLIN NO 1,Levelland,TX,79336,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,17,1984-03-13,2016-06-03,1984-03-13,1985-09-30,2016-06-30 01:10:52 EDT
337329,0627400,,PUMA EXPLORATION INC,4 MI E OF SMYER LOCKHART MOZ,Smyer,TX,79367,,0000,,S,1381,000000,H,B,,B,,,,,,,,,,,00000,,16,1984-03-05,,1984-03-05,1984-08-22,2011-10-14 16:38:47 EDT
337360,0627400,,F W A DRILLING CO INC,11 MILES SOUTH-EAST OF I-20,Midland,TX,79701,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,15,1984-03-08,,1984-03-08,1984-03-27,2011-10-14 16:38:47 EDT
337428,0627400,,HONDO DRILLING CO RIG 9,15 MILES SW OF PLAINS TX HY 82,Plains,TX,79355,,0000,,S,1381,000000,A,A,,B,,,,,,,,,,,00000,,17,1984-03-13,,1984-03-15,1984-05-18,2011-10-14 16:38:47 EDT
337444,0627400,,VIERSEN & COCHRAN DRILLING CO,12 MILES EAST OF SHAMROCK,Shamrock,TX,79079,,0000,,S,1381,000000,B,A,,B,,,,,,,,,,,00000,,16,1984-03-14,,1984-03-14,1984-05-14,2011-10-14 16:38:47 EDT
376343,0830500,,SHELL WESTERN E & P INC,13 MI NW OF CORTEZ YELLOW JACK,Cortez,CO,81321,,0000,,S,1311,000000,I,A,,B,,,,,,,,,,,00000,,40,1984-02-14,,1984-02-15,1984-02-24,2011-10-14 16:38:47 EDT
376996,0830500,,J W GIBSON WELL SERV CO,BBR NUMBER 2234,Hudson,CO,80642,,0000,,S,1389,000000,A,B,,B,,,,,,,,,,,00000,,350,1984-02-01,,1984-02-17,1984-11-21,2011-10-14 16:38:47 EDT
377036,0830500,,ROCK OIL CORP,BBR NUMBER 2234,Hudson,CO,80642,,0000,,S,1311,000000,G,B,,B,,,,,,,,,,,00000,,22,1984-02-01,,1984-03-19,1984-03-20,2011-10-14 16:38:47 EDT
385567,0729700,,WHITE HAWK OIL CO,STAFFORD COUNTY KANSAS,Seward,KS,67577,,0000,,S,1311,000000,H,B,,B,,,,,,,,,,,00000,,11,1984-01-31,,1984-02-01,1984-05-25,2011-10-14 16:38:47 EDT
385930,0729700,,MURFIN DRILLING CO,2 MILES WEST & 4 MILES SOUTH,Zurich,KS,67676,,0000,,S,1311,000000,A,B,,B,,,,,,,,,,,00000,,1,1984-03-16,,1984-03-30,1984-04-12,2011-10-14 16:38:47 EDT
386664,0729700,,DAROLDS WELL SERVICE INC,SEVEN MI NORTHWEST OF,Gorham,KS,67640,,0000,,S,1389,000000,G,B,,B,,,,,,,,,,,00000,,6,1984-02-28,,1984-02-29,1984-03-06,2011-10-14 16:38:47 EDT
386706,0729700,,GRAHAM WIRE ROPE INC,SEVEN MILES NORTHWEST OF,Gorham,KS,67640,,0000,,S,1389,000000,A,A,,B,,,,,,,,,,,00000,,1,1984-02-28,,1984-02-29,1984-11-15,2011-10-14 16:38:47 EDT
398941,0627700,,MARSHALL R YOUNG OIL CO,3 MILES E 8 MILES N,Okemah,OK,74859,,0000,,S,1311,000000,G,B,,B,,,,,,,,,,,00000,,1,1984-01-16,,1984-01-18,1984-10-23,2011-10-14 16:38:47 EDT
399386,0627700,,LIBERTY WELL SERVICE INC,MATTIE ROSE 1 LEASE HWY 32 E,Marietta,OK,73448,,0000,,S,1389,000000,A,B,,B,,,,,,,,,,,00000,,22,1984-02-08,,1984-02-08,1984-11-02,2011-10-14 16:38:47 EDT
400291,0627700,,JERRY DUNKIN INC,8 MILE SOUTH 1/4 MILE EAST,Clinton,OK,73601,,0000,,S,1389,000000,A,B,,B,,,,,,,,,,,00000,,4,1984-03-21,,1984-03-28,1984-06-06,2011-10-14 16:38:47 EDT
413351,1050210,,DIALOG CO,135 WILLOW ST,Kenai,AK,99611,,0000,,S,1389,000000,H,C,,B,,,,,,,,,,,00000,,3,1984-02-21,,1984-02-21,1984-03-12,2011-10-14 16:38:47 EDT
413393,1050210,,KIMCO INC,MILE 18 KENAI SPURR HWY,Kenai,AK,99611,,0000,,S,1389,000000,H,C,,A,,,,,,,,,,,00000,,8,1984-02-23,,1984-02-23,1984-03-12,2011-10-14 16:38:47 EDT
413591,1050210,,QWICK CONST CO INC,MILE 235 KENAI SPURR HWY,Kenai,AK,99611,,0000,,S,1389,000000,H,B,,B,,,,,,,,,,,00000,,3,1984-03-07,2016-06-03,1984-03-07,1984-04-13,2016-06-30 01:10:52 EDT
413716,1050210,,BJ HUGHES INC,MILE 23 KENAI SPURR HWY,Kenai,AK,99611,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,5,1984-03-05,2016-06-03,1984-03-05,1985-06-28,2016-06-30 01:10:52 EDT
414110,1050210,,ARCTIC PIPE INSPECTION INC,MILE 18.5 KENAI SPURR HWY,Kenai,AK,99611,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,8,1984-02-24,2016-06-03,1984-02-27,1984-04-27,2016-06-30 01:10:52 EDT
433417,0953210,,BRINKERHOFF SIGNAL INC RIG NO3,E BAILEY RANCH 1 EUREKA COUNTY,Carlin,NV,89822,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,21,1984-02-21,,1984-02-21,1984-03-02,2011-10-14 16:38:47 EDT
433474,0953210,,AMOCO PRODUCTION CO,E BAILEY RANCH 1,Carlin,NV,89822,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,1,1984-02-21,,1984-02-21,1984-02-23,2011-10-14 16:38:47 EDT
462242,0452110,,DOWELL DIVI OF DOW CHEMICAL,HWY KY 114 4 MILES WEST,Prestonsburg,KY,41653,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,29,1984-01-24,,1984-01-24,1984-02-08,2011-10-14 16:38:47 EDT
462606,0452110,,ROBINSON ENGINEERING,910 U S 41 SOUTH,Henderson,KY,42420,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,55,1984-01-25,,1984-01-25,1984-04-02,2011-10-14 16:38:47 EDT
463679,0452110,,TRI STATE CEMENTORS INC,HWY 764,Owensboro,KY,42301,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,5,1984-02-08,,1984-02-08,1984-03-30,2011-10-14 16:38:47 EDT
463810,0452110,,STINSON POWER TONGS SERVICE,STATE ROUTE 11 SOUTH,Zachariah,KY,41396,,0000,,S,1389,000000,A,B,,B,,,,,,,,,,,00000,,4,1984-02-10,,1984-02-27,1984-04-18,2011-10-14 16:38:47 EDT
513176,1054113,,SEISDATA SERVICES INC,FERN RIDGE RD 3RD ST,Stayton,OR,97383,,0000,,S,1382,000000,H,A,,B,,,,,,,,,,,00000,,12,1984-03-01,,1984-03-02,1984-05-11,2011-10-14 16:38:47 EDT
531889,0854910,,AMOCO PRODUCTION CO,SEC 25 T4N R7E CHAMPLAIN 187,Coalville,UT,84017,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,1,1984-02-03,,1984-02-03,1984-03-16,2011-10-14 16:38:47 EDT
532010,0854910,,GRISHUTZ CORP,MOORE FED 14-22 S22 T3N R7E,Coalville,UT,84017,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,3,1984-02-02,,1984-02-02,1984-02-06,2011-10-14 16:38:47 EDT
532028,0854910,,BRINKERHOFF-SIG,RIG 73 S22 T3N R7E MOORE FED,Coalville,UT,84017,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,22,1984-02-02,2016-07-27,1984-02-02,2016-07-01,2016-08-05 01:04:37 EDT
532192,0854910,,VIERSON & CHOCRAN DRILLING RIG,SEC 25 T4N R7E CHAMPLAIN 187,Coalville,UT,84017,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,22,1984-02-03,,1984-02-03,1984-03-02,2011-10-14 16:38:47 EDT
532317,0854910,,PENMOUNT SERVICE CO RIG 7,ANSHUTZ E21-14 S21 T4N R8E,Coalville,UT,84017,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,6,1984-02-02,,1984-02-03,1984-02-07,2011-10-14 16:38:47 EDT
543850,0855610,,LOUISIANA LAND AND EXPLORATION,"IBERLIN 14-1, 45 MI SW OF",GILLETTE,WY,82716,A,0000,N,S,1311,000000,G,A,,B,,,,,,,,P.O. BOX 90058,GILLETTE,WY,82716,,1,1984-02-22,,1984-02-22,1985-09-27,2011-10-14 16:38:47 EDT
543892,0855610,,J. R. CONSTRUCTION & WELDING,"IBERLIN 14-13, 45 MILES SW OF GILLETTE",GILLETTE,WY,82725,A,0000,N,S,1389,000000,A,A,,B,,,,,,,,403 INDUSTRIAL,GILLETTE,WY,82716,,3,1984-02-22,,1984-03-14,1985-09-27,2011-10-14 16:38:47 EDT
543926,0855610,,BARNHART DRILLING INC,JD 5 RIG 1,,WY,82450,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,20,1984-02-01,,1984-02-02,1984-03-27,2011-10-14 16:38:47 EDT
543934,0855610,,PENNANT SERVICE CO,JD #3 RIG #3,,WY,82322,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,3,1984-03-07,,1984-03-07,1984-06-07,2011-10-14 16:38:47 EDT
543967,0855610,,R L MANNING DRILLING CO INC,JD 5 RIG 16,,WY,82450,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,17,1984-02-02,,1984-02-02,1984-03-09,2011-10-14 16:38:47 EDT
543975,0855610,,PENNANT SERVICE CO,JD #3 RIG #4,,WY,82322,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,4,1984-03-06,,1984-03-06,1984-04-02,2011-10-14 16:38:47 EDT
544015,0855610,,ANDERSON MYERS DRILLING CO,JD 3 RIG #18,,WY,82322,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,21,1984-03-06,,1984-03-06,1984-04-19,2011-10-14 16:38:47 EDT
544056,0855610,,MURRAY DRILLING SERVICING INC,680 BOLES RD,,WY,82604,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,9,1984-03-05,,1984-03-05,1984-04-13,2011-10-14 16:38:47 EDT
544213,0855610,,HUGHES ONCOR,83 INDEPENDENCE CIRCLE,,WY,83013,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,19,1984-03-06,,1984-03-06,1984-04-03,2011-10-14 16:38:47 EDT
544288,0855610,,NICOR DRILLING CO INC,RIG 59 JD 6,,WY,82716,,0000,,S,1381,000000,F,A,,B,,,,,,,,,,,00000,,21,1984-02-08,,1984-02-08,1984-04-13,2011-10-14 16:38:47 EDT
544361,0855610,,FORWEST INC,RIG 7 JD,,WY,82716,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,21,1984-02-09,,1984-02-09,1984-03-09,2011-10-14 16:38:47 EDT
544486,0855610,,HARPEL DRILLING CO,RIG 5 JD 8,,WY,82631,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,17,1984-02-14,,1984-02-14,1984-03-23,2011-10-14 16:38:47 EDT
544569,0855610,,CONOCO INC,SGBU WELL 188 JD 8,,WY,82637,,0000,,S,1311,000000,F,B,,B,,,,,,,,,,,00000,,187,1984-02-16,,1984-02-16,1984-03-05,2011-10-14 16:38:47 EDT
544726,0855610,,EXETER DRILLING NORTHERN,RIG #18 JD #8,,WY,82631,,0000,,S,1381,000000,H,A,,B,,,,,,,,,,,00000,,18,1984-02-13,,1984-02-13,1984-04-10,2011-10-14 16:38:47 EDT
544858,0855610,,AMOCO PRODUCTION CO INC,STATE OF WY Y WELL #1,,WY,82060,,0000,,S,1311,000000,I,A,,B,,,,,,,,,,,00000,,1,1984-03-21,,1984-03-21,1984-04-02,2011-10-14 16:38:47 EDT
544890,0855610,,EATMON WELL SERVICE CO INC,JD#1 RIG # 20,,WY,82060,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,3,1984-03-21,,1984-03-21,1984-04-02,2011-10-14 16:38:47 EDT
544932,0855610,,RIVAL SERVICES INC,JD I RIG #2,,WY,82060,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,3,1984-03-20,,1984-03-20,1984-04-02,2011-10-14 16:38:47 EDT
544973,0855610,,GEARHART INDUSTRIES INC,STATE OF WY Y WELL #1,,WY,82060,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,5,1984-03-21,,1984-03-21,1984-04-02,2011-10-14 16:38:47 EDT
545012,0855610,,RIVAL SERVICES INC,JD 1 RIG #6,,WY,82060,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,3,1984-03-20,,1984-03-20,1984-06-27,2011-10-14 16:38:47 EDT
545053,0855610,,BASIN EXPLORATION INC,PARKER WELL #3,,WY,82060,,0000,,S,1311,000000,I,A,,B,,,,,,,,,,,00000,,2,1984-03-20,,1984-03-20,1984-04-18,2011-10-14 16:38:47 EDT
558726,0452110,,PIONEER ENERGIES INC,NEW PORTER PIKE,Bowling Green,KY,42101,,0000,,S,1389,000000,H,A,,B,,,,,,,,,,,00000,,9,1984-02-28,,1984-02-28,1984-03-28,2011-10-14 16:38:47 EDT
