RIG_NAME,RIG_TYPE,RIG_STATUS,OWNER,OPERATOR,IMO_NUMBER,FLAG_STATE,WATER_DEPTH_RATING_FT,DRILLING_DEPTH_RATING_FT,MAX_WATER_DEPTH_FT,LOA_M,BEAM_M,DISPLACEMENT_TONNES,MOONPOOL_DIAMETER_M,DP_CLASS,YEAR_BUILT,WELLS_DRILLED_COUNT,LAST_WAR_DATE,FIRST_WAR_DATE,LAST_AREA_CODE,LAST_BLOCK_NUMBER,DATA_SOURCE,IS_OFFSHORE,VESSEL_NAME,VESSEL_CATEGORY,RIG_DESIGN,DATA_SOURCE_URL,HULL_FORM_TYPE,HULL_LIBRARY_REF,DRAFT_M,DIMENSION_CONFIDENCE,DEPTH_M,MOONPOOL_LENGTH_M,MOONPOOL_WIDTH_M,VARIABLE_DECK_LOAD_ST,HOOKLOAD_RATING_KIPS,SETBACK_CAPACITY_KIPS,LEG_LENGTH_FT,CANTILEVER_REACH_FT,SPUD_CAN_DIAMETER_FT
* GENERIC PIPELINE CONSTRUCTION VESSEL,support_vessel,,,,,,,,,,,,,,,14.0,9/2/2023 11:59:00 PM,1/11/2024,GC,,bsee_war,True,* GENERIC PIPELINE CONSTRUCTION VESSEL,drilling_rig,,,,,,,,,,,,,,,
* GENERIC SNUBBING UNIT,snubbing_unit,,,,,,,,,,,,,,,1.0,6/26/2014 11:59:00 PM,6/15/2014,MC,,bsee_war,True,* GENERIC SNUBBING UNIT,drilling_rig,,,,,,,,,,,,,,,
HYDRAULIC WORKOVER UNIT,snubbing_unit,,,,,,,,262.0,,,,,,,4.0,9/4/2004,10/2/2005,EI,,bsee_war,True,HYDRAULIC WORKOVER UNIT,drilling_rig,,,,,,,,,,,,,,,
* HYDRAULIC WORKOVER UNIT      HO#2,snubbing_unit,,,,,,,,,,,,,,,1.0,8/8/2013 11:59:00 PM,8/1/2013,GC,,bsee_war,True,* HYDRAULIC WORKOVER UNIT      HO#2,drilling_rig,,,,,,,,,,,,,,,
* HYDRAULIC WORKOVER UNIT (ALTERNATE),snubbing_unit,,,,,,,,,,,,,,,1.0,12/7/2013 11:59:00 PM,1/12/2014 12:01:00 AM,EW,,bsee_war,True,* HYDRAULIC WORKOVER UNIT (ALTERNATE),drilling_rig,,,,,,,,,,,,,,,
* HYDRAULIC WORKOVER UNIT (HO),snubbing_unit,,,,,,,,,,,,,,,93.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,MC,,bsee_war,True,* HYDRAULIC WORKOVER UNIT (HO),drilling_rig,,,,,,,,,,,,,,,
* HYDRAULIC WORKOVER UNIT (LAF,snubbing_unit,,,,,,,,,,,,,,,15.0,9/28/2014 11:59:00 PM,1/10/2016 12:01:00 AM,SM,,bsee_war,True,* HYDRAULIC WORKOVER UNIT (LAF,drilling_rig,,,,,,,,,,,,,,,
* HYDRAULIC WORKOVER UNIT (LC),snubbing_unit,,,,,,,,,,,,,,,22.0,9/8/2012 11:59:00 PM,1/1/2012 12:01:00 AM,SM,,bsee_war,True,* HYDRAULIC WORKOVER UNIT (LC),drilling_rig,,,,,,,,,,,,,,,
* HYDRAULIC WORKOVER UNIT (LJ),snubbing_unit,,,,,,,,129.0,,,,,,,26.0,9/7/2013 11:59:00 PM,1/1/2012 12:01:00 AM,EB,,bsee_war,True,* HYDRAULIC WORKOVER UNIT (LJ),drilling_rig,,,,,,,,,,,,,,,
* HYDRAULIC WORKOVER UNIT (NO),snubbing_unit,,,,,,,,,,,,,,,70.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,MC,,bsee_war,True,* HYDRAULIC WORKOVER UNIT (NO),drilling_rig,,,,,,,,,,,,,,,
* HYDRAULIC WORKOVER UNIT HO#3,snubbing_unit,,,,,,,,,,,,,,,1.0,3/21/2013 11:59:00 PM,3/20/2013,ST,,bsee_war,True,* HYDRAULIC WORKOVER UNIT HO#3,drilling_rig,,,,,,,,,,,,,,,
* HYDRAULIC WORKOVER UNIT LJ#2,snubbing_unit,,,,,,,,,,,,,,,2.0,2/4/2012 11:59:00 PM,1/1/2012 12:01:00 AM,HI,,bsee_war,True,* HYDRAULIC WORKOVER UNIT LJ#2,drilling_rig,,,,,,,,,,,,,,,
* HYDRAULIC WORKOVER UNIT NO#2,snubbing_unit,,,,,,,,,,,,,,,1.0,7/21/2012 11:59:00 PM,7/19/2012,VR,,bsee_war,True,* HYDRAULIC WORKOVER UNIT NO#2,drilling_rig,,,,,,,,,,,,,,,
* JACKUP RIG TO BE DETERMINED,unknown,,,,,,,,,,,,,,,2.0,8/24/2019 11:59:00 PM,4/13/2011,EC,,bsee_war,True,* JACKUP RIG TO BE DETERMINED,drilling_rig,,,,,,,,,,,,,,,
LIFT BOAT,lift_boat,,,,,,,,325.0,70.0,76.0,16000.0,,,,134.0,9/7/2003,1/1/2006,BA,,bsee_war,True,LIFT BOAT,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (HOUMA #2),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,16.0,9/5/2015 11:59:00 PM,10/16/2011 12:01:00 AM,SS,,bsee_war,True,* LIFT BOAT (HOUMA #2),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (HOUMA #3),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,2.0,9/7/2013 11:59:00 PM,1/22/2012,ST,,bsee_war,True,* LIFT BOAT (HOUMA #3),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (HOUMA DIST),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,400.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,SS,,bsee_war,True,* LIFT BOAT (HOUMA DIST),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (L.C.#2),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,6.0,9/8/2012 11:59:00 PM,10/10/2012,EC,,bsee_war,True,* LIFT BOAT (L.C.#2),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (L.C.#3),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,6.0,9/3/2016 11:59:00 PM,10/16/2016 12:01:00 AM,VR,,bsee_war,True,* LIFT BOAT (L.C.#3),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (L.J. #2)),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,8.0,8/8/2015 11:59:00 PM,1/4/2016,MI,,bsee_war,True,* LIFT BOAT (L.J. #2)),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (L.J. #3),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,3.0,9/9/2016 11:59:00 PM,10/12/2014 12:01:00 AM,HI,,bsee_war,True,* LIFT BOAT (L.J. #3),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (LAF #2),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,3.0,3/19/2015 11:59:00 PM,10/30/2014,EC,,bsee_war,True,* LIFT BOAT (LAF #2),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (LAF #3),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,1.0,12/4/2015 11:59:00 PM,11/29/2015,EI,,bsee_war,True,* LIFT BOAT (LAF #3),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (LAFAYETTE DIST),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,192.0,9/9/2017 11:59:00 PM,1/10/2016,SM,,bsee_war,True,* LIFT BOAT (LAFAYETTE DIST),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (LAKE CHARLES DIST,lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,331.0,9/9/2017 11:59:00 PM,1/1/2012,VR,,bsee_war,True,* LIFT BOAT (LAKE CHARLES DIST,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (LAKE JACKSON),lift_boat,,,,,,,,89.0,70.0,76.0,16000.0,,,,143.0,9/6/2015,1/10/2013,HI,,bsee_war,True,* LIFT BOAT (LAKE JACKSON),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (N.O. #2),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,4.0,10/7/2016 11:59:00 PM,10/2/2016 12:01:00 AM,WD,,bsee_war,True,* LIFT BOAT (N.O. #2),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (N.O. #3),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,3.0,9/8/2012 11:59:00 PM,3/29/2015 12:01:00 AM,MO,,bsee_war,True,* LIFT BOAT (N.O. #3),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* LIFT BOAT (NEW ORLEANS DIST),lift_boat,,,,,,,,,70.0,76.0,16000.0,,,,343.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,GI,,bsee_war,True,* LIFT BOAT (NEW ORLEANS DIST),drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
* NONE RIG PA OPERATION,unknown,,,,,,,,,,,,,,,333.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,EC,,bsee_war,True,* NONE RIG PA OPERATION,drilling_rig,,,,,,,,,,,,,,,
* NONE RIG PA OPERATION (HOUMA,unknown,,,,,,,,,,,,,,,102.0,9/7/2013 11:59:00 PM,1/12/2014 12:01:00 AM,SS,,bsee_war,True,* NONE RIG PA OPERATION (HOUMA,drilling_rig,,,,,,,,,,,,,,,
* NONE RIG PA OPERATION (LAF),unknown,,,,,,,,,,,,,,,114.0,9/6/2014 11:59:00 PM,1/10/2016 12:01:00 AM,SM,,bsee_war,True,* NONE RIG PA OPERATION (LAF),drilling_rig,,,,,,,,,,,,,,,
* NONE RIG PA OPERATION (LC),unknown,,,,,,,,,,,,,,,249.0,9/9/2016 11:59:00 PM,1/12/2014 12:01:00 AM,WC,,bsee_war,True,* NONE RIG PA OPERATION (LC),drilling_rig,,,,,,,,,,,,,,,
* NONE RIG PA OPERATION (LJ),unknown,,,,,,,,208.0,,,,,,,269.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,HI,,bsee_war,True,* NONE RIG PA OPERATION (LJ),drilling_rig,,,,,,,,,,,,,,,
* NONE RIG PA OPERATION (NO),unknown,,,,,,,,,,,,,,,8.0,7/3/2017 11:59:00 PM,6/11/2017,WD,,bsee_war,True,* NONE RIG PA OPERATION (NO),drilling_rig,,,,,,,,,,,,,,,
* PLATFORM RIG TO BE DETERMINED,platform_rig,,,,,,,,,,,,,,,7.0,9/7/2013 11:59:00 PM,10/13/2013 12:01:00 AM,HI,,bsee_war,True,* PLATFORM RIG TO BE DETERMINED,drilling_rig,,,,,,,,,,,,,,,
SNUBBING UNIT,snubbing_unit,,,,,,,,860.0,,,,,,,37.0,9/7/2003,1/10/2003,MU,,bsee_war,True,SNUBBING UNIT,drilling_rig,,,,,,,,,,,,,,,
* SNUBBING UNIT (HOUMA #2),snubbing_unit,,,,,,,,,,,,,,,1.0,8/1/2013 11:59:00 PM,7/22/2013,GC,,bsee_war,True,* SNUBBING UNIT (HOUMA #2),drilling_rig,,,,,,,,,,,,,,,
* SNUBBING UNIT (HOUMA DIST),snubbing_unit,,,,,,,,,,,,,,,9.0,9/24/2016 11:59:00 PM,10/16/2016 12:01:00 AM,ST,,bsee_war,True,* SNUBBING UNIT (HOUMA DIST),drilling_rig,,,,,,,,,,,,,,,
* SNUBBING UNIT (L.C. DIST),snubbing_unit,,,,,,,,,,,,,,,8.0,9/5/2015 11:59:00 PM,10/11/2015 12:01:00 AM,WC,,bsee_war,True,* SNUBBING UNIT (L.C. DIST),drilling_rig,,,,,,,,,,,,,,,
* SNUBBING UNIT (L.J. DIST),snubbing_unit,,,,,,,,,,,,,,,9.0,9/7/2013 11:59:00 PM,1/12/2014 12:01:00 AM,EC,,bsee_war,True,* SNUBBING UNIT (L.J. DIST),drilling_rig,,,,,,,,,,,,,,,
* SNUBBING UNIT (LAF DIST),snubbing_unit,,,,,,,,,,,,,,,9.0,9/19/2016 11:59:00 PM,10/11/2015 12:01:00 AM,EI,,bsee_war,True,* SNUBBING UNIT (LAF DIST),drilling_rig,,,,,,,,,,,,,,,
* SNUBBING UNIT (N.O.DIST),snubbing_unit,,,,,,,,,,,,,,,5.0,6/7/2013 11:59:00 PM,2/12/2012 12:01:00 AM,MP,,bsee_war,True,* SNUBBING UNIT (N.O.DIST),drilling_rig,,,,,,,,,,,,,,,
UNSPECIFIED - DO NOT DELETE,unknown,,,,,,,,,,,,,,,16.0,9/3/2011 11:59:00 PM,1/1/2012 12:01:00 AM,SS,,bsee_war,True,UNSPECIFIED - DO NOT DELETE,drilling_rig,,,,,,,,,,,,,,,
* WIRELINE (GENERIC),wireline_unit,,,,,,,,,,,,,,,2.0,9/6/2015 11:59:00 PM,9/2/2015,SM,,bsee_war,True,* WIRELINE (GENERIC),drilling_rig,,,,,,,,,,,,,,,
WIRELINE UNIT,wireline_unit,,,,,,,,940.0,,,,,,,197.0,9/7/2003,1/1/2006,SM,,bsee_war,True,WIRELINE UNIT,drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (HOUMA #2),wireline_unit,,,,,,,,,,,,,,,70.0,9/8/2012 11:59:00 PM,1/11/2015 12:01:00 AM,PL,,bsee_war,True,* WIRELINE UNIT (HOUMA #2),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (HOUMA #3),wireline_unit,,,,,,,,,,,,,,,2.0,2/16/2014 11:59:00 PM,1/8/2012 12:01:00 AM,SS,,bsee_war,True,* WIRELINE UNIT (HOUMA #3),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (HOUMA #5),wireline_unit,,,,,,,,,,,,,,,1.0,5/1/2014 11:59:00 PM,3/30/2014,SS,,bsee_war,True,* WIRELINE UNIT (HOUMA #5),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (HOUMA DIST),wireline_unit,,,,,,,,,,,,,,,885.0,9/9/2017 11:59:00 PM,1/1/2012,SS,,bsee_war,True,* WIRELINE UNIT (HOUMA DIST),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (L.C.#2),wireline_unit,,,,,,,,,,,,,,,17.0,8/9/2014 11:59:00 PM,1/31/2015,WC,,bsee_war,True,* WIRELINE UNIT (L.C.#2),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (L.C.#3),wireline_unit,,,,,,,,,,,,,,,1.0,8/27/2012 11:59:00 PM,8/12/2012 12:01:00 AM,EC,,bsee_war,True,* WIRELINE UNIT (L.C.#3),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (L.C.DIST),wireline_unit,,,,,,,,,,,,,,,555.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,GB,,bsee_war,True,* WIRELINE UNIT (L.C.DIST),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (L.J.#2),wireline_unit,,,,,,,,,,,,,,,40.0,9/8/2012 11:59:00 PM,1/22/2013,MI,,bsee_war,True,* WIRELINE UNIT (L.J.#2),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (L.J.#3),wireline_unit,,,,,,,,,,,,,,,8.0,7/28/2014 11:59:00 PM,11/11/2012 12:01:00 AM,HI,,bsee_war,True,* WIRELINE UNIT (L.J.#3),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (L.J.DIST),wireline_unit,,,,,,,,,,,,,,,388.0,9/9/2017 11:59:00 PM,1/1/2014,GA,,bsee_war,True,* WIRELINE UNIT (L.J.DIST),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (LAF #2),wireline_unit,,,,,,,,,,,,,,,37.0,9/7/2013 11:59:00 PM,1/11/2015 12:01:00 AM,SM,,bsee_war,True,* WIRELINE UNIT (LAF #2),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (LAF #3),wireline_unit,,,,,,,,,,,,,,,2.0,3/8/2014 11:59:00 PM,3/16/2014 12:01:00 AM,SM,,bsee_war,True,* WIRELINE UNIT (LAF #3),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (LAF DIST),wireline_unit,,,,,,,,,,,,,,,592.0,9/9/2017 11:59:00 PM,1/1/2017,EI,,bsee_war,True,* WIRELINE UNIT (LAF DIST),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (N.O. #2),wireline_unit,,,,,,,,,,,,,,,14.0,9/7/2013 11:59:00 PM,10/13/2013 12:01:00 AM,WD,,bsee_war,True,* WIRELINE UNIT (N.O. #2),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (N.O. #3),wireline_unit,,,,,,,,,,,,,,,7.0,9/26/2015 11:59:00 PM,1/1/2012 12:01:00 AM,GI,,bsee_war,True,* WIRELINE UNIT (N.O. #3),drilling_rig,,,,,,,,,,,,,,,
* WIRELINE UNIT (N.O.DIST),wireline_unit,,,,,,,,,,,,,,,825.0,9/9/2017 11:59:00 PM,1/1/2012 12:01:00 AM,SP,,bsee_war,True,* WIRELINE UNIT (N.O.DIST),drilling_rig,,,,,,,,,,,,,,,
** RIG TO BE DETERMINED,unknown,,,,,,,,,,,,,,,24.0,9/4/2004,1/1/2008,GB,,bsee_war,True,** RIG TO BE DETERMINED,drilling_rig,,,,,,,,,,,,,,,
** RIG TO BE DETERMINED DP SEMI,unknown,,,,,,,,,,,,,,,3.0,9/4/2010 11:59:00 PM,10/10/2010 12:01:00 AM,ST,,bsee_war,True,** RIG TO BE DETERMINED DP SEMI,drilling_rig,,,,,,,,,,,,,,,
",AROME 300",unknown,,,,,,,,,,,,,,,1.0,11/30/2001,11/17/2001,ST,,bsee_war,True,",AROME 300",drilling_rig,,,,,,,,,,,,,,,
",SV Q4000",semi_submersible,,,,,,,,1042.0,104.0,78.0,45000.0,,,,1.0,9/16/2003,9/10/2003,GC,,bsee_war,True,",SV Q4000",drilling_rig,,,semi_sub,semi_sub_100m,21.0,generic,,,,,,,,,
SL,wireline_unit,,,,,,,,341.0,,,,,,,58.0,9/9/2003,1/12/2004,MP,,bsee_war,True,SL,drilling_rig,,,,,,,,,,,,,,,
1004 E,unknown,,,,,,,,,,,,,,,1.0,6/4/2000,5/22/2000,EB,,bsee_war,True,1004 E,drilling_rig,,,,,,,,,,,,,,,
11-JUN-2002,unknown,,,,,,,,,,,,,,,1.0,6/19/2002,6/11/2002,EI,,bsee_war,True,11-JUN-2002,drilling_rig,,,,,,,,,,,,,,,
14000,unknown,,,,,,,,,,,,,,,1.0,7/4/2003,6/28/2003,EI,,bsee_war,True,14000,drilling_rig,,,,,,,,,,,,,,,
21MAR90,unknown,,,,,,,,1438.0,,,,,,,1.0,5/6/2006,3/28/2006,MC,,bsee_war,True,21MAR90,drilling_rig,,,,,,,,,,,,,,,
23514,unknown,,,,,,,,,,,,,,,1.0,7/8/2002,6/25/2002,GB,,bsee_war,True,23514,drilling_rig,,,,,,,,,,,,,,,
30BLE AMOS RUNNER,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,11/30/2002,11/27/2002,AT,,bsee_war,True,30BLE AMOS RUNNER,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
3NSCO 98,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,1.0,7/14/2000,4/8/2000,VR,,bsee_war,True,3NSCO 98,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
41EP,unknown,,,,,,,,,,,,,,,1.0,9/26/1999,10/11/1999,HI,,bsee_war,True,41EP,drilling_rig,,,,,,,,,,,,,,,
6025,unknown,,,,,,,,,,,,,,,1.0,11/3/2000,10/14/2000,EI,,bsee_war,True,6025,drilling_rig,,,,,,,,,,,,,,,
ACHILLES,jack_up,,,,,,,,,70.0,76.0,16000.0,,,,3.0,8/7/1998,1/10/1998,PL,,bsee_war,True,ACHILLES,drilling_rig,,,jackup,jackup_70m,5.5,generic,,,,,,,,,
