DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,LEASE_NUMBER,AREA_BLOCK,CONTROL_NUMBER,DOC_TYPE,DATE_RECEIVED
43932,Gulf of Mexico,3/29/2022 11:48:50 AM,27,858011,G09651 ,PL 6,S-5277 ,DOCD ,5/10/2000
43933,Gulf of Mexico,3/29/2022 11:50:54 AM,93,3833972,G18169,EW 878,S-5278 ,POE ,5/10/2000
43934,Gulf of Mexico,3/29/2022 11:52:44 AM,66,3417813,G14870 ,HI 202,N-6797 ,POE ,5/10/2000
312,Gulf of Mexico,5/2/2000,50,2324556,G17857         ,EC 0167,N-6770                        ,POE       ,4/10/2000
43935,Gulf of Mexico,3/29/2022 11:54:13 AM,66,3417813,G21347,HI A  19,N-6797 ,POE ,5/10/2000
43936,Gulf of Mexico,3/29/2022 12:45:58 PM,63,2985229,G20976 ,KC 773,N-6794 ,POE ,5/8/2000
43937,Gulf of Mexico,3/29/2022 12:47:34 PM,63,2985229,G20987 ,KC 818,N-6794 ,POE ,5/8/2000
43938,Gulf of Mexico,3/29/2022 12:50:41 PM,63,2985229,G21441,KC 774,N-6794 ,POE ,5/8/2000
317,Gulf of Mexico,5/2/2000,16,487037,00385          ,WD 29,ES/SR 00-041                  ,SEA       ,4/11/2000
43939,Gulf of Mexico,3/29/2022 12:52:16 PM,23,796742,G17156 ,HI A5,S-5264 ,DOCD ,4/21/2000
43940,Gulf of Mexico,3/29/2022 12:53:22 PM,32,1300686,G14532 ,PL 2,S-5256 ,DOCD ,4/17/2000
43941,Gulf of Mexico,3/29/2022 12:56:03 PM,68,3358834,G21308,MI 670,N-6798 ,POE ,5/11/2000
43942,Gulf of Mexico,3/29/2022 12:59:58 PM,26,1034222,00034,GI 23,S-5267 ,DOCD ,4/27/2000
322,Gulf of Mexico,5/2/2000,18,570007,G04785         ,VR 30,ES/SR 00-026                  ,SEA       ,4/11/2000
43943,Gulf of Mexico,3/29/2022 1:03:23 PM,62,2750730,G18594,AT 386,N-6783 ,POE ,4/28/2000
43944,Gulf of Mexico,3/29/2022 1:06:29 PM,62,2750724,G18604 ,AT 0430,N-6783 ,POE ,4/28/2000
43945,Gulf of Mexico,3/29/2022 1:11:08 PM,28,1118844,G06164 ,HI 176,S-5282 ,DOCD ,5/15/2000
43946,Gulf of Mexico,3/29/2022 1:16:19 PM,28,1118844,G06167,HI 195,S-5282 ,DOCD ,5/15/2000
43947,Gulf of Mexico,3/29/2022 1:24:26 PM,77,3700201,G16195 ,WC 492,N-6802 ,DOCD ,5/15/2000
43948,Gulf of Mexico,3/29/2022 1:26:30 PM,25,1160032,G14205,EB 602,S-5281 ,POE ,5/12/2000
43949,Gulf of Mexico,3/29/2022 1:28:30 PM,53,2020344,G21156,VK 740,N-6795 ,POE ,5/9/2000
43950,Gulf of Mexico,3/29/2022 1:31:04 PM,74,3523037,G16186,WC 440,N-6801 ,POE ,5/12/2000
43951,Gulf of Mexico,3/29/2022 1:32:15 PM,27,1132129,G19916,EW 870,S-5275 ,POE ,5/8/2000
43952,Gulf of Mexico,3/29/2022 1:33:15 PM,61,1975750,G21312,BA A   1,N-6806 ,POE ,5/19/2000
43953,Gulf of Mexico,3/29/2022 1:38:24 PM,67,3232677,G15781,HI A   7,N-6805 ,DOCD ,5/19/2000
334,Gulf of Mexico,5/2/2000,14,509931,G05479         ,EI 28,S-5253                        ,DOCD      ,4/17/2000
43954,Gulf of Mexico,3/29/2022 1:41:38 PM,54,2915250,G19946 ,MC 393,N-6792 ,POE ,5/5/2000
43955,Gulf of Mexico,3/29/2022 1:42:52 PM,54,2915250,G19953 ,MC 437,N-6792 ,POE ,5/5/2000
43956,Gulf of Mexico,3/29/2022 1:45:06 PM,54,2915250,G21169,MC 392,N-6792 ,POE ,5/5/2000
338,Gulf of Mexico,5/2/2000,19,761866,G02562         ,EC 38,S-5250                        ,DOCD      ,4/17/2000
339,Gulf of Mexico,5/2/2000,12,454755,G01294         ,SP 62,S-5175                        ,SEA       ,4/17/2000
43957,Gulf of Mexico,3/29/2022 1:47:11 PM,73,3519502,G15498,MC 632,N-6788 ,POE ,5/3/2000
43958,Gulf of Mexico,3/29/2022 1:50:09 PM,62,1976895,G17598,KC 301,N-6799 ,POE ,5/11/2000
43959,Gulf of Mexico,3/29/2022 1:51:27 PM,24,1018223,G09652,PL 15,S-5287 ,DOCD ,5/22/2000
43960,Gulf of Mexico,3/29/2022 1:52:36 PM,24,1025183,G04082,SX 18,S-5280 ,DOCD ,5/12/2000
43961,Gulf of Mexico,3/29/2022 1:56:23 PM,62,1950143,G21356,HI A 554,N-6803 ,POE ,5/15/2000
43962,Gulf of Mexico,3/29/2022 1:58:21 PM,71,3305067,G10203,MI 704,S-5286 ,DOCD ,5/22/2000
43963,Gulf of Mexico,3/30/2022 1:07:22 PM,71,786974,G36407,MC 978,N-10186,SEA,3/22/2022
43964,Gulf of Mexico,3/30/2022 1:08:17 PM,33,788226,G02275,VR 370,ES/SR 16-026,SEA,2/19/2020
43965,Gulf of Mexico,3/30/2022 1:09:08 PM,30,626477,G33604,VR 284,ES/SR 22-014,SEA,9/13/2021
46081,Gulf of Mexico,7/19/2022 9:52:09 AM,71,2226931,G12839,EC 0215,ES/SR 01-030,SEA,12/4/2001
46084,Gulf of Mexico,7/19/2022 9:55:26 AM,71,2226931,00778,SM 23,ES/SR 01-033,SEA,12/4/2001
46085,Gulf of Mexico,7/19/2022 10:03:39 AM,17,487222,G04781,EC 213,ES/SR 01-058,SEA,12/4/2001
46086,Gulf of Mexico,7/19/2022 10:05:06 AM,32,1141976,G01971,WC 181,ES/SR 01-057,SEA,12/4/2001
46087,Gulf of Mexico,7/19/2022 10:07:14 AM,36,1216099,G15704,MU 788,ES/SR 01-024,SEA,12/4/2001
46088,Gulf of Mexico,7/19/2022 10:10:27 AM,34,1181367,G02390,HI A570,ES/SR 01-025,SEA,12/4/2001
46089,Gulf of Mexico,7/19/2022 10:13:33 AM,23,626877,G05201,SS 134,ES/SR 01-026,SEA,12/4/2001
46090,Gulf of Mexico,7/19/2022 10:15:04 AM,45,1610314,00778,SM 23,ES/SR 01-039,SEA,12/4/2001
46091,Gulf of Mexico,7/19/2022 10:17:55 AM,73,3104950,G18948,HI 84,N-7329,DOCD,12/3/2001
46092,Gulf of Mexico,7/19/2022 10:20:05 AM,73,3104950,G21349,HI 85,N-7329,DOCD,12/3/2001
46093,Gulf of Mexico,7/19/2022 10:23:19 AM,47,2005727,G14456,SM 280,S-5801,DOCD,11/30/2001
46094,Gulf of Mexico,7/19/2022 10:25:42 AM,32,1339079,G04857,EI 41,S-5803,DOCD,12/4/2001
46095,Gulf of Mexico,7/19/2022 10:26:25 AM,32,1339079,G04858,EI 42,S-5803,DOCD,12/4/2001
46096,Gulf of Mexico,7/19/2022 10:28:04 AM,64,2752597,G21115,SS 139,S-5794,POE,11/19/2001
46097,Gulf of Mexico,7/19/2022 10:31:41 AM,36,1169656,G02050,EC 281,S-5805,DOCD,12/4/2001
46098,Gulf of Mexico,7/19/2022 10:35:38 AM,73,2086881,00367,WD 32,ES/SR 01-092-100,SEA,12/6/2001
44402,Gulf of Mexico,4/22/2022 7:12:02 AM,29,1103212,00146,WD 58,S-5377 ,DOCD ,9/11/2000
44403,Gulf of Mexico,4/22/2022 7:15:59 AM,66,2290617,G01572,ST 189,S-5366 ,DOCD ,8/25/2000
44404,Gulf of Mexico,4/22/2022 7:16:54 AM,66,2290617,G01899 ,ST 188,S-5366 ,DOCD ,8/25/2000
44405,Gulf of Mexico,4/22/2022 7:18:07 AM,34,1300837,00809,EI 227,S-5376 ,POE ,9/7/2000
44406,Gulf of Mexico,4/22/2022 7:19:42 AM,87,3792274,G21631 ,SM 276,N-6919 ,POE ,9/12/2000
44483,Gulf of Mexico,4/26/2022 3:27:38 PM,64,1884154,G01329 ,VR 27,S-5398 ,DOCD ,10/4/2000
44484,Gulf of Mexico,4/26/2022 3:28:34 PM,27,894101,G21790,GC 338,S-5407 ,POE ,10/10/2000
44485,Gulf of Mexico,4/26/2022 3:29:05 PM,27,894101,G21791 ,GC 0339,S-5407 ,POE ,10/10/2000
44486,Gulf of Mexico,4/26/2022 3:32:21 PM,36,1465459,G13645,WD 122,S-5392 ,DOCD ,9/28/2000
44487,Gulf of Mexico,4/26/2022 3:32:52 PM,36,1465459,G19843 ,WD 121,S-5392 ,DOCD ,9/28/2000
44488,Gulf of Mexico,4/26/2022 3:33:58 PM,68,3230340,G15276 ,SS 76,N-6953 ,DOCD ,10/10/2000
44489,Gulf of Mexico,4/26/2022 3:35:50 PM,51,1856407,G21829,AT 92,N-6927 ,POE ,9/15/2000
