﻿OccNo,OccID,VesselID,VesselName,XrfOccVesselLsApplianceID,LsApplianceID,LsApplianceDisplayEng,LsApplianceDisplayFre,UsedEnum,UsedEnumDisplayEng,UsedEnumDisplayFre,ApprovedEnum,ApprovedEnumDisplayEng,ApprovedEnumDisplayFre
"M24A0378",52649,31114,"NICK & ASH 2021",2688,10,"Liferaft","Radeau de sauvetage",32,"No","Non",,,
"M24A0378",52649,31114,"NICK & ASH 2021",2688,10,"Liferaft","Radeau de sauvetage",32,"No","Non",,,
"M24A0351",52565,31058,"C17027QC (EXPLORER 2)",2686,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24P0211",52554,2342,"ELORA JANE",2684,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",,,
"M24P0211",52554,2342,"ELORA JANE",2685,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0244",52546,31050,"C32870ON (ART & WATER 1)",2683,7,"Lifejacket","Gilet de sauvetage",,,,,,
"M24A0336",52522,28853,"ATLANTIC SEA CLIPPER",2682,5,"EPIRB","Radiobalise de localisation des sinistres (EPIRB/RLS)",31,"Yes","Oui",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2679,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2679,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2679,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2680,7,"Lifejacket","Gilet de sauvetage",33,"Unknown","Inconnue",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2680,7,"Lifejacket","Gilet de sauvetage",33,"Unknown","Inconnue",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2680,7,"Lifejacket","Gilet de sauvetage",33,"Unknown","Inconnue",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2681,10,"Liferaft","Radeau de sauvetage",31,"Yes","Oui",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2681,10,"Liferaft","Radeau de sauvetage",31,"Yes","Oui",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2681,10,"Liferaft","Radeau de sauvetage",31,"Yes","Oui",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2678,5,"EPIRB","Radiobalise de localisation des sinistres (EPIRB/RLS)",31,"Yes","Oui",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2678,5,"EPIRB","Radiobalise de localisation des sinistres (EPIRB/RLS)",31,"Yes","Oui",,,
"M24A0323",52496,23705,"CATALINA COMMANDER",2678,5,"EPIRB","Radiobalise de localisation des sinistres (EPIRB/RLS)",31,"Yes","Oui",,,
"M24A0301",52438,31003,"CETACEAN DEFENDER",2676,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0269",52334,20738,"ELITE NAVIGATOR",2677,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0262",52309,30927,"THEROS",2670,4,"SART","Transpondeur de recherche & sauvetage (SART)",,,,,,
"M24A0262",52309,30927,"THEROS",2670,4,"SART","Transpondeur de recherche & sauvetage (SART)",,,,,,
"M24A0262",52309,30927,"THEROS",2671,5,"EPIRB","Radiobalise de localisation des sinistres (EPIRB/RLS)",,,,,,
"M24A0262",52309,30927,"THEROS",2671,5,"EPIRB","Radiobalise de localisation des sinistres (EPIRB/RLS)",,,,,,
"M24C0147",52268,20370,"AML SUROIT",2669,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24C0147",52268,20370,"AML SUROIT",2669,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24C0098",52121,30843,"MALBAIE STAR I",2666,7,"Lifejacket","Gilet de sauvetage",,,,,,
"M24C0098",52121,30843,"MALBAIE STAR I",2666,7,"Lifejacket","Gilet de sauvetage",,,,,,
"M24C0098",52121,30843,"MALBAIE STAR I",2666,7,"Lifejacket","Gilet de sauvetage",,,,,,
"M24C0098",52121,30843,"MALBAIE STAR I",2666,7,"Lifejacket","Gilet de sauvetage",,,,,,
"M24A0161",52098,30824,"MISS PIG BROOK",2667,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",,,
"M24A0161",52098,30824,"MISS PIG BROOK",2668,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24A0144",52076,30815,"INDIAN LADY",2665,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24A0144",52076,30815,"INDIAN LADY",2665,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24A0121",52033,23788,"PROVOCANTE",2664,7,"Lifejacket","Gilet de sauvetage",,,,,,
"M24A0121",52033,23788,"PROVOCANTE",2664,7,"Lifejacket","Gilet de sauvetage",,,,,,
"M24A0121",52033,23788,"PROVOCANTE",2664,7,"Lifejacket","Gilet de sauvetage",,,,,,
"M24A0121",52033,23788,"PROVOCANTE",2664,7,"Lifejacket","Gilet de sauvetage",,,,,,
"M24A0079",51939,30759,"STONEHAVEN COWBOY II",2663,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24A0053",51881,30744,"MISS ANNETTE",2660,5,"EPIRB","Radiobalise de localisation des sinistres (EPIRB/RLS)",31,"Yes","Oui",,,
"M24A0053",51881,30744,"MISS ANNETTE",2660,5,"EPIRB","Radiobalise de localisation des sinistres (EPIRB/RLS)",31,"Yes","Oui",,,
"M24A0053",51881,30744,"MISS ANNETTE",2661,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0053",51881,30744,"MISS ANNETTE",2661,6,"Immersion suit","Combinaison d'immersion",31,"Yes","Oui",33,"Unknown","Inconnue"
"M24A0053",51881,30744,"MISS ANNETTE",2662,7,"Lifejacket","Gilet de sauvetage",33,"Unknown","Inconnue",,,
"M24A0053",51881,30744,"MISS ANNETTE",2662,7,"Lifejacket","Gilet de sauvetage",33,"Unknown","Inconnue",,,
"M24A0050",51868,24031,"SEAING TRIPLE",2659,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24A0050",51868,24031,"SEAING TRIPLE",2659,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24A0050",51868,24031,"SEAING TRIPLE",2659,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2654,10,"Liferaft","Radeau de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2655,8,"Lifeboat","Embarcation/canot de sauvetage",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24C0017",51849,30728,"MSC SAO PAULO V",2656,6,"Immersion suit","Combinaison d'immersion",,,,,,
"M24A0039",51844,30727,"VINCENT COLEMAN",2653,17,"Reboarding Device","Reboarding Device",,,,,,
"M24A0034",51820,30700,"C11397NS (CG113)",2651,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
"M24A0034",51820,30700,"C11397NS (CG113)",2652,19,"Floater Suit","Combinaison de flottaison",31,"Yes","Oui",,,
"M24A0033",51819,12567,"CAPE CORDELL",2657,7,"Lifejacket","Gilet de sauvetage",31,"Yes","Oui",,,
