﻿OccNo,OccID,VesselID,VesselName,VesselSoftwareAudioID,RecordingEquipID,RecordingEquipDisplayEng,RecordingEquipDisplayFre,SoftwareAudioMakeID,SoftwareAudioMakeDisplayEng,SoftwareAudioMakeDisplayFre,SoftwareAudioModelID,SoftwareAudioModelDisplayEng,SoftwareAudioModelDisplayFre,SoftwareVersion,SerialNumber,VdrDetailID,RecCapacity_NumberOfDays,RecAudioFilesDelEnum,RecAudioFilesDelEnumDisplayEng,RecAudioFilesDelEnumDisplayFre,RecAudioFilesSegregatedEnum,RecAudioFilesSegregatedEnumDisplayEng,RecAudioFilesSegregatedEnumDisplayFre,CapsuleRecCapacity_NumberOfDays,CapsuleAudioFilesDelEnum,CapsuleAudioFilesDelEnumDisplayEng,CapsuleAudioFilesDelEnumDisplayFre,CapsuleAudioFilesSegregatedEnum,CapsuleAudioFilesSegregatedEnumDisplayEng,CapsuleAudioFilesSegregatedEnumDisplayFre,DataExtractedEnum,DataExtractedEnumDisplayEng,DataExtractedEnumDisplayFre,ReasonNotExtractedID,ReasonNotExtractedDisplayEng,ReasonNotExtractedDisplayFre,EquipSeizedEnum,EquipSeizedEnumDisplayEng,EquipSeizedEnumDisplayFre,InstructionsPostedEnum,InstructionsPostedEnumDisplayEng,InstructionsPostedEnumDisplayFre,InstructionAvailableEnum,InstructionAvailableEnumDisplayEng,InstructionAvailableEnumDisplayFre
"M25A0035",52854,8100,"KOPIT HOPSON 1752",3476,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0035",52854,8100,"KOPIT HOPSON 1752",3477,16,"VDR","VDR",47,"Danelec","Danelec",89,"DM100 VDR","DM100 VDR",,,591,,,,,,,,,,,,,,,33,"Unknown","Inconnue",,,,33,"Unknown","Inconnue",,,,,,
"M25A0035",52854,8100,"KOPIT HOPSON 1752",3477,16,"VDR","VDR",47,"Danelec","Danelec",89,"DM100 VDR","DM100 VDR",,,591,,,,,,,,,,,,,,,33,"Unknown","Inconnue",,,,33,"Unknown","Inconnue",,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3472,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3472,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3472,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3472,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3472,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3472,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3473,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3473,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3473,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3473,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3473,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25A0028",52832,30230,"PARKER & COLE",3473,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25P0017",52821,31194,"STRAIT SENTINEL",3470,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25P0017",52821,31194,"STRAIT SENTINEL",3471,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25C0014",52819,31177,"DIAMANTGRACHT",3468,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25C0014",52819,31177,"DIAMANTGRACHT",3469,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0300",52801,2257,"OCEAN CHARLIE",3467,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25F0001",52782,28926,"HARVEST SPIRIT",3465,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25F0001",52782,28926,"HARVEST SPIRIT",3465,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25F0001",52782,28926,"HARVEST SPIRIT",3466,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25F0001",52782,28926,"HARVEST SPIRIT",3466,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25C0002",52771,31158,"NORTHERN VENTURE",3463,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M25C0002",52771,31158,"NORTHERN VENTURE",3464,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0293",52740,26062,"FLORENCE SPIRIT",3461,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0293",52740,26062,"FLORENCE SPIRIT",3461,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0293",52740,26062,"FLORENCE SPIRIT",3462,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0293",52740,26062,"FLORENCE SPIRIT",3462,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0290",52727,24362,"FEDERAL YELLOWSTONE",3457,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0290",52727,24362,"FEDERAL YELLOWSTONE",3457,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0290",52727,24362,"FEDERAL YELLOWSTONE",3458,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0290",52727,24362,"FEDERAL YELLOWSTONE",3458,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3451,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3451,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3451,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3451,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3452,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3452,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3452,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3452,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3453,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3453,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3453,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3453,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3454,16,"VDR","VDR",,,,,,,,,589,,,,,,,,,,,,,,,33,"Unknown","Inconnue",,,,33,"Unknown","Inconnue",,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3454,16,"VDR","VDR",,,,,,,,,589,,,,,,,,,,,,,,,33,"Unknown","Inconnue",,,,33,"Unknown","Inconnue",,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3454,16,"VDR","VDR",,,,,,,,,589,,,,,,,,,,,,,,,33,"Unknown","Inconnue",,,,33,"Unknown","Inconnue",,,,,,
"M24C0289",52726,26259,"MSC ANGELA",3454,16,"VDR","VDR",,,,,,,,,589,,,,,,,,,,,,,,,33,"Unknown","Inconnue",,,,33,"Unknown","Inconnue",,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3448,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3449,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0288",52725,6095,"LIMNOS",3450,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24P0258",52721,25938,"SAAM SABA",3455,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24P0258",52721,25938,"SAAM SABA",3456,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24A0417",52720,18562,"CAPE LIGHT",3446,7,"Electronic Chart System (ECS)","Système de cartes électroniques (SCE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24A0417",52720,18562,"CAPE LIGHT",3447,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0287",52712,31137,"WOLFE ISLANDER IV",3439,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0287",52712,31137,"WOLFE ISLANDER IV",3439,6,"ECDIS","SEVCM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M24C0287",52712,31137,"WOLFE ISLANDER IV",3440,8,"GPS","GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
