VESSEL NAME,CLASSIFICATION,MAX OPERATING DRAFT (M),CONSTRUCTION TYPE,Leased or Own,Operating Water Depth,Location,Owner of FPSO,FPSO Operator
KNOCK ADOON,DNV,19,Converted,Yes,37,Antan,Fred.Olsen,Fred.Olsen
KNOCK ALLAN,DNV,17,Converted,Yes,100,Olowi,Fred.Olsen,Fred.Olsen
KUITO,ABS,21,Converted,Yes,373,Kuito,JV - SBMO/ Partner,SBMO+JV Partner
KWAME NKRUMAH MV21 (JUBILEE FIELD),ABS,20,Converted,No,1100,Tano Basin,Tullow Oil,MODEC
LEWEK ARUNOTHAI,,,Converted,Yes,100,Arthit,Emas,
LEWEK EMAS (CHIM SAO),ABS,,Converted,Yes,95,Chim Sao,Emas,Emas
MAERSK NGUJIMA-YIN,LR,23,Converted,No,340,Vincent,Woodside,Woodside
MARLIM SUL,ABS,21,Converted,Yes,1015,Marlim Sul,SBMO,SBMO
MODEC VENTURE 11,ABS,,Converted,Yes,492,"Mutineer, Exeter, WA-191-P",MODEC,MODEC
MONDO,ABS,21,Converted,Yes,728,"Mondo, Block 15",JV - SBMO/ Partner,SBMO+JV Partner
MONTARA VENTURE,ABS,,Converted,No,80,"Montara, Skua, Swift, Swallow Fields",PTTEP,PTTEP
MUNIN,ABS,,,Yes,330,Lufeng 22-1,Bluewater,Bluewater
MV 8 LANGSA VENTURE,ABS,12,Converted,Yes,100,Langsa,Blue Sky Langsa Ltd.,Blue Sky Langsa Ltd.
MYSTRAS,ABS,17,Converted,Yes,72,Okono & Okpono Fields,NPDC,NPDC
NAN HAI ENDEAVOR (FEN JIN HAO),BV,,Converted,No,120,"Wenchang 13-1, 13-2",CNOOC,CNOOC
NAN HAI FA XIAN,ABS,20,Converted,No,100,Huizhou 19-3-1,CNOOC,CNOOC
NAN HAI SHENG LI,ABS,,Converted,Yes,305,Liuhua 11-1,MODEC,MODEC
NGANHURRA,,18,New Build,No,400,Enfield,Woodside/Mitsui,Woodside
NINGALOO VISION,LR,15,Converted,Yes,350,Van Gogh,BW Offshore,BW Offshore
N'KOSSA II LPG,BV,11,New Build,Yes,120,Haute Mer - N'Kossa,Maersk,Maersk
NORNE,DNV,19,New Build,No,380,Norne,Statoil,Statoil
NORTH SEA PRODUCER,LR,15,Converted,Yes,150,MacCulloch,North Sea Production,North Sea Production
NORTHERN ENDEAVOUR,LR,19,New Build,No,380,"Laminaria, Corallina",Woodside,Woodside
OCEAN PRODUCER,ABS,13,Converted,Yes,73,"Canuku: Nance Sul, Caama, Centro",Oceaneering,Oceaneering
OKHA,,,Converted,No,78,"Cossack, Wanaea, Lambert, Hermes",JV - North West Shelf,Woodside
OSX-1,DNV,18,New Build,Yes,140,Tubarâo Azul,OSX 1 Leasing B.V.,OSX Serviços Operacionais LTDA
P-31,ABS,22,Converted,No,330,Albacora,Petrobras,Petrobras
P-33,ABS,22,Converted,No,780,Marlim,Petrobras,Petrobras
P-34,LR,13,Converted,No,840,Barracuda & Caratinga,Petrobras,Petrobras
P-35,ABS,21,Converted,No,850,Marlim,Petrobras,Petrobras
P-37,ABS,21,Converted,No,905,Marlim,Petrobras,Petrobras
P-43,ABS,21,Converted,No,790,Barracuda,Petrobras,Petrobras
P-48,ABS,21,Converted,No,1040,Caratinga,Petrobras,Petrobras
P-50,ABS,21,Converted,No,1225,Albacora Leste,Petrobras,Petrobras
P-53,,22,Converted,No,1080,Marlim Leste,CDC,Petrobras
P-54,ABS,22,Converted,No,1400,Roncador Module 2,Petrobras,Petrobras
P-57,,,Converted,No,1260,"Jubarte, Ph 2",Petrobras,SBMO (First 3 years)
PAZFLOR,,,New Build,No,"600-1,200","Block 17 - Acacia, Hortensia, Perpetua & Zinia",Total,Total
PEREGRINO,,21,Converted,No,100,Peregrino,Statoil,BW Offshore
PERINTIS,ABS,16,Converted,Yes,75,"MASA: Malong, Sotong, Anding",M3nergy,M3nergy
PETROJARL FOINAVEN,DNV,,Converted,Yes,520,"Foinaven, Foinaven East",Teekay Petrojarl,Teekay Petrojarl
PETROJARL VARG,DNV,16,New Build,Yes,84,Varg,Teekay Petrojarl,Teekay Petrojarl
PETROLEO NAUTIPA,DNV,16,Converted,Yes,142,Etame,JV-BW Offshore/ Fred Olsen,JV-BW Offshore/ Fred Olsen
PIRANEMA SPIRIT (former Sevan Piranema),DNV,18,New Build,Yes,1600,Piranema,Teekay Petrojarl,Sevan Marine
POLVO,ABS,17,Converted,Yes,100,Polvo,BW Offshore,HRT
PSVM FPSO,ABS,23,Converted,No,2000,"Block 31: Plutão, Saturno, Venus, Marte",BP,BP
PYRENEES VENTURE,,,Converted,Yes,200,"Pyrenees (Crosby, Revensworth, Stickle)",MODEC,MODEC
RAROA,ABS,,New Build,Yes,101,Maari,Maari JV,Maari JV
RUBICON INTREPID,DNV,13,Converted,Yes,290,Galoc,Rubicon Offshore,Rubicon Offshore
RUBICON VANTAGE,DNV,13,Converted,Yes,60,Bualuang,Rubicon Offshore,Rubicon Offshore
RUBY II,,,Converted,Yes,49,Blocks 01 & 02,Vietnam OFT,PTSC
SANHA LPG FPSO,ABS,13,New Build,Yes,58,Sanha-Bomboco,JV - SBMO/ Partner,SBMO+JV Partner
SAXI-BATUQUE (KIZOMBA C),ABS,22,Converted,Yes,720,"Saxi & Batuque, Block 15",JV - SBMO/ Partner,SBMO+JV Partner
SCHIEHALLION,LR,20,New Build,No,425,Schiehallion,Shell,BP
SEA EAGLE (EA FPSO),LR,20,New Build,No,375,EA (OML 79),Shell,Shell
SEA GOOD 101,ABS,,,Yes,45,Oyong Field,Apexindo,Mitra Rajasa
SEA ROSE (WHITE ROSE),DNV,18,New Build,No,120,White Rose,Husky,Husky
SENDJE BERGE,DNV,22,Converted,Yes,140,"Okwori, Okwori South",BW Offshore,BW Offshore
SENDJE CEIBA,DNV,22,Converted,Yes,800,Ceiba,BW Offshore,BW Offshore
SERPENTINA,ABS,22,Converted,No,475,Zafiro Southern Expansion Area,ExxonMobil,SBMO
SKARV FPSO,DNV,,New Build,No,400,Skarv,BP,BP
SONG DOC MV19,,,Converted,Yes,55,Song Doc,MODEC,MODEC
STYBARROW VENTURE MV16,ABS,,New Build,Yes,825,Stybarrow,MODEC,MODEC
TANTAWAN EXPLORER,ABS,16,Converted,No,74,Tantawan,Chevron,Chevron
TERRA NOVA,LR,19,New Build,No,94,Terra Nova,Petro-Canada,Petro-Canada
TOISA PISCES,DNV,7,Converted,Yes,,,Toisa Horizon,Secunda Marine
TRINITY SPIRIT,ABS,18,Converted,No,85,Ukpokiti,ConocoPhillips,Alliance Marine Services
TRITON,,,New Build,No,90,"Central Graben, Block 21/30, Guillemot Fields",Dana Petroleum,Hess
UMUROA,ABS,15,Converted,Yes,120,Tui,BW Offshore,BW Offshore
USAN,BV,25,New Build,No,700-850,OML 138,Total,Total
VOYAGEUR SPIRIT,DNV,18,New Build,Yes,89,Huntington,Teekay Offshore,Voyageur LLC (Teekay Corp)
WENCHANG II (HAI YANG SHI YOU 116),CCS,,New Build,No,135,Wenchang,CNOOC,CNOOC
XIJIANG (HAI YANG SHI YOU 115),CCS,16,New Build,No,90,Xijiang 23-1,CNOOC,CNOOC
YUUM K'AK' NAAB,DNV,23,Converted,No,100,Ku-Maloob-Zaap,PEMEX,PEMEX
ZAFIRO PRODUCER,ABS,20,Converted,No,180,Zafiro Block B,ExxonMobil,ExxonMobil
