VESSEL NAME,TOTAL RISERS,PRODUCTION,WATER INJECTION,GAS INJECTION,GAS LIFT,IMPORT / EXPORT RISERS,OTHER,UMBILICALS
PERINTIS,6,,,,,,,
PETROJARL FOINAVEN,15,2,1,1,,,1,2
PETROJARL VARG,4,2,,,,,,2
PETROLEO NAUTIPA,18,,,,,,,
PIRANEMA SPIRIT (former Sevan Piranema),25,,,,,,,
POLVO,6,,,,,,,
PSVM FPSO,18,3,2,1,3,,3,6
PYRENEES VENTURE,,,,,,,,
RAROA,10,,,,,,,
RUBICON INTREPID,,,,,,,,
RUBICON VANTAGE,,,,,,,,
RUBY II,3,,,,,,,
SANHA LPG FPSO,4,2,,,,,1,1
SAXI-BATUQUE (KIZOMBA C),9,4,2,1,2,,,4
SCHIEHALLION,,,,,,,,
SEA EAGLE (EA FPSO),22,10,,4,,3,1,1
SEA GOOD 101,,,,,,,,
SEA ROSE (WHITE ROSE),9,,,,,,,2
SENDJE BERGE,,,,,,,,
SENDJE CEIBA,,,,,,,,
SERPENTINA,9,6,1,1,1,,,3
SKARV FPSO,13,,,,,,,
SONG DOC MV19,,,,,,,,
STYBARROW VENTURE MV16,5,,,,,,,
TANTAWAN EXPLORER,7,5,,,,,,2
TERRA NOVA,2,,,,,,,
TOISA PISCES,,,,,,,,
TRINITY SPIRIT,4,,,,,,,
TRITON,,,,,,,,15
UMUROA,18,2,,,4,,,4
USAN,7,4,2,1,,,,5
VOYAGEUR SPIRIT,10,,,,,,,
WENCHANG II (HAI YANG SHI YOU 116),1,1,,,,,,
XIJIANG (HAI YANG SHI YOU 115),9,2,,2,,5,,
YUUM K'AK' NAAB,8,,,,,,,
ZAFIRO PRODUCER,8,,,,,,,4
