SN_APD,DRIVE_SIZE,DRIVE_DEPTH,Y_COORD_LOC,X_COORD_LOC,N_S_CODE,N_S_DISTANCE,E_W_CODE,E_W_DISTANCE,LATITUDE,LONGITUDE,SN_BOREHOLE_FK
-18155,36,820,-137999.671,2362408.293,N,6685,E,1720,28.2823325,-90.20778667,
-18157,36,3031,10497389.935,1169823.043,N,4530,E,2337,28.91795444,-88.47138639,
-18157,36,3031,10497628.02,1168423.971,N,4292,E,3736,28.91856139,-88.47576889,
-18163,36,4529,9974159.307,2547336.693,N,5041,E,2903,27.4581975,-90.20310389,
-18163,36,4529,9972413.981,2549081.986,N,6786,E,1158,27.45329222,-90.19784806,
-18243,36,1737,10084526.283,1969189.113,N,5554,W,5029,27.78626139,-91.9828525,
-19278,36,6141,10447758.028,1291856.012,N,6642,E,7024,28.78505639,-88.088475,
-19283,26,653,-176789.032,1889895.252,S,2774,E,4950,28.18012944,-91.67494111,
-19283,26,653,-171006.607,1892607.464,N,5942,E,2237,28.19604895,-91.6665785,
-19301,20,523,104564.362,2523076.978,S,1572,W,1199,28.94393583,-89.69809833,
-19301,20,523,103773.099,2517427.931,S,781,E,4450,28.94198064,-89.71579085,
-19895,28,629,-171605.899,1935222.532,N,6541,E,4689,28.19467444,-91.53433861,
-19895,28,629,-168853.822,1934050.36,N,3789,E,5861,28.20223504,-91.53799112,
-19997,28,515,-166678.616,1934544.208,N,1614,E,5367,28.20821778,-91.53647056,
-19997,28,515,-168838.819,1934059.361,N,3774,E,5852,28.20227633,-91.53796327,
-20053,36,6975,10299879.957,1244949.964,S,3880,E,6410,28.37701972,-88.2301825,
-20053,36,6975,10299879.957,1244949.964,S,3880,E,6410,28.37701972,-88.2301825,
-20210,36,5312,9862897.972,2515224.504,N,5422,E,3335,27.15430917,-90.30943667,
-20210,36,5312,9862897.972,2515224.504,N,5422,E,3335,27.15430917,-90.30943667,
-20211,38,8381,9468141.011,1021067.954,N,4179,W,7308,26.08133167,-94.88737028,
-20218,36,3027,10074855.01,2374128.77,S,615,E,1871,27.74477694,-90.73119194,
-20218,36,3027,10079148.999,2374467.0,S,4909,E,1533,27.75656639,-90.72990179,
-20459,36,8215,9483767.616,1021449.859,N,4392,W,7690,26.12433389,-94.88689694,
-20459,36,8215,9485584.995,1017746.004,N,2575,W,3986,26.129185,-94.89826389,
-20881,38,5128,10089751.957,1038008.035,N,328,E,7432,27.79181167,-88.86367917,
-20881,38,5128,10086390.965,1034912.025,N,3689,W,5312,27.78243861,-88.87309472,
-20978,36,4213,10213576.881,967898.77,N,3223,W,1659,28.12921306,-89.08700778,
-20978,36,4213,10222650.999,962699.0,S,5851,E,3541,28.1539177,-89.10362282,
-21023,20,745,11120.847,2436801.328,S,2682,E,6101,28.6901075,-89.97125611,
-21023,20,745,10415119.43,2612198.354,S,8239,E,1402,28.66570361,-89.96946306,
-21025,36,7357,10271800.025,1251649.991,S,7480,W,290,28.29996167,-88.20847,
-21025,36,7357,10274620.977,1253708.987,N,5539,W,2349,28.30777833,-88.20215806,
-21053,24,450,3071.138,1760264.512,N,6950,E,5182,28.67296155,-92.08076118,
-21053,24,450,772.138,1757224.512,S,5509,W,6536,28.66658519,-92.09019143,
-21028,36,5307,9865758.571,2520815.595,N,2561,W,2256,27.16184194,-90.29206639,
-21028,36,5307,9862897.535,2515222.958,N,5422,E,3337,27.15430806,-90.30944145,
-21071,36,4213,10213576.881,967898.77,N,3223,W,1659,28.12921306,-89.08700778,
-20552,30,1961,10229226.97,700345.995,N,3413,W,3386,28.1570725,-89.91770889,
-18017,36,809,-223934.346566,2089057.429705,N,2488,E,4543,28.05067306,-91.05737833,
-18017,36,809,-220025.448652,2087626.417887,S,1421,E,5974,28.06142857,-91.06178377,
-18018,36,1737,10084526.29063,1969189.115562,N,5554,W,5029,27.78626139,-91.9828525,
-18018,36,1737,10083489.973017,1969278.454181,N,6590,W,5118,27.78340815,-91.98260268,
-18029,36,4931,9815920.937761,1890402.746333,N,4879,W,5443,27.04874139,-92.23171,
-18029,36,4931,9807359.209256,1888719.309296,S,2399,W,3759,27.0252096,-92.23704266,
-18020,36,5840,10472996.233021,1311203.363446,S,2756,E,3517,28.85495639,-88.02874806,
-18020,36,5840,10474559.938435,1306387.188089,S,4320,W,7507,28.85914222,-88.04383889,
-18030,38,3958,10228885.171646,948562.288476,N,3755,E,1838,28.17037861,-89.14782028,
-18030,38,3958,10230642.575188,958421.42585,N,1997,E,7819,28.17568747,-89.11732558,
-19329,38,7035,9497640.036,1925361.972,N,6360,E,7118,26.17224722,-92.13092389,
-19329,38,7035,9501554.331,1930575.745,N,2446,E,1904,26.18292258,-92.11494216,
-18135,26,1436,10208851.557,2546428.212,S,7892,E,3812,28.10328611,-90.18935722,
-18135,26,1436,10207945.001,2542346.0,S,6985,E,7894,28.1010535,-90.20207343,
-18144,36,3001,10009934.696755,1828994.987168,N,945,W,7395,27.58352583,-92.41764611,
-18144,36,3001,10004813.830744,1836068.434432,N,6066,E,1372,27.56934167,-92.39588056,
-19330,36,6024,10236578.353,1123442.162,S,3938,E,1198,28.19897806,-88.60543611,
-19330,36,6024,10235682.035,1122748.995,S,3042,E,1891,28.1964875,-88.60755111,
-19461,20,700,10410893.499,2617022.635,S,4013,W,3423,28.65375556,-89.95477167,
