DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,API_WELL_NUMBER,AREA_CODE,BLOCK_NUMBER,LEASE_NUMBER,WELL_NAME,RECEIPT_DATE
80767,Gulf of Mexico,3/6/2017 2:58:29 PM,5,523546,177194041800,WD,  105, 00842, E012,1/8/1987
80768,Gulf of Mexico,3/6/2017 2:58:33 PM,9,1008758,177194011101,WD,  106,G03602,  002,6/1/1978
80769,Gulf of Mexico,3/6/2017 2:58:37 PM,8,372545,177194011102,WD,  106,G03602,  003,3/8/1978
80770,Gulf of Mexico,3/6/2017 2:58:40 PM,5,216468,177194056800,WD,  106,G08735,  002,2/23/1994
80771,Gulf of Mexico,3/6/2017 2:58:43 PM,21,1128982,177194054900,WD,  106,G08735,  001,7/13/1992
80772,Gulf of Mexico,3/6/2017 2:58:48 PM,2,140498,177164003900,ST,  300,G04240, A014,12/6/2004
80773,Gulf of Mexico,3/6/2017 2:58:50 PM,9,638592,427114085800,HI,A 350,G02428, A024,12/17/2004
80774,Gulf of Mexico,3/6/2017 2:58:53 PM,12,715952,608174085500,MC,  127,G19925,  002,11/4/1999
80775,Gulf of Mexico,3/6/2017 2:58:57 PM,8,265465,177074080800,SM,  276,G21631,  001,1/11/2001
80776,Gulf of Mexico,3/6/2017 2:58:59 PM,8,309137,177212017600,SP,   60,G02137, A012,7/20/2000
80777,Gulf of Mexico,3/6/2017 2:59:02 PM,4,464333,177070052600,SM,    7,G01178, A006,5/19/1969
80778,Gulf of Mexico,3/6/2017 2:59:04 PM,7,277978,177254072600,MP,  108,G04832, B003,2/4/2002
80779,Gulf of Mexico,3/6/2017 2:59:06 PM,6,184218,177204014701,WD,  136,G18079, A002,8/30/2000
80780,Gulf of Mexico,3/6/2017 2:59:08 PM,13,443634,177194069600,WD,  109,G02937, A049,2/20/2001
80781,Gulf of Mexico,3/6/2017 2:59:12 PM,7,343655,608114036603,GC,  199,G24160,  001,2/16/2005
80782,Gulf of Mexico,3/6/2017 2:59:14 PM,5,188904,177184008700,GI,  116,G13944, A001,3/17/1999
80783,Gulf of Mexico,3/6/2017 2:59:16 PM,10,350520,177184008800,GI,   89,G18068,  001,9/25/1998
80784,Gulf of Mexico,3/6/2017 2:59:18 PM,4,265157,177244060200,MP,  299,G09372,SW119,9/10/1999
80785,Gulf of Mexico,3/6/2017 2:59:20 PM,2,512423,177114004670,SS,  219, 00829, B005,7/10/1971
80786,Gulf of Mexico,3/6/2017 2:59:26 PM,5,1614132,177114002401,SS,  219, 00829, A010,3/19/1981
80787,Gulf of Mexico,3/6/2017 2:59:36 PM,1,335401,177114001671,SS,  219, 00829, A009,4/26/1973
80788,Gulf of Mexico,3/6/2017 2:59:38 PM,3,1404260,177114103300,SS,  167, 00818, B001,8/24/1990
80789,Gulf of Mexico,3/6/2017 2:59:44 PM,8,507660,177192011600,WD,   94, 00839, V002,3/16/1971
80790,Gulf of Mexico,3/6/2017 2:59:47 PM,8,532708,177192014900,WD,   94, 00839, V003,5/5/1971
80791,Gulf of Mexico,3/6/2017 2:59:51 PM,9,863583,177192015500,WD,   94, 00839, V004,7/8/1971
80792,Gulf of Mexico,3/6/2017 2:59:55 PM,7,431394,177192016600,WD,   94, 00839, V005,9/1/1971
80793,Gulf of Mexico,3/6/2017 2:59:58 PM,8,870040,177192016900,WD,   94, 00839, V006,10/28/1971
80794,Gulf of Mexico,3/6/2017 3:00:02 PM,7,501219,177192018300,WD,   94, 00839, V007,12/7/1971
80795,Gulf of Mexico,3/6/2017 3:00:05 PM,5,373613,177192019000,WD,   94, 00839, V008,1/10/1972
80796,Gulf of Mexico,3/6/2017 3:00:08 PM,8,433856,177192019900,WD,   94, 00839, V009,2/11/1972
80797,Gulf of Mexico,3/6/2017 3:00:11 PM,8,474828,177192020600,WD,   94, 00839, V010,4/26/1972
80798,Gulf of Mexico,3/6/2017 3:00:14 PM,7,421974,177192021400,WD,   94, 00839, V011,6/17/1972
80799,Gulf of Mexico,3/6/2017 3:00:17 PM,7,498014,177192021500,WD,   94, 00839, V012,5/28/1972
80800,Gulf of Mexico,3/6/2017 3:00:20 PM,7,486564,177194001000,WD,   94, 00839, V013,7/14/1972
80801,Gulf of Mexico,3/6/2017 3:00:22 PM,8,569971,177194039000,WD,   94, 00839, V014,4/18/1986
80802,Gulf of Mexico,3/6/2017 3:00:26 PM,7,353931,177194063901,WD,   94, 00839, V016,7/14/1997
80803,Gulf of Mexico,3/6/2017 3:00:28 PM,3,147379,177194063902,WD,   94, 00839, V016,2/27/1997
80804,Gulf of Mexico,3/6/2017 3:00:30 PM,10,932082,177194010000,WD,   94, 00839, Y004,11/18/1977
80805,Gulf of Mexico,3/6/2017 3:00:35 PM,9,1126923,177194012200,WD,   94, 00839, Y005,2/7/1978
80806,Gulf of Mexico,3/6/2017 3:00:40 PM,4,75051,177194058800,WD,   94, 00839, 0006,5/16/1994
80807,Gulf of Mexico,3/6/2017 3:00:42 PM,9,297409,177194060800,WD,   94, 00839,HB002,7/17/1995
80808,Gulf of Mexico,3/6/2017 3:00:44 PM,9,1053567,177190129900,WD,   95,G01497, P005,10/19/1968
80809,Gulf of Mexico,3/6/2017 3:00:49 PM,8,515420,177190131400,WD,   95,G01497, P006,11/27/1968
80810,Gulf of Mexico,3/6/2017 3:00:53 PM,9,623703,177190132400,WD,   95,G01497, P007,1/2/1969
80811,Gulf of Mexico,3/6/2017 3:00:57 PM,5,698485,177194042500,WD,  104, 00841, E015,1/8/1987
80812,Gulf of Mexico,3/6/2017 3:01:00 PM,7,963298,177194042501,WD,  104, 00841, E015,1/16/1987
80813,Gulf of Mexico,3/6/2017 3:01:06 PM,6,285498,177194042502,WD,  104, 00841, E015,10/8/1997
80814,Gulf of Mexico,3/6/2017 3:01:08 PM,5,218953,177194042503,WD,  104, 00841, E015,10/8/1997
80815,Gulf of Mexico,3/6/2017 3:01:10 PM,8,426526,177194042504,WD,  104, 00841, E015,11/20/1997
80816,Gulf of Mexico,3/6/2017 3:01:13 PM,6,319708,177194064900,WD,  104, 00841, E020,9/19/1997
80817,Gulf of Mexico,3/6/2017 3:01:15 PM,7,405666,177194064901,WD,  104, 00841, E020,10/8/1997
80818,Gulf of Mexico,3/6/2017 3:01:18 PM,11,1195675,177194020200,WD,  105, 00842,  005,6/17/1981
80819,Gulf of Mexico,3/6/2017 3:01:24 PM,4,327099,177194033600,WD,  105, 00842,  006,9/10/1984
80820,Gulf of Mexico,3/6/2017 3:01:26 PM,5,525242,177194034000,WD,  105, 00842,  007,9/6/1984
80821,Gulf of Mexico,3/6/2017 3:01:29 PM,7,622446,177194034001,WD,  105, 00842,  007,10/6/1984
80822,Gulf of Mexico,3/6/2017 3:01:33 PM,6,597580,177194035800,WD,  105, 00842,  008,3/12/1985
80823,Gulf of Mexico,3/6/2017 3:01:37 PM,4,328355,177190114500,WD,  105, 00842, D002,4/13/1967
80824,Gulf of Mexico,3/6/2017 3:01:39 PM,4,416935,177190114300,WD,  105, 00842, D003,5/19/1967
80825,Gulf of Mexico,3/6/2017 3:01:42 PM,2,145967,177190114501,WD,  105, 00842, D004,4/24/1967
80826,Gulf of Mexico,3/6/2017 3:01:44 PM,4,398033,177190117200,WD,  105, 00842, D007,7/9/1967
80827,Gulf of Mexico,3/6/2017 3:01:47 PM,5,420875,177194039800,WD,  105, 00842, E001,7/10/1986
80828,Gulf of Mexico,3/6/2017 3:01:50 PM,7,681409,177194039801,WD,  105, 00842, E001,6/21/1995
80829,Gulf of Mexico,3/6/2017 3:01:53 PM,8,340047,177194039802,WD,  105, 00842, E001,2/21/1996
80830,Gulf of Mexico,3/6/2017 3:01:56 PM,9,807076,177194039870,WD,  105, 00842, E001,2/21/1996
80831,Gulf of Mexico,3/6/2017 3:02:00 PM,8,692290,177194039803,WD,  105, 00842, E001,1/18/1996
80832,Gulf of Mexico,3/6/2017 3:02:04 PM,6,330688,177194067900,WD,  106,G08735, A008,10/2/1999
80833,Gulf of Mexico,3/6/2017 3:02:06 PM,4,166139,177194067901,WD,  106,G08735, A008,10/19/1999
80834,Gulf of Mexico,3/6/2017 3:02:10 PM,3,377578,177194021200,WD,  107,G04244,  001,2/25/1983
80835,Gulf of Mexico,3/6/2017 3:02:13 PM,8,1051117,177194028600,WD,  107,G04244,  002,4/5/1983
80836,Gulf of Mexico,3/6/2017 3:02:19 PM,3,312631,177194035570,WD,  107,G04244,  003,2/7/1985
80837,Gulf of Mexico,3/6/2017 3:02:22 PM,7,355549,177194056400,WD,  107,G08736,  001,10/20/1993
80838,Gulf of Mexico,3/6/2017 3:02:24 PM,8,474547,177194060300,WD,  107,G08736, A004,4/15/1995
80839,Gulf of Mexico,3/6/2017 3:02:28 PM,11,472691,177194061000,WD,  107,G08736, A005,9/13/1995
80840,Gulf of Mexico,3/6/2017 3:02:31 PM,11,503342,177194064300,WD,  107,G08736, A006,9/5/1997
80841,Gulf of Mexico,3/6/2017 3:02:34 PM,9,1544372,177194038900,WD,  108,G05681,  001,3/4/1986
80842,Gulf of Mexico,3/6/2017 3:02:41 PM,4,501955,177194006701,WD,  109,G02937,  003,7/14/1976
80843,Gulf of Mexico,3/6/2017 3:02:44 PM,4,183222,177204002100,WD,  111,G01593,  001,7/5/1972
80844,Gulf of Mexico,3/6/2017 3:02:46 PM,18,623996,177204013700,WD,  111,G15646,  001,8/6/1994
80845,Gulf of Mexico,3/6/2017 3:02:50 PM,7,430745,177204013701,WD,  111,G15646,SS001,6/13/1997
80846,Gulf of Mexico,3/6/2017 3:02:52 PM,8,345107,177204014901,WD,  112,G19841,SS001,2/22/2000
80847,Gulf of Mexico,3/6/2017 3:02:55 PM,7,469415,177204015100,WD,  112,G19841,  002,4/3/2000
80848,Gulf of Mexico,3/6/2017 3:02:58 PM,6,624139,177204007000,WD,  117,G01101,  004,3/17/1980
80849,Gulf of Mexico,3/6/2017 3:03:01 PM,4,410201,177204007200,WD,  117,G01101,  005,11/30/1979
80850,Gulf of Mexico,3/6/2017 3:03:04 PM,4,376563,177204007201,WD,  117,G01101,  006,11/30/1979
80851,Gulf of Mexico,3/6/2017 3:03:06 PM,2,210676,177204007700,WD,  117,G01101,  007,12/23/1980
