DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,PERMIT_NUMBER,APPLICANT_NAME,SAP,DOC_TYPE,SURVEY_TYPE,APPLICATION_TYPE,PERMIT_ISSUED_DATE,DOC_DATE,DOC_NOTES
223,Gulf of Mexico,2/15/2001,25,1028584,L01-006,BP Exploration & Oil Inc.,N,Application/Permit,3D,,2/22/2001,,                                                  
224,Gulf of Mexico,2/15/2001,24,990003,L01-005,WesternGeco,N,Application/Permit,2D_4C,,2/6/2001,,                                                  
225,Gulf of Mexico,2/15/2001,24,968700,L01-007,FAIRFIELD INDUSTRIES INC.,N,Application/Permit,2D_4C,,2/7/2001,,                                                  
226,Gulf of Mexico,2/15/2001,24,999661,L01-008,WesternGeco,N,Application/Permit,3D,,2/15/2001,,                                                  
227,Gulf of Mexico,2/15/2001,24,989364,L01-009,WesternGeco,N,Application/Permit,2D_4C,,2/10/2001,,                                                  
228,Gulf of Mexico,2/15/2001,24,1034522,L01-010,Bell Geospace,N,Application/Permit,GRAVITY,,2/10/2001,,                                                  
229,Gulf of Mexico,2/15/2001,24,1032040,L01-011,Bell Geospace,N,Application/Permit,GRAVITY,,3/5/2001,,                                                  
230,Gulf of Mexico,2/15/2001,25,1034030,L01-012,BP Exploration & Oil Inc.,N,Application/Permit,2D,,2/22/2001,,                                                  
231,Gulf of Mexico,2/15/2001,23,936318,L01-013,"CGG, Americas Inc.",N,Application/Permit,3D,,2/9/2001,,                                                  
232,Gulf of Mexico,1/29/2001,24,975977,T01-001,TGS GEOPHYSICAL,N,Application/Permit,2D,,1/12/2001,,                                                  
233,Gulf of Mexico,1/29/2001,24,960340,T01-002,C AND C TECHNOLOGIES,N,Application/Permit,HiRes,,1/22/2001,,                                                  
234,Gulf of Mexico,2/15/2001,24,971458,T01-003,Veritas,N,Application/Permit,2D,,2/1/2001,,                                                  
235,Gulf of Mexico,2/15/2001,24,1018516,T01-004,Fugro-Geoservices,N,Application/Permit,HiRes,,2/13/2001,,                                                  
236,Gulf of Mexico,2/15/2001,24,1007715,M01-002,Fugro-Geoservices,N,Application/Permit,HiRes,,1/31/2001,,                                                  
237,Gulf of Mexico,3/15/2001,24,957959,L01-014,BP Corporation North America Inc.,N,Application/Permit,HiRes,,2/16/2001,,                                                  
238,Gulf of Mexico,3/15/2001,24,952823,L01-015,C AND C TECHNOLOGIES,N,Application/Permit,HiRes,,2/18/2001,,                                                  
239,Gulf of Mexico,3/15/2001,24,989667,L01-016,WesternGeco,N,Application/Permit,3D_4C,,3/13/2001,,                                                  
240,Gulf of Mexico,3/15/2001,24,932340,L01-017,WesternGeco,N,Application/Permit,2D_4C,,3/3/2001,,                                                  
241,Gulf of Mexico,3/15/2001,24,968362,L01-018,WesternGeco,N,Application/Permit,2D,,3/6/2001,,                                                  
242,Gulf of Mexico,3/15/2001,24,955036,L01-019,Veritas,N,Application/Permit,3D,,3/7/2001,,                                                  
243,Gulf of Mexico,3/15/2001,24,1020319,L01-020,Fugro-Geoservices,N,Application/Permit,HiRes,,3/16/2001,,                                                  
244,Gulf of Mexico,5/8/2001,27,1076699,L01-021,TEXAS A&M UNIVERSITY,N,Application/Permit,GEOLOGIC,,3/20/2001,,                                                  
245,Gulf of Mexico,5/8/2001,24,953050,L01-022,BP Corporation North America Inc.,N,Application/Permit,HiRes,,3/22/2001,,                                                  
246,Gulf of Mexico,5/8/2001,26,1015622,L01-023,BP Exploration & Production Inc.,N,Application/Permit,GEOLOGIC,,4/3/2001,,                                                  
247,Gulf of Mexico,5/8/2001,26,1021700,L01-024,BP Exploration & Production Inc.,N,Application/Permit,GEOLOGIC,,4/7/2001,,                                                  
248,Gulf of Mexico,5/8/2001,24,985931,L01-025,Fugro-Geoservices,N,Application/Permit,HiRes,,4/3/2001,,                                                  
249,Gulf of Mexico,4/25/2001,24,987548,L01-026,"CGG, Americas Inc.",N,Application/Permit,3D,,4/15/2001,,                                                  
250,Gulf of Mexico,5/8/2001,24,948192,L01-027,BP Corporation North America Inc.,N,Application/Permit,HiRes,,4/10/2001,,                                                  
251,Gulf of Mexico,4/25/2001,23,948862,L01-029,BP Corporation North America Inc.,N,Application/Permit,HiRes,,4/19/2001,,                                                  
252,Gulf of Mexico,5/8/2001,24,994287,L01-030,Gardline Surveys Inc,N,Application/Permit,2D,,4/18/2001,,                                                  
253,Gulf of Mexico,5/8/2001,24,999409,L01-031,FAIRFIELD INDUSTRIES INC.,N,Application/Permit,3D_4C,,4/30/2001,,                                                  
254,Gulf of Mexico,5/8/2001,24,998014,L01-032,"Energy Partners, Ltd.",N,Application/Permit,HiRes,,5/1/2001,,                                                  
255,Gulf of Mexico,5/8/2001,24,999076,L01-033,Fugro-Geoservices,N,Application/Permit,HiRes,,5/7/2001,,                                                  
256,Gulf of Mexico,5/8/2001,24,998826,L01-034,Hess Corporation,N,Application/Permit,HiRes,,5/15/2001,,                                                  
257,Gulf of Mexico,5/8/2001,24,987486,L01-035,Fugro-Geoservices,N,Application/Permit,HiRes,,5/16/2001,,                                                  
258,Gulf of Mexico,5/8/2001,24,994628,L01-036,Fugro-Geoservices,N,Application/Permit,HiRes,,5/17/2001,,                                                  
259,Gulf of Mexico,5/14/2001,24,975102,L01-037,Fugro-Geoservices,N,Application/Permit,HiRes,,5/17/2001,,                                                  
260,Gulf of Mexico,3/15/2001,24,981526,T01-005,AOA Geophysics,N,Application/Permit,Magnetotelluric,,4/1/2001,,                                                  
261,Gulf of Mexico,3/15/2001,24,939420,T01-006,Veritas,N,Application/Permit,3D,,3/1/2001,,                                                  
262,Gulf of Mexico,3/15/2001,24,960418,T01-007,WesternGeco,N,Application/Permit,3D,,3/10/2001,,                                                  
263,Gulf of Mexico,3/15/2001,24,972943,T01-008,WesternGeco,N,Application/Permit,3D,,3/3/2001,,                                                  
264,Gulf of Mexico,3/15/2001,24,929463,T01-009,Veritas,N,Application/Permit,2D,,3/7/2001,,                                                  
265,Gulf of Mexico,5/8/2001,24,992889,T01-010,Fugro-Geoservices,N,Application/Permit,HiRes,,3/19/2001,,                                                  
266,Gulf of Mexico,5/8/2001,24,954687,T01-011,WesternGeco,N,Application/Permit,3D,,3/30/2001,,                                                  
267,Gulf of Mexico,5/8/2001,24,993443,T01-012,Hess Corporation,N,Application/Permit,HiRes,,5/6/2001,,                                                  
268,Gulf of Mexico,5/14/2001,24,966613,T01-013,WesternGeco,N,Application/Permit,3D,,5/21/2001,,                                                  
269,Gulf of Mexico,5/8/2001,63,2836491,M01-001,Fugro-Geoservices,N,Application/Permit,GEOLOGIC,,1/26/2001,,                                                  
270,Gulf of Mexico,5/14/2001,24,976806,L01-028,Fugro-Geoservices,N,Application/Permit,HiRes,,4/23/2001,,                                                  
271,Gulf of Mexico,6/4/2001,24,995249,L01-038,Fugro-Geoservices,N,Application/Permit,HiRes,,6/1/2001,,                                                  
272,Gulf of Mexico,6/4/2001,24,969833,L01-039,"PGS Ocean Bottom Seismic, Inc.",N,Application/Permit,2D_4C,,6/15/2001,,                                                  
273,Gulf of Mexico,7/18/2001,24,973064,L01-040,"CGG, Americas Inc.",N,Application/Permit,3D,,6/28/2001,,                                                  
274,Gulf of Mexico,7/18/2001,24,1000381,L01-041,Fugro-Geoservices,N,Application/Permit,HiRes,,6/28/2001,,                                                  
275,Gulf of Mexico,7/14/2001,24,960921,L01-042,WesternGeco,N,Application/Permit,2D,,7/4/2001,,                                                  
276,Gulf of Mexico,7/18/2001,24,979558,L01-043,TGS-NOPEC Geophysical Company,N,Application/Permit,3D,,7/14/2001,,                                                  
277,Gulf of Mexico,7/18/2001,24,983241,L01-044,TGS-NOPEC Geophysical Company,N,Application/Permit,2D,,7/14/2001,,                                                  
278,Gulf of Mexico,7/18/2001,24,985545,L01-045,Fugro-Geoservices,N,Application/Permit,HiRes,,7/6/2001,,                                                  
279,Gulf of Mexico,7/18/2001,24,983274,L01-046,WesternGeco,N,Application/Permit,3D_4C,,8/1/2001,,                                                  
280,Gulf of Mexico,6/4/2001,24,965718,T01-014,Unocal Exploration Corporation,N,Application/Permit,3D,,6/20/2001,,                                                  
281,Gulf of Mexico,7/4/2001,24,973019,T01-015,"PGS Ocean Bottom Seismic, Inc.",N,Application/Permit,2D,,6/15/2001,,                                                  
282,Gulf of Mexico,7/4/2001,24,980942,T01-016,"PGS Ocean Bottom Seismic, Inc.",N,Application/Permit,2D,,6/15/2001,,                                                  
283,Gulf of Mexico,7/4/2001,24,966948,T01-017,"PGS Ocean Bottom Seismic, Inc.",N,Application/Permit,2D_4C,,6/20/2001,,                                                  
284,Gulf of Mexico,7/4/2001,24,959099,T01-018,WesternGeco,N,Application/Permit,3D,,7/1/2001,,                                                  
285,Gulf of Mexico,7/4/2001,24,965823,T01-019,WesternGeco,N,Application/Permit,3D,,7/1/2001,,                                                  
286,Gulf of Mexico,7/18/2001,24,967364,T01-020,WesternGeco,N,Application/Permit,3D,,9/13/2001,,                                                  
287,Gulf of Mexico,7/18/2001,24,991270,T01-021,Fugro-Geoservices,N,Application/Permit,HiRes,,7/12/2001,,                                                  
288,Gulf of Mexico,7/14/2001,24,958703,T01-022,WesternGeco,N,Application/Permit,3D,,7/20/2001,,                                                  
289,Gulf of Mexico,10/27/1997,25,1180936,E97-001,TATHAM OFFSHORE                                                            ,N,Application/Permit,,,12/31/2001,,CANADA LTD                                        
290,Gulf of Mexico,10/27/1997,24,1091572,E97-002,TATHAM OFFSHORE                                                            ,N,Application/Permit,,,12/31/2001,,CANADA LTD                                        
291,Gulf of Mexico,5/18/1995,15,440862,E95-001,AMBOY AGGREGATES                                                           ,N,Application/Permit,,,12/31/2001,,                                                  
292,Gulf of Mexico,1/5/1993,23,743575,L93-001,"Tatham Offshore, Inc.",N,Application/Permit,HiRes,,1/7/1993,,                                                  
293,Gulf of Mexico,1/5/1993,24,759884,L93-002,"Tatham Offshore, Inc.",N,Application/Permit,GEOLOGIC,,1/7/1993,,                                                  
294,Gulf of Mexico,1/20/1993,23,635887,L93-003,HALLIBURTON GEOPHYSICAL COMPANY,N,Application/Permit,3D,,2/1/1993,,HALLIBURTON GEOPHYSICAL SERVICES                  
295,Gulf of Mexico,1/25/1993,23,617698,L93-004,Kerr-McGee Corporation,N,Application/Permit,2D,,1/24/1993,,                                                  
296,Gulf of Mexico,1/25/1993,23,776561,L93-005,CALIBRE SEISMIC INC.,N,Application/Permit,3D,,1/20/1993,,CALIBRE SEISMIC COMPANY                           
297,Gulf of Mexico,1/28/1993,23,780386,L93-006,Petrobras America Inc.,N,Application/Permit,2D,,2/2/1993,,"PETROBRAS AMERICA, INC.                           "
298,Gulf of Mexico,2/9/1993,23,783295,L93-007,WESTERN GEOPHYSICAL CO.,N,Application/Permit,3D,,2/20/1993,,                                                  
299,Gulf of Mexico,2/12/1993,23,762655,L93-008,CALIBRE SEISMIC INC.,N,Application/Permit,3D,,3/1/1993,,CALIBRE SEISMIC COMPANY                           
300,Gulf of Mexico,2/16/1993,23,789471,L93-009,ORYX ENERGY COMPANY,N,Application/Permit,2D,,2/14/1993,,                                                  
301,Gulf of Mexico,3/2/1993,24,769603,L93-010,"EASTERN GEOPHYSICAL,INCORPORATED",N,Application/Permit,3D,,3/1/1993,,                                                  
302,Gulf of Mexico,12/13/1993,24,751695,L93-100,ExxonMobil Pipeline Company,N,Application/Permit,VSP,,12/13/1993,,                                                  
303,Gulf of Mexico,1/4/1994,23,771549,L93-101,WESTERN GEOPHYSICAL CO.,N,Application/Permit,3D,,12/29/1993,,COMPANY                                           
304,Gulf of Mexico,1/4/1994,23,845809,L93-102,Shell Oil Company,N,Application/Permit,HiRes,,12/30/1993,,"ASSOCIATES, INC.                                  "
305,Gulf of Mexico,3/5/1993,23,762025,L93-011,HALLIBURTON GEOPHYSICAL COMPANY,N,Application/Permit,3D,,3/5/1993,,"HALLIBURTON GEOPHYSICAL SERVICES, INC.            "
306,Gulf of Mexico,3/9/1993,24,752982,L93-012,El Paso Production Company,N,Application/Permit,3D,,4/1/1993,,                                                  
307,Gulf of Mexico,3/12/1993,23,763253,L93-013,Eni Petroleum Co. Inc.,N,Application/Permit,3D,,3/16/1993,,                                                  
308,Gulf of Mexico,3/16/1993,32,1103121,L93-014,WESTERN GEOPHYSICAL CO.,N,Application/Permit,3D,,3/17/1993,,                                                  
309,Gulf of Mexico,3/17/1993,23,779602,L93-015,Texaco Inc.,N,Application/Permit,HiRes,,3/19/1993,,"TEXACO EXPLORATION  PRODUCING, INC. (TEPI)        "
310,Gulf of Mexico,3/29/1993,23,641830,L93-016,ORYX ENERGY COMPANY,N,Application/Permit,GRAVITY_MAG,,4/1/1993,,                                                  
