API_WELL_NUMBER,BOTM_AREA_CODE,BOTM_BLOCK_NUM,BOTM_LEASE_NUM,WELL_NAME,WELL_INST_DCOM_P50,WELL_INST_DCOM_P70,WELL_INST_DCOM_P90,WELL_INST_DCOM_INDTR,BOREHOLE_STAT_CD,SURF_LEASE_NUM,SURF_AREA_CODE,SURF_BLOCK_NUM,EFFECTIVE_DATE
177254023002,MP,   73,G02947, A021,176391,224803,295069,0,TA,G02947,MP,   73,8/5/2020
177252002400,MP,  144,G01634, A014,258957,307369,377635,0,TA,G01634,MP,  144,8/5/2020
177240007800,MP,  289,G01666, B001,1030410,1253832,1577263,0,TA,G01666,MP,  289,8/5/2020
177242003200,MP,  289,G01666, B018,419085,467497,537763,0,TA,G01666,MP,  289,8/5/2020
177244039901,MP,  299,G01316,AA007,262710,311122,381388,0,TA,G01316,MP,  299,8/5/2020
177244042601,MP,  310,G04126, A014,897475,1120897,1444327,0,COM,G04126,MP,  310,8/5/2020
177244019400,MP,  311,G02213, B009,795421,1018843,1342273,0,COM,G02213,MP,  311,8/5/2020
427124001800,MU,A  85,G03061, A002,995570,1218992,1542422,0,COM,G03061,MU,A  85,8/5/2020
177084037300,SM,  128,G02587, C012,271467,319879,390145,0,TA,G02587,SM,  128,8/5/2020
177084065300,SM,  130,G02280, E008,266463,314875,385141,0,TA,G02280,SM,  130,8/3/2021 1:46:08 PM
177074042600,SM,  236, 00310,  107,403564,626986,950416,0,COM, 00310,SM,  236,8/5/2020
177212016800,SP,   28, 00353,  192,45036,93448,163714,0,TA, 00694,SP,   28,8/5/2020
177210044501,SP,   28, 00694,  014,75060,123472,193738,0,TA, 00694,SP,   28,8/5/2020
177212003200,SP,   28, 00694,  110,62550,110962,181228,0,TA, 00694,SP,   28,8/5/2020
177214018500,SP,   28, 00694,  199,404318,627740,951171,0,COM, 00694,SP,   28,8/5/2020
177214024301,SP,   58,G02941, D007,753386,976809,1300239,0,COM,G02941,SP,   58,8/5/2020
177114105500,SS,   93, 00063,  055,509004,732426,1055857,0,COM, 00063,SS,   93,8/5/2020
177110073901,SS,  114, 00064, H013,373701,597124,920554,0,COM, 00064,SS,  114,8/5/2020
177114095800,SS,  168, 00819, D006,457967,681389,1004819,0,COM, 00819,SS,  168,8/5/2020
177114113600,SS,  182,G03998, B005,591403,814825,1138255,0,COM,G03998,SS,  182,8/5/2020
177114022100,SS,  209, 00827, K001,682496,905918,1229348,0,TA, 00827,SS,  209,8/5/2020
177114002100,SS,  214, 00828, H008,143865,192277,262543,0,TA, 00828,SS,  214,8/5/2020
177114063300,SS,  229, 00830, C001,557559,780981,1104411,0,COM, 00830,SS,  229,8/5/2020
177114060400,SS,  233,G01528, B004,698844,922266,1245696,0,COM,G01528,SS,  233,8/5/2020
177150061400,ST,   28,G01362, F003,510882,734304,1057734,0,COM,G01362,ST,   28,8/5/2020
177150076300,ST,   28,G01362, F014,61299,109711,179977,0,TA,G01362,ST,   28,8/5/2020
177154007200,ST,   52,G01241,  009,477323,700745,1024176,0,TA,G01241,ST,   52,3/14/2022 10:00:43 AM
177164010400,ST,  295,G05646, A003,1163414,1386836,1710266,0,COM,G05646,ST,  295,8/5/2020
177164018300,ST,  295,G05646, A024,1097327,1320750,1644180,0,COM,G05646,ST,  295,8/5/2020
177054000600,VR,  214,G02076, A001,158877,207289,277555,0,TA,G02076,VR,  214,8/5/2020
177064029601,VR,  331,G02572, A009,764521,987944,1311374,0,COM,G02572,VR,  331,8/5/2020
177002004000,WC,  110, 00081, A006,51291,99703,169969,0,TA, 00081,WC,  110,8/5/2020
177024036900,WC,  565,G02015, A014,237690,286102,356368,0,TA,G02015,WC,  565,8/5/2020
177194024300,WD,   32, 00367, E015,500504,723926,1047357,0,COM, 00367,WD,   32,8/5/2020
177190012200,WD,   29, 00385, F005,48789,97201,167467,0,TA, 00385,WD,   29,8/5/2020
177190073500,WD,   73,G01083, A009,210168,258580,328846,0,TA,G01083,WD,   73,8/5/2020
177194040600,WD,  105, 00842, E007,803619,1027041,1350471,0,COM, 00842,WD,  105,8/5/2020
177194037402,WD,  109,G02937, A030,865468,1088891,1412321,0,COM,G02937,WD,  109,8/5/2020
177150029201,ST,   21, 00263,  116,458084,681507,1004937,0,COM, 00263,ST,   21,8/5/2020
177004022001,WC,   66,G02826, B014,40032,88444,158710,0,TA,G02826,WC,   66,8/5/2020
177124053600,SS,  300,G07760, A005,901923,1125345,1448775,0,COM,G07760,SS,  300,8/5/2020
177150097801,ST,   27,G27147, D007,63801,112213,182479,0,TA,G27147,ST,   27,8/5/2020
177084047202,SM,  106,G03776, A005,839777,1063199,1386629,0,TA,G03776,SM,  106,10/12/2022 11:21:56 AM
177074070500,SM,  236, 00310, A011,26271,74683,144949,0,TA, 00310,SM,  236,8/5/2020
427114074200,HI,A 379,G13808, B012,1150959,1374381,1697811,0,COM,G13808,HI,A 379,8/5/2020
177254055500,MP,   64,G04909,  018,333644,557066,880496,0,COM,G04909,MP,   64,8/5/2020
177114120600,SS,  219,G36942, A017,582405,805827,1129257,0,COM,G36942,SS,  219,6/22/2022 10:10:54 AM
177150063001,ST,   21, 00263,  075,473044,696467,1019897,0,COM, 00263,ST,   21,8/5/2020
177084082600,SM,  106,G03776, A015,828894,1052316,1375746,0,COM,G03776,SM,  106,8/5/2020
177244060302,MP,  299,G09372,SW261,0,0,0,2500000,TA,G09372,MP,  299,8/8/2022 11:21:36 AM
177114081501,SS,  198,G12355, J007,432296,655718,979148,0,COM,G12355,SS,  198,8/5/2020
427106000100,HI,  129,G01848,  001,60048,108460,178726,0,TA,G01848,HI,  129,3/10/2022 1:48:34 PM
177114122200,SS,  207,G01523, A034,127602,176014,246280,0,TA,G01523,SS,  207,9/11/2023 7:39:14 AM
177252005900,MP,  142,G01313, C009,776180,999602,1323032,0,COM,G01313,MP,  142,8/5/2020
177234001400,SP,   70,G01614, C002,999148,1222570,1546000,0,COM,G01614,SP,   70,8/5/2020
177154089601,ST,   37,G02625, H006,530224,753646,1077077,0,COM,G02625,ST,   37,8/5/2020
177074033101,SM,  281,G02600, E008,37530,85942,156208,0,TA,G02600,SM,  281,8/5/2020
177044016601,EC,  321,G02061, A004,741697,965119,1288549,0,COM,G02061,EC,  321,8/5/2020
177090079001,EI,  189, 00423, B020,87570,135982,206248,0,TA, 00423,EI,  189,8/14/2023 10:37:44 AM
177104031200,EI,  330,G02115, B018,786278,1009700,1333130,0,COM,G02115,EI,  330,8/5/2020
177104116602,EI,  360,G02323, C009,384057,432469,502735,0,TA,G02323,EI,  360,8/5/2020
608074012800,GB,  191,G06359, A005,0,0,0,630780,TA,G06359,GB,  191,7/26/2016 10:24:58 AM
177254015400,MP,   73,G02947, A003,175140,223552,293818,0,TA,G02947,MP,   73,8/5/2020
608164028800,VK,  900,G02445, A028,1020225,1243647,1567077,0,COM,G02445,VK,  900,8/5/2020
608074018200,GB,  172,G14221, B001,0,0,0,625299,TA,G14221,GB,  172,8/1/2016 9:05:35 AM
177244057301,MP,  299,G09372,SW258,262710,311122,381388,0,TA,G09372,MP,  299,3/28/2022 4:45:22 PM
608174013200,MC,  150,G02642, A043,0,0,0,692695,TA,G02638,MC,  194,7/26/2016 10:24:58 AM
608174046200,EW,  438,G04931, A006,0,0,0,579624,TA,G04939,MC,  397,7/26/2016 10:24:58 AM
427134003400,PN,  969,G05953, A001,195156,243568,313834,0,TA,G05961,PN,  975,8/5/2020
177084026500,SM,  131,G02281, B023,268965,317377,387643,0,TA,G02280,SM,  130,8/5/2020
177084024900,SM,  131,G02281, B020,268965,317377,387643,0,TA,G02280,SM,  130,8/5/2020
177214034900,SP,   60,G02137, G010,735817,959240,1282670,0,COM,G01608,SP,   60,8/5/2020
177254003600,SP,   64,G01901, B023,993756,1217178,1540608,0,COM,G01967,MP,  153,8/5/2020
