LEASE_NUMBER,AREA_CODE,BLOCK_NUM,LEASE_STATUS_CD,LEASE_EFF_DATE,LEASE_EXPIR_DATE,BLK_MAX_WTR_DPTH
G11667,KC,594,RELINQ,10/1/1989,9/28/1993,1953
G20989,KC,823,RELINQ,10/1/1998,10/26/2000,2135
G09790,MC,217,TERMIN,5/1/1988,3/22/2013,2085
G05837,MC,356,RELINQ,7/1/1983,6/5/1998,486
G13683,MC,620,EXPIR,9/1/1992,8/31/2000,667
G16648,MC,782,TERMIN,8/1/1996,7/2/2007,2083
G08861,MC,848,EXPIR,6/1/1987,5/31/1997,1178
G13767,MI,529,EXPIR,10/1/1992,9/30/1997,23
G04545,MI,653,TERMIN,1/1/1981,4/27/2002,30
G06049,MI,671,RELINQ,10/1/1983,9/30/1988,39
G08111,MI,709,EXPIR,10/1/1985,9/30/1990,51
G05779,MO,826,REJECT,,,16
G05059,MO,826,REJECT,,,16
G09712,MP,157,EXPIR,7/1/1988,6/30/1993,42
G12100,MP,234,TERMIN,6/1/1990,2/24/1999,57
G16511,MP,239,RELINQ,9/1/1996,8/28/1998,61
G15389,MP,257,EXPIR,9/1/1995,8/31/2000,164
G05730,MP,297,TERMIN,7/1/1983,2/6/1994,67
G06837,MP,314,EXPIR,6/1/1984,5/31/1989,92
G13763,MU,A  10,EXPIR,12/1/1992,11/30/1997,74
G03056,MU,A  60,RELINQ,4/1/1975,3/31/1978,66
G03929,MU,A  66,EXPIR,3/1/1979,2/29/1984,83
G06027,MU,A 122,TERMIN,10/1/1983,1/12/2013,106
G12431,MU,A 151,RELINQ,10/1/1990,7/31/1992,89
G20468,AM,9,EXPIR,7/1/1998,6/30/2008,2556
G01237,PL,22,REJECT,,,19
G04984,PN,924,RELINQ,4/1/1982,12/3/1986,27
G05946,PS,1125,EXPIR,10/1/1983,9/30/1988,30
G02597,SM,251,EXPIR,5/1/1974,4/30/1979,8
G06792,SP,52,EXPIR,7/1/1984,6/30/1989,183
G02179,SP,52,EXPIR,11/1/1972,10/28/1977,183
G05533,SS,59,TERMIN,7/1/1983,5/13/1989,6
G18025,SS,298,EXPIR,5/1/1997,4/30/2002,81
G02620,ST,26,RELINQ,5/1/1974,3/15/2024,20
G04000,ST,53,TERMIN,3/1/1979,8/26/2022,20
G05610,ST,194,TERMIN,7/1/1983,1/5/2015,37
G19831,ST,219,RELINQ,5/1/1998,4/27/2009,48
G01275,ST,224,RELINQ,6/1/1962,5/29/1967,53
G14540,ST,224,RELINQ,7/1/1994,12/3/1999,53
G06267,SX,44,RELINQ,10/1/1983,12/24/1987,8
G07878,VK,74,TERMIN,9/1/1985,2/26/2009,34
