AUTH_TYPE_CODE,AUTH_NUMBER,COMPLEX_ID_NUM,STRUCTURE_NUMBER,AREA_CODE,BLOCK_NUMBER,STRUCTURE_NAME,PLT_REMOVAL_DCOM_P50,PLT_REMOVAL_DCOM_P70,PLT_REMOVAL_DCOM_P90,PLT_REMOVAL_DCOM_INDTR,PLT_SITE_CLRNC_DCOM_P50,PLT_SITE_CLRNC_DCOM_P70,PLT_SITE_CLRNC_DCOM_P90,PLT_SITE_CLRNC_DCOM_INDTR,EFFECTIVE_DATE
LSE, 00385,21273,4,WD,   29,E,2223262,3122361,4472688,0,141388,229808,452872,0,8/5/2020
LSE, 00385,21273,5,WD,   29,H,1111631,1561181,2236344,0,141388,229808,452872,0,8/5/2020
LSE,G05000,10391,1,MI,  622,D,698514,882662,1150483,0,53182,101789,195080,0,8/5/2020
LSE,G14342,29032,1,WC,  544,A,2241921,2692533,3349212,0,141388,229808,452872,0,8/5/2020
LSE, 00367,20249,3,WD,   32,E,2629786,3304111,4316856,0,141388,229808,452872,0,8/5/2020
LSE, 00128,24214,1,GI,   40,M,727226,911374,1179195,0,53182,101789,195080,0,8/5/2020
RUE,G30425,24171,1,MP,  154,A,1105046,1378936,1783323,0,141388,229808,452872,0,8/30/2023 9:16:29 AM
LSE, 00182,21805,2,WD,   70,I,2907999,3357549,4032712,0,141388,229808,452872,0,8/5/2020
LSE,G01497,21270,2,WD,   95,X,2529460,2979541,3645462,0,141388,229808,452872,0,8/5/2020
LSE,G09372,24248,2,MP,  299,BS,2552781,3003393,3660072,0,141388,229808,452872,0,8/5/2020
LSE,G09372,24248,7,MP,  299,BS-Y,2552781,3003393,3660072,0,141388,229808,452872,0,8/5/2020
RUE,G30315,24248,7,MP,  299,BS-Y,2552781,3003393,3660072,0,141388,229808,452872,0,8/5/2020
LSE,G09372,24248,8,MP,  299,BS,2552781,3003393,3660072,0,141388,229808,452872,0,8/5/2020
RUE,G30315,24248,8,MP,  299,BS,2552781,3003393,3660072,0,141388,229808,452872,0,8/5/2020
LSE,G09372,24248,9,MP,  299,BS,2552781,3003393,3660072,0,141388,229808,452872,0,8/5/2020
RUE,G30315,24248,9,MP,  299,BS,2552781,3003393,3660072,0,141388,229808,452872,0,8/5/2020
LSE, 00353,20741,1,SP,   28,TT,729069,1179681,1836360,0,141388,229808,452872,0,8/5/2020
LSE,G37166,26075,1,EI,  189,JG,504708,688856,956677,0,53182,101789,195080,0,11/30/2023 11:33:19 AM
LSE,G01608,20319,2,SP,   60,E,4046768,4496318,5171481,0,141388,229808,452872,0,8/5/2020
LSE,G07799,24216,1,SP,   87,D,4397217,4847829,5504508,0,141388,229808,452872,0,8/5/2020
LSE,G02925,21988,8,PL,   10,B-25,0,0,0,0,53182,101789,195080,0,8/14/2023 10:38:31 AM
LSE,G10638,27008,1,EC,  328,A,43110045,49869223,59719411,0,2120824,3447117,6793077,0,8/5/2020
LSE, 00334,26071,1,SS,   31,A,210410,394558,662379,0,53182,101789,195080,0,8/5/2020
LSE,G13917,26050,1,SS,  193,A,863882,1137772,1542159,0,141388,229808,452872,0,8/5/2020
LSE,G01959,26083,1,EI,  258,J,1172262,1356410,1624231,0,53182,101789,195080,0,8/5/2020
LSE, 00069,26086,1,SS,  119,W,397038,581186,849007,0,53182,101789,195080,0,8/5/2020
LSE,G02549,29008,1,WC,  507,B,1198223,1472113,1876500,0,141388,229808,452872,0,8/5/2020
LSE,G06898,24130,1,VK,  989,A,0,0,0,79478270,705122,765824,868665,0,8/5/2020
LSE,G07827,24194,1,MP,  259,A,5697580,6147661,6813582,0,141388,229808,452872,0,8/5/2020
LSE, 00369,20454,2,BM,    2,73,418572,602720,870541,0,53182,101789,195080,0,8/5/2020
LSE,G09631,26067,1,SS,  315,A,1949120,2223010,2627397,0,141388,229808,452872,0,8/5/2020
LSE,G05753,23894,2,MO,  916,AP,1354616,1804697,2470618,0,141388,229808,452872,0,8/5/2020
LSE,G05753,23894,3,MO,  916,AQ,988119,1438731,2095410,0,141388,229808,452872,0,8/5/2020
LSE,G05754,24158,1,MO,  917,A,894861,1345473,2002152,0,141388,229808,452872,0,8/5/2020
LSE,G12088,24179,1,MP,  123,A,1993233,2443845,3100524,0,141388,229808,452872,0,8/5/2020
LSE,G08735,24209,1,WD,  106,A,2967261,3417873,4074552,0,141388,229808,452872,0,8/5/2020
LSE,G00981,26095,1,EI,  237,K,1796355,2246967,2903646,0,141388,229808,452872,0,8/5/2020
LSE, 00066,26070,1,SS,  112,V,404216,588364,856185,0,53182,101789,195080,0,8/5/2020
LSE,G05749,23474,3,MO,  904,AQ,988119,1438731,2095410,0,141388,229808,452872,0,8/5/2020
LSE,G02705,28005,1,HI,A 547,B,3133053,3583665,4240344,0,141388,229808,452872,0,8/5/2020
LSE,G02754,10597,1,HI,A 376,B,3889479,4340091,4996770,0,141388,229808,452872,0,8/5/2020
LSE,G09478,24085,1,EC,  332,A,3849510,4299591,4965512,0,141388,229808,452872,0,8/5/2020
LSE,G13808,28002,1,HI,A 379,B,5697580,6147661,6813582,0,141388,229808,452872,0,8/5/2020
LSE,G12136,24129,1,EW,  873,A (Lobster),0,0,0,25193482,423620,484322,587163,0,8/5/2020
LSE,G04909,22798,3,MP,   64,2,332436,516584,784405,0,53182,101789,195080,0,8/5/2020
LSE, 00133,20046,3,GI,   47,AP,1278255,1728867,2385546,0,141388,229808,452872,0,8/5/2020
LSE, 00133,20046,4,GI,   47,AX,1278255,1728867,2385546,0,141388,229808,452872,0,8/5/2020
LSE, 00166,20047,1,ST,   23,SB,884499,1335111,1991790,0,141388,229808,452872,0,8/5/2020
LSE, 00392,20005,1,GI,   37,CS,874137,1324749,1981428,0,141388,229808,452872,0,8/5/2020
LSE, 00392,20006,1,GI,   37,22,0,0,0,0,53182,101789,195080,0,8/5/2020
LSE, 00392,20008,1,GI,   37,R,3057290,3956389,5306716,0,141388,229808,452872,0,8/5/2020
LSE, 00390,20011,1,GI,   26,X,874137,1324749,1981428,0,141388,229808,452872,0,8/5/2020
LSE, 00182,20015,1,WD,   70,D,2843843,3293393,3968556,0,141388,229808,452872,0,10/13/2023 10:38:45 AM
LSE, 00131,20018,1,GI,   42,C,1869436,2319516,2985437,0,141388,229808,452872,0,8/5/2020
LSE, 00129,20020,1,GI,   41,D,1737430,2187511,2853432,0,141388,229808,452872,0,8/5/2020
LSE, 00175,20021,1,GI,   43,AQ-QRT,3760536,4434860,5447605,0,141388,229808,452872,0,8/5/2020
LSE, 00175,20021,2,GI,   43,AP-QRT,2507024,2956574,3631737,0,141388,229808,452872,0,8/5/2020
LSE, 00175,20021,3,GI,   43,AC-CMP,5014048,5913147,7263474,0,141388,229808,452872,0,8/5/2020
LSE, 00175,20021,4,GI,   43,AR-RSR,2507024,2956574,3631737,0,141388,229808,452872,0,8/5/2020
LSE, 00175,20021,5,GI,   43,AS-SEP,3760536,4434860,5447605,0,141388,229808,452872,0,8/5/2020
LSE, 00838,20027,1,WD,   71,E,2940077,3389627,4064790,0,141388,229808,452872,0,8/5/2020
LSE, 00130,20032,1,GI,   41,E,1671428,2121509,2787430,0,141388,229808,452872,0,8/5/2020
LSE, 00373,22597,2,MP,   40,3,0,0,0,0,53182,101789,195080,0,8/11/2020 4:01:14 PM
LSE,G01083,21809,2,WD,   73,A-TWR,2096853,2547465,3204144,0,141388,229808,452872,0,8/5/2020
LSE,G01083,21809,3,WD,   73,QTRS,2096853,2547465,3204144,0,141388,229808,452872,0,8/5/2020
LSE,G01083,21809,4,WD,   73,D,6874572,7773671,9123998,0,141388,229808,452872,0,8/5/2020
LSE,G04109,24053,1,SM,   99,B,1313324,1587214,1991601,0,141388,229808,452872,0,8/5/2020
LSE,G01241,24144,1,ST,   52,22,526242,710390,978211,0,53182,101789,195080,0,8/5/2020
LSE,G08241,24080,1,GB,  426,A (Auger),0,0,0,24422364,0,0,0,700000,7/26/2016 10:28:13 AM
LSE,G01294,20375,2,SP,   62,D,5955409,6404959,7080122,0,141388,229808,452872,0,8/5/2020
LSE,G01959,26030,1,EI,  258,I,1157906,1342054,1609875,0,53182,101789,195080,0,8/5/2020
LSE, 00063,26062,1,SS,   93,61,253478,437626,705447,0,53182,101789,195080,0,8/5/2020
LSE,G12360,24159,1,WD,  103,F,2563143,3013755,3670434,0,141388,229808,452872,0,8/5/2020
RUE,G30268,26052,1,EI,  188,JE,1091739,1542351,2199030,0,141388,229808,452872,0,8/5/2020
LSE, 00310,24075,1,SM,  238,151,217588,401736,669557,0,53182,101789,195080,0,8/5/2020
