DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,BOND_NUMBER,LEASE_NUMBER,RUE_NUMBER,ROW_NUMBER,COMPANY_NUMBER,COMPANY_NAME,BOND_EFF_DATE,COVERAGE_TYPE_CD,BOND_AMOUNT,SURETY_COMP_NUM,SURETY_COMP_NAME,CANCEL_REPL_CD,CANCEL_REPL_DATE,DOC_TYPE,BOND_FORM,DOC_DATE,DOC_BAR_CODE
166,Gulf of Mexico,3/10/2016,10,350751,912828CM0,,,,1217,AEDC (USA) INC.,6/30/2004,A:Areawide,300000,20049,U. S. TREASURY,C,1/24/2006,Bond,,10/18/2004,bonds00105
167,Gulf of Mexico,3/10/2016,17,486411,912795QC8,,,,1217,AEDC (USA) INC.,12/11/2003,A:Areawide,300000,20049,U. S. TREASURY,C,6/30/2004,Bond,,1/23/2004,bonds00105
168,Gulf of Mexico,3/10/2016,7,136037,9128272E1,G04445,,,1376,"Linder Oil Company, A Partnership",1/13/1997,O:Operator - Lease Specific,50000,20049,U. S. TREASURY,C,4/22/1998,Other,,8/27/2002,bonds00105
169,Gulf of Mexico,3/10/2016,16,543746,9128277G1,,,,1217,AEDC (USA) INC.,1/8/2002,A:Areawide,300000,20049,U. S. TREASURY,R,12/11/2003,Bond,,2/25/2002,bonds00105
170,Gulf of Mexico,3/10/2016,1,34974,9128272E1,G04445,,,1376,"Linder Oil Company, A Partnership",1/13/1997,O:Operator - Lease Specific,50000,20049,U. S. TREASURY,C,4/22/1998,Cancellation / Termination,,2/25/2002,bonds00105
171,Gulf of Mexico,3/10/2016,10,345316,9128272E1,G04445,,,1376,"Linder Oil Company, A Partnership",1/13/1997,O:Operator - Lease Specific,50000,20049,U. S. TREASURY,C,4/22/1998,Bond,,2/12/2001,bonds00105
172,Gulf of Mexico,3/10/2016,5,122356,912827J94,,,,1217,AEDC (USA) INC.,9/19/1995,A:Areawide,300000,20049,U. S. TREASURY,C,11/17/1997,Cancellation / Termination,,11/24/1997,bonds00105
173,Gulf of Mexico,3/10/2016,10,324367,912827J94,,,,1217,AEDC (USA) INC.,9/19/1995,A:Areawide,300000,20049,U. S. TREASURY,C,11/17/1997,Bond,,5/6/1996,bonds00105
174,Gulf of Mexico,3/10/2016,2,35270,912827G48,,,,1217,AEDC (USA) INC.,2/9/1993,A:Areawide,300000,20049,U. S. TREASURY,C,9/19/1995,Cancellation / Termination,,6/27/1996,bonds00105
175,Gulf of Mexico,3/10/2016,5,117019,912827G48,,,,1217,AEDC (USA) INC.,2/9/1993,A:Areawide,300000,20049,U. S. TREASURY,C,9/19/1995,Other,,8/15/1995,bonds00105
176,Gulf of Mexico,3/10/2016,11,302866,912827G48,,,,1217,AEDC (USA) INC.,2/9/1993,A:Areawide,300000,20049,U. S. TREASURY,C,9/19/1995,Bond,,5/5/1993,bonds00105
177,Gulf of Mexico,3/10/2016,2,57617,912827ZU9,,,,1217,AEDC (USA) INC.,2/27/1991,A:Areawide,300000,20049,U. S. TREASURY,R,2/9/1993,Cancellation / Termination,,5/5/1993,bonds00105
178,Gulf of Mexico,3/10/2016,11,359952,912827ZU9,,,,1217,AEDC (USA) INC.,2/27/1991,A:Areawide,300000,20049,U. S. TREASURY,R,2/9/1993,Bond,,5/14/1991,bonds00105
179,Gulf of Mexico,3/10/2016,4,294165,912827XC1,,,,1217,AEDC (USA) INC.,2/28/1989,A:Areawide,300000,20049,U. S. TREASURY,R,2/27/1991,Replacement,,9/11/1991,bonds00105
180,Gulf of Mexico,3/10/2016,16,420422,912827XC1,,,,1217,AEDC (USA) INC.,2/28/1989,A:Areawide,300000,20049,U. S. TREASURY,R,2/27/1991,Bond,,3/1/1989,bonds00105
181,Gulf of Mexico,3/10/2016,7,156585,BO3392,,,,1131,American Exploration Company,1/30/1992,A:Areawide,300000,20051,PLANET INDEMNITY COMPANY,C,6/5/1998,Cancellation / Termination,,7/15/1998,bonds00106
182,Gulf of Mexico,3/10/2016,6,224581,BO3392,,,,1131,American Exploration Company,1/30/1992,A:Areawide,300000,20051,PLANET INDEMNITY COMPANY,C,6/5/1998,Bond,,2/13/1992,bonds00106
183,Gulf of Mexico,3/10/2016,6,147313,B7183,,,,2243,"American Resources Offshore, Inc.",3/6/1998,A:Areawide,300000,20724,Planet Indemnity Company,T,11/19/1999,Cancellation / Termination,,5/16/2000,bonds00107
184,Gulf of Mexico,3/10/2016,5,191899,B7183,,,,2243,"American Resources Offshore, Inc.",3/6/1998,A:Areawide,300000,20724,Planet Indemnity Company,T,11/19/1999,Bond Rider,,11/19/1999,bonds00107
185,Gulf of Mexico,3/10/2016,4,212911,B7183,,,,2243,"American Resources Offshore, Inc.",3/6/1998,A:Areawide,300000,20724,Planet Indemnity Company,T,11/19/1999,Bond,,3/11/1998,bonds00107
186,Gulf of Mexico,3/10/2016,6,889184,2391007,,,,148,Anadarko E&P Company LP,1/14/1974,A:Areawide,300000,20007,SAFECO Insurance Company of America,R,7/22/1987,Bond Rider,,11/12/2002,bonds00108
187,Gulf of Mexico,3/10/2016,4,110650,2391007,,,,148,Anadarko E&P Company LP,1/14/1974,A:Areawide,300000,20007,SAFECO Insurance Company of America,R,7/22/1987,Bond Rider,,2/15/2001,bonds00108
188,Gulf of Mexico,3/10/2016,8,249805,2391007,,,,148,Anadarko E&P Company LP,1/14/1974,A:Areawide,300000,20007,SAFECO Insurance Company of America,R,7/22/1987,Bond Rider,,12/7/1993,bonds00108
189,Gulf of Mexico,3/10/2016,5,193180,2391007,,,,148,Anadarko E&P Company LP,1/14/1974,A:Areawide,300000,20007,SAFECO Insurance Company of America,R,7/22/1987,Bond,,1/14/1974,bonds00108
190,Gulf of Mexico,3/10/2016,7,777766,22015867,,,,981,Anadarko Petroleum Corporation,7/11/2005,D:Development - Areawide,3000000,20268,LIBERTY MUTUAL INSURANCE COMPANY,,,Replacement,,8/9/2005,bonds00109
191,Gulf of Mexico,3/10/2016,5,835900,950037,,,,981,Anadarko Petroleum Corporation,7/12/1985,A:Areawide,300000,20002,SEABOARD SURETY COMPANY,R,12/14/1993,Bond Rider,,4/18/1994,bonds00109
192,Gulf of Mexico,3/10/2016,5,847182,950037,,,,981,Anadarko Petroleum Corporation,7/12/1985,A:Areawide,300000,20002,SEABOARD SURETY COMPANY,R,12/14/1993,Bond Rider,,1/14/1994,bonds00109
193,Gulf of Mexico,3/10/2016,4,197494,950037,,,,981,Anadarko Petroleum Corporation,7/12/1985,A:Areawide,300000,20002,SEABOARD SURETY COMPANY,R,12/14/1993,Bond,,7/19/1985,bonds00109
194,Gulf of Mexico,3/10/2016,6,248280,RLB0003012,,,,2432,"Andex Resources, L.L.C.",6/1/2001,A:Areawide,300000,20648,RLI INSURANCE COMPANY,T,4/30/2013,Cancellation / Termination,,5/16/2013,bonds00110
195,Gulf of Mexico,3/10/2016,5,255253,RLB0003012,,,,2432,"Andex Resources, L.L.C.",6/1/2001,A:Areawide,300000,20648,RLI INSURANCE COMPANY,T,4/30/2013,Bond,,6/21/2001,bonds00110
196,Gulf of Mexico,3/10/2016,6,105912,U 77 94 58,,,,240,ANR Production Company,9/11/1975,A:Areawide,300000,20004,UNITED PACIFIC INSURANCE COMPANY,R,9/15/1980,Cancellation / Termination,,9/8/1999,bonds00111
197,Gulf of Mexico,3/10/2016,7,263680,U 77 94 58,,,,240,ANR Production Company,9/11/1975,A:Areawide,300000,20004,UNITED PACIFIC INSURANCE COMPANY,R,9/15/1980,Bond Rider,,3/4/1994,bonds00111
106,Gulf of Mexico,3/10/2016,4,125543,2971100-2657,,,,2219,Anadarko US Offshore Corporation,9/15/1997,D:Development - Areawide,3000000,20007,SAFECO Insurance Company of America,R,11/23/2011,Bond Rider,,9/15/2003,bonds00101
107,Gulf of Mexico,3/10/2016,4,123621,2971100-2657,,,,2219,Anadarko US Offshore Corporation,9/15/1997,D:Development - Areawide,3000000,20007,SAFECO Insurance Company of America,R,11/23/2011,Bond Rider,,9/15/2003,bonds00101
108,Gulf of Mexico,3/10/2016,4,127994,2971100-2657,,,,2219,Anadarko US Offshore Corporation,9/15/1997,D:Development - Areawide,3000000,20007,SAFECO Insurance Company of America,R,11/23/2011,Bond Rider,,4/2/1998,bonds00101
109,Gulf of Mexico,3/10/2016,5,223406,2971100-2657,,,,2219,Anadarko US Offshore Corporation,9/15/1997,D:Development - Areawide,3000000,20007,SAFECO Insurance Company of America,R,11/23/2011,Bond,,10/7/1997,bonds00101
110,Gulf of Mexico,3/10/2016,2,50002,927448,,,,170,Anadarko Production Company,5/21/1982,A:Areawide,300000,20002,SEABOARD SURETY COMPANY,C,10/17/1985,Cancellation / Termination,,10/31/1988,bonds00102
278,Gulf of Mexico,3/10/2016,6,1388811,6102086247 (28524),,,,2050,Barrett Resources Corporation,5/22/1996,A:Areawide,300000,20039,UNITED STATES FIRE INSURANCE COMPANY,R,12/23/1996,Bond,,5/24/1996,bonds00129
279,Gulf of Mexico,3/10/2016,5,260288,6185081,,,,1510,BASF Corporation,2/20/1990,A:Areawide,300000,20026,FIDELITY AND DEPOSIT COMPANY OF MARYLAND,,,Bond,,3/5/1990,bonds00130
280,Gulf of Mexico,3/10/2016,5,243316,RLB0010840,,,,2948,"Bayou Bend Offshore, Ltd.",10/30/2007,A:Areawide,300000,20648,RLI INSURANCE COMPANY,T,1/5/2010,Cancellation / Termination,,11/2/2009,bonds00131
281,Gulf of Mexico,3/10/2016,4,92294,RLB0010840,,,,2948,"Bayou Bend Offshore, Ltd.",10/30/2007,A:Areawide,300000,20648,RLI INSURANCE COMPANY,T,1/5/2010,Cancellation / Termination,,1/21/2010,bonds00131
282,Gulf of Mexico,3/10/2016,5,259420,SU13850,,,,3308,"Bennu Oil & Gas, LLC",10/31/2013,D:Development - Areawide,3000000,22655,Aspen American Insurance Company ,,,Bond,,10/31/2013,bonds00132
283,Gulf of Mexico,3/10/2016,5,255763,RLB0004991,,,,362,BHP Billiton Petroleum (Americas) Inc.,11/7/2002,D:Development - Areawide,3000000,20648,RLI INSURANCE COMPANY,,,Bond,,12/12/2002,bonds00133
284,Gulf of Mexico,3/10/2016,9,1060702,307275,,,,362,BHP Billiton Petroleum (Americas) Inc.,4/24/1995,D:Development - Areawide,3000000,20002,SEABOARD SURETY COMPANY,R,11/7/2002,Bond,,5/8/1995,bonds00133
285,Gulf of Mexico,3/10/2016,6,1026010,204400,,,,362,BHP Billiton Petroleum (Americas) Inc.,5/20/1991,A:Areawide,300000,20002,SEABOARD SURETY COMPANY,R,4/24/1995,Bond,,7/3/1991,bonds00133
286,Gulf of Mexico,3/10/2016,6,232480,8111-66-13,,,,362,BHP Billiton Petroleum (Americas) Inc.,5/23/1986,A:Areawide,300000,20005,FEDERAL INSURANCE COMPANY,R,5/20/1991,Bond,,5/23/1986,bonds00133
287,Gulf of Mexico,3/10/2016,4,136891,RLB0004923,,,,2010,BHP Billiton Petroleum (GOM) Inc.,11/5/2002,D:Development - Areawide,3000000,20648,RLI INSURANCE COMPANY,,,Bond Rider,,2/3/2004,bonds00134
288,Gulf of Mexico,3/10/2016,6,274518,RLB0004923,,,,2010,BHP Billiton Petroleum (GOM) Inc.,11/5/2002,D:Development - Areawide,3000000,20648,RLI INSURANCE COMPANY,,,Bond,,11/12/2002,bonds00134
289,Gulf of Mexico,3/10/2016,7,1002799,307277,,,,2010,BHP Billiton Petroleum (GOM) Inc.,12/6/1995,E:Exploration - Areawide,1000000,20002,SEABOARD SURETY COMPANY,R,11/5/2002,Bond,,12/8/1995,bonds00134
290,Gulf of Mexico,3/10/2016,8,308856,SUR0032509,,,,3033,"Black Elk Energy Offshore Operations, LLC",7/10/2015,D:Development - Areawide,3000000,21957,Argonaut Insurance Company,,,Bond,,7/20/2015,bonds00135
291,Gulf of Mexico,3/10/2016,2,47466,SU32702,,,,3033,"Black Elk Energy Offshore Operations, LLC",5/16/2014,D:Development - Areawide,3000000,22655,Aspen American Insurance Company ,R,7/10/2015,Bond,,7/7/2014,bonds00135
292,Gulf of Mexico,3/10/2016,2,40440,SU32702,,,,3033,"Black Elk Energy Offshore Operations, LLC",5/16/2014,D:Development - Areawide,3000000,22655,Aspen American Insurance Company ,R,7/10/2015,Bond,,7/7/2014,bonds00135
293,Gulf of Mexico,3/10/2016,9,355216,SU32702,,,,3033,"Black Elk Energy Offshore Operations, LLC",5/16/2014,D:Development - Areawide,3000000,22655,Aspen American Insurance Company ,R,7/10/2015,Bond,,7/7/2014,bonds00135
294,Gulf of Mexico,3/10/2016,7,341901,105500948,,,,3033,"Black Elk Energy Offshore Operations, LLC",11/12/2010,D:Development - Areawide,3000000,20383,TRAVELERS CASUALTY AND SURETY COMPANY OF AMERICA,R,5/16/2014,Bond,,11/29/2010,bonds00135
295,Gulf of Mexico,3/10/2016,9,162930,B6744,,,,2145,Blazer Energy Corp.,7/1/1997,D:Development - Areawide,3000000,20724,Planet Indemnity Company,T,10/14/1998,Cancellation / Termination,,10/23/1998,bonds00136
296,Gulf of Mexico,3/10/2016,9,401322,B6744,,,,2145,Blazer Energy Corp.,7/1/1997,D:Development - Areawide,3000000,20724,Planet Indemnity Company,T,10/14/1998,Bond,,9/5/1997,bonds00136
297,Gulf of Mexico,3/10/2016,5,666538,14-000-001-0451-KY,,,,2145,Blazer Energy Corp.,1/21/1997,D:Development - Areawide,3000000,20268,LIBERTY MUTUAL INSURANCE COMPANY,R,4/24/1997,Bond Rider,,5/5/1997,bonds00136
298,Gulf of Mexico,3/10/2016,5,824207,14-000-001-0451-KY,,,,2145,Blazer Energy Corp.,1/21/1997,D:Development - Areawide,3000000,20268,LIBERTY MUTUAL INSURANCE COMPANY,R,4/24/1997,Bond,,1/30/1997,bonds00136
299,Gulf of Mexico,3/10/2016,4,670038,B005479,,,,3093,Bois d' Arc Exploration LLC,3/9/2010,A:Areawide,300000,21516,U.S. Specialty Insurance Company,T,4/5/2012,Bond Rider,,4/13/2012,bonds00137
300,Gulf of Mexico,3/10/2016,5,788050,B005479,,,,3093,Bois d' Arc Exploration LLC,3/9/2010,A:Areawide,300000,21516,U.S. Specialty Insurance Company,T,4/5/2012,Bond,,3/25/2010,bonds00137
301,Gulf of Mexico,3/10/2016,5,221970,6184189,,,,114,BP America Production Company,9/27/2002,D:Development - Areawide,3000000,20007,SAFECO Insurance Company of America,,,Bond,,10/22/2002,bonds00138
302,Gulf of Mexico,3/10/2016,2,60182,U-8003845,,,,1855,"Vastar Resources, Inc.",12/13/1993,A:Areawide,300000,20004,UNITED PACIFIC INSURANCE COMPANY,R,12/1/1993,Bond Rider,,11/15/2001,bonds00138
303,Gulf of Mexico,3/10/2016,7,1047675,U-8003845,,,,1855,"Vastar Resources, Inc.",12/13/1993,A:Areawide,300000,20004,UNITED PACIFIC INSURANCE COMPANY,R,12/1/1993,Bond Rider,,3/9/1998,bonds00138
304,Gulf of Mexico,3/10/2016,8,254836,U-8003845,,,,1855,"Vastar Resources, Inc.",12/13/1993,A:Areawide,300000,20004,UNITED PACIFIC INSURANCE COMPANY,R,12/1/1993,Bond Rider,,2/22/1994,bonds00138
305,Gulf of Mexico,3/10/2016,9,303438,U-8003845,,,,1855,"Vastar Resources, Inc.",12/13/1993,A:Areawide,300000,20004,UNITED PACIFIC INSURANCE COMPANY,R,12/1/1993,Bond,,2/22/1994,bonds00138
306,Gulf of Mexico,3/10/2016,6,169207,103172911119,,,,114,BP America Production Company,12/16/1999,P:Pipeline - Areawide,300000,20383,TRAVELERS CASUALTY AND SURETY COMPANY OF AMERICA,R,8/30/2002,Other,,5/3/2010,bonds00138
307,Gulf of Mexico,3/10/2016,4,900971,405288,,,,114,BP America Production Company,6/21/1954,A:Areawide,100000,20002,SEABOARD SURETY COMPANY,R,3/3/1971,Bond Rider,,11/30/1993,bonds00138
308,Gulf of Mexico,3/10/2016,17,602470,405288,,,,114,BP America Production Company,6/21/1954,A:Areawide,100000,20002,SEABOARD SURETY COMPANY,R,3/3/1971,Bond Rider,,5/25/1989,bonds00138
309,Gulf of Mexico,3/10/2016,7,302702,405288,,,,114,BP America Production Company,6/21/1954,A:Areawide,100000,20002,SEABOARD SURETY COMPANY,R,3/3/1971,Bond,,6/23/1964,bonds00138
310,Gulf of Mexico,3/10/2016,4,137378,2S100302630-595,,,,1680,BP Exploration & Oil Inc.,2/26/1992,A:Areawide,300000,20016,THE AETNA CASUALTY AND SURETY COMPANY,R,3/16/1992,Bond Rider,,1/11/1994,bonds00139
311,Gulf of Mexico,3/10/2016,9,265960,2S100302630-595,,,,1680,BP Exploration & Oil Inc.,2/26/1992,A:Areawide,300000,20016,THE AETNA CASUALTY AND SURETY COMPANY,R,3/16/1992,Bond Rider,,4/21/1992,bonds00139
200,Gulf of Mexico,3/10/2016,5,955849,160515,,,,1211,Aquila Energy Corporation,12/1/1988,A:Areawide,300000,20002,SEABOARD SURETY COMPANY,R,11/25/1991,Bond,,12/2/1988,bonds00112
198,Gulf of Mexico,3/10/2016,7,301637,U 77 94 58,,,,240,ANR Production Company,9/11/1975,A:Areawide,300000,20004,UNITED PACIFIC INSURANCE COMPANY,R,9/15/1980,Bond,,9/15/1975,bonds00111
199,Gulf of Mexico,3/10/2016,12,1127209,160515,,,,1211,Aquila Energy Corporation,12/1/1988,A:Areawide,300000,20002,SEABOARD SURETY COMPANY,R,11/25/1991,Cancellation / Termination,,1/22/1999,bonds00112
201,Gulf of Mexico,3/10/2016,6,110554,124163047,,,,1512,Aquila Energy Resources Corporation,6/1/1994,D:Development - Areawide,3000000,20023,NATIONAL FIRE INSURANCE COMPANY OF HARTFORD,C,6/19/1997,Cancellation / Termination,,6/25/1997,bonds00112
202,Gulf of Mexico,3/10/2016,11,1216209,124163047,,,,1512,Aquila Energy Resources Corporation,6/1/1994,D:Development - Areawide,3000000,20023,NATIONAL FIRE INSURANCE COMPANY OF HARTFORD,C,6/19/1997,Bond,,7/1/1994,bonds00112
203,Gulf of Mexico,3/10/2016,6,1049184,184124,,,,1512,Aquila Energy Resources Corporation,3/5/1990,A:Areawide,300000,20002,SEABOARD SURETY COMPANY,R,11/25/1991,Bond,,3/8/1990,bonds00112
204,Gulf of Mexico,3/10/2016,2,43341,215773,,,,1725,Aquila Offshore Gas Systems Corporation,7/29/1992,A:Areawide,300000,20002,SEABOARD SURETY COMPANY,C,7/26/1993,Cancellation / Termination,,8/25/1993,bonds00112
205,Gulf of Mexico,3/10/2016,6,1024448,215773,,,,1725,Aquila Offshore Gas Systems Corporation,7/29/1992,A:Areawide,300000,20002,SEABOARD SURETY COMPANY,C,7/26/1993,Bond,,9/14/1992,bonds00112
206,Gulf of Mexico,3/10/2016,11,269752,7933154,,,,2970,"Castex Offshore, Inc.",6/25/1954,S:Supplemental - Lease Specific,300000,20005,FEDERAL INSURANCE COMPANY,C,8/23/1985,Cancellation / Termination,,10/9/1985,bonds00112
207,Gulf of Mexico,3/10/2016,21,749573,7933154,,,,2970,"Castex Offshore, Inc.",6/25/1954,S:Supplemental - Lease Specific,300000,20005,FEDERAL INSURANCE COMPANY,C,8/23/1985,Other,,10/3/1969,bonds00112
208,Gulf of Mexico,3/10/2016,12,525758,7933154,,,,2970,"Castex Offshore, Inc.",6/25/1954,S:Supplemental - Lease Specific,300000,20005,FEDERAL INSURANCE COMPANY,C,8/23/1985,Bond,,6/30/1954,bonds00112
209,Gulf of Mexico,3/10/2016,4,99270,579167,,,,1185,"Aviva America, Inc.",12/11/1990,A:Areawide,300000,20032,GULF INSURANCE COMPANY,R,7/8/1992,Cancellation / Termination,,7/10/1992,bonds00112
210,Gulf of Mexico,3/10/2016,5,208011,579167,,,,1185,"Aviva America, Inc.",12/11/1990,A:Areawide,300000,20032,GULF INSURANCE COMPANY,R,7/8/1992,Bond,,2/15/1991,bonds00112
211,Gulf of Mexico,3/10/2016,4,249568,RLB0007385,,,,2738,"Anglo-Suisse Offshore Partners, LLC",7/7/2004,D:Development - Areawide,3000000,20648,RLI INSURANCE COMPANY,,,Bond,,7/9/2004,bonds00113
212,Gulf of Mexico,3/10/2016,9,447510,RLB0008144,,,,1963,"Apex Oil & Gas, Inc.",5/6/2005,D:Development - Areawide,3000000,20648,RLI INSURANCE COMPANY,,,Bond,,12/27/2005,bonds00114
213,Gulf of Mexico,3/10/2016,5,151819,RLB0008430,,,,2628,"Arena Offshore, LP",8/11/2005,D:Development - Areawide,3000000,20648,RLI INSURANCE COMPANY,R,2/3/2011,Bond Rider,,2/3/2011,bonds00115
214,Gulf of Mexico,3/10/2016,4,186128,RLB0008430,,,,2628,"Arena Offshore, LP",8/11/2005,D:Development - Areawide,3000000,20648,RLI INSURANCE COMPANY,R,2/3/2011,Bond Rider,,3/12/2007,bonds00115
215,Gulf of Mexico,3/10/2016,6,352276,RLB0008430,,,,2628,"Arena Offshore, LP",8/11/2005,D:Development - Areawide,3000000,20648,RLI INSURANCE COMPANY,R,2/3/2011,Bond,,2/14/2007,bonds00115
216,Gulf of Mexico,3/10/2016,5,195040,RLB0008430,,,,2628,"Arena Offshore, LP",8/11/2005,D:Development - Areawide,3000000,20648,RLI INSURANCE COMPANY,R,2/3/2011,Cancellation / Termination,,1/9/2007,bonds00115
