OWNER_ALIQUOT_CD,ASGN_EFF_DATE,MMS_COMPANY_NUM,ASGN_APRV_DATE,LEASE_NUMBER,MMS_START_DATE,ASSIGNMENT_PCT,OWNER_ALQT_DESC,ALIQUOT_AREA
1,6/1/1989,689,6/1/1989,G10663,12/21/1981,100.0,,
1,6/1/1989,689,6/1/1989,G10664,12/21/1981,100.0,,
1,5/1/1989,59,5/1/1989,G10665,8/25/1969,50.0,,
1,5/1/1989,992,5/1/1989,G10665,8/19/1985,50.0,,
1,3/18/1994,689,9/28/1994,G10665,12/21/1981,50.0,,
1,3/18/1994,992,9/28/1994,G10665,8/19/1985,50.0,,
1,7/26/1994,689,4/18/1995,G10665,12/21/1981,50.0,,
1,7/26/1994,1904,4/18/1995,G10665,9/10/1996,50.0,,
1,1/1/1999,1764,4/7/1999,G10665,12/7/1992,50.0,,
1,1/1/1999,1904,4/7/1999,G10665,9/10/1996,50.0,,
1,6/1/1989,963,6/1/1989,G10666,8/22/1988,100.0,,
1,3/30/1990,1530,4/12/1990,G10666,4/5/1990,100.0,,
1,3/30/1990,1531,4/12/1990 10:00:00 AM,G10666,4/5/1990,100.0,,
1,11/14/1990,1583,8/21/1991,G10666,11/28/1990,100.0,,
1,12/31/1990,1597,8/22/1991,G10666,1/30/1991,100.0,,
1,3/26/1991,1225,11/6/1991,G10666,1/29/1988,100.0,,
1,5/22/1991,1225,11/6/1991 1:00:00 AM,G10666,1/29/1988,50.0,,
1,5/22/1991,1405,11/6/1991 1:00:00 AM,G10666,6/2/1989,50.0,,
1,5/1/1992,231,5/5/1992,G10666,10/20/1977,49.0,,
1,5/1/1992,1225,5/5/1992,G10666,1/29/1988,1.0,,
1,5/1/1992,1405,5/5/1992,G10666,6/2/1989,50.0,,
1,5/1/1992,231,7/17/1992,G10666,10/20/1977,50.0,,
1,5/1/1992,1405,7/17/1992,G10666,6/2/1989,50.0,,
1,6/1/1989,78,6/1/1989,G10667,4/21/1977,100.0,,
1,9/30/1992,1750,12/4/1992,G10667,10/2/1992,100.0,,
1,6/1/1989,78,6/1/1989,G10668,4/21/1977,100.0,,
1,9/30/1992,1750,12/4/1992,G10668,10/2/1992,100.0,,
1,6/1/1989,78,6/1/1989,G10669,4/21/1977,100.0,,
1,9/30/1992,1750,12/4/1992,G10669,10/2/1992,100.0,,
1,6/1/1989,108,6/1/1989,G10670,12/6/1983,15.0,,
1,6/1/1989,128,6/1/1989,G10670,6/12/1978,70.0,,
1,6/1/1989,232,6/1/1989,G10670,6/22/1981,15.0,,
1,1/1/1990,108,5/1/1990,G10670,12/6/1983,15.0,,
1,1/1/1990,232,5/1/1990,G10670,6/22/1981,15.0,,
1,1/1/1990,1500,5/1/1990,G10670,1/12/1990,70.0,,
