PLAN_CTRL_CD,PLAN_CTRL_NUM,MMS_COMPANY_NUM,BUS_ASC_NAME,PLAN_TYPE_CODE,PLAN_RECV_DATE,PLAN_COORDINATOR
S,6367,105,Apache Corporation,DOCD,2/23/2004,EC
S,6368,730,Walter Oil & Gas Corporation,DOCD,2/23/2004,MG
R,4012,818,"Mariner Energy, Inc.",DOCD,2/25/2004,KD
R,4013,981,Anadarko Petroleum Corporation,EP,2/26/2004,MT
N,8039,1978,"Helis Oil & Gas Company, L.L.C.",DOCD,2/26/2004,EC
R,4014,2513,"Petro Ventures, Inc.",DOCD,3/1/2004,KD
S,6369,2421,"Devon Energy Production Company, L.P.",DOCD,2/26/2004,RS
S,6370,1364,Newfield Exploration Company,EP,2/27/2004,KD
S,6371,2266,"EPL Oil & Gas, LLC",DOCD,2/27/2004,EC
S,6372,1777,Devon Louisiana Corporation,DOCD,2/27/2004,MG
S,6373,2608,Offshore Energy II LLC,DOCD,2/27/2004,RS
N,8040,2421,"Devon Energy Production Company, L.P.",EP,3/1/2004,MG
S,6374,105,Apache Corporation,DOCD,3/1/2004,KD
S,6375,105,Apache Corporation,DOCD,3/1/2004,EC
R,4015,2349,"Magnum Hunter Production, Inc.",EP,3/2/2004,EC
N,8041,2219,Anadarko US Offshore LLC,EP,3/2/2004,RS
S,6376,774,Taylor Energy Company,DOCD,3/2/2004,MG
