LEASE_NUMBER,MMS_COMPANY_NUM,BUS_ASC_NAME,ASGN_STATUS_CODE,OWNER_ALIQUOT_CD,SN_LSE_OWNER,ASSGN_APRV_DATE,MMS_STRT_DATE,ASSGN_TERM_DATE,OWNER_GROUP_CODE,ASSIGNMENT_PCT,ASSGN_EFF_DATE,LEASE_NUM
G37020,2805,Repsol E&P USA LLC,C,1,306105,2/14/2023,3/31/2005,,,20.0,10/1/2022,G37020
G37021,2805,Repsol E&P USA LLC,C,1,306111,2/14/2023,3/31/2005,,,20.0,10/1/2022,G37021
G36102,2805,Repsol E&P USA LLC,C,1,306937,6/26/2023,3/31/2005,,,50.0,3/15/2023,G36102
G36103,2805,Repsol E&P USA LLC,C,1,306943,6/27/2023,3/31/2005,,,50.0,3/15/2023,G36103
G36104,2805,Repsol E&P USA LLC,C,1,306948,6/28/2023,3/31/2005,,,50.0,3/15/2023,G36104
G35878,2805,Repsol E&P USA LLC,C,1,285095,6/1/2016,3/31/2005,,,100.0,6/1/2016,G35878
G36739,2805,Repsol E&P USA LLC,C,1,308816,6/4/2024,10/18/2022,,,100.0,4/15/2024,G36739
G36740,2805,Repsol E&P USA LLC,C,1,308818,6/4/2024,3/31/2005,,,100.0,4/15/2024,G36740
G36453,2805,Repsol E&P USA LLC,C,1,308355,4/30/2024,10/18/2022,,,50.0,8/15/2023,G36453
G36454,2805,Repsol E&P USA LLC,C,1,308367,4/30/2024,10/18/2022,,,50.0,8/15/2023,G36454
G36470,2805,Repsol E&P USA LLC,C,1,302067,6/29/2021,3/31/2005,,,22.5,1/1/2021,G36470
G36471,2805,Repsol E&P USA LLC,C,1,308413,5/2/2024,10/18/2022,,,33.0,10/1/2023,G36471
G36826,2805,Repsol E&P USA LLC,C,1,308379,4/30/2024,10/18/2022,,,50.0,8/15/2023,G36826
G36828,2805,Repsol E&P USA LLC,C,1,308391,5/1/2024,10/18/2022,,,50.0,8/15/2023,G36828
G36829,2805,Repsol E&P USA LLC,C,1,308395,5/1/2024,10/18/2022,,,50.0,8/13/2023,G36829
G36836,2805,Repsol E&P USA LLC,C,1,303805,5/10/2022,3/31/2005,,,50.0,4/1/2022,G36836
G36837,2805,Repsol E&P USA LLC,C,1,303841,5/12/2022,3/31/2005,,,50.0,4/1/2022,G36837
G37417,2805,Repsol E&P USA LLC,C,1,306465,7/1/2023,10/18/2022,,,100.0,7/1/2023,G37417
G37418,2805,Repsol E&P USA LLC,C,1,306466,7/1/2023,10/18/2022,,,100.0,7/1/2023,G37418
G37528,2805,Repsol E&P USA LLC,C,1,306592,7/1/2023,10/18/2022,,,100.0,7/1/2023,G37528
G37544,2805,Repsol E&P USA LLC,C,1,306610,8/1/2023,10/18/2022,,,100.0,8/1/2023,G37544
G37549,2805,Repsol E&P USA LLC,C,1,306616,7/1/2023,10/18/2022,,,40.0,7/1/2023,G37549
G37553,2805,Repsol E&P USA LLC,C,1,306622,7/1/2023,10/18/2022,,,40.0,7/1/2023,G37553
G37614,2805,Repsol E&P USA LLC,C,1,306687,7/1/2023,10/18/2022,,,50.0,7/1/2023,G37614
G37615,2805,Repsol E&P USA LLC,C,1,306689,7/1/2023,10/18/2022,,,50.0,7/1/2023,G37615
G37290,2805,Repsol E&P USA LLC,C,1,303009,10/1/2022,3/31/2005,,,100.0,10/1/2022,G37290
G37312,2805,Repsol E&P USA LLC,C,1,307117,8/9/2023,3/31/2005,,,50.0,10/1/2022,G37312
G37313,2805,Repsol E&P USA LLC,C,1,305683,1/4/2023,10/18/2022,,,20.0,10/1/2022,G37313
G37314,2805,Repsol E&P USA LLC,C,1,305691,1/4/2023,10/18/2022,,,20.0,10/1/2022,G37314
G37316,2805,Repsol E&P USA LLC,C,1,305693,1/4/2023,10/18/2022,,,20.0,10/1/2022,G37316
G37320,2805,Repsol E&P USA LLC,C,1,305708,1/4/2023,10/18/2022,,,20.0,10/1/2022,G37320
G37321,2805,Repsol E&P USA LLC,C,1,305713,1/4/2023,10/18/2022,,,20.0,10/1/2022,G37321
G37322,2805,Repsol E&P USA LLC,C,1,305715,1/5/2023,10/18/2022,,,20.0,10/1/2022,G37322
G37325,2805,Repsol E&P USA LLC,C,1,305717,1/5/2023,10/18/2022,,,20.0,10/1/2022,G37325
G37326,2805,Repsol E&P USA LLC,C,1,305721,1/5/2023,10/18/2022,,,20.0,10/1/2022,G37326
G37327,2805,Repsol E&P USA LLC,C,1,307033,7/20/2023,3/31/2005,,,20.0,1/1/2023,G37327
G37332,2805,Repsol E&P USA LLC,C,1,303055,10/1/2022,3/31/2005,,,50.0,10/1/2022,G37332
G37333,2805,Repsol E&P USA LLC,C,1,303057,10/1/2022,3/31/2005,,,50.0,10/1/2022,G37333
G37672,2805,Repsol E&P USA LLC,C,1,307603,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37672
G37677,2805,Repsol E&P USA LLC,C,1,307608,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37677
G37682,2805,Repsol E&P USA LLC,C,1,307613,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37682
G37651,2805,Repsol E&P USA LLC,C,1,307582,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37651
G37652,2805,Repsol E&P USA LLC,C,1,307583,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37652
G37653,2805,Repsol E&P USA LLC,C,1,307584,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37653
G37654,2805,Repsol E&P USA LLC,C,1,307585,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37654
G37655,2805,Repsol E&P USA LLC,C,1,307586,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37655
G37656,2805,Repsol E&P USA LLC,C,1,307587,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37656
G37657,2805,Repsol E&P USA LLC,C,1,307588,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37657
G37658,2805,Repsol E&P USA LLC,C,1,307589,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37658
G37659,2805,Repsol E&P USA LLC,C,1,307590,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37659
G37660,2805,Repsol E&P USA LLC,C,1,307591,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37660
G37661,2805,Repsol E&P USA LLC,C,1,307592,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37661
G37662,2805,Repsol E&P USA LLC,C,1,307593,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37662
G37663,2805,Repsol E&P USA LLC,C,1,307594,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37663
G37664,2805,Repsol E&P USA LLC,C,1,307595,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37664
G37665,2805,Repsol E&P USA LLC,C,1,307596,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37665
G37666,2805,Repsol E&P USA LLC,C,1,307597,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37666
G37667,2805,Repsol E&P USA LLC,C,1,307598,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37667
G37668,2805,Repsol E&P USA LLC,C,1,307599,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37668
G37669,2805,Repsol E&P USA LLC,C,1,307600,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37669
G37670,2805,Repsol E&P USA LLC,C,1,307601,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37670
G37671,2805,Repsol E&P USA LLC,C,1,307602,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37671
G37673,2805,Repsol E&P USA LLC,C,1,307604,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37673
G37674,2805,Repsol E&P USA LLC,C,1,307605,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37674
G37675,2805,Repsol E&P USA LLC,C,1,307606,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37675
G37676,2805,Repsol E&P USA LLC,C,1,307607,3/1/2024,10/18/2022,,,100.0,3/1/2024,G37676
G37540,78,Chevron U.S.A. Inc.,C,1,306605,8/1/2023,4/21/1977,,,100.0,8/1/2023,G37540
G37541,78,Chevron U.S.A. Inc.,C,1,306606,8/1/2023,4/21/1977,,,100.0,8/1/2023,G37541
G37542,78,Chevron U.S.A. Inc.,C,1,306607,8/1/2023,4/21/1977,,,100.0,8/1/2023,G37542
G37547,78,Chevron U.S.A. Inc.,C,1,308758,5/28/2024,4/21/1977,,,45.0,8/1/2023,G37547
G37556,78,Chevron U.S.A. Inc.,C,1,306626,6/1/2023,4/21/1977,,,100.0,6/1/2023,G37556
G37557,78,Chevron U.S.A. Inc.,C,1,306627,6/1/2023,4/21/1977,,,100.0,6/1/2023,G37557
G37559,78,Chevron U.S.A. Inc.,C,1,306630,6/1/2023,4/21/1977,,,100.0,6/1/2023,G37559
G37560,78,Chevron U.S.A. Inc.,C,1,306631,6/1/2023,4/21/1977,,,100.0,6/1/2023,G37560
G37564,78,Chevron U.S.A. Inc.,C,1,306636,8/1/2023,4/21/1977,,,100.0,8/1/2023,G37564
G37566,78,Chevron U.S.A. Inc.,C,1,306638,7/1/2023,4/21/1977,,,100.0,7/1/2023,G37566
G37567,78,Chevron U.S.A. Inc.,C,1,306639,7/1/2023,4/21/1977,,,100.0,7/1/2023,G37567
G37568,78,Chevron U.S.A. Inc.,C,1,306640,7/1/2023,4/21/1977,,,100.0,7/1/2023,G37568
G37569,78,Chevron U.S.A. Inc.,C,1,306641,6/1/2023,4/21/1977,,,100.0,6/1/2023,G37569
G37570,78,Chevron U.S.A. Inc.,C,1,307283,11/14/2023,4/21/1977,,,70.0,9/29/2023,G37570
G37571,78,Chevron U.S.A. Inc.,C,1,307351,11/28/2023,4/21/1977,,,70.0,9/29/2023,G37571
G37572,78,Chevron U.S.A. Inc.,C,1,306644,6/1/2023,4/21/1977,,,100.0,6/1/2023,G37572
