LEASE_NUMBER,LEASE_STATUS_CD,BLK_MAX_WTR_DPTH,PA_ADJUSTMENT_FL,WELL_INST_DCOM_COUNT,WELL_PRP_DCOM_COUNT,PTFRM_INST_DCOM_COUNT,PTFRM_PRP_SITE_CLRNCE_COUNT,PTFRM_PRP_DCOM_COUNT,PTFRM_INST_SITE_CLRNCE_COUNT,PPL_INST_DCOM_COUNT,PPL_PRP_DCOM_COUNT,AREA_CODE,BLOCK_NUMBER,UPDATED_DATE,ROW_NUMBER,RUE_NUMBER
G36794,RELINQ,2397,Y,0,0,0,0,0,0,0,0,DC,356,8/5/2020,,
G36795,PRIMRY,2580,Y,0,0,0,0,0,0,0,0,DC,578,8/5/2020,,
G36796,PRIMRY,2561,Y,0,0,0,0,0,0,0,0,DC,621,8/5/2020,,
G36797,PRIMRY,2616,Y,0,0,0,0,0,0,0,0,DC,623,8/5/2020,,
G36798,PRIMRY,2543,Y,0,0,0,0,0,0,0,0,DC,666,8/5/2020,,
G36799,RELINQ,2470,Y,0,0,0,0,0,0,0,0,DC,706,8/5/2020,,
G36800,PRIMRY,2854,Y,0,0,0,0,0,0,0,0,DC,982,8/5/2020,,
G36801,RELINQ,772,Y,0,0,0,0,0,0,0,0,GB,500,8/5/2020,,
G36802,PRIMRY,885,Y,0,0,0,0,0,0,0,0,GB,630,8/5/2020,,
G36803,PRIMRY,1280,Y,0,0,0,0,0,0,0,0,GB,676,8/5/2020,,
G36804,PRIMRY,1255,Y,0,0,0,0,0,0,0,0,GB,677,8/5/2020,,
G36805,PRIMRY,903,Y,0,0,0,0,0,0,0,0,GB,762,8/5/2020,,
G36806,PRIMRY,1018,Y,0,0,0,0,0,0,0,0,GB,805,8/5/2020,,
G36807,PRIMRY,1175,Y,0,0,0,0,0,0,0,0,GB,806,8/5/2020,,
G36808,PRIMRY,1391,Y,0,0,0,0,0,0,0,0,GB,851,8/5/2020,,
G36809,PRIMRY,1128,Y,0,0,0,0,0,0,0,0,GB,852,8/5/2020,,
G36810,PRIMRY,1549,Y,0,0,0,0,0,0,0,0,GB,895,8/5/2020,,
G36811,RELINQ,679,Y,0,0,0,0,0,0,0,0,GC,71,8/5/2020,,
G36812,PRIMRY,854,Y,0,0,0,0,0,0,0,0,GC,115,8/5/2020,,
G36813,PRIMRY,844,Y,0,0,0,0,0,0,0,0,GC,124,7/7/2022 8:45:47 AM,,
G36814,EXPIR,752,Y,0,0,0,0,0,0,0,0,GC,153,8/5/2020,,
G36815,PRIMRY,948,Y,0,0,0,0,0,0,0,0,GC,159,8/5/2020,,
G36816,PRIMRY,855,Y,0,0,0,0,0,0,0,0,GC,168,8/5/2020,,
G36817,RELINQ,888,Y,0,0,0,0,0,0,0,0,GC,235,8/5/2020,,
G36818,RELINQ,906,Y,0,0,0,0,0,0,0,0,GC,249,8/5/2020,,
G36819,PRIMRY,917,Y,0,0,0,0,0,0,0,0,GC,284,8/5/2020,,
G36820,PRIMRY,973,Y,0,0,0,0,0,0,0,0,GC,328,8/5/2020,,
G36821,PRIMRY,1283,Y,0,0,0,0,0,0,0,0,GC,392,8/5/2020,,
G36822,PRIMRY,1249,Y,0,0,0,0,0,0,0,0,GC,522,8/5/2020,,
G36823,PRIMRY,1710,Y,0,0,0,0,0,0,0,0,GC,637,8/5/2020,,
G36824,PRIMRY,1338,Y,0,0,0,0,0,0,0,0,AT,400,8/5/2020,,
G36825,PRIMRY,1504,Y,0,0,0,0,0,0,0,0,AT,401,8/5/2020,,
G36826,PRIMRY,1460,Y,0,0,0,0,0,0,0,0,AT,442,8/5/2020,,
G36827,PRIMRY,1617,Y,0,0,0,0,0,0,0,0,AT,445,8/5/2020,,
G36828,PRIMRY,1564,Y,0,0,0,0,0,0,0,0,AT,486,8/5/2020,,
G36829,PRIMRY,1731,Y,0,0,0,0,0,0,0,0,AT,530,8/5/2020,,
G36830,PRIMRY,2896,Y,0,0,0,0,0,0,0,0,LL,16,8/5/2020,,
G36831,PRIMRY,2917,Y,0,0,0,0,0,0,0,0,LL,59,8/5/2020,,
G36832,PRIMRY,2937,Y,0,0,0,0,0,0,0,0,LL,105,8/5/2020,,
G36833,PRIMRY,2962,Y,0,0,0,0,0,0,0,0,LL,106,8/5/2020,,
G36834,PRIMRY,2980,Y,0,0,0,0,0,0,0,0,LL,149,8/5/2020,,
G36835,PRIMRY,2977,Y,0,0,0,0,0,0,0,0,LL,150,8/5/2020,,
G36836,PRIMRY,1950,Y,0,0,0,0,0,0,0,0,KC,729,8/5/2020,,
G36837,PRIMRY,1934,Y,0,0,0,0,0,0,0,0,KC,730,8/5/2020,,
G36838,PRIMRY,2097,Y,0,0,0,0,0,0,0,0,KC,778,8/5/2020,,
G36839,PRIMRY,2137,Y,0,0,0,0,0,0,0,0,KC,779,8/5/2020,,
G36840,PRIMRY,2081,Y,0,0,0,0,0,0,0,0,KC,780,8/5/2020,,
G36841,PRIMRY,2184,Y,0,0,0,0,0,0,0,0,KC,787,8/5/2020,,
G36842,PRIMRY,2074,Y,0,0,0,0,0,0,0,0,KC,824,8/5/2020,,
G36843,PRIMRY,2193,Y,0,0,0,0,0,0,0,0,KC,831,8/5/2020,,
G36844,PRIMRY,1941,Y,0,0,0,0,0,0,0,0,WR,20,8/5/2020,,
G36845,PRIMRY,1972,Y,0,0,0,0,0,0,0,0,WR,22,8/5/2020,,
G36846,PRIMRY,2366,Y,0,0,0,0,0,0,0,0,WR,146,8/5/2020,,
G36847,PRIMRY,2436,Y,0,0,0,0,0,0,0,0,WR,190,8/5/2020,,
G36848,PRIMRY,2407,Y,0,0,0,0,0,0,0,0,WR,408,8/5/2020,,
G36849,PRIMRY,2203,Y,0,0,0,0,0,0,0,0,WR,459,8/5/2020,,
G36850,PRIMRY,2268,Y,0,0,0,0,0,0,0,0,WR,496,8/5/2020,,
G36851,PRIMRY,2205,Y,0,0,0,0,0,0,0,0,WR,502,8/5/2020,,
G36852,PRIMRY,2137,Y,0,0,0,0,0,0,0,0,WR,503,8/5/2020,,
G36853,PRIMRY,2168,Y,0,0,0,0,0,0,0,0,WR,504,8/5/2020,,
G36854,PRIMRY,2161,Y,0,0,0,0,0,0,0,0,WR,547,8/5/2020,,
G36855,PRIMRY,2206,Y,0,0,0,0,0,0,0,0,WR,548,8/5/2020,,
G36856,PRIMRY,2316,Y,0,0,0,0,0,0,0,0,WR,668,8/5/2020,,
G36857,PRIMRY,2256,Y,0,0,0,0,0,0,0,0,WR,712,8/5/2020,,
G36858,RELINQ,1184,Y,0,0,0,0,0,0,0,0,EB,677,8/5/2020,,
G36859,RELINQ,1229,Y,0,0,0,0,0,0,0,0,EB,722,8/5/2020,,
G36860,RELINQ,1145,Y,0,0,0,0,0,0,0,0,EB,723,8/5/2020,,
G36861,RELINQ,1143,Y,0,0,0,0,0,0,0,0,EB,724,8/5/2020,,
G36862,PRIMRY,2160,Y,0,0,0,0,0,0,0,0,AC,36,8/5/2020,,
G36863,PRIMRY,1444,Y,0,0,0,0,0,0,0,0,AC,80,8/5/2020,,
G36864,PRIMRY,1939,Y,0,0,0,0,0,0,0,0,AC,81,8/5/2020,,
G36865,RELINQ,3305,Y,0,0,0,0,0,0,0,0,AC,599,8/5/2020,,
G36866,RELINQ,3347,Y,0,0,0,0,0,0,0,0,AC,600,8/5/2020,,
G36867,PRIMRY,27,Y,1,0,0,0,0,0,0,0,VR,153,7/17/2023 4:08:58 PM,,
G36868,RELINQ,60,Y,0,0,0,0,0,0,0,0,EI,281,8/5/2020,,
G36869,RELINQ,65,Y,0,0,0,0,0,0,0,0,EI,298,12/20/2022 2:10:15 PM,,
G36870,RELINQ,71,Y,0,0,0,0,0,0,0,0,EI,303,8/5/2020,,
G36871,RELINQ,95,Y,0,0,0,0,0,0,0,0,EI,344,8/5/2020,,
G36872,PRIMRY,92,Y,0,0,0,0,0,0,0,0,EI,345,8/5/2020,,
G36873,REJECT,1253,Y,0,0,0,0,0,0,0,0,VK,873,8/5/2020,,
G36874,RELINQ,838,Y,0,0,0,0,0,0,0,0,VK,952,8/5/2020,,
