SEGMENT_NUM,ORIG_ID_NAME,ORIG_AR_CODE,ORIG_BLK_NUM,ORIG_LSE_NUM,DEST_ID_NAME,DEST_AR_CODE,DEST_BLK_NUM,DEST_LSE_NUM,APPROVED_DATE,INIT_HS_DT,STATUS_CODE,PPL_SIZE_CODE,ROW_NUMBER,PROD_CODE,FACIL_OPERATOR,FACIL_OPERATOR_NAME,MAX_WTR_DPTH,MAOP_PRSS,CATHODIC_CODE,ROW_STATUS_CODE,SEG_LENGTH,AUTHCODE,BIDIR_FLAG,ABAN_APROV_DT,ABAN_DATE,OUT_OF_SERVICE_DATE,TEMP_CESS_DATE,FLUSH_AND_FILL_DATE
6077,#02,SS,   27, 00347,C-1,SS,   28, 00346,5/20/1981,5/26/1981,COMB,04,,BLKG,35,Kerr-McGee Corporation,0.0,1440.0,,,0.0,DOI,N,,,,,
1688,#03,EI,   32, 00196,A,EI,   32, 00196,,,DECP,02,,BLKG,3,Union Oil Company of California,0.0,1246.0,,,1700.0,DOI,N,,,,,
17613,A Platform,EI,  316,G05040,C Platform,EI,  315,G24912,7/30/2008,8/28/2008,COMB,02,G28507,SPLY,2579,Tana Exploration Company LLC,240.0,1480.0,,RELQ,0.0,DOI,N,,,,,
5501,A,VR,  242,G03133,20 SSTI,VR,  241,G03132,9/20/1979,8/1/1980,DECP,10,G04033,GAS,160,ANR PIPELINE COMPANY,125.0,1440.0,,RELQ,4346.0,DOT,N,,,,,
4018,A,EI,  307,G02110,12 SSTI,EI,  307,G02110,9/21/1976,1/23/1977,PABN,08,,OIL,2481,BP Exploration & Production Inc.,225.0,1152.0,,,3200.0,DOI,N,6/2/2022,,11/4/2018,,
9897,#06,SS,   27, 00347,#02,SS,   27, 00347,4/22/1993,9/23/2016,OUT,04,,BLKG,1284,"W & T Offshore, Inc.",12.0,1440.0,,,2729.0,DOI,N,,,9/3/2018,,10/25/2022
17358,Manifold APS P-41E-M,MC,  778,G09868,Manifold APS P-41E-M,MC,  778,G09868,11/20/2007,,DECR,12,,BLKO,2481,BP Exploration & Production Inc.,6275.0,10050.0,,,70.0,DOI,N,3/10/2010,5/18/2010,,,
11271,Platform C,SM,  229, 00310,Platform A,SM,  236, 00310,12/12/1996,1/1/1997,DECP,06,,BLKG,78,Chevron U.S.A. Inc.,22.0,1480.0,,,9325.0,DOI,N,10/25/2010,1/29/2011,2/15/2006,,2/15/2007
12628,TA003,GC,  200,G12209,A,EC,  373,,8/9/2000,11/2/2000,DECP,06,G21898,BLKG,59,Hess Corporation,1750.0,7218.0,,,76109.0,DOI,Y,10/5/2021,1/12/2023,,4/30/2022,6/12/2022
7635,S,WD,   32, 00367,Q,WD,   32, 00367,8/20/1985,,CNCL,02,,LIFT,276,Exxon Mobil Corporation,50.0,6000.0,,,7109.0,DOI,Y,,,,,
12072,SSW No.1,MC,  292,G08806,SS Manifold,MC,  292,G08806,3/22/1999,2/8/1999,DECR,04,,BLKG,2237,"Noble Energy, Inc.",3500.0,5100.0,,,64.0,DOI,N,1/22/2016,3/29/2016,9/15/2009,,3/9/2008
4015,CC,ST,   23, 00166,SB,ST,   23, 00166,7/26/1976,3/13/1980,DECR,02,,LIFT,78,Chevron U.S.A. Inc.,53.0,3600.0,,,6400.0,DOI,N,12/14/2000,,11/10/1997,,
9636,12 SSTI,SS,  233,G01528,B,SS,  233,G01528,5/15/1992,6/19/1992,ACT,08,,BLKO,1284,"W & T Offshore, Inc.",128.0,400.0,,,535.0,DOI,N,,,,,
4883,08 SSTI,HI,A 547,UNLEASE,10 SSTI,HI,A 546,UNLEASE,2/24/1978,12/22/1978,COMB,10,G05150,OIL,3198,"Panther Operating Company, LLC",0.0,2160.0,,RELQ,15734.0,DOT,N,,,,,
6432,Platform A,SS,  182,G03998,18-inch SSTI,SS,  169, 00820,6/17/1982,7/21/1982,ACT,06,G09321,OIL,2451,GOM Shelf LLC,68.0,1407.0,,,9254.0,DOI,N,,,,12/31/2021,
17037,Cais A,MO,  863,G05748,B,MO,  864,G05064,9/17/2008,10/27/1995,DECP,,G28308,BLGH,2899,Talos ERT LLC,,0.0,,RELQ,27497.0,DOI,N,,9/2/2011,,,
19444,UTH-1,MC,  127,G19925,Well Jumper SS001,MC,  127,G19925,10/28/2015,,OPMO,01,,LIFT,981,Anadarko Petroleum Corporation,5468.0,7000.0,,,208.0,DOI,N,,,,,
16030,Platform A,MC,  736,G27306,SUTA,MC,  734,G21778,6/19/2008,,ACT,06,G28270,UMB,2647,Murphy Exploration & Production Company - USA,6315.0,,,RELQ,33030.0,DOI,N,,,,,
7374,A,MP,   65,G05692,26 SSTI,MP,   57,G10895,1/9/1985,7/27/1985,DECP,04,G08292,GAS,10,"Southern Natural Gas Company, L.L.C.",46.0,1200.0,,RELQ,14645.0,DOT,N,5/20/1998,6/10/1998,,,
10457,A,MO,  960,G05760,A,MO,  959,G05759,11/28/1994,12/7/1994,DECP,10,,BLKG,1724,El Paso Production Company,59.0,2220.0,,,17008.0,DOI,N,3/13/2002,3/15/2002,,,
6867,#02,SS,   27, 00347,A,SS,   27, 00347,9/23/1983,9/26/1983,DECP,04,,BLKO,1284,"W & T Offshore, Inc.",12.0,1440.0,,,150.0,DOI,Y,10/18/1994,6/28/2019,,,
17525,Sled OL-3,AC,  857,G17565,Sled OL-2,AC,  857,G17565,9/18/2008,4/29/2009,ACT,08,,BLKO,689,Shell Offshore Inc.,8000.0,6800.0,,,99.0,DOI,N,,,,,
8198,#13,PL,   20, 00074,#09,PL,   20, 00074,9/25/1987,12/1/1987,COMB,03-04,,BLKO,1764,"Energy Resource Technology, Inc.",29.0,1440.0,,,0.0,DOI,N,,,,,
4551,F,WD,   29, 00385,B,WD,   29, 00385,,,DECP,04,,LIFT,2266,"EPL Oil & Gas, LLC",0.0,1440.0,,,2100.0,DOI,N,8/3/2009,9/30/2009,2/16/2004,,
9012,A,EC,  109,G08645,08 SSTI,VR,  101,G10658,4/20/1990,9/20/1990,DECP,10,G20552,G/C,2266,"EPL Oil & Gas, LLC",65.0,1440.0,,RELQ,5053.0,DOI,N,3/30/2012,9/3/2012,7/11/2011,,
11458,A,EW,  921,G12142,A,GI,  115,G10873,3/17/1999,8/30/1998,DECP,12,G18789,OIL,2361,Eni Petroleum US LLC,360.0,2220.0,,,103761.0,DOI,N,10/2/2018,2/6/2020,,,
3842,R,WD,   96,G01498,S,WD,   95,G01497,1/30/1973,3/30/1973,DECP,06,,BLKO,2451,GOM Shelf LLC,0.0,1440.0,,,6000.0,DOI,N,4/26/2007,8/12/2007,8/27/2005,,
18307,PLET,MC,  199,G32301,Platform A,MC,  243,G19931,3/2/2012,4/28/2012,OUT,05,G29093,BLKO,2058,"LLOG Exploration Offshore, L.L.C.",2810.0,3705.0,,,9720.0,DOI,N,,,,10/31/2023,
2150,10 SSTI,ST,  128, 00498,Prdt 2,ST,  151, 00463,4/24/1967,11/15/1967,OUT,10,,BLKO,2628,"Arena Offshore, LP",137.0,512.0,,,20746.0,DOI,N,,,,,5/10/2022
19163,Well 004,MC,  726,G24101,DC2 Manifold,MC,  726,G24101,7/7/2014,,ACT,06,,BLKO,59,Hess Corporation,4600.0,14009.0,,,75.0,DOI,N,,,,,
6275,A,PL,   12, 00072,#30,PL,   12, 00072,10/20/1981,,CNCL,03,,LIFT,1764,"Energy Resource Technology, Inc.",45.0,1440.0,,,3400.0,DOI,N,,,,,
16194,A-Front Runner,GC,  338,G21790,UTA,GC,  299,G15571,6/1/2012,,ACT,05,G28584,UMB,2647,Murphy Exploration & Production Company - USA,3500.0,,,,83923.0,DOI,N,,,,,
12571,A,VR,  376,G14428,06 SSTI w/12282,VR,  374,UNLEASE,6/22/2000,10/22/2000,DECP,06,G21874,OIL,2871,"Rooster Petroleum, LLC",310.0,1440.0,,RELQ,26233.0,DOI,N,5/2/2018,5/9/2021,,,
19102,Capped End,SX,   17,G04143,Capped End,SA,   10,G03958,,,DECP,08,,BLKG,105,Apache Corporation,42.0,3029.0,,,2280.0,DOI,N,1/22/2014,5/14/2015,,,
13711,03 SSTI,SS,   68,G02917,#01,SS,   68,G02917,4/1/2002,5/25/2002,DECP,02,,LIFT,105,Apache Corporation,37.0,1480.0,,,236.0,DOI,N,9/21/2010,12/10/2010,5/5/2005,,
8999,A,MP,  244,G05727,B,MP,  244,G05727,5/29/1990,8/23/1990,DECP,04,,BLKG,64,Hunt Oil Company,191.0,2220.0,,,7313.0,DOI,N,3/14/2000,4/20/2000,,,
17333,PLET(Southern Tie-in,GB,  302,G24479,A platform,GB,  260,G07462,4/17/2008,,OUT,07,G28420,CSNG,2219,Anadarko US Offshore LLC,2325.0,2.0,,,31654.0,DOI,N,,,12/15/2019,11/7/2024,
10493,Well #09,VR,   31,G02868,Platform A,VR,   31,G02868,1/24/1995,2/5/1995,DECP,03,,BLKG,2375,"Energy XXI GOM, LLC",14.0,3122.0,,,6384.0,DOI,N,7/10/2017,11/13/2017,8/16/1996,,
4957,A,BS,   53,G03340,D,MP,   42,G01367,3/1/1978,8/3/1978,PREM,08,G03646,OIL,2714,"Century Exploration New Orleans, LLC",43.0,1440.0,,,36879.0,DOI,N,,,,,
3358,#01,WC,  144,G01953,PP,WC,  144,G01953,7/8/1971,11/15/1971,DECP,02,,METH,105,Apache Corporation,0.0,0.0,,,2480.0,DOI,N,,,,,
14329,CPF,HI,  129,G01848,Caisson # 17,HI,  129,G01848,9/22/2003,12/19/2003,DECP,02,,SERV,105,Apache Corporation,51.0,1480.0,,,13356.0,DOI,Y,2/25/2014,10/19/2017,7/10/2012,,
1141,#04,SS,  204,G01520,A,SS,  204,G01520,,,DECP,03,,BLKO,1099,"Torch Energy Services, Inc.",0.0,2580.0,,,5300.0,DOI,N,,,,,
8112,#02,VR,   66,G04787,#01,VR,   66,G04787,8/4/1987,8/25/1987,DECP,04,,BLKG,687,CNOOC Petroleum U.S.A. Inc.,31.0,2160.0,,,414.0,DOI,N,6/22/2012,11/18/2012,1/29/2006,,8/15/2007
15221,SSW #1,EB,  157,G11412,A Plat,EB,  159,G02646,10/11/2005,12/4/2005,DECP,04-06,G26892,BLKG,2361,Eni Petroleum US LLC,1150.0,3705.0,,,38284.0,DOI,N,2/4/2021,3/24/2021,,,
15168,Production Manifold,MC,  711,G14016,A Platform,MC,  711,G14016,2/9/2006,10/14/2007,DECP,04-06,G26865,BLKO,1819,ATP Oil & Gas Corporation,2980.0,7500.0,,RELQ,3907.0,DOI,N,11/27/2013,6/11/2016,9/21/2013,,
12833,T,SP,   28, 00353,TT,SP,   28, 00353,,,DECP,06,,OIL,2266,"EPL Oil & Gas, LLC",27.0,,,,,DOI,N,6/10/2003,9/30/2003,,,
9483,C,SM,  261,G02306,B,SM,  261,G02306,8/20/1991,9/11/1991,COMB,04,,BLKG,2421,"Devon Energy Production Co., L.P.",33.0,2220.0,,,718.0,DOI,N,6/19/1995,9/11/1995,,,
17373,,,,,,,,,5/21/2008,,DECP,01,G28432,UMB,2579,Tana Exploration Company LLC,197.0,,,RELQ,23610.0,DOI,N,6/1/2016,11/16/2017,,,1/25/2017
11012,C,SM,   72,G01204,"30"" SSTI",SM,   71,G11911,6/3/1996,6/20/1996,ACT,06,G16045,G/C,1284,"W & T Offshore, Inc.",,1250.0,,,10169.0,DOI,N,,,,,
3344,B,EI,  196, 00802,24 SSTI,EI,  205, 00805,8/24/1972,8/22/1975,DECP,06,G01907S,GAS,207,"Sea Robin Pipeline Company, LLC",0.0,1440.0,,RELQ,2280.0,DOT,N,7/14/2011,8/15/2011,7/26/2010,,
21008,Future KC 829 Well SS004 (BHL),KC,  785,G25806,KC 785 Manifold,KC,  785,G25806,9/28/2023,,PROP,,,BLKO,2058,"LLOG Exploration Offshore, L.L.C.",6610.0,13500.0,,,80.0,DOI,N,,,,,
19981,Capped End,MP,   42, 00375,Platform H,MP,   42, 00375,,,DECR,04,,LIFT,3481,"Cantium, LLC",,1440.0,,,4408.0,DOI,N,8/21/2018,9/11/2018,,,
4571,#02,SS,  204,G01520,A,SS,  204,G01520,,,DECP,04,,BLKO,1099,"Torch Energy Services, Inc.",100.0,0.0,,,1500.0,DOI,N,,,,,
17106,Platform E,EI,  276,G00989,"6"" SSTI",EI,  275,G24910,7/30/2007,7/8/2008,ACT,04,G28345,GAS,2628,"Arena Offshore, LP",183.0,2220.0,,,14062.0,DOI,Y,,,,,
7298,A,VR,  315,G04215,06 SSTI,VR,  331,G02572,11/15/1984,12/11/1984,DECP,06,G07545,OIL,2630,"Dynamic Offshore Resources NS, LLC",212.0,1440.0,,,11230.0,DOI,N,9/3/2021,5/16/2022,,12/31/2021,
