DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,LEASE_NUMBER,AREA_CODE,BLOCK_NUMBER,DOC_TYPE,LEASE_EFF_DATE,LEASE_EXPR_DATE,ASGN_APRVL_DATE,MERG_CON_APRVL_DATE,DOC_BAR_CODE
221,Atlantic,9/15/2017 10:33:11 AM,1,621203,A00473,WM,6931.0,"Bid, Lease, Receipt, Relinquishment",11/1/2009,11/1/2014,,,REn000064
222,Atlantic,9/15/2017 10:33:59 AM,3,2410792,A00473,WM,6931.0,"Bid, Lease, Receipt, Relinquishment",11/1/2009,11/1/2014,,,REn000065
223,Atlantic,9/15/2017 10:36:58 AM,4,2231888,A00474,SB,6325.0,Bonds,11/1/2009,10/31/2014,,,REn000066
224,Atlantic,9/15/2017 10:37:49 AM,2,728585,A00474,SB,6325.0,Bonds,11/1/2009,10/31/2014,,,REn000067
226,Atlantic,9/15/2017 10:40:51 AM,4,2323389,A00475,WM,6936.0,Bonds,11/1/2009,10/12/2014,,,REn000069
227,Atlantic,9/15/2017 10:41:05 AM,2,726906,A00475,WM,6936.0,Bonds,11/1/2009,10/12/2014,,,REn000070
228,Atlantic,9/15/2017 10:41:36 AM,3,106900,A00478,PV,6582.0,Lease Status,11/1/2010,,,,REn000071
229,Atlantic,9/15/2017 10:42:05 AM,3,1345114,A00501,BI,6225.0,Bonds,4/1/2015,,,,REn000072
230,Atlantic,9/15/2017 10:42:34 AM,2,412051,A00501,BI,6225.0,"Merger, Change of Name",4/1/2015,,,8/29/2017,REn000073
321,Atlantic,10/10/2018 7:23:05 AM,1,173990,A00512,,,"Merger, Change of Name",,,,9/27/2018,REn000083
322,Atlantic,10/10/2018 7:23:33 AM,4,1973343,A00512,,,Bonds,,,,,REn000084
103,Atlantic,3/17/2010,24,980481,A00472,WM,7033.0,"Bid, Lease, Receipt, Relinquishment",11/1/2009,11/1/2014,,,REn000001
101,Atlantic,3/17/2010,24,972089,A00474,SB,6325.0,"Bid, Lease, Receipt, Relinquishment",11/1/2009,10/31/2014,,,REn000003
102,Atlantic,3/17/2010,24,979810,A00475,WM,6936.0,"Bid, Lease, Receipt, Relinquishment",11/1/2009,10/12/2014,,,REn000004
104,Atlantic,3/17/2010,24,980334,A00473,WM,6931.0,"Bid, Lease, Receipt, Relinquishment",11/1/2009,11/1/2014,,,REn000002
105,Atlantic,2/4/2011,56,2104477,A00478,PV,6530.0,"Bid, Lease, Receipt, Relinquishment",11/1/2010,,,,REn000005
161,Atlantic,8/22/2017 7:52:19 AM,0,513486,A00486,PV,7019.0,Lease Amendment,10/1/2013,,,,REn000022
162,Atlantic,8/22/2017 7:54:31 AM,5,528604,A00486,PV,7019.0,Bonds,10/1/2013,,,,REn000023
163,Atlantic,8/22/2017 7:57:49 AM,5,1065510,A00487,PV,7019.0,Bonds,10/1/2013,,,,REn000024
164,Atlantic,8/22/2017 7:58:44 AM,47,2991479,A00487,PV,7019.0,"Bid, Lease, Receipt, Relinquishment",10/1/2013,,,,REn000025
165,Atlantic,8/22/2017 8:00:25 AM,2,53291,A00487,PV,7019.0,Lease Amendment,10/1/2013,,,,REn000026
166,Atlantic,8/22/2017 8:01:09 AM,0,581124,A00487,PV,7019.0,Lease Amendment,10/1/2013,,,,REn000027
167,Atlantic,8/22/2017 8:06:05 AM,6,617756,A00489,SB,6623.0,Bonds,12/1/2014,,,,REn000028
168,Atlantic,8/22/2017 8:06:49 AM,48,3710250,A00489,SB,6623.0,"Bid, Lease, Receipt, Relinquishment",12/1/2014,,,,REn000029
169,Atlantic,8/22/2017 8:10:43 AM,7,662678,A00490,SB,6723.0,Bonds,12/1/2014,,,,REn000030
170,Atlantic,8/22/2017 8:11:50 AM,48,3594552,A00490,SB,6723.0,"Bid, Lease, Receipt, Relinquishment",12/1/2014,,,,REn000031
171,Atlantic,8/22/2017 8:21:31 AM,6,696257,A00495,BH,7054.0,Bonds,6/1/2014,5/31/2016,,,REn000032
172,Atlantic,8/22/2017 8:22:15 AM,26,2573200,A00495,BH,7054.0,"Bid, Lease, Receipt, Relinquishment",6/1/2014,5/31/2016,,,REn000033
173,Atlantic,8/22/2017 8:23:28 AM,3,888435,A00495,BH,7054.0,"Bid, Lease, Receipt, Relinquishment",6/1/2014,5/31/2016,,,REn000034
174,Atlantic,8/22/2017 8:25:34 AM,6,842836,A00497,CS,6111.0,Bonds,4/1/2015,,,,REn000035
175,Atlantic,8/22/2017 8:27:15 AM,3,353115,A00497,CS,6111.0,Designation of Operator,4/1/2015,,,,REn000036
176,Atlantic,8/22/2017 8:28:17 AM,36,3118212,A00497,CS,6111.0,"Bid, Lease, Receipt, Relinquishment",4/1/2015,,,,REn000037
177,Atlantic,8/22/2017 8:40:13 AM,8,3261263,A00498,SB,6081.0,Bonds,3/1/2016,,,,REn000038
178,Atlantic,8/22/2017 8:41:06 AM,51,1308034,A00498,SB,6081.0,"Bid, Lease, Receipt, Relinquishment",3/1/2016,,,,REn000039
401,Atlantic,8/16/2019 7:03:24 AM,2,536846,A00499,WM,6784.0,Bonds,,,,,REn000100
180,Atlantic,8/22/2017 8:44:44 AM,5,1600893,A00498,SB,6081.0,Record Title Assignment,3/1/2016,,5/10/2016,,REn000041
181,Atlantic,8/22/2017 8:45:38 AM,2,530623,A00498,SB,6081.0,Bonds,3/1/2016,,,,REn000042
182,Atlantic,8/22/2017 8:46:53 AM,6,915742,A00499,WM,6784.0,Bonds,3/1/2016,,,,REn000043
183,Atlantic,8/22/2017 8:47:32 AM,51,1236649,A00499,WM,6784.0,"Bid, Lease, Receipt, Relinquishment",3/1/2016,,,,REn000044
184,Atlantic,8/22/2017 8:48:46 AM,7,828500,A00500,BI,6269.0,Bonds,4/1/2015,,,,REn000045
185,Atlantic,8/22/2017 8:57:49 AM,51,4593289,A00500,BI,6269.0,"Bid, Lease, Receipt, Relinquishment",4/1/2015,,,,REn000046
187,Atlantic,8/22/2017 8:59:26 AM,5,2216207,A00500,BI,6269.0,Bonds,4/1/2015,,,,REn000048
188,Atlantic,8/22/2017 9:01:01 AM,8,2714877,A00500,BI,6269.0,Record Title Assignment,4/1/2015,,6/12/2015,,REn000049
189,Atlantic,8/22/2017 9:02:54 AM,2,157448,A00500,BI,6269.0,Bonds,4/1/2015,,,,REn000050
190,Atlantic,8/22/2017 9:03:49 AM,3,1731800,A00500,BI,6269.0,Bonds,4/1/2015,,,,REn000051
191,Atlantic,8/22/2017 9:04:35 AM,0,244692,A00500,BI,6269.0,"Merger, Change of Name",4/1/2015,,,9/16/2015,REn000052
192,Atlantic,8/22/2017 9:05:12 AM,6,534861,A00500,BI,6269.0,Bonds,4/1/2015,,,,REn000053
193,Atlantic,8/22/2017 9:06:23 AM,6,1349208,A00501,BI,6225.0,Bonds,4/1/2015,,,,REn000054
194,Atlantic,8/22/2017 9:08:06 AM,50,5344504,A00501,BI,6225.0,"Bid, Lease, Receipt, Relinquishment",4/1/2015,,,,REn000055
195,Atlantic,8/22/2017 9:12:49 AM,20,1316498,A00506,PV,,"Bid, Lease, Receipt, Relinquishment",12/1/2014,,,,REn000056
196,Atlantic,8/22/2017 9:14:22 AM,6,588621,A00506,PV,,Bonds,12/1/2014,,,,REn000057
197,Atlantic,8/22/2017 9:14:54 AM,6,677532,A00506,PV,,Bonds,12/1/2014,,,,REn000058
198,Atlantic,8/22/2017 9:15:59 AM,8,1063789,A00506,PV,,Record Title Assignment,12/1/2014,,1/29/2015,,REn000059
199,Atlantic,8/22/2017 9:16:44 AM,1,299948,A00506,PV,,Bonds,12/1/2014,,,,REn000060
421,Atlantic,8/20/2019 8:00:29 AM,5,3496317,A00499,WM,6889.0,Bonds,3/1/2016,,,,REn000101
202,Atlantic,8/22/2017 9:18:18 AM,6,2691663,A00512,NY,6759.0,Bonds,4/1/2017,,,,REn000062
203,Atlantic,8/22/2017 9:19:05 AM,57,2241637,A00512,NY,6759.0,"Bid, Lease, Receipt, Relinquishment",4/1/2017,,,,REn000063
422,Atlantic,8/20/2019 8:01:10 AM,6,3495305,A00499,WM,6889.0,Bonds,3/1/2016,,,,REn000102
423,Atlantic,8/20/2019 8:01:44 AM,5,2123796,A00499,WM,6889.0,Record Title Assignment,3/1/2016,,8/13/2019,,REn000103
