AREA_CODE,BLOCK_NUMBER,FIELD_NAME_CODE,STRUCTURE_NAME,STRUCTURE_NUMBER,STRUC_TYPE_CODE,BUS_ASC_NAME,COMPLEX_ID_NUM,MAJ_STRUC_FLAG,INSTALL_DATE,REMOVAL_DATE,DISTRICT_CODE,HELIPORT_FLAG,LEASE_NUMBER,WATER_DEPTH,LATITUDE,LONGITUDE,NAD_YEAR_CD,PROJ_CODE,PTFRM_X_LOCATION,PTFRM_Y_LOCATION,SURF_N_S_DIST,SURF_N_S_CODE,SURF_E_W_DIST,SURF_E_W_CODE,ATTENDED_8_HR_FL,MANNED_24_HR_FL,STE_CLRNCE_DATE
EC,  299,EC299,B,2,WP,Apache Corporation,23015,N,1/1/1985,5/31/2016,5,N,G05391,185,28.300946,-92.984086,27.0,72.0,1468590.95,-129181.58,2166,N,3349,W,N,N,8/22/2016
EC,  278,EC265,B,1,FIXED,Apache Corporation,23142,Y,1/1/1985,10/6/2022,5,Y,G00974,174,28.428907,-92.87816,27.0,72.0,1503316.09,-83121.44,380,N,6200,E,N,N,
EC,  278,EC265,C,1,FIXED,Apache Corporation,23336,Y,1/1/1989,11/8/2022,5,Y,G00974,177,28.400153,-92.885666,27.0,72.0,1500761.09,-93545.48,3954,S,8755,E,N,N,
VR,  284,VR284,B,2,FIXED,Apache Corporation,23370,N,1/1/1995,1/27/2009,5,Y,G09508,186,28.42951879,-92.48986041,27.0,72.0,1628157.12,-84370.48,3486,N,4467,E,Y,Y,7/6/2011
VR,  284,VR284,A,1,FIXED,Apache Corporation,23370,Y,1/1/1990,10/9/2010,5,Y,G09508,186,28.42984,-92.489886,27.0,72.0,1628150.12,-84253.47,3369,N,4474,E,Y,Y,7/6/2011
EC,   14,EC014,12,1,CAIS,Apache Corporation,23387,N,1/1/1990,10/16/2023,5,N,G01440,32,29.594023,-92.907313,27.0,72.0,1499763.04,340664.95,4577,N,5005,W,N,N,6/29/2024
VR,  325,VR320,B (REMOVED),1,FIXED,Apache Corporation,24037,Y,7/24/1992,1/17/1998,5,N,G02089,213,28.252036,-92.547623,27.0,72.0,1608902.02,-148726.71,5948,S,5794,W,N,N,7/23/1998
VR,  112,VR112,15,1,CAIS,Apache Corporation,24047,N,2/28/1993,8/9/2009,5,N,G10659,53,29.092308,-92.204229,27.0,72.0,1721822.41,155844.28,600,S,650,W,N,N,11/5/2009
EC,   48,EC064,K,1,CAIS,Apache Corporation,24049,Y,1/1/1993,2/9/2008,5,Y, 00768,50,29.428063,-92.927343,27.0,72.0,1492558.04,280409.76,5800,N,2200,E,N,N,7/18/2008
VR,  257,VR257,A,1,WP,Apache Corporation,24052,N,8/26/1993,8/13/2000,5,Y,G08671,150,28.543794,-92.42523,27.0,72.0,1649332.17,-43015.33,6405,N,1950,W,N,N,9/1/2000
VR,   41,VR041,1 (REMOVED),1,CAIS,Apache Corporation,24054,N,8/28/1993,11/11/1997,5,Y,G09489,45,29.373386,-92.592254,27.0,72.0,1599008.02,259200.62,650,S,4100,E,N,N,12/10/1997
HI,   52,HI052,A,1,FIXED,Apache Corporation,10003,Y,1/1/1955,11/6/2015,4,Y, 00509,44,29.44884,-94.157704,27.0,71.0,3540636.81,619280.0,6400,N,1481,W,N,N,12/19/2015
HI,A 573,HI573A,A,1,FIXED,Apache Corporation,10058,Y,1/1/1975,,4,Y,G02393,327,27.925918,-93.944508,27.0,71.0,3632354.81,68953.0,2327,N,1841,E,N,N,
HI,A 350,HI370A,A,1,FIXED,Apache Corporation,10062,Y,1/1/1976,7/9/2016,4,Y,G02428,305,28.018835,-93.458538,27.0,71.0,3787555.81,109810.0,6850,S,10800,W,N,N,12/28/2016
HI,A 573,HI573A,B,1,FIXED,Apache Corporation,10066,Y,1/1/1975,,4,Y,G02393,336,27.90341,-93.958929,27.0,71.0,3628053.81,60575.0,5135,S,6142,E,Y,N,
HI,A 572,HI573A,C,1,FIXED,Apache Corporation,10073,Y,1/1/1976,4/27/2010,4,Y,G02392,295,27.945742,-93.971435,27.0,71.0,3623355.81,75780.0,4500,S,5000,W,N,N,9/14/2011
HI,  179,HI179,A,1,FIXED,Apache Corporation,10082,Y,1/1/1976,,4,Y,G03236,54,29.180518,-94.521214,27.0,71.0,3428775.81,517184.0,2384,S,500,W,N,N,
HI,A 595,HI573A,D,1,FIXED,Apache Corporation,10140,Y,1/1/1980,,4,Y,G02721,395,27.867269,-93.991029,27.0,71.0,3618255.81,47000.0,7400,S,100,E,Y,N,
HI,A 595,HI573A,CF,2,FIXED,Apache Corporation,10140,N,1/1/1983,,4,Y,G02721,395,27.866694,-93.991113,27.0,71.0,3618237.81,46790.0,7190,S,118,E,Y,N,
HI,A 376,HI376A,A,1,FIXED,Apache Corporation,10175,Y,1/1/1981,,4,Y,G02754,328,27.961968,-93.67089,27.0,71.0,3720045.81,85970.0,1150,N,6650,W,Y,N,
HI,A   6,HI006A,A,1,FIXED,Apache Corporation,10232,Y,9/1/1980,1/12/2009,4,Y,G04734,59,29.150203,-94.047436,27.0,71.0,3580295.81,512266.0,2534,N,6380,E,N,N,5/1/2009
HI,  129,HI129,9,1,WP,Apache Corporation,10246,N,1/1/1984,8/12/2005,4,Y,G01848,50,29.262841,-93.817417,27.0,71.0,3651830.81,556359.0,5961,N,1795,W,N,N,5/29/2006
HI,A 596,HI573A,E,1,FIXED,Apache Corporation,10265,Y,1/1/1985,,4,Y,G02722,348,27.886119,-93.984389,27.0,71.0,3620105.81,53940.0,1500,N,1750,W,N,N,
HI,A 571,HI571A,C,1,FIXED,Apache Corporation,10270,N,1/1/1985,7/8/2007,4,N,G02391,292,27.946461,-93.999609,27.0,71.0,3614254.81,75651.0,4371,S,4101,E,N,N,7/8/2007
HI,A 382,HI573A,F,1,FIXED,Apache Corporation,10300,Y,1/1/1986,,4,Y,G02757,345,27.913191,-93.9351,27.0,71.0,3635590.81,64461.0,6819,N,1395,W,N,N,
HI,A 171,HI171A,A,1,WP,Apache Corporation,10435,N,1/1/1987,2/16/1997,4,N,G09104,60,29.156633,-93.833119,27.0,71.0,3648534.81,517560.0,2760,S,1501,E,N,N,2/16/1997
HI,  194,HI194,JA,1,FIXED,Apache Corporation,10445,Y,7/21/1989,10/20/2014,4,Y,G06166,55,29.129526,-94.466885,27.0,71.0,3446816.81,499326.0,366,S,2701,W,N,N,10/29/2014
HI,  164,HI164,1,1,CAIS,Apache Corporation,10455,N,1/1/1988,2/19/1997,4,N,G07279,55,29.203508,-93.950803,27.0,71.0,3610274.81,532947.0,2307,S,7759,W,N,N,2/19/1997
HI,  196,HI196,1,1,CAIS,Apache Corporation,10463,N,1/1/1989,9/29/2011,4,N,G06168,53,29.12703275,-94.37351859,27.0,71.0,3476636.81,499587.0,627,S,841,W,N,N,10/15/2011
BA,  491,BA491,A,1,FIXED,Apache Corporation,10464,Y,1/1/1988,,4,Y,G06069,70,28.396653,-95.861906,27.0,71.0,3008852.81,218362.0,4522,S,7583,E,N,N,
BA,  494,BA494,A,1,FIXED,Apache Corporation,10469,Y,1/1/1989,7/9/2005,4,Y,G06071,84,28.413234,-95.714775,27.0,71.0,3055971.81,225687.0,3993,N,7984,E,N,N,10/14/2005
HI,A 537,HI537A,D,1,FIXED,Apache Corporation,10480,N,1/1/1989,5/26/2013,4,N,G02698,215,28.037959,-94.394491,27.0,71.0,3485535.81,103660.0,700,S,6100,E,N,N,7/3/2013
GA,  333,GA333,A,1,FIXED,Apache Corporation,10539,Y,1/1/1991,10/10/2012,4,Y,G06104,66,28.78479137,-95.20656195,27.0,71.0,3214892.81,365650.0,6590,N,7463,E,N,N,11/17/2012
SX,   17,SA017,JB,1,WP,Apache Corporation,10145,N,1/1/1980,12/31/1985,4,N,G04143,39,29.533015,-93.796312,27.0,71.0,3654183.75,654794.0,13274,S,4148,W,N,N,12/31/1985
WC,   71,WC071,E,1,FIXED,Apache Corporation,21137,Y,1/1/1970,7/6/2006,5,Y, 00244,37,29.608013,-93.134742,27.0,72.0,1427567.8,346816.09,2700,N,6600,W,N,N,10/30/2006
WC,   71,WC071,E-FLR,2,CAIS,Apache Corporation,21137,N,1/1/1970,7/6/2006,5,Y, 00244,37,29.6082888,-93.13470636,,,1427580.808,346916.096,2600,N,6613,W,N,N,10/30/2006
WC,   71,WC071,D,1,FIXED,Apache Corporation,21138,Y,1/1/1970,5/31/2023,5,Y, 00244,38,29.592809,-93.148724,27.0,72.0,1423037.8,341358.04,6600,S,2070,W,N,N,7/12/2023
WC,   71,WC071,QTR,2,FIXED,Apache Corporation,21138,N,1/1/1982,5/17/2023,5,Y, 00244,38,29.592809,-93.148724,27.0,72.0,1423037.8,341358.04,6600,S,2070,W,N,N,7/12/2023
WC,   71,WC071,D-AUX,3,FIXED,Apache Corporation,21138,Y,1/1/1985,5/8/2023,5,Y, 00244,38,29.592809,-93.148724,27.0,72.0,1423037.8,341358.04,6600,S,2070,W,N,N,7/12/2023
WC,   71,WC071,28,4,FIXED,Apache Corporation,21138,Y,1/1/1986,5/8/2023,5,Y, 00244,38,29.592441,-93.148638,27.0,72.0,1423062.8,341224.04,6466,S,2095,W,N,N,7/12/2023
WC,  110,WC110,A-AUX1,2,FIXED,Apache Corporation,21142,Y,1/1/1958,,5,Y, 00081,40,29.51829,-93.284043,27.0,72.0,1379573.66,314971.0,5102,N,2854,W,N,N,
WC,  110,WC110,A,1,FIXED,Apache Corporation,21142,Y,1/1/1955,,5,Y, 00081,40,29.518285,-93.284358,27.0,72.0,1379473.66,314971.0,5029,N,2780,W,N,N,
WC,  110,WC110,H,3,FIXED,Apache Corporation,21142,N,12/1/2006,,5,Y, 00081,40,29.51904121,-93.28400419,27.0,72.0,1379590.664,315244.0,5062,N,2913,W,N,N,
WC,   68,WC068,B,1,FIXED,Apache Corporation,21267,Y,1/1/1961,5/19/2009,5,Y, 00526,33,29.6313309,-93.04941561,27.0,72.0,1454806.904,354878.096,5362,S,4323,W,N,N,11/12/2009
WC,  110,WC110,E,1,FIXED,Apache Corporation,21402,Y,1/1/1969,10/17/2023,5,Y, 00081,41,29.496524,-93.281199,27.0,72.0,1380343.66,307041.95,1800,S,3650,W,N,N,
WC,  144,WC180,A,1,FIXED,Apache Corporation,21442,Y,1/1/1971,7/23/2019,5,N,G01953,45,29.42184914,-93.16507478,27.0,72.0,1416977.22,279582.82,3857,S,3991,E,N,N,7/10/2023
WC,  144,WC180,B,2,FIXED,Apache Corporation,21442,Y,1/1/1971,10/12/2022,5,N,G01953,45,29.422795,-93.165092,27.0,72.0,1416867.26,279673.08,3947,S,4101,E,N,N,7/10/2023
WC,  144,WC180,9,3,CAIS,Apache Corporation,21442,N,1/1/1979,7/23/2019,5,N,G01953,45,29.42304076,-93.16485979,27.0,72.0,1416923.17,279714.02,3988,S,4045,E,N,N,7/10/2023
WC,  144,WC180,C,4,FIXED,Apache Corporation,21442,N,1/1/1985,7/23/2019,5,N,G01953,45,29.422676,-93.165112,27.0,72.0,1416900.75,279587.66,3862,S,4067,E,N,N,7/10/2023
WC,  144,WC180,1,1,CAIS,Apache Corporation,21466,N,1/1/1970,5/3/2005,5,N,G01953,45,29.41615,-93.166073,27.0,72.0,1416496.8,277214.85,1489,S,4471,E,N,N,6/24/2005
WC,  102,WC071,G,1,FIXED,Apache Corporation,21700,Y,1/1/1973,,5,Y, 00247,42,29.55915936,-93.14566008,27.0,72.0,1423817.808,329108.048,5650,N,2850,W,N,N,
WC,  102,WC071,H,2,FIXED,Apache Corporation,21700,N,1/1/1984,,5,Y, 00247,42,29.559392,-93.145696,27.0,72.0,1423807.8,329193.04,5565,N,2840,W,N,N,
WC,  102,WC071,G-AUX,3,FIXED,Apache Corporation,21700,Y,1/1/1990,,5,Y, 00247,42,29.55898,-93.145858,27.0,72.0,1423753.8,329044.04,5714,N,2786,W,N,N,
WC,  102,WC071,6,1,FIXED,Apache Corporation,21701,Y,1/1/1972,11/1/2011,5,Y, 00247,39,29.552277,-93.136955,27.0,72.0,1426545.8,326562.04,8196,N,5578,W,N,N,4/20/2012
WC,  102,WC071,2,1,FIXED,Apache Corporation,21702,Y,1/1/1972,8/30/2023,5,Y, 00247,39,29.561879,-93.126259,27.0,72.0,1430000.8,330000.04,4758,N,9033,W,N,N,
WC,  102,WC071,3,1,FIXED,Apache Corporation,21703,N,1/1/1972,11/22/2011,5,Y, 00247,39,29.557947,-93.130627,27.0,72.0,1428589.8,328592.04,6166,N,7622,W,N,N,4/10/2012
WC,   66,WC066,A,1,FIXED,Apache Corporation,21755,Y,1/1/1976,,5,Y,G01860,31,29.652047,-93.121848,27.0,72.0,1431914.85,362762.14,1512,N,3811,E,N,N,
WC,   71,WC071,12,1,FIXED,Apache Corporation,21949,N,1/1/1978,8/23/2012,5,Y, 00244,39,29.612035,-93.148273,27.0,72.0,1423291.8,348346.09,1170,N,2324,W,N,N,1/25/2013
