SN_APM_QA,SN_APM_FK,QUESTION_NUM,QUESTION
-36472,-14889,1,"Is H2S present in the well? If yes, then comment on the inclusion of a Contingency Plan for this operation."
-36473,-14889,2,"Is this proposed operation the only lease holding activity for the subject lease? If yes, then comment."
-36474,-14889,3,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
-36475,-14889,4,"Has approval been obtained to commingle sands for this completion? If yes, then comment."
-36476,-14889,5,"Will the completed interval be within 500 feet of a block line? If yes, then comment."
-36477,-14889,6,"For permanent abandonment, will casings be cut 15 feet below the mudline? If no, then comment."
-36494,-14906,1,"Is H2S present in the well? If yes, then comment on the inclusion of a Contingency Plan for this operation."
-36495,-14906,2,"Is this proposed operation the only lease holding activity for the subject lease? If yes, then comment."
-36496,-14906,3,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
-36497,-14906,4,"Has approval been obtained to commingle sands for this completion? If yes, then comment."
-36498,-14906,5,"Will the completed interval be within 500 feet of a block line? If yes, then comment."
-36499,-14906,6,"For permanent abandonment, will casings be cut 15 feet below the mudline? If no, then comment."
-36794,-15086,1,"Is H2S present in the well? If yes, then comment on the inclusion of a Contingency Plan for this operation."
-36795,-15086,2,"Is this proposed operation the only lease holding activity for the subject lease? If yes, then comment."
-36796,-15086,3,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
-36797,-15086,4,"Has approval been obtained to commingle sands for this completion? If yes, then comment."
-36798,-15086,5,"Will the completed interval be within 500 feet of a block line? If yes, then comment."
-36799,-15086,6,"For permanent abandonment, will casings be cut 15 feet below the mudline? If no, then comment."
-36800,-15087,1,"Is H2S present in the well? If yes, then comment on the inclusion of a Contingency Plan for this operation."
-36801,-15087,2,"Is this proposed operation the only lease holding activity for the subject lease? If yes, then comment."
-36802,-15087,3,"Will all wells in the well bay and related production equipment be shut-in when moving on to or off of an offshore platform, or from well to well on the platform? If not, please explain."
-36803,-15087,4,"Has approval been obtained to commingle sands for this completion? If yes, then comment."
-36804,-15087,5,"Will the completed interval be within 500 feet of a block line? If yes, then comment."
-36805,-15087,6,"For permanent abandonment, will casings be cut 15 feet below the mudline? If no, then comment."
-36818,-15090,1,"Is H2S present in the well? If yes, then comment on the inclusion of a Contingency Plan for this operation."
