PLAN_CTRL_CD,PLAN_CTRL_NUM,PLAN_SUB_CODE,PLAN_SUB_RECV_DT,DEEMED_SUBMITTED_DATE,NEPA_DETER_TYPE,PLAN_FNL_ACTN_CD,PLAN_FNL_ACTN_DT
N,7518,I,7/30/2002,8/13/2002,CERA,A,10/29/2002
N,7519,I,7/30/2002,8/2/2002,CER,X,8/2/2002
S,5998,I,7/30/2002,8/13/2002,CERA,A,9/10/2002
N,7514,A,7/30/2002,8/13/2002,CERA,A,8/29/2002
S,5980,A,7/30/2002,8/23/2002,CERA,A,8/23/2002
S,5974,A,7/30/2002,8/14/2002,CERA,A,8/15/2002
N,7403,A,7/15/2002,7/29/2002,CERA,M,8/28/2002
S,5999,I,7/31/2002,8/15/2002,CERA,A,8/15/2002
N,7521,I,7/31/2002,8/28/2002,CERA,A,9/20/2002
N,7484,A,7/31/2002,8/14/2002,SEAE,C,10/25/2002
N,7469,A,7/30/2002,8/15/2002,,A,3/12/2003
R,3829,I,7/24/2002,8/5/2002,CERA,A,8/5/2002
S,5974,A,8/1/2002,8/14/2002,CERA,A,8/15/2002
S,5975,A,7/31/2002,8/16/2002,CERA,A,8/16/2002
S,6001,I,8/1/2002,8/16/2002,CERA,A,8/16/2002
S,5981,A,7/30/2002,8/12/2002,,A,8/12/2002
S,6002,I,8/2/2002,8/30/2002,CERA,A,9/18/2002
S,6003,I,8/2/2002,8/28/2002,CERA,A,8/28/2002
N,7522,I,8/2/2002,8/30/2002,CERA,A,9/19/2002
N,7483,A,7/31/2002,8/9/2002,SEAE,C,10/25/2002
R,3830,I,7/24/2002,8/2/2002,,A,8/2/2002
S,5983,A,7/25/2002,8/8/2002,CERA,A,8/8/2002
N,7512,I,7/25/2002,8/6/2002,CERA,A,8/6/2002
N,7429,A,7/25/2002,8/2/2002,,A,8/7/2002
N,7513,I,7/25/2002,8/8/2002,CERA,A,9/11/2002
N,7514,I,7/25/2002,8/8/2002,CERA,A,8/29/2002
S,5994,I,7/25/2002,7/30/2002,CERA,A,7/30/2002
R,3828,A,7/25/2002,8/23/2002,CERA,A,9/12/2002
N,7505,I,7/18/2002,8/1/2002,CERA,A,8/15/2002
N,7509,A,7/26/2002,8/9/2002,,A,8/15/2002
S,5780,P,7/26/2002,8/9/2002,,A,2/10/2003
N,7515,I,7/26/2002,8/9/2002,CER,A,8/30/2002
S,5992,I,7/24/2002,8/21/2002,CERA,A,9/9/2002
N,7488,A,7/26/2002,7/29/2002,,A,8/7/2002
S,5993,I,7/25/2002,8/5/2002,CERA,A,8/5/2002
R,3828,I,7/22/2002,8/19/2002,CERA,A,9/12/2002
R,3831,I,7/25/2002,8/1/2002,CERA,A,8/1/2002
S,5996,I,7/29/2002,8/6/2002,CERA,A,8/13/2002
N,7403,M,6/13/2002,6/27/2002,CERA,A,12/20/2002
N,7517,I,7/29/2002,8/26/2002,CER,A,9/10/2002
S,5991,I,7/24/2002,8/7/2002,CERA,A,10/22/2002
S,5949,A,7/29/2002,8/14/2002,CERA,A,8/14/2002
N,7508,A,7/30/2002,8/13/2002,,A,8/29/2002
N,7474,A,7/18/2002,8/5/2002,CERA,A,8/5/2002
S,5986,I,7/18/2002,8/15/2002,CERA,A,9/4/2002
N,7506,I,7/18/2002,8/1/2002,PEAG,A,3/14/2003
N,7507,I,7/18/2002,8/1/2002,CERA,A,8/23/2002
N,7483,A,7/15/2002,8/1/2002,SEAE,C,10/25/2002
S,5744,P,7/8/2002,7/18/2002,,A,7/18/2002
N,7265,P,12/31/2001,1/16/2002,,A,1/24/2002
N,7284,P,5/30/2002,6/5/2002,,A,6/5/2002
N,7498,I,7/8/2002,8/5/2002,CERA,A,10/1/2002
S,5987,I,7/22/2002,8/5/2002,CERA,A,9/12/2002
N,7508,I,7/22/2002,8/5/2002,CERA,A,8/29/2002
N,7509,I,7/22/2002,8/5/2002,CERA,A,8/15/2002
N,7441,A,7/22/2002,8/19/2002,,A,10/17/2002
N,7492,A,7/22/2002,8/19/2002,,A,10/1/2002
N,7458,A,7/19/2002,8/19/2002,,A,8/20/2002
S,5988,I,7/22/2002,8/19/2002,CERA,A,10/23/2002
N,7424,A,6/24/2002,8/19/2002,,A,9/19/2002
S,5940,A,7/22/2002,8/19/2002,SEAH,A,1/9/2003
S,5879,A,7/17/2002,7/23/2002,,A,7/23/2002
S,5989,I,7/23/2002,8/20/2002,CERA,A,8/28/2002
