API_WELL_NUMBER,WELL_NAME,WELL_NAME_SUFFIX,BOTM_LEASE_NUMBER,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,COMPANY_NAME,WELL_SPUD_DATE,BH_TOTAL_MD,WELL_BORE_TVD,WELL_TD_SS,RKB_ELEVATION,WELL_BP_ST_KICKOFF_MD,TOTAL_DEPTH_DATE,BOREHOLE_STAT_DT,WELL_TYPE_CODE,BOREHOLE_STAT_CD,CASING_CUT_CODE,WATER_DEPTH,UNDWTR_COMP_STUB,SURF_LEASE_NUMBER,SURF_LATITUDE,SURF_LONGITUDE,BOTM_LATITUDE,BOTM_LONGITUDE,REGION_CODE,SN_APD,MMS_COMPANY_NUM,KICKOFF_POINT_MD,WELL_NM_BP_SFIX,WELL_NM_ST_SFIX,PERMIT_TYPE,PRP_RKB_ELEV,MINERAL_CODE,REQ_SPUD_DATE,SUBSEA_BOP_FLAG,DRIVE_DEPTH,DRIVE_SIZE,SURF_AREA_CODE,SURF_BLOCK_NUMBER,SURF_STATE_LEASE_NUM,SURF_X_COORD_LOC,SURF_Y_COORD_LOC,SURF_E_W_DISTANCE,SURF_E_W_CODE,SURF_N_S_DISTANCE,SURF_N_S_CODE,BOTM_STATE_LEASE_NUM,SV_PLAN_CTRL_CD,SV_PLAN_CTRL_NUM,SV_SURF_LEASE_NUM,SV_SURF_AREA_CODE,SV_SURF_BLOCK_NUM,SV_WELL_NAME,BV_PLAN_CTRL_CD,BV_PLAN_CTRL_NUM,BV_BOTM_LEASE_NUM,BV_BOTM_AREA_CODE,BV_BOTM_BLOCK_NUM,BV_WELL_NAME,RIG_ANCHOR_FLAG,RIG_NAME,RIG_TYPE_CODE,RIG_ID_NUM,RIG_FUNC_CODE,CONSTRUCTION_YR,SHIPYARD_NAME,REFURBISHED_YR,RATED_WTR_DEPTH,RATE_DRIL_DEPTH,ABS_CERT_EXPR_DT,CG_CERT_EXPR_DT,SAFE_BRN_APRV_DT,SAFE_BURN_DIST,SAFE_BRN_RMK,BUS_ASC_NAME,APD_SUB_STATUS_DT,APD_STATUS_DT
177244085202,DA010,ST02BP00,G01315,MP,298,"Cantium, LLC",10/25/2013,8825,7803,7657,146.0,3190,11/13/2013,12/16/2013,D,COM,N,217.0,N,G01316,29.26050111,-88.74726917,29.26963701,-88.74327777,G,-13786,78,3174.0,0,2,Revised Sidetrack,146,H,9/15/2013,N,576.0,26.0,MP,299,,2824587.001881,225254.004222,403,E,8576,N,,S,3948.0,G01316,MP,  299,DA-10,S,3948.0,G01315,MP,  298,DA-10,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,10/29/2013 2:33:40 PM,10/29/2013 3:53:36 PM
177104166200, C019,ST00BP00,G02323,EI,  360,"Array Petroleum, LLC",1/11/2014,9124,4464,4331,133.0,,4/2/2014,6/8/2014,D,COM,N,307.0,N,G02323,28.11713184,-91.66945614,28.09967224,-91.66205204,G,-13671,78,,0,0,New Well,131,H,11/15/2013,N,700.0,24.0,EI,360,,1891596.098622,-199709.035389,3249,E,5647,N,,R,5987.0,G02323,EI,  360,C-19,R,5987.0,G02323,EI,  360,C-19,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,10/16/2013 9:43:54 AM,11/13/2013 1:03:52 PM
177244026601, A009,ST01BP00,G04127,MP,313,"Cantium, LLC",11/25/2014,10838,8850,8697,153.0,5813,11/29/2014,12/12/2014,D,COM,N,270.0,N,G04127,29.12655388,-88.77935944,29.12846688,-88.76270494,G,-13647,78,5812.0,0,1,Sidetrack,155,H,11/1/2014,N,598.0,30.0,MP,313,,2815442.067294,176327.961857,7098,E,5630,S,,R,5991.0,G04127,MP,  313,A-9,R,5991.0,G04127,MP,  313,A-9,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,7/25/2014 9:31:28 AM,11/14/2014 4:01:47 PM
177244068903,BB008,ST03BP00,G01316,MP,299,"Cantium, LLC",7/26/2013,9768,7321,7163,158.0,3371,7/31/2013,9/12/2013,D,COM,N,216.0,N,G01316,29.2572564,-88.77302334,29.2443626,-88.77104894,G,-13534,78,3270.0,0,3,Revised Sidetrack,145,H,7/1/2013,N,581.0,26.0,MP,299,,2816403.002053,223890.006253,1948,W,8918,S,,S,3047.0,G01316,MP,  299,BB-8,S,3047.0,G01316,MP,  299,BB-8,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,8/22/2013 7:23:54 AM,8/23/2013 1:19:10 PM
177244068903,BB008,ST03BP00,G01316,MP,299,"Cantium, LLC",7/26/2013,9768,7321,7163,158.0,3371,7/31/2013,9/12/2013,D,COM,N,216.0,N,G01316,29.2572564,-88.77302334,29.2443626,-88.77104894,G,-13497,78,3270.0,0,3,Revised Sidetrack,145,H,7/1/2013,N,581.0,26.0,MP,299,,2816403.002053,223890.006253,1948,W,8918,S,,S,3047.0,G01316,MP,  299,BB-8,S,3047.0,G01316,MP,  299,BB-8,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,8/13/2013 3:09:40 PM,8/13/2013 3:32:33 PM
177244068903,BB008,ST03BP00,G01316,MP,299,"Cantium, LLC",7/26/2013,9768,7321,7163,158.0,3371,7/31/2013,9/12/2013,D,COM,N,216.0,N,G01316,29.2572564,-88.77302334,29.2443626,-88.77104894,G,-13494,78,3270.0,0,3,Revised Sidetrack,145,H,7/1/2013,N,581.0,26.0,MP,299,,2816403.002053,223890.006253,1948,W,8918,S,,S,3047.0,G01316,MP,  299,BB-8,S,3047.0,G01316,MP,  299,BB-8,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,8/13/2013 2:01:47 PM,8/13/2013 2:46:58 PM
177244068903,BB008,ST03BP00,G01316,MP,299,"Cantium, LLC",7/26/2013,9768,7321,7163,158.0,3371,7/31/2013,9/12/2013,D,COM,N,216.0,N,G01316,29.2572564,-88.77302334,29.2443626,-88.77104894,G,-13479,78,3270.0,0,3,Revised Sidetrack,145,H,7/1/2013,N,581.0,26.0,MP,299,,2816403.002053,223890.006253,1948,W,8918,S,,S,3047.0,G01316,MP,  299,BB-8,S,3047.0,G01316,MP,  299,BB-8,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,8/8/2013 9:45:46 AM,8/8/2013 10:02:12 AM
177244068903,BB008,ST03BP00,G01316,MP,299,"Cantium, LLC",7/26/2013,9768,7321,7163,158.0,3371,7/31/2013,9/12/2013,D,COM,N,216.0,N,G01316,29.2572564,-88.77302334,29.2443626,-88.77104894,G,-13469,78,3270.0,0,3,Revised Sidetrack,145,H,7/1/2013,N,581.0,26.0,MP,299,,2816403.002053,223890.006253,1948,W,8918,S,,S,3047.0,G01316,MP,  299,BB-8,S,3047.0,G01316,MP,  299,BB-8,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,8/6/2013 1:02:34 PM,8/6/2013 3:44:21 PM
177244068903,BB008,ST03BP00,G01316,MP,299,"Cantium, LLC",7/26/2013,9768,7321,7163,158.0,3371,7/31/2013,9/12/2013,D,COM,N,216.0,N,G01316,29.2572564,-88.77302334,29.2443626,-88.77104894,G,-13455,78,3270.0,0,3,Revised Sidetrack,145,H,7/1/2013,N,581.0,26.0,MP,299,,2816403.002053,223890.006253,1948,W,8918,S,,S,3047.0,G01316,MP,  299,BB-8,S,3047.0,G01316,MP,  299,BB-8,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,8/2/2013 2:17:27 PM,8/2/2013 5:44:05 PM
177244067701,BB007,ST01BP00,G01316,MP,299,"Cantium, LLC",6/19/2013,8330,6462,6304,158.0,2857,6/25/2013,7/17/2013,D,COM,N,210.0,N,G01316,29.25729168,-88.77300028,29.25210928,-88.77684568,G,-13346,78,2810.0,0,1,Revised Sidetrack,145,H,5/25/2013,N,589.0,24.0,MP,299,,2816410.000122,223903.005886,1955,W,8931,S,,R,5806.0,G01316,MP,  299,BB-7ST01,R,5806.0,G01316,MP,  299,BB-7ST01,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,7/2/2013 8:42:23 AM,7/2/2013 2:16:29 PM
177244067701,BB007,ST01BP00,G01316,MP,299,"Cantium, LLC",6/19/2013,8330,6462,6304,158.0,2857,6/25/2013,7/17/2013,D,COM,N,210.0,N,G01316,29.25729168,-88.77300028,29.25210928,-88.77684568,G,-13333,78,2810.0,0,1,Revised Sidetrack,145,H,5/25/2013,N,589.0,24.0,MP,299,,2816410.000122,223903.005886,1955,W,8931,S,,R,5806.0,G01316,MP,  299,BB-7ST01,R,5806.0,G01316,MP,  299,BB-7ST01,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,6/28/2013 7:54:39 AM,6/28/2013 2:21:51 PM
177244067701,BB007,ST01BP00,G01316,MP,299,"Cantium, LLC",6/19/2013,8330,6462,6304,158.0,2857,6/25/2013,7/17/2013,D,COM,N,210.0,N,G01316,29.25729168,-88.77300028,29.25210928,-88.77684568,G,-13274,78,2810.0,0,1,Revised Sidetrack,145,H,5/25/2013,N,589.0,24.0,MP,299,,2816410.000122,223903.005886,1955,W,8931,S,,R,5806.0,G01316,MP,  299,BB-7ST01,R,5806.0,G01316,MP,  299,BB-7ST01,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,6/17/2013 6:57:37 AM,6/17/2013 9:31:11 AM
177244067701,BB007,ST01BP00,G01316,MP,299,"Cantium, LLC",6/19/2013,8330,6462,6304,158.0,2857,6/25/2013,7/17/2013,D,COM,N,210.0,N,G01316,29.25729168,-88.77300028,29.25210928,-88.77684568,G,-13259,78,2810.0,0,1,Revised Sidetrack,145,H,5/25/2013,N,589.0,24.0,MP,299,,2816410.000122,223903.005886,1955,W,8931,S,,R,5806.0,G01316,MP,  299,BB-7ST01,R,5806.0,G01316,MP,  299,BB-7ST01,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,6/11/2013 10:37:46 AM,6/13/2013 8:57:48 AM
177084093404, A003,ST02BP00,G08684,SM,   90,"Array Petroleum, LLC",5/8/2013,13377,11602,11462,140.0,6812,5/21/2013,6/8/2013,D,COM,N,160.0,N,G08684,28.51396196,-92.03577274,28.52245456,-92.02710524,G,-13191,78,6760.0,0,2,Revised Sidetrack,124,H,4/16/2013,N,475.0,30.0,SM,90,,1774339.779855,-54843.960967,5865,E,5833,N,,N,3055.0,G08684,SM,   90,NO. 1,S,3983.0,G08684,SM,   90,A-3,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,5/30/2013 11:16:37 AM,5/31/2013 1:12:49 PM
177244085202,DA010,ST02BP00,G01315,MP,298,"Cantium, LLC",10/25/2013,8825,7803,7657,146.0,3190,11/13/2013,12/16/2013,D,COM,N,217.0,N,G01316,29.26050111,-88.74726917,29.26963701,-88.74327777,G,-13144,78,3800.0,0,2,Sidetrack,148,H,9/15/2013,N,576.0,26.0,MP,299,,2824587.001881,225254.004222,403,E,8576,N,,S,3948.0,G01316,MP,  299,DA-10,S,3948.0,G01315,MP,  298,DA-10,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,7/10/2013 4:28:42 PM,10/8/2013 2:00:18 PM
177244068903,BB008,ST03BP00,G01316,MP,299,"Cantium, LLC",7/26/2013,9768,7321,7163,158.0,3371,7/31/2013,9/12/2013,D,COM,N,216.0,N,G01316,29.2572564,-88.77302334,29.2443626,-88.77104894,G,-13008,78,3270.0,0,3,Sidetrack,145,H,7/1/2013,N,581.0,26.0,MP,299,,2816403.002053,223890.006253,1948,W,8918,S,,S,3047.0,G01316,MP,  299,BB-8,S,3047.0,G01316,MP,  299,BB-8,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,4/23/2013 2:12:31 PM,6/17/2013 9:52:15 AM
177244067701,BB007,ST01BP00,G01316,MP,299,"Cantium, LLC",6/19/2013,8330,6462,6304,158.0,2857,6/25/2013,7/17/2013,D,COM,N,210.0,N,G01316,29.25729168,-88.77300028,29.25210928,-88.77684568,G,-12921,78,2810.0,0,1,Sidetrack,145,H,5/25/2013,N,589.0,24.0,MP,299,,2816410.000122,223903.005886,1955,W,8931,S,,R,5806.0,G01316,MP,  299,BB-7ST01,R,5806.0,G01316,MP,  299,BB-7ST01,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,4/3/2013 9:21:32 AM,5/14/2013 12:47:53 PM
177104118901, C013,ST01BP00,G02323,EI,  360,"Array Petroleum, LLC",1/4/2014,733,733,600,133.0,510,1/31/2014,1/31/2014,D,TA,N,307.0,N,G02323,28.11710379,-91.66951392,28.11710799,-91.66952392,G,-12860,78,500.0,0,1,Sidetrack,131,H,11/15/2013,N,700.0,22.0,EI,360,,1891585.880669,-199694.972287,3259,E,5633,N,,S,1567.0,G02323,EI,  360,R,S,1567.0,G02323,EI,  360,R,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,10/7/2013 12:30:27 PM,10/28/2013 2:14:01 PM
177252009401, B004,ST01BP00,G01634,MP,144,"Cantium, LLC",10/19/2014,8140,7413,7277,136.0,2850,10/25/2014,11/20/2014,D,COM,N,208.0,N,G01634,29.28997791,-88.66535121,29.28336951,-88.66881701,G,-12764,78,2911.0,0,1,Sidetrack,136,H,9/1/2013,N,569.0,26.0,MP,144,,2850453.067618,236555.956227,6147,E,2726,S,,R,5851.0,G01634,MP,  144,B-4 ST1,R,5851.0,G01634,MP,  144,B-4 ST1,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,5/20/2013 11:06:01 AM,8/1/2013 11:12:20 AM
177084093404, A003,ST02BP00,G08684,SM,   90,"Array Petroleum, LLC",5/8/2013,13377,11602,11462,140.0,6812,5/21/2013,6/8/2013,D,COM,N,160.0,N,G08684,28.51396196,-92.03577274,28.52245456,-92.02710524,G,-12737,78,6760.0,0,2,Sidetrack,124,H,4/16/2013,N,475.0,30.0,SM,90,,1774339.779855,-54843.960967,5865,E,5833,N,,N,3055.0,G08684,SM,   90,NO. 1,S,3983.0,G08684,SM,   90,A-3,N,VALARIS JU-68 (ENSCO 68),JACKUP,91216.0,D,1976.0,LETOURNEAU,,320.0,30000.0,11/29/2020,4/19/2020,8/29/2006,GOMR New Orleans District,ORIG APR BY DIST 2;SWA MODIF.,Chevron U.S.A. Inc.,4/4/2013 1:09:28 PM,4/11/2013 8:47:10 AM
