SN_WAR_FK,BUS_ASC_NAME,OPERATIONS_COMPLETED_DATE,TOOL_LOGGING_METHOD_NAME,LOG_INTV_TOP_MD,LOG_INTV_BOTM_MD,SN_OPEN_HOLE
50041,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,8900.0,12742.0,6327
50041,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,8900.0,12742.0,6328
50041,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,8900.0,12742.0,6329
50042,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,8900.0,12742.0,6336
50042,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,8900.0,12742.0,6337
50042,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,8900.0,12742.0,6338
50042,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,8900.0,12742.0,6339
50042,BAKER ATLAS (use with well inventory),7/21/2003,WIRELINE,8900.0,12742.0,6340
50066,BAKER ATLAS (use with well inventory),7/22/2003,WIRELINE,6148.0,6248.0,6355
49242,BAKER ATLAS (use with well inventory),7/17/2003,WIRELINE,2815.0,12387.0,6378
50144,BAKER ATLAS (use with well inventory),8/19/2003,WIRELINE,7868.0,10197.0,6423
50167,BAKER ATLAS (use with well inventory),8/25/2003,WIRELINE,12220.0,12657.0,6428
50168,BAKER ATLAS (use with well inventory),6/30/2003,MWD/LWD,9982.0,12892.0,6429
49517,BAKER ATLAS (use with well inventory),7/23/2003,WIRELINE,8500.0,10348.0,6436
50253,BAKER ATLAS (use with well inventory),8/25/2003,WIRELINE,4500.0,14242.0,6460
50361,BAKER ATLAS (use with well inventory),8/27/2003,WIRELINE,12560.0,15963.0,6522
50420,BAKER ATLAS (use with well inventory),8/31/2003,WIRELINE,12740.0,15350.0,6545
50420,BAKER ATLAS (use with well inventory),9/1/2003,WIRELINE,12740.0,15350.0,6546
50420,BAKER ATLAS (use with well inventory),9/2/2003,WIRELINE,14170.0,15350.0,6547
50438,BAKER ATLAS (use with well inventory),8/4/2003,WIRELINE,4508.0,12221.0,6555
50438,BAKER ATLAS (use with well inventory),8/4/2003,WIRELINE,4508.0,12221.0,6556
50438,BAKER ATLAS (use with well inventory),8/4/2003,WIRELINE,4508.0,12221.0,6557
50438,BAKER ATLAS (use with well inventory),8/4/2003,WIRELINE,4508.0,12221.0,6558
50112,BAKER ATLAS (use with well inventory),8/25/2003,WIRELINE,4500.0,12721.0,6586
50532,BAKER ATLAS (use with well inventory),8/8/2003,WIRELINE,3930.0,9514.0,6611
50535,BAKER ATLAS (use with well inventory),8/19/2003,WIRELINE,15443.0,15943.0,6615
50535,BAKER ATLAS (use with well inventory),8/19/2003,WIRELINE,15443.0,15943.0,6616
50535,BAKER ATLAS (use with well inventory),8/19/2003,WIRELINE,15443.0,15943.0,6617
50535,BAKER ATLAS (use with well inventory),8/19/2003,WIRELINE,15443.0,15943.0,6618
50532,BAKER ATLAS (use with well inventory),8/8/2003,WIRELINE,6471.0,6911.0,6663
50532,BAKER ATLAS (use with well inventory),8/8/2003,WIRELINE,6471.0,6911.0,6664
50609,BAKER ATLAS (use with well inventory),8/8/2003,WIRELINE,8000.0,9100.0,6672
50609,BAKER ATLAS (use with well inventory),8/8/2003,WIRELINE,8000.0,9100.0,6673
50754,BAKER ATLAS (use with well inventory),8/27/2003,WIRELINE,13088.0,13698.0,6795
50754,BAKER ATLAS (use with well inventory),8/27/2003,WIRELINE,13088.0,13698.0,6794
50758,BAKER ATLAS (use with well inventory),8/8/2003,MWD/LWD,8400.0,9000.0,6805
50778,BAKER ATLAS (use with well inventory),9/3/2003,MWD/LWD,8150.0,10032.0,6810
50796,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,12228.0,15498.0,6814
50796,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,12228.0,15498.0,6815
50796,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,12228.0,15498.0,6816
50796,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,12228.0,15498.0,6817
50796,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,12228.0,15498.0,6818
50796,BAKER ATLAS (use with well inventory),8/16/2003,WIRELINE,13553.0,14597.0,6819
50799,BAKER ATLAS (use with well inventory),8/23/2003,WIRELINE,8000.0,13933.0,6826
50799,BAKER ATLAS (use with well inventory),8/23/2003,WIRELINE,8000.0,13933.0,6825
50799,BAKER ATLAS (use with well inventory),8/23/2003,WIRELINE,8000.0,13933.0,6827
50799,BAKER ATLAS (use with well inventory),8/23/2003,WIRELINE,8000.0,13933.0,6828
50799,BAKER ATLAS (use with well inventory),8/23/2003,WIRELINE,8000.0,13933.0,6829
50802,BAKER ATLAS (use with well inventory),9/1/2003,WIRELINE,13600.0,14776.0,6830
50802,BAKER ATLAS (use with well inventory),9/1/2003,WIRELINE,13600.0,14776.0,6831
50802,BAKER ATLAS (use with well inventory),9/1/2003,WIRELINE,13600.0,14776.0,6832
50802,BAKER ATLAS (use with well inventory),9/1/2003,WIRELINE,13600.0,14776.0,6833
50802,BAKER ATLAS (use with well inventory),9/1/2003,WIRELINE,13600.0,14776.0,6834
50813,BAKER ATLAS (use with well inventory),9/13/2003,WIRELINE,12562.0,17165.0,6838
50860,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,11500.0,13666.0,6863
50860,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,11500.0,13666.0,6864
50860,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,11500.0,13666.0,6865
50860,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,11500.0,13666.0,6866
50860,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,11500.0,13666.0,6867
50860,BAKER ATLAS (use with well inventory),8/14/2003,WIRELINE,11500.0,13666.0,6868
50860,BAKER ATLAS (use with well inventory),8/25/2003,WIRELINE,13731.0,15000.0,6871
50860,BAKER ATLAS (use with well inventory),8/25/2003,WIRELINE,13731.0,15000.0,6872
50860,BAKER ATLAS (use with well inventory),8/25/2003,WIRELINE,13731.0,15000.0,6873
50860,BAKER ATLAS (use with well inventory),8/25/2003,WIRELINE,13731.0,15000.0,6874
50860,BAKER ATLAS (use with well inventory),8/25/2003,WIRELINE,13731.0,15000.0,6875
50864,BAKER ATLAS (use with well inventory),8/17/2003,WIRELINE,5004.0,5833.0,6880
50864,BAKER ATLAS (use with well inventory),8/17/2003,WIRELINE,5004.0,5833.0,6881
50864,BAKER ATLAS (use with well inventory),8/17/2003,WIRELINE,5004.0,5833.0,6882
50864,BAKER ATLAS (use with well inventory),8/17/2003,WIRELINE,5004.0,5833.0,6883
50864,BAKER ATLAS (use with well inventory),8/17/2003,WIRELINE,5004.0,5833.0,6884
50864,BAKER ATLAS (use with well inventory),8/17/2003,WIRELINE,5004.0,5833.0,6885
50865,BAKER ATLAS (use with well inventory),8/12/2003,WIRELINE,14350.0,14744.0,6893
50865,BAKER ATLAS (use with well inventory),8/12/2003,WIRELINE,14350.0,14744.0,6890
50865,BAKER ATLAS (use with well inventory),8/12/2003,WIRELINE,14350.0,14744.0,6891
50865,BAKER ATLAS (use with well inventory),8/12/2003,WIRELINE,14350.0,14744.0,6892
50865,BAKER ATLAS (use with well inventory),8/12/2003,WIRELINE,14350.0,14744.0,6894
50865,BAKER ATLAS (use with well inventory),8/12/2003,WIRELINE,14350.0,14744.0,6895
50865,BAKER ATLAS (use with well inventory),8/12/2003,WIRELINE,14350.0,14744.0,6897
50865,BAKER ATLAS (use with well inventory),8/12/2003,WIRELINE,14350.0,14744.0,6898
50917,BAKER ATLAS (use with well inventory),5/17/1996,MWD/LWD,4994.0,13522.0,6932
50917,BAKER ATLAS (use with well inventory),5/17/2003,MWD/LWD,4944.0,13522.0,6933
50917,BAKER ATLAS (use with well inventory),5/24/2003,MWD/LWD,13550.0,13974.0,6934
50917,BAKER ATLAS (use with well inventory),5/24/2003,MWD/LWD,13550.0,13974.0,6935
50917,BAKER ATLAS (use with well inventory),5/27/2003,MWD/LWD,13550.0,14143.0,6936
50917,BAKER ATLAS (use with well inventory),5/27/2003,MWD/LWD,13350.0,14143.0,6937
51039,BAKER ATLAS (use with well inventory),9/20/2003,WIRELINE,12141.0,14533.0,7050
51040,BAKER ATLAS (use with well inventory),9/22/2003,WIRELINE,17174.0,17571.0,7052
51164,BAKER ATLAS (use with well inventory),9/29/2003,MWD/LWD,7087.0,11755.0,7147
51255,BAKER ATLAS (use with well inventory),,WIRELINE,0.0,4958.0,7196
54420,BAKER ATLAS (use with well inventory),12/19/2003,WIRELINE,17500.0,18690.0,9012
51307,BAKER ATLAS (use with well inventory),,WIRELINE,0.0,4958.0,7225
51345,BAKER ATLAS (use with well inventory),9/20/2003,WIRELINE,12141.0,14533.0,7246
51660,BAKER ATLAS (use with well inventory),4/4/2003,WIRELINE,2650.0,6447.0,7454
51694,BAKER ATLAS (use with well inventory),10/11/2003,WIRELINE,10800.0,11377.0,7474
51762,BAKER ATLAS (use with well inventory),10/7/2003,MWD/LWD,0.0,4600.0,7523
51774,BAKER ATLAS (use with well inventory),10/7/2003,WIRELINE,5415.0,6914.0,7538
51447,BAKER ATLAS (use with well inventory),10/4/2003,WIRELINE,9800.0,13165.0,7602
50689,BAKER ATLAS (use with well inventory),9/4/2003,WIRELINE,4500.0,8910.0,7622
50725,BAKER ATLAS (use with well inventory),8/28/2003,WIRELINE,15223.0,18258.0,7623
51951,BAKER ATLAS (use with well inventory),10/13/2003,WIRELINE,4500.0,11278.0,7655
51954,BAKER ATLAS (use with well inventory),10/19/2003,WIRELINE,18490.0,19100.0,7657
51963,BAKER ATLAS (use with well inventory),10/15/2003,WIRELINE,12900.0,15948.0,7661
51971,BAKER ATLAS (use with well inventory),10/20/2003,WIRELINE,12892.0,16950.0,7665
51985,BAKER ATLAS (use with well inventory),10/18/2003,MWD/LWD,4600.0,10408.0,7675
52055,BAKER ATLAS (use with well inventory),10/18/2003,WIRELINE,6950.0,10451.0,7704
52064,BAKER ATLAS (use with well inventory),10/14/2003,WIRELINE,8400.0,9526.0,7710
52111,BAKER ATLAS (use with well inventory),10/21/2003,WIRELINE,0.0,390.0,7727
52112,BAKER ATLAS (use with well inventory),10/21/2003,WIRELINE,0.0,388.0,7728
52172,BAKER ATLAS (use with well inventory),10/23/2003,WIRELINE,10800.0,14039.0,7768
52179,BAKER ATLAS (use with well inventory),10/22/2003,WIRELINE,11278.0,11900.0,7777
52222,BAKER ATLAS (use with well inventory),11/1/2003,MWD/LWD,0.0,11332.0,7807
52222,BAKER ATLAS (use with well inventory),11/1/2003,MWD/LWD,0.0,11332.0,7808
52280,BAKER ATLAS (use with well inventory),11/2/2003,MWD/LWD,11500.0,16100.0,7829
52331,BAKER ATLAS (use with well inventory),10/21/2003,WIRELINE,13000.0,15887.0,7859
52375,BAKER ATLAS (use with well inventory),10/30/2003,WIRELINE,15960.0,17694.0,7884
52396,BAKER ATLAS (use with well inventory),11/1/2003,WIRELINE,3719.0,12365.0,7901
52413,BAKER ATLAS (use with well inventory),11/6/2003,WIRELINE,11428.0,17712.0,7930
52215,BAKER ATLAS (use with well inventory),11/3/2003,WIRELINE,299.0,812.0,7934
52424,BAKER ATLAS (use with well inventory),8/28/2003,WIRELINE,12560.0,15953.0,7937
52433,BAKER ATLAS (use with well inventory),11/5/2003,WIRELINE,13286.0,17177.0,7939
52449,BAKER ATLAS (use with well inventory),8/21/2003,WIRELINE,4690.0,5682.0,7949
52449,BAKER ATLAS (use with well inventory),8/21/2003,WIRELINE,4690.0,5682.0,7950
52449,BAKER ATLAS (use with well inventory),8/21/2003,WIRELINE,4690.0,5682.0,7951
52449,BAKER ATLAS (use with well inventory),8/21/2003,WIRELINE,4690.0,5682.0,7952
52449,BAKER ATLAS (use with well inventory),8/21/2003,WIRELINE,4690.0,5682.0,7953
52453,BAKER ATLAS (use with well inventory),10/28/2003,WIRELINE,354.0,3014.0,7955
52453,BAKER ATLAS (use with well inventory),10/28/2003,WIRELINE,354.0,3014.0,7956
52560,BAKER ATLAS (use with well inventory),11/16/2003,WIRELINE,15968.0,20372.0,8005
52560,BAKER ATLAS (use with well inventory),11/17/2003,WIRELINE,19579.0,19970.0,8006
52586,BAKER ATLAS (use with well inventory),11/11/2003,WIRELINE,12500.0,12970.0,8026
52609,BAKER ATLAS (use with well inventory),11/12/2003,WIRELINE,8194.0,9818.0,8037
54405,BAKER ATLAS (use with well inventory),9/25/2003,WIRELINE,4502.0,11648.0,8909
52919,BAKER ATLAS (use with well inventory),11/4/2003,WIRELINE,6308.0,6462.0,8170
52927,BAKER ATLAS (use with well inventory),11/9/2003,WIRELINE,10888.0,13829.0,8179
52927,BAKER ATLAS (use with well inventory),11/9/2003,WIRELINE,12400.0,13700.0,8180
53044,BAKER ATLAS (use with well inventory),11/23/2003,WIRELINE,521.0,3214.0,8237
53056,BAKER ATLAS (use with well inventory),11/29/2003,WIRELINE,850.0,5200.0,8242
53117,BAKER ATLAS (use with well inventory),11/18/2003,WIRELINE,3020.0,4850.0,8260
53134,BAKER ATLAS (use with well inventory),11/20/2003,WIRELINE,13829.0,14544.0,8264
53269,BAKER ATLAS (use with well inventory),12/8/2003,WIRELINE,20100.0,22825.0,8306
53303,BAKER ATLAS (use with well inventory),12/5/2003,WIRELINE,14400.0,15894.0,8327
53314,BAKER ATLAS (use with well inventory),12/7/2003,WIRELINE,902.0,4000.0,8331
53383,BAKER ATLAS (use with well inventory),12/15/2003,WIRELINE,20100.0,22825.0,8381
53503,BAKER ATLAS (use with well inventory),12/14/2003,WIRELINE,6823.0,8121.0,8427
53812,BAKER ATLAS (use with well inventory),12/27/2003,WIRELINE,9000.0,11700.0,8540
53863,BAKER ATLAS (use with well inventory),12/17/2003,WIRELINE,1500.0,2751.0,8585
53864,BAKER ATLAS (use with well inventory),12/23/2003,WIRELINE,16071.0,17723.0,8586
52768,BAKER ATLAS (use with well inventory),11/2/2003,WIRELINE,3716.0,12365.0,8606
52768,BAKER ATLAS (use with well inventory),11/4/2003,WIRELINE,12220.0,12995.0,8607
53997,BAKER ATLAS (use with well inventory),12/30/2003,WIRELINE,4000.0,11920.0,8653
54014,BAKER ATLAS (use with well inventory),1/4/2004,WIRELINE,9853.0,12915.0,8659
54015,BAKER ATLAS (use with well inventory),1/4/2004,WIRELINE,10680.0,12090.0,8663
54035,BAKER ATLAS (use with well inventory),12/31/2003,WIRELINE,4522.0,9597.0,8666
39753,SCHLUMBERGER OFFSHORE INCORPORATED,9/2/2002,MWD/LWD,3185.0,7894.0,3522
40592,SCHLUMBERGER OFFSHORE INCORPORATED,8/6/2002,MWD/LWD,1850.0,3030.0,3544
40592,SCHLUMBERGER OFFSHORE INCORPORATED,8/8/2002,MWD/LWD,3030.0,3285.0,3545
42846,Halliburton Energy Services (use with well inventory),12/26/2002,WIRELINE,4450.0,7262.0,3595
42963,Halliburton Energy Services (use with well inventory),1/4/2003,WIRELINE,9200.0,12432.0,3629
43202,Halliburton Energy Services (use with well inventory),1/11/2003,MWD/LWD,8270.0,8270.0,3674
43276,Halliburton Energy Services (use with well inventory),1/15/2003,MWD/LWD,10006.0,12674.0,3701
44040,Halliburton Energy Services (use with well inventory),1/31/2003,WIRELINE,1100.0,5622.0,3838
44900,Halliburton Energy Services (use with well inventory),2/27/2003,WIRELINE,11850.0,13079.0,4000
45449,Halliburton Energy Services (use with well inventory),3/12/2003,MWD/LWD,1400.0,3000.0,4101
45966,Halliburton Energy Services (use with well inventory),3/26/2003,WIRELINE,1115.0,5862.0,4222
45966,Halliburton Energy Services (use with well inventory),3/28/2003,WIRELINE,5550.0,6500.0,4223
46008,Halliburton Energy Services (use with well inventory),3/24/2003,WIRELINE,15450.0,16386.0,4241
