SN_APD,H2S_DESIGNATION,H2S_ACTVTN_PLAN_TVD,GEO_MARKER_NAME,TOP_MD
-23133,Absent,,Pleistocene 1.4,17039
-23133,Absent,,Pleistocene 1.5,17607
-23133,Absent,,Pleistocene 1.7,18010
-23133,Absent,,Teal,20219
-23133,Absent,,Orange,21060
-23133,Absent,,Maize,21421
-23133,Absent,,Brown,21776
-23133,Absent,,Green,22587
-23133,Absent,,Pink,23074
-23133,Absent,,Purple,23420
-23133,Absent,,Gray,23562
-23133,Absent,,Maroon,23796
-23140,Unknown,17700.0,Miocene 9.0,11786
-23140,Unknown,17700.0,Micoene 11.8,13536
-23140,Unknown,17700.0,Miocene 13.6,15106
-23140,Unknown,17700.0,Miocene 14.6,16886
-23140,Unknown,17700.0,H2S,17700
-23140,Unknown,17700.0,Oligocene,17861
-23140,Unknown,17700.0,Cretaceous,18856
-23140,Unknown,17700.0,Cenomanian,19656
-23140,Unknown,17700.0,Wedge 1,20766
-23140,Unknown,17700.0,Wedge 2,22249
-23140,Unknown,17700.0,Sligo,22916
-23141,Known,22577.0,Top Camden Hills Sands,14165
-23141,Known,22577.0,Base Camden Hills Sands,15025
-23141,Known,22577.0,Base Miocene,18901
-23141,Known,22577.0,Top Cretaceous,19575
-23141,Known,22577.0,Top Sligo ,23369
-23141,Known,22577.0,Fault,24295
-23141,Known,22577.0,Top Cotton Valley,25173
-23141,Known,22577.0,Top Haynesville,26055
-23141,Known,22577.0,Top Smackover Formation,26520
-23141,Known,22577.0,Top Smackover Limestone,26795
-23141,Known,22577.0,Top Smackover Massive,26883
-23141,Known,22577.0,Top Pydol,27033
-23141,Known,22577.0,Top Norphlet,27126
-23298,Absent,,6700 Sand,12256
-23298,Absent,,6900 Sand,12965
-23298,Absent,,7900 Sand,15416
-23312,Absent,,Ps68 Marker ,10325
-23312,Absent,,Ps50 Marker,11093
-23312,Absent,,F Marl,11817
-23312,Absent,,G Marl,12127
-23312,Absent,,G Marl b2,12595
-23312,Absent,,I Sand,13265
-24296,Absent,,Base Salt,18419
-24304,Absent,,Grey,9777
-24304,Absent,,Violet,10776
-24296,Absent,,MPU,19041
-24296,Absent,,604 DTE S (Fault),19977
-24296,Absent,,N Sand (Water),20406
-24296,Absent,,603 DTE S (Fault),21135
-24296,Absent,,608 DTE E (Fault),21233
-24296,Absent,,O Sand (Water),21393
-24296,Absent,,S Sand (Water),22117
-24296,Absent,,612 DTE S (Fault),22891
-24296,Absent,,V Sand (Water),22928
-24296,Absent,,LAM Sand (Water),23622
-24296,Absent,,LV Sand (Water),24036
-24296,Absent,,600 DTE S (Fault),24143
-24296,Absent,,CC Sand (Water),24700
-24296,Absent,,DD Sand (Oil),24964
-24296,Absent,,EE Sand (Oil),25165
-24296,Absent,,FF Sand (Oil),25260
-24296,Absent,,GG Sand (Water),25494
-24304,Absent,,Mid Orange,11511
-24304,Absent,,Sub Orange,11842
-24304,Absent,,Blue,12082
-24304,Absent,,SB2,12194
-24304,Absent,,Purple,12410
-24304,Absent,,Red,12718
-24304,Absent,,Dark Brown,12857
-24304,Absent,,Red Laminate,12966
-24305,Absent,,Pliocene 3.3,6561
-24305,Absent,,Miocene 5.35,9887
-24305,Absent,,Miocene Sand,13867
-24305,Absent,,HC Stringer 6,16179
-24305,Absent,,HC Stringer 7,16194
-24305,Absent,,HC Stringer 8,16813
-24305,Absent,,HC Stringer 9,17588
-24305,Absent,,HC Stringer 10,17653
-24305,Absent,,Miocene 9.0,18208
-24305,Absent,,HC Stringer 11,18550
-24305,Absent,,HC Stringer 12,18762
-24305,Absent,,HC Stringer 13,19058
-24305,Absent,,Miocene 10.3,19220
-24305,Absent,,HC Stringer 14,19303
-24305,Absent,,10.8 Sand 1,20154
-24305,Absent,,11.8 Ma Sand 1,20638
-24305,Absent,,11.8 Ma Sand 2,20836
-24305,Absent,,Miocene 13.2,22474
-24301,Absent,,Top of Salt,7219
-24301,Absent,,Base of Salt,10504
-24301,Absent,,PS4,13252
-24301,Absent,,PPU,16751
-24301,Absent,,N Seq_t,17763
-24301,Absent,,O Seq,18860
-24301,Absent,,S Seq,20033
-24301,Absent,,V Seq,20464
-24301,Absent,,LAM_Seq,21142
-24301,Absent,,LV Seq,21431
-24301,Absent,,LV Sand_T,21609
-24301,Absent,,CC_T,22239
-24301,Absent,,DD_T,22481
-24301,Absent,,EE_T,22665
-24301,Absent,,FF_T,22760
-24301,Absent,,Wilcox 1_T,24516
-24301,Absent,,Wilcox 2_T,25054
-24301,Absent,,Wilcox 3_T,25320
-24301,Absent,,Wilcox 4_T,25510
-24301,Absent,,Wilcox 5_T,25594
-24301,Absent,,Wilcox 6_T,25910
-24303,Absent,,VM80,31050
-24305,Absent,,Miocene 13.5,23880
-22738,Absent,,Top of Salt,8574
-22738,Absent,,Base of Salt,13101
-22738,Absent,,Pleistocene 0.7,14156
-22738,Absent,,Pleistocene 1.0,15347
-22738,Absent,,Pleistocene 1.0b,15480
-22738,Absent,,Purple Fault,15854
-22738,Absent,,Pleistocene 1.4,16981
-22738,Absent,,Pleistocene 1.5,17512
-22738,Absent,,Pleistocene 1.7,17942
-22738,Absent,,Teal,20124
-22738,Absent,,Orange,20445
-22738,Absent,,Brown,21420
-22738,Absent,,Green,21923
-22738,Absent,,Pink,22583
-22738,Absent,,Purple,23321
-22738,Absent,,Gray,23436
-22738,Absent,,Maroon,23541
-22761,Absent,,19000' Sand,26009
-22761,Absent,,20000' Sand,27458
-22771,Absent,,D1,15981
-22772,Absent,,19000' Sand,26009
-22772,Absent,,20000' Sand,27458
-22930,Absent,,Top of Salt,8574
-22930,Absent,,Base of Salt,13163
-22930,Absent,,Pleistocene 0.7,14486
-22956,Absent,0.0,Base Salt,20818
-22956,Absent,0.0,T1,22027
-22901,Absent,,19000' Sand,26009
-22901,Absent,,20000' Sand,27458
-22930,Absent,,Pleistocene 1.0,15593
-22968,Absent,,Horizon A,4787
-22968,Absent,,Horizon B,5527
-22968,Absent,,Horizon C 3a,6092
-22968,Absent,,Horizon C 3b,6307
-22968,Absent,,Top Salt,10022
-22930,Absent,,Pleistocene 1.0b,15736
-22930,Absent,,Pleistocene 1.4,17039
-22930,Absent,,Pleistocene 1.5,17607
-22930,Absent,,Pleistocene 1.7,18010
-22930,Absent,,Teal,20219
-22930,Absent,,Orange,21060
-22930,Absent,,Maize,21421
-22930,Absent,,Brown,21776
-22930,Absent,,Green,22648
-22930,Absent,,Pink,23085
-22930,Absent,,Purple,23310
-22930,Absent,,Gray,23470
-22930,Absent,,Maroon,23683
-22956,Absent,0.0,Top Salt,13194
-22968,Absent,,VM80,32324
-22978,Absent,,Seafloor ,9691
-22978,Absent,,NPM4 SAND,20302
-22978,Absent,,Fault 18,23790
-22978,Absent,,Fault 4,25495
-22978,Absent,,Wilcox,27113
-23095,Absent,0.0,Dmisc,10866
-22981,Absent,,A-0 Sand,18483
-22981,Absent,,A-1 Sand,19012
-23095,Absent,0.0,D2,10915
-23114,Absent,,E4,12396
-22981,Absent,,B-2 Sand,19469
-22981,Absent,,B-6 Sand,20519
-23114,Absent,,F1,12608
-23114,Absent,,J1,17266
-23095,Absent,0.0,E2,11702
-23095,Absent,0.0,F6,12409
-23095,Absent,0.0,G0.1,13306
-23095,Absent,0.0,G1.7,13842
-23095,Absent,0.0,G6,14047
-23095,Absent,0.0,M6,16451
-23095,Absent,0.0,N,16644
-23095,Absent,0.0,O1,16863
-23095,Absent,0.0,O2,16931
-23114,Absent,,E0,11945
-23114,Absent,,K0,18633
-23699,Absent,,Top of Salt,5604
-23699,Absent,,Base of Salt,7210
-23699,Absent,,Unconformity,13632
-23699,Absent,,Pliocene,26223
-23699,Absent,,Miocene,27113
-23699,Absent,,Salt Weld,27500
-23699,Absent,,Oligocene,29575
-23699,Absent,,Frio Sand,30381
-23699,Absent,,Marls,30736
-23699,Absent,,Wilcox 1A,31572
-23699,Absent,,Wilcox 1B,31982
-23699,Absent,,Wilcox 2A,32288
-23699,Absent,,Wilcox 2B,32399
-23699,Absent,,Wilcox 3A,32681
-23699,Absent,,Wilcox 3B,33046
-23699,Absent,,Wilcox 4A,33350
-23699,Absent,,Wilcox 4B,33456
-23699,Absent,,Wilcox 4C,33618
-23714,Absent,,Fault 1,4207
-24377,Absent,,Top Blue Unit,4313
-23714,Absent,,Fault 2,4456
-23714,Absent,,Fault 3,4660
-23714,Absent,,Fault 4,6669
-23714,Absent,,Top of Salt,7089
-23714,Absent,,Base of Salt,20981
-23714,Absent,,Miocene M72,21141
-23714,Absent,,Miocene M58,21558
-23714,Absent,,Miocene M55,22599
-23714,Absent,,17.0 Potential Fault,23722
-23714,Absent,,Miocene M20,23992
-22889,Absent,,Top of Carapace,11189
-24377,Absent,,Top of Salt,7902
-24377,Absent,,Base of Salt,24946
-24377,Absent,,Middle Miocene 1,31674
-24377,Absent,,Middle Miocene 2,34257
-24377,Absent,,Lower Miocene,35989
-24377,Absent,,Top Oligocene,38241
-24425,Absent,,Top of Carapace,11189
-24425,Absent,,Hard Carapace,11955
-24425,Absent,,Top of Salt,12579
-24425,Absent,,Gas Suture,13677
-24425,Absent,,Base of Salt,17425
-24425,Absent,,Stray Sand 1,17453
-24425,Absent,,A Sand,17910
-24425,Absent,,Stray Sand 2,18212
-24425,Absent,,Stray Sand 2a,18224
-24425,Absent,,Stray Sand 3,18344
-24425,Absent,,B1 Sand,18560
-24425,Absent,,B2 Sand,18593
-24425,Absent,,B3 Sand,18636
-24425,Absent,,C1 Sand,18746
-24425,Absent,,C2 Sand,18926
-24425,Absent,,C4/5 Sand,19061
-24437,Absent,,M750,23954
-24437,Absent,,M730,24473
-24437,Absent,,M600,26832
-24441,Absent,,Top of Salt,8523
-24441,Absent,,Base of Salt,13341
-24441,Absent,,Pleistocene 0.7,14883
-24441,Absent,,Pleistocene 1.0,16240
-24441,Absent,,Pleistocene 1.0b,16405
-24441,Absent,,Pleistocene 1.4,17825
-24441,Absent,,Pleistocene 1.5,18475
-24441,Absent,,Pleistocene 1.7,19026
-24441,Absent,,Teal,21910
-24441,Absent,,Orange,23250
-24441,Absent,,Brown,25197
-24441,Absent,,Green,26441
-24441,Absent,,Red,26843
-24441,Absent,,Pink,27145
-24441,Absent,,Purple,27649
-24441,Absent,,Gray,27775
-24441,Absent,,Maroon,27892
-24441,Absent,,Navy,28478
-24502,Absent,,Top of Salt,12271
-24502,Absent,,Base of Salt,23709
-24502,Absent,,W3.5,23944
-24502,Absent,,W3.71,24067
-24502,Absent,,W4.1,24193
-24502,Absent,,W4.5,24467
-24502,Absent,,W5,24672
-24502,Absent,,W6,24879
-24502,Absent,,W7,25305
-24502,Absent,,X1,25757
-22205,Absent,,"Upper ""O"" Sand",10405
-22205,Absent,,"Lower ""O"" Sand",10780
-22725,Absent,,BS50,18471
-22767,Absent,,Top of Salt,7956
-22221,Absent,,Water Bottom,5353
-22221,Absent,,Carapace,7645
-22221,Absent,,Salt,8200
-22221,Absent,,WM50,20574
-22221,Absent,,Cretaceous,22506
-22767,Absent,,Base of Salt,21950
-22767,Absent,,M1,22685
-22767,Absent,,M2,23340
-22767,Absent,,M4.2,24434
-22947,Absent,,S,19963
-22797,Absent,,Top of Salt,7956
-22797,Absent,,Base of Salt,21950
-22797,Absent,,M1,22685
-22797,Absent,,M2,23340
-22797,Absent,,M4.2,24434
-22822,Known,22833.0,Norphlet,24718
-22947,Absent,,V,20481
-22943,Absent,,Seafloor ,9691
-22943,Absent,,NPM4 SAND,20302
-22943,Absent,,Fault 18,23790
-22943,Absent,,Fault 4,25495
-22943,Absent,,Wilcox,27113
-22947,Absent,,O,19040
-22947,Absent,,LAM,21300
-22947,Absent,,LV,21508
-22947,Absent,,LV Base,21904
-22947,Absent,,CC,22005
-22947,Absent,,DD,22227
-22947,Absent,,EE,22392
-22947,Absent,,FF,22486
-22947,Absent,,GG,22681
-23264,Absent,,Q1_TerraCotta,20451
-23153,Absent,,Frio FR18 SAND,11396
-23153,Absent,,Frio FR20 SAND,11520
-23153,Absent,,Frio FR22 SAND,11705
-23153,Absent,,Frio FR24-26 SAND,11810
-23153,Absent,,Frio FR30 SAND,12085
-23153,Absent,,Wilcox WM12 Sand,15906
-23153,Absent,,Wilcox WM14 Sand,16408
-23153,Absent,,Wilcox WM16 Sand,16481
-23153,Absent,,Wilcox WM20 Sand,16701
-23153,Absent,,Wilcox WM28 Sand,17790
-23153,Absent,,Wilcox WM30 Sand,18093
-23153,Absent,,Wilcox WM35 Sand,18710
-23153,Absent,,Wilcox WM50 Sand,20041
-23278,Absent,,6900 Sand,12965
-23278,Absent,,7900 Sand,15416
-24165,Absent,,Top of Hard Carapace,12113
-23264,Absent,,R_AquaTerraCotta_U,21221
-23264,Absent,,R_AquaTerraCotta_L1,21376
-23264,Absent,,R_AquaTerraCotta_L2,21456
-23383,Absent,,K Sand,9151
-23383,Absent,,M2 Sand,9401
-24083,Absent,,Top of Salt,11583
-23264,Absent,,U0_Amber,24045
-23264,Absent,,U1_Amber,24628
-23264,Absent,,V1_Platinum,25631
-23264,Absent,,W0_Tungsten,26980
-23278,Absent,,6700 Sand,12256
-24083,Absent,,Base of Salt,19510
-23383,Absent,,UM90 Sand,9981
-23383,Absent,,M63 Sand,10161
-23383,Absent,,M57 Sand,13289
-24165,Absent,,Top of Salt,12548
-24165,Absent,,Suture,13668
-24083,Absent,,M1U1,20577
-24083,Absent,,M1M,21281
-24165,Absent,,Base of Salt,17372
-24165,Absent,,A Sand,17935
-24083,Absent,,M1L1,21631
-23383,Absent,,M56 Sand,14480
-23383,Absent,,Oligicene,15205
-24083,Absent,,M1L2,21808
-24165,Absent,,B1 Sand,18834
-24165,Absent,,B2 Sand,18885
-24083,Absent,,M1L3,22083
-24083,Absent,,M2U,22317
-24165,Absent,,C1 Sand,19010
-24165,Absent,,C2 Sand,19147
-24083,Absent,,M2L,23043
-24083,Absent,,M3U1,23849
-24165,Absent,,C3 Sand,19394
-24165,Absent,,C4/5 Sand,19516
-24083,Absent,,M3U2,24006
-24083,Absent,,M3L,24198
-24193,Absent,,Sand,7022
-24193,Absent,,Sand ,7265
-24083,Absent,,M4,24804
-24083,Absent,,M5,25173
-24193,Absent,,Unit III,7450
-24193,Absent,,7400 Sd,7667
-24083,Absent,,M6U1,25610
-24083,Absent,,M6M,25917
-24193,Absent,,8400 Sd,8502
-24193,Absent,,9200 Sd,9502
-24083,Absent,,M6L1,26338
-24083,Absent,,M6L2,26648
-24193,Absent,,PZ1,9734
-24193,Absent,,PZ2,9861
-24083,Absent,,M7U1,26999
-24083,Absent,,M7U2,27311
-24193,Absent,,PZ3,11250
-24193,Absent,,PZ4,11405
-24083,Absent,,M7U3,27480
-24083,Absent,,M8U,27845
-24193,Absent,,Lam,11497
-24193,Absent,,Clean Diff,13617
-24083,Absent,,M8L1,28629
-24083,Absent,,M8L2,28728
-24193,Absent,,M72,21035
-24193,Absent,,M71,21096
-24083,Absent,,M9U,29557
-24083,Absent,,M9L,29743
-24193,Absent,,M70,21310
-24193,Absent,,M68,21382
-24083,Absent,,M10U,29852
-24083,Absent,,M10L1,30025
-24164,Absent,,Top of Carapace,11189
-24164,Absent,,Hard Carapace,11990
-24164,Absent,,Top of Salt,12617
-24164,Absent,,Base of Salt,17494
-24164,Absent,,A Sand,17761
-24164,Absent,,B1 Sand,18605
-24164,Absent,,B2 Sand,18650
-24164,Absent,,B3 Sand,18681
-24164,Absent,,C1 Sand,18759
-24164,Absent,,C2 Sand,18918
-24164,Absent,,C3 Sand,19088
-24164,Absent,,C4/5 Sand,19132
-24165,Absent,,Top of Soft Carapace,11242
-24193,Absent,,M57,21561
-24193,Absent,,M55 Lam,22045
-24193,Absent,,M55,22111
-24193,Absent,,M54,22536
-24193,Absent,,M54 Lam,22759
-24193,Absent,,M53,22922
-24258,Absent,,Top of Soft Carapace,11242
-24258,Absent,,Top of Hard Carapace,12113
-24258,Absent,,Top of Salt,12548
-24258,Absent,,Suture,13668
-24258,Absent,,Base of Salt,17372
-24258,Absent,,A Sand,17935
-24258,Absent,,B1 Sand,18834
-24258,Absent,,B2 Sand,18885
-24258,Absent,,C1 Sand,19010
-24258,Absent,,C2 Sand,19147
-24258,Absent,,C3 Sand,19394
-24258,Absent,,C4/5 Sand,19516
-24273,Absent,,Top Salt,10795
-24273,Absent,,Base Salt,18419
-24273,Absent,,MPU,19041
-24273,Absent,,604 DTE S (Fault),19977
-24273,Absent,,N Sand (Water),20406
-24273,Absent,,603 DTE S (Fault),21135
-24273,Absent,,608 DTE E (Fault),21233
-24273,Absent,,O Sand (Water),21393
-24273,Absent,,S Sand (Water),22117
-24273,Absent,,612 DTE S (Fault),22891
-24273,Absent,,V Sand (Water),22928
-24273,Absent,,LAM Sand (Water),23622
-24273,Absent,,LV Sand (Water),24036
-24273,Absent,,600 DTE S (Fault),24143
-24273,Absent,,CC Sand (Water),24700
-24273,Absent,,DD Sand (Oil),24964
-24273,Absent,,EE Sand (Oil),25165
-24273,Absent,,FF Sand (Oil),25260
-24273,Absent,,GG Sand (Water),25494
-24274,Absent,,Top of Salt,7219
-24274,Absent,,Base of Salt,10504
-24274,Absent,,PS4,13252
-24274,Absent,,PPU,16751
-24274,Absent,,N Seq_t,17763
-24274,Absent,,O Seq,18860
-24274,Absent,,S Seq,20033
-24274,Absent,,V Seq,20464
-24274,Absent,,LAM_Seq,21142
-24274,Absent,,LV Seq,21431
-24274,Absent,,LV Sand_T,21609
-24274,Absent,,CC_T,22239
-24274,Absent,,DD_T,22481
-24274,Absent,,EE_T,22665
-24274,Absent,,FF_T,22760
-24274,Absent,,Wilcox 1_T,24516
-24274,Absent,,Wilcox 2_T,25054
-24274,Absent,,Wilcox 3_T,25320
-24274,Absent,,Wilcox 4_T,25510
-24274,Absent,,Wilcox 5_T,25594
-22974,Absent,,Horizon A,4787
-23037,Absent,,E4,12396
-23037,Absent,,F1,12608
-23037,Absent,,J1,17266
-23037,Absent,,K0,18633
-23034,Absent,,Top of Salt,8574
-23034,Absent,,Base of Salt,13163
-23034,Absent,,Pleistocene 0.7,14486
-23034,Absent,,Pleistocene 1.0,15593
-23034,Absent,,Pleistocene 1.0b,15736
-23091,Absent,,Frio FR20 SAND,11520
-23080,Absent,,6300 Sand,8129
-23080,Absent,,6700 Sand,8760
-23080,Absent,,8300 Sand,11453
-23091,Absent,,Frio FR22 SAND,11705
-23091,Absent,,Frio FR24-26 SAND,11810
-23082,Absent,,Top of Salt,5190
-23082,Absent,,Base of Salt,9370
-23082,Absent,,J Sand,13130
-23034,Absent,,Pleistocene 1.4,17039
-23034,Absent,,Pleistocene 1.5,17607
-23034,Absent,,Pleistocene 1.7,18010
-23034,Absent,,Teal,20219
-23034,Absent,,Orange,21060
-23034,Absent,,Maize,21421
-23034,Absent,,Brown,21776
-23034,Absent,,Green,22587
-23034,Absent,,Pink,23074
-23082,Absent,,K Sand,13700
-23082,Absent,,M1 Sand,14177
-23034,Absent,,Purple,23420
-23034,Absent,,Gray,23562
-23082,Absent,,M2 Sand,14290
-23082,Absent,,M3 Sand,14515
-23034,Absent,,Maroon,23796
-23037,Absent,,E0,11945
-23082,Absent,,N Sand,14870
-23082,Absent,,M56A Sand,16235
-23082,Absent,,M56B Sand,16418
-23082,Absent,, M56C Sand,16652
-23082,Absent,,Oligo/Eoc,17199
-23091,Absent,,Frio FR18 SAND,11396
-23091,Absent,,Frio FR30 SAND,12085
-23091,Absent,,Wilcox WM12 Sand,15906
-23091,Absent,,Wilcox WM14 Sand,16408
-23091,Absent,,Wilcox WM16 Sand,16481
-23091,Absent,,Wilcox WM20 Sand,16701
-23091,Absent,,Wilcox WM28 Sand,17790
-23091,Absent,,Wilcox WM30 Sand,18093
-23091,Absent,,Wilcox WM35 Sand,18710
-23091,Absent,,Wilcox WM50 Sand,20041
-23643,Absent,,Top of Salt,5188
-23643,Absent,,Base of Salt,9518
-23643,Absent,,K Sand,13634
-23643,Absent,,M2 Sand,14229
-23643,Absent,,M56A Sand,17829
-23643,Absent,,M56B Sand,18217
-23643,Absent,,M56C Sand,18790
-23646,Absent,0.0,Salt,12272
-23646,Absent,0.0,W2.5 (AboveGold),23794
-23646,Absent,0.0,W3 (Gold),23935
-23646,Absent,0.0,W3.5 (LowerGold),24108
-23646,Absent,0.0,W3.71 (Silver),24248
-23646,Absent,0.0,W4 (Pyrite),24385
-23646,Absent,0.0,W6 (BelowPyrite),24941
-23646,Absent,0.0,W7 (Antimony),25509
-23647,Absent,,BUL-1 Sand,22901
-23653,Absent,,PS90,3431
-23653,Absent,,Fault 1,3575
-23653,Absent,,PS77,4306
-23653,Absent,,Fault 2,4816
-23653,Absent,,PS70,5896
-23653,Absent,,Fault 3,6546
-23653,Absent,,Fault 4,7765
-23653,Absent,,PS50,8190
-23653,Absent,,PS53,8696
-23653,Absent,,PS60,10010
-23653,Absent,,Gas Sand 1,10138
-23653,Absent,,Gas Sand 2,10394
-23653,Absent,,M37,21160
-23653,Absent,,LM33_Yellow,21766
-23653,Absent,,M22,22229
-23653,Absent,,Fault_1,22766
-23653,Absent,,LM10_Orange,22829
-23653,Absent,,LM03,23511
-23653,Absent,,MM96_Red,24264
-23653,Absent,,MM87,24691
-23653,Absent,,Fault_2,25206
-23653,Absent,,MM77_Bronze,25225
-23653,Absent,,M66,25930
-23653,Absent,,MM55_Lime,26758
-23653,Absent,,MM49,26958
-23653,Absent,,MM43,27107
-23653,Absent,,MM30,27258
-23653,Absent,,MM04_Orange,27752
-23653,Absent,,EM_Orange_Main,28355
-23653,Absent,,EM_Orange_Minor,28758
-23653,Absent,,EM84_Purple,29078
-23653,Absent,,EM_Purple_Main,29584
-23653,Absent,,EM_Purple_Minor,30116
-23653,Absent,,EM76_Pink,30279
-23653,Absent,,EM_Pink_Main,30853
-23653,Absent,,EM_Pink_Minor,31436
-23653,Absent,,EM67_Green,31631
-23653,Absent,,EM_Green_Main,32078
-23653,Absent,,EM_Green_Minor,32637
-23653,Absent,,EM54_Yellow,32807
-23660,Absent,,OO-10 Sand,13187
-23431,Absent,,Top Camden Hills Sands,13986
-23431,Absent,,Base Camden Hills Sands,14633
-23431,Absent,,Base Miocene,17473
-23431,Absent,,Top Cretaceous,18080
-23431,Absent,,Top Sligo,21035
-23431,Absent,,Top Hosston,22399
-23431,Absent,,Top Knowles,22812
-23431,Absent,,Top Cotton Valley,22940
-23431,Absent,,Top Haynesville,23999
-23431,Absent,,Top Smackover Formation,24364
-23431,Absent,,Top Smackover Massive,25300
-23431,Absent,,Top Norphlet,25771
-23431,Absent,,Top Smackover Limestone,28030
-23671,Absent,,Top of Salt,5604
-23671,Absent,,Base of Salt,7210
-23671,Absent,,Unconformity,13632
-23671,Absent,,Pliocene,26223
-23671,Absent,,Miocene,27113
-23671,Absent,,Salt Weld,27500
-23671,Absent,,Oligocene,29575
-23671,Absent,,Frio Sand,30381
-23671,Absent,,Marls,30736
-23671,Absent,,Wilcox 1A,31572
-23671,Absent,,Wilcox 1B,31982
-23671,Absent,,Wilcox 2A,32288
-23671,Absent,,Wilcox 2B,32399
-23671,Absent,,Wilcox 3A,32681
-23671,Absent,,Wilcox 3B,33046
-23671,Absent,,Wilcox 4A,33350
-23671,Absent,,Wilcox 4B,33456
-23671,Absent,,Wilcox 4C,33618
-23815,Absent,,PS90,3431
-23839,Absent,,Horizon 10,4137
-23692,Absent,,Fault 1,3575
-23692,Absent,,PS77,4306
-23689,Absent,,L Sand,18224
-23689,Absent,,19000' Sand,21454
-23689,Absent,,20000' Sand,22913
-23691,Absent,,E1,12792
-23691,Absent,,I Misc,17935
-23839,Absent,,Horizon 20,4437
-23891,Absent,,02,21257
-23920,Absent,,LL15 Sand,9584
-23948,Absent,,S7000,6473
-23839,Absent,,Horizon 30,5642
-23839,Absent,,Horizon 40,6268
-23815,Absent,,Fault 1,3575
-23815,Absent,,PS77,4306
