SN_APD,DRIVE_SIZE,DRIVE_DEPTH,Y_COORD_LOC,X_COORD_LOC,N_S_CODE,N_S_DISTANCE,E_W_CODE,E_W_DISTANCE,LATITUDE,LONGITUDE,SN_BOREHOLE_FK
-381,24.0,450.0,-76141.443725,1503225.23924,S,6600,E,6291,28.44809361,-92.87873472,
-381,24.0,450.0,-77641.431178,1503226.083105,S,5100,E,6290,28.44396972,-92.87866917,
-407,30.0,381.0,342545.529185,1219111.947239,N,6971,W,4757,29.58562,-93.79027778,
-426,26.0,316.0,277690.0,2755831.0,N,390,W,2481,29.40875833,-88.95943083,
-428,36.0,4357.0,10186947.990308,978075.966959,S,1828,E,4004,28.05646556,-89.05404694,
-428,36.0,4357.0,10186947.990308,978075.966959,S,1828,E,4004,28.05646556,-89.05404694,
-515,36.0,5447.0,9865546.003996,2519125.958434,N,2774,W,566,27.16135778,-90.29727278,
-484,26.0,335.0,104447.934291,2103693.027164,S,4779,E,5507,28.95347583,-91.00914972,
-433,30.0,235.0,275694.395769,1415929.700369,N,31,E,5038,29.41194444,-93.16777778,
-433,30.0,235.0,272625.85,1415367.8,N,3100,E,5600,29.40348222,-93.16938806,
-517,30.0,405.0,9723.998196,1279689.069969,N,357,E,8456,28.67399444,-93.57921111,
-517,30.0,405.0,6239.008608,1275425.073909,N,3842,E,12720,28.66418306,-93.59228833,
-518,30.0,345.0,193843.438312,2543026.02031,S,7483,W,4154,29.18862278,-89.63159833,
-518,30.0,345.0,190942.97026,2544234.082126,S,4582,E,5088,29.18059806,-89.62794833,
-519,24.0,325.0,215887.954339,3004517.079132,S,2048,W,3921,28.39017028,-95.87559222,
-519,24.0,325.0,216750.017203,3003285.970614,S,2910,W,2690,28.39263083,-95.87934806,
-521,30.0,422.0,10745040.838834,1312502.717162,S,5521,E,2217,29.60329611,-88.03216611,
-521,30.0,422.0,10742580.972149,1307874.276322,S,3061,E,6846,29.59641611,-88.04666306,
-524,24.0,450.0,-78299.488295,1502568.111816,S,4442,E,6948,28.44213611,-92.88068806,
-524,24.0,450.0,-77641.431178,1503226.083105,S,5100,E,6290,28.44396972,-92.87866917,
-212,30.0,360.0,24111.240091,2148049.986252,N,5750,W,7650,28.73214611,-90.87148667,
-212,30.0,360.0,24111.240091,2148049.986252,N,5750,W,7650,28.73214611,-90.87148667,
-214,36.0,476.0,-68605.177997,2097911.06485,N,736,W,4311,28.47766806,-91.02866472,
-214,36.0,476.0,-76844.693819,2097866.182832,S,4986,W,4266,28.45501333,-91.0288725,
-219,36.0,4357.0,10186947.990308,978075.966959,S,1828,E,4004,28.05646556,-89.05404694,
-219,36.0,4357.0,10186947.990308,978075.966959,S,1828,E,4004,28.05646556,-89.05404694,
-220,30.0,400.0,140537.468832,1370752.669328,N,2366,E,5941,29.038255,-93.30234889,
-220,30.0,400.0,138770.519903,1370498.371377,N,4133,E,6195,29.03338472,-93.30304944,
-224,26.0,507.0,-56495.717942,1926846.622999,S,7079,W,1957,28.51112222,-91.56103889,
-224,26.0,507.0,-59469.76,1925877.2,S,4105,W,988,28.50293944,-91.56403778,
-235,36.0,350.0,133309.031569,2366110.550215,N,1021,W,1982,29.0282125,-90.18786639,
-235,36.0,350.0,130317.0,2367889.26,N,4013,W,3761,29.01993583,-90.18239556,
-277,30.0,360.0,24111.240091,2148049.986252,N,5750,W,7650,28.73214611,-90.87148667,
-277,30.0,360.0,24111.240091,2148049.986252,N,5750,W,7650,28.73214611,-90.87148667,
-284,30.0,385.0,130871.938182,1516717.043847,S,7001,W,7201,29.017775,-92.845265,
-284,30.0,385.0,130871.938182,1516717.043847,S,7001,W,7201,29.017775,-92.845265,
-286,72.0,640.0,-33614.544794,2196414.883532,S,6332,E,5631,28.57279528,-90.72157472,
-286,72.0,640.0,-33614.544794,2196414.883532,S,6332,E,5631,28.57279528,-90.72157472,
-351,24.0,295.0,128786.994055,2337244.157793,S,9215,W,2632,29.01654,-90.27830694,
-355,36.0,350.0,133309.031569,2366110.550215,N,1021,W,1982,29.0282125,-90.18786639,
-351,24.0,295.0,123920.693323,2336454.682683,S,4349,W,1843,29.00317861,-90.28091639,
-355,36.0,350.0,130317.0,2367889.26,N,4013,W,3761,29.01993583,-90.18239556,
-357,42.0,637.0,-210424.778867,1563517.190831,S,5139,E,5031,28.08102389,-92.68626111,
-357,42.0,637.0,-212904.045789,1559400.008826,S,2660,W,5610,28.07407417,-92.69893,
-366,30.0,470.0,80.840317,2335217.763013,N,1427,W,606,28.66268583,-90.28831778,
-366,30.0,470.0,-1708.36,2337195.18,N,3216,W,2583,28.65771639,-90.28220472,
-364,30.0,300.0,308947.969887,1367609.212552,S,3706,W,5674,29.50116333,-93.321325,
-364,30.0,300.0,309400.063322,1366549.964906,S,4158,W,4614,29.50235583,-93.32467889,
-388,30.0,385.0,126066.592128,1524103.920566,S,2195,E,170,29.00482778,-92.82196278,
-388,30.0,385.0,130876.178285,1516701.914849,S,7005,W,7186,29.01778611,-92.8453125,
-431,36.0,2515.0,10087084.065556,2353465.834638,N,2996,E,6694,27.77943611,-90.79436944,
-431,36.0,2515.0,10082727.617073,2352317.353981,N,7352,E,7843,27.76751389,-90.79816111,
-455,30.0,375.0,151823.977141,1864327.161971,N,2080,E,473,29.08346806,-91.75804611,
-455,30.0,375.0,151823.96645,1862300.52259,N,2080,E,2500,29.08344722,-91.76439028,
-464,36.0,400.0,353620.010206,1386921.969909,S,4104,E,4530,29.62490194,-93.26298944,
-464,36.0,400.0,353620.013306,1386922.001739,S,4104,E,4530,29.62490194,-93.26298944,
-497,30.0,508.0,-114774.071376,2213867.184108,N,5020,E,3779,28.34937806,-90.66868472,
-497,30.0,508.0,-114774.071376,2213867.184108,N,5020,E,3779,28.34937806,-90.66868472,
-520,24.0,450.0,-76141.443725,1503225.23924,S,6600,E,6291,28.44809361,-92.87873472,
-520,24.0,450.0,-77641.431178,1503226.083105,S,5100,E,6290,28.44396972,-92.87866917,
-507,36.0,2626.0,10003215.982985,1227396.965843,N,7664,W,7717,27.56040611,-94.27514222,
-507,36.0,2626.0,10005693.0,1228827.0,N,5187,E,6693,27.56726111,-94.27080667,
-522,36.0,271.0,136933.674778,2372284.814837,S,2604,E,2493,29.03800833,-90.16843472,
-522,36.0,271.0,136207.0,2372375.3767,S,1877,E,2826,29.0360075,-90.16817444,
-206,26.0,324.0,278788.031721,2741323.873512,S,708,W,2724,29.41259583,-89.00491194,
-206,26.0,324.0,275596.0,2741576.0,N,2484,W,2976,29.40380556,-89.00432389,
-211,30.0,335.0,266008.96331,1292390.01849,S,5041,W,4245,29.37930083,-93.55511194,
-211,30.0,335.0,265589.017429,1294721.248354,S,4621,W,6576,29.37827028,-93.54776861,
-222,26.0,400.0,6184.729703,1643037.023177,N,1479,E,4345,28.67890611,-92.44631861,
-222,26.0,400.0,3747.647419,1642918.725047,N,3916,E,4463,28.67220194,-92.44661361,
-225,36.0,5712.0,10248561.914509,1072102.821501,S,82,E,5017,28.22997278,-88.76535056,
-225,36.0,5712.0,10251145.0,1069435.0,S,2665,E,7685,28.23696972,-88.77375194,
-226,30.0,506.0,-88342.073042,2062789.782289,N,6511,W,390,28.42361111,-91.13805556,
-226,30.0,506.0,-87634.271167,2063145.840377,N,5803,W,746,28.42555556,-91.13694444,
-233,36.0,5730.0,10236250.127221,1060714.950275,S,3610,E,565,28.19565194,-88.8001425,
-233,36.0,5730.0,10240935.0,1063180.0,N,7545,W,1900,28.20863667,-88.79270583,
-234,26.0,1335.0,10100668.607219,1141051.969349,N,5251,W,572,27.8257725,-94.54542,
-234,26.0,1335.0,10103285.658239,1139300.2573,N,2634,E,1180,27.83291056,-94.55094194,
-248,30.0,350.0,516720.750009,3605120.810302,S,1921,W,2605,29.15953139,-93.96913167,
-248,30.0,350.0,519285.071528,3602670.021365,S,4485,W,154,29.1668675,-93.97645861,
-250,30.0,500.0,-59617.139543,1943785.926347,S,3958,W,3875,28.50262139,-91.50829694,
-250,30.0,500.0,-53476.186068,1937774.426656,N,4400,E,2137,28.51948,-91.52703972,
-253,30.0,564.0,151902.592503,3682825.842089,S,1423,W,1110,28.14772778,-93.776935,
-253,30.0,564.0,159230.0,3685443.81,N,7090,W,3728,28.16753833,-93.76780306,
-255,24.0,920.0,59271.064353,3488632.651591,S,3831,E,3003,27.91564222,-94.39032139,
-255,24.0,920.0,57216.672896,3486728.14039,S,1777,E,4908,27.91020306,-94.39646306,
-256,30.0,420.0,-9200.037064,1587077.999811,N,249,W,3772,28.63499333,-92.6202425,
-256,30.0,420.0,-9200.037064,1587077.999811,N,249,W,3772,28.63499333,-92.6202425,
-288,24.0,525.0,89392.632436,2481449.866045,S,7243,W,1372,28.9037875,-89.82883944,
-288,24.0,525.0,90171.0,2484060.93,S,8021,E,6467,28.90583306,-89.82064889,
-295,26.0,385.0,-6510.388649,1796897.000418,N,1774,W,1934,28.64722222,-91.96638889,
-295,26.0,385.0,-7651.863,1802745.662,N,2915,W,7783,28.64417111,-91.94814028,
-314,30.0,650.0,-153739.78877,1980330.097197,N,3174,E,4648,28.24393611,-91.39439889,
-314,30.0,650.0,-151628.049394,1982248.032877,N,1062,E,2730,28.24974472,-91.38844778,
-316,36.0,400.0,353620.013306,1386922.001739,S,4104,E,4530,29.62490195,-93.26298934,
-316,36.0,400.0,353620.013306,1386922.001739,S,4104,E,4530,29.62490195,-93.26298934,
-319,30.0,500.0,-117730.26878,2107210.641306,S,5985,E,1989,28.34252694,-91.00017194,
-319,30.0,500.0,-117730.26878,2107210.641306,S,5985,E,1989,28.34252694,-91.00017194,
-322,36.0,459.0,-55350.208672,2085741.142346,N,1442,W,7741,28.51419722,-91.0664375,
-322,36.0,459.0,-57239.035389,2084047.002242,N,3331,W,6047,28.50901444,-91.07172444,
-343,30.0,300.0,102613.96186,2292538.083954,N,2200,W,2200,28.94562583,-90.41881139,
-343,30.0,300.0,102613.96186,2292538.083954,N,2200,W,2200,28.94562583,-90.41881139,
-368,36.0,406.0,334609.559655,1319618.781147,N,148,W,1957,29.56934444,-93.47366111,
-368,36.0,406.0,330197.581234,1320112.293915,N,4560,W,2451,29.55723889,-93.47185,
-369,30.0,385.0,126066.592128,1524103.920566,S,2195,E,170,29.00482778,-92.82196278,
-369,30.0,385.0,130876.178285,1516701.914849,S,7005,W,7186,29.01778611,-92.8453125,
-372,30.0,420.0,63375.511002,1552635.453797,N,1464,E,1155,28.83343667,-92.73033306,
-372,30.0,420.0,63428.091916,1555757.951284,N,1411,W,1968,28.83368556,-92.72058528,
-380,20.0,395.0,10847887.687841,1179872.265528,N,2512,W,7712,29.882225,-88.45362222,
-380,20.0,395.0,10848318.0,1175092.0,N,2082,W,2932,29.88324139,-88.46872333,
-904,36.0,654.0,87561.45073,1750539.552982,S,3750,E,149,28.90511,-92.11287194,
-207,42.0,637.0,-212156.00242,1562797.012719,S,3408,E,5751,28.07624139,-92.68842972,
-207,42.0,637.0,-212904.045789,1559400.008826,S,2660,W,5610,28.07407417,-92.69893,
-210,30.0,600.0,145839.055183,3693458.844362,N,4641,E,4097,28.12975861,-93.74482222,
-210,30.0,600.0,145839.055183,3693458.844362,N,4641,E,4097,28.12975861,-93.74482222,
-215,30.0,350.0,353844.538087,2773534.033168,S,2015,W,5434,29.61711694,-88.898765,
-215,30.0,350.0,354425.689632,2773111.343591,S,2596,W,5011,29.61873944,-88.90005611,
-230,30.0,650.0,-153739.78877,1980330.097197,N,3174,E,4648,28.24393611,-91.39439889,
-230,30.0,650.0,-151628.049394,1982248.032877,N,1062,E,2730,28.24974472,-91.38844778,
-251,42.0,507.0,10797470.434108,1272770.150751,N,5410,W,5570,29.74646583,-88.15886361,
-251,42.0,507.0,10797470.434108,1272770.150751,N,5410,W,5570,29.74646583,-88.15886361,
-254,30.0,295.0,370073.626909,1343501.974577,S,5799,E,3676,29.66806028,-93.40055889,
-254,30.0,295.0,372073.144,1343742.568,S,7799,E,3435,29.67357,-93.399915,
-272,24.0,565.0,153577.889916,3682345.115911,S,3098,W,629,28.15238972,-93.77819306,8564.0
-272,24.0,565.0,159236.979817,3685438.813477,N,7083,W,3723,28.16755806,-93.76781806,8564.0
-273,30.0,600.0,234430.047199,2997300.019436,S,600,E,6800,29.27388583,-88.20506861,
-273,30.0,600.0,234430.047199,2997300.019436,S,600,E,6800,29.27388583,-88.20506861,
-321,42.0,637.0,-212156.00242,1562797.012719,S,3408,E,5751,28.07624139,-92.68842972,
-303,26.0,507.0,-56495.717942,1926846.622999,S,7079,W,1957,28.51112222,-91.56103889,
-317,26.0,450.0,-11910.363433,2098593.529559,S,113,W,4994,28.63355306,-91.02606806,
-303,26.0,507.0,-59469.76,1925877.2,S,4105,W,988,28.50293944,-91.56403778,
-305,30.0,508.0,-114774.071376,2213867.184108,N,5020,E,3779,28.34937806,-90.66868472,
-305,30.0,508.0,-114774.071376,2213867.184108,N,5020,E,3779,28.34937806,-90.66868472,
-321,42.0,637.0,-212904.045789,1559400.008826,S,2660,W,5610,28.07407417,-92.69893,
-317,26.0,450.0,-7776.795315,2098587.258118,S,4247,W,4987,28.64491917,-91.02605306,
-392,36.0,2353.0,10064958.171283,2249249.001764,S,6558,E,31,27.72335333,-91.11763,
-392,36.0,2353.0,10067635.0,2247686.0,N,6605,E,1594,27.73078083,-91.12233417,
-327,24.0,444.0,-54214.730858,1315108.004127,N,5264,E,2553,28.50007639,-93.46509528,
-327,24.0,444.0,-56711.297261,1311376.797489,S,6998,E,6285,28.49302167,-93.47656083,
-332,20.0,303.0,360702.670567,1433382.883795,N,3571,E,2343,29.64644694,-93.11712583,
-332,20.0,303.0,365567.14,1438214.85,S,1293,W,2489,29.66002861,-93.10215306,
-377,26.0,400.0,6184.729703,1643037.023177,N,1479,E,4345,28.67890611,-92.44631861,
-377,26.0,400.0,3747.647419,1642918.725047,N,3916,E,4463,28.67220194,-92.44661361,
-394,24.0,590.0,186831.333765,2818862.109555,S,1375,E,3678,29.15522,-88.76791528,
-394,24.0,590.0,195854.98471,2819614.168814,N,4359,E,2926,29.17998222,-88.76492639,
-395,30.0,508.0,-114774.071376,2213867.184108,N,5020,E,3779,28.34937806,-90.66868472,
-395,30.0,508.0,-114774.071376,2213867.184108,N,5020,E,3779,28.34937806,-90.66868472,
-398,24.0,590.0,189118.366231,2816298.354296,S,3662,E,6242,29.16166528,-88.77578472,
-398,24.0,590.0,195851.999374,2819607.232036,N,4362,E,2933,29.17997444,-88.76494833,
-422,30.0,318.0,101914.38,2188384.343331,S,1512,W,1786,28.94558083,-90.74441694,
-422,30.0,318.0,104352.745301,2189795.847905,S,3950,E,12250,28.95226611,-90.739965,
-403,26.0,1335.0,10100668.607219,1141051.969349,N,5251,W,572,27.8257725,-94.54542,
-403,26.0,1335.0,10103285.658239,1139300.2573,N,2634,E,1180,27.83291056,-94.55094194,
-425,30.0,837.0,32519.992347,2612299.959125,N,5356,E,3628,28.74205361,-89.42297333,
-425,30.0,837.0,32519.992347,2612299.959125,N,5356,E,3628,28.74205361,-89.42297333,
-437,30.0,300.0,511815.032254,3524228.798017,N,2985,W,913,29.15537694,-94.22300667,
-440,24.0,846.0,6328.021996,2619700.252871,N,2032,W,3772,28.66970111,-89.40126667,
-429,26.0,412.0,217940.042638,3188395.852096,S,4100,E,2280,28.38106667,-95.30381306,
-429,26.0,412.0,217940.042638,3188395.852096,S,4100,E,2280,28.38106667,-95.30381306,
-437,30.0,300.0,511815.032254,3524228.798017,N,2985,W,913,29.15537694,-94.22300667,
-440,24.0,846.0,6377.0,2622202.0,N,1983,W,6274,28.66971944,-89.39346556,
-442,24.0,433.0,61246.438397,1871002.902242,N,5666,W,6202,28.8344575,-91.73615167,
-442,24.0,433.0,60516.017485,1872933.460488,N,6396,E,6889,28.8324675,-91.73011528,
-443,26.0,1038.0,10497501.116399,1023043.226012,N,4419,E,6557,28.912465,-88.93013333,
-443,26.0,1038.0,10506411.149181,1028978.796874,S,4491,E,621,28.93722972,-88.91203472,
-218,26.0,350.0,2549171.983628,180106.960497,N,6254,E,150,29.15059972,-89.61298722,
-218,26.0,350.0,181339.029837,2547405.986795,N,5021,E,1916,29.15406028,-89.61846083,
-245,30.0,600.0,234430.047199,2997300.019436,S,600,E,6800,29.27388583,-88.20506861,
-245,30.0,600.0,234430.047199,2997300.019436,S,600,E,6800,29.27388583,-88.20506861,
-242,24.0,400.0,10806954.047292,1220384.002744,S,4074,W,704,29.77099833,-88.32429917,
-242,24.0,400.0,10802227.961637,1220120.974838,N,652,W,441,29.7579925,-88.32495722,
-247,24.0,350.0,353133.17238,2786482.333143,S,1303,W,3632,29.61439833,-88.85807333,
-247,24.0,350.0,352871.23337,2782245.123942,S,1041,E,605,29.61392917,-88.8714225,
-257,36.0,400.0,353620.013306,1386922.001739,S,4104,E,4530,29.62490195,-93.26298934,
-257,36.0,400.0,353620.013306,1386922.001739,S,4104,E,4530,29.62490195,-93.26298934,
-269,20.0,475.0,80499.990055,2322486.02174,S,5202,W,2632,28.88412667,-90.32580167,
-275,36.0,4587.0,10170720.03833,896266.98235,S,1440,E,6613,28.00782,-89.30664167,
-262,24.0,750.0,52440.031568,3620980.764104,N,3000,W,2625,27.88189472,-93.98188361,
-262,24.0,750.0,53974.618147,3620127.826179,N,1465,W,1772,27.88621167,-93.98431722,
-269,20.0,475.0,80850.045349,2324059.026219,S,5552,W,4205,28.88505111,-90.32087778,
-275,36.0,4587.0,10170719.998634,893896.002804,S,1440,W,6856,28.00769639,-89.31398611,
-282,36.0,5730.0,10236250.127221,1060714.950275,S,3610,E,565,28.19565194,-88.8001425,
-282,36.0,5730.0,10240935.0,1063180.0,N,7545,W,1900,28.20863667,-88.79270583,
-289,30.0,500.0,-59617.139543,1943785.926347,S,3958,W,3875,28.50262139,-91.50829694,
-289,30.0,500.0,-53476.186068,1937774.426656,N,4400,E,2137,28.51948,-91.52703972,
-315,36.0,8984.0,10122510.021942,1379630.044341,S,750,W,1550,27.89215889,-87.8076075,
-315,36.0,8984.0,10122510.021942,1379630.044341,S,750,W,1550,27.89215889,-87.8076075,
-331,42.0,637.0,-210424.778867,1563517.190831,S,5139,E,5031,28.08102389,-92.68626111,
-331,42.0,637.0,-212904.045789,1559400.008826,S,2660,W,5610,28.07407417,-92.69893,
-340,30.0,502.0,-55299.876103,1943143.140839,N,6224,W,3232,28.51448944,-91.51031833,
-340,30.0,502.0,-53468.18,1937778.36,N,4392,E,2133,28.51950194,-91.5270275,
-438,30.0,380.0,133227.029985,1376884.020091,S,5082,W,190,29.01844306,-93.2827775,
-438,30.0,380.0,133227.029985,1376884.020091,S,5082,W,190,29.01844306,-93.2827775,
-406,30.0,500.0,-117730.26878,2107210.641306,S,5985,E,1989,28.34252694,-91.00017194,
-406,30.0,500.0,-117730.26878,2107210.641306,S,5985,E,1989,28.34252694,-91.00017194,
-411,36.0,9366.0,10135360.007263,1428729.00119,N,2240,W,3129,27.92832249,-87.65577945,
-411,36.0,9366.0,10135360.0,1428729.0,N,2240,W,3129,27.9283225,-87.65577944,
-417,26.0,1352.0,10099224.03721,1144091.914112,N,6696,W,3612,27.82190389,-94.53595889,
-417,26.0,1352.0,10103285.658239,1139300.2573,N,2634,E,1180,27.83291056,-94.55094194,
-419,30.0,385.0,159935.475887,1308507.409852,S,2274,W,5604,29.08850222,-93.49822667,
-419,30.0,385.0,159935.475887,1308507.409852,S,2274,W,5604,29.08850222,-93.49822667,
-420,30.0,345.0,191694.486354,2546781.025957,S,5334,E,2541,29.18256,-89.61993333,
-420,30.0,345.0,190942.945926,2544219.007903,S,4582,E,5103,29.18059861,-89.62799556,
-421,42.0,637.0,-213690.037711,1558319.610423,S,1874,W,4529,28.07187806,-92.70224917,
-421,42.0,637.0,-212904.045789,1559400.008826,S,2660,W,5610,28.07407417,-92.69893,
-447,20.0,250.0,264318.738286,2740701.701343,S,989,W,2102,29.37284806,-89.00778778,
-449,30.0,320.0,234386.547971,1465742.992897,S,7209,W,501,29.30045917,-93.00945028,
-447,20.0,250.0,266679.776254,2737117.176412,S,3350,E,1483,29.37953917,-89.01888917,
-449,30.0,320.0,228763.568,1467142.952,S,1586,W,1901,29.28505389,-93.00480139,
-458,30.0,346.0,281921.949813,1375235.004848,S,6196,E,1459,29.42721389,-93.29590222,
-459,30.0,500.0,124213.367546,3686278.797022,S,5413,W,4563,28.0712275,-93.77007278,
-456,30.0,345.0,191632.992296,2540935.055911,S,5272,W,2063,29.18263,-89.6382525,
-456,30.0,345.0,190949.9199,2544225.999342,S,4589,E,5096,29.1806175,-89.62797333,
-458,30.0,346.0,281921.949813,1375235.004848,S,6196,E,1459,29.42721389,-93.29590222,
-541,48.0,304.0,363271.961727,1290999.975445,N,1002,W,2855,29.64665056,-93.56542333,
-541,48.0,304.0,363271.961727,1290999.975445,N,1002,W,2855,29.64665056,-93.56542333,
-542,30.0,560.0,-149591.223362,1967665.718031,S,975,E,2290,28.2553175,-91.43372694,
-542,30.0,560.0,-149591.223362,1967665.718031,S,975,E,2290,28.2553175,-91.43372694,
-547,26.0,476.0,59275.171141,1735357.862538,S,4980,E,15331,28.82703639,-92.15967417,
-547,26.0,476.0,64285.810176,1734337.522254,N,2410,W,13165,28.84079417,-92.16297333,
-557,26.0,1352.0,10099160.898497,1144376.285504,N,6759,W,3896,27.82174,-94.53507667,
-557,26.0,1352.0,10103285.658239,1139300.2573,N,2634,E,1180,27.83291056,-94.55094194,
-560,36.0,4642.0,9926762.649024,2578759.47417,N,4917,E,3161,27.32595528,-90.10968778,
-560,36.0,4642.0,9923565.460698,2577901.234371,S,7725,E,4019,27.31722278,-90.11255639,
-249,26.0,469.0,-56425.129471,1927217.199086,S,7150,W,2328,28.51131833,-91.55988583,
-249,26.0,469.0,-59479.76,1925884.2,S,4095,W,995,28.50291194,-91.56401583,
-271,36.0,9262.0,9995776.985551,1392445.99423,S,737,E,1474,27.54367972,-87.76548306,
-271,36.0,9262.0,9995776.985551,1392445.99423,S,737,E,1474,27.54367972,-87.76548306,
-274,24.0,750.0,52440.031568,3620980.764104,N,3000,W,2625,27.88189472,-93.98188361,
