RIG_NAME,RIG_TYPE,NOTES
* HYDRAULIC WORKOVER UNIT (LAF,snubbing_unit,hydraulic workover unit - Lafayette
* HYDRAULIC WORKOVER UNIT (LC),snubbing_unit,hydraulic workover unit - Lake Charles
* HYDRAULIC WORKOVER UNIT (LJ),snubbing_unit,hydraulic workover unit - Lake Jackson
* HYDRAULIC WORKOVER UNIT (NO),snubbing_unit,hydraulic workover unit - New Orleans
* HYDRAULIC WORKOVER UNIT HO#3,snubbing_unit,hydraulic workover unit
* HYDRAULIC WORKOVER UNIT LJ#2,snubbing_unit,hydraulic workover unit
* HYDRAULIC WORKOVER UNIT NO#2,snubbing_unit,hydraulic workover unit
* JACKUP RIG TO BE DETERMINED,unknown,TBD entry
* LIFT BOAT,lift_boat,generic lift boat
* LIFT BOAT (HOUMA #2),lift_boat,lift boat - Houma district
* LIFT BOAT (HOUMA #3),lift_boat,lift boat - Houma district
* LIFT BOAT (HOUMA DIST),lift_boat,lift boat - Houma district
* LIFT BOAT (L.C.#2),lift_boat,lift boat - Lake Charles district
* LIFT BOAT (L.C.#3),lift_boat,lift boat - Lake Charles district
* LIFT BOAT (L.J. #2)),lift_boat,lift boat - Lake Jackson district
* LIFT BOAT (L.J. #3),lift_boat,lift boat - Lake Jackson district
* LIFT BOAT (LAF #2),lift_boat,lift boat - Lafayette district
* LIFT BOAT (LAF #3),lift_boat,lift boat - Lafayette district
* LIFT BOAT (LAFAYETTE DIST),lift_boat,lift boat - Lafayette district
* LIFT BOAT (LAKE CHARLES DIST,lift_boat,lift boat - Lake Charles district
* LIFT BOAT (LAKE JACKSON),lift_boat,lift boat - Lake Jackson district
* LIFT BOAT (N.O. #2),lift_boat,lift boat - New Orleans district
* LIFT BOAT (N.O. #3),lift_boat,lift boat - New Orleans district
* LIFT BOAT (NEW ORLEANS DIST),lift_boat,lift boat - New Orleans district
* NONE RIG PA OPERATION,unknown,plugging & abandonment operation
* NONE RIG PA OPERATION (HOUMA,unknown,plugging & abandonment operation
* NONE RIG PA OPERATION (LAF),unknown,plugging & abandonment operation
* NONE RIG PA OPERATION (LC),unknown,plugging & abandonment operation
* NONE RIG PA OPERATION (LJ),unknown,plugging & abandonment operation
* NONE RIG PA OPERATION (NO),unknown,plugging & abandonment operation
* SNUBBING UNIT,snubbing_unit,generic snubbing unit
* SNUBBING UNIT (HOUMA #2),snubbing_unit,snubbing unit - Houma district
* SNUBBING UNIT (HOUMA DIST),snubbing_unit,snubbing unit - Houma district
* SNUBBING UNIT (L.C. DIST),snubbing_unit,snubbing unit - Lake Charles district
* SNUBBING UNIT (L.J. DIST),snubbing_unit,snubbing unit - Lake Jackson district
* SNUBBING UNIT (LAF DIST),snubbing_unit,snubbing unit - Lafayette district
* SNUBBING UNIT (N.O.DIST),snubbing_unit,snubbing unit - New Orleans district
* UNSPECIFIED - DO NOT DELETE,unknown,unspecified generic entry
* WIRELINE (GENERIC),wireline_unit,generic wireline unit
* WIRELINE UNIT,wireline_unit,generic wireline unit
* WIRELINE UNIT (HOUMA #2),wireline_unit,wireline unit - Houma district
* WIRELINE UNIT (HOUMA #3),wireline_unit,wireline unit - Houma district
* WIRELINE UNIT (HOUMA #5),wireline_unit,wireline unit - Houma district
* WIRELINE UNIT (HOUMA DIST),wireline_unit,wireline unit - Houma district
* WIRELINE UNIT (L.C.#2),wireline_unit,wireline unit - Lake Charles district
* WIRELINE UNIT (L.C.#3),wireline_unit,wireline unit - Lake Charles district
* WIRELINE UNIT (L.C.DIST),wireline_unit,wireline unit - Lake Charles district
* WIRELINE UNIT (L.J.#2),wireline_unit,wireline unit - Lake Jackson district
* WIRELINE UNIT (L.J.#3),wireline_unit,wireline unit - Lake Jackson district
* WIRELINE UNIT (L.J.DIST),wireline_unit,wireline unit - Lake Jackson district
* WIRELINE UNIT (LAF #2),wireline_unit,wireline unit - Lafayette district
* WIRELINE UNIT (LAF #3),wireline_unit,wireline unit - Lafayette district
* WIRELINE UNIT (LAF DIST),wireline_unit,wireline unit - Lafayette district
* WIRELINE UNIT (N.O. #2),wireline_unit,wireline unit - New Orleans district
* WIRELINE UNIT (N.O. #3),wireline_unit,wireline unit - New Orleans district
* WIRELINE UNIT (N.O.DIST),wireline_unit,wireline unit - New Orleans district
** RIG TO BE DETERMINED,unknown,TBD entry
** RIG TO BE DETERMINED DP SEMI,unknown,TBD entry
",AROME 300",unknown,typo/unclear
-,unknown,garbage entry
.,unknown,garbage entry
/SL,wireline_unit,slickline unit abbreviation
1004 E,unknown,unclear designation
11-JUN-2002,unknown,date entry
14000,unknown,number only
21MAR90,unknown,date entry
23514,unknown,number only
30BLE AMOS RUNNER,jack_up,Noble Amos Runner typo
3NSCO 98,jack_up,Ensco 98 typo
41EP,unknown,unclear designation
6025,unknown,number only
ACHILLES,jack_up,Falcon Achilles jack-up
ADIATIC IV,jack_up,Adriatic IV typo
ADIRATIC III,jack_up,Adriatic III typo
ADRIATIC,jack_up,Glomar/GSF Adriatic jack-up
ADRIATIC 11,jack_up,Adriatic II typo
ADRIATIC 111,jack_up,Adriatic III typo
ADRIATIC II,jack_up,Glomar/GSF Adriatic II jack-up
ADRIATIC III,jack_up,Glomar/GSF Adriatic III jack-up
ADRIATIC IV,jack_up,Glomar/GSF Adriatic IV jack-up
ADRIATIC IX,jack_up,Glomar/GSF Adriatic IX jack-up
ADRIATIC X,jack_up,Glomar/GSF Adriatic X jack-up
AL BREAUX,jack_up,jack-up rig
ALABAMA,jack_up,Pride Alabama jack-up
ALASKA,jack_up,Rowan/Pride Alaska jack-up
AMBERJACK/EL,wireline_unit,platform with electric line
AMERICAN CONSTITUTION,support_vessel,dive support vessel
AMERICAN CONSTITUTION D. BOAT,support_vessel,dive support vessel
AMERICAN CONSTITUTION DIVE BOA,support_vessel,dive support vessel
AMIRANTE,jack_up,Transocean Amirante jack-up
AMOS RUNNER,jack_up,Noble Amos Runner jack-up
ANCHORAGE,jack_up,Rowan Anchorage jack-up
APPLIED SNUBBING TECH #103,snubbing_unit,snubbing unit
ARAPAHOE (LIFT BOAT),lift_boat,lift boat
ARCTIC 1,jack_up,GSF Arctic I jack-up
ARCTIC I,jack_up,GSF Arctic I jack-up
ARCTOC 1,jack_up,Arctic I typo
ARIES RAM XI L.BOAT/FALCON PHO,lift_boat,Aries Ram XI lift boat
ARRIATIC IV,jack_up,Adriatic IV typo
ARRIATIC IVV,jack_up,Adriatic IV typo
ARTIC 1,jack_up,Arctic I typo
ARTIC I,jack_up,GSF Arctic I jack-up
AST SNUBBING UNIT #104,snubbing_unit,snubbing unit
ATTWOOD HUNTER,jack_up,Atwood Hunter jack-up
ATTWOOD RICHMOND,jack_up,Atwood Richmond jack-up
AUGER,platform_rig,Auger TLP platform rig
AUGER TLP,platform_rig,Auger TLP platform rig
B/A,unknown,unclear abbreviation
BAKER ATLAS WIRELINE,wireline_unit,wireline unit
BALTIC 1,jack_up,Glomar Baltic I jack-up
BALTIC I,jack_up,Glomar Baltic I jack-up
BELFORD DOLPHIN,semi_submersible,Belford Dolphin semi
BILL JENNINGS,jack_up,Noble Bill Jennings jack-up
BLAKE 1006,jack_up,Blake jack-up rig
BLAKE 1007,jack_up,Blake jack-up rig
BLAKE 101,jack_up,Blake jack-up rig
BLAKE 14,jack_up,Blake jack-up rig
BLAKE 1501,jack_up,Blake jack-up rig
BLAKE 1501E,jack_up,Blake jack-up rig
BLAKE 1502,jack_up,Blake jack-up rig
BLAKE 1505,jack_up,Blake jack-up rig
BLAKE 151,jack_up,Blake jack-up rig
BLAKE 202,jack_up,Blake jack-up rig
BLAKE 210,jack_up,Blake jack-up rig
BLAKE 303,jack_up,Blake jack-up rig
BLAKE 651,jack_up,Blake jack-up rig
BLAKE INTERNATIONAL,jack_up,Blake jack-up rig
BOAT,unknown,unclear designation
BOB PALMER,jack_up,Rowan Bob Palmer jack-up
BOOKER 1005,jack_up,Booker jack-up rig
BOOKER 651,jack_up,Booker jack-up rig
BOOKER 653,jack_up,Booker jack-up rig
BORGNY DOLPHIN,semi_submersible,Borgny Dolphin semi
BRAID LINE/CTU/EL,wireline_unit,multi-intervention unit
BRAIDED LN/EL/CTU/SL,wireline_unit,multi-intervention unit
C E THORNTON,jack_up,C.E. Thornton jack-up
C KIRK RHEIN,jack_up,C. Kirk Rhein jack-up
C KIRK RHEIN JR,jack_up,C. Kirk Rhein Jr jack-up
"C KIRK RHEIN, JR",jack_up,C. Kirk Rhein Jr jack-up
C R LUIGS,jack_up,C.R. Luigs jack-up
C-T,coil_tubing_unit,coiled tubing unit abbreviation
"C. KIRK REHEIN, JR",jack_up,C. Kirk Rhein Jr jack-up
C. KIRK RHEIN,jack_up,C. Kirk Rhein jack-up
"C. KIRK RHEIN, JR.",jack_up,C. Kirk Rhein Jr jack-up
C. R. LUIGS,jack_up,C.R. Luigs jack-up
C.E. THORNTON,jack_up,C.E. Thornton jack-up
"C.KIRK RHEIN, JR.",jack_up,C. Kirk Rhein Jr jack-up
C.R. LUGIS,jack_up,C.R. Luigs typo
C.R. LUIGIS,jack_up,C.R. Luigs typo
C.R. LUIGS,jack_up,C.R. Luigs jack-up
C.R.LUIGS,jack_up,C.R. Luigs jack-up
C/T,coil_tubing_unit,coiled tubing unit abbreviation
CAL DIVE Q-4000,support_vessel,Cal Dive Q-4000 dive support vessel
CAL DIVE UNCLE JOHN,support_vessel,Cal Dive Uncle John dive support vessel
CAL-DIVE Q-4000,support_vessel,Cal Dive Q-4000 dive support vessel
CAL-DIVE UNCLE JOHN,support_vessel,Cal Dive Uncle John dive support vessel
CALDIVE Q-4000,support_vessel,Cal Dive Q-4000 dive support vessel
CALDIVE Q-4000 (SS),support_vessel,Cal Dive Q-4000 dive support vessel
CARDINAL SERVICES - PJ JONES,unknown,service company entry
CARL NORBERG,jack_up,Noble Carl Norberg jack-up
CARL NORBERT,jack_up,Noble Carl Norberg typo
CARL NORGERB,jack_up,Noble Carl Norberg typo
CDCILE PROVINE,jack_up,Cecil Provine typo
CDI Q-4000,support_vessel,Cal Dive Q-4000 dive support vessel
CEAN KING,semi_submersible,Ocean King typo
CECIL PRIVINE,jack_up,Cecil Provine jack-up
CECILE PROVINE,jack_up,Cecil Provine jack-up
CELTIC SEA,jack_up,GSF Celtic Sea jack-up
CHALLENGER MINERALS INC,unknown,operator name
CHARLES COPELAND,jack_up,jack-up rig
CHERYL DANIELS,lift_boat,lift boat
CHHILES TONALA,jack_up,Chiles Tonala typo
"CHILES ""FALRIG 20""",jack_up,Chiles jack-up rig
"CHILES ""TONALA""",jack_up,Chiles Tonala jack-up
CHILES COLUMBIS,jack_up,Chiles Columbus typo
CHILES COLUMBUS,jack_up,Chiles Columbus jack-up
CHILES MAGELIAN,jack_up,Chiles Magellan typo
CHILES MAGELLAN,jack_up,Chiles Magellan jack-up
CHILES OFFSHORE TONALA,jack_up,Chiles Tonala jack-up
CHILES TONALA,jack_up,Chiles Tonala jack-up
CHILLES TONALA,jack_up,Chiles Tonala typo
CIOL TUBING,coil_tubing_unit,coiled tubing unit typo
CIUK TUBING,coil_tubing_unit,coiled tubing unit typo
CLADIVE Q-4000 (SS),support_vessel,Cal Dive Q-4000 dive support vessel
CLIFF 156,jack_up,Cliffs Drilling jack-up
CLIFF 200,jack_up,Cliffs Drilling jack-up
CLIFF DRILLING 100,jack_up,Cliffs Drilling jack-up
CLIFF DRILLING 150,jack_up,Cliffs Drilling jack-up
CLIFF DRILLING 151,jack_up,Cliffs Drilling jack-up
CLIFF DRILLING 152,jack_up,Cliffs Drilling jack-up
CLIFF DRILLING 155,jack_up,Cliffs Drilling jack-up
CLIFF DRILLING 200,jack_up,Cliffs Drilling jack-up
CLIFF'S 200,jack_up,Cliffs Drilling jack-up
CLIFF'S RIG NO. 150,jack_up,Cliffs Drilling jack-up
CLIFFS 150,jack_up,Cliffs Drilling jack-up
CLIFFS 152,jack_up,Cliffs Drilling jack-up
CLIFFS 153,jack_up,Cliffs Drilling jack-up
CLIFFS 155,jack_up,Cliffs Drilling jack-up
CLIFFS 156,jack_up,Cliffs Drilling jack-up
CLIFFS 180,jack_up,Cliffs Drilling jack-up
CLIFFS 200,jack_up,Cliffs Drilling jack-up
CLIFFS DRILLING 152,jack_up,Cliffs Drilling jack-up
CLIFFS DRILLING 153,jack_up,Cliffs Drilling jack-up
CLIFFS DRILLING 156,jack_up,Cliffs Drilling jack-up
CLIFFS DRILLING 180,jack_up,Cliffs Drilling jack-up
CLIFFS RIG 152,jack_up,Cliffs Drilling jack-up
CLIFFS RIG 180,jack_up,Cliffs Drilling jack-up
CLOMAR MAIN PASS IV,jack_up,Glomar Main Pass IV typo
COASTAL RIG 22,jack_up,Coastal jack-up rig
COIL TBG UNIT,coil_tubing_unit,coiled tubing unit abbreviation
COIL TUBING,coil_tubing_unit,coiled tubing unit
COIL TUBING UNIT,coil_tubing_unit,coiled tubing unit
COIL TUBING UNIT - E-LINE,coil_tubing_unit,coiled tubing with electric line
COIL TUBING UNIT / ELU,coil_tubing_unit,coiled tubing with electric line
COIL TUBING UNIT/TETRA 7,coil_tubing_unit,coiled tubing unit
COIL TUBING UNIT/WIRELINE UNIT,coil_tubing_unit,coiled tubing with wireline
COIL TUBING/ ELECTRIC LINE,coil_tubing_unit,coiled tubing with electric line
COIL TUBING/ SLICKLINE,coil_tubing_unit,coiled tubing with slickline
COIL TUNBING UNIT,coil_tubing_unit,coiled tubing unit typo
COILED TBG,coil_tubing_unit,coiled tubing unit abbreviation
COILED TBG UNIT,coil_tubing_unit,coiled tubing unit abbreviation
COILED TBG/SLICKLINE,coil_tubing_unit,coiled tubing with slickline
COILED TUBING,coil_tubing_unit,coiled tubing unit
COILED TUBING UNIT,coil_tubing_unit,coiled tubing unit
CR LUIGS,jack_up,C.R. Luigs jack-up
CT,coil_tubing_unit,coiled tubing unit abbreviation
CT & EL,coil_tubing_unit,coiled tubing with electric line
CT UNIT,coil_tubing_unit,coiled tubing unit
"CT UNIT, WIRELINE",coil_tubing_unit,coiled tubing with wireline
"CT, EL, WL",coil_tubing_unit,multi-intervention unit
CT/EL,coil_tubing_unit,coiled tubing with electric line
CT/EL UNIT,coil_tubing_unit,coiled tubing with electric line
CTU,coil_tubing_unit,coiled tubing unit abbreviation
CTU & EL,coil_tubing_unit,coiled tubing with electric line
CTU & SL,coil_tubing_unit,coiled tubing with slickline
CTU - EL,coil_tubing_unit,coiled tubing with electric line
CTU / E-LINE,coil_tubing_unit,coiled tubing with electric line
CTU AND PA UNIT,coil_tubing_unit,coiled tubing unit
CTU EWU SLU,coil_tubing_unit,multi-intervention unit
"CTU, EL, SL",coil_tubing_unit,multi-intervention unit
"CTU, SL",coil_tubing_unit,coiled tubing with slickline
CTU-WIRELINE UNIT,coil_tubing_unit,coiled tubing with wireline
CTU/ HWO UNIT,coil_tubing_unit,coiled tubing with hydraulic workover
CTU/EL,coil_tubing_unit,coiled tubing with electric line
CTU/EL/SL,coil_tubing_unit,multi-intervention unit
CTU/ELU,coil_tubing_unit,coiled tubing with electric line
CTU/EWU,coil_tubing_unit,coiled tubing with wireline
CTU/POOL 10,coil_tubing_unit,coiled tubing on Pool rig
CTU/PRIDE MICHIGAN,coil_tubing_unit,coiled tubing on Pride Michigan
CTU/SLICKLINE,coil_tubing_unit,coiled tubing with slickline
CTU/WIRELINE/SLICK-LINE UNIT,coil_tubing_unit,multi-intervention unit
CTU/WL,coil_tubing_unit,coiled tubing with wireline
CTU/WL UNIT,coil_tubing_unit,coiled tubing with wireline
CUDD SNUBBING UNIT,snubbing_unit,snubbing unit
CUPERIOR ENERGY SERVICES P&A,unknown,P&A operation typo
D O AMERICA,semi_submersible,Diamond Ocean America typo
D O KING,semi_submersible,Diamond Ocean King typo
D.O. CHAMPION,semi_submersible,Diamond Ocean Champion semi
D.O. COLUMBIA,semi_submersible,Diamond Ocean Columbia semi
D.O. CONCORD,semi_submersible,Diamond Ocean Concord semi
D.O. CONFIDENCE,semi_submersible,Diamond Ocean Confidence semi
D.O. CRUSADER,semi_submersible,Diamond Ocean Crusader semi
D.O. DRAKE,semi_submersible,Diamond Ocean Drake semi
D.O. KING,semi_submersible,Diamond Ocean King semi
D.O. NEW ERA,semi_submersible,Diamond Ocean New Era semi
D.O. NUGGET,semi_submersible,Diamond Ocean Nugget semi
D.O. SARATOGA,semi_submersible,Diamond Ocean Saratoga semi
D.O. SUMMIT,semi_submersible,Diamond Ocean Summit semi
D/B BOAT,unknown,unclear designation
D/B BOAZ,unknown,unclear designation
D/V HAMMERHEAD,support_vessel,dive vessel
DD 202,jack_up,drilling rig
DEEP SEAS,drillship,Discoverer Deep Seas drillship
DIAMOND AMBASSADOR,semi_submersible,Diamond Ambassador semi
DIAMOND COLUMBIA,semi_submersible,Diamond Ocean Columbia semi
DIAMOND CONCORD,semi_submersible,Diamond Ocean Concord semi
DIAMOND LEXINGTON,semi_submersible,Diamond Lexington semi
DIAMOND NEW ERA,semi_submersible,Diamond Ocean New Era semi
DIAMOND OFFSHORE RATHER,semi_submersible,Diamond Offshore Rather semi
DIAMOND OFFSHORE WEST VELA,semi_submersible,Diamond West Vela semi
DIAMOND SARATOGA,semi_submersible,Diamond Ocean Saratoga semi
DIAMOND SUMMIT,semi_submersible,Diamond Ocean Summit semi
DIAMOND VICTORY,jack_up,Diamond Victory jack-up
DIAMOND WEST AURIGA,semi_submersible,Diamond West Auriga semi
DIAMOND WORKER,jack_up,Diamond Worker jack-up
DIAMOND-OCEN KING,semi_submersible,Diamond Ocean King typo
DICSOVERER 534,drillship,Discoverer drillship typo
DISCOVER DEEP SEAS,drillship,Discoverer Deep Seas drillship
DISCOVER ENTERPIRSE,drillship,Discoverer Enterprise typo
DISCOVER ENTERPRISE,drillship,Discoverer Enterprise drillship
DISCOVERY DEEP SEAS,drillship,Discoverer Deep Seas drillship
DISCOVERY ENTERPRISE,drillship,Discoverer Enterprise drillship
DISOVERER SPIRIT,drillship,Discoverer Spirit typo
DIVE BOAT,support_vessel,dive support vessel
DIVE SUPPORT VESSEL (DSV),support_vessel,dive support vessel
DIVE VESSEL/WIRELINE UNIT,support_vessel,dive vessel with wireline
DIXIE ENDEAVOR LIFT BOAT,lift_boat,Dixie Endeavor lift boat
DIXIE LEGACY LIFT BOAT,lift_boat,Dixie Legacy lift boat
DO CONCORD,semi_submersible,Diamond Ocean Concord semi
DO QUEST,semi_submersible,Diamond Ocean Quest semi
DOLPHIN,jack_up,Dolphin Titan jack-up
DOLPHIN 105,jack_up,Dolphin Titan 105 jack-up
DOLPHIN 106,jack_up,Dolphin Titan 106 jack-up
DOLPHIN 109,jack_up,Dolphin Titan 109 jack-up
DOLPHIN 110,jack_up,Dolphin Titan 110 jack-up
DOLPHIN 111,jack_up,Dolphin Titan 111 jack-up
DOLPHIN II0,jack_up,Dolphin Titan 110 typo
DOLPHIN III,jack_up,Dolphin Titan III jack-up
DOLPHIN TITAL 105 (JU),jack_up,Dolphin Titan 105 jack-up
DOLPHIN TITAL 106 (JU),jack_up,Dolphin Titan 106 jack-up
DOLPHIN TITAN 105 (JU),jack_up,Dolphin Titan 105 jack-up
DOLPHIN TITAN 106 (JU),jack_up,Dolphin Titan 106 jack-up
DOLPHIN TITAN 110,jack_up,Dolphin Titan 110 jack-up
DOLPHIN TITAN 111,jack_up,Dolphin Titan 111 jack-up
DOLPHIN TITAN III,jack_up,Dolphin Titan III jack-up
DOLPHION TITAL 106 (JU),jack_up,Dolphin Titan 106 typo
DP WORKBOAT,support_vessel,dynamic positioning workboat
DRILLING 3-1/16 CTU FOR SIDETRACKS WITH MUD MOTOR,coil_tubing_unit,coiled tubing drilling
DRL,unknown,unclear abbreviation
DSV,support_vessel,dive support vessel abbreviation
"DSV ""AMERICAN CONSTITUTION""",support_vessel,dive support vessel
DSV AMERICAN TRIUMPH,support_vessel,dive support vessel
DSV-AMERICAN TRIUMPH,support_vessel,dive support vessel
DT 105,jack_up,Dolphin Titan 105 jack-up
DT 106,jack_up,Dolphin Titan 106 jack-up
DT 110,jack_up,Dolphin Titan 110 jack-up
DT-105,jack_up,Dolphin Titan 105 jack-up
DUAL RIG 41,jack_up,Dual Drilling jack-up
DULARGE,unknown,unclear designation
DW MILLENNIUM,drillship,Deepwater Millennium drillship
DW PATHFINDER,drillship,Deepwater Pathfinder drillship
DW PATHFRINDER,drillship,Deepwater Pathfinder typo
E LINE,wireline_unit,electric line unit abbreviation
E-LINE,wireline_unit,electric line unit
E-LINE & CTU,wireline_unit,electric line with coiled tubing
E-LINE & TCU,wireline_unit,electric line with coiled tubing
E-LINE / COIL TUBING,wireline_unit,electric line with coiled tubing
E-LINE / COOIL TUBING UNIT,wireline_unit,electric line with coiled tubing
E-LINE / S-LINE,wireline_unit,electric line with slickline
E-LINE UNIT,wireline_unit,electric line unit
E-LINE/SLICKLINE,wireline_unit,electric line with slickline
E-LINE/SLICKLINE UNIT,wireline_unit,electric line with slickline
E-LINE/SLICKLINE/CTU,wireline_unit,multi-intervention unit
"E-LINTE, CT",wireline_unit,electric line with coiled tubing typo
E/L,wireline_unit,electric line abbreviation
E/L & SNUBBING UNIT,wireline_unit,electric line with snubbing
E/LINE,wireline_unit,electric line abbreviation
E/LINE & CT,wireline_unit,electric line with coiled tubing
EAR FREDERICKSON,jack_up,Earl Frederickson typo
EARL FREDEREICKSON,jack_up,Earl Frederickson typo
EARL FREDERICKSON,jack_up,Noble Earl Frederickson jack-up
EARL FREDERICSON,jack_up,Earl Frederickson typo
EARL FREDRICKSON,jack_up,Earl Frederickson typo
ECSCO 98,jack_up,Ensco 98 typo
EDDIE PAUL,jack_up,Noble Eddie Paul jack-up
EE-LINE,wireline_unit,electric line typo
EL,wireline_unit,electric line abbreviation
EL & P&A UNIT,wireline_unit,electric line with P&A
EL & SL,wireline_unit,electric line with slickline
EL / SLU,wireline_unit,electric line with slickline
EL UNIT,wireline_unit,electric line unit
"EL,SL,CTU",wireline_unit,multi-intervention unit
EL/CT,wireline_unit,electric line with coiled tubing
EL/CTU,wireline_unit,electric line with coiled tubing
EL/EDDIE PAUL,wireline_unit,electric line on Eddie Paul rig
EL/SL,wireline_unit,electric line with slickline
EL/SL UNIT,wireline_unit,electric line with slickline
EL/SLICKLINE,wireline_unit,electric line with slickline
EL/SLU,wireline_unit,electric line with slickline
EL/SNUBBING UNIT,wireline_unit,electric line with snubbing
ELEC LINE UNIT,wireline_unit,electric line unit
ELECTRIC LIN UNIT,wireline_unit,electric line unit typo
ELECTRIC LINE,wireline_unit,electric line unit
ELECTRIC LINE / COIL TUBING,wireline_unit,electric line with coiled tubing
ELECTRIC LINE / WIRELINE UNITS,wireline_unit,electric line unit
ELECTRIC LINE UNIT,wireline_unit,electric line unit
"ELECTRIC LINE, RBF 253",wireline_unit,electric line on RBF rig
ELECTRIC LINE/SLICK LINE,wireline_unit,electric line with slickline
ELECTRIC LINE/SLICKLINE UNIT,wireline_unit,electric line with slickline
ELECTRIC LINE/WIRELINE UNITS,wireline_unit,electric line unit
ELECTRICL LINE,wireline_unit,electric line typo
ELU,wireline_unit,electric line unit abbreviation
ELU/SLU,wireline_unit,electric line with slickline
ENCSO 69,jack_up,Ensco 69 typo
ENSOC 90,jack_up,Ensco 90 typo
ENSOC A55,jack_up,Ensco A55 typo
ENTERPRISE 205,jack_up,Enterprise jack-up rig
ENTERPRISE 263,jack_up,Enterprise jack-up rig
ENTERPRISE 264,jack_up,Enterprise jack-up rig
ENTERPRISE 351,jack_up,Enterprise jack-up rig
ENXCO 90,jack_up,Ensco 90 typo
ENXSO 89,jack_up,Ensco 89 typo
ERIC DANOS,lift_boat,Eric Danos lift boat
EWLU,wireline_unit,electric/wireline unit abbreviation
EWU,wireline_unit,electric/wireline unit abbreviation
EWU CTU,wireline_unit,electric/wireline with coiled tubing
EWU SLU,wireline_unit,electric/wireline with slickline
EWU/SLU,wireline_unit,electric/wireline with slickline
F,unknown,single character garbage
F. G. MCCLINTOCK,jack_up,F.G. McClintock jack-up
F.G. MCCLINTOCK,jack_up,F.G. McClintock jack-up
FAITH LIFTBOAT,lift_boat,Faith lift boat
FALCON 100,jack_up,Falcon jack-up rig
FALCON 152,jack_up,Falcon jack-up rig
FALCON 153,jack_up,Falcon jack-up rig
FALCON 18,jack_up,Falcon jack-up rig
FALCON 19,jack_up,Falcon jack-up rig
FALCON 20,jack_up,Falcon jack-up rig
FALCON 203,jack_up,Falcon jack-up rig
FALCON 206,jack_up,Falcon jack-up rig
FALCON 77,jack_up,Falcon jack-up rig
FALCON 78,jack_up,Falcon jack-up rig
FALCON 82,jack_up,Falcon jack-up rig
FALCON 84,jack_up,Falcon jack-up rig
FALCON 85,jack_up,Falcon jack-up rig
FALCON 86,jack_up,Falcon jack-up rig
FALCON ACHILLES,jack_up,Falcon Achilles jack-up
FALCON GALLOWAY,jack_up,Falcon Galloway jack-up
FALCON MCCLINTOCK,jack_up,Falcon McClintock jack-up
FALCON NO. 156,jack_up,Falcon jack-up rig
FALCON PHOENIX I,jack_up,Falcon Phoenix I jack-up
FALCON PHOENIX II,jack_up,Falcon Phoenix II jack-up
FALCON PHOENIX III,jack_up,Falcon Phoenix III jack-up
FALCON PHOENIX IV,jack_up,Falcon Phoenix IV jack-up
FALCON RIG #52,jack_up,Falcon jack-up rig
FALCON RIG 17,jack_up,Falcon jack-up rig
