terminal_name,country,latitude,longitude,terminal_type,function,status,capacity_mtpa,year_commissioned,operator,owner,water_depth_m,storage_m3,jetty_count,capex_usd_million,source,source_url,data_confidence
Tangguh LNG,IDN,-2.5000,134.1667,onshore_export,export,operational,7.6,2009,BP,BP,9.0,400000,1,5000.0,BP Public Reports,https://www.bp.com,high
Atlantic LNG,TTO,10.6833,-61.4500,onshore_export,export,operational,15.0,1999,Atlantic LNG Company,BP/Shell/Repsol,10.0,750000,2,1000.0,Atlantic LNG Public Reports,https://www.atlanticlng.com,high
Arzew GL1Z LNG,DZA,35.7667,-0.2833,onshore_export,export,operational,8.0,1978,Sonatrach,Sonatrach,11.0,400000,2,800.0,Sonatrach Public Reports,https://www.sonatrach.com,medium
Skikda LNG,DZA,36.8833,6.9000,onshore_export,export,operational,8.1,2013,Sonatrach,Sonatrach,11.0,410000,2,3000.0,Sonatrach Public Reports,https://www.sonatrach.com,high
Idku LNG,EGY,31.3333,30.2833,onshore_export,export,operational,7.2,2005,Egyptian LNG,Egyptian LNG,11.0,380000,2,1500.0,EGAS Public Records,https://www.egas.com.eg,medium
Damietta LNG,EGY,31.4167,31.8167,onshore_export,export,operational,5.0,2005,SEGAS,SEGAS,10.0,280000,1,1400.0,EGAS Public Records,https://www.egas.com.eg,medium
Oman LNG Qalhat,OMN,22.7000,59.5000,onshore_export,export,operational,10.4,2000,Oman LNG,Oman LNG,11.0,550000,2,6000.0,Oman LNG Public Reports,https://www.omanlng.com,high
Das Island ADGAS LNG,ARE,25.1500,52.8667,onshore_export,export,operational,5.6,1977,ADNOC LNG,ADNOC,10.0,300000,1,800.0,ADNOC Public Reports,https://www.adnoc.ae,medium
Hammerfest Snohvit LNG,NOR,70.6667,23.6833,onshore_export,export,operational,4.3,2007,Equinor,Equinor,11.0,240000,1,7000.0,Equinor Public Reports,https://www.equinor.com,high
Coral Sul FLNG,MOZ,-23.8167,35.5167,flng,export,operational,3.4,2022,Eni,Eni,2000.0,180000,0,7000.0,Eni Public Reports,https://www.eni.com,high
Kribi FLNG,CMR,2.9333,9.9000,flng,export,operational,2.4,2018,Golar LNG,Golar LNG/Perenco,1200.0,125000,0,1300.0,Golar LNG Public Reports,https://www.golarlng.com,high
PNG LNG,PNG,-7.8667,145.9667,onshore_export,export,operational,8.3,2014,ExxonMobil,ExxonMobil,10.0,430000,1,19000.0,ExxonMobil Public Reports,https://www.exxonmobil.com,high
LNG Canada,CAN,54.0167,-128.6667,onshore_export,export,under_construction,14.0,2025,Shell Canada,Shell Canada,12.0,700000,2,40000.0,Shell Public Reports,https://www.shell.com,high
Energia Costa Azul LNG,MEX,31.8500,-116.6333,onshore_import,bidirectional,operational,3.3,2008,Sempra Energy,Sempra Energy,10.0,180000,1,1000.0,Sempra Public Reports,https://www.sempra.com,medium
South Hook LNG,GBR,51.6833,-5.1167,onshore_import,import,operational,15.6,2009,Qatar Terminal Limited,Qatar Terminal Limited,12.0,800000,2,1300.0,South Hook Public Reports,https://www.southhooklng.com,high
Dragon LNG,GBR,51.7167,-5.1667,onshore_import,import,operational,7.6,2009,Shell/Ancala Partners,Shell/Ancala Partners,11.0,410000,1,800.0,Dragon LNG Public Reports,https://www.dragonlng.co.uk,high
Isle of Grain LNG,GBR,51.4500,0.7167,onshore_import,import,operational,14.8,2005,National Grid,National Grid,12.0,750000,2,1100.0,National Grid Public Reports,https://www.nationalgrid.com,high
Barcelona LNG,ESP,41.3333,2.1667,onshore_import,import,operational,17.1,1969,Enagas,Enagas,12.0,870000,2,500.0,Enagas Public Reports,https://www.enagas.es,high
Huelva LNG,ESP,37.2500,-6.9500,onshore_import,import,operational,11.8,1988,Enagas,Enagas,11.0,600000,2,800.0,Enagas Public Reports,https://www.enagas.es,high
Incheon LNG,KOR,37.4667,126.5833,onshore_import,import,operational,28.0,1983,KOGAS,KOGAS,13.0,1400000,3,2000.0,KOGAS Public Reports,https://www.kogas.or.kr,high
Pyeongtaek LNG,KOR,36.9833,126.8167,onshore_import,import,operational,25.0,1986,KOGAS,KOGAS,13.0,1250000,3,1800.0,KOGAS Public Reports,https://www.kogas.or.kr,high
Dapeng LNG,CHN,22.6000,114.4500,onshore_import,import,operational,7.0,2006,CNOOC,CNOOC,12.0,380000,1,2000.0,CNOOC Public Reports,https://www.cnooc.com.cn,high
Shanghai Yangshan LNG,CHN,30.6333,122.0667,onshore_import,import,operational,7.0,2009,Shenergy,Shenergy,12.0,380000,1,3000.0,Shenergy Public Reports,https://www.shenergy.com.cn,medium
Dahej LNG,IND,21.7167,72.6167,onshore_import,import,operational,17.5,2004,Petronet LNG,Petronet LNG,11.0,880000,2,650.0,Petronet LNG Public Reports,https://www.petronetlng.com,high
Kochi LNG,IND,9.9667,76.2500,onshore_import,import,operational,5.0,2013,Petronet LNG,Petronet LNG,10.0,280000,1,400.0,Petronet LNG Public Reports,https://www.petronetlng.com,high
Montoir-de-Bretagne LNG,FRA,47.3167,-2.1500,onshore_import,import,operational,10.0,1980,Elengy,Elengy,12.0,540000,2,600.0,Elengy Public Reports,https://www.elengy.com,high
Dunkerque LNG,FRA,51.0500,2.3667,onshore_import,import,operational,13.0,2016,Dunkerque LNG,Dunkerque LNG,13.0,680000,2,1000.0,Dunkerque LNG Public Reports,https://www.dunkerquelng.com,high
Zeebrugge LNG,BEL,51.3333,3.2000,onshore_import,import,operational,9.0,1987,Fluxys,Fluxys,12.0,480000,1,500.0,Fluxys Public Reports,https://www.fluxys.com,high
Sines LNG,PRT,37.9500,-8.8667,onshore_import,import,operational,7.6,2003,REN Atlantico,REN Atlantico,11.0,400000,1,700.0,REN Public Reports,https://www.ren.pt,high
Revithoussa LNG,GRC,38.0500,23.3667,onshore_import,import,operational,7.0,2000,DESFA,DESFA,11.0,380000,1,250.0,DESFA Public Reports,https://www.desfa.gr,medium
Swinoujscie LNG,POL,53.9167,14.2667,onshore_import,import,operational,6.2,2015,Polskie LNG,Polskie LNG,12.0,340000,1,900.0,Polskie LNG Public Reports,https://www.polskielng.pl,high
Independence FSRU,LTU,55.7167,21.1333,fsru,import,operational,4.0,2014,Klaipedos Nafta,Klaipedos Nafta,15.0,170000,0,200.0,Klaipedos Nafta Public Reports,https://www.kn.lt,high
Wilhelmshaven FSRU,DEU,53.5167,8.1500,fsru,import,operational,5.0,2022,Uniper,Uniper,18.0,263000,0,3000.0,Uniper Public Reports,https://www.uniper.energy,high
Brunsbüttel FSRU,DEU,53.8833,9.1333,fsru,import,operational,5.0,2023,RWE,RWE,16.0,263000,0,3000.0,RWE Public Reports,https://www.group.rwe,high
Singapore LNG,SGP,1.3667,103.9833,onshore_import,import,operational,11.0,2013,Singapore LNG Corporation,Singapore LNG Corporation,12.0,580000,2,1500.0,SLNG Public Reports,https://www.slng.com.sg,high
Map Ta Phut LNG,THA,12.6333,101.1667,onshore_import,import,operational,11.5,2011,PTT LNG,PTT LNG,12.0,600000,2,2500.0,PTT Public Reports,https://www.pttlng.com,high
Sodegaura LNG,JPN,35.5000,139.9333,onshore_import,import,operational,12.0,1973,TEPCO/Tokyo Gas,TEPCO/Tokyo Gas,13.0,640000,2,300.0,Tokyo Gas Public Reports,https://www.tokyo-gas.co.jp,high
Futtsu LNG,JPN,35.3167,139.8333,onshore_import,import,operational,10.0,1985,TEPCO,TEPCO,13.0,540000,2,800.0,TEPCO Public Reports,https://www.tepco.co.jp,high
Venture Global Calcasieu Pass Train 2,USA,29.7281,-93.3444,onshore_export,export,under_construction,10.0,2024,Venture Global LNG,Venture Global LNG,12.0,550000,1,4500.0,FERC Public Records,https://www.ferc.gov,medium
Lake Charles LNG,USA,30.2086,-93.2253,onshore_export,export,planned,16.5,2029,Energy Transfer,Energy Transfer,13.0,800000,2,12000.0,FERC Public Records,https://www.ferc.gov,medium
Texas LNG,USA,26.0708,-97.2308,onshore_export,export,planned,4.0,2028,Texas LNG,Texas LNG,11.0,220000,1,850.0,FERC Public Records,https://www.ferc.gov,medium
Mina Al Ahmadi LNG,KWT,29.0833,48.1667,onshore_import,import,operational,4.5,2009,Kuwait National Petroleum Company,KNPC,11.0,240000,1,1200.0,KNPC Public Reports,https://www.knpc.com,medium
