SN_APD,API_WELL_NUMBER,MMS_COMPANY_NUM,KICKOFF_POINT_MD,WELL_NAME,WELL_NM_BP_SFIX,WELL_NM_ST_SFIX,WATER_DEPTH,PERMIT_TYPE,PRP_RKB_ELEV,MINERAL_CODE,REQ_SPUD_DATE,SUBSEA_BOP_FLAG,WELL_TYPE_CODE,DRIVE_DEPTH,DRIVE_SIZE,SURF_AREA_CODE,SURF_BLOCK_NUMBER,SURF_LEASE_NUMBER,SURF_STATE_LEASE_NUM,SURF_X_COORD_LOC,SURF_Y_COORD_LOC,SURF_LATITUDE,SURF_LONGITUDE,SURF_E_W_DISTANCE,SURF_E_W_CODE,SURF_N_S_DISTANCE,SURF_N_S_CODE,BOTM_AREA_CODE,BOTM_BLOCK_NUMBER,BOTM_LEASE_NUMBER,BOTM_STATE_LEASE_NUM,SV_PLAN_CTRL_CD,SV_PLAN_CTRL_NUM,SV_SURF_LEASE_NUM,SV_SURF_AREA_CODE,SV_SURF_BLOCK_NUM,SV_WELL_NAME,BV_PLAN_CTRL_CD,BV_PLAN_CTRL_NUM,BV_BOTM_LEASE_NUM,BV_BOTM_AREA_CODE,BV_BOTM_BLOCK_NUM,BV_WELL_NAME,RIG_ANCHOR_FLAG,RIG_NAME,RIG_TYPE_CODE,RIG_ID_NUM,RIG_FUNC_CODE,CONSTRUCTION_YR,SHIPYARD_NAME,REFURBISHED_YR,RATED_WTR_DEPTH,RATE_DRIL_DEPTH,ABS_CERT_EXPR_DT,CG_CERT_EXPR_DT,SAFE_BRN_APRV_DT,SAFE_BURN_DIST,SAFE_BRN_RMK,BUS_ASC_NAME,APD_SUB_STATUS_DT,APD_STATUS_DT,REGION_CODE
-15448,608114007502,3269,7610.0,A005,0,2,760,Sidetrack,165,H,1/5/2015,N,D,1355,30,GC,18,G04940,,2276587.002319,10145495.008857,27.94365999,-91.02914823,4373,E,7895,S,GC,18,G04940,,R,6208,G04940,GC,   18,A005ST,R,6208,G04940,GC,   18,A005ST,N,NABORS MODS 201,PLATFORM,47916,D,2004.0,"CROSBY,TX",,30000.0,25000,12/31/2030,12/31/2030,,,CG and ABS Cert Not required - ,"Whistler Energy II, LLC",12/8/2014 11:07:59 AM,2/20/2015 12:04:32 PM,G
-15450,177144001503,78,2300.0,078,0,3,43,Sidetrack,87,H,11/13/2014,N,D,345,24,BM,2,,,2377226.692111,144504.523043,29.05868749,-90.15272835,2449,W,10175,S,BM,2, 00369,,S,5891,,BM,    2,78,S,5891, 00369,BM,    2,78,N,HERCULES 173,JACKUP,90103,D,1971.0,VICKSBURG,,173.0,15000,5/31/2016,5/21/2016,5/27/2009,GOMR Lafayette District,Rig name change to HERCULES 173 issued new stamped drawings on 5-27-09.,Chevron U.S.A. Inc.,11/12/2014 10:22:00 AM,11/17/2014 8:29:59 AM,G
-15454,177114156100,2714,,C008,0,0,53,New Well,114,H,11/8/2014,N,E,400,24,SS,150, 00419,,2025698.286692,26356.628374,28.73911611,-91.25316139,5502,E,3505,N,SS,150, 00419,,R,6225, 00419,SS,  150,C008,R,6225, 00419,SS,  150,C008,N,ENTERPRISE 214,JACKUP,4810,D,1982.0,BETHLEHEM,,200.0,25000,11/30/2016,5/13/2015,5/9/2002,GOMR Lafayette District,,"Century Exploration New Orleans, LLC",11/7/2014 9:41:36 AM,11/12/2014 1:18:37 PM,G
-15455,177094121802,3217,9000.0,A005,0,2,88,Sidetrack,131,H,11/21/2014,N,D,508,26,EI,184,G05498,,1911968.040894,24011.72773,28.73240282,-91.60795207,2101,W,595,S,EI,184,G05498,,R,6240,G05498,EI,  184,A005ST,R,6240,G05498,EI,  184,A005ST,N,ENTERPRISE 201,JACKUP,12015,D,1982.0,SINGAPORE,,200.0,20000,3/30/2019,3/15/2015,12/16/1999,GOMR Houma District,,"Northstar Offshore Group, LLC",11/17/2014 8:06:26 AM,12/18/2014 1:42:11 PM,G
-15456,608124009400,276,,JU101,0,0,7138,Revised New Well,82,H,5/1/2014,Y,D,7500,36,WR,584,G20351,,2175242.896239,9577105.829565,26.384256,-91.365923,5163,W,6094,N,WR,584,G20351,,N,9699,G20351,WR,  584,DC1-1,N,9699,G20351,WR,  584,DC1-1,N,MAERSK VIKING,DRILLSHIP,50410,D,2014.0,SINGAPORE,,12000.0,40000,2/23/2019,6/2/2017,6/18/2014,GOMR Houma District,,Exxon Mobil Corporation,11/7/2014 2:57:59 PM,11/25/2014 3:14:59 PM,G
-14913,177190084601,2375,112.0,C004,0,1,172,Revised Sidetrack,112,H,6/15/2014,N,D,484,20,WD,73,G01083,,2517503.930865,103751.10556,28.9419172,-89.71555427,4374,E,759,S,WD,73,G01083,,R,6049,G01083,WD,   73,C004ST,R,6049,G01083,WD,   73,C004ST,N,NABORS MODS RIG 150,PLATFORM,47553,W,2004.0,,,18500.0,18500,12/31/2016,12/31/2016,,,CG and ABS Cert Not required - THIS IS A PLATFORM COMPLETION RIG ON THE CONSTITUTION SPAR.,"Energy XXI GOM, LLC",7/29/2014 1:18:26 PM,7/31/2014 11:07:18 AM,G
-14914,608114063200,2899,,006,0,0,1940,Revised New Well,82,H,7/1/2014,N,D,2332,36,GC,237,G15563,,2258850.021211,10073560.044825,27.74660333,-91.08754611,6270,E,680,N,GC,237,G15563,,S,7631,G15563,GC,  237,F,S,7631,G15563,GC,  237,F,N,VALARIS 8502,DP SEMISUBMERSIBLE,50540,D,2010.0,SINGAPORE,,8500.0,35000,1/14/2015,6/10/2016,11/23/2010,GOMR Houma District,,"Energy Resource Technology GOM, Inc.",7/29/2014 2:38:27 PM,7/29/2014 3:03:07 PM,G
-14918,177114020302,3209,5000.0,B017,1,1,117,Revised Bypass,140,H,7/22/2014,N,D,513,20,SS,219, 00829,,2075007.007026,-63301.559703,28.49239865,-91.09990114,2993,E,4568,S,SS,219, 00829,,R,6126, 00829,SS,  219,B-17 ST1,R,6126, 00829,SS,  219,B-17 ST1,N,ENTERPRISE 205,JACKUP,82313,D,1979.0,BETHLEHEM,,200.0,20000,11/30/2028,7/12/2025,9/27/2017,GOMR Lake Charles District,SWA updated 27SEP2017 to capture rig name change.,"Renaissance Offshore, LLC",7/30/2014 1:08:06 PM,7/30/2014 4:16:44 PM,G
-17416,608114066900,981,,005,0,0,5336,Revised New Well,82,H,7/1/2016,Y,E,5775,36,GC,859,G24194,,2355071.393544,9845642.554615,27.11543806,-90.80260694,5089,E,6837,N,GC,859,G24194,,R,6141,G24194,GC,  859,H,R,6141,G24194,GC,  859,H,N,NOBLE BOB DOUGLAS,DRILLSHIP,92620,D,2013.0,HYUNDAI,,10000.0,40000,10/23/2018,3/27/2020,11/21/2014,GOMR Houma District,,Anadarko Petroleum Corporation,7/21/2016 2:25:53 PM,7/26/2016 6:34:38 AM,G
-15429,177064098401,2628,9935.0,A004,0,1,223,Sidetrack,132,H,10/31/2014,N,D,607,24,VR,342,G33608,,1614388.544603,-157252.570074,28.22875533,-92.53031337,3478,E,2578,N,VR,341,G33607,,S,7680,G33608,VR,  342,H,S,7680,G33607,VR,  341,H,N,WFD 300,JACKUP,45642,D,1974.0,BETHLEHEM,,300.0,25000,8/8/2023,5/16/2021,4/1/2014,GOMR Houma District,"(Formerly Pride Texas)  
(Formerly Hercules 300)","Arena Offshore, LP",10/31/2014 3:41:38 PM,10/31/2014 4:39:10 PM,G
-17418,608114066300,78,,PC001,0,0,4239,Revised New Well,106,H,6/15/2016,Y,E,4661,36,GC,640,G20082,,2372478.631555,9920892.005153,27.3215125,-90.74495222,3521,E,5052,S,GC,640,G20082,,S,7778,G20082,GC,  640,PC001,S,7778,G20082,GC,  640,PC001,N,T.O. DEEPWATER ASGARD,DRILLSHIP,51292,D,2014.0,DAEWOO,,12000.0,40000,2/21/2029,3/21/2025,7/8/2015,GOMR New Orleans District,,Chevron U.S.A. Inc.,7/22/2016 9:29:08 AM,7/27/2016 12:11:37 PM,G
-17419,608174134500,689,,002,0,0,3230,Revised New Well,47,H,6/6/2016,Y,E,3537,38,MC,851,G09882,,931578.576208,10213322.962965,28.12675278,-89.19963889,2981,E,3477,N,MC,851,G09882,,N,9940,G09882,MC,  851,H,N,9940,G09882,MC,  851,H,N,NOBLE GLOBETROTTER,DRILLSHIP,51121,D,2011.0,HUISMAN,,10000.0,40000,2/20/2027,3/26/2025,,,,Shell Offshore Inc.,7/22/2016 8:19:27 AM,7/26/2016 5:06:17 PM,G
-17420,608174123200,59,,006,0,0,4611,Revised New Well,103,H,4/15/2012,Y,E,5018,36,MC,726,G24101,,1043943.516324,10264002.140289,28.27127778,-88.85351944,1496,E,318,N,MC,726,G24101,,S,7558,G24101,MC,  726,CW-3,S,7558,G24101,MC,  726,CW-3,N,STENA FORTH,DRILLSHIP,50379,D,2008.0,SOUTH KOREA,,10000.0,35100,8/13/2019,7/2/2017,2/25/2016,GOMR New Orleans District,Safe Welding Area,Hess Corporation,7/22/2016 10:50:12 AM,7/25/2016 2:57:59 PM,G
-17422,608174135000,689,,001,0,0,7289,New Well,82,H,8/11/2016,Y,E,7571,36,MC,567,G33744,,1307831.971155,10314398.05271,28.41858444,-88.03499139,6888,E,2558,S,MC,567,G33744,,N,9953,G33744,MC,  567,E,N,9953,G33744,MC,  567,E,N,NOBLE BULLY I,DRILLSHIP,4828,D,2011.0,SINGAPORE,,10000.0,40000,9/1/2021,9/14/2017,6/4/2013,GOMR New Orleans District,,Shell Offshore Inc.,7/22/2016 2:41:37 PM,10/17/2016 10:21:50 AM,G
-17427,608174133200,2058,,001,0,0,5869,Revised New Well,82,H,5/1/2016,Y,E,6261,36,MC,257,G35325,,1280441.982183,10429087.962994,28.73340694,-88.12356278,2598,E,6368,S,MC,257,G35325,,R,6441,G35325,MC,  257,A,R,6441,G35325,MC,  257,A,N,SEADRILL WEST NEPTUNE,DRILLSHIP,100035,D,2013.0,Korea,,12000.0,37000,8/27/2024,8/8/2025,8/5/2020,GOMR New Orleans District,,"LLOG Exploration Offshore, L.L.C.",7/25/2016 11:11:40 AM,7/25/2016 12:33:12 PM,G
-17424,177104140404,2628,5992.0,A014,0,3,272,Sidetrack,116,H,7/26/2016,N,D,603,28,EI,341,G02914,,1934160.361482,-168845.812428,28.20225758,-91.53764981,5751,E,3781,N,EI,341,G02914,,R,6363,G02914,EI,  341,A014,R,6363,G02914,EI,  341,A014,N,ROWAN GORILLA IV,JACKUP,91320,D,1986.0,VICKSBURG,,450.0,35000,12/31/2017,7/10/2019,3/29/2000,GOMR Lake Jackson District,"It was found during inspection on 1/3/13 that the accumulator system has a High Pressure (HP) Shear function on the main station but not at the remote station. When the HP Shear mode is needed to shear the pipe in use, the rig must conduct operations in HP mode, but may conduct tests and functions in normal mode.","Arena Offshore, LP",7/25/2016 10:40:33 AM,7/25/2016 2:18:04 PM,G
-17425,608114066800,2010,,SS001,0,0,4226,Revised New Well,79,H,6/21/2016,Y,E,4615,36,GC,564,G34993,,2555750.0303,9954000.019752,27.40226611,-90.17859306,5510,W,6480,S,GC,564,G34993,,R,6460,G34993,GC,  564,D1,R,6460,G34993,GC,  564,D1,N,DIAMOND WEST AURIGA,DRILLSHIP,49560,D,2013.0,SHI,,11810.0,37400,4/3/2028,2/17/2024,2/9/2022,GOMR Houma District,"Approved for flag transfer from SEADRILL to DIAMOND OFFSHORE by Houma District, 02/09/2022",BHP Billiton Petroleum (GOM) Inc.,7/25/2016 8:37:27 AM,7/25/2016 9:48:29 AM,G
-17444,608114066200,78,,PS010,0,0,4294,Revised New Well,92,H,7/5/2016,Y,E,4697,36,GC,640,G20082,,2369614.036819,9918927.050392,27.31625139,-90.75387972,6386,E,3087,S,GC,640,G20082,,S,7778,G20082,GC,  640,PS010,S,7778,G20082,GC,  640,PS010,N,T.O. DISCOVERER INSPIRATION,DRILLSHIP,50279,D,2007.0,DAEWOO KOREA,,10000.0,37000,10/31/2024,9/20/2023,2/9/2010,GOMR Lafayette District,DNV Certificate Submitted. Specification data sheet is attached.,Chevron U.S.A. Inc.,7/28/2016 4:55:52 PM,7/29/2016 2:24:16 PM,G
-17437,608174134500,689,,002,0,0,3230,Revised New Well,47,H,6/6/2016,Y,E,3537,38,MC,851,G09882,,931578.576208,10213322.962965,28.12675278,-89.19963889,2981,E,3477,N,MC,851,G09882,,N,9940,G09882,MC,  851,H,N,9940,G09882,MC,  851,H,N,NOBLE GLOBETROTTER,DRILLSHIP,51121,D,2011.0,HUISMAN,,10000.0,40000,2/20/2027,3/26/2025,,,,Shell Offshore Inc.,7/27/2016 8:02:24 AM,7/27/2016 3:46:22 PM,G
-17438,608114065600,59,,SB002,0,0,3577,Revised New Well,83,H,12/1/2015,Y,D,3987,36,GC,512,G26315,,2429478.978256,9974257.037342,27.46529083,-90.56627944,5959,W,4943,N,GC,512,G26315,,N,9866,G26315,GC,  512,SB002,N,9866,G26315,GC,  512,SB002,N,DIAMOND OCEAN BLACKLION,DRILLSHIP,51525,D,2015.0,Hyundai,,12000.0,40000,5/21/2025,9/12/2024,12/3/2015,GOMR Houma District,,Hess Corporation,7/28/2016 8:38:31 AM,7/29/2016 9:58:42 AM,G
-17443,608084005703,2873,23000.0,001,1,1,5519,Bypass,81,H,7/27/2016,Y,E,5885,36,KC,129,G30924,,1992877.023522,9743858.944711,26.84838647,-91.91870543,2963,E,2259,S,KC,129,G30924,,R,6391,G30924,KC,  129,K,R,6391,G30924,KC,  129,K,N,VALARIS DS-17 (ROWAN RELIANCE),DRILLSHIP,100032,D,2015.0,Hyundai Hvy Ind,,12000.0,40000,11/6/2019,2/2/2019,1/28/2015,GOMR Lafayette District,,"Cobalt International Energy, L.P.",7/29/2016 1:45:27 PM,8/1/2016 2:40:59 PM,G
-17539,608114067100,59,,WI003,0,0,3603,Revised New Well,83,M,8/15/2016,Y,D,4023,36,GC,512,G26315,,2425151.56456,9971088.520076,27.45681194,-90.57980722,1632,W,7729,S,GC,511,G34551,,N,9866,G26315,GC,  512,WI003,N,9866,G34551,GC,  511,WI003,N,DIAMOND OCEAN BLACKLION,DRILLSHIP,51525,D,2015.0,Hyundai,,12000.0,40000,5/21/2025,9/12/2024,12/3/2015,GOMR Houma District,,Hess Corporation,9/17/2016 10:44:07 AM,9/19/2016 8:07:37 AM,G
-17543,177114055401,3209,1430.0,I012,0,1,100,Revised Sidetrack,109,H,5/26/2016,N,D,410,20,SS,198,G12355,,2017292.000919,-30191.919932,28.58363683,-91.27946973,1692,W,4207,N,SS,198,G12355,,R,6387,G12355,SS,  198,I012ST01,R,6387,G12355,SS,  198,I012ST01,N,ENTERPRISE 205,JACKUP,82313,D,1979.0,BETHLEHEM,,200.0,20000,11/30/2028,7/12/2025,9/27/2017,GOMR Lake Charles District,SWA updated 27SEP2017 to capture rig name change.,"Renaissance Offshore, LLC",9/19/2016 2:41:52 PM,10/17/2016 9:44:00 AM,G
-17545,608174105701,2058,10608.0,001,0,1,5782,Revised Sidetrack,108,H,9/1/2016,Y,E,6151,36,MC,427,G31498,,1174787.436803,10363191.115626,28.54901654,-88.45076129,2627,W,3831,S,MC,427,G31498,,N,9879,G31498,MC,  427,001,N,9879,G31498,MC,  427,001,N,SEADRILL SEVAN LOUISIANA,DP SEMISUBMERSIBLE,49565,D,2013.0,COSCO (CHINA),,10000.0,35000,10/21/2028,4/18/2025,2/2/2016,GOMR New Orleans District,,"LLOG Exploration Offshore, L.L.C.",9/19/2016 3:34:29 PM,9/19/2016 6:00:48 PM,G
-17580,608114067000,981,,001,0,0,4200,Revised New Well,82,H,8/7/2016,Y,E,4607,36,GC,563,G34992,,2548352.95004,9955224.951913,27.40609222,-90.20128667,1887,E,7705,S,GC,563,G34992,,N,9859,G34992,GC,  563,B,N,9859,G34992,GC,  563,B,N,DIAMOND OCEAN BLACKHAWK,DRILLSHIP,51501,D,2014.0,HYUNDAI KOREA,,12000.0,40000,1/26/2029,3/24/2025,5/29/2014,GOMR Houma District,,Anadarko Petroleum Corporation,9/28/2016 3:22:51 PM,9/29/2016 11:32:18 AM,G
-17547,177104149401,2628,1296.0,A017,0,1,272,Revised Sidetrack,152,H,8/22/2016,N,D,589,26,EI,341,G02914,,1934193.363041,-168823.811185,28.20231823,-91.53754752,5718,E,3759,N,EI,341,G02914,,R,6333,G02914,EI,  341,A017ST,R,6333,G02914,EI,  341,A017ST,N,ROWAN GORILLA IV,JACKUP,91320,D,1986.0,VICKSBURG,,450.0,35000,12/31/2017,7/10/2019,3/29/2000,GOMR Lake Jackson District,"It was found during inspection on 1/3/13 that the accumulator system has a High Pressure (HP) Shear function on the main station but not at the remote station. When the HP Shear mode is needed to shear the pipe in use, the rig must conduct operations in HP mode, but may conduct tests and functions in normal mode.","Arena Offshore, LP",9/21/2016 6:05:51 AM,9/21/2016 2:57:49 PM,G
-17570,608174132900,2481,,011,0,0,6267,Revised New Well,88,H,5/6/2016,Y,D,6622,36,MC,822,G14658,,1162483.99723,10223006.965519,28.16301667,-88.48371306,6164,W,6207,S,MC,822,G14658,,S,7706,G14658,MC,  822,SB8,S,7706,G14658,MC,  822,SB8,N,T.O. DEVELOPMENT DRILLER III,DP SEMISUBMERSIBLE,50159,D,2009.0,SINGAPORE,,7500.0,37500,5/21/2019,8/3/2017,11/20/2009,GOMR Houma District,,BP Exploration & Production Inc.,9/23/2016 4:44:25 PM,9/23/2016 6:10:32 PM,G
-17571,608054005900,689,,GA022,0,0,7812,Revised New Well,203,H,9/10/2016,N,D,8084,36,AC,857,G17565,,1017764.561649,9485376.113097,26.12861111,-94.89819806,4005,W,2784,N,AC,856,G20870,,R,5841,G17565,AC,  857,GA022,R,5841,G20870,AC,  856,GA022,N,H&P 205,PLATFORM,46810,D,2002.0,GREENSPORT YARD,,10000.0,20000,2/28/2025,2/28/2025,,,CG and ABS Cert Not required ,Shell Offshore Inc.,9/23/2016 9:10:27 AM,9/23/2016 10:08:27 AM,G
-17591,608114066901,981,22324.0,005,0,1,5336,Revised Sidetrack,82,H,9/26/2016,Y,E,5759,36,GC,859,G24194,,2355071.336649,9845642.64453,27.11543831,-90.80260711,5089,E,6837,N,GC,859,G24194,,R,6141,G24194,GC,  859,H,R,6141,G24194,GC,  859,H,N,NOBLE BOB DOUGLAS,DRILLSHIP,92620,D,2013.0,HYUNDAI,,10000.0,40000,10/23/2018,3/27/2020,11/21/2014,GOMR Houma District,,Anadarko Petroleum Corporation,10/2/2016 11:57:57 AM,10/11/2016 1:40:46 PM,G
-15334,608174121404,59,24200.0,006,0,3,4570,Revised Sidetrack,103,H,10/15/2014,Y,D,4978,36,MC,726,G24101,,1033758.172852,10260123.384609,28.26017808,-88.88496836,4158,W,4197,N,MC,725,G22898,,R,5986,G24101,MC,  726,C,R,5986,G18272,MC,  681,C,N,STENA FORTH,DRILLSHIP,50379,D,2008.0,SOUTH KOREA,,10000.0,35100,8/13/2019,7/2/2017,2/25/2016,GOMR New Orleans District,Safe Welding Area,Hess Corporation,10/20/2014 2:52:01 PM,10/20/2014 3:50:47 PM,G
-15338,608164045700,3280,,SS006,0,0,3862,Revised New Well,80,H,10/15/2014,Y,E,4222,36,VK,915,G06894,,1344274.56058,10552191.284915,29.07356111,-87.92735639,2125,E,2751,S,VK,915,G06894,,R,6011,G06894,VK,  915,A,R,6011,G06894,VK,  915,A,N,T.O. DEEPWATER CHAMPION,DRILLSHIP,51280,D,2011.0,HYUNDAI,,10000.0,40000,2/3/2016,7/17/2016,10/17/2012,GOMR Lafayette District,Stump test (hard copy) results have been submitted and are on file.,Freeport-McMoRan Oil & Gas LLC,10/21/2014 6:11:45 PM,10/22/2014 10:29:40 AM,G
