FIELD_NAME_CODE,LEASE_NUMBER,COMPLETION_NAME,API_WELL_NUMBER,RESERVOIR_NAME,BHTST_DATE,SI_TIME,BHTST_TEMP,BHTST_SI_PRSS,BHTST_MD,BHTST_TVD,BHTST_PRESSURE,REMARK,REGION_CODE
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,12536.0,,2906.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,12536.0,,2923.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,13036.0,,2944.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,13036.0,,2959.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,13436.0,,2977.0,,G
WD027,G01331,  013D,177190112600,K3,8/30/1994,-,238,2050,13436.0,,2989.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,0.0,23.0,1098.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,2000.0,2023.0,1156.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,4000.0,4023.0,1209.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,6000.0,6023.0,1261.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,8000.0,8023.0,1319.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,10000.0,10023.0,1379.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,12000.0,12023.0,1444.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,14000.0,14023.0,1510.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,14500.0,14523.0,1527.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,15000.0,15023.0,1543.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,15500.0,15523.0,1559.0,,G
WD027,G01331,  016,177190130800,K-6A,9/5/1999,77,249,1575,15850.0,15873.0,1574.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,0.0,,0.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,2000.0,,0.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,4000.0,,0.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,6000.0,,0.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,8000.0,,0.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,10000.0,,0.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,12000.0,,599.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,14000.0,,1461.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,14500.0,,1664.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,15000.0,,1876.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,15500.0,,2090.0,,G
WD027,G01331,  016,177190130800,K6 RA,4/19/1994,24,250,25,15850.0,,2239.0,,G
WD027,G04473,  008,177194065801,D-4,10/3/2008,-,999,99999,,,,Waiver approved.,G
WD027,G04473,  009,177194066202,H1,4/30/2008,-,999,99999,,,,Waiver approved.,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,64.0,129.0,1193.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,1064.0,1129.0,1456.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,2064.0,2129.0,1743.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,3064.0,3129.0,2043.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,4064.0,4129.0,2358.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,5064.0,5077.0,2673.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,6064.0,5798.0,2926.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,7064.0,6470.0,3162.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,8064.0,7148.0,3399.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,8564.0,7484.0,3518.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,9064.0,7821.0,3637.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,9564.0,8157.0,3757.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,10064.0,8494.0,3876.0,,G
WD027,G31423, C001,177194071601,B4A C001,5/4/2013,24,175,1182,10600.0,8857.0,4005.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,0.0,-11.0,1190.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,1000.0,989.0,1346.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,2000.0,1989.0,1569.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,3000.0,2989.0,1801.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,4000.0,3982.0,2121.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,5000.0,4920.0,2430.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,6000.0,5826.0,2724.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,7000.0,6778.0,3034.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,7400.0,7177.0,3166.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,7700.0,7477.0,3258.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,8000.0,7777.0,3356.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,8300.0,8076.0,3451.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/22/1990,4,180,1188,8600.0,8376.0,3589.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/27/1991,18,184,1245,0.0,0.0,1231.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/27/1991,18,184,1245,1000.0,0.0,1262.0,,G
WD030, 00016, E002D,177190022500,C5 RQ,5/27/1991,18,184,1245,2000.0,0.0,1448.0,,G
