SN_APD_CSG_INTV,SN_APD_FK,CSNG_INTV_NUM,CSNG_INTV_TYPE_CD,CSNG_INTV_NAME,CSNG_HOLESIZE,CSNG_MUD_WGT_PPG,CSNG_MUD_TYPE_CD,CSNG_FRAC_GRAD_PPG,CSNG_TOP_MD,CSNG_CEMENT_VOL,CSNG_PREVENTER_CD,CSNG_BOP_STACK_SIZE,CSNG_WELLHEAD_RATING,CSNG_ANNULAR_RATING,CSNG_BOP_RATING,CSNG_ANNULAR_TEST_PRSS,CSNG_BOP_DIV_TEST_PRSS,CSNG_MUD_TEST_PRSS,CSNG_LINER_TEST,CSNG_FORMATION_TEST_PRSS
-322155,-14839,3,L,I,22.0,13.1,SBM,13.8,10300.0,2931.0,BOP,18.75,15000.0,10000.0,15000.0,3100,5700,13.1,1200.0,13.8
-322156,-14839,4,L,I,20.0,13.3,SBM,14.1,13000.0,1577.0,BOP,18.75,15000.0,10000.0,15000.0,3100,5600,13.3,1000.0,14.1
-322157,-14839,5,L,I,17.0,13.4,SBM,15.2,5801.0,9026.0,BOP,18.75,15000.0,10000.0,15000.0,3000,6100,13.4,2800.0,15.2
-322158,-14839,6,L,P,12.25,13.3,SBM,15.4,19371.0,724.0,BOP,18.75,15000.0,10000.0,15000.0,3100,6100,13.3,2800.0,15.4
-322159,-14839,7,L,P,9.875,14.1,SBM,15.5,21100.0,763.0,BOP,18.75,15000.0,10000.0,15000.0,2800,5800,14.1,1900.0,15.5
-322160,-14839,8,C,P,13.625,12.9,SBM,0.0,5759.0,348.0,BOP,18.75,15000.0,10000.0,15000.0,3200,6200,12.9,4300.0,0.0
-341893,-15651,1,C,C,32.5,8.9,GSW,9.3,0.0,4511.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-341894,-15651,2,C,S,28.0,9.7,WBM,10.3,0.0,8602.0,BOP,18.75,15000.0,10000.0,15000.0,4200,4200,8.6,4200.0,10.3
-341895,-15651,3,L,I,22.0,9.5,SBM,12.4,12365.0,4086.0,BOP,18.75,15000.0,10000.0,15000.0,3700,3700,9.5,3200.0,12.4
-341896,-15651,4,L,I,20.0,10.0,SBM,13.6,11470.0,1724.0,BOP,18.75,15000.0,10000.0,15000.0,5250,6200,10.0,4600.0,13.6
-341897,-15651,5,C,I,17.5,13.5,SBM,15.0,0.0,780.0,BOP,18.75,15000.0,10000.0,15000.0,5250,6400,13.5,4400.0,15.0
-341898,-15651,6,L,P,14.0,14.3,SBM,0.0,27086.0,1328.0,BOP,18.75,15000.0,10000.0,15000.0,5250,6000,14.3,1400.0,0.0
-341963,-15655,1,C,C,32.0,8.6,WBM,9.3,0.0,3707.0,,,,,,0,0,0.0,0.0,0.0
-341964,-15655,2,C,S,26.0,9.2,WBM,13.2,0.0,7050.0,BOP,18.75,15000.0,10000.0,15000.0,5400,5400,8.6,3600.0,12.8
-341965,-15655,3,L,S,21.5,12.3,SBM,15.2,8109.0,1980.0,BOP,18.75,15000.0,10000.0,15000.0,5400,5400,12.3,2100.0,15.2
-341966,-15655,4,C,I,16.5,14.5,SBM,15.3,,1290.0,BOP,18.75,15000.0,10000.0,15000.0,5400,5400,14.5,4900.0,15.3
-341967,-15655,5,L,I,14.5,14.8,SBM,15.7,20900.0,1030.0,BOP,18.75,15000.0,10000.0,15000.0,5400,6500,14.8,2000.0,15.7
-341968,-15655,6,L,P,12.25,15.2,SBM,16.4,20700.0,1440.0,BOP,18.75,15000.0,10000.0,15000.0,5400,6500,15.2,2500.0,0.0
-342080,-15656,1,C,C,26.0,10.6,WBM,12.3,0.0,10532.0,BOP,18.75,15000.0,10000.0,15000.0,3200,3200,8.6,3200.0,12.3
-342081,-15656,2,C,S,21.5,11.4,SBM,15.7,7727.0,1559.0,BOP,18.75,15000.0,10000.0,15000.0,6300,6300,11.4,3300.0,15.7
-342082,-15656,3,C,I,16.5,14.5,SBM,15.8,0.0,1372.0,BOP,18.75,15000.0,10000.0,15000.0,6700,6700,14.5,2900.0,15.7
-342083,-15656,4,L,P,12.25,13.6,SBM,15.8,20800.0,476.0,BOP,18.75,15000.0,10000.0,15000.0,6200,6200,13.8,2900.0,
-352050,-16048,6,C,I,17.5,14.3,SBM,16.3,0.0,1994.0,BOP,18.75,15000.0,10000.0,15000.0,6500,6500,14.3,3600.0,15.3
-352051,-16048,7,L,I,14.75,14.8,SBM,16.0,22541.0,526.0,BOP,18.75,15000.0,10000.0,15000.0,6500,6500,14.8,500.0,14.8
-352052,-16048,8,O,O,11.0,14.3,SBM,0.0,0.0,0.0,BOP,18.75,15000.0,10000.0,15000.0,6500,6500,0.0,0.0,0.0
-352092,-16049,1,C,S,26.0,9.7,WBM,11.0,,7902.0,BOP,18.75,15000.0,10000.0,15000.0,4000,4000,8.6,2000.0,11.0
-352093,-16049,2,L,I,20.0,10.4,SBM,12.0,9000.0,875.0,BOP,18.75,15000.0,10000.0,15000.0,4000,4000,10.4,1100.0,12.0
-352094,-16049,3,C,I,16.5,11.5,SBM,12.5,,280.0,BOP,18.75,15000.0,10000.0,15000.0,4000,4000,11.5,3200.0,12.5
-352095,-16049,4,C,P,12.25,11.8,SBM,13.0,,716.0,BOP,18.75,15000.0,10000.0,15000.0,4000,4000,11.8,5200.0,
-352127,-16050,1,C,C,26.0,9.0,WBM,12.0,0.0,1449.0,DIV,29.5,3000.0,500.0,500.0,0,200,9.0,200.0,0.0
-352128,-16050,2,C,S,22.0,9.8,WBM,14.6,,5124.0,BOP,16.75,5000.0,5000.0,5000.0,3500,5000,9.8,2900.0,14.6
-352129,-16050,3,C,I,14.75,13.9,WBM,16.9,,1274.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7100,13.9,5800.0,16.8
-352130,-16050,4,L,I,12.25,15.9,WBM,18.1,6556.0,820.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7100,15.9,1500.0,16.9
-352131,-16050,5,L,P,8.5,13.5,WBM,18.2,6256.0,367.0,BOP,13.625,10000.0,5000.0,10000.0,3500,7100,13.5,2700.0,0.0
-352132,-16051,1,C,S,26.0,10.7,WBM,12.3,,11338.0,BOP,18.75,15000.0,10000.0,15000.0,3600,3600,8.6,3600.0,12.3
-352133,-16051,2,L,S,21.5,11.6,SBM,16.0,5900.0,1781.0,BOP,18.75,15000.0,10000.0,15000.0,6100,6100,11.6,2600.0,16.0
-352134,-16051,3,C,I,16.375,14.5,SBM,15.6,,1466.0,BOP,18.75,15000.0,10000.0,15000.0,7000,9800,14.5,3000.0,15.6
-352135,-16051,4,O,O,14.0,15.1,SBM,0.0,,,BOP,18.75,15000.0,10000.0,15000.0,7000,9800,0.0,,
-352172,-16045,4,L,I,22.0,10.9,SBM,13.0,5592.0,584.0,BOP,18.75,10000.0,10000.0,15000.0,4500,4500,11.5,1500.0,12.5
-352173,-16045,5,C,I,17.5,12.0,SBM,14.1,0.0,383.0,BOP,18.75,10000.0,10000.0,15000.0,4500,4500,12.2,5000.0,13.3
-352180,-16045,6,L,I,14.75,12.8,SBM,15.1,11832.0,748.0,BOP,18.75,10000.0,10000.0,15000.0,4500,4500,13.0,2000.0,13.5
-352472,-16054,1,C,C,32.5,8.6,GSW,10.6,0.0,4667.0,,,,0.0,0.0,0,0,0.0,0.0,0.0
-352473,-16054,2,C,S,26.0,11.5,WBM,12.4,0.0,6455.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,8.6,4300.0,12.1
-352474,-16054,3,L,I,22.0,11.2,SBM,14.8,8828.0,3530.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,11.2,1500.0,13.4
-352475,-16054,4,C,I,17.5,12.5,SBM,13.9,0.0,1411.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,12.5,3400.0,12.3
-352513,-16056,1,C,C,35.5,9.5,WBM,9.9,0.0,1559.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-352477,-16054,5,C,P,12.25,11.3,SBM,12.9,15223.0,1534.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5000,8.6,6600.0,
-352514,-16056,2,C,S,32.0,10.2,WBM,10.5,0.0,1522.0,,,0.0,0.0,0.0,0,0,0.0,0.0,0.0
-352515,-16056,3,C,S,28.0,10.8,WBM,11.6,0.0,3761.0,BOP,18.75,15000.0,10000.0,15000.0,5600,5900,8.6,4600.0,11.5
-352516,-16056,4,L,I,22.0,11.0,SBM,12.9,5294.0,1382.0,BOP,18.75,15000.0,10000.0,15000.0,3000,3000,11.0,800.0,12.7
-352517,-16056,5,L,I,20.0,12.2,SBM,15.8,4796.0,1218.0,BOP,18.75,15000.0,10000.0,15000.0,5000,5600,12.2,1900.0,15.3
-352518,-16056,6,C,I,16.5,14.8,SBM,17.0,0.0,2823.0,BOP,18.75,15000.0,10000.0,15000.0,5000,6500,14.8,4750.0,16.2
-352519,-16056,7,L,P,11.5,15.7,SBM,16.6,24223.0,500.0,BOP,18.75,15000.0,10000.0,15000.0,5000,6300,15.7,1900.0,0.0
-352520,-16056,8,C,P,11.5,15.7,SBM,0.0,0.0,2700.0,BOP,18.75,15000.0,10000.0,15000.0,5000,6300,15.7,1900.0,0.0
-353196,-16081,1,C,C,30.0,8.9,GSW,10.0,,3070.0,,,3000.0,,,0,0,0.0,0.0,0.0
-353197,-16081,2,C,S,24.0,9.9,GSW,11.9,,5336.0,BOP,18.75,15000.0,10000.0,15000.0,7000,7000,8.6,2890.0,11.9
-353198,-16081,3,L,I,20.0,11.4,SBM,13.4,8602.0,2865.0,BOP,18.75,15000.0,10000.0,15000.0,4300,4300,11.4,1230.0,13.4
-353199,-16081,4,C,I,17.5,12.8,SBM,14.3,,1022.0,BOP,18.75,15000.0,10000.0,15000.0,4300,4300,12.8,4160.0,14.3
-353200,-16081,5,L,I,14.5,13.4,SBM,15.3,14529.0,1382.0,BOP,18.75,15000.0,10000.0,15000.0,4300,4300,13.4,1660.0,15.3
-353201,-16081,6,O,O,12.25,13.4,SBM,16.0,,,BOP,18.75,15000.0,10000.0,15000.0,4300,4300,13.4,,
-353294,-16082,1,C,C,32.0,8.6,WBM,9.3,4226.0,1760.0,,,,,,0,0,0.0,0.0,0.0
-353295,-16082,2,C,S,26.0,9.5,WBM,12.3,4226.0,6590.0,BOP,18.75,15000.0,10000.0,15000.0,6150,6500,8.6,3000.0,12.2
-353296,-16082,3,L,I,21.0,11.5,SBM,16.2,7526.0,2420.0,BOP,18.75,15000.0,10000.0,15000.0,6150,6500,11.5,3350.0,16.0
-353297,-16082,4,C,I,16.5,15.1,SBM,16.3,4226.0,2060.0,BOP,18.75,15000.0,10000.0,15000.0,5900,6500,15.1,4275.0,15.5
-353298,-16082,5,L,I,12.25,13.5,SBM,16.5,25980.0,530.0,BOP,18.75,15000.0,10000.0,15000.0,6100,6500,13.5,4700.0,15.5
-350112,-15992,1,C,S,26.0,11.5,WBM,13.7,,8817.0,BOP,18.75,15000.0,10000.0,15000.0,5600,8800,11.5,3600.0,13.5
-350113,-15992,2,L,S,21.0,13.2,SBM,15.5,7095.0,2187.0,BOP,18.75,15000.0,10000.0,15000.0,5200,8800,13.2,6600.0,15.5
-350114,-15992,3,L,I,16.5,12.0,SBM,14.6,18123.0,888.0,BOP,18.75,15000.0,10000.0,15000.0,5600,6600,12.0,4900.0,14.6
-350115,-15992,4,L,I,14.5,13.8,SBM,15.6,23300.0,792.0,BOP,18.75,15000.0,10000.0,15000.0,4300,9000,13.8,2600.0,15.5
-350116,-15992,5,O,O,12.25,14.1,SBM,16.0,,,BOP,18.75,15000.0,10000.0,15000.0,4300,9000,14.1,,
