"SN_WAR_CSNG_INTV_FK","SN_WAR_FK","CSNG_SETTING_BOTM_MD","CSNG_SETTING_TOP_MD"
"-109609","-83613","12010","9025"
"-108797","-82908","9178","0"
"-109848","-83198","11906","0"
"-110317","-84135","11905","0"
"-110329","-84138","13304","12301"
"-110330","-84138","14096","11763"
"-109390","-83412","735","0"
"-109393","-83412","11214","9686"
"-108735","-82877","1018","271"
"-108737","-82877","13598","0"
"-110314","-84133","9680","0"
"-109795","-83740","1310","0"
"-110083","-83939","4342","0"
"-110084","-83939","11091","0"
"-110016","-83851","6366","0"
"-110404","-84193","12010","9025"
"-110422","-84205","5005","0"
"-109602","-83608","10718","0"
"-109603","-83608","13034","10467"
"-108819","-82927","6115","0"
"-108822","-82927","20858","15423"
"-110227","-84094","6115","0"
"-109983","-83821","4796","0"
"-109984","-83821","9546","0"
"-109691","-83651","16300","13839"
"-109686","-83647","15554","7874"
"-110285","-84120","6926","0"
"-110112","-83990","6406","0"
"-110113","-83990","9017","5882"
"-110129","-83990","18246","15151"
"-106713","-81440","21200","15147"
"-106713","-81440","15147","0"
"-110333","-84139","5058","0"
"-110297","-84127","5058","0"
"-109669","-83637","10465","0"
"-110663","-84345","3058","0"
"-110141","-84017","829","0"
"-110352","-84170","4035","0"
"-110677","-84392","1250","0"
"-110637","-84321","3603","0"
"-110980","-84661","6833","0"
"-110980","-84661","21745","0"
"-110983","-84664","9051","0"
"-110984","-84664","16158","7337"
"-110839","-84531","10300","0"
"-110840","-84531","14165","0"
"-111046","-84697","8785","5571"
"-110945","-84629","14096","11763"
"-110937","-84628","1228","310"
"-110777","-84498","1493","0"
"-110860","-84561","11523","5910"
"-110861","-84561","13550","0"
"-111239","-84839","9379","6302"
"-109990","-83823","7788","0"
"-111009","-84674","3990","0"
"-110820","-84506","12886","8119"
"-110485","-84241","4123","0"
"-110487","-84241","6799","0"
"-111020","-84643","10468","0"
"-109627","-83618","7962","0"
"-111252","-84844","11215","9025"
"-111137","-84788","1310","0"
"-111037","-84687","1009","0"
"-111038","-84687","4014","0"
"-110948","-84633","8204","0"
"-111467","-85025","860","0"
"-111181","-84822","11878","6818"
"-110659","-84341","8447","0"
"-111497","-85045","3822","0"
"-111143","-84790","10597","0"
"-110584","-84295","4502","0"
"-111000","-84672","1008","0"
"-110761","-84471","1009","0"
"-111342","-84906","4598","0"
"-110901","-84604","14712","12258"
"-111337","-84905","1180","0"
"-111343","-84905","18248","14411"
"-111128","-84761","10788","4679"
"-111476","-85030","5085","0"
"-111485","-85032","14597","0"
"-111578","-85084","27206","25277"
"-110536","-84267","14072","9568"
"-111458","-85017","2215","0"
"-111381","-84953","10520","0"
"-111344","-84911","4400","0"
"-111715","-85212","7350","0"
"-111311","-84873","1535","0"
"-111314","-84873","17800","11579"
"-110483","-84235","1197","0"
"-111675","-85188","6912","4856"
"-111701","-85206","10086","7529"
"-111701","-85206","11833","0"
"-111703","-85206","6833","0"
"-111652","-85148","7102","0"
"-111657","-85162","608","0"
"-111673","-85185","3516","0"
"-111689","-85186","812","0"
"-111565","-85075","9546","0"
"-111470","-85028","8190","0"
"-111662","-85166","608","0"
"-111663","-85166","2998","0"
"-111664","-85166","7020","0"
"-111245","-84842","5815","0"
"-111864","-85282","10788","4679"
"-111201","-84830","10059","0"
"-111562","-85072","7046","0"
"-111182","-84824","5485","0"
"-111183","-84824","7020","3128"
"-111184","-84824","13067","0"
"-111005","-84673","7022","0"
"-111008","-84673","11464","0"
"-112015","-85384","15900","0"
"-111345","-84918","3990","0"
"-111349","-84918","15336","12426"
"-111350","-84918","18246","15151"
"-111894","-85292","13750","12600"
"-111678","-85190","12010","0"
"-111441","-85008","1228","310"
"-110432","-84207","13598","0"
"-110433","-84207","14048","12984"
"-110434","-84207","15333","13682"
"-112066","-85422","5562","0"
"-112099","-85465","13750","12600"
"-112152","-85525","1228","310"
"-112093","-85463","4598","0"
"-112232","-85609","18248","14411"
"-112101","-85467","2500","0"
"-112149","-85519","10925","0"
"-112376","-85717","6488","0"
"-112378","-85717","14810","0"
"-112371","-85716","4787","3155"
"-112372","-85716","6488","0"
"-111518","-85055","1324","0"
"-112308","-85688","11900","0"
"-111649","-85146","1497","0"
"-112131","-85499","8725","0"
"-112341","-85701","8102","0"
"-111800","-85260","10671","5742"
"-111843","-85260","9972","0"
"-111259","-84849","4123","0"
"-112185","-85558","1000","0"
"-112188","-85558","15498","13986"
"-112487","-85849","14150","0"
"-112577","-85931","4000","0"
"-112398","-85738","5050","0"
"-112427","-85798","9088","6678"
"-112516","-85871","20176","16093"
"-112517","-85871","26748","19179"
"-112628","-85960","17065","0"
"-112615","-85952","5000","0"
"-112553","-85915","6710","0"
"-112556","-85915","12285","9494"
"-112685","-86021","5085","0"
"-111856","-85279","14072","9568"
"-111945","-85315","9950","0"
"-111947","-85315","7251","0"
"-111948","-85315","22155","19576"
"-112088","-85461","7290","0"
"-110255","-84103","7355","6054"
"-112911","-86174","816","0"
"-112507","-85865","8604","0"
"-112008","-85377","12254","9899"
"-111889","-85291","20858","15423"
"-112408","-85777","12886","8119"
"-112519","-85872","3058","0"
"-112523","-85872","14096","11763"
"-112724","-85963","544","0"
"-112724","-85963","13809","11855"
"-111846","-85275","5005","0"
"-111849","-85275","12037","8959"
"-112750","-85290","3530","0"
"-112750","-85290","310","0"
"-112459","-85810","11095","6050"
"-112021","-85390","10521","0"
"-112910","-86173","26447","0"
"-113105","-86323","10292","0"
"-113112","-86323","12741","7134"
"-113113","-86323","15592","0"
"-112747","-86044","10597","0"
"-112719","-86030","12757","6999"
"-113152","-86354","12757","6999"
"-113154","-86354","25067","22314"
"-112387","-85720","9369","5800"
"-113025","-86262","21745","0"
"-113068","-86288","23019","20389"
"-113016","-86260","1535","0"
"-112466","-85839","3502","0"
"-112582","-85932","5005","0"
"-112607","-85943","5313","0"
"-112858","-86149","10603","0"
"-113187","-86377","1004","0"
"-113190","-86377","14960","9294"
"-112945","-86214","3300","0"
"-113256","-86470","6710","0"
"-113317","-86530","20030","13695"
"-113249","-86457","23019","20389"
"-113172","-86362","1023","0"
"-113177","-86363","1023","0"
"-112657","-85992","2500","0"
"-113359","-86564","8152","0"
"-113361","-86564","16940","7402"
"-112772","-86086","7251","0"
"-113345","-86559","816","0"
"-113346","-86559","5050","0"
"-113384","-86579","6488","0"
"-113298","-86508","9225","0"
"-113299","-86508","11215","9025"
"-113300","-86508","12037","8959"
"-113301","-86508","12375","11838"
"-112752","-86053","310","0"
"-112866","-86156","11095","6050"
"-112914","-86175","5485","0"
"-112915","-86175","7537","0"
"-112723","-86031","11545","0"
"-113358","-86563","11585","10027"
"-112987","-86234","11905","0"
"-112991","-86234","15843","14003"
"-112545","-85907","10059","0"
"-113498","-86672","1818","652"
"-112996","-86237","3525","0"
"-113110","-86330","13526","0"
"-113596","-86746","5727","0"
"-113000","-86240","14550","0"
"-113696","-86805","1100","0"
"-113540","-86712","13526","0"
"-113497","-86681","7046","0"
"-113823","-86914","6000","0"
"-113866","-86930","1022","0"
"-113867","-86930","4003","0"
"-113871","-86930","13996","12617"
"-113879","-86945","12976","10288"
"-112456","-85813","8785","5571"
"-112451","-85812","3170","0"
"-112455","-85812","26776","0"
"-113699","-86569","795","0"
"-113234","-86440","7988","0"
"-113919","-86985","12010","0"
"-113922","-86985","14096","11763"
"-113844","-86926","3539","0"
"-113846","-86926","6365","5366"
"-113854","-86928","1530","0"
"-113855","-86928","3539","0"
"-113857","-86928","6365","5366"
"-113858","-86928","7355","6054"
"-113559","-86720","12254","9899"
"-113560","-86720","12638","11834"
"-113905","-86972","8273","0"
"-113907","-86972","31451","26342"
"-113658","-86778","22314","17931"
"-113723","-86835","19811","0"
"-114080","-87109","4000","0"
"-114083","-87109","14318","10098"
"-113973","-87026","12815","12123"
"-114148","-87189","4556","3263"
"-113616","-86759","14072","9568"
"-113617","-86759","20071","0"
"-99648","-76256","996","0"
"-114208","-87253","4556","3263"
"-114226","-87274","2010","0"
"-114228","-87274","6777","0"
"-114139","-87175","13079","0"
"-114163","-87194","13079","0"
"-113934","-86992","23019","20389"
"-113860","-86929","3478","0"
"-113379","-86570","24190","21356"
"-113504","-86693","5000","0"
"-114065","-87080","4400","0"
"-114340","-87374","9100","6899"
"-114344","-87374","26817","24304"
"-114002","-87046","1040","0"
"-114494","-87507","14214","0"
"-114519","-87515","4787","3155"
"-114520","-87515","6488","0"
"-114543","-87524","6488","0"
"-114102","-87122","11734","0"
"-114103","-87122","13053","11513"
"-114558","-87548","9088","6678"
"-114591","-87579","17065","0"
"-114129","-87168","925","0"
"-114676","-87608","8159","8886"
"-114687","-87610","9178","0"
"-114690","-87610","9935","0"
"-114619","-87588","9996","0"
"-114548","-87533","2388","0"
"-114216","-87256","310","0"
"-114533","-87521","4796","0"
"-114715","-87627","11906","0"
"-113741","-86868","4500","0"
"-114106","-87127","10100","0"
"-114306","-87358","8273","0"
"-114700","-87620","1028","230"
"-114815","-87722","10230","0"
"-114877","-87760","10502","8885"
"-114893","-87763","9935","0"
"-113126","-86349","6406","0"
"-113130","-86349","18246","15151"
"-114567","-87567","4108","0"
"-114566","-87567","1500","0"
"-112968","-86228","8200","5916"
"-114495","-86725","10966","10241"
"-114511","-87510","4512","0"
"-113007","-86242","3425","0"
"-113004","-86242","1012","0"
"-113382","-86574","3425","0"
"-114841","-87745","6777","0"
"-114386","-87411","4952","0"
"-114598","-87580","13304","12301"
"-114732","-87643","1040","0"
"-114488","-87506","12950","8128"
"-114466","-87486","3478","0"
"-113456","-86666","15333","13682"
"-114937","-87799","1493","0"
"-114885","-87762","3434","0"
"-113435","-86658","3011","0"
"-112648","-85984","8447","0"
"-113425","-86651","14970","13446"
"-113925","-86990","9981","0"
"-114789","-87682","14970","13446"
"-113734","-86858","6475","0"
"-114773","-87667","3651","0"
"-114551","-87534","4492","0"
"-111904","-85297","9643","5083"
"-113323","-86543","7064","5577"
"-115074","-87884","10281","0"
"-113544","-86713","7018","0"
"-113544","-86713","15592","0"
"-113239","-86456","3990","0"
"-115037","-87870","12576","0"
"-113519","-86706","9765","0"
"-113520","-86706","12753","5801"
"-114854","-87751","3500","0"
"-114188","-87209","7136","0"
"-114190","-87209","7018","0"
