WAR_START_DT,WAR_END_DT,RIG_NAME,API_WELL_NUMBER,WELL_NAME,WELL_ACTIVITY_CD,DRILLING_MD,DRILL_FLUID_WGT
11/19/2023 12:01:00 AM,11/23/2023 11:59:00 PM,* LIFT BOAT,177114151001,B001,PA,9505.0,8.6
10/15/2023,10/21/2023,* LIFT BOAT,177114153901,C001,DRL,4400.0,9.8
12/10/2023 12:01:00 AM,12/16/2023 11:59:00 PM,,427114062000,F009,DRL,7357.0,9.8
12/10/2023 12:01:00 AM,12/16/2023 11:59:00 PM,,427114063601,F012,DRL,8972.0,11.7
12/10/2023 12:01:00 AM,12/16/2023 11:59:00 PM,,427114067100,F019,DRL,9359.0,12.0
12/3/2023 12:01:00 AM,12/9/2023 11:59:00 PM,T.O. DEEPWATER ATLAS,608124014001,SA007,DRL,9505.0,12.9
11/12/2023 12:01:00 AM,11/12/2023 11:59:00 PM,* NON RIG UNIT OPERATION,177124015500,F001,REC,9505.0,0.0
12/10/2023 12:01:00 AM,12/16/2023 11:59:00 PM,,427114062605,F010,REC,9505.0,0.0
12/10/2023 12:01:00 AM,12/16/2023 11:59:00 PM,,427114067301,F018,REC,9505.0,0.0
12/10/2023 12:01:00 AM,12/16/2023 11:59:00 PM,* WIRELINE UNIT,177084077000,A010,DRL,4300.0,
3/17/2024 12:01:00 AM,3/23/2024 11:59:00 PM,NABORS MODS 200,608105005802,A014,COM,10889.0,10.3
3/24/2024 12:01:00 AM,3/30/2024 11:59:00 PM,NABORS MODS 200,608105005802,A014,COM,12690.0,10.3
5/5/2024 12:01:00 AM,5/11/2024 11:59:00 PM,T.O. DEEPWATER CONQUEROR,608114077400,BP003,COM,12720.0,10.3
12/31/2023 12:01:00 AM,1/4/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177224021001,D002,TA,12720.0,9.3
1/7/2024 12:01:00 AM,1/13/2024 11:59:00 PM,VALARIS DPS-5,608164039700,004,TA,12720.0,9.3
11/26/2023,12/2/2023,NOBLE GLOBETROTTER II,608054010401,001,PA,12720.0,8.6
12/10/2023 12:01:00 AM,12/16/2023 11:59:00 PM,* WIRELINE UNIT,177084016500,A003,DRL,10889.0,10.3
12/3/2023 12:01:00 AM,12/9/2023 11:59:00 PM,NABORS MODS 200,608104016800,A027,COM,12690.0,10.3
7/27/2024,7/27/2024 11:59:00 PM,* WIRELINE UNIT,177164010400,A003,PA,14455.0,8.6
7/28/2024 12:01:00 AM,7/29/2024 11:59:00 PM,* WIRELINE UNIT,177164010400,A003,PA,14455.0,8.6
8/4/2024 12:01:00 AM,8/10/2024 11:59:00 PM,* WIRELINE UNIT,177084057401,D033,PA,14455.0,8.6
7/24/2024,7/27/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177124021000,D016,PA,14455.0,8.6
2/11/2024 12:01:00 AM,2/17/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177192015201,D027,PA,14455.0,8.6
1/28/2024 12:01:00 AM,1/30/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177192015900,A023,TA,14455.0,8.6
1/28/2024 12:01:00 AM,2/3/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177192016200,D004,PA,14455.0,0.0
2/4/2024 12:01:00 AM,2/10/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177192016200,D004,PA,14455.0,0.0
2/11/2024 12:01:00 AM,2/17/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177192016200,D004,WO,17000.0,0.0
12/24/2023 12:01:00 AM,12/30/2023 11:59:00 PM,,427114064701,F015,WO,17000.0,0.0
12/24/2023 12:01:00 AM,12/30/2023 11:59:00 PM,* WIRELINE UNIT,427114066500,A025,TA,17000.0,0.0
12/24/2023 12:01:00 AM,12/30/2023 11:59:00 PM,,427114066805,F016,PA,17000.0,8.6
12/24/2023 12:01:00 AM,12/30/2023 11:59:00 PM,,427114067500,F020,WO,17000.0,0.0
1/21/2024 12:01:00 AM,1/27/2024 11:59:00 PM,* WIRELINE UNIT,177230008600,C005,CHZ,9263.0,0.0
1/21/2024 12:01:00 AM,1/27/2024 11:59:00 PM,* WIRELINE UNIT,177232002100,C013,CHZ,9263.0,0.0
12/10/2023 12:01:00 AM,12/16/2023 11:59:00 PM,NOBLE GLOBETROTTER II,608054010401,001,CHZ,9263.0,0.0
7/24/2024,7/27/2024 11:59:00 PM,* NON RIG UNIT OPERATION,177124014200,D005,CHZ,9263.0,0.0
2/11/2024 12:01:00 AM,2/17/2024 11:59:00 PM,VALARIS DS-16 (ROWAN RESOLUTE),608114051801,SS001,WO,9263.0,0.0
