API_WELL_NUMBER,WELL_NAME,BUS_ASC_NAME,OPERATIONS_COMPLETED_DATE,TOOL_LOGGING_METHOD_NAME,LOG_INTV_TOP_MD,LOG_INTV_BOTM_MD,LOG_TOOL_TYPE_CODE
177104140404,A014,SCHLUMBERGER,1/6/2016,WIRELINE,31755,32723,AGR
608114066800,SS001,SCHLUMBERGER,1/10/2016,WIRELINE,31784,32723,AGR
608114066200,PS010,SCHLUMBERGER,3/13/2016,WIRELINE,27720,28390,AGR
608174134500,002,SCHLUMBERGER,11/7/2016,MWD/LWD,5353,28642,AGR
608114065600,SB002,SCHLUMBERGER,11/7/2016,MWD/LWD,5820,28642,AGR
608084005703,001,SCHLUMBERGER,11/7/2016,MWD/LWD,25365,28642,AGR
608114067100,WI003,SCHLUMBERGER,11/28/2016,WIRELINE,24356,26957,AGR
177114055401,I012,SCHLUMBERGER,12/1/2016,WIRELINE,24356,26957,AGR
608174105701,001,SCHLUMBERGER,1/27/2017,MWD/LWD,7360,10622,AGR
608114067000,001,SCHLUMBERGER,4/1/2017,WIRELINE,30073,30891,AGR
177104149401,A017,SCHLUMBERGER,4/3/2017,WIRELINE,30073,30891,AGR
608174132900,011,SCHLUMBERGER,8/23/2017,WIRELINE,23000,23046,AGR
608054005900,GA022,SCHLUMBERGER,8/22/2017,WIRELINE,23005,23607,AGR
608114066901,005,SCHLUMBERGER,8/24/2017,WIRELINE,22694,23694,AGR
608174121404,006,SCHLUMBERGER,1/20/2018,MWD/LWD,8775,10878,AGR
608164045700,SS006,SCHLUMBERGER,1/20/2018,MWD/LWD,6850,8775,AGR
608174128800,001,SCHLUMBERGER,2/5/2018,WIRELINE,25325,26725,AGR
608114061500,MD018,SCHLUMBERGER,7/16/2017,WIRELINE,31000,31207,AGR
608114036904,A004,SCHLUMBERGER,9/1/2018,MWD/LWD,10624,13025,AGR
608114040900,DC134,SCHLUMBERGER,6/12/2019,MWD/LWD,6104,9415,AGR
177190085602,B020,SCHLUMBERGER,6/22/2019,MWD/LWD,9415,15604,AGR
177150100201,P008,SCHLUMBERGER,7/27/2019,WIRELINE,10720,20855,AGR
177254087401,CC051,SCHLUMBERGER,10/12/2019,WIRELINE,30367,31340,AGR
608234002800,001,SCHLUMBERGER,10/2/2019,MWD/LWD,7508,33077,AGR
608174128900,006,SCHLUMBERGER,10/3/2019,MWD/LWD,22222,24920,AGR
177244035201,DA008,SCHLUMBERGER,11/15/2019,MWD/LWD,24920,25569,AGR
608234002800,001,SCHLUMBERGER,2/20/2021,MWD/LWD,15274,18750,AGR
608174129500,002,SCHLUMBERGER,2/27/2021,MWD/LWD,18750,24127,AGR
608174127701,B011,SCHLUMBERGER,2/28/2021,MWD/LWD,24127,24207,AGR
608174128900,006,SCHLUMBERGER,1/16/2020,WIRELINE,24518,25049,AGR
608114062201,005,SCHLUMBERGER,4/20/2021,MWD/LWD,23089,25109,AGR
608114062700,001,SCHLUMBERGER,5/11/2021,MWD/LWD,23789,24720,AGR
177104167700,C020,SCHLUMBERGER,12/30/2020,MWD/LWD,8750,12555,AGR
177144001503,078,SCHLUMBERGER,4/23/2021,MWD/LWD,12555,19792,AGR
608084004701,002,SCHLUMBERGER,5/7/2021,MWD/LWD,19792,23789,AGR
608114062900,002,SCHLUMBERGER,5/15/2021,MWD/LWD,24720,25030,AGR
608174112305,PI001,SCHLUMBERGER,5/29/2021,MWD/LWD,25030,26908,AGR
608174128200,002,SCHLUMBERGER,5/30/2021,MWD/LWD,26908,26923,AGR
608104014600,A008,SCHLUMBERGER,6/21/2021,MWD/LWD,26923,26942,AGR
427094117200,C002,SCHLUMBERGER,5/22/2021,MUD,22217,23919,AGR
608114065500,SA002,SCHLUMBERGER,7/16/2021,MWD/LWD,11400,11737,AGR
608174120701,MB008,SCHLUMBERGER,7/16/2021,MUD,11400,11738,AGR
608084005400,002,SCHLUMBERGER,7/23/2021,MWD/LWD,5890,6911,AGR
608114066800,SS001,SCHLUMBERGER,6/27/2021,MWD/LWD,7496,9902,AGR
608174134300,002,SCHLUMBERGER,8/4/2021,MWD/LWD,6872,9118,AGR
177154127500,K002,SCHLUMBERGER,8/16/2021,MWD/LWD,9118,13160,AGR
608114066700,007,SCHLUMBERGER,9/27/2021,MWD/LWD,17562,17978,AGR
608114066800,SS001,SCHLUMBERGER,8/2/2021,MWD/LWD,15299,15409,AGR
608114067200,006,SCHLUMBERGER,8/2/2021,MWD/LWD,15409,17434,AGR
177104140403,A014,SCHLUMBERGER,12/26/2015,MWD/LWD,26018,26550,AGR
608174133200,001,SCHLUMBERGER,6/5/2016,MWD/LWD,4664,24890,AGR
608114066903,005,SCHLUMBERGER,6/6/2016,MWD/LWD,20323,24890,AGR
608124011101,JU105,SCHLUMBERGER,6/12/2016,WIRELINE,22600,26025,AGR
608174135002,001,SCHLUMBERGER,6/21/2016,WIRELINE,28029,30592,AGR
608174135200,001,SCHLUMBERGER,6/22/2016,WIRELINE,29943,30234,AGR
608174134000,AW001,SCHLUMBERGER,6/24/2016,WIRELINE,28547,30180,AGR
608114066600,PC002,SCHLUMBERGER,7/11/2016,WIRELINE,31284,31591,AGR
608094000200,002,SCHLUMBERGER,12/27/2016,MWD/LWD,7170,11302,AGR
608114067500,003,SCHLUMBERGER,1/21/2017,MWD/LWD,8331,10637,AGR
608114063600,002,SCHLUMBERGER,5/6/2017,MWD/LWD,4504,4535,AGR
608174128500,001,SCHLUMBERGER,5/6/2017,MWD/LWD,4535,8365,AGR
608114063500,002,SCHLUMBERGER,2/12/2017,MWD/LWD,7452,29401,AGR
608174112305,PI001,SCHLUMBERGER,2/22/2017,WIRELINE,27831,29148,AGR
177124068900,A017,SCHLUMBERGER,2/21/2017,WIRELINE,25580,29386,AGR
608174129100,001,SCHLUMBERGER,5/5/2017,WIRELINE,18332,19960,AGR
608084004800,001,SCHLUMBERGER,5/5/2017,WIRELINE,19395,19862,AGR
608114059300,DC321,SCHLUMBERGER,8/8/2017,WIRELINE,15826,19878,AGR
608174128900,006,SCHLUMBERGER,8/20/2017,WIRELINE,15826,20100,AGR
427084064500,001,SCHLUMBERGER,8/23/2017,WIRELINE,16544,19248,AGR
608174046602,A003,SCHLUMBERGER,8/23/2017,WIRELINE,16015,18164,AGR
608174129300,004,SCHLUMBERGER,8/2/2017,MWD/LWD,11226,12351,AGR
608174128900,006,SCHLUMBERGER,8/2/2017,MWD/LWD,12641,15544,AGR
608174129100,001,SCHLUMBERGER,7/22/2017,MWD/LWD,28420,28817,AGR
608174128700,001,SCHLUMBERGER,7/25/2017,MWD/LWD,28817,29072,AGR
177104167800,K017,SCHLUMBERGER,7/29/2017,MWD/LWD,29072,29810,AGR
