api12,dev,category,drill_v30,compl_v30,drill_wed,compl_wed,d_drill,d_compl,spud_wed
608124011100,Julia,unchanged,52,96,52,96,0,0,09/03/2016
608124011101,Julia,unchanged,122,100,122,100,0,0,01/24/2017
608124011200,Stones,unchanged,78,67,78,67,0,0,12/08/2016
608124011300,Shenandoah,unchanged,53,19,53,19,0,0,12/16/2016
608124011301,Shenandoah,unchanged,7,14,7,14,0,0,02/19/2017
608124011302,Shenandoah,unchanged,12,32,12,32,0,0,03/08/2017
608124011400,Jack St Malo,unchanged,57,87,57,87,0,0,12/17/2016
608124011500,Jack St Malo,unchanged,61,13,61,13,0,0,01/18/2017
608124011501,Jack St Malo,unchanged,3,10,3,10,0,0,03/27/2017
608124011502,Jack St Malo,unchanged,2,16,2,16,0,0,04/05/2017
608124011503,Jack St Malo,unchanged,2,11,2,11,0,0,04/17/2017
608124011504,Jack St Malo,unchanged,38,140,38,140,0,0,04/23/2017
608124011600,Jack St Malo,unchanged,15,7,15,7,0,0,01/26/2017
608124011601,Jack St Malo,unchanged,2,6,2,6,0,0,04/21/2018
608124011602,Jack St Malo,unchanged,5,11,5,11,0,0,04/27/2018
608124011603,Jack St Malo,unchanged,7,13,7,13,0,0,05/07/2018
608124011604,Jack St Malo,unchanged,6,8,6,8,0,0,05/20/2018
608124011605,Jack St Malo,unchanged,48,47,48,47,0,0,05/30/2018
608124011606,Jack St Malo,unchanged,7,103,7,103,0,0,08/31/2018
608124011700,Stones,unchanged,62,40,62,40,0,0,04/02/2017
608124011800,Jack St Malo,unchanged,26,7,26,7,0,0,05/16/2017
608124011801,Jack St Malo,unchanged,81,113,81,113,0,0,06/15/2017
608124012200,Jack St Malo,unchanged,47,105,47,105,0,0,01/05/2018
608124012300,Stones,servicing_accrual,39,92,39,108,0,16,04/06/2018
608124012500,Jack St Malo,unchanged,49,171,49,171,0,0,12/23/2018
608124012600,Jack St Malo,unchanged,19,7,19,7,0,0,03/26/2019
608124012601,Jack St Malo,unchanged,36,174,36,174,0,0,04/19/2019
608124012602,Jack St Malo,unchanged,0,0,0,0,0,0,
608124012700,Julia,unchanged,139,38,139,38,0,0,05/10/2019
608124012701,Julia,unchanged,19,96,19,96,0,0,10/29/2019
608124012800,Jack St Malo,unchanged,15,14,15,14,0,0,08/17/2019
608124012801,Jack St Malo,unchanged,5,22,5,22,0,0,09/09/2019
608124012802,Jack St Malo,unchanged,41,8,41,8,0,0,09/29/2019
608124012803,Jack St Malo,unchanged,5,10,5,10,0,0,11/16/2019
608124012804,Jack St Malo,unchanged,4,132,4,132,0,0,11/28/2019
608124012900,Stones,servicing_accrual,184,51,184,56,0,5,10/22/2019
608124013200,Jack St Malo,unchanged,26,9,26,9,0,0,05/17/2020
608124013201,Jack St Malo,unchanged,13,10,13,10,0,0,06/19/2020
608124013202,Jack St Malo,unchanged,81,125,81,125,0,0,07/11/2020
608124013300,Jack St Malo,unchanged,107,144,107,144,0,0,08/14/2020
608124013400,Stones,unchanged,80,48,80,48,0,0,12/09/2020
608124013500,Jack St Malo,unchanged,45,144,45,144,0,0,12/26/2020
608124013600,Jack St Malo,unchanged,46,71,46,71,0,0,04/11/2021
608124013700,Stones,unchanged,156,17,156,17,0,0,08/17/2021
608124013701,Stones,servicing_accrual,4,78,4,80,0,2,02/04/2022
608124013900,Shenandoah,late_data,0,0,86,115,86,115,11/02/2022
608124014000,Shenandoah,late_data,0,0,28,19,28,19,11/13/2022
608124014001,Shenandoah,late_data,0,0,2,22,2,22,11/30/2023
608124014002,Shenandoah,unchanged,0,0,0,0,0,0,
608124014003,Shenandoah,late_data,0,0,9,100,9,100,05/24/2024
608124014100,Shenandoah,unchanged,117,175,117,175,0,0,11/22/2022
608124014300,Stones,unchanged,45,17,45,17,0,0,12/19/2022
608124014301,Stones,unchanged,2,50,2,50,0,0,02/14/2023
608124014400,Shenandoah,unchanged,165,186,165,186,0,0,11/28/2022
608124014600,Jack St Malo,unchanged,55,70,55,70,0,0,04/21/2023
608124015100,Jack St Malo,unchanged,38,56,38,56,0,0,10/14/2023
608124015200,Shenandoah,unchanged,0,0,0,0,0,0,
608124015300,Jack St Malo,unchanged,0,0,0,0,0,0,
608124015400,Jack St Malo,late_data,0,0,48,71,48,71,09/13/2024
608124015500,Jack St Malo,unchanged,0,0,0,0,0,0,
608124015501,Jack St Malo,unchanged,0,0,0,0,0,0,
608124015502,Jack St Malo,unchanged,0,0,0,0,0,0,
608124015503,Jack St Malo,unchanged,0,0,0,0,0,0,
608124015504,Jack St Malo,late_data,0,0,68,47,68,47,01/10/2025
