Month-Year,Monthly_production_BBL,Oil_price_USD,CAPEX_monthly,OPEX_monthly,Oil_sales,Net_revenue_after_OPEX,Cumulative_revenue,Cumulative_OPEX,Cumulative_CAPEX,Cumulative_cash_flow,Cumulative_cash_flow_after_OPEX,Cumulative_NPV,Wells_total,Wells_producing,Daily_production_rate_BBL_per_day
June,139685.44444444444,74.41,47272727.27272727,2095281.6666666665,10393993.92111111,8298712.254444445,214296547.64352682,59279359.14297983,2032727272.727272,-1877710084.226726,155017188.50054598,0.0,26,26,4594.915935672515
July,144285.58064516127,74.25,47272727.27272727,2164283.709677419,10713204.362903224,8548920.653225806,225009752.00643006,61443642.85265725,2079999999.9999993,-1916433890.8462276,163566109.15377164,0.0,26,26,4746.236205432937
August,149659.12903225806,72.53,47272727.27272727,2244886.935483871,10854776.628709678,8609889.693225807,235864528.63513973,63688529.788141124,2127272727.2727265,-1955096728.425729,172175998.8469975,0.0,26,26,4922.997665534805
September,147212.76666666666,78.89,47272727.27272727,2208191.5,11613615.162333334,9405423.662333334,247478143.79747307,65896721.288141124,2174545454.545454,-1992964032.036123,181581422.509331,0.0,26,26,4842.525219298246
October,142527.09677419357,81.03,47272727.27272727,2137906.4516129037,11548970.651612906,9411064.200000003,259027114.44908598,68034627.73975402,2221818181.8181815,-2030825695.1088502,190992486.70933127,0.0,26,26,4688.391341256368
November,142091.908045977,64.75,47272727.27272727,2131378.620689655,9200451.045977011,7069072.425287357,268227565.495063,70166006.36044368,2269090909.090909,-2071029349.9562902,198061559.13461876,0.0,26,26,4674.075922565034
December,148458.24057594856,57.36,47272727.27272727,2226873.608639228,8515564.67943641,6288691.070797182,276743130.1744994,72392879.9690829,2316363636.3636365,-2112013386.1582203,204350250.2054162,0.0,27,27,4883.494755787781
January,153789.25806451612,59.41,47272727.27272727,2306838.870967742,9136619.821612902,6829780.95064516,285879749.9961123,74699718.84005065,2363636363.636364,-2152456332.4803023,211180031.15606165,0.0,27,27,5058.8571731748725
February,151211.5,63.96,47272727.27272727,2268172.5,9671487.540000001,7403315.040000001,295551237.5361123,76967891.34005065,2410909090.9090915,-2192325744.7130294,218583346.1960621,0.0,27,27,4974.0625
March,148196.49462365592,66.14,47272727.27272727,2222947.419354839,9801716.154408602,7578768.735053763,305352953.6905209,79190838.7594055,2458181818.181819,-2232019703.250703,226162114.9311161,0.0,27,27,4874.8846915676295
April,148504.86666666664,71.23,47272727.27272727,2227572.9999999995,10578001.652666666,8350428.652666666,315930955.3431876,81418411.7594055,2505454545.4545465,-2270942001.8707633,234512543.58378315,0.0,27,27,4885.028508771929
May,144779.61067193674,71.32,47272727.27272727,2171694.1600790513,10325681.833122527,8153987.673043476,326256637.1763101,83590105.91948454,2552727272.727274,-2310060741.470447,242666531.25682688,0.0,27,27,4762.487193155814
June,147502.53333333333,64.22,47272727.27272727,2212538.0,9472612.690666666,7260074.690666666,335729249.8669768,85802643.91948454,2600000000.0000014,-2350073394.052508,249926605.94749355,0.0,28,28,4852.05701754386
