Month-Year,Monthly_production_BBL,Oil_price_USD,CAPEX_monthly,OPEX_monthly,Oil_sales,Net_revenue_after_OPEX,Cumulative_revenue,Cumulative_OPEX,Cumulative_CAPEX,Cumulative_cash_flow,Cumulative_cash_flow_after_OPEX,Cumulative_NPV,Wells_total,Wells_producing,Daily_production_rate_BBL_per_day
May,83972.06752688171,0.0,47272727.27272727,1259581.0129032256,0.0,-1259581.0129032256,0.0,17156469.783648644,850909090.9090906,-868065560.6927395,-17156469.78364885,0.0,22,22,2762.239063384267
June,97048.04848484849,10735.181818181818,47272727.27272727,1455720.7272727273,1041828445.584573,1040372724.8573003,1041828445.584573,18612190.51092137,898181818.1818179,125034436.89183354,1023216255.0736514,0.0,22,22,3192.3700159489636
July,94708.32258064515,12157.451612903225,47272727.27272727,1420624.8387096773,1151411849.1134233,1149991224.2747138,2193240294.697996,20032815.34963105,945454545.4545451,1227752933.89382,2173207479.3483653,0.0,22,22,3115.405348047538
August,100279.21658986175,12217.709677419354,47272727.27272727,1504188.2488479263,1225182354.9739854,1223678166.7251375,3418422649.671982,21537003.598478977,992727272.7272724,2404158373.3462305,3396885646.073503,0.0,22,22,3298.658440455979
September,103212.93333333333,12712.4,47272727.27272727,1548194.0,1312084093.7066667,1310535899.7066667,4730506743.378649,23085197.598478977,1039999999.9999996,3667421545.78017,4707421545.7801695,0.0,23,23,3395.1622807017548
October,103691.93548387097,12919.225806451614,47272727.27272727,1555379.0322580645,1339619528.8241415,1338064149.7918835,6070126272.20279,24640576.63073704,1087272727.272727,4958212968.299326,6045485695.572053,0.0,23,23,3410.9189303904927
November,100183.22471264369,12136.620689655172,47272727.27272727,1502748.3706896552,1215885797.8038447,1214383049.433155,7286012070.006635,26143325.001426697,1134545454.5454543,6125323290.459754,7259868745.005208,0.0,23,23,3295.500812915911
December,108436.4193548387,13452.58064516129,47272727.27272727,1626546.2903225804,1458749676.2434962,1457123129.9531736,8744761746.250132,27769871.291749276,1181818181.8181815,7535173693.140201,8716991874.958382,0.0,23,23,3566.987478777589
January,109909.16989247312,13748.516129032258,47272727.27272727,1648637.5483870967,1511087994.9952133,1509439357.4468262,10255849741.245344,29418508.84013637,1229090909.0909088,8997340323.3143,10226431232.405209,0.0,23,23,3615.433220147142
February,107270.67857142858,13450.607142857143,47272727.27272727,1609060.1785714286,1442855755.41199,1441246695.2334185,11698705496.657333,31027569.0187078,1276363636.363636,10391314291.274992,11667677927.638628,0.0,23,23,3528.6407424812032
March,110783.43894009216,13546.645161290322,47272727.27272727,1661751.5841013824,1500743937.0689013,1499082185.4847999,13199449433.726234,32689320.602809183,1323636363.6363633,11843123749.487064,13166760113.123428,0.0,24,24,3644.192070397769
April,113862.23333333334,13789.933333333332,47272727.27272727,1707933.5,1570152606.8511112,1568444673.3511112,14769602040.577345,34397254.10280918,1370909090.9090905,13364295695.565449,14735204786.474539,0.0,24,24,3745.4682017543864
May,122532.7691001698,14013.193548387097,47272727.27272727,1837991.5365025469,1717075409.4205053,1715237417.8840027,16486677449.99785,36235245.63931173,1418181818.1818178,15032260386.176723,16450442204.358541,0.0,24,24,4030.683194084533
June,123320.5,13047.066666666668,47272727.27272727,1849807.5,1608970784.8666668,1607120977.3666668,18095648234.864517,38085053.13931173,1465454545.454545,16592108636.270662,18057563181.72521,0.0,24,24,4056.595394736842
July,123230.18576195773,12882.793103448275,47272727.27272727,1848452.786429366,1587548987.270799,1585700534.4843695,19683197222.135315,39933505.9257411,1512727272.7272723,18130536443.482304,19643263716.209576,0.0,24,24,4053.624531643347
August,110111.53626251391,13779.387096774193,47272727.27272727,1651673.0439377087,1517269481.9816678,1515617808.93773,21200466704.11698,41585178.969678804,1559999999.9999995,19598881525.14731,21158881525.14731,0.0,24,24,3622.0900086353263
September,110716.8,14085.6,47272727.27272727,1660752.0,1559512558.0800002,1557851806.0800002,22759979262.196983,43245930.969678804,1607272727.2727268,21109460603.954582,22716733331.22731,0.0,24,24,3642.0000000000005
October,106493.60714285714,12918.964285714286,47272727.27272727,1597404.1071428573,1375787107.3354592,1374189703.2283163,24135766369.532444,44843335.07682166,1654545454.545454,22436377579.91017,24090923034.455627,0.0,25,25,3503.0791823308273
November,115763.60476190476,12466.4,47272727.27272727,1736454.0714285714,1443155402.4038095,1441418948.332381,25578921771.936253,46579789.14825024,1701818181.8181813,23830523800.969826,25532341982.788006,0.0,25,25,3808.013314536341
December,111042.25806451614,12300.0,47272727.27272727,1665633.870967742,1365819774.1935484,1364154140.3225808,26944741546.129803,48245423.01921798,1749090909.0909085,25147405214.01968,26896496123.110588,0.0,25,25,3652.705857385399
January,112271.72525027808,10760.516129032258,47272727.27272727,1684075.878754171,1208101710.3898954,1206417634.5111413,28152843256.5197,49929498.89797215,1796363636.3636358,26306550121.258095,28102913757.62173,0.0,25,25,3693.148856917042
February,116309.67857142857,11741.5,47272727.27272727,1744645.1785714284,1365650090.9464285,1363905445.767857,29518493347.46613,51674144.07654358,1843636363.636363,27623182839.753223,29466819203.389587,0.0,25,25,3825.9762687969924
March,119108.93548387097,12196.193548387097,47272727.27272727,1786634.0322580645,1452675630.503642,1450888996.471384,30971168977.969772,53460778.10880164,1890909090.9090903,29026799108.95188,30917708199.860973,0.0,25,25,3918.0570882852294
April,117465.76428571428,11852.933333333332,47272727.27272727,1761986.464285714,1392313873.027619,1390551886.5633333,32363482850.99739,55222764.57308736,1938181818.1818175,30370078268.24249,32308260086.424305,0.0,25,25,3864.0054041353383
May,130754.19354838709,14074.741935483871,47272727.27272727,1961312.9032258063,1840331531.1758585,1838370218.2726326,34203814382.17325,57184077.47631317,1985454545.4545448,32161175759.242393,34146630304.696938,0.0,26,26,4301.1247877758915
June,139685.44444444444,14738.0,47272727.27272727,2095281.6666666665,2058684080.222222,2056588798.5555553,36262498462.39547,59279359.14297983,2032727272.727272,34170491830.525223,36203219103.252495,0.0,26,26,4594.915935672515
July,144285.58064516127,13706.483870967742,47272727.27272727,2164283.709677419,1977647983.9261184,1975483700.216441,38240146446.32159,61443642.85265725,2079999999.9999993,36098702803.46893,38178702803.46893,0.0,26,26,4746.236205432937
August,149659.12903225806,14082.354838709678,47272727.27272727,2244886.935483871,2107552959.8844953,2105308072.9490113,40347699406.206085,63688529.788141124,2127272727.2727265,38156738149.14522,40284010876.417946,0.0,26,26,4922.997665534805
September,147212.76666666666,13682.1,47272727.27272727,2208191.5,2014179794.81,2011971603.31,42361879201.01608,65896721.288141124,2174545454.545454,40121437025.18249,42295982479.72794,0.0,26,26,4842.525219298246
October,142527.09677419357,13263.354838709678,47272727.27272727,2137906.4516129037,1890387458.6472428,1888249552.1956298,44252266659.66332,68034627.73975402,2221818181.8181815,41962413850.10539,44184232031.92358,0.0,26,26,4688.391341256368
November,142091.908045977,13000.241379310344,47272727.27272727,2131378.620689655,1847229102.6444707,1845097724.023781,46099495762.30779,70166006.36044368,2269090909.090909,43760238846.856445,46029329755.94736,0.0,26,26,4674.075922565034
December,148458.24057594856,12791.838709677419,47272727.27272727,2226873.608639228,1899053868.5700216,1896826994.9613824,47998549630.877815,72392879.9690829,2316363636.3636365,45609793114.5451,47926156750.90874,0.0,27,27,4883.494755787781
January,153789.25806451612,13090.935483870968,47272727.27272727,2306838.870967742,2013245255.4349635,2010938416.5639958,50011794886.31278,74699718.84005065,2363636363.636364,47573458803.836365,49937095167.47273,0.0,27,27,5058.8571731748725
February,151211.5,12612.464285714286,47272727.27272727,2268172.5,1907149643.3392859,1904881470.8392859,51918944529.65207,76967891.34005065,2410909090.9090915,49431067547.40292,51841976638.31201,0.0,27,27,4974.0625
March,148196.49462365592,12384.225806451614,47272727.27272727,2222947.419354839,1835298853.1439474,1833075905.7245924,53754243382.79601,79190838.7594055,2458181818.181819,51216870725.85479,53675052544.036606,0.0,27,27,4874.8846915676295
April,148504.86666666664,12150.266666666666,47272727.27272727,2227572.9999999995,1804373731.2977774,1802146158.2977774,55558617114.09379,81418411.7594055,2505454545.4545465,52971744156.87984,55477198702.33438,0.0,27,27,4885.028508771929
May,144779.61067193674,12073.363636363636,47272727.27272727,2171694.1600790513,1747976886.7734456,1745805192.6133666,57306594000.86723,83590105.91948454,2552727272.727274,54670276622.220474,57223003894.94775,0.0,27,27,4762.487193155814
June,147502.53333333333,11911.433333333332,47272727.27272727,2212538.0,1756966592.2977777,1754754054.2977777,59063560593.16501,85802643.91948454,2600000000.0000014,56377757949.24552,58977757949.24552,0.0,28,28,4852.05701754386
