prfInformationCarrier,prfYear,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
ALVE,2014,0.185,0.539,0.184,0.0,0.908,0.005,4444332
ALVE,2015,0.152,0.459,0.159,0.0,0.77,0.001,4444332
ALVE,2016,0.146,0.446,0.155,0.0,0.747,0.001,4444332
ALVE,2017,0.176,0.766,0.25,0.0,1.192,0.013,4444332
ALVE,2018,0.137,0.637,0.224,0.0,0.998,0.024,4444332
ALVE,2019,0.088,0.573,0.197,0.0,0.858,0.013,4444332
ALVE,2020,0.045,0.408,0.135,0.0,0.588,0.008,4444332
ALVE,2021,0.046,0.435,0.126,0.0,0.608,0.009,4444332
ALVE,2022,0.062,0.527,0.116,0.0,0.705,0.012,4444332
ALVE,2023,0.083,0.585,0.136,0.0,0.803,0.013,4444332
ALVE,2024,0.058,0.482,0.117,0.0,0.657,0.013,4444332
ALVE,2025,0.053,0.521,0.091,0.0,0.665,0.007,4444332
ALVE,2026,0.024,0.272,0.025,0.0,0.32,0.002,4444332
ALVHEIM,2008,2.269,0.126,0.0,0.0,2.394,0.001,2845712
ALVHEIM,2009,4.986,0.436,0.0,0.0,5.422,0.377,2845712
ALVHEIM,2010,4.599,0.442,0.0,0.0,5.041,0.34,2845712
ALVHEIM,2011,3.863,0.461,0.0,0.0,4.323,0.935,2845712
ALVHEIM,2012,4.024,0.626,0.0,0.0,4.65,2.111,2845712
ALVHEIM,2013,3.492,0.605,0.0,0.0,4.096,2.772,2845712
ALVHEIM,2014,3.16,0.573,0.0,0.0,3.733,3.86,2845712
ALVHEIM,2015,2.57,0.393,0.0,0.0,2.963,4.66,2845712
ALVHEIM,2016,3.321,0.5,0.0,0.0,3.821,4.44,2845712
ALVHEIM,2017,4.198,0.571,0.0,0.0,4.77,5.507,2845712
ALVHEIM,2018,3.131,0.509,0.0,0.0,3.64,5.58,2845712
ALVHEIM,2019,2.868,0.617,0.0,0.0,3.485,5.713,2845712
ALVHEIM,2020,2.395,0.593,0.0,0.0,2.988,6.208,2845712
ALVHEIM,2021,2.444,0.584,0.0,0.0,3.028,6.011,2845712
ALVHEIM,2022,2.219,0.665,0.0,0.0,2.884,5.891,2845712
ALVHEIM,2023,1.481,0.502,0.0,0.0,1.984,4.656,2845712
ALVHEIM,2024,2.325,0.723,0.0,0.0,3.049,4.178,2845712
ALVHEIM,2025,1.979,0.734,0.0,0.0,2.713,5.001,2845712
ALVHEIM,2026,0.435,0.181,0.0,0.0,0.616,1.421,2845712
ATLA,2012,0.038,0.046,0.0,0.0,0.085,0.0,21106284
ATLA,2013,0.072,0.075,0.0,0.0,0.147,0.0,21106284
ATLA,2014,0.034,0.234,0.0,0.0,0.267,0.0,21106284
ATLA,2015,0.027,0.315,0.0,0.0,0.342,0.0,21106284
ATLA,2016,0.022,0.465,0.0,0.0,0.488,0.004,21106284
ATLA,2017,0.035,0.069,0.0,0.0,0.104,0.0,21106284
ATLA,2018,0.023,0.029,0.0,0.0,0.052,0.001,21106284
ATLA,2019,0.012,0.085,0.0,0.0,0.097,0.001,21106284
ATLA,2020,0.0,0.069,0.0,0.0,0.069,0.0,21106284
ATLA,2021,0.008,0.054,0.0,0.0,0.062,0.001,21106284
ATLA,2022,0.004,0.022,0.0,0.0,0.026,0.001,21106284
ATLA,2023,0.005,0.026,0.0,0.0,0.031,0.0,21106284
BALDER,1991,0.129,0.0,0.0,0.0,0.129,0.0,43562
BALDER,1999,0.881,0.0,0.0,0.0,0.881,0.006,43562
BALDER,2000,4.018,0.0,0.0,0.0,4.018,1.212,43562
BALDER,2001,3.888,0.0,0.0,0.0,3.888,1.579,43562
BALDER,2002,3.436,0.0,0.0,0.0,3.436,2.371,43562
BALDER,2003,3.949,0.032,0.0,0.0,3.981,2.163,43562
BALDER,2004,6.046,0.194,0.0,0.0,6.24,2.627,43562
BALDER,2005,6.984,0.254,0.0,0.0,7.239,2.792,43562
BALDER,2006,6.352,0.215,0.0,0.0,6.567,3.113,43562
BALDER,2007,5.624,0.189,0.0,0.0,5.813,3.437,43562
BALDER,2008,4.409,0.14,0.0,0.0,4.549,3.967,43562
BALDER,2009,3.313,0.108,0.0,0.0,3.421,4.617,43562
BALDER,2010,2.726,0.091,0.0,0.0,2.818,5.213,43562
BALDER,2011,2.27,0.061,0.0,0.0,2.332,5.261,43562
BALDER,2012,1.857,0.046,0.0,0.0,1.903,4.738,43562
BALDER,2013,1.925,0.062,0.0,0.0,1.987,4.686,43562
BALDER,2014,2.488,0.07,0.0,0.0,2.557,4.331,43562
BALDER,2015,2.556,0.091,0.0,0.0,2.647,4.437,43562
BALDER,2016,2.671,0.093,0.0,0.0,2.764,5.034,43562
BALDER,2017,2.119,0.061,0.0,0.0,2.18,5.84,43562
BALDER,2018,1.619,0.045,0.0,0.0,1.663,5.059,43562
BALDER,2019,1.383,0.032,0.0,0.0,1.414,5.282,43562
BALDER,2020,1.059,0.004,0.0,0.0,1.063,4.235,43562
BALDER,2021,1.171,0.0,0.0,0.0,1.171,4.843,43562
BALDER,2022,0.991,0.0,0.0,0.0,0.991,3.823,43562
BALDER,2023,1.219,0.0,0.0,0.0,1.219,5.145,43562
BALDER,2024,1.535,0.0,0.0,0.0,1.535,5.701,43562
BALDER,2025,2.938,0.047,0.0,0.0,2.985,5.893,43562
BALDER,2026,1.182,0.054,0.0,0.0,1.236,1.882,43562
BAUGE,2023,0.263,0.047,0.035,0.0,0.345,0.003,29446221
BAUGE,2024,0.174,0.031,0.026,0.0,0.231,0.001,29446221
BAUGE,2025,0.237,0.047,0.04,0.0,0.324,0.002,29446221
BAUGE,2026,0.063,0.018,0.015,0.0,0.095,0.001,29446221
BLANE,2007,0.049,0.0,0.002,0.0,0.051,0.0,3437650
BLANE,2008,0.139,0.0,0.006,0.0,0.145,0.0,3437650
BLANE,2009,0.116,0.0,0.005,0.0,0.12,0.0,3437650
BLANE,2010,0.094,0.0,0.003,0.0,0.097,0.0,3437650
BLANE,2011,0.101,0.0,0.004,0.0,0.104,0.003,3437650
BLANE,2012,0.054,0.0,0.002,0.0,0.056,0.008,3437650
BLANE,2013,0.045,0.0,0.002,0.0,0.047,0.023,3437650
BLANE,2014,0.041,0.0,0.002,0.0,0.043,0.023,3437650
BLANE,2015,0.028,0.0,0.001,0.0,0.029,0.022,3437650
BLANE,2016,0.029,0.0,0.001,0.0,0.03,0.027,3437650
BLANE,2017,0.02,0.0,0.001,0.0,0.021,0.022,3437650
BLANE,2018,0.019,0.0,0.001,0.0,0.019,0.024,3437650
BLANE,2019,0.014,0.0,0.001,0.0,0.015,0.021,3437650
BLANE,2020,0.015,0.0,0.003,0.0,0.017,0.023,3437650
BLANE,2021,0.007,0.0,0.001,0.0,0.008,0.013,3437650
BLANE,2022,0.004,0.0,0.0,0.0,0.004,0.008,3437650
BLANE,2023,0.005,0.0,0.001,0.0,0.005,0.011,3437650
BLANE,2024,0.011,0.0,0.002,0.0,0.013,0.026,3437650
BLANE,2025,0.008,0.0,0.002,0.0,0.01,0.025,3437650
BLANE,2026,0.002,0.0,0.0,0.0,0.002,0.005,3437650
BRAGE,1993,1.044,0.025,0.031,0.0,1.1,0.0,43651
BRAGE,1994,5.352,0.192,0.174,0.0,5.718,0.0,43651
BRAGE,1995,6.252,0.223,0.152,0.0,6.627,0.0,43651
BRAGE,1996,6.398,0.341,0.209,0.0,6.947,0.0,43651
BRAGE,1997,5.869,0.23,0.146,0.0,6.245,0.0,43651
BRAGE,1998,5.541,0.281,0.195,0.0,6.017,0.0,43651
BRAGE,1999,3.798,0.158,0.111,0.0,4.067,0.0,43651
BRAGE,2000,2.633,0.149,0.115,0.0,2.897,5.023,43651
BRAGE,2001,2.229,0.167,0.158,0.0,2.554,6.186,43651
BRAGE,2002,2.143,0.115,0.109,0.0,2.366,5.733,43651
BRAGE,2003,1.878,0.098,0.081,0.0,2.058,6.974,43651
BRAGE,2004,1.581,0.089,0.068,0.0,1.738,8.402,43651
BRAGE,2005,1.481,0.124,0.086,0.0,1.691,8.796,43651
BRAGE,2006,1.113,0.133,0.084,0.0,1.33,8.941,43651
BRAGE,2007,1.195,0.174,0.107,0.0,1.476,8.835,43651
BRAGE,2008,1.597,0.259,0.17,0.0,2.026,8.158,43651
BRAGE,2009,1.676,0.13,0.096,0.0,1.902,7.401,43651
BRAGE,2010,1.546,0.126,0.087,0.0,1.759,7.951,43651
BRAGE,2011,1.133,0.13,0.088,0.0,1.35,8.295,43651
BRAGE,2012,0.788,0.111,0.073,0.0,0.972,8.466,43651
BRAGE,2013,0.594,0.069,0.043,0.0,0.706,9.174,43651
BRAGE,2014,0.52,0.114,0.069,0.0,0.703,11.797,43651
BRAGE,2015,0.659,0.161,0.092,0.0,0.912,13.33,43651
BRAGE,2016,0.717,0.14,0.081,0.0,0.937,11.478,43651
BRAGE,2017,0.51,0.0,0.0,0.0,0.51,10.964,43651
BRAGE,2018,0.475,0.047,0.026,0.0,0.548,13.604,43651
BRAGE,2019,0.518,0.068,0.039,0.0,0.624,16.56,43651
BRAGE,2020,0.453,0.131,0.067,0.0,0.651,12.349,43651
BRAGE,2021,0.379,0.081,0.039,0.0,0.5,14.561,43651
BRAGE,2022,0.349,0.048,0.017,0.0,0.414,14.259,43651
BRAGE,2023,0.581,0.157,0.053,0.0,0.791,13.702,43651
BRAGE,2024,0.81,0.225,0.081,0.0,1.116,12.401,43651
BRAGE,2025,0.81,0.199,0.069,0.0,1.079,11.66,43651
BRAGE,2026,0.286,0.075,0.026,0.0,0.387,1.965,43651
BREIDABLIKK,2023,0.092,0.0,0.0,0.0,0.092,0.0,38702206
BREIDABLIKK,2024,3.42,0.0,0.0,0.0,3.42,0.207,38702206
BREIDABLIKK,2025,4.448,0.0,0.0,0.0,4.448,0.4,38702206
BREIDABLIKK,2026,1.001,0.0,0.0,0.0,1.001,0.171,38702206
BRYNHILD,2014,0.008,0.0,0.0,0.0,0.008,0.0,21123063
BRYNHILD,2015,0.255,0.0,0.0,0.0,0.255,0.062,21123063
BRYNHILD,2016,0.16,0.0,0.0,0.0,0.16,0.055,21123063
BRYNHILD,2017,0.069,0.0,0.0,0.0,0.069,0.04,21123063
BRYNHILD,2018,-0.001,0.0,0.0,0.0,-0.001,0.001,21123063
BYRDING,2017,0.131,0.0,0.0,0.0,0.131,0.002,28975067
BYRDING,2018,0.209,0.0,0.0,0.0,0.209,0.063,28975067
BYRDING,2019,0.181,0.0,0.0,0.0,0.181,0.17,28975067
BYRDING,2020,0.134,0.0,0.0,0.0,0.134,0.188,28975067
BYRDING,2021,0.112,0.0,0.0,0.0,0.112,0.198,28975067
BYRDING,2022,0.053,0.0,0.0,0.0,0.053,0.114,28975067
BYRDING,2023,0.012,0.0,0.0,0.0,0.012,0.0,28975067
BYRDING,2024,0.01,0.0,0.0,0.0,0.01,0.0,28975067
BYRDING,2025,0.01,0.0,0.0,0.0,0.01,0.014,28975067
BYRDING,2026,0.0,0.0,0.0,0.0,0.0,0.0,28975067
BØYLA,2015,0.761,0.071,0.0,0.0,0.833,0.031,22492497
BØYLA,2016,0.625,0.058,0.0,0.0,0.682,0.147,22492497
BØYLA,2017,0.366,0.039,0.0,0.0,0.405,0.248,22492497
BØYLA,2018,0.235,0.029,0.0,0.0,0.265,0.345,22492497
BØYLA,2019,0.334,0.027,0.0,0.0,0.36,0.213,22492497
BØYLA,2020,0.482,0.028,0.0,0.0,0.51,0.131,22492497
BØYLA,2021,0.151,0.012,0.0,0.0,0.163,0.275,22492497
BØYLA,2022,0.132,0.018,0.0,0.0,0.15,0.216,22492497
BØYLA,2023,0.383,0.022,0.0,0.0,0.405,0.174,22492497
BØYLA,2024,0.334,0.024,0.0,0.0,0.359,0.449,22492497
BØYLA,2025,0.252,0.03,0.0,0.0,0.283,0.415,22492497
BØYLA,2026,0.085,0.01,0.0,0.0,0.095,0.075,22492497
COD,1977,0.002,0.004,0.0,0.0,0.006,0.0,43785
COD,1978,0.068,0.138,0.0,0.0,0.205,0.0,43785
COD,1979,0.285,0.482,0.035,0.0,0.802,0.0,43785
COD,1980,0.465,0.843,0.107,0.0,1.415,0.0,43785
COD,1981,0.342,0.691,0.089,0.0,1.122,0.0,43785
COD,1982,0.322,0.758,0.105,0.0,1.185,0.0,43785
COD,1983,0.283,0.73,0.125,0.0,1.139,0.0,43785
COD,1984,0.191,0.529,0.087,0.0,0.807,0.0,43785
COD,1985,0.153,0.455,0.083,0.0,0.691,0.0,43785
COD,1986,0.126,0.405,0.068,0.0,0.599,0.0,43785
COD,1987,0.081,0.281,0.049,0.0,0.411,0.0,43785
COD,1988,0.1,0.354,0.068,0.0,0.521,0.0,43785
COD,1989,0.071,0.255,0.046,0.0,0.372,0.0,43785
COD,1990,0.057,0.194,0.035,0.0,0.287,0.0,43785
COD,1991,0.051,0.173,0.025,0.0,0.25,0.0,43785
COD,1992,0.049,0.171,0.023,0.0,0.243,0.0,43785
COD,1993,0.046,0.157,0.021,0.0,0.224,0.0,43785
COD,1994,0.046,0.155,0.021,0.0,0.223,0.0,43785
COD,1995,0.047,0.164,0.022,0.0,0.233,0.0,43785
COD,1996,0.042,0.148,0.019,0.0,0.209,0.0,43785
COD,1997,0.033,0.117,0.017,0.0,0.167,0.0,43785
COD,1998,0.018,0.075,0.011,0.0,0.104,0.0,43785
DRAUGEN,1993,0.123,0.0,0.0,0.0,0.123,0.0,43758
DRAUGEN,1994,3.887,0.0,0.0,0.0,3.887,0.065,43758
DRAUGEN,1995,6.971,0.0,0.0,0.0,6.971,0.0,43758
DRAUGEN,1996,8.444,0.0,0.0,0.0,8.444,0.0,43758
DRAUGEN,1997,10.452,0.0,0.0,0.0,10.452,0.001,43758
DRAUGEN,1998,11.194,0.0,0.0,0.0,11.194,0.183,43758
DRAUGEN,1999,12.139,0.0,0.0,0.0,12.139,0.196,43758
DRAUGEN,2000,11.744,0.02,0.034,0.0,11.799,0.238,43758
DRAUGEN,2001,11.859,0.274,0.734,0.0,12.866,0.249,43758
DRAUGEN,2002,11.067,0.239,0.642,0.0,11.948,0.828,43758
DRAUGEN,2003,7.434,0.166,0.495,0.0,8.095,2.151,43758
DRAUGEN,2004,7.807,0.197,0.556,0.0,8.561,4.758,43758
DRAUGEN,2005,6.018,0.162,0.448,0.0,6.629,5.967,43758
DRAUGEN,2006,4.549,0.119,0.333,0.0,5.002,5.461,43758
DRAUGEN,2007,4.124,0.099,0.282,0.0,4.504,6.476,43758
DRAUGEN,2008,4.04,0.092,0.273,0.0,4.405,6.897,43758
DRAUGEN,2009,3.398,0.075,0.237,0.0,3.711,8.018,43758
DRAUGEN,2010,2.409,0.046,0.15,0.0,2.605,7.527,43758
DRAUGEN,2011,2.173,0.042,0.142,0.0,2.357,8.311,43758
DRAUGEN,2012,2.024,0.038,0.132,0.0,2.194,9.564,43758
DRAUGEN,2013,1.469,0.026,0.09,0.0,1.585,8.15,43758
DRAUGEN,2014,1.805,0.03,0.111,0.0,1.946,9.272,43758
DRAUGEN,2015,1.721,0.023,0.099,0.0,1.843,10.769,43758
DRAUGEN,2016,1.277,0.014,0.065,0.0,1.356,9.303,43758
DRAUGEN,2017,1.339,0.012,0.066,0.0,1.417,10.794,43758
DRAUGEN,2018,1.16,0.008,0.051,0.0,1.218,9.859,43758
DRAUGEN,2019,1.13,0.005,0.047,0.0,1.182,11.521,43758
DRAUGEN,2020,0.986,0.004,0.025,0.0,1.014,11.436,43758
DRAUGEN,2021,0.922,0.0,0.0,0.0,0.922,11.643,43758
DRAUGEN,2022,0.881,0.0,0.0,0.0,0.881,11.372,43758
DRAUGEN,2023,0.782,0.052,0.039,0.0,0.873,11.051,43758
DRAUGEN,2024,0.825,0.222,0.121,0.0,1.168,12.278,43758
DRAUGEN,2025,0.694,0.314,0.128,0.0,1.136,10.747,43758
DRAUGEN,2026,0.169,0.085,0.033,0.0,0.287,2.644,43758
DUVA,2021,0.511,0.0,0.0,0.0,0.511,0.0,34833026
DUVA,2022,1.073,0.338,0.031,0.0,1.442,0.039,34833026
DUVA,2023,0.919,0.699,0.052,0.0,1.67,0.332,34833026
DUVA,2024,0.55,0.76,0.15,0.0,1.459,0.598,34833026
DUVA,2025,0.393,0.571,0.079,0.0,1.042,0.559,34833026
DUVA,2026,0.042,0.226,0.027,0.0,0.296,0.043,34833026
DVALIN,2020,0.0,0.001,0.0,0.0,0.001,0.0,29393934
DVALIN,2021,0.0,0.003,0.0,0.0,0.003,0.0,29393934
DVALIN,2023,0.029,0.813,0.0,0.011,0.853,0.011,29393934
DVALIN,2024,0.069,2.645,0.0,0.032,2.746,0.041,29393934
DVALIN,2025,0.045,2.077,0.0,0.028,2.15,0.043,29393934
DVALIN,2026,0.009,0.422,0.0,0.005,0.436,0.008,29393934
EDDA,1979,0.049,0.01,0.002,0.0,0.061,0.0,43541
EDDA,1980,1.26,0.42,0.085,0.0,1.765,0.0,43541
EDDA,1981,0.718,0.409,0.071,0.0,1.198,0.0,43541
EDDA,1982,0.424,0.297,0.055,0.0,0.775,0.0,43541
EDDA,1983,0.291,0.201,0.045,0.0,0.536,0.0,43541
EDDA,1984,0.232,0.133,0.029,0.0,0.394,0.0,43541
EDDA,1985,0.192,0.09,0.023,0.0,0.305,0.0,43541
EDDA,1986,0.139,0.052,0.013,0.0,0.204,0.0,43541
EDDA,1987,0.05,0.015,0.004,0.0,0.069,0.0,43541
EDDA,1988,0.079,0.018,0.006,0.0,0.104,0.0,43541
EDDA,1989,0.171,0.044,0.014,0.0,0.23,0.0,43541
EDDA,1990,0.179,0.049,0.015,0.0,0.243,0.0,43541
EDDA,1991,0.144,0.037,0.01,0.0,0.191,0.0,43541
EDDA,1992,0.169,0.042,0.01,0.0,0.221,0.0,43541
EDDA,1993,0.136,0.033,0.008,0.0,0.177,0.0,43541
EDDA,1994,0.137,0.031,0.007,0.0,0.176,0.0,43541
EDDA,1995,0.146,0.031,0.007,0.0,0.184,0.0,43541
EDDA,1996,0.138,0.031,0.006,0.0,0.176,0.0,43541
EDDA,1997,0.104,0.02,0.005,0.0,0.129,0.0,43541
EDDA,1998,0.06,0.013,0.003,0.0,0.075,0.0,43541
EDVARD GRIEG,2015,0.151,0.008,0.001,0.0,0.161,0.0,21675433
EDVARD GRIEG,2016,3.902,0.324,0.133,0.0,4.36,0.024,21675433
EDVARD GRIEG,2017,5.413,0.495,0.276,0.0,6.185,0.07,21675433
EDVARD GRIEG,2018,5.103,0.461,0.277,0.0,5.84,0.102,21675433
EDVARD GRIEG,2019,4.998,0.499,0.249,0.0,5.746,0.151,21675433
EDVARD GRIEG,2020,5.06,0.449,0.249,0.0,5.758,0.301,21675433
EDVARD GRIEG,2021,5.689,0.491,0.281,0.0,6.462,0.913,21675433
EDVARD GRIEG,2022,5.137,0.472,0.281,0.0,5.89,1.797,21675433
EDVARD GRIEG,2023,4.14,0.425,0.254,0.0,4.819,3.042,21675433
EDVARD GRIEG,2024,2.143,0.199,0.109,0.0,2.451,3.413,21675433
EDVARD GRIEG,2025,1.456,0.17,0.094,0.0,1.72,2.974,21675433
EDVARD GRIEG,2026,0.384,0.028,0.012,0.0,0.424,0.542,21675433
