LEASE_NUMBER,LEASE_NAME,DEV_NAME,DEV_SYSTEM,API_WELL_NUMBER,WELL_COUNT
G30876,North Platte,North Platte,subsea20,608074031501,10
G30876,North Platte,North Platte,subsea20,608074031502,10
G30876,North Platte,North Platte,subsea20,608074032000,10
G30876,North Platte,North Platte,subsea20,608074032001,10
G30876,North Platte,North Platte,subsea20,608074032002,10
G30876,North Platte,North Platte,subsea20,608074032003,10
G32460,North Platte,North Platte,subsea20,608074031400,1
G16942,Big Foot,Big Foot,dry,608124002003,27
G16942,Big Foot,Big Foot,dry,608124002004,27
G16942,Big Foot,Big Foot,dry,608124002005,27
G16942,Big Foot,Big Foot,dry,608124002300,27
G16942,Big Foot,Big Foot,dry,608124002301,27
G16942,Big Foot,Big Foot,dry,608124002302,27
G16942,Big Foot,Big Foot,dry,608124005900,27
G16942,Big Foot,Big Foot,dry,608124006000,27
G16942,Big Foot,Big Foot,dry,608124006001,27
G16942,Big Foot,Big Foot,dry,608124006200,27
G16942,Big Foot,Big Foot,dry,608124006300,27
G16942,Big Foot,Big Foot,dry,608124006302,27
G16942,Big Foot,Big Foot,dry,608124006400,27
G16942,Big Foot,Big Foot,dry,608124006500,27
G16942,Big Foot,Big Foot,dry,608124006600,27
G16942,Big Foot,Big Foot,dry,608124006601,27
G16942,Big Foot,Big Foot,dry,608124006602,27
G16942,Big Foot,Big Foot,dry,608124006603,27
G16942,Big Foot,Big Foot,dry,608124006700,27
G16942,Big Foot,Big Foot,dry,608124006800,27
G16942,Big Foot,Big Foot,dry,608124007100,27
G16942,Big Foot,Big Foot,dry,608124007101,27
G16942,Big Foot,Big Foot,dry,608124007102,27
G16942,Big Foot,Big Foot,dry,608124007103,27
G16942,Big Foot,Big Foot,dry,608124007200,27
G16942,Big Foot,Big Foot,dry,608124007300,27
G16942,Big Foot,Big Foot,dry,608124007400,27
