DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,LEASE_NUMBER,DOC_TYPE,DATA_SET,DOC_DATE,DOC_BAR_CODE
354,Gulf of Mexico,8/18/2004,117,4896502,G06536,,Expired Terminated Relinquished,8/31/1995,
355,Gulf of Mexico,8/18/2004,145,5911723,G06520,,Expired Terminated Relinquished,8/31/1995,
356,Gulf of Mexico,8/18/2004,145,6199777,G06521,,Expired Terminated Relinquished,8/31/1995,
357,Gulf of Mexico,8/18/2004,145,5994524,G06524,,Expired Terminated Relinquished,8/31/1995,
358,Gulf of Mexico,8/18/2004,145,6072421,G06525,,Expired Terminated Relinquished,8/31/1995,
359,Gulf of Mexico,8/18/2004,145,5980526,G06528,,Expired Terminated Relinquished,8/31/1995,
360,Gulf of Mexico,8/18/2004,147,6114304,G06529,,Expired Terminated Relinquished,8/31/1995,
361,Gulf of Mexico,8/18/2004,114,5208566,G06530,,Expired Terminated Relinquished,8/31/1995,
362,Gulf of Mexico,8/18/2004,114,5817078,G06531,,Expired Terminated Relinquished,8/31/1995,
363,Gulf of Mexico,8/18/2004,114,4889849,G06534,,Expired Terminated Relinquished,8/31/1995,
364,Gulf of Mexico,8/18/2004,114,5016946,G06535,,Expired Terminated Relinquished,8/31/1995,
365,Gulf of Mexico,8/18/2004,116,5039059,G06537,,Expired Terminated Relinquished,8/31/1995,
366,Gulf of Mexico,8/18/2004,65,2709739,G06722,,Expired Terminated Relinquished,5/18/1995,
367,Gulf of Mexico,8/18/2004,59,2289506,G07009,,Expired Terminated Relinquished,12/28/1994,
368,Gulf of Mexico,8/18/2004,55,2221786,G07010,,Expired Terminated Relinquished,12/28/1994,
369,Gulf of Mexico,8/18/2004,211,8256688,G07017,,Expired Terminated Relinquished,12/28/1994,
370,Gulf of Mexico,8/18/2004,60,2420669,G07027,,Expired Terminated Relinquished,12/28/1994,
371,Gulf of Mexico,8/18/2004,71,3023750,G07028,,Expired Terminated Relinquished,12/28/1994,
372,Gulf of Mexico,8/18/2004,82,4516180,G08008,,Expired Terminated Relinquished,11/30/1995,
373,Gulf of Mexico,8/18/2004,99,4163792,G08501,,Expired Terminated Relinquished,12/28/1994,
374,Gulf of Mexico,8/18/2004,94,3775900,G08502,,Expired Terminated Relinquished,12/28/1994,
375,Gulf of Mexico,8/18/2004,42,1697553,G09368,,Expired Terminated Relinquished,4/27/1995,
376,Gulf of Mexico,8/18/2004,46,2118212,G09407,,Expired Terminated Relinquished,2/2/1995,
377,Gulf of Mexico,8/18/2004,31,1432424,G09836,,Expired Terminated Relinquished,12/13/1995,
378,Gulf of Mexico,8/18/2004,30,1366235,G09845,,Expired Terminated Relinquished,12/13/1995,
379,Gulf of Mexico,8/18/2004,30,1431663,G09850,,Expired Terminated Relinquished,12/13/1995,
380,Gulf of Mexico,8/18/2004,60,2641928,G09963,,Expired Terminated Relinquished,4/28/1995,
381,Gulf of Mexico,8/18/2004,88,3746445,G10197,,Expired Terminated Relinquished,11/30/1994,
382,Gulf of Mexico,8/18/2004,82,2886172,G10807,,Expired Terminated Relinquished,11/8/1995,
383,Gulf of Mexico,8/18/2004,79,2742824,G10810,,Expired Terminated Relinquished,11/6/1995,
384,Gulf of Mexico,8/18/2004,31,1205848,G11052,,Expired Terminated Relinquished,4/27/1995,
385,Gulf of Mexico,8/18/2004,31,1131452,G11053,,Expired Terminated Relinquished,4/27/1995,
386,Gulf of Mexico,8/18/2004,63,2682897,G11058,,Expired Terminated Relinquished,4/26/1995,
387,Gulf of Mexico,8/18/2004,96,5480711,G11267,,Expired Terminated Relinquished,9/29/1995,
388,Gulf of Mexico,8/18/2004,105,5391099,G11535,,Expired Terminated Relinquished,9/27/1995,
389,Gulf of Mexico,8/18/2004,103,5322708,G11538,,Expired Terminated Relinquished,9/27/1995,
390,Gulf of Mexico,8/18/2004,103,4749989,G11541,,Expired Terminated Relinquished,9/17/1995,
391,Gulf of Mexico,8/18/2004,103,4250599,G11558,,Expired Terminated Relinquished,9/27/1995,
392,Gulf of Mexico,8/18/2004,103,4242784,G11566,,Expired Terminated Relinquished,9/27/1995,
393,Gulf of Mexico,8/18/2004,103,4284783,G11579,,Expired Terminated Relinquished,9/27/1995,
394,Gulf of Mexico,8/18/2004,103,4240146,G11630,,Expired Terminated Relinquished,9/27/1995,
395,Gulf of Mexico,8/18/2004,103,4229937,G11639,,Expired Terminated Relinquished,9/27/1995,
396,Gulf of Mexico,8/18/2004,103,4279260,G11640,,Expired Terminated Relinquished,9/27/1995,
397,Gulf of Mexico,8/18/2004,41,1711603,G11763,,Expired Terminated Relinquished,4/26/1995,
398,Gulf of Mexico,8/18/2004,23,841633,G11802,,Expired Terminated Relinquished,3/30/1995,
399,Gulf of Mexico,8/18/2004,21,826827,G11825,,Expired Terminated Relinquished,3/16/1995,
400,Gulf of Mexico,8/18/2004,31,1243738,G11933,,Expired Terminated Relinquished,4/25/1995,
401,Gulf of Mexico,8/18/2004,70,2712853,G11986,,Expired Terminated Relinquished,4/19/1995,
402,Gulf of Mexico,8/18/2004,137,5844325,G02266,,Expired Terminated Relinquished,1/26/1996,
403,Gulf of Mexico,8/18/2004,397,17673699,G01521,,Expired Terminated Relinquished,10/10/1995,
404,Gulf of Mexico,8/18/2004,67,3195376,G03810,,Expired Terminated Relinquished,11/13/1994,
405,Gulf of Mexico,8/18/2004,111,5661654,G04069,,Expired Terminated Relinquished,2/9/1995,
406,Gulf of Mexico,8/18/2004,167,8735028,G04242,,Expired Terminated Relinquished,6/19/1995,
407,Gulf of Mexico,8/18/2004,243,10715793,G04259,,Expired Terminated Relinquished,7/21/1994,
408,Gulf of Mexico,8/18/2004,57,2558348,G04567,,Expired Terminated Relinquished,4/25/1995,
409,Gulf of Mexico,8/18/2004,106,5176029,G04700,,Expired Terminated Relinquished,8/23/1994,
410,Gulf of Mexico,8/18/2004,57,2898972,G05010,,Expired Terminated Relinquished,2/7/1995,
411,Gulf of Mexico,8/18/2004,57,2758761,G05026,,Expired Terminated Relinquished,9/24/1994,
412,Gulf of Mexico,8/18/2004,193,9106899,G05199,,Expired Terminated Relinquished,7/29/1994,
413,Gulf of Mexico,8/18/2004,256,11223264,G05218,,Expired Terminated Relinquished,2/10/1995,
414,Gulf of Mexico,8/18/2004,118,5947460,G05275,,Expired Terminated Relinquished,5/20/1995,
415,Gulf of Mexico,8/18/2004,103,4551674,G05290,,Expired Terminated Relinquished,12/22/1994,
416,Gulf of Mexico,8/18/2004,133,6027278,G05316,,Expired Terminated Relinquished,6/28/1995,
417,Gulf of Mexico,8/18/2004,178,7408214,G05350,,Expired Terminated Relinquished,10/4/1994,
418,Gulf of Mexico,8/18/2004,194,9137526,G05357,,Expired Terminated Relinquished,8/15/1994,
419,Gulf of Mexico,8/18/2004,138,6447018,G05518,,Expired Terminated Relinquished,3/25/1994,
420,Gulf of Mexico,8/18/2004,135,4780939,G05521,,Expired Terminated Relinquished,6/20/1994,
421,Gulf of Mexico,8/18/2004,186,9022892,G05601,,Expired Terminated Relinquished,7/31/1994,
422,Gulf of Mexico,8/18/2004,146,6432274,G05699,,Expired Terminated Relinquished,5/29/1995,
423,Gulf of Mexico,8/18/2004,220,11209451,G06187,,Expired Terminated Relinquished,11/17/1994,
522,Gulf of Mexico,8/18/2004,150,11497064,G03518,,Expired Terminated Relinquished,12/21/1994,
523,Gulf of Mexico,8/18/2004,171,7714502,G03519,,Expired Terminated Relinquished,12/21/1994,
524,Gulf of Mexico,8/18/2004,77,3351496,G03521,,Expired Terminated Relinquished,12/21/1994,
