Rank,Field    name,Field           Nickname,Disc          year,Water  depth  (feet),Field class,Field   type,Field               GOR     (SCF/STB),"Original  Reserves, Oil (MMbbl)","Original  Reserves, Gas (Bcf)","Original  Reserves, BOE (MMbbl)","Cumulative Production, Oil (MMbbl)","Cumulative Production, Gas (Bcf)","Cumulative Production, BOE (MMbbl)","Reserves, Oil (MMbbl)","Reserves, Gas (Bcf)","Reserves, BOE (MMbbl)"
47,SP078,,1972,202,P,G,"11,038 ",85.0,937.8,251.9,83.0,931.8,248.8,2.0,6.0,3.1
48,GC244,TROIKA,1994,2795,P,O,"1,897 ",182.5,346.2,244.2,180.1,343.5,241.3,2.4,2.7,2.9
49,WR678,SAINT MALO,2003,6953,P,O,245 ,233.4,57.2,243.5,61.0,15.1,63.6,172.4,42.1,179.9
50,SM023,,1960,82,P,G,"39,519 ",29.8,1176.3,239.1,29.8,1176.3,239.1,0.0,0.0,0.0
51,VR076,,1949,31,P,G,"124,674 ",10.3,1278.8,237.9,9.5,1249.3,231.8,0.8,29.5,6.1
52,SM130,,1973,214,P,O,"1,343 ",191.5,257.1,237.2,188.8,254.7,234.1,2.7,2.4,3.1
53,EI266,,1962,159,P,G,"134,024 ",9.4,1267.0,234.9,9.3,1254.7,232.6,0.1,12.3,2.3
54,PL020,,1951,33,P,O,"5,697 ",115.8,659.3,233.0,114.6,652.7,230.7,1.2,6.6,2.3
55,SM066,,1963,124,P,G,"261,309 ",4.8,1277.4,232.2,4.8,1267.6,230.4,0.0,9.8,1.8
56,SS230,,1962,119,P,O,"3,255 ",148.0,471.1,231.8,138.0,425.6,213.7,10.0,45.5,18.1
57,SS222,,1966,144,P,G,"11,909 ",72.2,860.2,225.3,71.2,858.0,223.9,1.0,2.2,1.4
58,ST052,,1948,59,P,O,"5,810 ",108.4,630.0,220.6,106.0,613.5,215.2,2.4,16.5,5.4
59,SS113,,1955,41,P,O,"3,889 ",130.2,506.2,220.2,128.2,500.9,217.3,2.0,5.3,2.9
60,WC071,,1955,40,P,G,"59,080 ",19.1,1128.5,219.9,18.9,1114.0,217.2,0.2,14.5,2.7
61,SM128,,1974,221,P,O,"2,630 ",147.5,388.0,216.6,141.5,378.2,208.8,6.0,9.8,7.8
62,SP062,,1965,336,P,O,"1,521 ",169.2,257.4,215.0,166.4,253.0,211.4,2.8,4.4,3.6
63,GC562,K2,1999,4026,P,O,677 ,189.7,128.4,212.5,78.8,56.5,88.8,110.9,71.9,123.7
64,EW873,LOBSTER/OYSTER,1985,694,P,O,922 ,180.1,166.0,209.6,172.5,158.3,200.7,7.6,7.7,8.9
65,VK990,POMPANO,1981,1436,P,O,"1,799 ",158.5,285.1,209.2,144.5,269.4,192.4,14.0,15.7,16.8
66,EI175,,1956,84,P,O,"4,276 ",116.3,498.4,204.9,114.3,485.9,200.7,2.0,12.5,4.2
67,GC205,GENESIS,1988,2791,P,O,"1,398 ",163.6,228.0,204.2,150.4,210.9,188.0,13.2,17.1,16.2
68,EI276,,1963,168,P,O,"3,364 ",126.8,426.5,202.7,122.5,421.2,197.5,4.3,5.3,5.2
69,SM269,,1973,34,P,G,"11,463 ",66.2,758.3,201.0,64.6,724.8,193.5,1.6,33.5,7.5
70,VK786,PETRONIUS,1995,1790,P,O,"1,226 ",162.2,199.0,197.6,157.9,192.5,192.1,4.3,6.5,5.5
71,SS207,,1967,103,P,O,"4,272 ",111.4,479.3,196.6,110.0,473.4,194.2,1.4,5.9,2.4
72,EI032,,1949,12,P,G,"16,946 ",48.8,827.1,196.0,46.0,824.1,192.6,2.8,3.0,3.4
73,MP299,,1962,210,P,O,691 ,174.4,120.4,195.8,169.6,116.4,190.3,4.8,4.0,5.5
74,GB260,BALDPATE,1991,1579,P,O,"3,559 ",119.5,425.3,195.1,114.3,411.5,187.5,5.2,13.8,7.6
75,WC533,,1973,172,P,G,"999,999 ",0.2,1095.4,195.1,0.2,1095.4,195.1,0.0,0.0,0.0
76,WC617,,1974,310,P,G,"659,433 ",1.6,1059.8,190.2,1.6,1059.8,190.2,0.0,0.0,0.0
77,WC045,,1949,32,P,G,"39,876 ",23.4,933.7,189.5,23.3,931.7,189.0,0.1,2.0,0.5
78,EI126,,1950,38,P,O,"1,672 ",145.9,243.1,189.1,141.2,234.5,182.9,4.7,8.6,6.2
79,KC875,LUCIUS,2010,7106,P,O,"1,088 ",158.3,172.2,188.9,69.9,78.1,83.8,88.4,94.1,105.1
80,GI095,,1970,214,P,G,"82,235 ",12.1,991.3,188.4,12.1,991.3,188.4,0.0,0.0,0.0
81,SM073,,1963,131,P,O,"3,164 ",120.2,380.5,188.0,118.4,379.0,185.9,1.8,1.5,2.1
82,EB602,NANSEN,1999,3692,P,G,"7,580 ",77.4,586.8,181.8,74.5,555.2,173.3,2.9,31.6,8.5
83,EC334,,1972,260,P,G,"103,335 ",9.1,947.6,177.8,9.1,945.6,177.4,0.0,2.0,0.4
84,MC768,KAIKIAS,2014,4477,J,O,"1,023 ",149.2,152.7,176.4,0.0,0.0,0.0,149.2,152.7,176.4
85,HI563A,CYRUS,1974,323,P,G,"24,629 ",31.8,782.1,170.9,31.1,780.3,169.9,0.7,1.8,1.0
86,SS028,,1949,13,P,G,"38,612 ",21.4,828.0,168.7,21.4,827.0,168.5,0.0,1.0,0.2
87,BA133A,,1973,203,P,G,"559,457 ",1.7,930.5,167.2,1.7,919.9,165.3,0.0,10.6,1.9
88,MC311,BOURBON,1968,378,P,G,"9,877 ",60.5,598.2,167.0,59.8,597.0,166.0,0.7,1.2,1.0
89,MC546,LONGHORN,1986,2540,P,O,"5,284 ",84.9,448.4,164.6,56.5,365.3,121.5,28.4,83.1,43.1
90,GC158,BRUTUS,1989,2943,P,O,"1,543 ",128.1,199.7,163.6,118.2,162.5,147.1,9.9,37.2,16.5
91,ST054,,1955,66,P,O,"5,723 ",80.3,459.7,162.2,77.7,452.8,158.3,2.6,6.9,3.9
92,WR759,JACK,2004,6961,P,O,228 ,155.8,35.2,162.0,33.4,7.8,34.8,122.4,27.4,127.2
93,GC065,BULLWINKLE,1983,1337,P,O,"1,712 ",123.8,211.9,161.5,122.1,207.6,159.1,1.7,4.3,2.4
94,GB387,LLANO,1994,2313,P,O,"2,424 ",111.6,270.5,159.7,101.6,232.9,143.0,10.0,37.6,16.7
95,MO823,,1983,48,P,G,"999,999 ",0.2,894.3,159.3,0.2,888.7,158.3,0.0,5.6,1.0
96,SP065,,1967,295,P,O,"1,065 ",133.6,142.2,158.9,133.0,141.2,158.2,0.6,1.0,0.7
97,MP006,,1964,37,P,G,"99,019 ",8.4,834.4,156.9,8.4,834.4,156.9,0.0,0.0,0.0
98,MP144,,1967,213,P,O,738 ,137.8,101.7,155.9,136.5,100.9,154.4,1.3,0.8,1.5
99,MC731,MENSA,1986,5286,P,G,"660,317 ",1.3,864.9,155.2,1.3,864.9,155.2,0.0,0.0,0.0
100,ST037,,1974,56,P,O,"3,494 ",95.7,334.2,155.2,92.6,327.1,150.8,3.1,7.1,4.4
101,MI668,,1980,95,P,G,"318,095 ",2.7,849.7,153.9,2.7,839.6,152.1,0.0,10.1,1.8
102,EI306,,1971,223,P,G,"44,352 ",17.1,757.7,151.9,16.9,756.8,151.6,0.2,0.9,0.3
103,GC468,STAMPEDE,2006,3525,P,O,531 ,139.5,65.0,151.0,0.0,0.0,0.0,139.5,65.0,151.0
104,GI041,,1959,91,P,O,"4,086 ",87.0,354.6,150.1,85.9,348.4,147.9,1.1,6.2,2.2
105,EI342,,1973,293,P,G,"12,844 ",45.7,586.6,150.1,45.4,586.3,149.7,0.3,0.3,0.4
106,MC383,KEPLER,1987,5614,P,O,"1,053 ",125.5,132.1,148.9,116.7,121.5,138.3,8.8,10.6,10.6
107,VR245,,1962,133,P,G,"11,286 ",49.3,556.2,148.3,48.6,532.9,143.5,0.7,23.3,4.8
108,HI571A,,1974,282,P,G,"16,254 ",37.6,611.1,146.4,37.4,608.1,145.6,0.2,3.0,0.8
109,HI370A,,1973,319,P,G,"999,999 ",0.6,814.7,145.5,0.6,814.7,145.5,0.0,0.0,0.0
110,MC696,BLIND FAITH,2001,6950,P,O,782 ,127.4,99.8,145.2,76.2,58.6,86.7,51.2,41.2,58.5
111,MP311,,1977,253,P,O,"1,142 ",115.4,131.9,139.0,113.4,130.0,136.6,2.0,1.9,2.4
112,WD117,,1963,204,P,O,"4,181 ",78.4,334.8,137.9,78.3,326.6,136.4,0.1,8.2,1.5
113,GC644,HOLSTEIN,1999,4341,P,O,946 ,117.8,111.4,137.6,98.3,95.8,115.3,19.5,15.6,22.3
114,GA288,BUCANEER,1960,68,P,G,"42,698 ",16.0,683.2,137.6,16.0,683.2,137.6,0.0,0.0,0.0
115,WD105,,1963,229,P,O,"6,650 ",62.5,416.1,136.5,61.0,405.8,133.2,1.5,10.3,3.3
116,MC522,FOURIER/SUMTER,1989,6898,P,G,"4,521 ",74.7,337.9,134.8,65.9,307.8,120.7,8.8,30.1,14.1
117,SS246,,1966,181,P,G,"42,405 ",15.8,668.2,134.6,15.3,658.4,132.4,0.5,9.8,2.2
118,SS274,,1963,209,P,G,"11,999 ",42.8,513.9,134.2,39.1,500.2,128.1,3.7,13.7,6.1
119,GC019,BOXER,1980,758,P,O,"1,662 ",103.6,172.2,134.3,101.9,170.3,132.2,1.7,1.9,2.1
120,WC066,,1957,34,P,G,"20,234 ",29.0,586.8,133.4,28.7,575.7,131.1,0.3,11.1,2.3
121,SS154,,1955,55,P,O,"2,000 ",97.8,195.5,132.6,97.2,193.6,131.6,0.6,1.9,1.0
122,EI258,,1970,155,P,G,"11,557 ",43.2,498.3,131.8,42.7,497.9,131.3,0.5,0.4,0.5
123,VR131,,1960,56,P,G,"59,045 ",11.4,671.4,130.8,11.2,660.2,128.7,0.2,11.2,2.1
124,MC773,DEVILS TOWER,1999,5340,P,O,803 ,114.2,91.8,130.5,89.3,74.8,102.6,24.9,17.0,27.9
125,EI057,,1974,11,P,G,"174,737 ",4.1,708.7,130.2,3.9,697.8,128.1,0.2,10.9,2.1
126,WD027,,1949,27,P,G,"43,051 ",15.0,646.4,130.0,15.0,646.4,130.0,0.0,0.0,0.0
127,VR320,,1971,206,P,G,"129,933 ",5.4,700.1,130.0,5.4,700.1,130.0,0.0,0.0,0.0
128,EI208,,1958,97,P,O,"3,708 ",78.1,290.3,129.7,74.5,280.2,124.3,3.6,10.1,5.4
129,WD109,,1975,182,P,O,"3,240 ",81.7,267.1,129.2,80.9,260.6,127.3,0.8,6.5,1.9
130,SM115,,1971,187,P,G,"9,757 ",47.2,460.5,129.2,44.5,452.8,125.1,2.7,7.7,4.1
131,SP049,,1974,354,P,O,"2,732 ",86.4,236.1,128.5,84.9,227.5,125.4,1.5,8.6,3.1
132,EI273,,1963,185,P,G,"298,723 ",2.4,706.7,128.1,2.4,706.7,128.1,0.0,0.0,0.0
133,VK915,MARLIN,1993,3446,P,G,"4,755 ",68.7,326.4,126.8,66.9,322.4,124.3,1.8,4.0,2.5
134,EC033,,1960,39,P,G,"152,696 ",4.4,676.9,124.9,4.4,676.9,124.9,0.0,0.0,0.0
135,VR255,,1964,158,P,G,"23,693 ",23.8,564.8,124.3,23.8,564.1,124.2,0.0,0.7,0.1
136,EC071,,1954,50,P,G,"96,402 ",6.6,641.7,120.8,6.6,627.7,118.3,0.0,14.0,2.5
137,SM107,,1964,187,P,G,"42,487 ",14.1,598.1,120.4,13.7,591.0,118.8,0.4,7.1,1.6
138,EI205,,1961,107,P,G,"28,038 ",20.3,560.5,120.0,18.9,540.6,115.1,1.4,19.9,4.9
139,WC017,,1964,25,P,G,"161,948 ",3.9,644.8,118.7,3.7,617.3,113.6,0.2,27.5,5.1
140,EI188,,1956,70,P,O,"3,938 ",69.1,264.0,116.1,60.9,235.4,102.8,8.2,28.6,13.3
141,MP306,,1967,247,P,O,"1,128 ",96.4,108.7,115.7,96.4,108.7,115.7,0.0,0.0,0.0
142,WD041,,1963,83,P,O,"5,269 ",59.4,312.8,115.0,59.4,312.8,115.0,0.0,0.0,0.0
143,WC110,,1954,42,P,G,"148,898 ",4.1,615.2,113.6,3.9,596.8,110.1,0.2,18.4,3.5
144,VK783,TAHOE/SE TAHOE,1984,1328,P,G,"52,741 ",10.8,576.5,113.4,10.6,546.6,107.9,0.2,29.9,5.5
145,EC321,,1971,217,P,O,"1,868 ",83.6,156.1,111.3,81.6,153.6,108.9,2.0,2.5,2.4
146,EC338,,1972,262,P,O,"4,940 ",58.8,290.4,110.5,57.6,276.5,106.8,1.2,13.9,3.7
147,ST131,,1958,172,P,O,"4,509 ",60.8,274.4,109.7,59.3,273.5,108.0,1.5,0.9,1.7
148,EB643,BOOMVANG NORTH,1997,3397,P,O,"1,372 ",86.4,118.5,107.5,83.4,99.1,101.0,3.0,19.4,6.5
149,HI179,,1976,57,P,G,"149,999 ",3.9,582.0,107.5,3.9,580.7,107.2,0.0,1.3,0.3
150,EI361,,1973,309,P,O,"2,063 ",78.3,161.5,107.0,73.8,148.2,100.2,4.5,13.3,6.8
151,MC281,LENA,1976,1005,P,O,"3,772 ",63.7,240.3,106.5,63.7,240.2,106.4,0.0,0.1,0.1
152,AC025,HOOVER,1997,4807,P,O,"1,096 ",89.0,97.6,106.4,78.8,89.1,94.7,10.2,8.5,11.7
153,MP073,,1975,135,P,O,"4,878 ",56.7,276.4,105.9,53.0,263.8,99.9,3.7,12.6,6.0
154,MC109,AMBERJACK,1983,1044,P,O,982 ,89.6,90.4,105.7,85.0,83.9,99.9,4.6,6.5,5.8
155,MC935,EUROPA,1994,3866,P,O,"1,466 ",83.5,122.4,105.3,73.4,97.9,90.9,10.1,24.5,14.4
156,VR250,,1963,143,P,G,"35,806 ",14.3,510.8,105.2,14.3,510.8,105.2,0.0,0.0,0.0
157,SM137,,1973,223,P,G,"11,873 ",33.8,401.0,105.1,26.2,385.0,94.7,7.6,16.0,10.4
158,MC582,MEDUSA,1998,2163,P,O,"1,089 ",86.2,93.9,103.0,69.4,77.9,83.3,16.8,16.0,19.7
159,SS253,,1962,174,P,O,"8,409 ",40.9,344.0,102.1,39.4,330.4,98.1,1.5,13.6,4.0
160,WC146,,1971,42,P,G,"44,244 ",11.5,508.2,101.9,11.5,508.2,101.9,0.0,0.0,0.0
161,EC231,,1971,124,P,G,"84,202 ",6.3,534.4,101.4,6.3,534.4,101.4,0.0,0.0,0.0
162,ST190,,1963,148,P,G,"39,040 ",12.7,495.3,100.9,12.6,494.3,100.6,0.1,1.0,0.3
163,HI160,,1961,50,P,G,"327,722 ",1.7,552.5,100.0,1.7,552.5,100.0,0.0,0.0,0.0
164,MC607,EAST ANSTEY,1997,6516,P,G,"2,927 ",66.0,187.6,99.3,55.0,166.3,84.5,11.0,21.3,14.8
165,MC300,Marmalard,2012,5978,P,O,"2,252 ",68.7,154.8,96.3,29.6,61.3,40.5,39.1,93.5,55.8
166,EC265,,1963,173,P,G,"261,246 ",2.0,524.4,95.3,2.0,517.0,94.0,0.0,7.4,1.3
167,VR218,,1965,121,P,G,"70,314 ",7.0,493.8,94.9,7.0,493.8,94.9,0.0,0.0,0.0
168,MC899,CROSBY,1998,4148,P,O,"1,371 ",75.8,103.9,94.2,54.5,70.3,67.0,21.3,33.6,27.2
169,GC236,PHOENIX,1984,2103,P,O,"1,421 ",74.7,109.8,94.2,52.2,75.8,65.7,22.5,34.0,28.5
170,EI024,,1980,13,P,G,"47,767 ",9.8,468.2,93.1,9.1,400.4,80.3,0.7,67.8,12.8
171,MC252,RIGEL,1999,5065,P,G,"4,077 ",53.7,219.1,92.7,23.3,137.1,47.7,30.4,82.0,45.0
172,SP083,,1983,438,P,G,"46,310 ",9.9,461.9,92.2,9.9,431.7,86.8,0.0,30.2,5.4
173,ST036,,1975,52,P,G,"13,697 ",26.4,361.9,90.9,26.0,357.2,89.6,0.4,4.7,1.3
174,MP290,,1967,339,P,O,"2,368 ",63.6,150.6,90.4,62.9,149.9,89.6,0.7,0.7,0.8
175,GB236,PIMENTO,1976,707,P,G,"999,999 ",0.0,504.7,89.8,0.0,504.7,89.8,0.0,0.0,0.0
176,MI619,,1975,92,P,G,"368,340 ",1.3,497.2,89.8,1.3,497.2,89.8,0.0,0.0,0.0
177,SM236,AMBER,1982,18,P,O,"5,692 ",44.3,252.4,89.3,43.6,250.0,88.1,0.7,2.4,1.2
178,WR029,BIG FOOT,2005,5444,J,O,311 ,84.6,26.3,89.2,0.0,0.0,0.0,84.6,26.3,89.2
179,VK825,NEPTUNE,1987,1864,P,O,"1,849 ",67.1,124.1,89.1,59.1,113.7,79.3,8.0,10.4,9.8
180,HI334A,,1974,225,P,G,"28,065 ",14.8,415.7,88.8,14.8,415.7,88.8,0.0,0.0,0.0
181,WC643,,1973,390,P,G,"186,684 ",2.6,479.9,88.0,2.6,479.9,88.0,0.0,0.0,0.0
182,GA209,,1983,57,P,G,"12,026 ",28.0,336.7,87.9,26.7,328.2,85.1,1.3,8.5,2.8
183,MC429,ARIEL,1995,6118,P,O,"1,218 ",72.0,87.7,87.6,61.0,75.4,74.4,11.0,12.3,13.2
184,SM006,,1962,66,P,O,"6,458 ",40.6,262.6,87.4,40.4,256.2,86.0,0.2,6.4,1.4
185,HI111,,1973,47,P,G,"98,605 ",4.6,459.1,86.3,4.6,458.1,86.1,0.0,1.0,0.2
186,WC639,,1971,370,P,G,"324,661 ",1.5,473.0,85.6,1.5,473.0,85.6,0.0,0.0,0.0
187,MC657,COULOMB,1987,7558,P,G,"9,880 ",29.4,313.2,85.2,26.8,255.6,72.3,2.6,57.6,12.9
188,VR050,,1974,15,P,G,"24,406 ",15.8,384.8,84.2,15.8,384.7,84.2,0.0,0.1,0.0
189,GC254,ALLEGHENY,1985,3248,P,O,"1,821 ",63.0,114.9,83.4,53.5,97.6,70.8,9.5,17.3,12.6
190,EI322,MUNI,1968,246,P,G,"55,438 ",7.6,424.0,83.0,7.0,420.0,81.7,0.6,4.0,1.3
191,EI128,,1955,52,P,O,"1,594 ",63.9,101.9,82.0,63.9,101.9,82.0,0.0,0.0,0.0
192,SS107,,1957,23,P,O,"1,737 ",62.3,108.3,81.7,62.2,108.1,81.5,0.1,0.2,0.2
193,EI100,,1960,25,P,O,"5,975 ",39.0,236.5,81.1,38.4,232.0,79.7,0.6,4.5,1.4
194,EB945,DIANA,1990,4646,P,O,"22,334 ",16.1,360.0,80.2,16.1,360.0,80.2,0.0,0.0,0.0
195,EC062,,1955,53,P,G,"94,170 ",4.5,423.0,79.8,4.5,423.0,79.8,0.0,0.0,0.0
196,MC397,ALABASTER,1982,987,P,G,"45,729 ",8.6,395.8,79.1,8.6,388.3,77.7,0.0,7.5,1.4
197,MC948,GUNFLINT,2008,6104,P,O,"1,596 ",54.7,129.7,77.8,10.0,15.8,12.8,44.7,113.9,65.0
198,GB668,GUNNISON,2000,3064,P,O,"5,694 ",38.6,219.9,77.8,36.5,216.2,75.0,2.1,3.7,2.8
199,HI474A,,1973,179,P,G,"13,964 ",22.2,309.6,77.3,22.2,309.6,77.3,0.0,0.0,0.0
200,BA105A,,1971,187,P,G,"417,395 ",1.1,427.8,77.1,0.9,417.2,75.1,0.2,10.6,2.0
201,EC299,,1984,188,P,G,"78,254 ",5.1,402.0,76.7,5.1,402.0,76.7,0.0,0.0,0.0
202,SM243,DAVY JONES,1974,21,P,G,"128,149 ",3.2,410.9,76.3,3.2,410.9,76.3,0.0,0.0,0.0
203,EI333,,1973,234,P,G,"18,670 ",17.4,325.5,75.4,17.4,324.6,75.2,0.0,0.9,0.2
204,WD086,,1979,155,P,G,"76,136 ",5.2,393.6,75.2,5.2,385.8,73.8,0.0,7.8,1.4
205,WC237,,1976,71,P,G,"296,006 ",1.4,413.0,74.9,1.4,413.0,74.9,0.0,0.0,0.0
206,ST086,,1956,95,P,G,"20,824 ",15.7,327.8,74.1,15.7,321.4,72.9,0.0,6.4,1.2
207,KC964,Hadrian South,2008,7508,P,O,"79,773 ",4.8,387.8,73.9,1.6,253.2,46.7,3.2,134.6,27.2
208,AT575,NEPTUNE (AT),1995,6207,P,O,778 ,64.3,50.1,73.3,38.3,30.9,43.8,26.0,19.2,29.5
209,ST196,,1966,104,P,G,"50,924 ",7.3,371.2,73.4,7.3,370.3,73.2,0.0,0.9,0.2
210,SM239,TRINITY SHOAL,1985,18,P,O,"6,638 ",33.4,221.8,72.8,33.2,218.8,72.1,0.2,3.0,0.7
211,CP000,,1966,9,P,G,"46,269 ",7.9,364.0,72.6,7.9,364.0,72.6,0.0,0.0,0.0
212,VR214,,1971,125,P,O,"6,727 ",32.7,220.2,71.9,31.9,199.0,67.3,0.8,21.2,4.6
213,VR024,,1982,26,P,G,"29,948 ",11.3,339.9,71.8,11.3,339.9,71.8,0.0,0.0,0.0
214,EW921,MORPETH,1989,1712,P,O,951 ,61.2,58.2,71.6,45.2,39.9,52.3,16.0,18.3,19.3
215,SM079,,1963,143,P,G,"108,771 ",3.5,381.6,71.4,3.4,374.0,70.0,0.1,7.6,1.4
216,SS072,,1948,30,P,G,"9,687 ",26.1,254.4,71.4,25.7,250.7,70.3,0.4,3.7,1.1
217,WC205,,1977,57,P,G,"114,199 ",3.3,381.9,71.3,3.3,381.9,71.3,0.0,0.0,0.0
218,EI077,,1949,23,P,G,"55,076 ",6.6,362.2,71.0,6.6,362.2,71.0,0.0,0.0,0.0
219,WD035,,1968,61,P,G,"69,477 ",5.3,369.0,71.0,5.3,369.0,71.0,0.0,0.0,0.0
220,WC076,,1991,36,P,G,"181,800 ",2.1,383.9,70.4,2.1,381.8,70.0,0.0,2.1,0.4
